#备注：《湖南通道本地话》 彭建国							
#调值	[1]45 [2]13 [3]33 [4]11 [5]44 [6]22						
#符号说明：&西官借词							
#ɿ							
Ø	[1]忧优幽攸悠[2]油游邮尤由鱿□{笼子}[4]有友酉[5]幼诱釉铀[6]又右佑□{畚箕}						
#ⁱu							
ɕ	[1]收休修[2]绸仇[3]手鼠守首[5]秀锈绣叔粟臭{水~：脚臭}[6]树竖寿受授						
#aɹ᷉							
p	[1]般帮梆邦[2]盘旁螃[3]膀绑榜板{台~：桌子}[5]半瓣{豆~酱}棒[6]蚌伴跘						
pʰ	[1]潘[5]判胖叛						
m	[2]蛮{文，~好：很好}芒{~种}忙茫芒盲[4]满晚网[6]望{看}忘馒慢						
f	[1]方荒慌枋[2]烦房防隍[3]反坊纺谎[5]放						
t	[1]担{动词}单{~个}丹当{~官}裆耽[2]谭潭弹{~琴}塘唐膛糖堂[3]胆挡档{~案}党[5]担{名词}铛{~凿，一种阔面凿，用于粗加工}档{床~}当{~铺}[6]凼弹{子~}旦淡荡但						
tʰ	[1]贪滩摊瘫汤[3]毯坦[5]探叹炭趟						
n	[2]南楠男难{~为}[6]难{灾~}						
l	[2]蓝篮拦狼郎廊[4]懒[6]烂晾{~衣服}浪						
ts	[1]簪装□{大声叫喊}[2]蚕藏{~伴人：把胎盘埋掉}[3]盏斩崭攒[5]站{车~}□{鸡~：未下过蛋的母鸡}[6]肠{或为“臟”}錾臟{内~}						
tsʰ	[1]参{~军}餐掺仓苍[2]铲产						
s	[1]三山删[2]伞散{松~}磉[5]散{~学：放学}涮□{双~，双胞胎}[6]□{~柜：碗柜}						
ȶ	[1]间{白1，中~}浆{白，崖~水：石头缝里的水}樟章姜张[2]长{~短}场常{扯~}[3]涨掌长{~大}[5]胀帐账□{量词，一~车、一~飞机}[6]丈						
ȶʰ	[1]枪腔昌倡[3]抢[5]唱						
ȵ	[2]娘[6]让{又}						
k	[5]□{湿}干{天~}间{文，时~}肝甘柑江{白}缸豇钢刚[3]感敢衽杆竿减简柬讲港[5]干{能~}降{霜~}						
kʰ	[1]康糠[5]看{~待}炕抗						
ħ	[2]寒衔闲函韩杭含咸行{银~}[3]喊[6]鼾旱汗苋项陷馅限						
ŋ	[2]颜{白，容~}□{摸~：石头缝里摸鱼}[5]暗□{傻}[6]岸						
Ø	[1]安庵腌[5]按案						
#iaɹ᷉							
p	[1]扳颁班斑搬[2]盘{又}便{~宜}[3]板{~车}鳊扁匾[5]扮变{灵~：机灵}[6]办便{顺~}						
pʰ	[3]□{尿布}[5]绊骗襻片						
m	[4]满						
tɕ	[1]间{文2，前~：厅屋}肩[2]钳{文，~子}[5]□{~势：娇惯}[6]缠						
tɕʰ	[1]悭{吝啬}						
ɕ	[2]嫌						
ȵ	[1]□{后加成分，好得~：好极了}[2]研{~墨}[4]眼[6]验						
Ø	[2]言铅{~笔}颜{文，~色}圆{文1，~子笔}						
#uaɹ᷉							
t	[1]端[2]团[3]短[6]断段缎塅						
n	[4]暖						
l	[2]圞鸾[4]卵[6]乱						
ts	[1]装庄妆桩[2]全泉[5]钻[6]状						
tsʰ	[1]窗疮□{打~：瞌睡}[3]闯[5]撞						
s	[1]酸闩栓拴霜双[2]床[3]选□{捕鱼具，颈部装有倒须，鱼入而不能出，作用同筍}爽[5]算蒜[6]旋{~~风：小的旋转风}						
ȶ	[1]砖{又}[2]传{~票}[5]转{~蔸：植物返青}赚						
ȶʰ	[1]穿圈{手~：镯子}汆川[5]桊串						
ȵ	[2]原源銮{~塘：当地村名}[6]愿						
k	[1]观官倌棺关光[2]狂[3]管{文，~理}馆广□{量词，一~雨：一阵雨}[5]罐灌贯惯						
kʰ	[1]欢{~喜}宽眶框[3]款[5]矿况墈						
Ø	[1]汪[2]完{~全}玩{~笑}黄王皇蟥蝗[3]碗[4]往枉[6]换蔓旺						
#y̜aɹ᷉							
p	[6]□{~~：窟窿}						
f	[1]兄番翻宣[2]烦矾繁玄悬凡[3]反返[5]贩范楦[6]饭犯县						
ʋ	[2]还{~价}[6]万						
l	[1]□{后加成分，圆~的：非常圆}						
tɕ	[1]专砖{又}[2]圆{白：~凳}拳[3]卷{动}[5]卷{名}壮[6]圈{鸡~：鸡舍}状						
tɕʰ	[1]圈{花~}[5]劝						
ɕ	[2]船椽[6]旋{头毛~：头顶的旋}						
Ø	[1]冤弯湾豌腕□{揉面}[5]怨[6]院						
#ən							
p	[2]盆[3]本[5]蹦[6]伴{倚靠}						
pʰ	[1]喷{灰尘}[5]碰喷{~香}						
m	[1]蚊[2]明门[3]□{火~子：萤火虫}[5]□{~呷：什么}□{沉思}[6]问						
f	[1]分芬纷[2]豮{~猪}魂坟[3]粉[5]粪奋[6]份混						
t	[1]墩灯筝凳[2]藤筒橙誊[3]戥{~子}□{桩}[5]凳炖顿□{撞}□{跺脚}[6]饨						
tʰ	[1]吞[5]隥□{不情愿、磨蹭}						
n	[2]能[6]嫩						
l	[2]轮						
ts	[1]罾珍尊遵增曾贞侦[2]存层[5]浸甑振赠[6]澄{沉淀}						
tsʰ	[1]亲{~人}抻撑村[2]□{动物扑人}[5]寸						
s	[1]森参{人~}新甥孙心身{磨~：磨轴}芯生{又，先~}[2]寻绳乘□{两臂伸开的长度}[3]榫笋省{~长}损[5]杏渗信□{pi⁴⁵~：突然出现}						
ȶ	[1]金真惊砧蒸针筋襟京军{~棋}斤经[2]成{文，~功}芹琴晨辰{文，时~}程陈城勤[3]整枕诊紧[5]震镇圳正□{鸡冠}劲证镜敬禁[6]近						
ȶʰ	[1]春椿称[5]秤趁						
k	[1]耕根跟羹[2]□{整，一年~的}□{芦笙}[4]滚{~子：旧式的车轮}						
kʰ	[3]肯						
ŋ	[1]恩						
ħ	[3]很狠□{用肩扛}[6]恨						
Ø	[1]□{含}[5]摁□{~脚：硌脚}						
#in							
p	[1]边宾彬兵辫冰编鞭[2]平坪评频苹贫瓶屏萍凭[3]丙秉饼[5]并变[6]病						
pʰ	[1]偏篇拼{~板子}[3]品[5]聘遍						
m	[2]棉绵名民明{清~}[6]面沕{打~子：潜水}命						
t	[1]癫钉{名词}丁疔[2]亭停田填庭沉[3]点顶鼎踮□{鱼篓}[5]钉{动词}订[6]垫定						
tʰ	[1]添天厅[5]掭听						
n	[1]年{白，前~}[2]年{文，旧~：去年}阎仁[3]□{木刺}[4]碾捻[5]□{在地上打滚}[6]念研{~槽：研船}砚						
l	[1]□{后加成分，光~的：非常光滑}[2]淋鳞鲢镰连零莲灵凌[4]檩染领岭[6]令另练链恋						
ts	[1]尖煎精睛腈{《玉篇·肉部》：“腈，腈肉也。《集韵·清韵》：“腈，肉之粹者，咨盈切。”}[2]钱前乾{~坤}情晴[3]剪井[5]箭清[6]净						
tsʰ	[1]亲{~情：亲戚}签千迁青清菁[3]浅						
s	[1]仙鲜先星腥籼[5]线						
tɕ	[1]津间{白1，刻~：刚才}[2]钳{白，火~}裙秦[3]碱颈笕茧[5]见进近剑[6]菌静健净件尽						
tɕʰ	[1]牵轻[3]请□{粗鲁}[5]欠歉芡庆						
ȵ	[2]人银宁{~愿}[3]忍[5]韧□{刻~：才}[6]认任						
ɕ	[1]深身{树~：树干}申声伸升兴{~旺}杏[2]神辰{~时}唇绳塍形型邢刑成{白，做得~}[3]审[5]性姓胜圣骟[6]善鳝剩□{笨}幸						
Ø	[1]阴音因姻阉烟鹰英樱掩[2]盐言壬寅檐然燃赢迎□{~筋：抽筋}[4]引隐瘾影[5]印燕应窨						
#uən							
ts	[3]准						
k	[3]滚[5]棍						
kʰ	[1]昆坤荤[5]困						
Ø	[1]温瘟[2]文纹浑□{我们}[2]稳						
#y̜n							
f	[1]熏[6]顺						
ʋ	[2]云丸完{~口：结痂}园缘圆{文2，汤~}[4]远永[6]闰运□{量词，一担：一~水；一~米}						
tɕ	[1]军{将~}						
tɕʰ	[3]蠢						
#en							
p	[1]□{~火：烤火}[6]跸						
