						到格拉夫覈校，2022年3月更新
澣	客法辭典	fon5	fon5			
澣	客法辭典	fan5	fan5			
憾	客法辭典	ham5	ham5			
駻	客法辭典	hon5	hon5			
雗	客法辭典	hon5	hon5			
瀚	客法辭典	hon5	hon5			
杭	客法辭典	hong2	hoŋ2			
蚢	客法辭典	kong1	kʰoŋ1			
航	客法辭典	hong2	hoŋ2			
頏	客法辭典	hong2	hoŋ2			
沆	客法辭典	kong5	kʰoŋ5			
蒿	客法辭典	hau1	hau1			
蒿	客法辭典	gau1	kau1			
薅	客法辭典	gau1	kau1			
嚆	客法辭典	gau1	kau1			
呺	客法辭典	hiau1	hiau1			
蚝	客法辭典	cii5	tsʰɿ5	原文記tsɿ5，與真正的tsɿ作清濁對立，誤。		
毫	客法辭典	hau2	hau2			
貉	客法辭典	hog7	hok7			
豪	客法辭典	hau2	hau2			
豪	客法辭典	ho2	ho2			
嘷	客法辭典	hau2	hau2			
諕	客法辭典	hau2	hau2			
儫	客法辭典	hau2	hau2			
儫	客法辭典	ho2	ho2			
壕	客法辭典	hau2	hau2			
濠	客法辭典	hau2	hau2			
蠔	客法辭典	hau2	hau2			
蠔	客法辭典	ho2	ho2			
譹	客法辭典	hau2	hau2			
好	客法辭典	hau3	hau3			
好	客法辭典	hau5	hau5			
昊	客法辭典	hau1	hau1			
耗	客法辭典	hau1	hau1			
耗	客法辭典	ho1	ho1			
浩	客法辭典	hau5	hau5			
浩	客法辭典	hau3	hau3			
悎	客法辭典	hau5	hau5			
皓	客法辭典	hau3	hau3			
皓	客法辭典	gau3	kau3			
鄗	客法辭典	hau5	hau5			
號	客法辭典	hau1	hau1			
號	客法辭典	hau2	hau2			
號	客法辭典	hau5	hau5			
皜	客法辭典	hau3	hau3			
皜	客法辭典	gau3	kau3			
皥	客法辭典	hau1	hau1			
呵	客法辭典	ho1	ho1			
呵	客法辭典	ho5	ho5			
呵	客法辭典	ha5	ha5			
欱	客法辭典	hab8	hap8			
喝	客法辭典	hod7	hot7			
訶	客法辭典	o1	o1			
訶	客法辭典	ko1	kʰo1			
蠚	客法辭典	kog7	kʰok7			
禾	客法辭典	vo2	vo2			
合	客法辭典	hab8	hap8			
合	客法辭典	gag7	kak7			
合	客法辭典	gab7	kap7			
合	客法辭典	kab7	kʰap7			
合	客法辭典	lab7	lap7			
何	客法辭典	ho2	ho2			
和	客法辭典	fo2	fo2			
和	客法辭典	fo5	fo5			
和	客法辭典	vo1	vo1			
和	客法辭典	vo2	vo2			
劾	客法辭典	hed8	het8			
河	客法辭典	ho2	ho2			
曷	客法辭典	hod8	hot8			
紇	客法辭典	ged7	ket7			
盍	客法辭典	hab8	hap8			
荷	客法辭典	ho2	ho2			
核	客法辭典	fud8	fut8			
核	客法辭典	hed8	het8			
核	客法辭典	eb7	ep7			
盉	客法辭典	fo2	fo2			
盒	客法辭典	hab8	hap8			
渮	客法辭典	ho2	ho2			
涸	客法辭典	hog7	hok7			
涸	客法辭典	kog7	kʰok7			
毼	客法辭典	hod8	hot8			
貈	客法辭典	hog7	hok7			
閡	客法辭典	ngoi3	ŋoi3			
頜	客法辭典	ngam3	ŋam3			
翮	客法辭典	gag7	kak7			
餲	客法辭典	hod8	hot8			
鞨	客法辭典	hod7	hot7			
齕	客法辭典	ngad7	ŋat7			
闔	客法辭典	hab8	hap8			
覈	客法辭典	hed8	het8			
垎	客法辭典	kag7	kʰak7			
賀	客法辭典	fo5	fo5			
赫	客法辭典	hed8	het8			
熇	客法辭典	hog7	hok7			
熇	客法辭典	kog7	kʰok7			
褐	客法辭典	hod8	hot8			
壑	客法辭典	kog7	kʰok7			
鶴	客法辭典	hog8	hok8			
黑	客法辭典	hed8	het8			
嘿	客法辭典	med8	met8			
拫	客法辭典	hen2	hen2			
痕	客法辭典	hen2	hen2			
痕	客法辭典	hien2	hien2			
很	客法辭典	ken3	kʰen3			
很	客法辭典	hen2	hen2			
狠	客法辭典	ken3	kʰen3			
狠	客法辭典	hen2	hen2			
詪	客法辭典	gen5	ken5			
恨	客法辭典	hen5	hen5			
亨	客法辭典	hen1	hen1			
哼	客法辭典	hem1	hem1			
脝	客法辭典	hen1	hen1			
恒	客法辭典	hen2	hen2			
恆	客法辭典	hen2	hen2			
姮	客法辭典	hen2	hen2			
珩	客法辭典	hang2	haŋ2			
桁	客法辭典	hang2	haŋ2			
桁	客法辭典	en5	en5			
橫	客法辭典	vang2	vaŋ2			
橫	客法辭典	vang5	vaŋ5			
橫	客法辭典	vong2	voŋ2			
衡	客法辭典	fen2	fen2			
叿	客法辭典	fung2	fuŋ2			
哄	客法辭典	fung3	fuŋ3			
哄	客法辭典	giung3	kiuŋ3			
烘	客法辭典	fung1	fuŋ1			
渹	客法辭典	vang2	vaŋ2			
渹	客法辭典	vang1	vaŋ1			
薨	客法辭典	fen2	fen2			
薨	客法辭典	ven2	ven2			
薨	客法辭典	kuen2	kʰuen2			
薨	客法辭典	fun1	fun1			
鍧	客法辭典	vang2	vaŋ2			
鍧	客法辭典	vang1	vaŋ1			
轟	客法辭典	guang2	kuaŋ2			
轟	客法辭典	kuang2	kʰuaŋ2			
轟	客法辭典	vang2	vaŋ2			
弘	客法辭典	fen2	fen2			
宏	客法辭典	fen2	fen2			
泓	客法辭典	fen2	fen2			
宖	客法辭典	fen2	fen2			
虹	客法辭典	fung2	fuŋ2			
洪	客法辭典	fung2	fuŋ2			
紅	客法辭典	fung2	fuŋ2			
紘	客法辭典	fen2	fen2			
紭	客法辭典	fen2	fen2			
閎	客法辭典	fen2	fen2			
鴻	客法辭典	fung2	fuŋ2			
黌	客法辭典	fung2	fuŋ2			
訌	客法辭典	fung2	fuŋ2			
閧	客法辭典	fung5	fuŋ5			
澒	客法辭典	fung3	fuŋ3			
鬨	客法辭典	fung5	fuŋ5			
齁	客法辭典	geu1	keu1			
齁	客法辭典	heu1	heu1			
齁	客法辭典	ku5	kʰu5			
侯	客法辭典	heu2	heu2			
喉	客法辭典	heu2	heu2			
猴	客法辭典	heu2	heu2			
瘊	客法辭典	heu2	heu2			
篌	客法辭典	heu2	heu2			
糇	客法辭典	heu2	heu2			
鍭	客法辭典	heu2	heu2			
餱	客法辭典	heu2	heu2			
鯸	客法辭典	heu2	heu2			
吼	客法辭典	keu5	kʰeu5			
犼	客法辭典	keu5	kʰeu5			
后	客法辭典	heu5	heu5			
厚	客法辭典	heu5	heu5			
逅	客法辭典	heu5	heu5			
後	客法辭典	heu5	heu5			
候	客法辭典	heu5	heu5			
堠	客法辭典	heu5	heu5			
乎	客法辭典	fu2	fu2			
呼	客法辭典	fu1	fu1			
忽	客法辭典	fud7	fut7			
恗	客法辭典	kua5	kʰua5			
虖	客法辭典	fu1	fu1			
惚	客法辭典	fud7	fut7			
幠	客法辭典	fu1	fu1			
謼	客法辭典	fu1	fu1			
囫	客法辭典	vud7	vut7			
狐	客法辭典	fu2	fu2			
弧	客法辭典	fu2	fu2			
胡	客法辭典	fu2	fu2			
斛	客法辭典	fug8	fuk8			
壺	客法辭典	fu2	fu2			
壺	客法辭典	kun3	kʰun3			
葫	客法辭典	fu2	fu2			
猢	客法辭典	fu2	fu2			
湖	客法辭典	fu2	fu2			
瑚	客法辭典	fu2	fu2			
楜	客法辭典	fu2	fu2			
煳	客法辭典	fu2	fu2			
蝴	客法辭典	fu2	fu2			
衚	客法辭典	fu2	fu2			
糊	客法辭典	fu2	fu2			
醐	客法辭典	fu2	fu2			
餬	客法辭典	fu2	fu2			
鵠	客法辭典	gug7	kuk7			
鬍	客法辭典	fu2	fu2			
鶘	客法辭典	fu2	fu2			
虍	客法辭典	fu1	fu1			
虎	客法辭典	fu3	fu3			
唬	客法辭典	hau1	hau1			
許	客法辭典	e5	e5	【替】程度副詞。		
許	客法辭典	i5	i5	【替】程度副詞。		
許	客法辭典	hi3	hi3			
琥	客法辭典	fu3	fu3			
箎	客法辭典	chii2	tʃʰɿ2			
箎	客法辭典	chi2	tʃʰi2			
滸	客法辭典	fu3	fu3			
互	客法辭典	fu1	fu1			
戶	客法辭典	fu5	fu5			
冱	客法辭典	fu5	fu5			
枑	客法辭典	fu5	fu5			
岵	客法辭典	fu3	fu3			
怙	客法辭典	fu3	fu3			
戽	客法辭典	fu5	fu5			
笏	客法辭典	fud7	fut7			
瓠	客法辭典	fu2	fu2			
瓠	客法辭典	pu2	pʰu2			
扈	客法辭典	fu3	fu3			
滬	客法辭典	fu5	fu5			
嫭	客法辭典	fu5	fu5			
鳸	客法辭典	fu5	fu5			
簄	客法辭典	fu5	fu5			
護	客法辭典	fu5	fu5			
花	客法辭典	fa1	fa1			
砉	客法辭典	vag8	vak8			
姡	客法辭典	guad7	kuat7			
華	客法辭典	fa2	fa2			
猾	客法辭典	vad8	vat8			
滑	客法辭典	vad8	vat8			
嘩	客法辭典	fa2	fa2			
鋘	客法辭典	fa2	fa2			
鏵	客法辭典	fa2	fa2			
驊	客法辭典	fa2	fa2			
化	客法辭典	fa5	fa5			
划	客法辭典	fa2	fa2			
崋	客法辭典	fa2	fa2			
崋	客法辭典	fa5	fa5			
畫	客法辭典	fa2	fa2			
畫	客法辭典	fa5	fa5			
畫	客法辭典	vag8	vak8			
話	客法辭典	fa5	fa5			
話	客法辭典	va5	va5			
話	客法辭典	vo3	vo3			
話	客法辭典	voi1	voi1			
畵	客法辭典	fa3	fa3			
畵	客法辭典	vag8	vak8			
樺	客法辭典	fa2	fa2			
樺	客法辭典	fa5	fa5			
劃	客法辭典	vag8	vak8			
劃	客法辭典	vag7	vak7			
佪	客法辭典	fi2	fi2			
佪	客法辭典	fui2	fui2			
徊	客法辭典	fi2	fi2			
徊	客法辭典	fui2	fui2			
淮	客法辭典	foi2	foi2			
槐	客法辭典	fai2	fai2			
踝	客法辭典	fa2	fa2			
踝	客法辭典	ko3	kʰo3			
褱	客法辭典	fai2	fai2			
懐	客法辭典	fai2	fai2			
懷	客法辭典	fai2	fai2			
蘹	客法辭典	fai2	fai2			
壊	客法辭典	fai5	fai5			
壞	客法辭典	fai5	fai5			
獾	客法辭典	fon1	fon1			
懽	客法辭典	fon1	fon1			
懽	客法辭典	fan1	fan1			
歡	客法辭典	fon1	fon1			
歡	客法辭典	fan1	fan1			
讙	客法辭典	fon1	fon1			
驩	客法辭典	fon1	fon1			
郇	客法辭典	sun2	sun2			
荁	客法辭典	fan2	fan2			
洹	客法辭典	ian2	ian2			
桓	客法辭典	fan2	fan2			
綄	客法辭典	guon3	kuon3			
圜	客法辭典	fan2	fan2			
圜	客法辭典	ian2	ian2			
寰	客法辭典	fan2	fan2			
環	客法辭典	fan2	fan2			
環	客法辭典	van2	van2			
環	客法辭典	pan2	pʰan2			
轘	客法辭典	fam2	fam2			
轘	客法辭典	fam5	fam5			
闤	客法辭典	fan2	fan2			
鬟	客法辭典	fan2	fan2			
睆	客法辭典	fon3	fon3			
睆	客法辭典	guon3	kuon3			
緩	客法辭典	fon5	fon5			
緩	客法辭典	mon3	mon3			
緩	客法辭典	man3	man3			
幻	客法辭典	fam5	fam5			
奐	客法辭典	fon5	fon5			
宦	客法辭典	fon5	fon5			
圂	客法辭典	fun5	fun5			
浣	客法辭典	fon5	fon5			
浣	客法辭典	fan5	fan5			
浣	客法辭典	van2	van2			
患	客法辭典	fam1	fam1			
患	客法辭典	fam5	fam5			
逭	客法辭典	guon3	kuon3			
換	客法辭典	fon5	fon5			
換	客法辭典	von5	von5			
喚	客法辭典	fon5	fon5			
渙	客法辭典	fon5	fon5			
豢	客法辭典	fam5	fam5			
煥	客法辭典	fon5	fon5			
瘓	客法辭典	fon5	fon5			
槵	客法辭典	fam5	fam5			
擐	客法辭典	fan2	fan2			
巟	客法辭典	fong1	foŋ1			
肓	客法辭典	fong1	foŋ1			
荒	客法辭典	fong1	foŋ1			
衁	客法辭典	fong1	foŋ1			
慌	客法辭典	fong3	foŋ3			
皇	客法辭典	fong2	foŋ2			
皇	客法辭典	vong2	voŋ2			
凰	客法辭典	fong2	foŋ2			
隍	客法辭典	fong2	foŋ2			
黃	客法辭典	vong2	voŋ2			
喤	客法辭典	fong2	foŋ2			
遑	客法辭典	fong2	foŋ2			
徨	客法辭典	fong2	foŋ2			
惶	客法辭典	fong2	foŋ2			
煌	客法辭典	fong2	foŋ2			
蝗	客法辭典	fong2	foŋ2			
篁	客法辭典	fong2	foŋ2			
艎	客法辭典	fong2	foŋ2			
磺	客法辭典	vong2	voŋ2			
簧	客法辭典	vong2	voŋ2			
鍠	客法辭典	fong2	foŋ2			
怳	客法辭典	fong3	foŋ3			
恍	客法辭典	fong3	foŋ3			
晃	客法辭典	fong3	foŋ3			
幌	客法辭典	fong3	foŋ3			
詤	客法辭典	fong3	foŋ3			
謊	客法辭典	fong3	foŋ3			
愰	客法辭典	fong3	foŋ3			
榥	客法辭典	fong3	foŋ3			
鎤	客法辭典	fong3	foŋ3			
灰	客法辭典	foi1	foi1			
虺	客法辭典	fi3	fi3			
虺	客法辭典	fui3	fui3			
虺	客法辭典	foi3	foi3			
虺	客法辭典	vui3	vui3			
恢	客法辭典	foi1	foi1			
豗	客法辭典	foi1	foi1			
揮	客法辭典	fi1	fi1			
揮	客法辭典	vun3	vun3			
隓	客法辭典	fi1	fi1			
隓	客法辭典	to3	tʰo3			
媈	客法辭典	fun2	fun2			
楎	客法辭典	fi1	fi1			
楎	客法辭典	fui1	fui1			
暉	客法辭典	fi1	fi1			
暉	客法辭典	fui1	fui1			
詼	客法辭典	foi1	foi1			
煇	客法辭典	fi1	fi1			
煇	客法辭典	fui1	fui1			
輝	客法辭典	fi1	fi1			
輝	客法辭典	fui1	fui1			
麾	客法辭典	fi1	fi1			
麾	客法辭典	fui1	fui1			
翬	客法辭典	fi1	fi1			
翬	客法辭典	fui1	fui1			
徽	客法辭典	fi1	fi1			
徽	客法辭典	fui1	fui1			
隳	客法辭典	fi1	fi1			
隳	客法辭典	to3	tʰo3			
囘	客法辭典	fi2	fi2			
囘	客法辭典	fui2	fui2			
回	客法辭典	fi2	fi2			
回	客法辭典	fui2	fui2			
回	客法辭典	foi2	foi2			
囬	客法辭典	fi2	fi2			
囬	客法辭典	fui2	fui2			
廻	客法辭典	fi2	fi2			
廻	客法辭典	fui2	fui2			
茴	客法辭典	fi2	fi2			
茴	客法辭典	fui2	fui2			
迴	客法辭典	fi2	fi2			
迴	客法辭典	fui2	fui2			
洄	客法辭典	fi2	fi2			
洄	客法辭典	fui2	fui2			
恛	客法辭典	fi2	fi2			
恛	客法辭典	fui2	fui2			
蛔	客法辭典	fi2	fi2			
蛔	客法辭典	fui2	fui2			
悔	客法辭典	fi5	fi5			
悔	客法辭典	fui5	fui5			
毀	客法辭典	kui3	kʰui3			
毀	客法辭典	fui1	fui1			
燬	客法辭典	kui3	kʰui3			
燬	客法辭典	fui1	fui1			
譭	客法辭典	kui3	kʰui3			
恚	客法辭典	fi5	fi5			
恚	客法辭典	fui5	fui5			
彗	客法辭典	sui5	sui5			
晦	客法辭典	fi5	fi5			
晦	客法辭典	fui5	fui5			
惠	客法辭典	fi3	fi3			
惠	客法辭典	fui5	fui5			
湏	客法辭典	moi5	moi5			
匯	客法辭典	fi5	fi5			
匯	客法辭典	fui3	fui3			
賄	客法辭典	iu5	iu5			
會	客法辭典	fi5	fi5			
會	客法辭典	fui3	fui3			
滙	客法辭典	fi5	fi5			
滙	客法辭典	fui3	fui3			
彙	客法辭典	lui5	lui5			
嘒	客法辭典	fi5	fi5			
誨	客法辭典	fi5	fi5			
瘣	客法辭典	fi5	fi5			
瘣	客法辭典	fui5	fui5			
慧	客法辭典	fi5	fi5			
槥	客法辭典	sui5	sui5			
暳	客法辭典	fi5	fi5			
暳	客法辭典	fui5	fui5			
憓	客法辭典	fi5	fi5			
憓	客法辭典	fui3	fui3			
薈	客法辭典	ve5	ve5			
殨	客法辭典	kui5	kʰui5			
諱	客法辭典	fi5	fi5			
諱	客法辭典	vi5	vi5			
諱	客法辭典	vui5	vui5			
澮	客法辭典	kuai5	kʰuai5			
檜	客法辭典	kuai5	kʰuai5			
篲	客法辭典	sui5	sui5			
蟪	客法辭典	fi5	fi5			
蟪	客法辭典	fui5	fui5			
穢	客法辭典	ve5	ve5			
穢	客法辭典	ie5	ie5			
穢	客法辭典	vai5	vai5			
繢	客法辭典	kui5	kʰui5			
譓	客法辭典	fi5	fi5			
繪	客法辭典	fi5	fi5			
繪	客法辭典	fui5	fui5			
繪	客法辭典	kui5	kʰui5			
闠	客法辭典	kui5	kʰui5			
靧	客法辭典	fi5	fi5			
靧	客法辭典	fui5	fui5			
昏	客法辭典	fun1	fun1			
昬	客法辭典	fun1	fun1			
涽	客法辭典	men3	men3			
惛	客法辭典	fun1	fun1			
婚	客法辭典	fun1	fun1			
葷	客法辭典	fun1	fun1			
殙	客法辭典	fun1	fun1			
睧	客法辭典	fun1	fun1			
閽	客法辭典	fun1	fun1			
忶	客法辭典	fun2	fun2			
渾	客法辭典	fun2	fun2			
渾	客法辭典	von2	von2			
魂	客法辭典	fun2	fun2			
俒	客法辭典	fun5	fun5			
掍	客法辭典	gun3	kun3			
混	客法辭典	fun3	fun3			
溷	客法辭典	fun5	fun5			
慁	客法辭典	fun5	fun5			
剨	客法辭典	vag8	vak8			
嚄	客法辭典	vog7	vok7			
豁	客法辭典	vad7	vat7			
豁	客法辭典	had7	hat7			
佸	客法辭典	guad7	kuat7			
活	客法辭典	fad8	fat8			
火	客法辭典	fo3	fo3			
伙	客法辭典	fo3	fo3			
夥	客法辭典	fo2	fo2			
或	客法辭典	fed8	fet8			
貨	客法辭典	fo5	fo5			
惑	客法辭典	fed8	fet8			
湱	客法辭典	vag8	vak8			
禍	客法辭典	fo5	fo5			
霍	客法辭典	kog7	kʰok7			
獲	客法辭典	fed8	fet8			
濩	客法辭典	vog7	vok7			
穫	客法辭典	vog7	vok7			
藿	客法辭典	kog7	kʰok7			
蠖	客法辭典	vog7	vok7			
鑊	客法辭典	vog8	vok8			
癨	客法辭典	kog7	kʰok7			
芨	客法辭典	kib7	kʰip7			
乩	客法辭典	gi1	ki1			
肌	客法辭典	gi1	ki1			
唧	客法辭典	zid8	tsit8			
笄	客法辭典	gi5	ki5			
飢	客法辭典	gi1	ki1			
屐	客法辭典	kiag8	kʰiak8			
姬	客法辭典	ki1	kʰi1			
姬	客法辭典	hi1	hi1			
基	客法辭典	gi1	ki1			
敧	客法辭典	ki1	kʰi1			
畸	客法辭典	ki2	kʰi2			
毄	客法辭典	gid7	kit7			
箕	客法辭典	gi1	ki1			
稽	客法辭典	hi1	hi1			
緝	客法辭典	sib8	sip8			
緝	客法辭典	cib8	tsʰip8			
畿	客法辭典	ki2	kʰi2			
璣	客法辭典	gi1	ki1			
機	客法辭典	gi1	ki1			
機	客法辭典	gia2	kia2			
墼	客法辭典	gid7	kit7			
積	客法辭典	zid7	tsit7			
激	客法辭典	gid7	kit7			
隮	客法辭典	zi1	tsi1			
賷	客法辭典	zii1	tsɿ1	原文作dzɿ1，與tsʰɿ作濁清對立，誤。		
擊	客法辭典	gid7	kit7			
雞	客法辭典	gai1	kai1			
雞	客法辭典	ke1	kʰe1			
譏	客法辭典	gi1	ki1			
韲	客法辭典	zi1	tsi1			
饑	客法辭典	gi1	ki1			
躋	客法辭典	zi1	tsi1			
鷄	客法辭典	ke1	kʰe1			
鷄	客法辭典	gai1	kai1			
齎	客法辭典	zii1	tsɿ1	原文作dzɿ1，與tsʰɿ作濁清對立，誤。		
羇	客法辭典	gi1	ki1			
齏	客法辭典	zi1	tsi1			
羈	客法辭典	gi1	ki1			
覊	客法辭典	gi1	ki1			
亼	客法辭典	sib8	sip8			
及	客法辭典	kib8	kʰip8			
伋	客法辭典	kib7	kʰip7			
吉	客法辭典	gid7	kit7			
岌	客法辭典	kib7	kʰip7			
彶	客法辭典	giag8	kiak8			
汲	客法辭典	geb7	kep7			
汲	客法辭典	kib7	kʰip7			
即	客法辭典	zid7	tsit7			
亟	客法辭典	gid7	kit7			
笈	客法辭典	kib7	kʰip7			
卽	客法辭典	zid7	tsit7			
急	客法辭典	gib7	kip7			
急	客法辭典	kib8	kʰip8			
級	客法辭典	kib7	kʰip7			
疾	客法辭典	cid8	tsʰit8			
卙	客法辭典	sib8	sip8			
楖	客法辭典	zied7	tsiet7			
偮	客法辭典	sib8	sip8			
偮	客法辭典	cib8	tsʰip8			
極	客法辭典	kid8	kʰit8			
棘	客法辭典	gid7	kit7			
戢	客法辭典	sib8	sip8			
戢	客法辭典	cib8	tsʰip8			
集	客法辭典	sib8	sip8			
塉	客法辭典	zid7	tsit7			
蒺	客法辭典	cid8	tsʰit8			
楫	客法辭典	ziab7	tsiap7			
蝍	客法辭典	zid7	tsit7			
嫉	客法辭典	cid8	tsʰit8			
耤	客法辭典	sid8	sit8			
踖	客法辭典	sid7	sit7			
瘠	客法辭典	zid7	tsit7			
濈	客法辭典	sib8	sip8			
濈	客法辭典	cib8	tsʰip8			
潗	客法辭典	sib8	sip8			
潗	客法辭典	cib8	tsʰip8			
輯	客法辭典	sib8	sip8			
輯	客法辭典	cib8	tsʰip8			
藉	客法辭典	zia5	tsia5			
蹐	客法辭典	zid7	tsit7			
簎	客法辭典	sid8	sit8			
襋	客法辭典	gid7	kit7			
艥	客法辭典	ziab7	tsiap7			
霵	客法辭典	sib8	sip8			
霵	客法辭典	cib8	tsʰip8			
籍	客法辭典	sid8	sit8			
覿	客法辭典	tug8	tʰuk8			
几	客法辭典	gi1	ki1			
己	客法辭典	gi3	ki3			
泲	客法辭典	zi5	tsi5			
脊	客法辭典	zid7	tsit7			
戟	客法辭典	gid7	kit7			
幾	客法辭典	gi1	ki1			
幾	客法辭典	gi3	ki3			
撠	客法辭典	gid7	kit7			
擠	客法辭典	zi1	tsi1			
擠	客法辭典	zi5	tsi5			
彐	客法辭典	gi5	ki5			
伎	客法辭典	ki3	kʰi3			
技	客法辭典	ki3	kʰi3			
芰	客法辭典	ki3	kʰi3			
忌	客法辭典	ki3	kʰi3			
妓	客法辭典	gi3	ki3			
妓	客法辭典	ki3	kʰi3			
季	客法辭典	gui5	kui5			
計	客法辭典	ke2	kʰe2			
計	客法辭典	ke5	kʰe5			
計	客法辭典	gi5	ki5			
迹	客法辭典	ziag7	tsiak7			
迹	客法辭典	zid7	tsit7			
洎	客法辭典	koi3	kʰoi3			
既	客法辭典	gi5	ki5			
紀	客法辭典	gi3	ki3			
畟	客法辭典	zid7	tsit7			
記	客法辭典	gi5	ki5			
偈	客法辭典	gied7	kiet7			
旣	客法辭典	gi5	ki5			
徛	客法辭典	ki1	kʰi1			
祭	客法辭典	zi5	tsi5			
悸	客法辭典	gi5	ki5			
悸	客法辭典	gui5	kui5			
寄	客法辭典	gi5	ki5			
寂	客法辭典	sib7	sip7			
寂	客法辭典	cib7	tsʰip7			
惎	客法辭典	ki5	kʰi5			
蔇	客法辭典	gi5	ki5			
勣	客法辭典	zid7	tsit7			
跡	客法辭典	ziag7	tsiak7			
跡	客法辭典	zid7	tsit7			
痵	客法辭典	gi5	ki5			
際	客法辭典	zi5	tsi5			
跽	客法辭典	ki3	kʰi3			
誋	客法辭典	ki3	kʰi3			
稷	客法辭典	zid7	tsit7			
髻	客法辭典	gi5	ki5			
冀	客法辭典	gi3	ki3			
穄	客法辭典	zi5	tsi5			
劑	客法辭典	zi5	tsi5			
縘	客法辭典	he5	he5			
覬	客法辭典	koi3	kʰoi3			
濟	客法辭典	zi5	tsi5			
績	客法辭典	ziag7	tsiak7			
績	客法辭典	ciag8	tsʰiak8			
績	客法辭典	zid7	tsit7			
蹟	客法辭典	ziag7	tsiak7			
蹟	客法辭典	zid7	tsit7			
鯽	客法辭典	zid8	tsit8			
繫	客法辭典	he5	he5			
穧	客法辭典	zi1	tsi1			
穧	客法辭典	zi5	tsi5			
癠	客法辭典	zi1	tsi1			
懻	客法辭典	gi3	ki3			
繼	客法辭典	gi5	ki5			
霽	客法辭典	zi5	tsi5			
鱭	客法辭典	ci5	tsʰi5			
鱭	客法辭典	zii5	tsɿ5	原文作dzɿ5，與tsʰɿ作濁清對立，誤。		
驥	客法辭典	gi3	ki3			
加	客法辭典	ga1	ka1			
抸	客法辭典	hiab8	hiap8			
抸	客法辭典	giab8	kiap8			
抸	客法辭典	kiab8	kʰiap8			
佳	客法辭典	ga1	ka1			
迦	客法辭典	ga1	ka1			
枷	客法辭典	ga1	ka1			
痂	客法辭典	ga1	ka1			
痂	客法辭典	kio2	kʰio2			
浹	客法辭典	giab7	kiap7			
家	客法辭典	ga1	ka1			
耞	客法辭典	ga1	ka1			
梜	客法辭典	giab7	kiap7			
笳	客法辭典	ga1	ka1			
袈	客法辭典	ga1	ka1			
葭	客法辭典	ga1	ka1			
跏	客法辭典	ga1	ka1			
傢	客法辭典	ga1	ka1			
猳	客法辭典	ga1	ka1			
裌	客法辭典	gab7	kap7			
筴	客法辭典	ced7	tsʰet7			
嘉	客法辭典	ga1	ka1			
圿	客法辭典	kad7	kʰat7			
夾	客法辭典	gab8	kap8			
夾	客法辭典	giab8	kiap8			
恝	客法辭典	kad7	kʰat7			
莢	客法辭典	giab8	kiap8			
袷	客法辭典	gab7	kap7			
袷	客法辭典	giab7	kiap7			
跲	客法辭典	kab7	kʰap7			
蛺	客法辭典	giab7	kiap7			
鋏	客法辭典	giab7	kiap7			
頰	客法辭典	gab7	kap7			
甲	客法辭典	gab7	kap7			
岬	客法辭典	gab7	kap7			
胛	客法辭典	gab7	kap7			
假	客法辭典	ga3	ka3			
假	客法辭典	ga5	ka5			
斝	客法辭典	ga5	ka5			
椵	客法辭典	ga5	ka5			
賈	客法辭典	gu3	ku3			
鉀	客法辭典	gab7	kap7			
榎	客法辭典	ga5	ka5			
瘕	客法辭典	ha2	ha2			
瘕	客法辭典	ga5	ka5			
檟	客法辭典	ga5	ka5			
价	客法辭典	giai5	kiai5			
架	客法辭典	ga5	ka5			
嫁	客法辭典	ga5	ka5			
稼	客法辭典	ga5	ka5			
價	客法辭典	ga5	ka5			
駕	客法辭典	ga5	ka5			
駱	客法辭典	log8	lok8			
幵	客法辭典	gian1	kian1			
尖	客法辭典	ziam1	tsiam1			
奸	客法辭典	gian1	kian1			
戔	客法辭典	zien1	tsien1			
肩	客法辭典	gian1	kian1			
肩	客法辭典	gin1	kin1			
姦	客法辭典	gian1	kian1			
兼	客法辭典	giam1	kiam1			
菅	客法辭典	gian1	kian1			
菅	客法辭典	guon1	kuon1			
堅	客法辭典	gian1	kian1			
揃	客法辭典	zien5	tsien5			
間	客法辭典	gian1	kian1			
間	客法辭典	gian5	kian5			
犍	客法辭典	gian1	kian1			
牋	客法辭典	zien1	tsien1			
傔	客法辭典	kiam5	kʰiam5			
湔	客法辭典	zien1	tsien1			
蒹	客法辭典	giam1	kiam1			
椷	客法辭典	kiam2	kʰiam2			
豣	客法辭典	gian1	kian1			
煎	客法辭典	zien1	tsien1			
監	客法辭典	gam1	kam1			
監	客法辭典	gam5	kam5			
箋	客法辭典	zien1	tsien1			
蕳	客法辭典	gian1	kian1			
緘	客法辭典	kiam2	kʰiam2			
縑	客法辭典	giam1	kiam1			
艱	客法辭典	gian1	kian1			
鞬	客法辭典	gian1	kian1			
瀸	客法辭典	siam2	siam2			
殲	客法辭典	siam2	siam2			
韀	客法辭典	zien1	tsien1			
鰹	客法辭典	gian1	kian1			
鑯	客法辭典	ciam1	tsʰiam1			
囝	客法辭典	kian3	kʰian3			
柬	客法辭典	gian3	kian3			
梘	客法辭典	gian3	kian3			
减	客法辭典	gam3	kam3			
剪	客法辭典	zien3	tsien3			
揀	客法辭典	gian3	kian3			
減	客法辭典	gam3	kam3			
筧	客法辭典	gian3	kian3			
絸	客法辭典	gian3	kian3			
戩	客法辭典	zien3	tsien3			
儉	客法辭典	kiam5	kʰiam5			
