#调值	［1］312［2］35［3］452［5］55［7］13
#ɿ	
tʰ	[7]塔踏塌榻獭
n	[7]纳呐捺
l	[7]辣腊蜡拉
ts	[7]杂砸
tsʰ	[7]擦
s	[7]卅撒萨
tʂ	[7]扎轧铡
tʂʰ	[7]插碴察
ʂ	[7]杀煞霎
k	[7]割{~草}旮
kʰ	[7]合喝
#iɐʔ	
tɕ	[7]甲胛夹颊
tɕʰ	[7]恰洽袷掐
ɕ	[7]瞎侠狭峡吓 
	[7]压押鸭
#uɐʔ	
ʂ	[7]刷 
k	[7]刮括郭
x	[7]滑猾 
	[7]袜挖
#əʔ	
p	[7]卜白百伯柏帛不北 
pʰ	[7]扑仆濮朴蹼
m	[7]没木沐目脉麦 
f	[7]弗伏福复服幅
t	[7]得德 
tʰ	[7]特忑他她
n	[7]那 
l	[7]勒肋
ts	[7]则贼仄喷 
tsʰ	[7]测侧拆
s	[7]色涩塞啬 
tʂ	[7]汁只执直侄值指趾
tʂʰ	[7]赤吃尺斥 
ʂ	[7]十什石失湿虱拾
ʐ	[7]日 
k	[7]格革胳
kʰ	[7]克刻客咳 
x	[7]核黑赫阂
	[7]额厄呃扼遏
#iəʔ	
p	[7]别鳖憋 
pʰ	[7]撇瞥
m	[7]灭蔑篾 
t	[7]迭跌垤碟蝶叠
tʰ	[7]帖贴铁 
n	[7]捏聂蹑涅
l	[7]列烈劣裂猎 
tɕ	[7]折哲结接杰揭捷
tɕʰ	[7]切怯窃妾 
ɕ	[7]胁歇蝎血协
	[7]叶页业掖烨
#uɔ̝ʔ	
p	[7]拨钵驳脖礴 
pʰ	[7]泼
m	[7]摸膜末莫默沫 
t	[7]度踱夺
tʰ	[7]托脱拓柝 
n	[7]诺喏搦
l	[7]落洛络烙乐 
ts	[7]作凿
tsʰ	[7]撮促族 
s	[7]索朔
tʂ	[7]捉拙茁卓桌 
tʂʰ	[7]戳绰辍啜
ʂ	[7]说勺硕烁妁 
ʐ	[7]若弱偌
k	[7]各葛角鸽 
kʰ	[7]扩阔瞌廓渴
x	[7]活合霍盒涸 
	[7]恶萼愕噩
#yɔ̝ʔ	
l	[7]略掠 
tɕ	[7]孑决抉角绝
tɕʰ	[7]缺却确雀鹊撅 
ɕ	[7]穴学雪屑削踅
	[7]约月乐悦阅刖钥岳越钺彟
#iʔ	
p	[7]笔必毕逼壁璧 
pʰ	[7]劈噼僻匹
m	[7]泌秘密蜜 
t	[7]敌笛迪滴镝
tʰ	[7]剔踢惕 
n	[7]逆匿溺
l	[7]力历立沥栗 
tɕ	[7]击汲圾迹积
tɕʰ	[7]七戚柒漆乞 
ɕ	[7]夕吸昔析息
	[7]乙亦译邑役
#uʊʔ	
t	[7]独毒读椟督笃 
tʰ	[7]突秃
