	說明：-白讀，=文讀
t	[1]中忠衷[2]重{～疊}傳[3]轉[5]中{～意}眾[6]重{輕～}仲傳{～記}
tʰ	[1]窗-[2]蟲[3]塚寵
n	[2]濃膿[3]嫩
l	[2]龍隆籠[3]輦-健{雞～}[6]戀練煉鰱
ts	[1]鍾鐘終春摏{撞}專[2]從全痊戎絨[3]種{～子}腫[5]種縱㼿{缸}
tsʰ	[1]充沖川村忡{厭惡}[2]□{暴食}[3]喘[5]□{僕倒}[6]銃
ɬ	[1]宣喧嵩[2]泉松旋[3]選損[5]線[6]誦頌□{穿衣服}
k	[1]供宮恭弓躬絹捐涓娟[2]窮權[3]卷捲[5]建卷{～宗}券眷[6]共健供{～養}鍵倦
kʰ	[1]圈[2]環-{耳～}[3]犬恐鞏[5]勸
ŋ	[2]言原源元[6]願
h	[1]凶兇洶匈胸[2]雄宏熊玄弦懸融[5]獻憲[6]縣
∅	[1]淵冤雍[2]容溶蓉榕袁園援媛沿員圓緣完[3]勇遠[5]湧擁怨[6]用傭
#œʔ	
t	[7]竹竺築[8]逐軸
n	[7]□{嚇一跳}[8]肉-
l	[7]六陸錄{～音}綠氯
ts	[7]足祝叔-[8]絕辱肉
tsʰ	[7]促觸[8]□{短貌}誶{譏責}
ɬ	[7]叔宿縮淑肅說雪[8]俗續贖屬蜀熟塾術{手～}秫
k	[7]決訣抉菊鞠[8]玉局月獄
kʰ	[7]曲缺闕
h	[7]畜旭蓄血[8]穴
∅	[7]郁噦{吐}[8]欲慾浴育毓越曰粵閱悅
#ɔŋ	
p	[1]分-奔[2]㖹{吹}[3]本[5]糞畚[6]笨
pʰ	[1]潘-{泔水}[2]盆[3]埲[5]噴湓
m	[2]文門紋聞雯[3]吻[6]悶問燜紊
t	[1]敦墩鈍{刀～}[2]唇[3]盾囤[5]頓[6]遁鈍{遲～}燉
tʰ	[1]吞椿[2]豚[3]腯[5]□{填}
n	[2]撚[3]忍-{擔心}[5]潤-[6]閏嫩
l	[1]扔[2]侖崙掄輪倫淪[5]□{久啃}[6]論
ts	[1]尊遵諄[2]存[3]准[5]俊駿圳[6]潤
tsʰ	[1]春伸-[3]蠢[5]寸[6]□{擰}
ɬ	[1]孫[2]旬巡勻-荀循純船-醇淳[3]筍隼[5]遜舜瞬[6]順殉
k	[1]君軍[2]群拳-裙[3]滾袞[5]棍[6]郡
kʰ	[1]昆坤菌[3]捆[5]困睏
h	[1]分芬紛昏婚勳葷熏薰[2]魂渾痕-眩[3]粉忿憤[5]奮訓[6]混分{本～}份
∅	[1]溫瘟[2]雲勻耘[3]穩[5]搵[6]運韻醯慍蘊
#ɔʔ	
p	[7]不[8]物沒{沉～}勿
pʰ	[7]□{躍}[8]□{心跳}
t	[7]□{點火}[8]突
tʰ	[7]□{燙}禿[8]□{下降}
l	[7]脫[8]律率{效～}
ts	[7]卒
tsʰ	[7]出黜
ɬ	[7]戌率恤[8]蜀-{一}術述秫{又音}
k	[7]骨[8]猾滑掘
kʰ	[7]乞窟[8]屈{短}䘿{短衣}
h	[7]拂忽[8]佛核-
∅	[7]熨[8]□{抹}
#ɒŋ	
p	[1]乓□{擲}[2]房旁[3]榜[5]謗[6]傍棒磅泵
pʰ	[1]豐-[2]盤{～古}捧蓬[5]□{脹}[6]碰-
m	[2]亡忙芒茫蒙忘[3]網莽[5]妄夢[6]忘{新讀}望
t	[1]當東冬中-{～央}[2]同桐堂筒螳童唐塘棠[3]黨董[5]檔當擋凍棟幢[6]動盪蕩洞恫撞
tʰ	[1]湯通[2]糖[3]統[5]燙痛蕩{蘆葦～}[6]蕩{走路慢}
n	[2]農囊[3]曩[5]□{陷入}
l	[1]□{擊}[2]狼郎廊螂聾[3]朗[5]□{窺探}[6]浪弄
ts	[1]莊妝粧贓裝宗棕綜[2]藏崇[3]總[5]壯葬[6]狀臟{心～}藏{西～}
tsʰ	[1]倉蒼瘡匆聰[2]床[3]愴[5]創[6]慫-{慫恿}
ɬ	[1]桑雙霜鬆喪[2]叢[3]爽嗓[5]送喪宋[6]□{腰扭傷}
k	[1]工公鋼崗岡刖綱缸光功攻江{～陰，地名}[2]狂[3]廣講-龔[5]貢汞贛
kʰ	[1]康慷糠空腔匡框筐[2]□{尋找}[3]孔[5]礦曠控抗炕空[6]虹-
ŋ	[2]昂[6]戇
h	[1]封風豐瘋楓蜂峰荒慌烘方[2]黃皇惶蝗煌紅洪鴻逢郭防凰[3]訪紡諷[5]放況[6]鳳哄奉
∅	[1]汪翁塕{塵起}[2]王[3]往枉[5]甕{小洞}[6]旺
#ɒʔ	
p	[7]剝蔔[8]木目牧穆寞博{淵～}
pʰ	[7]撲{～克}樸搏博[8]曝
t	[7]篤督琢諑{責}[8]毒獨諾鐸犢牘度{猜～}
tʰ	[7]托豛[8]讀
l	[7]漉{涉}[8]鹿落洛駱絡綠-祿碌樂烙摝{搖振}
ts	[7]作燭坐座[8]族濁褥-
tsʰ	[7]錯粟-{穀子}[8]鑿䟉{顛}
ɬ	[7]速束索{～性}[8]□{浪拍}
k	[7]各閣穀{～雨}國郭萼郭鱷[8]□{芽}噩
kʰ	[7]擴哭酷麴[8]磕-{～頭}
h	[7]福幅覆複{重～}霍[8]服鶴伏覆復{康～}茯合-{無縫}
∅	[7]屋沃-{澆}惡[8]盒-
#iŋ	
p	[1]兵賓濱冰彬斌檳[2]貧頻平憑蘋[3]炳丙餅秉禀[5]井鬢殯柄{把～}變-{～面}[6]病辮-{編織}
pʰ	[1]乒拼{～湊}[2]評坪萍[3]品[5]聘拼{又音}
m	[2]民明棉-眠-名銘茗冥鳴[3]敏憫皿[5]面-[6]命面-{線～}
t	[1]徵-甜[2]呈程塵沉{～香}懲藤-澄-[5]鎮占-[6]陣□{滿}
tʰ	[1]珍-琛天-添-[3]□{瞌睡}逞[5]䋎{縫合}
n	[1]拈-[2]年-[3]染-[6]認-
l	[2]林霖淋臨陵凌菱鄰鱗[3]領嶺廩[6]令另
ts	[1]津精蒸晶㰇真[2]秦錢-人仁壬仍情[3]診整振震忍枕振井[5]正證政症進晉浸[6]盡任淨靜靖紉
tsʰ	[1]親侵深青清稱{～呼}[2]尋潯塍{田埂}[3]請寢[5]凊{涼}稱秤[6]親{～家}趁
ɬ	[1]心辛新莘薪伸身升仙-星腥芯申聲[2]神尋蟳乘簷蠅繩承丞成城誠臣晨辰[3]醒嬸審瀋{～陽}省{反～}[5]信訊汛迅扇-性姓聖勝[6]腎慎剩甚盛
k	[1]金今經襟京驚荊鯨[2]琴禽墘{邊}舷{邊}[3]緊錦景境謹[5]禁勁警敬鏡竟見-[6]腱{雞～}僅妗竟
kʰ	[1]欽輕卿兢[2]□{斟}擒[5]慶
ŋ	[2]迎吟凝
h	[1]興兄杴馨[2]形刑型[5]硯-興{高～}
∅	[1]因姻陰音茵膺鷹嬰纓應{～該}英湮-櫻措{掩}[2]寅盈圓-淫延-{～壽}[3]引蚓飲{冷～}最潁[5]印應{答～}飲蔭映-[6]院-孕胤
#iʔ	
p	[7]筆必畢壁辟璧[8]碧密蜜幕
pʰ	[7]匹癖僻劈霹避
t	[7]擲[8]直入-蟄侄秩日-佚
tʰ	[7]敕
n	[7]昵
l	[7]蒞[8]立力栗
ts	[7]執質鯽即織職積跡脊寂績[8]疾寂集日籍值植殖入{～聲}
tsʰ	[7]七膝赤尺戚[8]吃輯緝
ɬ	[7]濕悉失室息媳熄式識昔適釋析飾蝕[8]習十實拾襲食夕翼-值{又音}席石碩
k	[7]急給吉桔[8]及極逆劇{戲～}
kʰ	[7]吸級戟激擊隙[8]□{小木樁}
h	[7]翕熻{燜}[8]檄
∅	[7]一乙益揖[8]逸佚譯抑溢易{交～}翼液腋亦奕
#iaŋ	
p	[1]□{迸}[6]□{擊打}
t	[1]砧[3]點[5]□{摘}店[6]甸墊
tʰ	[1]添[2]甜恬[3]忝[5]□{填入}
n	[2]粘[3]□{攆}[5]□{摘下}[6]念
l	[2]簾廉鐮濂[3]臉[6]殮斂
ts	[1]尖針占{～卦}[2]潛[3]剪翦染戩[5]箭占佔[6]漸
tsʰ	[1]簽籤纖{又音}[2]譖{責備}[5]僭{插}[6]□{跛行}
ɬ	[1]森參{人～}[3]閃陝[6]贍
k	[1]兼[2]鹹-[3]減檢[5]劍[6]儉
kʰ	[1]謙[2]鉗[3]堿鹼歉[5]欠芡[7]□{乖}
ŋ	[2]嚴閻[3]儼[5]□{冷卻}[6]驗
h	[1]掀-[2]嫌[3]險顯[5]□{向}[6]□{不妙}
∅	[1]醃閹[2]鹽炎[3]掩[5]厭蔭-[6]焰豔
#iaʔ	
p	[7]□{裂痕}[8]□{裂開}
t	[8]蝶碟諜迭疊牒
tʰ	[7]貼帖
n	[7]聶攝捏躡鑷
l	[8]笠-
ts	[7]接汁[8]捷婕
tsʰ	[7]竊妾
ɬ	[7]澀{又音}攝{又音}[8]涉食-
k	[7]夾劫[8]業孽
kʰ	[8]挾{掐}梜{農具一種}
h	[7]□{傾倒}[8]協脅狹峽俠
∅	[7]豔{舊讀}[8]葉頁曳{搧}
#uŋ	
p	[2]□{量詞}[3]榜-
m	[3]莽-蟒-[5]□{暈}
t	[1]當□{誘捕}[2]長-腸-堂-{祠～}唐-{姓}塘-[3]漲-[5]當-{～鋪}[6]丈-盪-{洗}
tʰ	[1]湯-[2]糖-
n	[6]兩-{二}
l	[2]郎-{小～}瓤-榔-{檳～芋}[3]□{騷亂}[5]浪-{遮～，地名}
ts	[1]妝-裝-贓-莊-[6]狀-{～詞}臟-
tsʰ	[1]倉-瘡-滄-艙-[2]床-{桌子}
ɬ	[1]霜-[3]嗓-{腔調}
k	[1]光-扛-缸-[2]狂-[3]廣-{～東}[5]鋼-杠-
kʰ	[1]康-糠-[3]壙{墓穴}[5]囥-{藏}
h	[5]放-{又音}
#uʔ	
ɬ	[8]□{緊勒}
k	[8]□{咽，又音}
kʰ	[8]□{久煮}
#uaŋ	
p	[1]般搬[2]蟠盤[3]坂{～頂}半[6]拌
pʰ	[1]番-潘藩[5]判叛[5]伴絆胖
m	[2]瞞[3]滿
t	[1]端[2]團[3]短[5]斷{決～}[6]斷{～續}鍛段緞
tʰ	[1]湍
n	[3]暖
l	[2]巒欒鑾鸞[3]卵[6]亂
ts	[1]鑽{～研}[2]□{殺}[3]轉[5]鑽[6]撰
tsʰ	[1]穿[5]串竄闖篡
ɬ	[1]酸[5]算蒜[6]𥖄{鑽石}檨{芒果}
k	[1]官觀{參～}冠{～冕}關鰥菅棺[3]管館[5]貫慣灌鯉冠{～軍}觀{寺～}
kʰ	[1]寬[3]款
ŋ	[2]頑玩{遊～}[6]玩{～物}
h	[1]歡翻番{～客}[2]繁礬環還{歸～}桓[3]反返[5]喚換煥渙販[6]幻緩宦患
∅	[1]彎[2]灣刓{切割}[3]宛腕碗婉皖烷
#uaʔ	
p	[7]抹[8]末博{賭錢}
pʰ	[7]潑[8]□{披}
t	[8]奪
tʰ	[7]禿脫
l	[8]捋辣-{又音}
ts	[8]□{差錯}
ɬ	[7]刷[8]□{試}
k	[7]刮括[8]□{破裂}
kʰ	[7]闊[8]□{擊斃}
h	[7]發髪[8]伐劃{又音}罰閥越{跨步}
∅	[7]斡[8]活劃{筆～}
#yŋ	
k	[1]斤筋巾根-跟-{腳～}均[2]勤[5]□{執拗}[6]近
kʰ	[1]傾[2]芹瓊[3]懇墾頃
ŋ	[2]銀
h	[1]欣[2]眩{暈}[3]狠{忙}[5]釁[6]恨
∅	[1]恩殷[2]榮嶸熒營[3]允永隱[5]瑩[6]詠泳
#yʔ	
h	[7]□{甩水}
∅	[8]役疫域{領～}
#yɒŋ	
t	[1]張[2]長{特～}腸場[3]長{隊～}[5]脹漲[6]杖丈仗
tʰ	[5]暢悵
l	[2]良涼量{測～}糧梁粱[3]兩[6]亮諒量{重～}的
ts	[1]章璋樟漳彰將{～軍}[2]釀{又}[3]掌壤[5]醬將{大～}障嶂獎[6]讓釀
tsʰ	[1]槍昌猖[2]牆[3]廠搶[5]倡唱
ɬ	[1]傷商相{互～}廂箱湘襄[2]詳祥常嘗翔[3]想賞[5]相{照～}[6]上尚象像
k	[2]疆薑[2]強[3]強{勉～}
kʰ	[1]羌
ŋ	[3]仰
h	[1]鄉香薌[3]響享[5]向
∅	[1]央秧殃[2]羊洋揚楊陽煬[3]養氧[5]映[6]樣
#yɒʔ	
t	[7]著
l	[8]略掠
ts	[7]酌爵[8]若弱
tsʰ	[7]鵲雀[8]□{歪斜}
ɬ	[7]削勺灼芍
k	[7]矍腳[8]虐瘧
kʰ	[7]卻
h	[8]越{跨步，又音}
∅	[7]約{大～}[8]躍
#ŋ	
h	[1]方-{姓}坊-咉{應答聲}[2]□{擤鼻涕}
∅	[1]秧-央-{中～}峰-{厚～，地名}[2]黃-行-{排～}[3]影-{人～}母-{丈～}[5]䁐{看守，又盼望}[6]鳳{～跡，地名}毋{不}
