拼音	IPA	調號	單字
zieu	tsiəu	3	酒
zieu	tsiəu	6	就
cieu	tsʰiəu	1	秋
sieu	siəu	1	修羞
sieu	siəu	5	秀繡宿[星～]銹袖
zhieu	tɕiəu	1	鳩鬮糾
zhieu	tɕiəu	2	揪囚泅求球
zhieu	tɕiəu	3	九久韭
zhieu	tɕiəu	5	灸救究臼舅[(文)]舊[(文)]咎柩㲃[擰、拗：把水龍頭～緊]
zhieu	tɕiəu	6	舊[(白)]舅[(白)]
zhieu	tɕiəu	7	菊東
chieu	tɕʰiəu	1	丘
chieu	tɕʰiəu	7	曲
gnieu	ȵiəu	2	牛
gnieu	ȵiəu	3	紐扭
shieu	ɕiəu	1	休
shieu	ɕiəu	2	柔揉
shieu	ɕiəu	3	朽
shieu	ɕiəu	5	嗅[(文)]
shieu	ɕiəu	7	粟[(白)]畜[(文)]蓄
ieu	iəu	1	優憂悠幽
ieu	iəu	2	尤郵由油游遊猶
ieu	iəu	3	酉有友
ieu	iəu	5	又[(文)]右[(文)]釉[(文)]佑誘柚鼬幼
ieu	iəu	6	又[(白)]右[(白)]釉[(白)]
ieu	iəu	7	肉郁鬱育辱褥獄欲浴
ban	pã	1	班斑頒扳
ban	pã	3	板版
ban	pã	5	扮瓣[(文)]辦[(文)]
ban	pã	6	瓣[(白)]辦[(白)]
pan	pʰã	1	攀
pan	pʰã	5	盼襻[鞋～子]
man	mã	2	蠻
man	mã	3	晚[(白)排行最後的]
man	mã	5	漫幔
man	mã	6	慢㿸[～痂子：積在皮膚上的污垢]
fan	ɸã	1	帆藩翻番
fan	ɸã	2	煩凡繁環
fan	ɸã	3	反
fan	ɸã	5	泛貶
fan	ɸã	6	犯范範飯
dan	tã	1	耽擔丹單覘[擡頭：～起腦殼]
dan	tã	2	潭譚談痰檀罈彈
dan	tã	3	膽撣
dan	tã	5	擔[～子]誕旦淡[(文)]蛋[(文)]但[(文)]彈[(文)]
dan	tã	6	淡[(白)]蛋[(白)]但[(白)]彈[(白)]
tan	tʰã	1	貪灘攤
tan	tʰã	3	毯坦
tan	tʰã	5	探炭嘆
lan	lã	2	南男藍籃蘭攔欄
lan	lã	3	覽攬欖纜懶
lan	lã	5	濫難
lan	lã	6	爛
zan	tsã	1	簪
zan	tsã	2	蠶慚讒饞摻殘蜇[(訓讀)(馬蜂)蜇(人)]
zan	tsã	3	斬盞
zan	tsã	5	站[～立]蘸贊讚灒[濺]棧
zan	tsã	6	暫賺站[車～]
can	tsʰã	1	參餐
can	tsʰã	3	慘鏟產
can	tsʰã	5	燦
san	sã	1	三衫珊山刪柵
san	sã	3	散傘
san	sã	5	疝
gan	kã	1	甘柑泔干乾肝竿艱間[中～]奸姦
gan	kã	3	感敢橄減鹼桿稈擀趕簡襉柬揀
gan	kã	5	監鑑艦間[～斷]
kan	kʰã	1	龕堪勘嵌刊
kan	kʰã	3	坎砍
kan	kʰã	5	看
ngan	ŋã	1	安[(文)]鞍
ngan	ŋã	2	顏
ngan	ŋã	3	眼
ngan	ŋã	5	暗[(文)]岸[(文)]按案雁晏
xan	xã	2	含函咸銜寒韓
xan	xã	3	喊罕
xan	xã	5	撼陷餡旱限
xan	xã	6	漢焊翰莧
guan	kuã	1	關
kuan	kʰuã	3	摜[撞；摔]
uan	uã	1	彎灣
uan	uã	2	頑還[～原]玩
uan	uã	3	晚[(文)]挽
uan	uã	5	萬[(文)]
uan	uã	6	萬[(白)]
bon	pø̃	1	般搬
bon	pø̃	2	盤螃
bon	pø̃	5	半絆
bon	pø̃	6	伴拌
pon	pʰø̃	1	潘
pon	pʰø̃	5	判叛
mon	mø̃	2	瞞饅
mon	mø̃	3	滿
don	tø̃	1	端
don	tø̃	2	團糰
don	tø̃	3	短
don	tø̃	5	斷鍛緞椴
lon	lø̃	2	鸞
lon	lø̃	3	暖卵軟
lon	lø̃	5	亂[(文)]
lon	lø̃	6	亂[(白)]
zon	tsø̃	1	鑽[動詞]
zon	tsø̃	3	纂攢
zon	tsø̃	5	鑽[木工工具]
con	tsʰø̃	5	竄篡
son	sø̃	1	酸閂栓
son	sø̃	5	算蒜
zron	tʂø̃	1	瞻占[～卜]專磚膞捐沾
zron	tʂø̃	2	纏傳[～下來]船拳權顴
zron	tʂø̃	3	展轉捲
zron	tʂø̃	5	佔戰顫篆傳[～記]眷卷絹倦
cron	tʂʰø̃	1	川穿圈
cron	tʂʰø̃	3	喘犬
cron	tʂʰø̃	5	串勸券
sron	ʂø̃	1	扇[動詞]搧煽
sron	ʂø̃	2	蟬禪[～宗]玄懸
sron	ʂø̃	3	陝閃
sron	ʂø̃	5	善扇[名詞]膳單[姓]禪[～讓]
gon	kø̃	1	官棺觀[參～]冠[衣～]鰥
gon	kø̃	3	管館
gon	kø̃	5	貫灌罐觀[寺～]冠[～軍]
kon	kʰø̃	1	寬
kon	kʰø̃	3	款
ngon	ŋø̃	1	庵安[(白)]
ngon	ŋø̃	5	暗[(白)]岸[(白)]
xon	xø̃	1	鼾歡
xon	xø̃	2	桓
xon	xø̃	3	緩
xon	xø̃	5	喚換幻患宦
xon	xø̃	6	汗
on	ø̃	1	冤淵
on	ø̃	2	完丸豌剜元
on	ø̃	3	皖碗腕阮宛
on	ø̃	5	院願怨
binn	piɪ̃	1	鞭邊蝙鯿[～魚]
binn	piɪ̃	3	貶扁匾
binn	piɪ̃	5	變辯辨遍
binn	piɪ̃	6	辮
pinn	pʰiɪ̃	1	偏篇
pinn	pʰiɪ̃	5	騙便[～宜]片
pinn	pʰiɪ̃	6	便[方～]
minn	miɪ̃	2	眉[(白)]綿棉眠
minn	miɪ̃	3	免勉娩緬澠
minn	miɪ̃	5	麵[～條]
minn	miɪ̃	6	麵[～條]
dinn	tiɪ̃	1	掂顛登[(白)]燈[(白)]
dinn	tiɪ̃	2	甜田填藤[(白)]
dinn	tiɪ̃	3	點典等[(白)]
dinn	tiɪ̃	5	店電佃奠殿[(文)]墊[(文)]凳[(白)]
dinn	tiɪ̃	6	澄殿[(白)]墊[(白)]
tinn	tʰiɪ̃	1	添天吞[(白)]
tinn	tʰiɪ̃	3	舔
linn	liɪ̃	2	廉鐮簾連聯蓮楞鰱
linn	liɪ̃	3	斂殮臉
linn	liɪ̃	5	練煉楝
zinn	tsiɪ̃	1	尖殲煎
zinn	tsiɪ̃	2	泉全潛錢前
zinn	tsiɪ̃	3	剪
zinn	tsiɪ̃	5	漸箭濺賤[(文)]
zinn	tsiɪ̃	6	賤[(白)]餞
cinn	tsʰiɪ̃	1	簽遷
cinn	tsʰiɪ̃	3	淺
sinn	siɪ̃	1	仙鮮[新～]先宣喧僧生[(白)]
sinn	siɪ̃	2	涎
sinn	siɪ̃	3	選鮮[～少]癬
sinn	siɪ̃	5	線
zhinn	tɕiɪ̃	1	兼肩堅
zhinn	tɕiɪ̃	2	鉗乾虔
zhinn	tɕiɪ̃	3	檢儉繭
zhinn	tɕiɪ̃	5	劍建鍵健腱見
zhinn	tɕiɪ̃	6	件
chinn	tɕʰiɪ̃	1	謙箋千牽
chinn	tɕʰiɪ̃	3	歉
chinn	tɕʰiɪ̃	5	欠
gninn	ȵiɪ̃	1	拈蔫研
gninn	ȵiɪ̃	2	嚴鮎言年
gninn	ȵiɪ̃	3	撚攆
gninn	ȵiɪ̃	5	驗儼諺念[(文)]硯[(文)]
gninn	ȵiɪ̃	6	釅念[(白)]硯[(白)]
shinn	ɕiɪ̃	1	軒掀
shinn	ɕiɪ̃	2	嫌賢弦
shinn	ɕiɪ̃	3	險顯
shinn	ɕiɪ̃	5	憲獻現[(文)]縣[(文)]
shinn	ɕiɪ̃	6	現[(白)]縣[(白)]眩
ginn	kiɪ̃	1	跟根庚
kinn	kʰiɪ̃	3	墾懇啃肯[(白)]
inn	iɪ̃	1	淹閹醃硽煙醃
inn	iɪ̃	2	炎鹽閻簷然燃延筵[～席]
inn	iɪ̃	3	染冉掩演
inn	iɪ̃	5	厭艷焰堰燕咽宴會
ben	pen	1	奔[(文)跑；～頭]
ben	pen	2	奔[(白)跑]盆朋彭膨棚
ben	pen	3	本
ben	pen	5	奔[(文)～頭]笨
pen	pʰen	1	噴[～水]烹
pen	pʰen	5	噴[～香]
men	men	1	蚊[(白)]
men	men	2	門萌
men	men	5	悶
men	men	6	門[～口：跟前]
fen	ɸen	1	婚昏芬分紛葷
fen	ɸen	2	魂餛渾焚墳
fen	ɸen	3	混[相～]粉
fen	ɸen	5	糞奮憤忿份[(文)]
fen	ɸen	6	份[(白)]
den	ten	1	敦墩[(文)]燈[(文)]澄橙蹬
den	ten	2	屯豚飩謄臀騰滕藤[(文)]
den	ten	3	墩[(白)樹～子]等[(文)]
den	ten	5	頓囤沌盾鈍遁凳[(文)]鄧瞪蹾[豎起：把書～起敞]
ten	tʰen	3	僜[間斷不連續，講話打～]隥[台階或表台階的量詞：一～樓梯]
len	len	2	淪論[～語]崙倫輪能
len	len	5	嫩[(文)]論[議～]
len	len	6	嫩[(白)]
zen	tsen	1	尊遵蹲曾[姓]增憎蹭爭[(文)]
zen	tsen	2	層存曾[～經]
zen	tsen	3	怎
zen	tsen	5	俊
cen	tsʰen	1	村
cen	tsʰen	3	忖
cen	tsʰen	5	寸贈
sen	sen	1	孫旬循巡殉牲甥
sen	sen	2	荀
sen	sen	3	損筍榫笙省
sen	sen	5	遜
zren	tʂen	1	針斟珍榛臻真征徵懲蒸貞偵正[～月]
zren	tʂen	2	成城誠沉陳[姓]呈程逞
zren	tʂen	3	枕診疹整[(文)]
zren	tʂen	5	鎮振震證症鄭正政陣[(文)～痛]
zren	tʂen	6	陣[(白)一～]
cren	tʂʰen	1	稱[～呼]
cren	tʂʰen	5	趁襯秤稱[～職]
sren	ʂen	1	申深身伸娠升聲[(文)]
sren	ʂen	2	神辰晨臣乘繩塍承丞盛[～滿]
sren	ʂen	3	沈審嬸
sren	ʂen	5	甚腎慎勝剩聖盛[興～]
gen	ken	1	更羹埂耕
gen	ken	3	拯梗[(文)]耿整[(訓讀)整的、沒有拆開的：～票子]
ken	kʰen	1	空[～心]
ken	kʰen	3	肯[(文)]
ken	kʰen	5	空[沒～]
ngen	ŋen	1	恩
ngen	ŋen	3	嗯[大便時用力]
xen	xen	1	亨
xen	xen	2	痕虹[(文)]恆弘衡
xen	xen	3	很
xen	xen	5	恨
bin	pin	1	彬賓檳殯鬢冰兵
bin	pin	2	貧頻憑平坪評瓶屏萍蘋
bin	pin	3	禀丙秉柄餅
bin	pin	5	並鬢
bin	pin	6	病[(文)]
pin	pʰin	1	拼姘
pin	pʰin	3	品
pin	pʰin	5	聘
min	min	2	閩民冥泯鳴明盟名[(文)]銘
min	min	3	抿憫敏皿
min	min	6	命[(文)]
din	tin	1	疔丁釘[(文)名詞]靪砧[～板]
din	tin	2	亭停廷庭蜓
din	tin	3	頂鼎
din	tin	5	錠[(文)]訂[(文)]定[(文)]釘[(文)動詞]
din	tin	6	錠[(白)]訂[(白)]定[(白)]
tin	tʰin	1	廳[(文)]汀
tin	tʰin	3	艇挺錠
lin	lin	2	玲林淋粼鱗燐陵凌菱靈零[(文)]鈴伶拎翎鄰
lin	lin	3	凜檁廩
lin	lin	5	吝令另[(文)]
lin	lin	6	另[(白)]
zin	tsin	1	津精[(文)]晶睛
zin	tsin	2	尋秦情晴
zin	tsin	5	盡[(文)]進靜[(文)]靖淨
zin	tsin	6	盡[(白)]靜[(白)]
cin	tsʰin	1	親[～人]
cin	tsʰin	5	親[～家]
sin	sin	1	心辛新薪星[(文)]
sin	sin	5	信訊汛性姓
zhin	tɕin	1	今金禁襟巾斤筋莖京荊驚鯨經徑
zhin	tɕin	2	琴禽擒勤芹
zhin	tɕin	3	錦緊謹景警
zhin	tɕin	5	浸禁[～止]僅勁境競近[(文)]
zhin	tɕin	6	近[(白)]
chin	tɕʰin	1	侵欽卿輕[(文)]青[(文)]蜻[(文)]
chin	tɕʰin	2	秦
chin	tɕʰin	3	寢傾[(文)～腦殼：點頭]
chin	tɕʰin	5	慶
gnin	ȵin	2	銀迎
shin	ɕin	1	欣興[～旺]馨
shin	ɕin	2	行[～爲]形型刑
shin	ɕin	3	醒擤
shin	ɕin	5	釁興[高～]杏行[品～]幸焮[用小火將米飯燜熟]
in	in	1	音陰蔭因姻湮殷鷹蠅鶯鸚櫻英嬰纓
in	in	2	銀壬任淫人仁寅仍扔贏[(文)]
in	in	3	飲忍引穎隱影[(文)]
in	in	5	任紝刃認韌印應孕映硬[(文)]
guen	kuen	3	滾
guen	kuen	5	棍
kuen	kʰuen	1	傾[(文)]昆崑坤
kuen	kʰuen	3	綑
kuen	kʰuen	5	困
xuen	xuen	2	橫
uen	uen	1	溫瘟
uen	uen	2	文紋蚊[(文)]聞
uen	uen	3	穩吻刎
uen	uen	5	搵[淹沒]問[(文)]
uen	uen	6	問[(白)]璺
zhyen	tɕyen	1	肫均鈞君軍
zhyen	tɕyen	2	群裙
zhyen	tɕyen	3	准準窘
zhyen	tɕyen	6	菌郡
chyen	tɕʰyen	1	春椿
chyen	tɕʰyen	3	蠢
shyen	ɕyen	1	熏勳薰
shyen	ɕyen	2	唇純蒓醇
shyen	ɕyen	5	舜訓順[(文)]
shyen	ɕyen	6	順[(白)]
yen	yen	1	暈
yen	yen	2	勻云雲螢榮營塋
yen	yen	3	允尹永
yen	yen	5	熨韻運泳詠孕潤[(文)]
yen	yen	6	閏潤[(白)]
lang	lɑŋ	3	冷
zang	tsɑŋ	1	爭[(白)]牚
cang	tsʰɑŋ	1	撐
sang	sɑŋ	1	生[(白)]聲
zrang	tʂɑŋ	3	整[(白)～病]
gang	kɑŋ	3	哽梗[(白)]
kang	kʰɑŋ	1	坑[水～]
kang	kʰɑŋ	3	𠻞[咳嗽]
ngang	ŋɑŋ	6	硬[(白)]
biang	piɑŋ	3	餅
biang	piɑŋ	6	病[(白)]
piang	pʰiɑŋ	3	片[(訓讀)一～：一大片]
miang	miɑŋ	2	名[(白)]
miang	miɑŋ	6	命[(白)]
diang	tiɑŋ	1	釘[(白)名詞]粘[(訓讀)貼；緊跟]
diang	tiɑŋ	5	釘[(白)動詞]甸[(訓讀)～重的：很重]
tiang	tʰiɑŋ	1	廳[(白)～屋]
tiang	tʰiɑŋ	3	腆
tiang	tʰiɑŋ	5	聽
liang	liɑŋ	2	零[(白)]
liang	liɑŋ	3	領嶺
ziang	tsiɑŋ	1	精[(白)]
ziang	tsiɑŋ	3	井
ciang	tsʰiɑŋ	1	清
ciang	tsʰiɑŋ	3	請
siang	siɑŋ	1	星[(白)]
siang	siɑŋ	5	腥
zhiang	tɕiɑŋ	3	頸
chiang	tɕʰiɑŋ	1	輕[(白)]青[(白)]蜻[(白)]
iang	kiɑŋ	2	盈贏[(白)]
iang	kiɑŋ	3	影[(白)]
guang	kuɑŋ	1	咣[～當：象聲詞]
kuang	kʰuɑŋ	1	傾[(白)]
beng	pəŋ	2	蓬篷
peng	pʰəŋ	3	捧
meng	məŋ	1	蒙
meng	məŋ	3	蟒猛懵
feng	ɸəŋ	1	風楓瘋諷豐封峰鋒蜂
feng	ɸəŋ	2	馮縫[～衣]逢
feng	ɸəŋ	5	鳳奉
feng	ɸəŋ	6	俸縫[一條～]
deng	təŋ	1	東冬
deng	təŋ	2	同銅桐筒童瞳
deng	təŋ	3	董懂
deng	təŋ	5	凍棟動[(文)]洞[(文)]
deng	təŋ	6	動[(白)]洞[(白)]
teng	tʰəŋ	1	吞[(文)]通
teng	tʰəŋ	3	捅桶統淌[(訓讀)汗是個～]
teng	tʰəŋ	5	痛
leng	ləŋ	1	聾籠
leng	ləŋ	2	農膿儂隆濃龍
leng	ləŋ	3	攏隴壠
leng	ləŋ	5	弄
zeng	tsəŋ	1	棕鬃宗綜倧踪
zeng	tsəŋ	2	從[跟～]松[(白)]
zeng	tsəŋ	3	總
zeng	tsəŋ	5	粽縱
ceng	tsʰəŋ	1	聰忽蔥囪從[～容]
ceng	tsʰəŋ	3	㩳[推：～車子]
seng	səŋ	1	松[(文)]嵩
seng	səŋ	3	慫聳
seng	səŋ	5	送宋訟頌誦
zreng	tʂəŋ	1	中[當～]忠終鐘鍾盅
zreng	tʂəŋ	2	蟲崇重[～复]
zreng	tʂəŋ	3	種[～類]腫
zreng	tʂəŋ	5	中[射～]眾種[～樹]重[(文)～要]
zreng	tʂəŋ	6	重[(白)輕～]
creng	tʂʰəŋ	1	充沖衝舂
creng	tʂʰəŋ	3	寵
creng	tʂʰəŋ	5	仲銃衝[氣味濃烈刺鼻：～菜子]
geng	kəŋ	1	公蚣工功攻弓躬宮恭供[～不應求]
geng	kəŋ	3	汞拱鞏凸[(訓讀)]
geng	kəŋ	5	共[(文)]貢供[供～]
geng	kəŋ	6	共[(白)]
keng	kʰəŋ	1	空[～虛]
keng	kʰəŋ	3	孔恐
keng	kʰəŋ	5	控空[～缺]
xeng	xəŋ	1	轟烘
xeng	xəŋ	2	宏紅洪鴻虹[(文)]
xeng	xəŋ	3	哄
xeng	xəŋ	6	蕻[草木蔬菜的嫩苔：油菜～，～子菜]
zhieng	tɕiəŋ	2	瓊窮
shieng	ɕiəŋ	1	兄胸凶兇
shieng	ɕiəŋ	2	熊雄
shieng	ɕiəŋ	5	嗅[(白)]
ieng	iəŋ	1	雍擁
ieng	iəŋ	2	融茸蓉容鎔庸
ieng	iəŋ	3	甬勇湧
ieng	iəŋ	6	用
ueng	uəŋ	1	翁
ueng	uəŋ	5	壅[掩藏，遮蓋]甕蕹[～菜]
bong	poŋ	1	幫邦
bong	poŋ	2	旁滂傍
bong	poŋ	3	榜謗綁
bong	poŋ	5	棒蚌
pong	pʰoŋ	1	胮
pong	pʰoŋ	2	龐
pong	pʰoŋ	5	胖
mong	moŋ	2	忙芒茫盲虻
mong	moŋ	5	蒙[一層膜：眼上白～子]
dong	toŋ	1	當[～時]
dong	toŋ	2	堂棠螳唐糖塘
dong	toŋ	3	黨擋
dong	toŋ	5	當[典～]
tong	tʰoŋ	3	躺倘
tong	tʰoŋ	5	燙趟蕩盪
long	loŋ	2	囊郎廊狼蜋
long	loŋ	3	朗
long	loŋ	6	浪
zong	tsoŋ	1	髒藏[隱～]莊裝樁
zong	tsoŋ	2	床
zong	tsoŋ	5	葬藏[西～]
cong	tsʰoŋ	1	倉蒼闖窗
cong	tsʰoŋ	3	撞
song	soŋ	1	桑喪霜孀雙
song	soŋ	3	嗓爽
song	soŋ	5	喪
zrong	tʂoŋ	1	張章樟
zrong	tʂoŋ	2	長[～短]腸場
zrong	tʂoŋ	3	長[生～]漲掌
zrong	tʂoŋ	5	仗杖帳脹暢壯障瘴倡
zrong	tʂoŋ	6	丈狀
crong	tʂʰoŋ	1	昌菖
crong	tʂʰoŋ	3	闖廠
crong	tʂʰoŋ	5	創唱
srong	ʂoŋ	1	傷商
srong	ʂoŋ	2	常嘗裳償
srong	ʂoŋ	3	賞晌
srong	ʂoŋ	6	上尚
gong	koŋ	1	綱岡崗剛缸鋼光
gong	koŋ	2	逛狂
gong	koŋ	3	廣講[(白)]港
gong	koŋ	5	虹[(白)]
kong	kʰoŋ	1	康糠慷匡筐眶
kong	kʰoŋ	2	扛
kong	kʰoŋ	5	抗炕曠況礦
xong	xoŋ	1	慌方芳
xong	xoŋ	2	行[～列]航杭黃[(文)]簧皇蝗妨房
xong	xoŋ	3	謊晃[～眼]仿紡彷訪
xong	xoŋ	5	放項
xong	xoŋ	6	巷
ong	oŋ	1	汪枉
ong	oŋ	2	黃[(白)]王亡
ong	oŋ	3	網往
ong	oŋ	5	妄望旺
ong	oŋ	6	忘
liong	lioŋ	2	良涼量[～長短]糧梁粱
liong	lioŋ	3	兩輛
liong	lioŋ	5	亮諒量[數～]
ziong	tsioŋ	2	牆詳祥
ziong	tsioŋ	3	蔣獎槳
ziong	tsioŋ	5	踐像象橡醬將[大～]
ziong	tsioŋ	6	匠
ciong	tsʰioŋ	1	槍
ciong	tsʰioŋ	3	搶
siong	sioŋ	1	相[互～]箱廂湘鑲襄
siong	sioŋ	3	想
siong	sioŋ	5	相[～貌]
zhiong	tɕioŋ	1	江姜
zhiong	tɕioŋ	2	強
zhiong	tɕioŋ	3	講[(文)]
zhiong	tɕioŋ	5	降[下～]
chiong	tɕʰioŋ	1	疆僵薑礓韁羌腔
gniong	ȵioŋ	2	娘孃
gniong	ȵioŋ	3	仰
shiong	ɕioŋ	1	香鄉
shiong	ɕioŋ	2	降[～服]
shiong	ɕioŋ	3	享響餉
shiong	ɕioŋ	5	向
iong	ioŋ	1	央秧殃
iong	ioŋ	2	瓤羊洋烊楊陽揚瘍
iong	ioŋ	3	壤攘嚷養癢
iong	ioŋ	5	釀讓
iong	ioŋ	6	樣
