来源：	史秀菊 张丽 2014《山西兴县方言同音字汇》；山佳木 整理录入
x	［1］呵{～气}荷{～上：拿上}［3］饸荷{～花}何河行{～业}航杭［5］贺鹤巷{～～：小巷}
#iɛ	
p	［1］崩?{～了一搭：拍了一掌}□{兀～：鹰类的一种}［5］别{～扭}迸-{～开一绽：裂开一条缝}
pʰ	［1］□{漂}［3］□{～树枝：折树枝}［2］棚-{房～：房檐}
m	［1］咩{牛～子：小牛}［2］□{～住：愣住}［5］□{～～：--种可吹出声音的玩具}
t	［1］爹
n	［2］苶{～人：呆子的统称}娘{～～：奶奶}
l	［3］咧［2］量{～给下}粮良梁粱凉［5］猎量数{～晾}谅亮
tɕ	［1］浆缰将{～来}江豇疆僵姜犟耕-{～地}［3］姐蒋桨讲奖虹{～冠子：天上的虹}［5］借绛{～县：山西地名}酱降{下～}将{～军}糨{～糊}
tɕʰ	［1］腔枪戗{～眉眼风：逆风}［3］抢且［2］茄强墻［5］□{用双手用力卡住脖子或身体其他部位令其窒息或疼痛的动作}呛炝{～绐下锅}
ɕ	［1］箱香乡相{～亲}厢湘镶襄［3］写享想响饷［2］邪协些降{投～}详祥［5］泄泻谢卸灺{灭：火～咧}杏-{～子：杏；～花村}相{～貌}橡像象
ø	［3］野也氧养［2］爷央秧殃杨扬疡阳洋羊［5］夜曳样□{丢：～了书咧}
#uɤ	
t	［3］朵躲［5］跺堕舵垛惰剁
tʰ	［3］椭妥［1］坨{张家圪～：地名}砣{车～：车轮子}［5］唾
l	［3］裸［2］啰
ts	［1］庄桩装［5］座坐壮状
tsʰ	［1］窗疮［3］闯［2］矬床［5］错锉撞{～了车咧：撞车了}创
S	［1］梭蓑唆锁琐双{～䙌䙌：活结}霜孀［3］缩?{动词，一般指人或动物具有伸缩性部位的动作：乌龟把脖子～回去咧}爽［5］硕双{～生子：双胞胎}
k	［1］锅光［3］果广裏戈{～壁滩}［5］过逛
kʰ	［1］科{～学}棵颗窠框匡眶筐［2］狂［5］嗑{～葵花：嗑瓜子}课阔{～气}矿旷况
x	［1］荒慌方芳火凰［3］谎坊仿纺访［2］和{～面；～好}禾黄簧惶皇蝗磺房肪防妨［5］货祸和{～子饭}晃放
