	註釋：白讀-，文讀=		
∅	[1]煙燕{～京}嫣[2]炎然燃=延筵圓-涎[3]冉掩=演淹醃閹衍厴堰偃[5]魘靨厭燕嚥宴[6]豔焰院		
#øŋ			
p	[2]硼-		
m	[1]□{～糕，發糕}[2]濛-[3]蠓-□{疹子}[5]夢-[6]網-		
t	[1]冬東-[2]疼=銅-筒-同-桐-[5]凍-筒{箸～}[6]重-洞-動-		
tʰ	[1]通-[2]蟲-桐-{～油}[3]桶-		
n	[2]膿-儂-農-儂-{人}[3]軟-		
l	[1]窿{窟～}[2]籠-聾-嚨-壟-[3]攏-[5]攏=□{空～}[6]弄-		
ts	[1]棕-[2]□{沖水}[3]鬃-[5]粽		
tsʰ	[1]蔥-菖{～蒲}[5]銃{槍}		
s	[1]雙鬆-{輕～}[5]送-宋-		
k	[1]工-江-[3]港公-{犬～}[6]共		
kʰ	[1]空-[5]空-{～缺}		
h	[1]烘-薰-魟{～魚}[5]巷[6]哄-烘-{熱～～}		
∅	[1]蚣-[2]紅-[5]甕[6]烘-{做～，排場}		
#oŋ			
p	[1]幫[2]滂傍旁[3]榜綁膀傍{依靠}畚[5]謗[6]磅棒		
pʰ	[1]豐-[3]耪[6]蚌碰泵{又}		
m	[1]忙-{忙亂}[2]忙=茫芒=[3]莽蟒		
t	[1]當中-擋檔鐺鈍-[2]堂唐塘螳屯囤長-棠豚腸搪[3]黨盾漲-[5]當{上～}頓[6]燉段撞蕩{失落}遁緞宕涮丈-		
tʰ	[1]湯吞[2]糖[3]倘趟讜淌躺[5]褪[6]燙		
n	[2]囊瓤[3]冗曩暖-[5]□{亂}[6]嫩		
l	[2]郎廊狼螂崙-[3]朗[5]崙{玉～，村名}[6]論浪卵-		
ts	[1]妝臧贓莊裝樁尊蹲專=[2]藏{動詞}存[3]鑽{～石}圳-[5]鑽-{～子}壯葬[6]藏{西～}髒狀		
tsʰ	[1]倉蒼滄艙瘡窗=[2]床=□{暴食}[3]忖[6]創寸闖-		
s	[1]酸閂桑霜孀孫宣楦=喪{～事}[2]床-{炊～}[3]爽選損嗓[5]算蒜遜喪{～失}[6]順		
k	[1]岡崗剛綱缸江-肛扛豇跟-根-[2]□{燙}槓{門～}[3]講[5]降{～落}鋼杠絳		
kʰ	[1]康糠慷昆崑坤髡[3]懇墾犺{狼～，笨大}[5]困抗睏{睡}囥{藏}		
ŋ	[2]昂[6]戇{～囝，傻子}		
h	[1]薰-{煙}[2]行{～列}航杭痕降{投～}[6]恨項混		
∅	[1]恩秧-[2]行{銀～}[3]影-[5]搵{沾}[6]笐{竹～}		
#uoŋ			
p	[1]奔分-[2]盆[3]本[6]飯-		
pʰ	[1]奔{又}[5]□{汐}		
m	[2]芒-{～種}門[3]漫{隨便}罔{越發}[5]問-		
t	[2]傳{～達}[3]轉[6]傳{～記}		
tʰ	[2]椽[5]暢{傳揚}[6]篆		
n	[3]軟=		
l	[6]弄-戀		
t	[1]磚專-[2]全泉=		
tsʰ	[1]穿川村[2]竱[5]串釧		
s	[2]旋璿漩癢-[6]吮		
k	[1]關-光[2]狂權[3]捲管-箢{米～}卷{量詞}[5]眷卷{考～}□{～鼻}[6]倦		
kʰ	[1]匡筐框圈[2]楻圈{～家}[3]礦[5]曠勸[6]眶		
ŋ	[2]元原源黿玄{～孫}[3]阮[6]願暈{月～}		
h	[1]荒慌方肪芳昏=婚坊枋[2]黃=皇蝗妨防園磺隍篁凰[3]彷訪仿恍晃[5]放=□{癤子}楦[6]遠-		
∅	[1]汪昏-冤鴛[2]亡忘圓-員袁完丸紈黃=垣[3]枉往網=穩-遠=愧䘼{手～，袖}罔=[5]怨[6]望旺援妄		
#yoŋ			
t	[1]張[2]長={～短}場[3]長{生～}[5]漲=帳賬脹悵[6]長-{剩餘}丈-{～人}		
tʰ	[1]張{量詞}[5]暢悵[6]丈=杖=仗		
n	[2]娘[5]釀□{冉冉上升}[6]讓		
l	[2]良涼=量{商～}糧梁粱晾=[3]兩倆[6]亮輛諒量		
ts	[1]將漿章樟獐璋[3]蔣槳掌獎[5]醬將{大～}障瘴		
tsʰ	[1]槍昌娼鯧菖=[2]牆戕[3]搶廠氅[5]匠唱倡[6]象像橡		
s	[1]相{互～}箱廂襄鑲商傷湘[2]詳祥常嘗裳償翔[3]想鯗賞[5]相{～片}[6]上癢-尚		
k	[1]疆僵薑羌薑-捐涓鵑絹娟-[2]強{～弱}[3]強{勉～}[5]建絹-毽[6]鍵健腱		
kʰ	[1]腔		
ŋ	[2]言[3]仰{信～}[5]仰{～杖}		
h	[1]香軒鄉暄萱[3]享響[5]餉向憲獻		
∅	[1]央秧-殃淵疊泱[2]羊洋楊陽沿緣櫞燃=然瘍[3]養癢=壤[5]映恙[6]讓=釀件樣嚷攘焉漾		
#iŋ			
p	[1]兵彬斌賓檳冰濱繽[2]貧頻瀕憑平=瓶屏萍蘋[3]丙秉餅=摒炳[5]迸柄=並=鬢殯[6]病=		
pʰ	[1]拼=姘乒[2]評=[3]品[5]聘拼=		
m	[2]閩明泯鳴名=銘螟眠-螟=[3]憫敏皿[5]面-[6]命=		
t	[1]珍貞砧徵{～求}懲丁釘疔[2]陳塵亭停庭蜓廷藤[3]等-頂鼎=戡[5]鎮訂釘{～柴}碇[6]陣定=朕		
tʰ	[1]汀琛[2]沉=[3]挺=艇逞[5]聽{耳～}趁□{～頭，點知}		
n	[2]寧濘檸擰仁{米～}[6]認佞		
l	[2]林=淋琳臨鄰齡霖綾陵淩鱗磷羚苓靈鈴零欞翎愣[3]凜廩=嶺懍[5]楞{瓣}[6]吝令另		
ts	[1]斟津真精=晶旌征升-菁睛瞋[2]秦情晴=[3]枕拯井整疹振震診偵=[5]浸進晉證症政正=[6]盡靜=凈=靖		
tsʰ	[1]侵深親稱{～呼}清青蜻菁蟶[2]堘{田～}[3]請=寢[5]襯稱{相～}秤凊{冷}		
s	[1]心辛新薪申呻=伸身升=星聲=腥娠振芯[2]尋=蟳神辰晨乘蠅承成=誠城=[3]醒=審沈省{反～}[5]信訊迅汛聖勝=牲姓乘={千～}[6]甚葚椹腎慎剩盛		
k	[1]京今金均鈞驚=鯨經兢[2]瓊荊[3]槿錦緊謹境景僅=警[5]禁{～止}勁敬徑逕擎鏡=[6]妗胗腎{胗}頸		
kʰ	[1]卿輕傾欽襟[2]鉗-琴禽□{斟}[3]頃肯-[5]慶磬=		
ŋ	[2]凝=迎=吟		
h	[1]興{～旺}馨兄=[2]形刑型眩-[5]興{高～}		
∅	[1]音陰鷹因姻-煙-{火～}茵英瑛嬰櫻鶯湮膺纓應{～該}[2]淫人仁=寅仍盈贏=榮營壬賃螢瑩[3]飲=永穎[5]印應{答～}蔭窨=[6]紉刃飪孕泳詠妊任胤		
#uŋ			
p	[1]崩-[2]房㖹{吹火}[5]糞放-[6]笨		
pʰ	[1]蜂潘-{泔水}[2]篷蓬捧縫{裁～}[3]捧{量詞}[5]噴縫{門～}		
m	[2]蒙濛=檬曚[3]蠓=[5]夢=懵[6]悶燜		
t	[1]諄東=忠中=敦[2]同=銅=桐=筒=童瞳衕=[3]董懂[5]飩頓=棟凍=囤噸中{射～}[6]重=動=洞=燉		
tʰ	[1]通=[2]蟲=[3]桶=捅統寵塚[5]痛		
n	[2]農=膿=濃儂=[5]潤{轉～}[6]閏		
l	[2]倫淪輪崙籠=聾=嚨=[3]壟=攏=隴=		
ts	[1]終宗鬃=棕=蹤[2]叢-崇[3]准總[5]竣俊縱圳=		
tsʰ	[1]椿春聰匆蔥驄囪[3]蠢睶{睏也}		
s	[1]鬆=嵩殉詢恂[2]旬循巡唇純船醇[3]荀筍榫慫聳[5]送=宋=舜瞬[6]順誦頌=訟		
k	[1]公=蚣=君軍攻功工=[2]群裙拳[3]滾[5]棍貢槓=[6]郡		
kʰ	[1]空=[2]群[3]孔捆綑[5]窘控		
h	[1]分=芬葷風豐=封鋒峰楓紛瘋烘=[2]焚魂餛渾虹=紅=雲洪鴻馮逢烘={又}暈-{～倒}[3]粉哄=憤忿[5]訓奮諷[6]份混奉俸		
∅	[1]溫瘟翁鰛塭{～塵}蓊[2]文紋蚊聞墳[3]吻刎隕[5]蕹{～菜}蘊[6]韻運問=暈=		
#yŋ			
t	[1]中=仲{又}忠{又}[2]重-{～新}[5]中{又}		
tʰ	[1]窗{～門}[2]重-{～迭}[2]龍隆[1]鐘盅鐘舂鐘[2]叢-[3]種{～類}腫[5]眾種{～樹}		
tʰ	[1]充沖衝從-{～容}[5]銃=		
s	[2]松{～樹}[6]頌-{穿，～衣裳}		
k	[1]弓躬宮供{～給}跟-根-斤巾筋芎[2]窮[3]拱鞏{又}龔珙[5]僅-供{上～}[6]共=近		
kʰ	[1]穹[2]勤芹囷[3]恐菌鞏[6]虹-桕{～油}		
ŋ	[2]銀齦[3]蚓[5]□{可怕}		
h	[1]凶洶欣勳薰=熏胸[2]熊雄[5]釁		
∅	[1]殷雍蚣{又}癰臃[2]戎融絨茸熔榕蓉雲=勻溶庸[3]勇引忍允隱尹蚓-冗-[5]甬湧蛹擁甕{又}[6]用傭{～錢}潤=		
#aʔ			
p	[7]扒{～馬，扒手}伯-{又}百-{又}[8]拔=跋=白={又}		
pʰ	[7]擘{又}[8]鬻{釜溢}		
m	[8]脈-{又}麥-{又}		
t	[7]答搭劄褡妲鎝[8]踏達遝		
tʰ	[7]塌塔榻[8]疊-		
n	[8]納捺納宅=		
l	[7]癩邋[8]蠟臘獵粒辣捋{～手}		
ts	[7]紮劄炸{油～}軋[8]雜閘鍘		
tsʰ	[7]插擦=察		
s	[7]霎薩殺煞刹撤趿[8]煠{清水煮}		
k	[7]鴿夾=葛蛤-合{合營}[8]敆		
kʰ	[7]渴恰客-{又}拾{～取}[8]磕=		
h	[7]喝瞎{聲啞}[8]合=盍=盒=洽轄曷		
∅	[7]狎押呷鴨遏[8]匣盒-		
#iaʔ			
tʰ	[7]獺眨-		
n	[7]𥍉		
l	[7]靸{草履～}		
ts	[7]雀-[8]□{踩}鍤{鼎～，鍋鏟}		
tsʰ	[8]食{又}		
k	[8]揭-{～旗}		
kʰ	[8]屐-{柴～，木屐}		
ŋ	[8]嶽{昂首｝		
∅	[8]蝶{蠶蛾}		
#uaʔ			
p	[7]缽撥[8]跋{跌}		
pʰ	[7]潑[8]伐-{～步}鈸		
m	[7]沫抹=秣[8]末		
t	[8]奪-		
tʰ	[7]脫		
k	[7]括刮豁摑		
kʰ	[7]闊		
h	[7]法發=髮=[6]乏滑=猾=伐=筏罰閥		
∅	[7]□{抓破}[8]活襪		
#eʔ			
p	[7]八百=伯=[8]白=帛撥=別-{～人}		
pʰ	[7]柏=迫珀魄=陌{阡～}擘=		
m	[8]麥默密陌{～生}脈		
t	[7]得筷[8]特		
tʰ	[7]貼貼忒[8]□{把屎}		
l	[8]肋勒歷曆櫪癧仂礫□{舔}		
ts	[7]汁則責節-[8]澤=擇宅=截		
tsʰ	[7]側測惻拆策=廁鍘=冊=[8]賊		
s	[7]澀瑟蝨虱塞色嗇穡拭□{石卵地｝螫{蜂～}[8]十拾{又}		
k	[7]格=革隔鍥結-膈嗝□{土～}給-潔-[8]夾		
kʰ	[7]客=刻克剋䀫{目～}乞-		
h	[7]血-黑赫[8]獲或劃		
∅	[7]扼厄軛壓-抑-挹=		
#ieʔ			
p	[7]別{區～}鱉憋[8]別{離～}		
pʰ	[7]撇劈-		
m	[8]滅篾蔑		
t	[7]哲[8]輒牒諜蝶跌轍迭=疊=秩		
tʰ	[7]徹撤鐵澈[8]迭-		
n	[7]聶鑷=捏躡懾攝		
l	[8]翅列裂=咧		
ts	[7]接摺=折{～扣}浙節=[8]捷睫婕		
tsʰ	[7]妾切砌竊沏=[8]蠘{梭子蟹}		
s	[7]薛褻泄=設屑楔[8]涉=折{～了}蝕-{～本}舌		
k	[7]劫潔=詰=挾{～菜}莢拮頰蠍[8]傑竭		
kʰ	[7]峽缺揭頰{又}愜		
ŋ	[7]鑷-[8]業孽鎳蘖臬{～臺}		
h	[7]熁[8]脅協俠挾=穴狹頁涉={跋～}		
∅	[7]摺-謁噎□{送飯}挹-[8]葉熱		
#øʔ			
p	[7]北		
pʰ	[8]雹		
m	[7]抹-[8]墨目-苜茉木-		
t	[7]觸{牛相～}[8]毒-碡-		
tʰ	[7]□{刺}[8]讀-		
l	[7]落{擺脫}[8]六-鹿-碌-漉		
tsʰ	[7]軸{掛～}[8]鑿-蹴		
s	[7]戌摔-[8]□{搖動}		
k	[7]角覺-桷		
kʰ	[7]殼喀		
h	[7]畜-[8]斛		
∅	[8]呃{拍～}		
#oʔ			
p	[7]博剝=駁蔔=[8]薄=魄-{落～}泊{～船}		
pʰ	[7]樸撲璞墣{土～}		
m	[7]幕漠[8]莫寞		
t	[7]卓啄琢涿[8]突鐸度{猜～}踱奪-		
tʰ	[7]托=託拓橐[8]沰{水～}		
n	[8]諾喏□{榫頭}		
l	[7]絡{手～}[8]落=駱酪洛烙=樂絡=		
ts	[7]作昨=斫{～斷}[8]鑿=濁濯鐲		
tsʰ	[7]撮齪錯=捽[8]戳		
s	[7]刷蟀朔縮率摔索=[8]挲{～平衣裳}		
k	[7]骨各覺=刮-骼[8]滑-猾-		
kʰ	[7]窟榷確壑[8]磕=		
ŋ	[7]鄂愕鱷[8]嶽=岳=樂={音～}獄{又}		
h	[7]□{敲打}[8]核學=鶴劾		
∅	[7]惡={善～}握沃=齷[8]踒		
#uoʔ			
p	[7]發-{～芽}[8]勃脖餑渤=		
pʰ	[8]□{水～}		
t	[7]掇-		
l	[7]劣捋=		
ts	[7]拙絀掇=輟茁綴[8]絕		
tsʰ	[7]啜{飲}		
s	[7]雪說[8]□{繞圈子}		
k	[7]國幗[8]局=		
kʰ	[7]厥闕缺=擴獗蹶[8]橛{柴～}		
ŋ	[8]月		
h	[7]忽惚髮=笏藿霍		
∅	[8]越粵鉞獲		
#yoʔ			
t	[8]著-		
n	[8]箬{茶～}		
l	[8]略掠		
ts	[7]爵嚼酌[8]著=		
tsʰ	[7]雀=鵲=綽勺芍杓灼		
s	[7]削-屑{又}[8]石{又}射{～箭}		
k	[7]腳		
kʰ	[8]劇{演～}		
ŋ	[8]虐瘧		
h	[7]歇血=		
∅	[7]箜□{疲倦}[8]弱若=悅躍閱=		
#iʔ			
p	[7]筆畢必壁=煏{～油}碧=壁逼=辟[8]弼辟		
pʰ	[7]霹癖逼碧[8]劈=		
m	[8]密=蜜覓幕		
t	[7]的滴=嫡摘=[8]直值-擲笛敵狄濯翟侄荻蟄{驚～}迪滌		
tʰ	[7]踢剔惕窒[8]□{～世事，送禮}		
n	[7]滴-{～囝，一點兒}[8]匿暱日溺		
l	[7]慄[8]立力靂笠瀝粒{又}栗曆		
ts	[7]執質即鯽稷織職績積脊跡[8]集輯籍寂疾		
tsʰ	[7]緝斥尺=戚七漆赤=柒拭-葺[8]喫		
s	[7]濕悉失室息熄蝕=識飾昔惜適釋錫析蟋式[8]什拾={～遺}實食=殖習襲席夕石=碩蓆=值=翼-植		
k	[7]急給=吉桔棘戟擊激[8]及極		
kʰ	[7]隙[8]䲯{烏～，形似八哥兒}		
ŋ	[7]級吸汲吃迄訖屹[8]逆-凝-		
h	[7]熻{～飯}		
∅	[7]邑揖=乙一抑=益=溢[8]逸疫役弋翼=域亦譯易{交～}液腋入佚		
#uʔ			
p	[7]不腹-蔔=[8]僕曝-暴匐		
pʰ	[7]覆-僕		
m	[7]蟆{～囝}[8]沒=木=目=穆牧		
t	[7]篤督涿{點兒}[8]獨毒=碡=牘		
tʰ	[7]黜{烏～～}[8]禿讀=		
l	[7]碌[8]鹿=祿=六=陸律率{效～}戮轆綠=漉		
ts	[7]卒祝足{又}囑{又}[8]鏃簇族		
tsʰ	[7]齣出		
s	[7]恤速粟=束戌[8]術述秫俗蜀=屬		
k	[7]穀穀酷[8]掘崛		
kʰ	[7]屈倔哭[8]□{萎縮}		
h	[7]拂佛弗蝠腹=覆=幅福[8]佛服伏茯袱		
∅	[7]屋熨[8]物勿		
#yʔ			
t	[7]竹築竺[8]逐軸=妯		
tʰ	[7]□{縮進}		
n	[7]衄[8]肉		
l	[8]律{又}率{頻～}綠祿轆		
ts	[7]粥足叔-燭=囑		
tsʰ	[7]促觸=捉□{怒也}齪		
s	[7]肅夙宿叔=淑蓿[8]熱續贖塾		
k	[7]菊鞠[8]竭{粥稠}		
kʰ	[7]曲=乞=麴		
ŋ	[8]玉=獄=		
h	[7]畜=蓄=旭		
∅	[7]郁旭{又}[8]育褥辱欲浴毓		
