#符号说明：-白=文/书*俗?待考	
#调值	[1]⁵³⁴[2]³³[3]²¹³[4]⁴²²[6]⁵²[7]²⁴[0]⁰
#ɿ	
ɕ	[1]修羞搜飕馊收休[2]就[3]手首守兽[4]絮嗽秀绣宿{星~}锈袖瘦受寿授售朽嗅□{~头：马头墙}
Ø	[1]柔揉忧优悠幽[2]牛尤邮由油游犹蚰[3]郁[4]纽扭有又酉莠诱幼[6]又右佑釉

#ei̯	
p	[7]笔毕必
pʰ	[1]批[6]呸□{坏}[7]䏘{女阴}
m	[2]迷谜[3]密蜜[4]米
f	[3]術述[4]废肺[6]惠慧睡瑞穗谁
t	[1]低[3]底抵[4]蒂{阴茎}[7]得{助词，表停顿}
tʰ	[2]堤题提蹄啼[4]弟替涕剃1
l	[2]犁[3]立笠栗[4]礼[6]例荔劣律率{效~}歷曆

#iei̯	
tɕ	[1]鸡[3]挤[4]祭穄计继繫[7]蔗集习袭执汁急级给疾质吉织职籍藉夕击激[0]□{tʰɔ⁵⁵~花：杜鹃花}
tɕʰ	[1]妻溪[3]及侄直值殖植极[4]砌契[7]缉辑七漆秩讫乞出2戚寂挈1{提，拎}
ɕ	[1]西{方位}犀[2]齐脐荠[3]洗十什拾实食席[4]细{粗~}世势婿碎[6]誓逝[7]涩湿吸悉膝虱失室戌恤息熄媳识式饰适释
Ø	[2]泥倪[3]入日

#ui	
l	[6]屡
Ø	[2]维惟唯微[6]未味

#yei̯	
tɕ	[1]追[7]橘
tɕʰ	[2]垂[3]术{白~}[7]出1
Ø	[7]熨域疫役

#əɯ	
p	[1]杯碑卑悲[3]帛[4]贝辈背{~心}[7]不北
pʰ	[1]坯[2]培陪赔裴[3]勃[4]沛倍配[6]佩背{~书}焙□{朵}
m	[2]梅枚媒煤楣霉[3]没{文读}墨默[4]每[6]妹
f	[1]恢灰徽[2]挥辉[3]贿毁佛{拜~}[4]悔晦讳[7]否忽佛或惑获
t	[1]呆{~子}堆[2]□{锥子}[4]对碓队[7]得{~到}德
tʰ	[1]胎台{~州：地名}梯推[2]臺苔抬[3]腿夺突特[4]退[6]待怠贷代袋[7]忒{太}
l	[2]来{~去}雷[3]粒□{拨，划拉}[6]儡内累{劳~}锐累{积~}累{连~}垒类泪[7]勒
ts	[1]灾[3]宰[7]最卒则
tsʰ	[1]催崔[3]彩睬[4]菜蔡脆翠粹[6]□{pʰə²¹³~：喷嚏}[7]厕猝侧
s	[1]腮鳃虽绥[2]才{口~}材财裁豺随[3]贼[4]罪岁遂隧[7]些1瑟塞色啬
k	[1]该[3]改
kʰ	[1]开[4]去2徛{站立}[7]磕刻克
x	[3]海[6]害[7]黑
Ø	[1]欧瓯呕殴[2]呆{痴~}儿{~子}而[4]爱耳{文读}饵藕[6]碍艾二贰偶[7]哎{叹词}

#uəɯ	
k	[1]规归[3]溃诡轨癸鬼{文读}[4]鳜桂贵{富~}[7]骨国
kʰ	[1]盔魁亏窥愧[2]奎逵葵[3]傀[4]块会{~计}刽桧柜1[7]屈{弯}
Ø	[1]煨萎威[2]桅回茴违围{包~}苇[3]秽委伟核{桃~}物[6]外匯会{开~；不~}绘卫伪为{动词；介词}位魏畏慰纬胃谓猬

#a᷉	
p	[4]摒{拔，拉}
pʰ	[1]彭膨[2]朋1□{~母家：妇女}[6]碰{碰，遇} 
m	[2]□{~觉：睡觉}[4]猛[6]孟
t	[3]打
l	[1]□{髻}[2]□{鹅~：肿瘤}[4]冷
ts	[1]争
tsʰ	[1]撑[4]埕{小瓮}[6]□{舂，砸}
s	[1]森参{人~}生牲笙甥[3]省{浙江~；节~}
k	[1]更{五~}庚羹1耕[3]哽埂
kʰ	[1]坑
x	[1]□{~儿：怎么}[2]桁行{走；品~}[3]罕
Ø	[3]□{~牛：黄牛}[6]岸硬

#ua᷉	
kʰ	[3]梗
Ø	[2]横{~直；蛮~}

#ɒ᷉	
p	[1]班斑颁扳攀邦浜[3]板版□{推~：差}[4]扮
pʰ	[2]爿[4]绊
m	[2]蛮[4]晚{~}盲虻[6]慢漫幔
f	[1]帆欢藩翻番幡谎况[2]凡範桓烦矾繁肪芳妨防访房2[3]焕反仿{~造}纺彷[4]范{姓}犯泛贩放2晃□{被}[6]幻患宦饭
t	[1]耽担{挑；拿}丹单{简~}诞[3]胆掸蛋党[4]担{名词}旦但
tʰ	[1]贪滩摊叹[2]谭谈痰檀壤弹{~琴}棠[3]毯躺[4]淡炭倘荡{~来~去；放~}趟[6]探坦弹{子~}
l	[2]南男蓝篮难{~过}兰拦栏囊郎廊螂朗[4]懒[6]漤览揽榄滥缆难{大~}烂浪1
ts	[3]斩盏撰[4]赚站蘸赞
tsʰ	[1]参{~加}搀餐[2]惭[3]惨残灿产{生~}藏{隐~}藏{西~}臟创[4]歼铲
s	[1]三杉衫珊山删[2]裳[3]产{~母：产妇}[4]伞散{鞋带~；分~}栈疝丧{~失}[6]暂
k	[1]监{~牢}间冈刚纲钢{文读}[3]减碱简裥[4]鉴舰
kʰ	[1]龛铅康{健~}慷[3]㦿{窗户}[4]嵌抗炕
x	[2]含涵鹹衔闲降[3]苋[4]陷馅限[6]喊
Ø	[2]岩颜昂[4]眼晏[6]雁

#iɒ᷉	
l	[2]良凉量{~长短}粮梁粱[4]两{~个；斤~}辆[6]亮谅量{数~}
tɕ	[1]将{~来}浆张章2疆僵礓缰姜{姓}[3]蒋奖桨长{队~}涨掌[4]酱将{大~}帐账胀障瘴
tɕʰ	[1]枪昌2羌腔[2]详祥长{~短}肠1畅昌1常尝偿强[3]抢场厂[4]丈仗杖唱倡
ɕ	[1]箱厢湘襄镶商伤香乡[2]墙享[3]想鲞赏晌饷响[4]相{~信}象像橡相{照~}尚向[6]匠上{动词；方位}
Ø	[1]央秧殃烊2[2]娘羊洋烊1杨阳扬疡[4]仰养痒[6]酿壤攘嚷让央{中~}样

#uɒ᷉	
