#符号说明：-白=文/书*俗?待考	
#调值	[1]²² [2]⁵⁵ [3]³⁵ [5]²¹² [7]⁴² [0]⁰
#ɿ	
tʰ	[1]挑[2]条调{~和}[5]跳粜
l	[2]燎疗聊辽撩寥瞭[3]了{~结}[5]料廖[7]掠
tɕ	[1]交郊胶焦蕉椒骄娇浇蛟[3]绞狡铰{文}搅剿缴饺[5]叫较轿噍
tɕʰ	[1]锹缲悄[2]樵桥侨乔荞瞧[3]巧[5]教俏窍
ȵ	[1]绕{~线}鸟[2]尧饶[5]尿{~素}
ɕ	[1]消宵霄硝销枵嚣箫萧屑{不~}侥劁[2]肴淆[3]小晓[5]笑鞘校{~对；学~}酵效孝
Ø	[1]妖邀腰吆{文}幺{文，~二三}[2]摇谣窑姚[3]舀[5]要耀鹞
	
#iou	
m	[5]谬
t	[1]丢
l	[1]溜[2]流刘留榴硫琉馏□{~li⁵⁵：冰锥子}[3]柳
tɕ	[1]鸠纠[3]酒九久韭灸[5]就臼舅咎救究旧柩[7]局{白}菊
tɕʰ	[1]揪秋丘□{~狗：母狗}□{~子：痱子}鳅[2]囚泅求球[7]麴曲{~子；~折}
ȵ	[1]□{拧（毛巾）}[2]揉牛[7]狱
ɕ	[1]修羞休[3]朽[5]秀绣锈袖嗅莠鼬[7]蓄畜{少}
Ø	[1]优忧悠幽[2]尤邮由油游犹柚[3]有友酉[5]诱{又}右佑釉幼[7]育欲

#a᷉	
p	[1]班斑颁扳般搬帮邦浜{又}[3]板版榜绑[5]扮办瓣拌伴半绊谤傍棒蚌{贝类}
pʰ	[1]攀扳潘滂拚[2]爿盘旁螃庞[5]判盼襻叛胖
m	[1]□{~~：伯母}[2]蛮瞒馒谩忙芒茫盲虻□{~槌：洗衣槌}[3]满莽蟒[5]慢漫幔蔓
f	[1]幡[2]欢桓还{~原}环烦藩矾繁[5]患宦
t	[1]耽丹单{~独}当{~时}端{白}裆[3]胆挡党[5]担淡诞旦但蛋弹断{白}锻当{~作，典~}宕
tʰ	[1]贪摊滩汤[2]潭谭谈痰檀坛弹蝉禅{~宗}堂棠螳唐糖塘[3]毯躺倘掸[5]探{侦~，试~}坦炭叹荡{放~}烫趟
n	[2]南男蓝篮难{困~}兰拦栏鸾囊狼郎螂廊[3]览揽榄缆懒朗榄卵[5]滥难{患~}烂浪乱{白}
ts	[1]簪蘸沾粘瞻毡钻{白：~山洞}脏{不干净}髒张章樟蟑[3]斩盏长{生~}涨掌展□{~马，马扎}□{~紧：赶紧}[5]丈仗杖暂錾站占{~卦}赞栈攒战颤藏{西~}葬脏{内~}臟帐账胀障瘴灒钻{木工用具}
tsʰ	[1]仓苍昌菖参{~加}搀餐纂{白}[2]藏{躲~}长{~短}肠常偿蚕惭谗馋蟾残缠[3]场厂惨铲产□{手~：肘}[5]畅唱倡灿纂{文}窜创
s	[1]三衫杉堋山删膻桑丧商伤[2]尝裳[3]陕闪散{鞋带~了}伞磉嗓搡爽赏[5]散{分~}疝扇善膳禅单{姓}上尚鳝
z	[2]然燃瓤[3]染冉嚷壤攘[5]让
k	[1]间{白；空~，中~}甘柑泔酣尴干{~湿}肝竿冈岗刚纲钢{~铁}缸江{白}豇{白}[3]拣{白}感敢橄杆秆赶擀港讲{白}[5]鉴{白}干{~活}幹钢{刀钝，~一~}降{白；下~}虹{白}□{山~：山顶}
kʰ	[1]堪龛勘看{~守}刊糠康慷[2]扛[3]坎砍舰槛[5]看{~见}抗炕囥
ŋ	[1]庵安鞍[2]昂[3]眼[5]暗埯岸按案雁{白}晏
x	[1]鼾憨夯[2]含函咸衔寒韩行{银~}航杭[3]喊罕[5]苋{白}陷馅旱汉汗焊翰巷{白}
Ø	[1]肮

#ia᷉	
