汉字	拼音	IPA	注释		声调	调值	编号
麗	le2	le24					
麗	le6	le41					
隸	le6	le41					
擠	tse1	tse33					
擠	khueh7	kʰueʔ5	训				
濟	tse3	tse55					
濟	tse5	tse41					
妻	tshue1	tsʰue33	白				
妻	tshe1	tsʰe33	文				
凄	tshinn1	tsʰĩ33	俗				
凄	tshe1	tsʰe33					
砌	tshiat7	tsʰiat5	俗				
砌	tshe5	tsʰe41					
齊	tsue2	tsue24	白				
齊	tse2	tse24	文				
臍	tsai2	tsai24	白				
臍	tse2	tse24	文				
薺	tse5	tse41					
西	sai1	sai33	白				
西	si1	si33	白，西瓜				
西	se1	se33	文				
棲	sue1	sue33	白				
棲	se1	se33	文				
犀	sai1	sai33	白				
犀	se1	se33	文				
洗	sue3	sue55	白				
洗	se3	se55	文				
細	sue5	sue41	白				
細	se5	se41	文				
婿	sai5	sai41	白				
婿	se5	se41	文				
雞	kue1	kue33	白				
雞	ke1	ke33	文				
稽	khe1	kʰe33					
稽	khe3	kʰe55	稽首				
計	ki5	ki41	俗				
計	ke5	ke41					
繼	ke5	ke41					
溪	khue1	kʰue33	白				
溪	khe1	kʰe33	文				
啟	khe3	kʰe55					
契	khue5	kʰue41	白				
契	khe5	kʰe41	文				
契	khiat7	kʰiat5					
契	siat7	siat5					
倪	gue2	ᵑɡue24	白				
倪	ge2	ᵑɡe24	文				
詣	ge6	ᵑɡe41					
兮	he2	he24					
奚	he2	he24					
系	he6	he41					
繫	he6	he41					
係	he6	he41					
縊	e6	e41					
瞖	e5	e41					
杯	pue1	pue33					
背	per6	pə41	白				
背	pue6	pue41	文				
背	per4	pə22	又				
輩	pue5	pue41	旧				
輩	pue6	pue41					
坯	pher1	pʰə33	白				
坯	phi1	pʰi33	文				
胚	pher1	pʰə33	白				
胚	phi1	pʰi33	文				
胚	phai1	pʰai33	又				
配	pher5	pʰə41	白				
配	phue5	pʰue41	文				
培	pue2	pue24					
陪	pue2	pue24					
賠	per2	pə24	白				
賠	pue2	pue24	文				
倍	per4	pə22	白				
倍	pue4	pue22	文				
佩	pue6	pue41					
媒	m2	m24	白				
媒	bue2	ᵐbue24	文				
媒	mui2	mui24	文				
枚	bue2	ᵐbue24	旧				
枚	mui2	mui24					
玫	mui2	mui24					
姆	m3	m55	旧				
姆	bu3	ᵐbu55					
梅	m2	m24	白				
梅	bue2	ᵐbue24	文				
梅	mui2	mui24	文				
每	bue3	ᵐbue55	旧				
每	mui3	mui55					
昧	mui6	mui41					
妹	ber6	ᵐbə41	白				
妹	mui6	mui41	文				
堆	tui1	tui33					
對	tui5	tui41					
推	ther1	tʰə33	白，推辞				
推	thui1	tʰui33	文				
推	tshui1	tsʰui33					
腿	thui3	tʰui55					
退	ther5	tʰə41	白				
退	thue5	tʰue41	文				
頽	tue2	tue24					
隊	tui6	tui41					
餒	lue5	lue41					
餒	lui5	lui41	又				
内	ler6	lə41	白				
内	lue6	lue41	文				
雷	lui2	lui24					
儡	ler3	lə55	白				
儡	lui3	lui55	文				
催	tshui1	tsʰui33					
崔	tshui1	tsʰui33					
罪	tser4	tsə22	白				
罪	tsui4	tsui22	文				
碎	tshui5	tsʰui41					
瑰	kui5	kui41	俗				
瑰	kui1	kui33					
盔	khue1	kʰue33					
魁	khue1	kʰue33					
詼	khue1	kʰue33					
恢	khue1	kʰue33					
傀	khui3	kʰui55					
塊	khuai5	kʰuai41					
塊	ter5	tə41	训				
桅	gui2	ᵑɡui24					
灰	her1	hə33	白				
灰	hue1	hue33	文				
悔	hue3	hue55					
賄	her3	hə55	白				
賄	hue3	hue55	文				
賄	ue3	ue55	文				
晦	hue5	hue41					
回	her2	hə24	白				
回	hue2	hue24	文				
匯	hue6	hue41					
彙	lui6	lui41					
潰	hue6	hue41	旧				
潰	hui6	hui41	旧				
潰	khui5	kʰui41					
煨	ue1	ue33					
兑	tue6	tue41					
兑	tui6	tui41	又				
最	tsue5	tsue41					
劊	kui5	kui41	俗				
劊	kue5	kue41					
會	her6	hə41	白				
會	hue6	hue41	文				
外	gua6	ᵑɡua41	白				
外	gue6	ᵑɡue41	文				
會	kue5	kue41					
繪	hue6	hue41	旧				
繪	kue5	kue41					
乖	kuai1	kuai33					
怪	kue5	kue41	白				
怪	kuai5	kuai41	文				
蒯	khuai5	kʰuai41					
淮	huai2	huai24					
懷	huai2	huai24					
槐	huai2	huai24					
壞	huai6	huai41					
拐	kuai3	kuai55					
掛	kui5	kui41	白				
掛	kua5	kua41	文				
掛	kuai5	kuai41	又				
卦	kua5	kua41					
歪	uai1	uai33					
畫	ue6	ue41	白				
畫	hua6	hua41	文				
畫	ueh8	ueʔ35	白				
畫	iak8	iak35	文				
蛙	ua1	ua33					
快	khue5	kʰue41	白				
快	khuinn5	kʰuĩ41	白，快活				
快	khuai5	kʰuai41	文				
筷	khuai5	kʰuai41					
話	ue6	ue41	白				
話	hua6	hua41	文				
脆	tsher5	tsʰə41	白				
脆	tshui5	tsʰui41	文				
歲	her5	hə41	白				
歲	sue5	sue41	文				
彗	hui6	hui41					
綴	ter5	tə41	白				
綴	tue5	tue41	文				
綴	tuat7	tuat5	又				
綴	tsuat7	tsuat5	又				
贅	tsue5	tsue41					
税	ser5	sə41	白				
税	sue5	sue41	文				
説	sue5	sue41	游说				
説	serh7	səʔ5	白				
説	suat7	suat5	文				
鱖	ker5	kə41	白				
鱖	kue5	kue41	文				
衛	ue6	ue41					
鋭	lue6	lue41					
廢	hue5	hue41					
肺	hui5	hui41					
吠	pui6	pui41	白				
吠	hui6	hui41	文				
穢	ue5	ue41					
圭	ke1	ke33					
閨	kui1	kui33					
桂	kui5	kui41					
奎	ke1	ke33					
携	he2	he24					
慧	hui6	hui41					
惠	hui6	hui41					
卑	pi1	pi33					
碑	pi1	pi33					
裨	pi1	pi33					
裨	pi2	pi24					
彼	pi3	pi55					
俾	pi3	pi55					
臂	pi5	pi41					
披	phi1	pʰi33					
譬	phi5	pʰi41					
皮	pher2	pʰə24	白				
皮	phi2	pʰi24	文				
疲	phi2	pʰi24					
脾	pi2	pi24					
被	pher4	pʰə22					
被	phi4	pʰi22	白				
被	pi6	pi41	文				
婢	pi4	pi22					
避	phiah7	pʰiaʔ5	俗				
避	pi6	pi41					
糜	ber2	ᵐbə24	白				
糜	bi2	ᵐbi24	文				
彌	bi2	ᵐbi24					
彌	mi2	mi24	又				
彌	mi3	mi55					
靡	bi2	ᵐbi24					
靡	bi3	ᵐbi55	旧				
靡	mi3	mi55					
籬	li2	li24					
離	li2	li24					
離	li6	li41					
璃	le2	le24					
璃	li2	li24					
荔	nui6	nui41	白				
荔	le6	le41	文				
紫	tsi3	tsi55	白				
紫	tsir3	tsɯ55	文				
雌	tshir1	tsʰɯ33					
此	tshir3	tsʰɯ55					
刺	tshi5	tsʰi41	白				
刺	tshir5	tsʰɯ41	文				
刺	tshiah7	tsʰiaʔ5	白				
刺	tshiak7	tsʰiak5	文				
疵	tshir2	tsʰɯ24					
斯	sir1	sɯ33					
撕	si1	si33					
撕	sir1	sɯ33					
厮	sir1	sɯ33					
璽	su3	su55					
徙	sua3	sua55	白				
徙	sir3	sɯ55	文				
徙	su3	su55	文				
賜	sir5	sɯ41					
知	tsai1	tsai33	白				
知	ti1	ti33	文				
知	ti5	ti41					
智	ti5	ti41					
池	ti2	ti24					
馳	ti2	ti24					
篩	thai1	tʰai33	俗				
篩	sai1	sai33					
支	ki1	ki33	白				
支	tsi1	tsi33	文				
枝	ki1	ki33	白				
枝	tsi1	tsi33	文				
肢	ki1	ki33	白				
肢	tsi1	tsi33	文				
只	tsi3	tsi55					
差	tshir1	tsʰɯ33					
紙	tsua3	tsua55	白				
紙	tsi3	tsi55	文				
侈	tshi3	tsʰi55					
施	si1	si33					
施	si5	si41					
豕	si3	si55					
啻	tshi5	tsʰi41					
啻	si41	si41					
翅	tshi5	tsʰi41					
匙	si2	si24					
是	si4	si22					
氏	si4	si22					
豉	si6	si41					
兒	li2	li24					
爾	ni3	ni55					
爾	li3	li55					
羈	ki1	ki33					
寄	kia5	kia41	白				
寄	ka5	ka41	白				
寄	ki5	ki41	文				
企	khi5	kʰi41					
奇	kha1	kʰa33	白				
奇	ki1	ki33	文				
奇	ki2	ki24					
騎	khia2	kʰia24	白				
騎	kha2	kʰa24	白				
騎	ki2	ki24	文				
騎	khi2	kʰi24	文				
騎	ki6	ki41					
岐	ki2	ki24					
技	ki1	ki33					
技	ki4	ki22					
妓	ki1	ki33					
妓	ki4	ki22					
宜	gi2	ᵑɡi24					
儀	gi2	ᵑɡi24					
蟻	hia4	hia22	白				
蟻	gi3	ᵑɡi55	文				
義	gi6	ᵑɡi41					
議	gi6	ᵑɡi41					
誼	gi6	ᵑɡi41					
犧	hi1	hi33					
戲	hi5	hi41					
椅	i3	i55					
移	i2	i24					
易	i6	i41					
易	kue6	kue41	训				
悲	pi1	pi33					
鄙	phi3	pʰi55					
比	pi3	pi55					
比	pi5	pi41					
庇	pi5	pi41					
痹	pi5	pi41					
泌	pi5	pi41					
秘	pi5	pi41					
轡	pi6	pi41					
丕	phi1	pʰi33					
屁	phui5	pʰui41	白				
屁	phi5	pʰi41	文				
琵	pi2	pi24					
備	pi6	pi41					
鼻	phi6	pʰi41	白				
鼻	pi6	pi41	文				
鼻	pit8	pit35	又				
篦	pue1	pue33					
篦	pin5	pin41	俗，虱篦				
篦	pi5	pi41					
眉	bai2	ᵐbai24	白				
眉	bi2	ᵐbi24	文				
楣	bai2	ᵐbai24	白				
楣	bi2	ᵐbi24	文				
霉	bue2	ᵐbue24	旧				
霉	mui2	mui24					
美	bi3	ᵐbi55					
媚	bi2	ᵐbi24	俗，人名				
媚	bi4	ᵐbi22	俗，妩媚				
媚	bi6	ᵐbi41					
寐	bi6	ᵐbi41					
地	ti6	ti41	白，田地				
地	tue6	tue41	白，地头				
地	te6	te41	文				
尼	li2	li24					
尼	ni2	ni24	又				
呢	ni1	ni33					
膩	li6	li41					
梨	lai2	lai24	白				
梨	li2	li24	文				
梨	le2	le24	文，梨园				
履	li3	li55					
利	lai6	lai41	白				
利	li6	li41	文				
痢	li6	li41					
咨	tsir1	tsɯ33					
資	tsir1	tsɯ33					
姿	tsir1	tsɯ33					
姊	tsi3	tsi55	白				
姊	tsir3	tsɯ55	文				
次	tshir5	tsʰɯ41					
瓷	tsir2	tsɯ24					
瓷	hui2	hui24	训				
糍	tsi2	tsi24	白				
糍	tsir2	tsɯ24	文				
自	tsir6	tsɯ41					
私	si1	si33	白				
私	sir1	sɯ33	文				
死	si3	si55	白				
死	sir3	sɯ55	文				
四	si5	si41	白				
四	sir5	sɯ41	文				
肆	si5	si41	白				
肆	sir5	sɯ41	文				
致	ti5	ti41					
緻	ti6	ti41					
遲	ti2	ti24					
雉	thi4	tʰi22	俗				
雉	ti4	ti22					
稚	ti4	ti22					
師	sai1	sai33	白				
師	sir1	sɯ33	文				
獅	sai1	sai33	白				
獅	sir1	sɯ33	文				
脂	tsi1	tsi33					
指	ki3	ki55	白				
指	tsi3	tsi55	文				
指	tsuinn3	tsuĩ55	白				
指	tsng3	tsŋ55	白				
旨	tsi3	tsi55					
至	tsi5	tsi41					
鴟	tshi1	tsʰi33					
示	si6	si41					
尸	si1	si33					
鈰	tshi4	tsʰi22					
矢	si3	si55					
屎	sai3	sai55	白				
屎	si3	si55	文				
嗜	si6	si41					
視	si6	si41					
二	li6	li41					
貳	li6	li41					
肌	ki1	ki33					
飢	ki1	ki33					
几	ki1	ki33					
几	ki3	ki55					
冀	ki5	ki41					
器	khi5	kʰi41					
棄	khi5	kʰi41					
祈	ki2	ki24					
祈	ki1	ki33	又				
鰭	ki2	ki24					
耆	ki2	ki24					
伊	i1	i33					
懿	i5	i41					
夷	thai2	tʰai24	白				
夷	i2	i24	文				
姨	i2	i24					
肄	i6	i41					
你	ni3	ni55					
厘	li2	li24					
李	li3	li55					
理	li3	li55					
里	li3	li55					
裏	lai4	lai22	白				
裏	li3	li55	文				
鯉	tai4	tai22	白				
鯉	li3	li55	文				
吏	li6	li41					
兹	tsir1	tsɯ33					
滋	tsir1	tsɯ33					
子	li3	li55	俗				
子	tsi3	tsi55	白				
子	tsir3	tsɯ55	文				
梓	tsir3	tsɯ55					
磁	tsir2	tsɯ24					
慈	tsir2	tsɯ24					
字	li6	li41	白				
字	tsir6	tsɯ41	文				
司	si1	si33	白				
司	sir1	sɯ33	文				
絲	si1	si33	白				
絲	sir1	sɯ33	文				
思	si1	si33	白				
思	sir1	sɯ33	文				
思	sir5	sɯ41					
伺	sir5	sɯ41					
辭	si2	si24	白				
辭	sir2	sɯ24	文				
詞	sir2	sɯ24					
祠	sir2	sɯ24					
巳	sir4	sɯ22					
祀	sir4	sɯ22					
似	sir4	sɯ22					
寺	si6	si41					
嗣	sir6	sɯ41					
飼	tshi6	tsʰi41	白				
飼	sir6	sɯ41	文				
置	ti5	ti41					
痴	thi1	tʰi33					
痴	tshi1	tsʰi33	又				
耻	thi3	tʰi55					
持	ti2	ti24	白				
持	tshi2	tsʰi24	文				
峙	ti4	ti22					
峙	ti5	ti41					
峙	si5	si41					
痔	ti4	ti22					
治	thai2	tʰai24	白				
治	ti2	ti24	文				
治	ti4	ti22					
輜	tsir1	tsɯ33					
廁	tshe5	tsʰe41					
俟	sir4	sɯ22					
士	sir4	sɯ22					
事	sai6	sai41	白				
事	tai6	tai41	白				
事	sir6	sɯ41	文				
史	sai3	sai55	白，姓氏				
史	sir3	sɯ55	文				
使	sai3	sai55	白				
使	sir3	sɯ55	文				
使	sai5	sai41	白				
使	sir5	sɯ41	文				
駛	sai3	sai55	白				
駛	sir3	sɯ55	文				
芝	tsi1	tsi33					
之	tsi1	tsi33					
址	tsi3	tsi55					
止	tsi3	tsi55					
趾	tsi3	tsi55					
志	tsi5	tsi41					
誌	tsi5	tsi41					
痣	ki5	ki41	白				
痣	tsi5	tsi41	文				
嗤	tshi1	tsʰi33					
齒	khi3	kʰi55	白				
齒	tshi3	tsʰi55	文				
詩	si1	si33					
始	si3	si55					
試	tshi5	tsʰi41	白				
試	si5	si41	文				
時	si2	si24					
鰣	si2	si24					
市	tshi4	tsʰi22					
恃	si6	si41					
侍	si6	si41					
而	li2	li24					
耳	hi4	hi22	白				
耳	ni3	ni55	文				
耳	li3	li55	文，木耳				
餌	li6	li41					
基	ki1	ki33					
姬	ki1	ki33					
己	ki6	ki41	俗				
己	ki3	ki55					
紀	ki3	ki55					
記	ki5	ki41					
欺	khi1	kʰi33					
起	khi3	kʰi55					
杞	ki3	ki55	俗				
杞	khi3	kʰi55					
棋	ki2	ki24					
其	ki2	ki24					
旗	ki2	ki24					
期	ki2	ki24					
忌	khi2	kʰi24	俗				
忌	ki6	ki41					
疑	gi2	ᵑɡi24					
擬	gi3	ᵑɡi55					
嘻	hi1	hi33					
嬉	hi1	hi33					
禧	hi1	hi33					
禧	hi3	hi55					
熙	hi1	hi33					
喜	hi3	hi55					
醫	i1	i33					
意	i5	i41					
矣	i3	i55					
怡	i2	i24					
貽	i2	i24					
已	i3	i55					
以	i3	i55					
異	i6	i41					
機	kui1	kui33	白				
機	ki1	ki33	文				
鉿	hah7	haʔ5					
譏	ki1	ki33					
饑	ki1	ki33					
幾	ki1	ki33	几乎				
幾	kui3	kui55	白				
幾	ki3	ki55	文				
既	ki5	ki41					
豈	khi3	kʰi55					
氣	khui5	kʰui41	白				
氣	khi5	kʰi41	文				
汽	khi5	kʰi41					
沂	ki2	ki24					
沂	gi2	gi24					
毅	gi6	ᵑɡi41	旧				
毅	ge6	ᵑɡe41					
希	hi1	hi33					
稀	hi1	hi33					
依	i1	i33					
衣	ui1	ui33	白				
衣	i1	i33	文				
衣	i5	i41					
累	lui2	lui24					
累	lui3	lui55					
累	lui6	lui41					
嘴	tsui3	tsui55					
髓	tsher3	tsʰə55	白				
髓	sui3	sui55	文				
隨	sui2	sui24					
揣	tshui3	tsʰui55					
揣	tsher6	tsʰə41	训，找				
吹	tsher1	tsʰə33	白				
吹	tshui1	tsʰui33	文				
炊	tsher1	tsʰə33	白				
炊	tshui1	tsʰui33	文				
垂	se2	se24	俗				
垂	ser2	sə24	白				
垂	sui2	sui24	文				
睡	sui6	sui41					
瑞	sui6	sui41					
蕊	lui3	lui55					
規	kui1	kui33					
詭	kui3	kui55					
虧	khui1	kʰui33					
窺	kui1	kui33					
跪	kui4	kui22					
危	gui2	ᵑɡui24					
偽	gui6	ᵑɡui41					
麾	hui1	hui33					
毁	hui3	hui55					
委	ui3	ui55					
喂	ui5	ui41					
為	ui2	ui24					
為	ui6	ui41					
壘	lui3	lui55					
類	lui6	lui41					
淚	lui6	lui41					
醉	tsui5	tsui41					
翠	tshui5	tsʰui41					
悴	tsui6	tsui41					
綏	sui1	sui33					
雖	sui1	sui33					
粹	sui5	sui41	旧				
粹	tshui5	tsʰui41					
遂	sui6	sui41					
隧	sui6	sui41					
穗	sui6	sui41					
追	tui1	tui33					
槌	thui2	tʰui24					
槌	tui2	tui24					
錘	thui2	tʰui24					
錘	tui2	tui24					
墜	tui6	tui41					
墜	thui6	tʰui41	又，耳坠				
衰	sue1	sue33					
摔	sak7	sak5	俗				
摔	sut7	sut5					
帥	sut7	sut5					
帥	sue5	sue41					
帥	suai5	suai41	又				
率	sut7	sut5					
率	suai5	suai41	俗				
錐	tsui1	tsui33					
水	tsui3	tsui55	白				
水	sui3	sui55	文				
誰	tsui2	tsui24	白				
誰	sui2	sui24	文				
龜	ku1	ku33	白				
龜	kui1	kui33	文				
軌	khui3	kʰui55					
癸	kui3	kui55					
晷	kui3	kui55					
愧	khui5	kʰui41					
季	kui5	kui41					
葵	kher2	kʰə24	白				
葵	kui2	kui24	文				
葵	khui2	kʰui24	文				
逵	kui2	kui24	旧				
逵	khui2	kʰui24					
夔	kui2	kui24					
櫃	kui6	kui41					
帷	ui2	ui24					
位	ui5	ui41	俗				
位	ui6	ui41					
維	i2	i24					
惟	i2	i24					
遺	ui2	ui24	白				
遺	i2	i24	文				
遺	ui6	ui41					
唯	ui3	ui55					
唯	ui2	ui24					
飛	per1	pə33	白				
飛	hui1	hui33	文				
非	hui1	hui33					
匪	hui3	hui55					
沸	pui5	pui41	白				
沸	hui1	hui33	文				
痱	pui5	pui41	白				
痱	hui5	hui41	文				
妃	hui1	hui33					
菲	hui1	hui33					
菲	hui3	hui55					
費	pi5	pi41					
費	hui5	hui41					
肥	pui2	pui24	白				
肥	hui2	hui24	文				
薇	bi2	ᵐbi24					
微	bi2	ᵐbi24					
尾	ber3	ᵐbə55	白				
尾	bi3	ᵐbi55	文				
未	ber6	ᵐbə41	白				
未	bi6	ᵐbi41	文				
味	bi6	ᵐbi41					
歸	kui1	kui33					
鬼	kui3	kui55					
貴	kui5	kui41					
巍	gui2	ᵑɡui24					
魏	gui6	ᵑɡui41					
揮	hui1	hui33					
輝	hui1	hui33					
徽	hui1	hui33					
諱	hui5	hui41					
卉	hui5	hui41					
威	ui1	ui33					
畏	ui5	ui41					
慰	ui5	ui41					
尉	ui5	ui41					
尉	ut7	ut5					
違	ui2	ui24					
圍	hui2	hui24	俗				
圍	ui2	ui24					
葦	ui3	ui55					
偉	ui3	ui55					
緯	hui6	hui41	旧				
緯	ui3	ui55					
胃	ui1	ui33	俗				
胃	ui4	ui22					
謂	ui6	ui41					
猬	ui6	ui41					
褒	po1	po33	白				
褒	poo1	pɔ33	文				
保	po3	po55	白				
保	poo3	pɔ55	文				
堡	po3	po55	白				
堡	poo3	pɔ55	文				
寶	po3	po55	白				
寶	poo3	pɔ55	文				
報	po5	po41	白				
報	poo5	pɔ41	文				
袍	phau2	pʰau24	大红袍				
袍	poo2	pɔ24					
抱	pho4	pʰo22	白				
抱	phau4	pʰau22	文				
暴	poo6	pɔ41					
暴	pauh7	pauʔ5					
暴	pook8	pɔk35					
毛	mng2	mŋ24	白				
毛	moo2	mɔ24	文				
冒	moo6	mɔ41					
帽	bo6	ᵐbo41	白				
帽	moo6	mɔ41	文				
刀	to1	to33	白				
刀	too1	tɔ33	文				
叨	tho1	tʰo33	俗				
叨	thoo1	tʰɔ33					
倒	to3	to55	白				
倒	too3	tɔ55	文				
島	too3	tɔ55					
禱	too3	tɔ55					
禱	to3	to55	又				
到	too5	tɔ41					
到	kau5	kau41	训				
倒	to5	to41	白				
倒	too5	tɔ41	文				
掏	too2	tɔ24					
滔	thoo1	tʰɔ33					
討	tho3	tʰo55	白				
討	thoo3	tʰɔ55	文				
套	tho5	tʰo41	白				
套	thoo5	tʰɔ41	文				
桃	tho2	tʰo24	白				
桃	thoo2	tʰɔ24	文				
逃	to2	to24	白				
逃	too2	tɔ24	文				
陶	too2	tɔ24					
陶	iau2	iau24					
萄	to2	to24	白				
萄	tho2	tʰo24	白				
萄	too2	tɔ24	文				
濤	too2	tɔ24					
稻	tiu4	tiu22	俗				
稻	too4	tɔ22					
道	to4	to22	白				
道	too4	tɔ22	文				
導	too6	tɔ41					
盗	too6	tɔ41					
腦	lo3	lo55	白				
腦	loo3	lɔ55	文				
腦	noo3	nɔ55	文				
惱	ho3	ho55	俗				
惱	lo3	lo55	白				
惱	loo3	lɔ55	文				
惱	noo3	nɔ55	文				
勞	loo2	lɔ24					
勞	loo6	lɔ41					
撈	loo2	lɔ24					
撈	hoo2	hɔ24	训				
嘮	loo2	lɔ24					
嘮	saunnh8	saũʔ35	训				
牢	lo2	lo24	白				
牢	loo2	lɔ24	文				
老	loo3	lɔ55	白，老鼠				
老	lau3	lau55	白，菜老				
老	lau4	lau22	白，年纪大				
老	noo3	nɔ55	文				
遭	tso1	tso33	白				
遭	tsoo1	tsɔ33	文				
糟	tsau1	tsau33	白				
糟	tsoo1	tsɔ33	文				
早	tsa3	tsa55	白				
早	tsoo3	tsɔ55	文				
棗	tso3	tso55	白				
棗	tsoo3	tsɔ55	文				
蚤	tsau3	tsau55	白				
蚤	tsoo3	tsɔ55	文				
澡	tsoo3	tsɔ55					
躁	tsoo5	tsɔ41					
躁	soo5	sɔ41	又				
灶	tsau5	tsau41	白				
灶	tsoo5	tsɔ41	文				
操	tshau1	tsʰau33	白				
操	tshoo1	tsʰɔ33	文				
操	tshoo5	tsʰɔ41					
造	tso4	tso22	白				
造	tsoo4	tsɔ22	文				
造	tshoo5	tsʰɔ41					
草	tshau3	tsʰau55	白，花草				
草	tsho3	tsʰo55	白，草稿				
草	tshoo3	tsʰɔ55	文				
曹	tsau2	tsau24	白				
曹	tso2	tso24	白				
曹	tsoo2	tsɔ24	文				
皂	tsoo4	tsɔ22					
騷	so1	so33	白				
騷	soo1	sɔ33	文				
臊	tsho1	tsʰo33	白				
臊	soo1	sɔ33	文				
掃	so5	so41	白，粪扫				
掃	sau5	sau41	白，扫地				
掃	soo5	sɔ41	文				
掃	soo3	sɔ55	又				
嫂	so3	so55	白				
嫂	soo3	sɔ55	文				
高	ko1	ko33	白				
高	koo1	kɔ33	文				
膏	ko1	ko33	白				
膏	koo1	kɔ33	文				
羔	ko1	ko33	白				
羔	koo1	kɔ33	文				
糕	ko1	ko33	白				
糕	koo1	kɔ33	文				
稿	ko3	ko55	白				
稿	koo3	kɔ55	文				
告	ko5	ko41	白				
告	koo5	kɔ41	文				
告	khook7	kʰɔk5					
考	khoonn3	kʰɔ̃55					
烤	khoonn3	kʰɔ̃55					
靠	khoo5	kʰɔ41					
犒	khoo5	kʰɔ41					
熬	ngoo2	ŋɔ24					
傲	ngoo6	ŋɔ41					
蒿	hoo1	hɔ33					
薅	khau1	kʰau33	白				
薅	hoo1	hɔ33	文				
好	ho3	ho55	白				
好	hoonn3	hɔ̃55	文				
好	hoonn5	hɔ̃41					
耗	hoo5	hɔ41	旧				
耗	hau5	hau41					
豪	ho2	ho24	白				
豪	hoo2	hɔ24	文				
毫	ho2	ho24	白				
毫	hoo2	hɔ24	文				
號	hoo2	hɔ24					
號	ho6	ho41	白				
號	hoo6	hɔ41	文				
浩	hoo4	hɔ22					
爊	o1	o33	白				
爊	oo1	ɔ33	文				
襖	o3	o55	白				
襖	oo3	ɔ55	文				
懊	oo5	ɔ41					
奥	o5	o41	白				
奥	oo5	ɔ41	文				
包	pau1	pau33					
胞	pau1	pau33					
飽	pa3	pa55	白				
飽	pau3	pau55	文				
豹	pa5	pa41	白				
豹	pau5	pau41	文				
爆	phook7	pʰɔk5	旧				
爆	pook8	pɔk35					
泡	pha1	pʰa33	白				
泡	phau1	pʰau33	文				
泡	phau5	pʰau41					
抛	pha1	pʰa33	白				
抛	phau1	pʰau33	文				
炮	phauh7	pʰauʔ5	俗				
炮	phau5	pʰau41					
跑	phau3	pʰau55					
鮑	pa4	pa22	白				
鮑	pau4	pau22	文				
鮑	pau2	pau24	又				
刨	phau1	pʰau33	俗				
刨	pau2	pau24					
茅	hm2	hm24	白				
茅	bau2	ᵐbau24	文				
貓	niau1	niau33	俗				
貓	ba2	ᵐba24	白				
貓	biau2	ᵐbiau24	文				
卯	bau3	ᵐbau55					
貌	bau6	ᵐbau41					
鐃	la2	la24	白				
鐃	lau2	lau24	文				
撓	giau4	ᵑɡiau22					
鬧	lau6	lau41					
罩	tau5	tau41					
抓	liau5	liau41					
抓	tsua1	tsua33	又				
爪	liau3	liau55	白				
爪	tsiau3	tsiau55	文				
找	tsau3	tsau55					
笊	tsuann3	tsuã55	俗				
笊	liau5	liau41					
抄	tshiau1	tsʰiau33	俗				
抄	tshau1	tsʰau33					
鈔	tshau1	tsʰau33					
鈔	tsha5	tsʰa41					
炒	tsha3	tsʰa55	白				
炒	tshau3	tsʰau55	文				
吵	tsha3	tsʰa55	白				
吵	tshau3	tsʰau55	文				
巢	tsau2	tsau24					
梢	sau1	sau33					
捎	sa1	sa33	白				
捎	sau1	sau33	文				
稍	sau1	sau33					
潲	siau2	siau24					
交	ka1	ka33	白				
交	kau1	kau33	文				
郊	kau1	kau33					
膠	ka1	ka33	白				
膠	kau1	kau33	文				
骹	kha1	kʰa33					
教	kau1	kau33					
教	ka5	ka41	白				
教	kau5	kau41	文				
絞	ka3	ka55	白				
絞	kau3	kau55	文				
狡	kau3	kau55					
鉸	ka1	ka33	白				
鉸	kau1	kau33	文				
搞	kau3	kau55					
攪	ka3	ka55	白				
攪	kiau3	kiau55	文				
較	khah7	kʰaʔ5	白				
較	kau5	kau41	文				
酵	kann5	kã41	白				
酵	hau5	hau41	文				
窖	kau5	kau41					
校	ka5	ka41	白				
校	kau5	kau41	文				
校	hau6	hau41					
覺	kau5	kau41					
敲	kha5	kʰa41	白				
敲	khau1	kʰau33	文				
巧	kha3	kʰa55	白				
巧	khiau3	kʰiau55	白				
巧	khau3	kʰau55	文				
咬	ka4	ka22	白				
咬	gau3	ᵑɡau55	文				
孝	ha5	ha41	白				
孝	hau5	hau41	文				
肴	gau2	ᵑɡau24					
淆	gau2	ᵑɡau24					
效	hau6	hau41					
坳	au1	au33					
拗	auh7	auʔ5	俗				
拗	au3	au55					
飈	pio1	pio33	白				
飈	phiau1	pʰiau33	文				
標	pio1	pio33	白				
標	piau1	piau33	文				
標	phiau1	pʰiau33	又				
表	pio3	pio55	白				
表	piau3	piau55	文				
錶	pio1	pio33					
飄	phiau1	pʰiau33					
漂	phiau1	pʰiau33					
票	phio5	pʰio41	白				
票	phiau5	pʰiau41	文				
漂	phio5	pʰio41	白				
漂	phiau5	pʰiau41	文				
漂	phiau3	pʰiau55	文				
嫖	phiau2	pʰiau24					
嫖	phiau5	pʰiau41					
瓢	phio2	pʰio24	白				
瓢	phiau2	pʰiau24	文				
鰾	pio4	pio22	白				
鰾	piau4	piau22	文				
描	biau2	ᵐbiau24					
苗	biau2	ᵐbiau24					
藐	biau3	ᵐbiau55					
渺	biau3	ᵐbiau55					
秒	biau3	ᵐbiau55					
廟	bio6	ᵐbio41	白				
