#符号说明：-白=文/书*俗?待考		连读降调	[1b]⁵³
#调值		连读升调	[3b]²⁴
#ɿ	[1]⁵³[2]³³[3]²¹⁴[5]⁴⁴[7a]⁵⁵[7b]⁵[8]¹²[0]⁰	连读高调	[5b]⁴⁴
ɕ	[1]稍{~微}消宵销烧萧{~山：地名}箫[3]少{多~}晓□{~开镬：揭开锅}[5]孝效笑2少{~年}		
Ø	[1]妖邀腰要{~求}[2]摇谣窑姚[3]舀药1钥跃[5]要{想~}		

#ᵊɯ			
t	[1]兜{~饭：盛饭}[2]头投[3]斗{名}抖[5]斗{动}鬥		
tʰ	[1]偷[5]透豆		
m	[2]谋[3]某牡		
l	[1]□{“抠”义}[2]流刘留榴柳[5]漏溜		
ts	[1]周2[3]走酒2		
tsʰ	[5]凑		
s	[1]修搜[2]愁[5]锈瘦2		
k	[1]勾钩沟阉{抽~}[3]狗[5]锯{名}够		
kʰ	[3]□[5]扣		
g	[3]厚		
x	[2]喉1猴[3]后{皇~}後{以~}[5]候{~夜}鲎		
ŋ	[3]藕[5b]纽2{~扣}		
Ø	[2]喉2		

#iᵊɯ			
l	[2]硫		
tɕ	[1]皱周1舟州洲[2]泅绸缎筹仇酬求球[3]酒1九久臼舅[5]咒救究[5b]帚{条~}韭{~菜}灸{针~}		
tɕʰ	[1]秋抽丘[5]臭旧		
ȵ	[2]牛1[5b]纽1{~扣}扭{~秧歌}		
ɕ	[1]馊收休[3]手首守受[5]就秀绣瘦1寿[1b]袖{ɕi5~头：袖子}[3b]兽{野~}售{~票员}		
Ø	[1]优[2]邮由油游[3]有友右[5]佑幼{~儿班}		

#an			
pʰ	[5]叛=		
t	[1]耽=担2={~任}丹=[3]旦={元~}		
tʰ	[1]参={~观}[5]探={~照灯}坦=叹=		
n	[5b]览={展~，声母被顺同化}		
l	[2]篮={~球}		
ts	[3]站={汽车~}[5]栈=战=[3b]暂={~时}[1b]展={~览}		
tsʰ	[8b]惭={~愧}残=[5b]产={生~；共~党}		
s	[1]衫=		
k	[5b]感={~情}		
Ø	[1]庵={~堂}[5]案=		

#ian			
l	[5]炼={锻~}		
ɕ	[3]县=		

#uan			
t	[2]团={~员}[5]惯=[3b]锻={~炼}		
k	[1]观={参~}[5]冠={~军}		
x	[1]欢=		
Ø	[2]顽2={~固}完=		

#yan			
ɕ	[1]宣2=		
			
#en			
p	[1]奔冰兵[2]贫凭瓶屏萍平[3]木笨并饼丙[5]殡柄[5b]禀{~}		
pʰ	[1]喷姘拼[5]喷{~香}病[5b]品{~德}		
b	[3]並		
m	[2]民门蚊闻明名[5]问闷命[5b]敏{~感}		
f	[1]分[2]坟[3]粉[5]粪奋份		
t	[1]墩{沙~头：地名}蹲登灯丁钉{名}疔[2]饨盾藤亭停蜓[3]邓等顶鼎锭[5]顿□{~齐：把纸之类的东西在桌上弄整齐}凳瞪钉{动}订		
tʰ	[1]吞厅[3]挺[5]听艇定		
d	[3]澄{~水}		
n	[2]能		
l	[2]林临邻轮宁{~波}菱灵零铃拎[5]赁嫩论{讨~}另令[5b]领{~导}		
ts	[1]针珍尊遵增征2睛2争2{斗~}[2]镇尘承橙程成诚城2{~墙}臣[3]井郑[5]正{~常}政震[5b]枕2整2{~理}诊2[8b]慎{~重}		
tsʰ	[1]亲{接~；~家}村称{~呼}青蜻清[2]存[3]付[5]阵2衬寸称{相~}寸[5b]请2{~客}		
s	[1]心参{人~}辛新申孙僧星腥生2{~产}牲2{牺~}[2]寻神辰层晴[3]审笋醒静净省{浙江~}[5]渗2信讯性姓圣[3b]任{责~}[5b]沈{~阳}损{~失}榫{~头}		
k	[1]跟根[5]更{~加}		
kʰ	[3]肯[5]揿2{“按”义}		
x	[2]痕[3]恨[5]很		
Ø	[1]恩		

#in			
tɕ	[1]针1今金襟津真巾斤筋京蒸精晶晴1正{~月}茎[2]沉琴陈勤芹巡乘情擎[3]尽{~量}阵1紧近[5]禁进证症敬镜[3b]惊{冷~}境警劲{有~}[5b]枕1整1{~个}锦{~旗}颈{头~}诊1		
tɕʰ	[1]侵轻[5]揿1{“按”义}浸秤庆[5b]倾{~斜}请1{~帖}		
ɕ	[1]深身经升声[2]绳埕形型刑城1{~里}行{弗~}[3]婶幸[5]渗1[5]胜兴{~旺；高~}[3b]蝇{苍~}		
Ø	[1]音阴因姻鹰英鹦樱[2]人银寅营盈迎[21]忍影隐[5]认印应{~该；答~}映[5b]引{~导}		

#uen			
k	[3]滚[3b]棍		
kʰ	[1]昆坤[3]捆[5]困		
