#备注：《徽语严州方言研究》 曹志耘		调号	调类
#调值	[1]⁴²³[2]³³⁴[3]²¹³[6]⁵⁵[7]⁵[8]¹²[0]⁰ [21]³³⁴ [22]²¹¹ [23]⁵⁵ [26]2¹³ [27]⁵ [28]¹²	21	官话阴平
#ɿ		22	官话阳平
k	[1]规龟归[2]鳜桂葵贵[3]诡跪轨癸鬼		
kʰ	[1]盔魁亏[2]块奎逵[6]柜		
x	[1]恢灰挥徽[2]悔		
Ø	[1]煨威[2]桅茴危伪为{介词}违围{包~}畏慰[3]匯伟[6]会{开~；~不~}慧卫位魏讳胃谓猬□{tʰe²¹³~：相差} 		

#ye			
tɕ	[1]追专砖娟捐[2]槌锤缠传{动词}椽拳权颧眷卷{名词}[3]最嘴转{~身}锩		
tɕʰ	[1]催吹川穿圈{圆~}[2]翠串劝[6]传{名词}		
ȵ	[1]冤[2]圆员缘元原源袁园怨[3]软远[6]院愿县		
ɕ	[1]闩栓[2]税随船楦[3]罪碎髓2水[6]遂□{转，拧}		

#ɛ			
p	[1]班斑颁扳搬1帮[2]扮盘{算~}半旁膀{翼ɕiɔ⁴²³~：翅膀}□{摆动}□{聋~：聋子}[3]爿板版伴拌膀1{肩~}		
pʰ	[1]潘[2]襻盘{敲~：性交}判[3]膀2{肩~}[6]瓣办甏{一种像瓮的器具}		
m	[1]蛮{很}[2]蛮瞒馒蛮{蛮横}[3]满[6]慢		
f	[1]翻番{~椒：辣椒}幡[2]烦矾贩[3]反[6]饭		
t	[1]耽担{动词}丹单{~衣}端□{好好~：好好儿}[2]台{天~：地名}臺苔{青~}抬潭谈痰担{名词}檀墰弹{~琴}旦团{~圆}糰{汤~：汤圆}[3]待怠胆淡掸诞短断{~掉}打[0]□{烂~：丘疹}		
tʰ	[1]贪坍滩摊[2]探炭叹[3]毯坦蛋{鸡~}躺[6]贷代袋弹{子~}蛋{生~}段缎忒{太}		
n	[2]南男蓝篮难{形容词}兰拦栏[3]懒暖卵冷[6]癞{~蛤蟆}滥缆难{名词}烂乱[0]榄{橄~}		
l	[2]来		
ts	[1]灾簪钻{动词}张争[2]再寨{大~}馋蘸佔灒战钻{名词}长{~短}肠场帐账胀常[3]宰载{年~}盏产{~妇}纂攒长{排~}涨丈杖掌		
tsʰ	[1]猜搀餐撑[2]菜篡[3]彩采睬铲产{生~}厂		
s	[1]腮鳃三杉衫珊山删扇{动词}酸生牲笙甥[2]才{~子}材财裁帅蚕蟾伞散{~开来}扇{名词}算蒜□{~年饭：吃年夜饭}□{~吐：唾沫}[3]闪散{分~}善蟮省{浙江~；节~}		
k	[1]该甘柑泔监{牢~}干{~支}肝竿乾{饼~}间{房~}更{敲~}羹1耕[2]盖幹{事~：事情}[3]改徛{站立}感敢橄减碱杆秆擀赶[0]□{自~：自己}		
kʰ	[1]开龛铅坑[2]看[3]㦿{窗户}舰慨□{~~：恰}[6]隑{倚}		
ŋ	[1]庵安鞍恩[2]呆{~子}捱暗岩按案颜[3]眼[6]碍艾岸硬		
x	[2]含鹹衔汉闲□{~汽：蒸汽}[3]海亥馅早限苋杏[6]害陷汗焊		
Ø	[3]也1		

#iɛ			
tɕʰ	[0]□{“起来”的合音}		

#uɛ			
k	[1]官棺观{~世音}冠{衣~}关[2]贯灌罐[3]拐{~儿：拐杖}管馆梗		
kʰ	[1]宽[2]筷2[3]款[6]掼{扔}□{提梁}		
x	[1]欢[2]还{动词}		
Ø	[1]弯湾[2]横[3]缓碗[6]换万		

#ɔ			
p	[1]包胞[2]袍报跑豹爆[3]保堡宝抱饱鲍		
pʰ	[1]泡{形容词}抛□{香~：柚子}[2]炮泡{动词}[6]刨{木工用具}		
m	[1]猫[2]毛茅锚[3]卯[6]帽貌		
t	[1]刀叨[2]桃逃淘陶萄到[3]祷岛倒{打~}倒{~茶}道稻导		
tʰ	[1]滔[2]套[3]讨[6]盗		
n	[3]脑恼[6]闹		
l	[1]挠[2]劳牢唠[3]老佬		
ts	[1]糟朝{今~}昭招[2]躁{痱子~}罩朝{~代}潮照诏[3]早枣蚤澡爪找赵兆		
tsʰ	[1]操抄超[2]躁{暴~}灶糙[3]草钞炒吵		
s	[1]骚臊烧[2]槽扫{~帚星}燥[3]皂造扫{~地}嫂少{多~}绍□{~猪：半大不小的猪}[6]邵		
k	[1]高膏篙羔糕交{~费}胶[2]告教{~书}觉{困~：睡觉}[3]稿绞铰搞校{~表}狗{癞不~：癞蛤蟆}		
kʰ	[1]敲[2]靠[3]考烤		
ŋ	[1]傲[2]熬[3]袄1咬		
x	[2]毫孝1[3]好{形容词}浩[6]好{动词}号{~码}		
Ø	[1]凹[2]懊[3]袄2		

#iɔ			
p	[1]膘标{目~}[2]瓢嫖薸{浮萍}[3]表{~格}錶标{梢}		
pʰ	[1]飘漂{~流}[2]票[3]漂{~白；~亮}		
m	[2]苗描[3]藐渺秒[6]庙妙谬		
