#符号说明：-白=文/书*俗?待考	
#调值	［1］35［2］314［3］42［5］11［6］13
#ɿ	
ʨ [1]尖歼煎笺坚兼[3]剪捡检茧简俭[5]荐见建剑毽箭溅键健鉴={~宝}	
ʨʰ [1]签迁千牵谦铅={~球}[2]潜钳钱虔前乾全泉[3]浅谴践{实~}[5]欠[6]件贱旋-{发~}	
ȵ [1]研拈[2]年鲶鲇言严燃[3]碾=[5]砚彦验=念=[6]念-验-	
ɕ [1]先掀仙鲜轩宣喧萱[2]嫌贤玄弦涎悬=咸={~阳}闲{悠~}旋=舷{~上：边缘}[3]显选险鲜{朝~}癣{~面：脸上长疙瘩}[5]线县现献陷羡宪腺䘆{~虫：蚯蚓}限={~制}□{戳}	
k [1]勾沟钩跟根庚羹更{~换}[3]狗枸苟给耿□{盖，将容器倒置}[5]够购构更{~加}□{结冰，凝固}	
kʰ [1]抠[3]垦恳咳口=肯=[5]扣寇叩{~神：求神}	
Ǿ [1]烟咽淹胭腌阉焉[2]盐炎阎闫檐延然沿[3]演掩染冉厣{螺类介壳的圆片状的盖}□{当过~：失了面子}[5]厌宴燕艳	
#uɛi	
k [3]滚骨-{~头}[5]棍	
kʰ [1]昆坤□{~心：水沸腾}[3]捆[5]困	
h [1]昏婚荤[2]魂浑馄[3]混[5]睏{~觉：睡觉}	
Ǿ [1]温瘟[2]□{炖}[3]稳	
#yɛi	
k [1]专砖捐娟绢鹃[3]转{~车}卷{～起}[5]倦转{~动}传{名词。水浒~}卷{试～}	
kʰ [1]川穿串{动词。~起}[2]权拳颧椽传{动词。～说}[3]喘犬[5]劝券串{量词。一~}	
Ǿ [1]冤渊鸳[2]文纹闻园圆员袁猿爰援缘丸蚊={～香}铅={~笔}[3]远=[5]问怨苑 [6]院远-	
#ɪʏ	
Ǿ [1]优攸=悠忧幽[2]邮柔由油游鱿犹攸-{~县}[3]有友酉{~时}[5]佑幼诱[6]又右柚釉	
#ɑu	
p [1]褒包胞苞煲[3]保堡宝饱[5]报豹鲍□{跳，溅}	
pʰ [1]抛泡{~豆腐：油炸豆腐}[2]刨袍狍浮-[3]跑[5]爆暴泡{浸}[6]炮雹菢{孵化}泡{~子：泡泡}	
m [1]猫毛-{细纤维}□{~~ʨi5：婴儿}[2]茅矛锚髦毛={～笔}[3]母-{舅~}[5]貌冒[6]帽=冇{～得，没有}	
t [1]刀叨[3]倒岛捣祷导=[5]到	
tʰ [1]操钞抄[2]曹槽嘈漕[3]草吵炒[5]造皂糙[6]套	
n [1]孬[2]挠[3]脑恼瑙[5]闹=[6]闹-□{烧木炭时木材还没有完全碳化；又树桩子}	
l [1]捞臊-{~气；~疮：疥疮}□{～甲：锅巴}[2]牢痨劳□{蔬菜不新鲜}[3]老姥[5]涝[6]燎-{烧}□{错误}	
ʦ [1]糟遭[3]早枣澡找藻[5]燥躁灶罩[6]爪{猪~}	
s [1]臊=骚稍梢[3]嫂[5]扫哨潲	
tʂ [1]朝=招昭[3]沼[5]照	
tʂʰ [1]超[2]潮嘲朝{~南岳：去南岳进香}[5]肇[6]赵兆召{~亡：一种迷信活动}	
ʂ [1]烧叔=[2]韶[3]少{多~}[5]绍少{~年}[6]邵	
