dʊ	2	駝[～子]馱[～起來]坨[一～：一堆]
dʊ	4	橢垛[把物品整齊疊加]媠[(存疑)～唧：父親的姐姐]
dʊ	5b	惰坨[名詞，指被蚊蟲等叮咬的包；量詞，指一小塊的肉、魚、泥巴等]嚲[～倒：低着頭]
lʊ	1	囉糯烙[～鐵]□[xe13②～：客氣]□[通～：竈下面排出煤渣的口]
lʊ	2	羅鑼蘿螺[～絲]腡捼[揉搓]□[癩mʊ13②～：苦瓜]
lʊ	3	裸□[哄、討好]□[～子：結巴]
lʊ	5a	落駱洛絡樂[快～]□[壺～：瓶子]□[xʊ24⑤B～：可以]□[一～：一串]
lʊ	5b	籮[～子：籮筐]
tsʊ	1	捉桌作-[～田：種田；～天：天氣變化，通常指下雨的前兆]
tsʊ	5a	作=[工～]
tsʊ	5b	左[～手]作=[～業]卓琢
tsʰʊ	1	搓
tsʰʊ	5b	措錯[～誤]昨濁戳啄鑿□[～禍：搬弄是非]
sʊ	1	蓑[～衣]梭唆索縮
sʊ	3	鎖瑣
sʊ	4	坐
sʊ	5a	蓑[～衣]
sʊ	5b	塑[～料]座
tʃʊ	1	腳-[一隻～]
tʃʊ	5a	斫[砍]□[～真：當真]□[～起睏：側着睡]
tʃʊ	5b	腳=[～氣]覺[知～]角=[一～錢]着[～神：專注認真]
tʃʰʊ	5b	着[睏～：睡着；～嚇：受驚]□[吃得～：吃得慣]確=[～實]□[丟失、浪費]
ʃʊ	5b	學=[～校]
kʊ	1	歌鍋戈角-[～落]過[從一個容器倒入另外一個容器]
kʊ	3	果裹
kʊ	5a	哥個過=[～去：以前]
kʊ	5b	葛[姓]各閣擱郭□[雞蛋]角=[三～板]适[人名用字中的讀音]鴿
kʰʊ	1	科窠棵顆殼[～公：殼]
kʰʊ	3	可
kʰʊ	5b	課叩渴闊=[～氣]擴殼[腦～]確-[～實]
xʊ	1	喝蠚
xʊ	2	河何荷[～花；薄～]和[～氣；～水泥]
xʊ	3	火夥
xʊ	4	禍
xʊ	5a	貨學-[～舌：傳話]□[～liᴀ33①：撒嬌]□[捆]
xʊ	5b	賀=[～喜]盒合活霍藿獲□[～lʊ45⑤A：可以]
ʊ	1	阿=[～膠]倭窩屙餓
ʊ	2	鵝俄□[～子：鳥類的嘴巴]
ʊ	3	我
ʊ	5a	臥鑊[～子：菜鍋]
ʊ	5b	惡[～人]
iʊ	1	約-[～好]
iʊ	5a	嶽[南～]藥籰[織佈時的纏線工具]
iʊ	5b	諾若弱約=[～等於]鑰虐瘧岳[～父]樂[～器]
pɔ	1	芭粑疤爸巴[粘、傳染；太～：太稠]□[tsiəu45⑤A～：倔強]
pɔ	3	把[～握；一～刀；～食：餵家禽家畜吃食]□[沒有牙齒的人咀嚼；魚吃水]
pɔ	5a	欛[～公：柄]霸坝□[～飯：下飯]
pʰɔ	1	拍-[打；～滿：很滿]□[lᴀ45⑤A～：髒]
pʰɔ	5b	怕帕罷白[～色]□[liᴀ45⑤A～：撒謊]
bɔ	2	耙[～田]扒[～手；～算盤：撥算盤]
bɔ	5b	耙[(存疑)～子：一種比鋤頭寬的農具，可用來挖鬆軟的地方]
mɔ	1	抹[～布]
mɔ	2	麻
mɔ	3	馬碼螞
mɔ	5a	罵麥
mɔ	5b	蟆[～牯：青蛙]
lɔ	1	拿
tsɔ	1	抓撮[一～：一小撮]摘渣[油～子：油渣]□[老鼠啃的動作]
tsɔ	3	紥[一～；～頭髮]
tsɔ	5a	詐榨炸閘紥[一～：一沓]
tsɔ	5b	矺[壓]
tsʰɔ	1	叉杈差[～不多]拆岔[～路口]坼
tsʰɔ	5b	岔[～路口]擇-[～日子：選日子]
sɔ	1	沙紗杉[～樹]刷痧
sɔ	2	茶搽[～藥：抹藥]查[調～]楂[山～]
sɔ	3	耍所
sɔ	5a	曬廈[披～：偏廈]
tʃɔ	1	家=[～庭]加嘉遮佳隻[一～]炙
tʃɔ	3	假=[真～；放～]賈[姓]
tʃɔ	5a	駕稼價蔗[～稈：甘蔗]照-[～樣：學樣；～渠去：跟着他去]
tʃɔ	5b	甲=[～乙丙]
tʃʰɔ	1	赤-[～腳]尺喫□[～頸：上吊]
tʃʰɔ	3	扯
tʃʰɔ	5b	恰洽
ʃɔ	1	靴賒佘畬[旱地]
ʃɔ	2	茄蛇霞遐瑕
ʃɔ	3	捨[～不得]
ʃɔ	4	麝惹射[火苗～起蠻高：火苗跳得很高]
