来源：	邢红文 2019《古县（尧店）方言音系及其与周边方言声调的比较研究》；Hynuza, Skanda 整理录入
x	［1］蒿薅［2］壕豪毫［3］好{～坏}浩号{～数}［5］耗好{喜～}
#iau
p	［1］膘标彪镖［3］表裱
pʰ	［1］飘［2］瓢［3］漂{～白粉}［5］票漂{～亮}
m	［2］苗描［3］秒渺藐庙妙
t	［1］刁叼凋貂雕浇-教-{动词：～书}交-胶-跤-［3］调{音～}搅-轿-{～子}［5］钓吊觉{睡～}窖-{～子}
tʰ	［1］挑敲-［2］条调{～和}笤［3］藋{灰藋菜}调{～动}［5］跳糶{卖}
n	［3］尿咬鸟撬
l	［2］燎聊辽撩疗［3］了{～结}瞭尥撂料
tɕ	［1］郊焦蕉骄娇椒=交=胶=浇=跤=饺=［3］搅绞矫侥狡剿［5］较校{～对}酵叫窖=教={～育}
tɕʰ	［1］敲=跷翘［2］瞧乔桥荞侨［3］悄巧［5］俏窍
ɕ	［1］消硝销萧宵肖箫［3］小晓效校［5］笑啸
Ø	［1］妖邀腰要{～求}吆幺［2］尧摇谣姚窑［3］舀耀［5］要{想～}
#ou
pʰ	［1］剖
m	［2］谋［3］某
t	［1］兜都［3］抖斗陡逗痘豆=
tʰ	［1］偷［2］头投［3］豆-［5］透
n	［2］奴［3］努怒呶{嘟：～嘴}
l	［1］鹿陆录捞-［2］楼耧炉搂{～取}［3］鲁搂{～地}漏路露陋篓赂卤
ts	［1］租-诌［3］走祖组阻助揍骤［5］奏
tsʰ	［1］粗-初-□{～儿：辔头}［5］醋凑
s	［1］苏酥梳疏蔬搜飕馊束肃速［2］锄-［3］数{动词}［5］诉塑瘦素嗉{鸟～子}嗽漱数{名词}
tʂ	［1］掫{往上提}周舟州洲［3］轴［3］肘宙帚［5］皱咒昼
tʂʰ	［1］抽［2］酬愁绸稠筹仇［3］丑［5］臭
ʂ	［1］收［3］首守手受寿授售［5］兽
ʐ	［1］肉=［2］揉柔{～软}［3］□{慢}
k	［1］勾钩沟［3］狗垢［5］够购构
kʰ	［1］抠［3］口叩［5］寇扣
ŋ	［1］□{斜眼看：～了他一眼}［3］殴偶藕呕□{发愁}［5］沤{长时间的侵泡使发生变化：～肥}怄{～气}
x	［2］侯猴瘊喉［3］吼厚候后
#iou
m	［3］谬
t	［1］丢
n	［2］牛［3］纽
l	［1］六=［2］流刘留榴硫琉瘤［3］溜柳馏{通过蒸汽使加热：～馍馍}
tɕ	［1］揪阄纠{～缠}［3］纠{～正}酒九久灸臼韭就-旧-舅-［5］救究
tɕʰ	［1］秋丘邱［2］囚泅求球裘［3］舅-就-旧-
ɕ	［1］修羞休［3］朽袖［5］秀绣嗅宿{星～}锈
Ø	［1］忧优幽［2］悠尤邮由游犹油鱿［3］有友诱又右柚佑祐［5］幼
#an
p	［1］班斑颁般搬扳［3］板版瓣伴=拌=办=［5］半绊扮
pʰ	［1］攀潘拚{～命}［2］盘［3］办-伴-拌-叛畔［5］盼判襻{纽～}
m	［2］蛮瞒馒埋{～怨}［3］满漫幔慢曼
f	［1］翻番蕃藩［2］帆凡矾烦繁［3］返反范犯饭［5］泛嬔贩
v	［1］豌剜弯湾［2］完丸顽［3］挽晚碗蔓{瓜～子}万绾{系}［5］腕
t	［1］耽担{～任}丹单［3］胆但诞弹=蛋=淡=［5］担{挑水工具}旦
tʰ	［1］贪摊滩瘫［2］潭谭谈痰檀弹{～琴}坛［3］毯坦淡-蛋-弹-{子～}［5］炭叹探
n	［2］南男难{～易}楠［3］难{患～}
l	［2］兰栏拦篮蓝［3］懒揽烂乱-滥缆
ts	［1］簪［3］攒展站{车～}栈盏暂［5］占颤站{～立}蘸赞战
tsʰ	［1］参餐搀［2］蚕惭残蝉［3］惨铲产［5］灿
s	［1］三山珊衫［3］伞散{鞋带～了}馋-{挑食}［5］散{分～}
z	［2］□{说别人坏话}［3］□{陷进泥中，如“一下～到泥里啦”。}
tʂ	［1］沾粘毡
tʂʰ	［2］馋=缠
ʂ	［1］杉珊删扇{动词}膻［3］陕闪善单{姓}［5］扇{名词，～子}
ʐ	［2］然燃黏-［3］染冉
k	［1］柑甘泔尴干肝竿［3］感敢擀赶杆秆
kʰ	［1］堪看{～守}刊［3］坎砍□{摔倒}［5］看{～见}勘
ŋ	［1］庵安鞍鹌［2］严［3］揞{手覆：～住}岸［5］暗案按
x	［1］憨鼾涎{～水：口水}［2］酣咸-含寒韩函涵［3］撼憾喊旱悍捍汗翰焊馅-［5］汉
#ian
p	［1］编鞭边［3］辨扁匾便{方～}辫=辩［5］遍变
pʰ	［1］偏篇蝙［2］便{～宜}［3］辫-［5］骗片
m	［2］棉绵眠［3］缅免勉面
t	［1］掂颠肩-跕癫［3］典碘碱-点电殿奠佃间-{拔去；除去：～苗}［5］见-店
tʰ	［1］添天鹐［2］甜田填［3］腆舔垫簟
n	［1］淹阉醃蔫腌［2］颜-黏=拈鲇年言{～语}［3］眼念捻掩碾撵掩-
l	［2］镰廉帘连联怜莲［3］敛炼练恋脸链殓
tɕ	［1］尖歼监兼艰奸煎坚间肩=［3］减简拣检渐剪践键俭饯健茧碱=件=贱=［5］荐鉴剑箭溅建谏毽见=
tɕʰ	［1］签杴谦迁千牵嵌铅锨［2］前潜钳虔钱乾［3］浅倩件-贱-［5］欠歉
