音标	调类	字汇							
iaʊ	5	要跃耀							
təu	1	都兜							
təu	3	陡							
təu	5	豆凑（白）							
tʰəu	1	偷							
tʰəu	2	头							
tʰəu	3	抖							
tʰəu	5	透							
nəu	1	篓							
nəu	2	楼娄							
nəu	3	搂							
nəu	5	漏							
tsəu	1	州							
tsəu	3	走							
tsəu	5	咒							
tsʰəu	1	抽							
tsʰəu	2	愁							
tsʰəu	3	丑							
tsʰəu	5	凑臭							
səu	1	收							
səu	3	手							
səu	5	廋							
zəu	2	柔揉							
xəu	1	齁							
xəu	2	猴							
xəu	3	吼							
xəu	5	后候							
fəu	3	否							
kiəu	1	勾钩							
kiəu	3	狗							
kiəu	5	够							
kʰiəu	1	抠							
kʰiəu	3	口							
kʰiəu	5	扣							
ŋiəu	1	欧							
ŋiəu	3	呕藕							
ŋiəu	5	怄							
tiəu	1	丢篼（偏乡音）							
tiəu	5	豆（偏乡音）							
tʰiəu	2	头（又读，偏乡音）							
tʰiəu	5	透（偏乡音）							
niəu	1	溜							
niəu	2	刘牛楼（偏乡音）							
niəu	3	柳							
niəu	5	□（动）							
tɕiəu	1	纠揪灸州（偏乡音）							
tɕiəu	3	久九酒							
tɕiəu	5	旧舅就							
tɕʰiəu	1	秋							
tɕʰiəu	2	求球							
tɕʰiəu	5	臭							
ɕiəu	1	修收（偏乡音）							
ɕiəu	2	汓（脸皮厚，粘人）							
ɕiəu	3	朽手（偏乡音）							
ɕiəu	5	秀袖							
iəu	1	优忧悠							
iəu	2	由邮油游柔揉							
iəu	3	有友							
iəu	5	幼又右							
tan	1	担丹							
tan	3	胆							
tan	5	蛋但旦							
tʰan	1	滩探叹（∽气）							
tʰan	2	潭谈							
tʰan	3	毯坦							
tʰan	5	炭叹							
nan	2	南难男							
nan	3	懒							
nan	5	烂							
tsan	1	詹粘							
tsan	3	展斩							
tsan	5	站战							
tsʰan	1	参（参∽）餐							
tsʰan	2	残蚕							
tsʰan	3	产惨掺							
tsʰan	5	灿							
san	1	三山							
san	2	蝉婵							
san	3	闪伞散							
san	5	扇散							
zan	2	然							
zan	3	染冉							
kan	1	干（晒∽）甘柑间（白读）							
kan	3	敢橄感赶							
kan	5	干（∽部）间（白读，∽几天）							
kʰan	1	刊堪							
kʰan	3	砍坎							
kʰan	5	看							
ŋan	1	安淹庵							
ŋan	2	谙（想到）							
ŋan	5	按岸							
xan	1	憨							
xan	2	韩含咸							
xan	3	喊							
xan	5	汉焊陷（白读）							
pan	1	般搬班							
pan	3	板							
pan	5	办半伴							
pʰan	1	潘攀							
pʰan	2	盘							
pʰan	5	盼判							
man	2	蛮馒							
man	3	满							
man	5	慢漫							
fan	1	番翻							
fan	2	凡帆烦							
fan	3	反返							
fan	5	饭犯							
tuan	1	端							
tuan	3	短							
tuan	5	段锻断							
tʰuan	2	团							
nuan	3	卵暖							
nuan	5	乱							
tsuan	1	钻（∽研）专							
tsuan	5	赚传（∽记）钻（电∽）							
tsʰuan	1	穿川							
tsʰuan	2	船传（∽单）							
tsʰuan	3	铲							
tsʰuan	5	串窜							
suan	1	酸删珊							
suan	5	算蒜							
zuan	3	软							
kuan	1	观官关							
kuan	2	阮（替，“各人”合音，自己）							
kuan	3	管							
kuan	5	惯罐灌							
kʰuan	1	宽							
kʰuan	3	款							
xuan	1	欢							
xuan	2	环还横（白，∽着走）							
xuan	3	缓							
xuan	5	换唤							
uan	1	弯湾豌							
uan	2	完玩顽							
uan	3	晚碗							
uan	5	万							
taŋ	1	当							
taŋ	3	挡档党							
taŋ	5	当（上∽）							
tʰaŋ	1	汤							
tʰaŋ	2	唐糖塘堂							
tʰaŋ	3	淌倘							
