jiᶽan tiᶽ	trad	detail	调类	
憙	憙	省作喜，亦書作憘	ɕiᶽ1	
憘	憘	古文喜字	ɕiᶽ1	
禧	禧		ɕiᶽ1	
囍	囍		ɕiᶽ1	
嘻	嘻		ɕiᶽ1	
熹	熹		ɕiᶽ1	
熺	熺		ɕiᶽ1	
暿	暿		ɕiᶽ1	
屃	屓	同屭省	ɕiᶽ5	
屃	屭		ɕiᶽ5	
戏	戲		ɕiᶽ5	
戏	戱		ɕiᶽ5	
戏	戯		ɕiᶽ5	
颐	頤		ɦiᶽ2	
奚	奚		ɦiᶽ2	
蹊	蹊		ɦiᶽ2	
徯	徯		ɦiᶽ2	
携	携	俗攜字	ɦiᶽ2	
携	攜	～帶	ɦiᶽ2	
携	擕	俗攜字	ɦiᶽ2	
携	㩗	俗攜字	ɦiᶽ2	
携	㩦	俗攜字	ɦiᶽ2	
畦	畦		ɦiᶽ2	
移	移		ɦiᶽ2	
夷	夷		ɦiᶽ2	
姨	姨		ɦiᶽ2	
胰	胰		ɦiᶽ2	
遗	遺		ɦiᶽ2	
仪	儀		ɦiᶽ2	
眙	眙	盱～（地名）	ɦiᶽ2	
贻	貽		ɦiᶽ2	
饴	飴		ɦiᶽ2	
怡	怡		ɦiᶽ2	
台	台	《史記》唐堯遜位，虞舜不台。	ɦiᶽ2	
兮	兮		ɦiᶽ2	
匸	匸		ɦiᶽ6	
系	系	院～，～統	ɦiᶽ6	
系	繫	聯～	ɦiᶽ6	
系	係	關～	ɦiᶽ6	
系	係	應答聲，相當於“是的”	ɦei6	
禊	禊		ɦiᶽ6	
蚁	蟻		ȵiᶽ6	
义	義		ɦiᶽ6	
议	議		ɦiᶽ6	
羿	羿		ȵiᶽ6	
毅	毅		ȵiᶽ6	
裔	裔		ɦiᶽ6	
泄	泄		ɦiᶽ6	
曳	曳		ɦiᶽ6	
易	易	容～	ɦiᶽ6	
肄	肄		ɦiᶽ6	
异	異		ɦiᶽ6	
异	异	同異	ɦiᶽ6	
懿	懿		ɦiᶽ6	
亿	億		ɦiᶽ6	
忆	憶	記～	iɪʔ7	
刈	刈	磨～落著：磨损了	ɦiᶽ6	
乂	乂		ɦiᶽ6	
医	醫		iᶽ1	
祎	禕		iᶽ1	
伊	伊		iᶽ1	
陭	陭		iᶽ1	
漪	漪		iᶽ1	
衣	衣		iᶽ1	
依	依		iᶽ1	
椅	椅		ɦiᶽ1	
倚	倚		ɦiᶽ1	
旖	旖		ɦiᶽ1	
以	以		ɦiᶽ1	
以	㠯	古文以字	ɦiᶽ1	
已	已		ɦiᶽ1	
矣	矣		ɦiᶽ1	
佁	佁		ɦiᶽ1	
意	意		iᶽ5	
波	波		pu1	
菠	菠		pu1	
簸	簸		pu1	
播	播		pu1	
玻	玻		pu1	
补	補		pu1	
布	布		pu5	
布	佈	～置	pu5	
怖	怖		pu5	
颇	頗		pʰu1	
叵	叵		pʰu1	
坡	坡		pʰu1	
铺	鋪	～床	pʰu1	
潽	潽	液體從容器裏溢出	pʰu1	
谱	譜		pʰu1	
圃	圃		pʰu1	
普	普		pʰu1	
溥	溥		pʰu1	
浦	浦		pʰu1	
埔	埔		pʰu1	
脯	脯		pʰu1	
剖	剖		pʰu1	
破	破		pʰu5	
