聲母	韻母	陰平24	陽平21	陰上55	陽上35	陰去33	陽去22
ɬ	ɐt			5薛屑泄			
ʦ	ɐt						2窒[頂嘴、頂撞]
k	ɐt			5潔(大清~)結(~婚)		3結(~果)潔(洗~精)	2傑
kʰ	ɐt			5揭(~開)咳		3蠍	
h	ɐt			5乞		3歇挈(帶~)[提攜而使人沾光]	
k	wɐt					3刮(~魚鱗)	
ɓ	ɐk						2□[塊,量詞](一~布)蔔(蘿~)
pʰ	ɐk			5辟僻擘檗癖闢			
m	ɐk			5嘜(~頭)[頭像,外來詞](醒~)[醒目]			2墨陌覓
w	ɐk			5北逼迫碧璧壁			2域疫役
ɗ	ɐk			5積迹績跡鯽跡		3鯽	2席(主~)特狄籍藉夕敵寂
tʰ	ɐk			5戚剔			2賊
n	ɐk			5匿(~名)溺		3□(~牙)[說話結巴不利索]	
l	ɐk			5得(~意)德的嫡滴(簷~水)		3得(覺~)滴(~水)	2力曆歷
ɬ	ɐk			5息惜昔析悉熄媳錫嗇	35𮱝[孫子的子女]	3塞[塞住，動詞]	
ʦ	ɐk			5織(紡~)職炙		3織(~衫)側	2直値殖植蟄(驚~)稙
ʦʰ	ɐk			5赤斥			
ȵ	ɐk						2逆
s	ɐk			5色識(知~)式飾適釋飭		3識[認識、會、懂得]	2食蝕
k	ɐk			5擊激(刺~)戟		3激[氣某人，使之發火]	2極
kʰ	ɐk			5□[繩結]		3□(~住)[綁住]	
h	ɐk			5刻赫		3黑(~色)	
ʔ	ɐk			5呃			
j	ɐk			5億抑益			2翼亦譯易(交~)液腋
ɓ	ɛ			55啤(~袋口)啤			
pʰ	ɛ			55啤(一~)[一對]			
m	ɛ	24孭[背,動詞]		55咩			
f	ɛ		21啡(1ɛ211ɛ21~~)[不修褊福]	55啡			
w	ɛ			55搲(~hai21)[撓癢]			
ɗ	ɛ			55爹姐(小~)		33借	22謝
tʰ	ɛ		21斜邪	55且		33笡	
n	ɛ	24那[指示代詞]			35那[指示代詞，那]		
l	ɛ	24爹[口語]	21哩(~~fɛ21fɛ21)[不修褊福]				
ɬ	ɛ	24些		55寫		33瀉卸	
ʦ	ɛ	24遮		55姐(姑~)[姑姑]者		33蔗	
ʦʰ	ɛ	24車(馬~)		55且扯扯[回家、回去,作動詞]			
ȵ	ɛ			55惹			
s	ɛ	24賒奢	21蛇佘	55捨	35社	33赦舍騇[母的牛馬]	22射麝
k	ɛ					33嘅	
kʰ	ɛ		21騎	55棵(一~樹)	35*茄		
ŋ	ɛ			55𠼮[哼叫](~都唔~下)			22𠼮[擠，動詞]
h	ɛ					33嚱(1ɛ²¹lɛ²¹~~)[不太講衛生,髒奚奚;或者指做事落下碎活、留尾巴]	
j	ɛ	24嘢[東西]	21爺椰			33野	22夜
k	ei				35個[指示代詞，這]		
ɓ	iɐu		21包[常指額頭因碰撞而形成的小包]刨瓢嫖鰾				
pʰ	iɐu	24飘漂(~流)				33票漂(~亮)爆(~仗)	
m	iɐu		21苗瞄描	55貓	35秒渺藐杳(~無音信)		22妙廟
w	iɐu	24表(手~)標包(~裝)彪飈猋[疾奔]		55表(~弟)婊		33爆(~炸)	
ɗ	iɐu	24焦蕉椒	21條	55剿		33醮	22調(~動)掉
tʰ	iɐu	24挑悄	21調(~酒)樵瞧		35*鍬	33跳俏峭肖(~像)	
n	iɐu				35鳥		22尿
l	iɐu	24了(~解)刁貂雕丢	21遼撩燎僚寮繚聊寥	55屌		33釣吊	22廖料
ɬ	iɐu	24消肖[姓~]宵霄硝銷蕭簫		55小		33笑鞘	
ʦ	iɐu	24招朝[早上]	21朝(~早)[早上]	55沼(~澤)		33照	22召詔趙
ʦʰ	iɐu	24超昭	21潮朝(~代)				
ȵ	iɐu		21饒撓搖謠窯姚堯	55擾繞			
s	iɐu	24燒	21韶	55少(多~)		33少(~年)	22兆紹邵
k	iɐu	24交膠嬌驕郊		55狡絞矯繳	35*轎	33叫教校(~對)較覺臼	22撬[挖](~牆腳)
kʰ	iɐu		21□[常指小孩子想要東西而鬧]橋僑喬蕎	55巧[巧合]繞(線)		33竅	
h	iɐu	24囂澆	21姣(發~)[常指女性在別人面前故作姿態吸引他人注意]	55曉			22皓[光亮,光線很充足]
j	ɛu	24要(~求)腰邀吆		55妖	35*鷂	33要(~害)	22耀
ɗ	iɛm	24尖	21甜				22掂(搞~)漸
tʰ	iɛm	24添簽(~名)殲	21撍[拔出物體體表下面尖細的東西](~毛)潛				
n	iɛm	24拈	21粘鮎				22念
l	iɛm	24斂殮	21鐮廉簾	55點舔掂(~綴)	35瞼	33店	
ʦ	iɛm	24占(~卦)黏沾粘瞻				33佔(霸~)	
ȵ	iɛm		21嚴儼			33染冉	22驗
s	iɛm		21嬋蟬蟾禪(~讓)	55閃陝			
k	iɛm	24兼監(坐~)		55減檢		33劍	22儉
kʰ	iɛm		21鉗				
h	iɛm	24謙	21鹹咸	55險		33欠	22餡
j	ɛm	24閹醃	21鹽炎閻簷嫌	55掩厴(~尾)[小腹側位]淹魔		33厭醫	22驗豔焰
ʦ	iɛn	24□[剝](~皮)氈毡		55展(~開)[把貼住的膠布等物件撕離開]		33戰顫	22緾(~住)[用膠布、紗布等東西貼身團團包住]
ʦʰ	iɛn		21緾	55□(~開)[掀開蓋在物體表面的東西]			
ȵ	iɛn		21然燃言研				22諺硯
s	iɛn	24伸(伸長)			35*鱔	33扇	22善膳單[姓]
j	ɛn	24煙咽焉燕〔姓〕	21妍延涎賢弦	55演		33唁宴燕(燕子)堰	22彥現
ɓ	ɛŋ		21平[便宜]				22病
pʰ	ɛŋ					33片(一~草)[一塊草地]	
m	ɛŋ						22命[生命,名詞]
w	ɛŋ			55餅		33柄屏[怕別人發現而收藏起來]	
ɗ	ɛŋ	24精[精明,形容詞]		55井			22訂(~書)淨(乾~)
tʰ	ɛŋ	24聽(~見)青清廳		55請(~人)	35艇		
l	ɛŋ	24釘(铁~、~住)	21鯪(土~魚)[草魚]□(過~)[超過原計劃要到的目的地，過頭了]	55頂(山~)	35領(衫~)嶺	33靚[漂亮]	
ɬ	ɛŋ	24腥		55醒[睡醒了]省(反~)	35星[星星]	33鉎[鐵器上生的鏽]	
ʦ	ɛŋ					33正[正中，不偏不歪，好]	22鄭
s	ɛŋ	24聲(大~)	21成[事情辦成了]城(會~)[新會區府所在地名]				
k	ɛŋ	24驚[怕]		55頸		33鏡	22驚(~住)[恐怕出意外而小心奕奕地做事]
kʰ	ɛŋ		21□[東西被弄髒後留下的印痕]				
h	ɛŋ	24輕[與重相對，口語詞]					
j	ɛŋ		21赢	55影[影子]			
ɗ	iɛp			5㗳[吃、品嘗，口語音]		3接	2捷疊碟牒蝶諜
tʰ	iɛp			5帖趿[特指穿拖鞋時拖著鞋後跟走路的動作]妾		3貼	
n	iɛp					3捏聶鑷躡	
l	iɛp						2獵
ɬ	iɛp					3□[把東西夾進某處]	
ʦ	iɛp					3折(~紙)摺褶	
ȵ	iɛp						2孽
s	iɛp					3攝	2涉
k	iɛp				35*匣*鴿	3夾(~餸)挾劫	2及夾(~住張紙)
h	iɛp					3協怯掐	2俠狹峽
j	ɛp					3醃腌	2業葉頁
ʦ	iɛt			5擳[射水的動作,帶主動性]浙		3折(~磨)哲	2□[使水濺起]
ʦʰ	iɛt			5設澈徹		3徹	
ȵ	iɛt						2熱
s	iɛt					3虱□[打發、趕走]	2折[做生意虧了]舌
j	ɛt			5□[形容人喜歡在生人、衆人面前表現自己，以引起別人注意]		3逸	
pʰ	ɛk					3劈	2劈[丢掉不要]
ɗ	ɛk					3脊	2席[席子]笛糴
tʰ	ɛk					3踢	
l	ɛk			5叻[聰明、有本事]		3趯(~去~來)[跑來跑去地奔忙]	2𠠝[割](~開)
ɬ	ɛk					3錫惜(痛~)	
ʦ	ɛk			5□[看的意思]		3隻	
ʦʰ	ɛk			5□[測量、探究、證實]		3尺赤	
s	ɛk						2石
k	ɛk						2劇屐
h	ɛk					3吃	2□[表肯定應諾的語氣詞]
j	ɛk					3膉[餅乾等乾糧因放置時間太長而産生的變質的味道]	
k	œ					33鋸	
kʰ	œ		21瘸				
h	œ	24靴					
ɗ	œŋ	24將(~軍)漿		55奬		33醫將(大~)	22象像橡匠
tʰ	œŋ		21牆詳祥	55搶	35*槍	33□[把大面値貨幣兌換成小面值的]	
n	œŋ		21娘				22釀
l	œŋ		21良量(~度)涼糧梁粱	55兩倆			22諒量(重~)亮諒輛
ɬ	œŋ	24鑲相(互~)廂湘襄鑲箱		55想		33相(~貌)	
ʦ	œŋ	24張章樟		55掌長(生~)		33賬帳脹漲障瘴	22丈仗杖
ʦʰ	œŋ	24昌	21長(~短)腸場			33暢倡唱菖	
s	œŋ	24傷商	21常嘗裳償嫦	55賞		33上[動詞](~去)	22上[方位名詞](~面)尙
k	œŋ	24薑疆僵礓韁薑羌					
kʰ	œŋ	24強(勉~)	21強(~大)				
h	œŋ	24香鄉		55響享晌餉		33向	
