	注释：白-，文=
kʰ	[2]擎[3]顷-{～寻地}[6]□{跨}[7]□{路口挡牲畜的棚栏}
ŋ	[2]迎-{～神}[5]䁐{看}□{出～：前额突出}[7]厂-{石～}
∅	[2]赢-[3]□{～一下：将倒受惊}[7]漾{水溢}
#uaŋ	
k	[3]梗-[5]□{～～叫：高声快说}[7]梗-{一～花生}
kʰ	[2]哐{锣声}[3]□{～门：用力关门}
#ɔŋ	
p	[1]帮[3]榜膀绑梆[5]棒泵
pʰ	[1]乓[2]旁螃傍膀{～胱}[6]塝{田～}
m	[2]芒=忙茫=盲[3]莽蟒
f	[1]方坊芳肪鲂纺荒慌谎[2]黄=磺皇蝗簧凰隍惶房防妨[3]纺彷仿访舫恍愰晃[5]放=[7]楻{大木桶}
v	[1]汪[2]黄-王亡[3]网=枉往[6]望妄旺忘
t	[1]当噹裆挡[3]党挡档[5]当{典～}[7]盪{水溅出}
tʰ	[1]汤[2]堂棠螳膛唐糖=塘搪长-[3]趟倘淌盪{～嘴} [5]烫[6]荡□{忘记}[7]糖-
l	[1]□{小睡片刻}[2]郎狼廊螂[3]朗嚷揽{搂}[5]浪[6]琅[7]囊瓤
ts	[1]赃臧簪[3]縂{捆稻草}[5]葬
tsʰ	[1]仓舱苍疮沧[2]藏[5]创[6]撞-{用铁器在木石上打眼}臓藏{西～}[7]床
s	[1]桑丧{～事}[3]爽嗓=磉={柱下石}[5]丧{～失}[7]嗓
tʃ	[1]庄桩妆装章樟蟑幛樟[3]掌涨[5]壮幢彰瘴障
tʃʰ	[1]昌窗菖娼猖鲳[3]厂闯敞绱{～鞋}[5]唱倡畅[6]状撞{碰着}
ʃ	[1]霜伤商香乡双[2]常裳尝嫦[3]饷响赏上{～山}[5]向尚{高～}[6]上{～下}尚{和～}
k	[1]缸肛扛豇冈刚纲岗江甘柑-疳-[3]广讲港[5]钢降{下～}赣杠
kʰ	[1]康糠龛{神～}[2]狂[3]矿慷[5]抗旷况坑囥{～好：藏好}
x	[1]吭[2]行-衔航杭降{投～}[5]巷[6]项笐{晒衣竹竿}
∅	[1]庵[3]□{草木繁茂}[5]暗□{食～}
#iɔŋ	
p	[1]坊-风-枋-{木板}
t	[1]张[3]长{队～}涨=[5]帐胀仗
tʰ	[2]长{～短}场丈-{～人}[3]丈[6]长{剩余}杖仗{～势}
l	[2]良凉量{～布}粮梁粱[3]两俩辆[6]量{数～}亮谅
ts	[1]将{～来}浆=[3]蒋奖桨[5]酱=将{大～}[7]浆-{糊在一起}
tsʰ	[1]抢□{竖锯}[2]墙[5]抢痒-[6]匠像-[7]倾{～斜}
s	[1]相厢湘襄箱镶[2]祥详翔[3]想[5]相{～貌}像={～片}[6]象橡
k	[1]薑僵缰姜殭[3]强{勉～}[5]□{挣脱}[7]糨{搅成一团}
kʰ	[1]腔筐框眶疆[2]强□{撑展}[3]僵{硬}□{枫}
ŋ	[1]娘={酒～}[3]仰[5]让酿[7]绒{禾～：杂乱的残叶}
∅	[1]央秧鸯掩-殃[2]羊洋烊杨扬疡阳[3]养痒=氧[6]样漾[7]影-{人～}
#ɤŋ	
p	[3]捧[5]放-
pʰ	[1]蜂-砰烹=[2]冯蓬[5]碰[7]篷
m	[2]蒙檬朦濛[3]网-懵[6]墓幕梦=暮募慕
f	[1]轰烘风=丰封缝蜂=峰烽锋枫[2]虹=宏红洪鸿缝逢弘[3]哄=[5]㨪[6]凤奉缝{条～}
v	[1]翁嗡[5]蕹{～菜}
t	[1]东冬[3]董懂□{拳击、捶打}[5]冻栋
tʰ	[1]通𢳟[2]同铜简童瞳[3]桶统重-{很～}[5]痛[6]动洞疼[7]虫潭熥
l	[1]窿[2]笼{鸡～}砻垅脓=珑[3]拢笼{箱～}[5]脓-[6]弄[7]聋=
ts	[1]宗综棕[3]总=[5]粽
tsʰ	[1]葱聪匆囫[2]丛{小～}[3]丛-{一大～}
s	[1]鬆{放～}[3]耸𢱤[5]送宋[7]□{～鼻：吸鼻涕}
tʃ	[1]中{当～}终舂-盅钟衷[3]种{～类}肿[5]中{打～}众种{～树}
tʃʰ	[1]充冲深-舂=翀[2]虫=崇[5]铳[6]撞={～倒}
