"id","hanzi","note","ipa","audio","ntd","dl","databse","py"
74,"倭",,"u","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/wu1.wav",1,"阴平","zg","wu1"
75,"窝",,"u","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/wu1.wav",1,"阴平","zg","wu1"
76,"蜗",,"u","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/wu1.wav",1,"阴平","zg","wu1"
77,"踒","(踒了脚)","u","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/wu1.wav",1,"阴平","zg","wu1"
78,"阿","(阿胶, 阿弥陀佛)","u","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/wu1.wav",1,"阴平","zg","wu1"
79,"俄",,"u","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/wu2.wav",2,"阳平","zg","wu2"
80,"蛾",,"u","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/wu2.wav",2,"阳平","zg","wu2"
81,"讹",,"u","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/wu2.wav",2,"阳平","zg","wu2"
82,"鹅",,"u","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/wu2.wav",2,"阳平","zg","wu2"
83,"丸","(肉丸,弹丸)","ũ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/wun2.wav",2,"阳平","zg","wun2"
84,"卧",,"u","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/wu5.wav",5,"阴去","zg","wu5"
85,"饿",,"u","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/wu6.wav",6,"阳去","zg","wu6"
86,"悟",,"ʋ̩","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/vu6.wav",6,"阳去","zg","vu6"
87,"误",,"ʋ̩","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/vu6.wav",6,"阳去","zg","vu6"
88,"横","(横直)","aŋ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/ong2.wav",2,"阳平","zg","ong2"
89,"瓮",,"aŋ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/ong5.wav",5,"阴去","zg","ong5"
90,"齆","(多涕鼻疾)","aŋ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/ong5.wav",5,"阴去","zg","ong5"
91,"友",,"y","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yu3.wav",3,"阴上","zg","yu3"
92,"有",,"y","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yu3.wav",3,"阴上","zg","yu3"
93,"酉",,"y","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yu3.wav",3,"阴上","zg","yu3"
94,"允",,"yŋ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/yung3.wav",3,"阴上","zg","yung3"
95,"以",,"ʒ̩","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/ri3.wav",3,"阴上","zg","ri3"
96,"倚",,"ʒ̩","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/ri3.wav",3,"阴上","zg","ri3"
97,"椅",,"ʒ̩","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/ri3.wav",3,"阴上","zg","ri3"
98,"矣",,"ʒ̩","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/ri3.wav",3,"阴上","zg","ri3"
99,"蚁",,"ʒ̩","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/ri3.wav",3,"阴上","zg","ri3"
100,"义",,"ʒ̩","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/ri6.wav",6,"阳去","zg","ri6"
101,"异",,"ʒ̩","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/ri6.wav",6,"阳去","zg","ri6"
