#声调	1阴平24 2阳平21 3阴上阳去31 5阴去52 7阴入32 8阳入5
#注释	*训=文-白
#资料来源	《永定县志》，语保永定，《福建省永定凰城客家话研究》
#a	
f	[1]夫呼肤敷俘[2]扶=胡湖糊狐壶乎芙[3]扶虎浒户=互护府腑傅父腐辅[5]付负副富库赋附赴{~墟：赶集}
v	[1]乌污呜诬侮[2]无[3]武舞鹉务[5]雾
t	[1]都{首～}嘟[3]堵赌肚[5]杜妒
tʰ	[2]图途涂徒屠[3]土度渡镀[5]吐兔
n	[2]奴努[3]怒
l	[1]卤黸{生～，生锈}[2]卢芦庐炉泸鸿颅如驴[3]鲁路橹虏鹭乳[5]露
ts	[1]猪租诸诛蛛株朱珠珠[3]主祖组煮[1]蛀著注铸
tsʰ	[1]粗柱贮初=苎[2]除储锄厨雏橱{~拖：抽屉}[3]住驻楚助处{相处}鼠[1]醋处{～所}
s	[1]书苏酥疏={注～}舒输{~赢}[3]薯殊[3]暑署树诉竖[5]数素
k	[1]姑孤菇[2]□{妇女说埋怨话：~~ ku5ku5}[3]古股鼓牯{牛~：公牛}[5]雇故固锢顾
kʰ	[1]估枯户-{~ tsʰiaŋ1 ：门槛}[3]苦[5]裤库
#ai	
p	[2]跛{跛脚}逼{女阴：~}[3]摆[5]拜
pʰ	[2]排牌{竹筏}[3]败[5]派
m	[3]迈
f	[2]怀槐淮[3]坏
v	[1]歪{丑}
t	[1]呆[5]带戴
tʰ	[1]拖{~藤}[2]台抬[3]大待怠殆苔[5]太泰态
n	[3]奈耐[5]捺
l	[1]拉{讲话拖音}[2]拉{没劲儿}拉{~尿}[3]赖耐捺脷{舌头的婉称}[5]癞{麻风}
ts	[1]斋灾栽[3]宰[5]债再载{年～}
tsʰ	[1]猜差{出～}搓[2]才材财裁柴[3]在寨[5]蔡彩采睬
s	[1]筛=腮师-{~爷：道士}酾{倒}[2]豺豺{馋}[3]徙{搬迁}[5]晒
k	[1]阶
kʰ	[1]荷-{肩挑}[3]凯慨楷概溉械
