来源：	张倩 2020《佳县（佳芦镇）方言音系研究》；Skanda，Hynuza 整理录入
l	［7］乐［8］腊蜡辣瘌拉{～给把：拉一把}邋{～遢}
ʦ	［7］扎札作{～为}则侧-泽择宅摘责咂{卜～}
ʦʰ	［7］厕插擦察侧=测策册礤［8］铡-
s	［7］萨杀瑟虱塞色啬刹涩
tʂ	［7］折{对～}褶哲蜇辙浙酌芍窄
tʂʰ	［7］徹撤绰拆［8］着{～火了}
ʂ	［7］佘{～太君}摄涉设［8］舌折{弄～了}勺
ʐ	［7］若弱［8］热
x	［7］瞎［8］匣
#iaʔ	
ʨ	［7］夹甲胛觉{知～}角枷
ʨʰ	［7］恰掐却
Ø	［7］鸭押业{作～}约虐
#uaʔ	
tʂ	［7］拙桌卓涿捉
tʂʰ	［7］戳镯
ʂ	［7］刷缩
k	［7］聒刮
kʰ	［7］□{碰：把我～了一下}
x	［7］获［8］滑猾
Ø	［7］握挖-［8］袜
#iᴇʔ	
p	［7］别鳖憋笔毕必弼泊{梁山～}北逼百柏伯帛掰碧壁弊蝙{夜～蝠儿}愊{肚～}臂{～力}
pʰ	［7］匹拍魄劈揙{用巴掌拍、打、击}潎{分离液体表层}箅{甑～子}□{瞎～}［8］鼻白-
m	［7］秘泌灭篾密蜜墨默脉觅［8］麦苜{～蓿}
t	［7］跌牒蝶谍的{目～}滴嫡笛敌狄籴
tʰ	［7］帖贴铁踢剔［8］叠-碟-
n	［7］聂蹑孽逆溺［8］镊捏腻
l	［7］荔猎立笠粒列烈裂劣栗略掠历［8］力
ʨ	［7］秸接劫集{～中}辑急级给及杰节截结洁疾吉脚即极积迹脊籍藉{狼～}绩击激
ʨʰ	［7］且妾捷怯缉泣切七漆讫乞戚［8］□{跷}集{遇～}
ɕ	［7］些协习袭吸薛泄楔悉膝学息熄媳惜昔夕锡析蝎席{出～}胁［8］席{～子}
Ø	［7］页噎乙一逸益亦易{交～}业{事～}［8］叶药钥
#yᴇʔ	
l	［8］捋
ʨ	［7］绝厥掘=橛决诀橘倔-爵镢菊掬足局噘撧{拽、扯}
ʨʰ	［7］缺黢屈掘-雀鹊嚼确搉曲
ɕ	［7］续雪血穴戌恤削-速-肃-宿-{住～}畜粟俗蓿{苜～}
Ø	［7］悦阅越曰粤岳乐{音～}域狱欲浴裕［8］月
#əʔ	
p	［7］薄{～荷}钵-拨钹不博泊{停～}卜洦{水～子}餺{～饼子}□{量词，株、棵}
pʰ	［7］泼勃饽{面～}薄-朴扑仆瀑
m	［7］末沫莫问寞陌目穆［8］没木
f	［7］复佛缚福幅蝠腹覆服伏栿辐
t	［7］得德的
ʦ	［7］脊{～背}子{女～}
ʦʰ	［7］□{把东西收起来}
tʂ	［7］蔗蛰执汁侄秩质着稙直={～线}值=织职殖植只炙
tʂʰ	［7］赤斥尺吃［8］直-{性子～}值-
ʂ	［7］嗤{～笑}湿失室饬食识式饰适释［8］十拾实蚀石
ʐ	［7］日［8］肏
k	［7］蛤{～蟆}鸽给割葛各阁搁胳格革隔圪
kʰ	［7］咳磕渴壳刻克客䆟{～身：合身}
ŋ	［7］恶{恨}鄂额扼轭
x	［7］喝郝鹤黑赫吓核{审～}［8］合盒
#uəʔ	
t	［7］掇{～量}踱独读牍犊笃督毒䐁{～子：臀}夺=
tʰ	［7］脱突秃［8］夺-
l	［7］律率{速～}落烙洛络鹿禄陆绿录［8］肋勒
ʦ	［7］做撮卒族
ʦʰ	［7］猝促
s	［7］速=
tʂ	［7］琢啄浊竹筑逐祝烛嘱□{～住：堵住}
tʂʰ	［7］出触{接～}□{萎缩}
ʂ	［7］说术述秫叔熟淑赎束
ʐ	［7］辱［8］入褥
k	［7］骨核{果～～}郭国虢谷
kʰ	［7］括阔窟廓扩哭酷
x	［7］豁忽霍藿劐或惑囫{～囵}［8］活葫{～芦}
Ø	［7］屋沃焐{人感觉闷热}物勿
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
