#参考资料	《安徽安庆方言同音字汇》
#符号说明	“□”表示写不出来的字
#调值	[1]阴平31[2]阳平35[3]上声213[5]去声51[7]入声55
#ɿ	
Ø	[1]因音阴荫殷姻英鹰蝇婴樱缨鹦[2]银寅营迎赢盈荧萤[3]引隐瘾饮影[5]印应
#uən	
k	[2]滚磙[5]棍
kʰ	[1]昆坤[3]捆[5]困
x	[1]昏荤婚[2]魂馄浑横{～行霸道}[5]混
Ø	[1]温瘟[2]文蚊纹雯汶{～蛋：茶叶蛋}闻[3]稳[5]问
#ʯən	
tʂ	[1]肫军君均菌[3]准
tʂʰ	[1]春椿[2]唇纯鹑群裙[3]蠢
ʂ	[1]醺熏{～鱼}[2]纯旬寻{文}循[5]顺瞬训汛训讯
Ø	[1]晕{～车}[2]云匀[3]允[5]运韵孕酝熨
#oŋ	
p	[1]绷崩嘣[5]蹦迸蚌{～埠}
pʰ	[1]嘭砰怦[2]朋棚鹏蓬篷[3]捧[5]碰喷{～香}
m	[1]蒙[2]蒙{～古}檬朦盟萌[3]猛懵艨[5]梦孟
f	[1]风枫疯封丰蜂峰锋烽[2]逢{缝～衣服}冯[3]讽[5]凤奉缝俸
t	[1]东咚冬[3]董懂挏[5]动洞冻栋
tʰ	[1]通嗵[2]同铜桐童[3]桶捅统筒[5]痛
n	[1]哝[2]农浓脓龙笼聋珑胧隆[3]拢垄垅[5]弄□{物体软脆：豆腐太～；人太偶弱：这伢子太～}
ts	[1]宗棕综踪鬃枞[3]总[5]粽纵
tsʰ	[1]匆葱聪囱[2]从丛崇
s	[1]松[3]耸[5]送宋颂诵讼
tʂ	[1]中钟盅忠衷终[3]种{～子}肿肠[5]众中{～奖}种{～树}重{体～}
tʂʰ	[1]冲充[2]重{～复}[3]宠[5]冲{～人}
k	[1]工功公攻蚣躬宫恭供{～应}[3]拱巩汞[5]共供{～品}贡{进～}
kʰ	[1]空{～虛}[3]孔恐[5]空{填～}控
x	[1]轰烘哄掏赶走[2]红宏虹鸿[3]哄{～骗}[5]讧{内～}哄{起～}嗅{用鼻子闻}
#ioŋ	
tɕʰ	[2]穷琼
ɕ	[1]胸凶兄[2]雄熊
Ø	[1]庸臃慵拥[2]容绒融溶熔荣蓉茸榕[3]勇蛹永泳咏[5]用佣
#uoŋ	
Ø	[1]翁嗡[5]瓮
