IPA	调类	调值	例字
ȶĩ	1	55	掂颠癫
ȶĩ	3	21	点典
ȶĩ	5a	45	店淀电=
ȡʰĩ	1	55	添天
ȡʰĩ	2a	13	甜田填
ȡʰĩ	3	21	舔腆
ȡʰĩ	6	33	电-殿奠垫靛[下~:褪色]簟
ȵĩ	1	55	淹阉腌蔫捏烟胭
ȵĩ	2b	24	尼疑炎盐阎檐严鱼占然燃延言年
ȵĩ	3	21	拟染冉脸掩碾演衍撚撵
ȵĩ	5a	45	艺腻验厌艳焰谚筵堰砚燕宴镊蹑
ȵĩ	6	33	酽念
tɕĩ	1	55	兼肩坚
tɕĩ	3	21	检展茧
tɕĩ	5a	45	剑绽战颤建见占
ʥʰĩ	1	55	谦牵
ʥʰĩ	2a	13	钳缠乾虔捐
ʥʰĩ	3	21	遣
ʥʰĩ	5b	35	欠歉
ʥʰĩ	6	33	件键健
ɕĩ	1	55	掀
ɕĩ	3	21	陕闪险显
ɕĩ	5a	45	煽扇宪献现[~形]
ɣĩ	2a	13	嫌贤
ɣĩ	6	33	善鳝现[~成]
ʣʰuĩ	2a	13	全泉旋挦[~毛：拔禽类的毛]
ʣʰuĩ	3	21	浅
ʣʰuĩ	6	33	贱旋-[(头顶上的~儿)]
suĩ	1	55	鲜轩宣
suĩ	3	21	癣选
ȶuĩ	1	55	专砖
ȶuĩ	3	21	转[~身]蜷
ȶuĩ	5a	45	转[~圈]篆眷卷绢倦娟鹃捐
ȡʰuĩ	1	55	川穿圈
ȡʰuĩ	2a	13	传[~递]船-拳权颧
ȡʰuĩ	3	21	犬喘
ȡʰuĩ	5b	35	串劝券
ȡʰuĩ	6	33	传[~记]
ɣuĩ	2a	13	弦舷玄悬眩船=
ɣuĩ	6	33	县
uĩ	1	55	冤鸳渊
uĩ	2b	24	完丸圆员缘沿铅-[~笔]元原源袁辕园援猿
uĩ	3	21	软远
uĩ	5a	45	怨
uĩ	6	33	院愿
põ	5a	45	□[(藏)]
bʰõ	1	55	□[(追赶; 驱赶)]
bʰõ	3	21	□[~门:关门]
bʰõ	5b	35	□[量词，表示群，一~人]
mõ	1	55	妈么[~解：为什么]
mõ	2b	24	麻蟆抹
mõ	3	21	马码
mõ	5a	45	莫□[看~面相:算直八字]
mõ	6	33	骂
nõ	1	55	拿-
tsõ	1	55	争-
ʣʰõ	5b	35	撑-呛
sõ	1	55	双-生-
sõ	3	21	省-
kõ	1	55	羹[(粥)]
kõ	3	21	哽梗
gʰõ	1	55	坑□[(倒出)]
gʰõ	3	21	咳-
ŋõ	1	55	阿[~公:爷爷]□[(张开)]
ŋõ	2b	24	牙芽衙讶
ŋõ	3	21	哑瓦
ŋõ	5a	45	额[~头]
ŋõ	6	33	硬-
ɣõ	2a	13	行[(走)]
piõ	3	21	饼-
bʰiõ	2a	13	平-坪-
bʰiõ	6	33	病
miõ	2b	24	名-明-
miõ	6	33	命-
niõ	2b	24	零-玲-
niõ	3	21	冷-领-
ȶiõ	1	55	沾-粘-钉-[~子]
ȶiõ	3	21	颈-
ȶiõ	5a	45	钉-[(动词)]
ȡʰiõ	1	55	轻-厅-[~屋:堂屋]
ȡʰiõ	2a	13	提-□[(捆,系)]
ȡʰiõ	3	21	挺-
ȡʰiõ	5b	35	听-
ȡʰiõ	6	33	□[禁~: 爱惜,节约]
ȵiõ	2b	24	赢-萤-
ȵiõ	3	21	影-惹
ȵiõ	5a	45	□[不~腮:不好]
tɕiõ	1	55	腈[~肉子:瘦肉]
tɕiõ	3	21	井-
ʥʰiõ	1	55	清-青-
ʥʰiõ	2a	13	晴-
ʥʰiõ	3	21	请-
ʥʰiõ	6	33	净-
ɕiõ	1	55	声-星-
ɕiõ	3	21	醒-
ɕiõ	5a	45	腥-
ɣiõ	2a	13	成[(姓)]
pien	1	55	宾槟奔冰兵斌彬
pien	3	21	享本柄丙秉饼=
pien	5a	45	殡鬓并[~且]
bʰien	1	55	喷[~泉]烹拼乒
bʰien	2a	13	贫频盆凭平=坪=评苹瓶屏萍湓[(水溢出)]
bʰien	3	21	品
bʰien	5b	35	喷[~香]聘
bʰien	6	33	笨病=并[~排]
mien	1	55	蚊-
mien	2b	24	民门鸣明=名=铭冥
mien	3	21	闽悯敏抿皿
mien	6	33	闷=命=面[~前]
nien	2b	24	邻鳞磷陵凌菱绩灵零=铃=伶龄林淋临
nien	3	21	岭领=冷=
nien	5a	45	吝□[~尖的:很尖]
nien	6	33	令另
ȶien	1	55	砧针斟今钉=[~子]金禁襟珍臻真巾斤筋微蒸京荆惊鲸贞侦正[~月]征丁经中[~间]忠衷终钟盅
ȶien	3	21	枕锦诊疹谨拯景警整颈=顶鼎种[~子]肿
ȶien	5a	45	禁镇振震劲证症境敬竟镜竞正[~负]政劲钉[(动词)]订径中[打~]众种[~菜]
ȡʰien	1	55	称[~重量]卿冲充□[~手:伸手]厅=轻=撑=
ȡʰien	2a	13	沉琴陈尘臣勤芹承承橙呈程成[~功]城诚亭停廷庭蜓虫穷重[~新]禽擒澄惩
ȡʰien	3	21	逞艇挺=
ȡʰien	5b	35	趁仅称[相~]秤庆听=铳
ȡʰien	6	33	阵近郑定仲重[~量]
ȵien	2b	24	凝宁银-
ȵien	5a	45	赁
tɕien	1	55	津晶精=晴=□[(吮吸)]
tɕien	3	21	侭井
tɕien	5a	45	进晋浸
ʥʰien	1	55	亲[~人]清=青=蜻
ʥʰien	2a	13	寻秦情晴=
ʥʰien	3	21	寝请=顉[~脑壳:低头]
ʥʰien	5b	35	侵沁亲[~家]
ʥʰien	6	33	静靖净=
ɕien	1	55	心深辛新薪身申伸欣升兴[~旺]声=星=馨胸匈凶
ɕien	3	21	沈审婶猩醒=省[反~]
ɕien	5a	45	渗甚信讯衅胜兴[高~]性姓圣嗅=腥=
ɣien	2a	13	神辰晨乘绳行[~为]形型刑熊雄
ɣien	6	33	甚肾慎剩幸盛什
ien	1	55	音阴因姻殷鹰莺鹦樱英婴缨臃拥庸
ien	2b	24	吟淫人仁仍蝇迎盈融茸容蓉铭溶榕熔戎绒赢=银=
ien	3	21	饮忍寅引妇隐颖勇涌恿踊影=
ien	5a	45	荫饮印应映=
ien	6	33	壬任刃认韧用
nuen	2b	24	崙伦轮论[~语]
nuen	6	33	嫩论[讨~]
tsuen	1	55	尊遵
tsuen	5a	45	俊骏
ʣʰuen	1	55	村
ʣʰuen	2a	13	存荀旬循巡
ʣʰuen	3	21	忖
ʣʰuen	5b	35	寸
suen	1	55	孙
suen	3	21	损笋桦
suen	5a	45	□[~白:很白]
ȶuen	1	55	敦墩蹲=均钧君军
ȶuen	3	21	准
ȶuen	5a	45	顿盾吨礅[(重重往下放)]撴[(竖着)]
ȡʰuen	1	55	椿春倾顷
ȡʰuen	2a	13	屯豚饨臀囤唇醇群裙琼
ȡʰuen	3	21	蠢
ȡʰuen	6	33	钝肫菌郡
kuen	3	21	滚
kuen	5a	45	棍
gʰuen	1	55	昆坤
gʰuen	3	21	捆
gʰuen	5b	35	困睏
xuen	1	55	昏婚分吩芬纷荤
xuen	3	21	粉
xuen	5a	45	粪奋喷-[~水]愤
ɣuen	2a	13	魂馄浑焚坟豶横炆[(小火慢炖)]
ɣuen	6	33	混顺舜份分
uen	1	55	温瘟晕
uen	2b	24	匀文纹闻云耘营荣萤=蚊=
uen	3	21	稳允尹吻刎永
uen	5a	45	熨酝韵泳咏瓮[~坛]闷-
uen	6	33	润闰问运孕
ɕyen	1	55	熏勋薰兄=
ɕyen	5a	45	迅殉训
paŋ	1	55	帮邦崩绷
paŋ	3	21	榜绑
paŋ	5a	45	谤棒迸磅泵蹦
bʰaŋ	1	55	乓□[~臭的:很臭]
bʰaŋ	2a	13	谤旁螃膀庞朋鹏膨蓬篷棚□[(疾走)]
bʰaŋ	3	21	捧髈[~子:肘子]
bʰaŋ	5b	35	碰胖
bʰaŋ	6	33	蚌
maŋ	1	55	蒙[(铺罩)]
maŋ	2b	24	忙芒茫盲蛇萌氓盟蒙[~古]
maŋ	3	21	莽蟒猛懵
maŋ	6	33	望-[(看)]孟梦
maŋ	1	55	当[~时]档东冬
taŋ	3	21	党挡董懂
taŋ	5a	45	当[上~]档冻栋
taŋ	1	55	汤通
dʰaŋ	2a	13	堂棠膛唐糖塘同铜桐筒童瞳
dʰaŋ	3	21	躺桶统
dʰaŋ	5b	35	烫趟痛
dʰaŋ	6	33	荡动洞
naŋ	1	55	聋
naŋ	2b	24	囊郎廊狼螂榔笼胧笼农脓隆窿龙浓
naŋ	3	21	朗拢陇
naŋ	5a	45	弄[~子:巷子]
naŋ	6	33	浪弄[作~]
tsaŋ	1	55	赃脏庄装妆桩棕鬃宗综踪
tsaŋ	3	21	总
tsaŋ	5a	45	壮粽纵葬
ʣʰaŋ	1	55	仓苍舱疮窗聪匆葱囱
ʣʰaŋ	2a	13	藏[~东西]床丛崇从松[~树]
ʣʰaŋ	3	21	闯宠
ʣʰaŋ	5b	35	创
ʣʰaŋ	6	33	藏[西~]脏状撞诵颂
saŋ	1	55	桑霜蠕双松[~柏树; ~紧]
saŋ	2b	24	□[(小家子气)]
saŋ	3	21	嗓操爽怂耸
saŋ	5a	45	丧送宋
kaŋ	1	55	冈岗刚纲钢缸光肌肛□[~眼:睁眼]公蛤工功攻弓躬宫恭龚
kaŋ	3	21	广讲港汞拱巩
kaŋ	5a	45	杠逛贡供羾[(钻)]
gʰaŋ	1	55	康糠慷匡筐眶框更空[捞~的:什么都没有]
gʰaŋ	2a	13	狂扛
gʰaŋ	3	21	孔恐□[(谷类食物起虫、变质)]
gʰaŋ	5b	35	抗炕旷况控空[有~]矿
gʰaŋ	6	33	共
ŋaŋ	2b	24	昂
xaŋ	1	55	荒慌方芳夯轰烘风枫疯丰封峰蜂锋
xaŋ	3	21	谎恍幌纺仿访哄讽
xaŋ	5a	45	晃放
ɣaŋ	2a	13	行[银~]航杭黄=簧皇蝗凰蟥妨房防虹弘宏红洪鸿冯逢缝[裁~]
ɣaŋ	6	33	项巷凤奉体缝[一条~]蕻[菜~子]
niaŋ	2b	24	良凉量[(动词)]粮梁粱
niaŋ	3	21	两俩
niaŋ	6	33	亮谅辆量[数~]
ȶiaŋ	1	55	张章樟疆僵姜江
ȶiaŋ	3	21	长涨掌
ȶiaŋ	5a	45	账帐胀仗障降[下~]
ȡʰiaŋ	1	55	昌腔
ȡʰiaŋ	2a	13	长肠场常尝偿强
ȡʰiaŋ	3	21	厂敞
ȡʰiaŋ	5b	35	畅唱倡
ȡʰiaŋ	6	33	丈仗杖犟
ȵiaŋ	2b	24	娘
ȵiaŋ	6	33	酿
tɕiaŋ	1	55	将浆
tɕiaŋ	3	21	蒋奖桨
tɕiaŋ	5a	45	酱将□[(踩)]
ʥʰiaŋ	1	55	枪
ʥʰiaŋ	2a	13	墙
ʥʰiaŋ	3	21	抢
ʥʰiaŋ	5b	35	蹡[(走路不稳; 物不正)]
ʥʰiaŋ	6	33	匠象像
ɕiaŋ	1	55	相[~信]箱厢湘镶商伤香乡兄-
ɕiaŋ	3	21	想赏晌铜享响
ɕiaŋ	5a	45	相[~貌]向萫[(佐料)]橡[~皮]
ɣiaŋ	2a	13	详祥翔降[投~]
ɣiaŋ	6	33	上尚
iaŋ	1	55	央秧殃鸯
iaŋ	2b	24	羊洋洋杨阳扬疡
iaŋ	3	21	壤仰养痒氧
iaŋ	5a	45	映[~山红]
iaŋ	6	33	让样
uaŋ	1	55	汪翁
uaŋ	2b	24	亡王
uaŋ	3	21	枉往网
uaŋ	6	33	忘妄旺望=
m	6	33	姆[~妈:妈妈]
n	6	33	嗯[~咯:是的]
n	3	21	尔
ŋ	2b	24	黄-
ŋ	3	21	我-
