vei	2	113	浮=(轻~.~面)			
tei	1	44	兜(~底，~肚)□(投放,~豆种)			
tei	3	51	斗(十升一~)抖陡□(指别的疑问词,什么,~东西)			
tei	5	334	鬥(~爭:拼合;拼拼~-,凑集:大家~点錢出来)			
tʰei	1	44	偷			
tʰei	3	51	㪗(~气)			
tʰei	5	334	透			
dei	2	113	头投颓□(整理，拿材料一~好)骰(~子,色子.一种游欢用具或賭具）			
dei	4	231	□(煩躁不安，他~殺作:吃了不消化)			
dei	6	213	逗豆痘队			
lei	1	44	溜(~走)謱			
lei	3	51	篓柳累2(積~,连~)搂(攪拌.翻動)儡(又音)			
lei	5	334	雷(新)楼流硫刘浏留榴琉蝼(~蛄)瘤擂(打~臺)			
lei	6	213	类垒漏陋痿馏			
lei	0	0	里(又音,台~,路~,街~)俚(们:我~,你~.他~)			
tsei	1	44	邹周舟州洲帚			
tsei	3	51	走肘□(油炸:~油条,~长生果)			
tsei	5	334	奏昼(~里,中午:小~,接近中午,動词,到中午:~作)咒(賭~)			
tsʰei	1	44	揍抽1			
tsʰei	3	51	丑(醜)			
tsʰei	5	334	凑臭□(把柴火塞进灶膛里烧:~火)			
dzei	2	113	绸稠筹柔仇(报~)酬抽2(抽丝,絨線等:吮吸）			
dzei	6	213	宙骤纣□(疊:拿碗~起来）			
sei	1	44	搜飕馊蒐嗖漱(冷~齁)收			
sei	3	51	叟手首守溲			
sei	5	334	嗽兽瘦(~弱;田~)謏			
zei	2	113	愁			
zei	4	231	受1(忍~:~~)𥣙(积聚钱物)			
zei	6	213	受2(接~)寿投售袖就(又音,副詞)			
kei	1	44	勾(~肩搭背)钩沟(~坎)蜗(鋼~螺)閹(抽~,即抓~)			
kei	3	51	狗茍枸(~杞)			
kei	5	334	够构购彀(朝上~.~不到)			
kʰei	1	44	抠眍1(~眼)			
kʰei	3	51	口			
kʰei	5	334	扣寇筘叩			
ŋei	1	44	欧瓯讴1鸥沤(~粪)眍2(格块地~各）			
ŋei	3	51	藕偶呕怄(~拆,冤屈)			
ŋei	5	334	牛			
xei	1	44	齁䫲(浮肿)呴(寻~势)			
xei	3	51	许2允谱			
xei	5	334	吼鲎			
ɣei	2	113	侯喉猴䫛□(兒子，男)			
ɣei	4	231	厚1后(後)(朝前朝~)			
ɣei	6	213	厚2后后(後)(又音)候□(就,副詞:~来各）			
tɕiei	1	44	鸠纠揫 (~头帨巾)			
tɕiei	3	51	酒九玖久韭灸			
tɕiei	5	334	皱绉救究疚㾭(~筋)			
tɕʰiei	1	44	秋靴丘鳅邱蚯蓲(乌~)			
tɕʰiei	3	51	揪(~住他不放)			
ʥiei	2	113	囚泅求球仇(姓)裘			
ʥiei	6	213	就(动詞)臼(~潭)舅咎旧柩桕□(疊，補丁~補丁)			
niei	5	334	揉			
ɕiei	1	44	修羞休			
ɕiei	3	51	□(頑皮，格小安忒~）			
ɕiei	5	334	秀(清~.麥~榔头)绣锈宿(星~)嗅(~觉)朽			
ʑiei	4	231	□(掙扎)			
iei	1	44	忧优幽悠			
iei	3	51	有友			
iei	5	334	幼尤邮由油游犹			
iei	6	213	又右佑			
kuei	1	44	圭闺规龟归轨(鐵~）			
kuei	3	51	诡鬼癸			
kuei	5	334	会(~計)刽桧鳜(~鱼)桂贵绘			
kʰuei	1	44	盔魁奎亏=窥			
kʰuei	3	51	傀			
guei	2	113	逵葵夔			
guei	4	231	跪1			
guei	6	213	跪2溃愧柜			
xuei	1	44	灰恢诙麾挥辉徽晖			
xuei	3	51	贿悔毁(~壞)诲			
xuei	5	334	晦秽讳			
uei	1	44	威萎煨(~罐)巍微2(稍~)□(~草,水草)			
uei	3	51	委伟苇伪喂(招呼聲)			
uei	5	334	危回1(~門,~嘴)茴桅(~门艙,帆船桅杆下的船艙)违蛔为1(行~)围=(包~)畏帏(桌~)喂=			
uei	6	213	汇会卫惠慧位为2(~什么)魏纬=(经~)慰胃谓猬=回2			
tɕye	1	44	追锥			
tɕye	5	334	最赘缀1(点~)醉=			
tɕʰye	1	44	吹=炊			
tɕʰye	5	334	粹悴翠=			
ʥʰye	2	113	捶=锤			
ʥʰye	6	213	坠膇(脚~气)			
ɕyei	1	44	虽=			
ɕyei	3	51	水=			
ɕyei	5	334	税睡帨(~巾)(又音,尖~)			
ʑyei	5	334	随=垂=谁			
ʑyei	4	231	蕊(花~)□(储存,积囊:~点钱起房子)			
ʑyei	6	213	瑞芮锐穗=			
pɔ	1	44	包苞胞(衣~之地)褒			
pɔ	3	51	保堡褓葆宝饱			
pɔ	5	334	报豹爆1(~芽,发芽:~青,返青:~糙米)暴(~眼)曝(~伏,大暑天把箱子里的衣股晒晒)			
pʰɔ	1	44	泡1(水~)抛脬(尿~:卵~.阴囊)□(滚。~下来)			
pʰɔ	5	334	泡2(动词:用水~~)炮疱(紫血~)			
bɔ	2	113	跑袍咆			
bɔ	4	231	抱1			
bɔ	6	213	抱2暴(~冷.~腌)刨雹爆2(~炸)襃褒			
mɔ	3	51	卯			
mɔ	5	334	毛茅矛猫-(~儿)锚( 抛~)蟊髦(时~)铆(~钉)			
mɔ	6	213	冒帽瑁貌			
mɔ	0	0	么(语气词)			
tɔ	1	44	刀鱽(~鱼)叨1(唠~)			
tɔ	3	51	岛捣祷倒1(打~)			
tɔ	5	334	到倒2(~水)			
tʰɔ	1	44	滔掏韬弢叨2(~光)慆(~~叫.慢慢地)			
tʰɔ	3	51	过			
tʰɔ	5	334	套			
dɔ	2	113	桃逃淘(~伴)掏(~井)陶涛焘(作嚎~.起哄)蜪(四角文蛤)萄(水葡萄,即葡~)			
dɔ	6	213	道稻盗导悼蹈			
nɔ	3	51	脑恼瑙□(表示给予或近指的指示词:~.拿去|~,来~格那，在这儿)			
nɔ	5	334	挠(不屈不~)铙(~钹)□(表示远指的指示词:~,来~骨那，在那儿)			
nɔ	6	213	闹			
lɔ	1	44	捞1(用不正当的手段取得:~钱,~后脚)			
lɔ	3	51	老1(年~)			
