#符号说明：-白=文/书*俗?待考		连读高降调	[1b]⁵³
#调值	[1]⁵³ [2]⁵⁵ [3]²¹ [5]²² [6]³²⁴ [0]⁰	连读高平调	[2b]⁵⁵
#ɿ		连读低降调	[3b]²¹
t	[1]担{拿}丹单{~干}端{一盘儿}丁2[3]胆短[5]担{挑~}旦{花~}[3b]弹{~簧}		
tʰ	[1]贪滩摊[2]潭水潭谈痰坛弹{~琴}屯[2b]□{肿xɛ⁵⁵~：腮腺炎}[3]坦{晒谷~，~克}[5]担{扁~}淡炭叹断{绳~仂}[6]弹{子~}蛋段缎[6b]□{~褥儿：褥子}		
l	[2]南男蓝1篮难{形容词}兰拦栏然{自~}□{~近：附近}[3]□{畦}[5]缆懒暖卵冷[6]难{名词}烂乱		
ts	[1]寨钻{动词}□{鸡啄物}□{剁}[5]炸{爆~}宰灒{溅}钻{名词}[6]□{蹦}□{跺}[6b]斋{聊~}□{po⁵³~：螳螂，蝗虫}		
tsʰ	[1]餐1氽□{砸}□{~ʋɤn²⁴tʰaⁿ⁵⁵：潜水}[2]蚕存□{刺}[3]产2{流~}铲[5]站{车~}		
s	[1]三杉衫山酸闩[1b]□{~骨：肋骨}□{~花脸儿：小丑}[2]馋[3]散{鞋带~仂}伞产{小~}[5]散{分~}算蒜僧		
k	[1]甘{~棠：地名}泔尴今{~日，~年}干{豆腐~}肝干{~部}幹间{房~}奸1更{三~半夜}羹[3]假{放~}感㔶{罩}敢减碱赶简[5]哽		
kʰ	[1]铅坑[2]衔{含}[3]楷舰		
ŋ	[1]庵暗安鞍颜2恩[2]岩癌颜1[5]瓦晏{迟}[5b]挨{~夜儿边：黄昏}□{~tʰaⁿ³³：凳子}[6]艾眼砚硬		
x	[2]咸{~淡}鹹函衔{军~}寒闲行{~为}衡形型刑[2b]□{肿~tʰɛ⁵⁵：腮腺炎}□{打~ie³³：打呵欠}[5]馅汉旱焊1限苋恨[6]亥陷汗杏		

#iɛ			
p	[6]编		
pʰ	[5]篇偏[6]撇		
m	[2]棉[5]灭[6]免		
t	[1]颠癫[2]填[3]点典[5]店电□{滴}[6]跌		
tʰ	[1]添天[2]田甜[3]舔[6]殿垫帖贴铁		
l	[1]□{咬；嚼}[2]镰帘连联莲[5]猎列烈恋劣[6]脸裂练炼		
ts	[3]姐剪[5]借[6]节		
tsʰ	[1]千[2]钱3前全1[5]谢脆2签迁[6]切2□{舂（年糕、麻糍）}		
s	[1]先{~后}[3]写散{换~：换零钱}筅选1[5]卸细{小}仙2鲜2[6]屑楔		
tɕ	[1]建健坚正{~月}政1[3]展茧笕景政2[5]监兼艰侦争征□{这么}[0]正{反~}		
tɕʰ	[1]撑{~船}庆郑[2]乘程囗{踮}[5]赚1谦撑{~伞}		
ȵ	[2]黏{粘贴}炎严{~格}年言[6]染验念研碾捏□{孩子}		
ɕ	[1]献现辛2生牲声2[2]嫌[2b]甥{外~}[3]捨舍{动词}[5]宪胜{~利}[6]善		
Ø	[1]烟[2]阎檐延荣[3]也[5]惹英缨樱1[6]堰		

#uɛ			
k	[1]官棺冠{鸡~；~军}关光2[3]管馆[5]贯灌罐惯		
kʰ	[1]宽[3]款[5]坤[6]掼{提；挎}		

#e			
p	[5]鐾辈背{后背；背诵；~麻袋}碑卑		
pʰ	[1]胚坯佩[2]培陪赔[5]配[6]焙		
m	[2]梅枚媒煤霉[3]每2美[6]妹		
ʋ	[1]慰还{副词}[2]桅危为{行~}维1围2[5]卫威2违伟谓[6]会{~不~}委为{介词}维2位		
t	[1]堆[5]对队[5b]□{~事：故意}[6]得德		
tʰ	[1]胎推{推脱}[2]臺抬[3]腿[5]退褪碓敌[6]待贷代袋		
l	[2]来{~去}雷□{侄儿~：侄儿}[5]栗歷曆历[6]荔类𨀤{擀}[0]仂{大致相当于普通话的“了”}		
ts	[1]灾栽[6]姊{阿~}		
tsʰ	[1]催[2]猜才材{棺~}财裁[2b]荠{荸~}[3]采[5]在1菜罪集习[6]睬		
s	[1]腮鳃□{推}[2]材{寿~}[3]碎[5]赛税帅鏾席{主~}[6]□{货}		
k	[1]该概[3]改[5]盖		
kʰ	[1]开[2]渠{他}[5]徛{站立}		
ŋ	[2]呆{~大：笨蛋}□{~皮：顽皮}[6]碍岸		
x	[3]海[6]害		

#ie			
tɕʰ	[5]极[6]吃		
ɕ	[5]世势十		
Ø	[1]蔫[5]入1{~党}翼易{交~}□{~纤：背纤}[5b]□{打xɛ⁵⁵~：打呵欠}[6]益		

#ue			
k	[1]桂{~花}[3]轨[5]规归		
kʰ	[2]逵葵[5]块		
x	[1]恢灰徽[2]回茴[5]悔挥辉[6]贿会{开~}绘匯慧惠		

#ye			
tʃ	[1]桂{人名}砖		

#ɪ			
x	[2]船		

#iɪ			
tɕ	[1]耕[5]剑战见 		
tɕʰ	[1]牵[5]件1		
ɕ	[3]显[5]扇		
Ø	[2]盐{名词}[6]盐{动词，腌}		

#yɪ			
tʃ	[3]转{中~；~一圈}捲[5]鳜卷[6]绝决诀		
tʃʰ	[1]川穿圈[2]传{~达}权[5]劝[6]串缺恤		
ȵ	[2]元1原源1[5]软月[6]愿援		
ʃ	[1]靴1[6]血		
Ø	[1]冤[2]圆员缘元2源2袁园越1[2b]鸳{~鸯}[5]远怨[6]院县{~市}		

#ɯ̞			
pʰ	[6]覆{趴}		
t	[6]□{~梦：做梦}□{~头：点头}		
tʰ	[6]脱		
tsʰ	[6]造出		
k	[3b]□{癞pa⁵⁵~：癞蛤蟆}[5]锯[6]合{~算；~伙；连词，和}虼嗝□{打~lɤn²⁴：打嗝，指忍不住的那种}□{吊~lɤn²⁴：木偶戏}		
kʰ	[5]去[6]咳刻克□{捧}		
x	[6]喝黑		

#uɯ̞			
k	[6]骨国		
kʰ	[6]□{打~tɕy̜³³：打盹儿}		

#ɑu̜			
m	[2]盲		
f	[3]访[5]芳		
t	[1]都{首~；~是}兜□{绊}[2]图唐1堂{~前}棠1[2b]□{~底：下面}[3]赌斗{一~米}抖党[5]妒鬥昼但独毒[6]杜度督		
tʰ	[1]偷[2]朵{耳~}徒途头[3]土㪗{~气：喘气}[5]肚{鱼~；~皮}吐{呕吐}兔透特{~产}读□{吸~：拔火罐}[6]大{~家}渡镀豆荡{逛}盪□{褪（皮）}秃1[0]盗{强~}趟{一~}□{kʰua⁵⁵~：柴刀}		
l	[2]奴卢炉芦蓝2郎狼[5]鲁橹虏卤篓落{~苏：茄子}鹿陆绿录[6]努路露漏弄2		
ts	[1]脏2{心~}臟2{心~}藏{西~}壮2[3]租组祖阻走[6]状{~元}		
tsʰ	[1]粗初[3]楚础[5]醋助族		
s	[1]苏酥梳[3]蔬所{派出~}数{动词}磉[5]素塑数{名词}搜嗽桑1[6]缩		
k	[1]勾钩沟购构阉[3]狗苟[5]够光3		
kʰ	[1]抠{掐（脖子）}[3]口[5]扣厚1康		
x	[2]猴航项凰黄2[5]後厚2后巷[6]候		
Ø	[2]黄3[5]汪望2王往{来~}旺		

#iɑu̜			
p	[1]标[3]表錶[5]彪		
pʰ	[1]飘漂{~亮}[2]嫖瓢[3]漂{漂浮}[5]票		
m	[2]苗描[3]秒[6]庙		
t	[1]刁[2]调{~解}[2b]□{~lin⁰：松鼠}[3]鸟斗{lo⁵⁵lo³³~：公猪}[5]雕钓吊调{~动}[6]□{tʰaⁿ⁵³~：炒菜锅}		
tʰ	[1]挑{~水}[2]条[5]跳[6]调{腔~}调{调换}		
l	[2]疗辽捞2良凉量{动词}粮梁粱辆略[5]两{~个；二~酒}[6]了{~结；~解}料亮谅量{数~}[6b]聊{~斋}		
ts	[1]胶2焦蕉椒将{~来}浆[3]蒋奖桨□{老~：趼子}[5]酱将{大~}		
tsʰ	[1]枪[2]墙祥[3]抢[5]象[6]匠雀{孔~}鹊		
