#i		
h	[1]堪龕勘{勘誤，勘探}砍[2]含[3]坎{文}[6]撼憾[5]坎{白}	
∅	[1]庵[3]揞{手覆，按住}[5]暗	
#ʌm		
t	[5]浸	
tʰ	[1]侵[3]寢	
ɬ	[1]心[2]尋	
l	[2]林淋{淋漓，淋濕}臨[4]楝	
tʃ	[1]針斟金{白}[2]禽{白}沉琴{白}擒[3]枕錦[5]禁{禁止}[4]妗{舅母}	
tʃʰ	[1]參{參差}	
ʃ	[1]森參{人參}深[3]沈瀋審嬸[5]滲{水滲透}[6]甚	
k	[1]今金{文}[2]禽{文}琴{文}[6]撳{按}	
kʰ	[1]襟	
#iʌm		
ȵ	[2]壬吟[6]任{姓，責任}[3]飲{飲酒，米湯}	
∅	[1]欽音陰蔭{屋子很蔭}[2]淫	
#im		
t	[1]尖[2]甜[3]點舔{以舌取物}掭{掭筆}[5]店[6]掂{掂掇}墊{墊錢}	
tʰ	[1]殲{殲滅}簽籤添	
n	[1]黏{黏米，黏起來}粘{粘貼}拈{拈起來}[6]念鯰{鯰魚}	
ɬ	[2]潛[6]漸	
l	[2]廉鐮簾[3]楝{楝樹}[4]斂殮	
tʃ	[1]沾瞻占{占卜}[5]佔	
ȵ	[2]閻嚴嫌[4]染[6]驗	
ʃ	[3]陝{陝西}閃	
k	[1]兼搛{搛菜}[3]檢[4]儉[5]劍	
h	[1]謙[3]險[5]欠	
∅	[1]淹閹[2]鹽簷[3]掩魘[5]厭[6]炎豔焰	
#an		
p	[1]班斑頒[3]板版瓣[6]扮辦	
pʰ	[1]攀襻{紐襻}扳[5]盼	
m	[2]蠻[4]晚[6]慢漫幔萬饅{饅頭}[3]挽娩{白，分娩}	
f	[1]翻番{幾番}[2]凡帆煩礬繁[3]反[4]範犯[5]泛販[6]飯	
t	[1]丹單{單獨}[2]檀壇彈{彈琴}[3]撣{雞毛撣子}坦{地名}[5]旦誕贊[6]但彈{子彈}蛋	
tʰ	[1]灘攤餐[3]坦[5]炭歎燦	
n	[2]難{難易}[6]難{患難}	
ɬ	[2]殘[3]散{鞋帶散了}[5]散{分散}	
l	[2]蘭攔欄[4]懶[6]爛	
tʃ	[3]盞[6]賺棧	
tʃʰ	[3]鏟產	
ʃ	[1]山刪閂珊	
k	[1]艱間{空間，中間}奸[3]堿簡柬揀繭[5]間{間斷，間或}諫澗鐧{車間}	
ŋ	[2]顏研{研船}[4]眼[6]雁	
h	[2]閑[6]莧{莧菜}[4]限	
∅	[5]晏{晚也}	
#iɛn		
p	[1]辮[3]扁匾貶	
n	[3]撚{以指撚碎}攆	
#uan		
k	[1]鰥{鰥寡}關[5]慣	
∅	[1]彎灣[2]玩{古玩，遊玩}頑{頑皮，頑固}還{還原，還有}環[4]幻[6]患宦	
#ʌn		
t	[1]津墩{文}遵[5]進晉扽俊{新派}[3]墩{白}[6]遁	
tʰ	[1]吞親[5]褪{退後}	
ɬ	[1]辛新薪[2]秦純旬循巡[4]盡[5]信訊[3]筍榫	
l	[2]鄰鱗磷侖倫淪輪[6]論	
tʃ	[1]巾珍真斤筋肫[2]陳塵神辰晨臣勤芹唇醇[3]謹緊{白}僅{白}准[4]腎近[5]鎮振俊{老派}震[6]陣	
tʃʰ	[1]椿春[5]趁襯[3]蠢診疹	
ʃ	[1]身申伸[6]慎{文}順[5]舜	
k	[1]跟根[3]緊{文}僅{文}	
ŋ	[2]銀	
h	[2]痕[3]懇墾很[6]恨	
∅	[1]恩	
#uʌn		
p	[1]彬賓奔鑄[2]貧頻{頻繁}[5]殯鬢[6]笨	
pʰ	[1]噴{噴水}[3]品	
m	[1]蚊[2]民文紋聞[4]閩{閩越}憫敏抿吻刎[6]問	
f	[1]昏婚分{分開}芬紛熏勳薰葷[2]墳[3]粉[4]憤忿[5]糞訓[6]份{一份兩份}	
k	[1]均鈞君軍[2]群裙[3]滾[4]菌[5]棍[6]郡混{相混，混沌}	
kʰ	[1]昆坤[3]捆[5]困	
∅	[1]溫瘟[2]魂渾{渾濁}勻雲[3]穩[4]允尹[6]韻運	
#iʌn		
ȵ	[5]韌{白}[2]人仁[4]忍[6]刃潤閏韌{文}孕認{文}	
