	参考资料	《枞阳方言研究》，整理于东乡日常。									
	#调值	[1]³² [2]⁵⁵ [3]⁵² [5]³¹ [7]入声韵分aʔ ㄹ oʔ ㅂ ɪʔ ㄷ əʔ ㄱ ，根据韵不同调值不同，关于nl不分，整理得大部分n+细音，洪音+l.									
무	m 모우	[2]眸[3]冇{没有}									
뚜	t 또우	[1]都兜[3]斗{一~米}抖陡堵赌肚[5]度杜妒渡斗豆逗									
두	tʰ 도우	[1]偷[2]徒图途屠涂头投[3]土㪗盝[5]吐兔透									
쑤	tsʰ 쏘우	[3]楚丑[5]醋凑臭									
루	l 로우	[1]*{-眼，用手指挖洞}[2]卢炉奴[3]撸卤努[5]路怒									
수	s 소우	[1]苏酥梳疏蔬搜飕馊收[3]数{动词}叟手首守[5]塑朔素诉数{名词}漱嗽瘦受兽寿授售									
오우	Ø 오우	[2]柔揉[5]肉(文)									
꼬우	k 꼬우	[1]勾沟钩[3]苟狗[5]垢够构购									
고우	kʰ 고우	[1]抠[3]口[5]叩扣寇									
호우	x 호우	[2]侯喉猴[3]吼[5]后候厚									
	ŋ 오우	[1]欧讴区{姓氏}殴[3]藕偶呕[5]怄									
#iəu											
	Ø 요우	[1]忧优悠幽[2]尤邮由油犹游[3]有友酉莠[5]又右宥佑柚釉幼									
	t 뚀우	[1]丢[5]*{传递，遗留}									
	l 료우	[1]溜[2]流刘留榴硫牛[3]纽扭柳[5]馏									
	tɕ 죠우	[1]揪鸠阄纠[3]灸酒九久韭[5]就究舅臼咎旧舅									
	tɕʰ 쵸우	[1]秋丘[2]囚求球仇{姓氏}									
	ɕ 쇼우	[1]修羞休[5]秀绣锈袖嗅									
#ən 은											
	p 쁜	[1]奔崩畚[3]本[5]笨迸									
	pʰ 븐	[1]喷{~洒}烹[2]盆朋彭澎棚篷蓬[3]捧[5]喷{~香}碰									
	m 믄	[2]门萌盟明{~朝}蒙民（白，枞阳~歌）[3]猛懵[5]闷孟梦									
	f 픈	[1]分芬纷风疯封峰蜂锋[2]坟焚冯逢缝{动词}[3]粉讽[5]愤忿粪奋份凤奉俸缝									
	t 뜬	[1]敦墩登灯东冬*{冰-，冰块}[3]等董懂[5]盾顿邓凳（文）瞪钝遁饨动冻栋洞									
	tʰ 든	[1]吞通[2]屯豚臀囤腾藤誊同铜桐筒童瞳[3]桶捅统[5]疼痛									
	l 른	[2]论{~语}人(白2)仑伦轮沦能笼聋农脓浓隆龙[3]冷拢陇垄[5]楞论{议~}弄凳（白，板凳)嫩									
	n 는	[2]人（白1）[3]何{表示什么}									
