#备注：《如皋方言研究》 吴凤山			
#调值	[6]21 [2]35 [3]213 [5]44 [7]44 [8]35 [0]44/21		
#符号说明：-白=文			
#ɿ			
tsʰ	[6]叉扠杈钗衩{另读。~口袋}□{~持人短：他在说大话，挨我一~，他就说不下去呀}车{汽~}车{~螯：蛤}□{升：~旗子}□{蹬、蹋：~被单}差1{~别}茶2{~米、栟~(地名)、晚~(河口镇音)}叉{~喏：作揖}[2]茌查2{调查}茶1搽[3]扯采{~草}镲{~~儿：铙}[5]岔□{机会~掉啊}唱2{~喏：作揖，乡下读阴平叉}汊杈2衩{衣~}		
s	[6]生2{~活：苦头}沙纱㸺{~牛：母黄牛}射-□{信口说}□{~栏子：城门栅}□{掉落}[2]佘蛇[3]洒□{~亮}捨-撒=傻[5]社-{菩提~（庙名）}厦1嗄{~喉咙}□{叶被虫咬了}赦赊□{塞}		
ʐ	[2]□{示弱：~把他}[3]喏1{唱~}惹		
k	[6]加-痂-枷-{刑俱}袈-尬家-傢-稼-[2]嘎2{叹词：象声词}[3]玍1{~古}贾-{~家儿桥(地名)}[5]架-驾-嫁-价-{整天~}[0]嘎1{结构助词、语气助词，使用频率高}		
kʰ	[6]□{塞、插}[2]骑{处于两者之间或接续到下一阶段：~月阴；持强控制：~强。疑为骑、跨、卡}跨{处于两者之间或接续到下一阶段：~月阴；持强控制：~强。疑为骑、跨、卡}卡{处于两者之间或接续到下一阶段：~月阴；持强控制：~强。疑为骑、跨、卡}[3]卡咔[5]骑{控制、握，疑为骑、跨}跨{控制、握，疑为骑、跨}		
ŋ	[6]丫砑鸦-桠挜2[2]牙-伢{~儿：小孩}芽-□{门窗不脗合、~捂}蚜-[3]哑我{见于柴湾、南凌、雪岸等乡北部及海安县的西场、李堡一带}[5]挜1垩我{另读。见于营防乡}		
x	[6]上-1□{搔挠}蝦-1哈夏{~布。北乡音}[2]□{喘：~气}蝦-2{~蟆乌儿：蝌蚪}□{痴的~气的}霞-{烧~，何庄乡音}还[3]哈{另读。笨}[0]许{些~}		
Ø	[3]也-1		
#iɑ			
p	[3]□{不正}		
pʰ	[6]□{象声词}□{飘跌状：他挨一掌打啊~下去呀}[3]歪{不正，本字不明}撇{不正，本字不明}		
m	[6]□{~乎：瞌睡貌}[2]□{极兴奋而闭目}[3]乜1{姓}□{窥视}咩{羊叫声}		
t	[6]爹[3]嗲		
n	[6]□{~niɑr³⁵儿：小}[2]□{niɑ²¹~儿：小}[3]你{见于城东、丁堰、白蒲、薛窑等区大部及江边、江安乡、黄市乡、夏堡乡、城西乡、邓园乡}[5]你{见于石庄、江安、黄市、搬经、城西、磨头等区大部，丁堰镇、马塘(兼)、建设(兼)、勇敢、九华、营防等乡}		
tɕ	[6]加=痂=袈=枷=家=傢=稼=佳嘉[3]姐-贾={姓}假{真~}□{~蝼(另读)：蚱蟟}□{斜}讲=2{说~儿：说民间故事}[5]价=借-架=驾=嫁=藉{~故}		
