#符号说明：-白=文/书*俗?待考	
#调值	[1]³³⁴ [2]²¹ [3]⁵³ [5]³⁵
#ɿ	
f	[1]分昏婚芬纷浊[2]横[3]粉[5]愤忿份粪奋
v	[1]温瘟[2]文纹蚊闻吻刎[3]稳[5]问璺
t	[1]灯登瞪敦墩[2]等[5]凳镫邓屯盾顿钝遁
tʰ	[1]吞[2]腾藤誊疼豚饨臀囤坉
l	[2]能仑伦沦轮楞[3]冷[5]论嫩
ts	[1]曾增憎[5]赠
tsʰ	[1]村[2]澄曾层存[5]蹭趁衬忖寸
s	[1]森参生牲笙甥孙[3]省损笋榫[5]逊
tʃ	[1]贞侦征针斟蒸争筝睁[2]拯[3]整枕[5]郑掷正政证症靖振震镇阵
tʃʰ	[1]称撑[2]沉承丞岑呈程惩橙乘成城诚臣陈尘[3]秤
ʃ	[1]深升声身伸申[2]神娠辰晨唇什[3]沈审婶[5]甚胜剩盛圣肾慎
ʒ	[2]人仁壬[3]忍[5]任刃认
k	[1]羹庚耕跟根[3]哽耿[5]更梗埂
kʰ	[1]坑[3]肯恳垦
ŋ	[1]恩[3]摁[5]硬
h	[1]亨[2]恒衡痕[3]很[5]恨
	
#uən	
k	[3]滚[5]棍
kʰ	[1]昆坤崑[3]捆[5]困
	
#ɛn	
p	[1]鞭边[3]扁匾[5]便辨辩变汴辫
pʰ	[1]篇编蝙[3]偏[5]骗遍片
m	[2]绵棉眠[3]免勉娩缅渑[5]面
t	[1]颠[3]点[5]店掂典电腆殿奠佃垫
tʰ	[1]天添[2]甜田填[3]舔掭
l	[2]廉镰连联[3]敛殓脸[5]练链炼楝恋
ts	[1]楔[3]剪践[5]煎箭贱饯荐
tsʰ	[1]迁[2]钱前全泉[3]浅溅
s	[1]仙鲜先宣喧[2]涎旋[3]癣选[5]羡线
tʃ	[1]肩坚[2]拯[3]茧[5]见
tʃʰ	[1]牵
ʃ	[3]眩[5]县
	
#iɛn	
p	[3]贬
tʰ	[3]舐
ts	[1]尖歼[5]舰
tsʰ	[1]签笺
tʃ	[1]监兼艰间奸[2]潜[3]检俭简谏拣柬[5]渐剑件犍建键健腱
tʃʰ	[1]谦[2]钳乾虔掮[3]遣[5]欠歉
ʃ	[2]嫌闲苋弦贤[3]险显[5]宪献现
Ø	[1]腌阉焉烟噎蔫渊[2]炎盐檐颜延筵言[3]淹掩眼演[5]艳焰雁酽堰砚燕咽宴
	
#yɛn	
tʃ	[1]娟绢捐[3]卷眷捲[5]券
tʃʰ	[1]圈[2]拳权[3]犬[5]劝
ʃ	[2]轩玄悬
Ø	[1]阎冤[2]元园圆员袁沿铅原源援辕缘[3]远[5]厌院愿怨
	
#aŋ	
p	[1]帮邦浜[3]榜绑[5]谤棒蚌
pʰ	[2]滂旁螃傍庞彭膨[5]胖
m	[2]忙芒茫亡盲虻[3]莽蟒
f	[1]荒谎慌方芳[2]黄簧皇蟀妨房防[3]晃肪访仿纺彷[5]放
v	[1]汪[2]忘妄王[3]网枉往[5]望旺
t	[1]当[3]党挡[5]荡
tʰ	[1]汤[2]堂棠螳唐糖塘[3]躺趟[5]烫
l	[2]囊郎廊狼螂[3]朗[5]浪
ts	[1]赃[5]葬藏
tsʰ	[1]仓苍[2]藏
s	[1]桑[3]嗓[5]丧
tʃ	[1]张章樟[3]长涨掌[5]丈仗杖帐账障瘴
tʃʰ	[1]昌菖窗[2]长肠场[3]厂[5]畅倡唱
ʃ	[1]伤商[2]常尝裳偿[3]赏[5]上尚
ʒ	[2]瓤穰[5]壤攘嚷让酿
k	[1]刚冈岗纲缸[5]杠虹
kʰ	[1]康糠[2]扛[3]慷港[5]抗
ŋ	[2]昂
h	[2]行航杭夯[5]项巷
Ø	[1]肮
	
#iaŋ	
l	[2]梁良凉粮粱[3]辆两[5]量亮谅
ts	[1]将{~来}浆桨[3]蒋奖[5]酱将{大~}匠
tsʰ	[1]枪[2]墙详祥[3]抢
s	[1]相{互~}箱厢湘镶襄[3]想鲞[5]像象橡相{~貌}
tʃ	[1]姜江[3]讲[5]降
tʃʰ	[1]疆僵缰礓薑腔[2]强
ȵ	[2]娘
ʃ	[1]香乡[2]降{投~}[3]饷享响[5]向
Ø	[1]央秧殃[2]杨羊洋烊阳扬疡[3]仰养痒[5]恙样
	
#uaŋ	
tʃ	[1]庄装[5]状壮撞
tʃʰ	[1]疮[2]床[3]闯[5]创
ʃ	[1]霜孀双[3]爽
k	[1]光[3]广桄[5]矿
kʰ	[1]框眶匡[2]狂逛[5]旷况
	
#uŋ	
pʰ	[2]朋棚彭[3]捧
m	[2]蒙蠓[3]猛懵[5]孟梦
f	[1]风枫疯丰封峰蜂锋[2]蓬篷冯逢缝俸[3]讽[5]凤奉
t	[1]东冬[3]懂董[5]动冻栋洞
tʰ	[1]通[2]同铜桐筒童瞳[3]桶捅统[5]痛
l	[1]聋[2]笼龙农脓隆浓侬[3]拢垅陇[5]弄
ts	[1]宗综棕踪鬃中忠终钟盅[3]总冢种{~类}肿[5]粽中仲众怂纵诵重种{~树}
tsʰ	[1]聪匆葱囱充冲舂[2]从虫丛崇重{~复}[3]铳宠
s	[1]松嵩鬆[5]送宋颂讼
tʃ	[5]窘
tʃʰ	[2]琼穷
ʃ	[2]熊雄
k	[1]公蚣工功攻弓躬宫恭[3]巩[5]贡汞供拱共
kʰ	[1]空[3]孔恐[5]控
h	[1]轰烘鬨[2]弘宏红洪鸿[3]哄
Ø	[1]翁嗡
	
#iuŋ	
ʃ	[1]兄胸凶
Ø	[1]雍[2]荣戎绒融茸容蓉熔庸[3]拥甬勇涌[5]冗用
