繁體	简体	聲韻	聲調		1ː51	2ː31
針	针	tɕiŋ	51			
鈞	钧	tɕyeŋ	51			
錦	锦	tɕiŋ	51			
鍾	锺	tɕioŋ	51			
鐘	钟	tɕioŋ	51			
閨	闺	tɕyɛ	51			
障	障	tɕiaŋ	51			
韁	缰	tɕiaŋ	51			
駒	驹	tɕyɛ	51			
驕	骄	tɕiɜ	51			
驚	惊	tɕiŋ	51			
鯨	鲸	tɕiŋ	51			
龜	龟	tɕy	51			
僉	佥	tɕʰiɛ̃	51			
充	充	tɕʰiəŋ	51			
匆	匆	tɕʰiəŋ	51			
區	区	tɕʰyɛ	51			
千	千	tɕʰiɛ̃	51			
卿	卿	tɕʰiŋ	51			
吹	吹	tɕʰy	51			
圈	圈	tɕʰyɛ̃	51			
娼	娼	tɕʰiaŋ	51			
川	川	tɕʰyɛ̃	51			
抽	抽	tɕʰiəɯ	51			
揪	揪	tɕʰiəɯ	51			
昌	昌	tɕʰiaŋ	51			
春	春	tɕʰyeŋ	51			
槍	枪	tɕʰiaŋ	51			
欺	欺	tɕʰy	51			
欽	钦	tɕʰiŋ	51			
殲	歼	tɕʰiɛ̃	51			
沖	冲	tɕʰiəŋ	51			
清	清	tɕʰiŋ	51			
炊	炊	tɕʰy	51			
牽	牵	tɕʰiɛ̃	51			
瘡	疮	tɕʰioŋ	51			
秋	秋	tɕʰiəɯ	51			
稱	称	tɕʰiŋ	51			
穿	穿	tɕʰyeŋ	51			
穿	穿	tɕʰyɛ̃	51			
窗	窗	tɕʰioŋ	51			
箋	笺	tɕʰiɛ̃	51			
簽	签	tɕʰiɛ̃	51			
繰	缲	tɕʰiɜ	51			
羌	羌	tɕʰiaŋ	51			
腔	腔	tɕʰiaŋ	51			
艙	舱	tɕʰoŋ	51			
菖	菖	tɕʰiaŋ	51			
蜻	蜻	tɕʰiŋ	51			
親	亲	tɕʰiŋ	51			
超	超	tɕʰiɜ	51			
趣	趣	tɕʰyɛ	51			
趨	趋	tɕʰyɛ	51			
車	车	tɕʰyə	51			
輕	轻	tɕʰiŋ	51			
遷	迁	tɕʰiɛ̃	51			
鍬	锹	tɕʰiɜ	51			
青	青	tɕʰiŋ	51			
鞦	鞦	tɕʰiəɯ	51			
驅	驱	tɕʰyɛ	51			
鰍	鳅	tɕʰiəɯ	51			
仙	仙	ɕiɛ̃	51			
休	休	ɕiəɯ	51			
伸	伸	ɕiŋ	51			
修	修	ɕiəɯ	51			
傷	伤	ɕiaŋ	51			
兄	兄	ɕyeŋ	51			
先	先	ɕiɛ̃	51			
凶	凶	ɕioŋ	51			
勛	勛	ɕyeŋ	51			
升	升	ɕiŋ	51			
商	商	ɕiaŋ	51			
喧	喧	ɕyɛ̃	51			
嘯	啸	ɕiɔ	51			
噓	嘘	ɕyɛ	51			
囂	嚣	ɕiɜ	51			
墟	墟	ɕyɛ	51			
奢	奢	ɕyə	51			
孀	孀	ɕioŋ	51			
宣	宣	ɕyɛ̃	51			
宵	宵	ɕiɜ	51			
廂	厢	ɕiaŋ	51			
心	心	ɕiŋ	51			
悄	悄	ɕiɜ	51			
拴	拴	ɕyɛ̃	51			
掀	掀	ɕiɛ̃	51			
收	收	ɕiəɯ	51			
新	新	ɕiŋ	51			
星	星	ɕiŋ	51			
暹	暹	ɕiɛ̃	51			
書	书	ɕyɛ	51			
枵	枵	ɕiɜ	51			
樞	枢	ɕyɛ	51			
欣	欣	ɕiŋ	51			
消	消	ɕiɜ	51			
深	深	ɕiŋ	51			
燒	烧	ɕiɜ	51			
燻	燻	ɕiəŋ	51			
燻	燻	ɕyeŋ	51			
琛	琛	ɕiŋ	51			
生	生	ɕiŋ	51			
申	申	ɕiŋ	51			
相	相	ɕiaŋ	51			
硝	硝	ɕiɜ	51			
箱	箱	ɕiaŋ	51			
簫	箫	ɕiɔ	51			
籲	吁	ɕyɛ	51			
綏	绥	ɕy	51			
纖	纤	ɕiɛ̃	51			
羞	羞	ɕiəɯ	51			
羶	羶	ɕiɛ̃	51			
聲	声	ɕiŋ	51			
胥	胥	ɕyɛ	51			
胸	胸	ɕioŋ	51			
腥	腥	ɕiŋ	51			
興	兴	ɕiŋ	51			
舒	舒	ɕyɛ	51			
蕭	萧	ɕiɔ	51			
薪	薪	ɕiŋ	51			
薰	薰	ɕiəŋ	51			
薰	薰	ɕyeŋ	51			
虛	虚	ɕyɛ	51			
襄	襄	ɕiaŋ	51			
賒	赊	ɕyə	51			
身	身	ɕiŋ	51			
軒	轩	ɕiɛ̃	51			
輸	输	ɕyɛ	51			
辛	辛	ɕiŋ	51			
鄉	乡	ɕiaŋ	51			
銷	销	ɕiɜ	51			
鍁	锨	ɕiɛ̃	51			
鑲	镶	ɕiaŋ	51			
閂	闩	ɕyɛ̃	51			
雖	虽	ɕyɛ	51			
雙	双	ɕioŋ	51			
需	需	ɕyɛ	51			
霄	霄	ɕiɜ	51			
霜	霜	ɕioŋ	51			
靴	靴	ɕiu	51			
須	须	ɕyɛ	51			
香	香	ɕiaŋ	51			
馨	馨	ɕiŋ	51			
鮮	鲜	ɕiɛ̃	51			
亨	亨	haŋ	51			
呵	呵	hɔ	51			
夯	夯	haŋ	51			
慌	慌	hoŋ	51			
憨	憨	hɛ̃	51			
烘	烘	həŋ	51			
荒	荒	hoŋ	51			
薅	薅	hɜ	51			
蚶	蚶	hɛ̃	51			
轟	轰	həŋ	51			
酵	酵	hɔ	51			
埋	埋	maŋ	51			
懵	懵	məŋ	51			
拿	拿	nɔ	51			
拈	拈	ȵiɛ̃	51			
沾	沾	ȵiɛ̃	51			
粘	粘	ȵiɛ̃	51			
繞	绕	ȵiɔ	51			
鮎	鮎	ȵiɛ̃	51			
黏	黏	ȵiɛ̃	51			
翁	翁	ŋ	51			
囉	囉	lu	51			
拉	拉	la	51			
溜	溜	lei	51			
牢	牢	lɔ	51			
鏤	镂	lei	51			
丫	丫	uə	51			
麼	幺	iɜ	51			
亞	亚	uə	51			
伊	伊	i	51			
依	依	i	51			
倭	倭	u	51			
優	优	iəɯ	51			
凹	凹	ɔ	51			
區	区	ei	51			
哀	哀	ɛ	51			
唉	唉	ɛ	51			
喂	喂	uei	51			
因	因	iŋ	51			
坳	坳	ɔ	51			
埃	埃	ɛ	51			
央	央	iaŋ	51			
妖	妖	iɜ	51			
姻	姻	iŋ	51			
威	威	uei	51			
娃	娃	ua	51			
嬰	婴	iŋ	51			
安	安	uɛ̃	51			
嶼	屿	yɛ	51			
幼	幼	iəɯ	51			
幽	幽	iəɯ	51			
庵	庵	ɛ̃	51			
庸	庸	ioŋ	51			
彎	弯	uɔ̃	51			
怨	怨	yɛ̃	51			
恩	恩	ɛ̃	51			
悠	悠	iəɯ	51			
憂	忧	iəɯ	51			
應	应	iŋ	51			
挨	挨	a	51			
掩	掩	iɛ̃	51			
於	于	yɛ	51			
椏	桠	uə	51			
櫻	樱	iŋ	51			
歐	欧	ei	51			
歪	歪	ua	51			
殃	殃	iaŋ	51			
殷	殷	iŋ	51			
毆	殴	ei	51			
汙	污	uə	51			
汪	汪	oŋ	51			
淤	淤	yɛ	51			
淵	渊	yɛ̃	51			
淹	淹	iɛ̃	51			
溫	温	uɛ̃	51			
灣	湾	uɔ̃	51			
烏	乌	uə	51			
煙	烟	iɛ̃	51			
煨	煨	uei	51			
燕	燕	iɛ̃	51			
爊	爊	ɜ	51			
甌	瓯	ei	51			
瘟	瘟	uɛ̃	51			
瞖	瞖	i	51			
秧	秧	iaŋ	51			
秧	秧	ɛ̃	51			
窨	窨	iŋ	51			
窩	窝	u	51			
窪	洼	uə	51			
箕	箕	i	51			
纓	缨	iŋ	51			
肩	肩	iɛ̃	51			
肫	肫	iŋ	51			
肮	肮	oŋ	51			
胭	胭	iɛ̃	51			
腰	腰	iɜ	51			
舂	舂	iəŋ	51			
英	英	iŋ	51			
萵	莴	uə	51			
蔫	蔫	iɛ̃	51			
蛙	蛙	uə	51			
蝸	蜗	uə	51			
衣	衣	i	51			
謳	讴	ei	51			
迂	迂	yɛ	51			
邀	邀	iɜ	51			
醫	医	i	51			
閹	阉	iɛ̃	51			
陰	阴	iŋ	51			
雍	雍	ioŋ	51			
鞍	鞍	uɛ̃	51			
音	音	iŋ	51			
鴉	鸦	uə	51			
鶯	莺	iŋ	51			
鷹	鹰	iŋ	51			
鸚	鹦	iŋ	51			
伴	伴	bɛ̃	22			
叛	叛	bɔ̃	22			
婢	婢	bi	22			
抱	抱	buə	22			
拌	拌	bɛ̃	22			
暴	暴	bɜ	22			
曝	曝	bɜ	22			
棒	棒	boŋ	22			
畔	畔	bɛ̃	22			
簿	簿	buə	22			
絆	绊	bɛ̃	22			
蚌	蚌	boŋ	22			
被	被	bi	22			
辨	辨	biɛ̃	22			
辮	辫	biɛ̃	22			
辯	辩	biɛ̃	22			
駢	骈	biɛ̃	22			
鮑	鲍	bɔ	22			
動	动	dəŋ	22			
墮	堕	du	22			
弟	弟	diɛ	22			
惰	惰	du	22			
斷	断	dɛ̃i	22			
杜	杜	duə	22			
桶	桶	dəŋ	22			
殆	殆	dɛ	22			
淡	淡	dɔ̃	22			
稻	稻	dɜ	22			
簟	簟	diɛ̃	22			
肚	肚	duə	22			
舵	舵	du	22			
蕩	荡	doŋ	22			
道	道	dɜ	22			
厚	厚	gu	22			
咎	咎	gei	22			
懈	懈	ga	22			
摜	掼	guɔ̃	22			
柩	柩	gei	22			
臼	臼	gei	22			
舅	舅	gei	22			
解	解	ga	22			
近	近	gɛ̃	22			
隑	隑	gɛ	22			
婦	妇	fuə	22			
忿	忿	fɛ̃i	22			
憤	愤	fɛ̃i	22			
泛	泛	fɔ̃	22			
父	父	fuə	22			
犯	犯	fɔ̃	22			
範	范	fɔ̃	22			
腐	腐	fuə	22			
負	负	fuə	22			
輔	辅	fuə	22			
釜	釜	fuə	22			
阜	阜	fuə	22			
似	似	sɯə	22			
侍	侍	sɯə	22			
俟	俟	sɯə	22			
在	在	sɛ	22			
坐	坐	su	22			
士	士	sɯə	22			
巳	巳	sɯə	22			
市	市	sɯə	22			
座	座	su	22			
恃	恃	sɯə	22			
慚	惭	sɔ̃	22			
是	是	sɿɛ	22			
曹	曹	sɜ	22			
柿	柿	sɯə	22			
氏	氏	sɿɛ	22			
皂	皂	sɜ	22			
祀	祀	sɯə	22			
罪	罪	sɛ	22			
造	造	sɜ	22			
峙	峙	dzɿ	22			
撰	撰	dzɔ̃	22			
暫	暂	dzɔ̃	22			
痔	痔	dzɿ	22			
苧	苎	dzɿɛ	22			
賺	赚	dzɔ̃	22			
雉	雉	dzɿɛ	22			
上	上	ɕiaŋ	22			
乳	乳	ɕy	22			
匠	匠	ɕiaŋ	22			
受	受	ɕiəɯ	22			
善	善	ɕiɛ̃	22			
墅	墅	ɕyɛ	22			
序	序	ɕyɛ	22			
授	授	ɕiəɯ	22			
敘	叙	ɕyɛ	22			
橡	橡	ɕiaŋ	22			
漸	渐	ɕiɛ̃	22			
甚	甚	ɕiŋ	22			
癢	痒	ɕioŋ	22			
盡	尽	ɕiŋ	22			
社	社	ɕyə	22			
紹	绍	ɕiɜ	22			
緒	绪	ɕyɛ	22			
聚	聚	ɕyɛ	22			
肇	肇	ɕiɜ	22			
腎	肾	ɕiŋ	22			
葚	葚	ɕiŋ	22			
蕈	蕈	ɕiŋ	22			
蕊	蕊	ɕy	22			
豎	竖	ɕyɛ	22			
象	象	ɕiaŋ	22			
贍	赡	ɕiɛ̃	22			
邵	邵	ɕiɜ	22			
靜	静	ɕiŋ	22			
鱔	鳝	ɕiɛ̃	22			
丈	丈	dʑiaŋ	22			
件	件	dʑiɛ̃	22			
僅	仅	dʑiŋ	22			
像	像	dʑiaŋ	22			
儉	俭	dʑiɛ̃	22			
兆	兆	dʑiɜ	22			
召	召	dʑiɜ	22			
妗	妗	dʑiɛ̃	22			
宙	宙	dʑiəɯ	22			
巨	巨	dʑyɛ	22			
拒	拒	dʑyɛ	22			
杖	杖	dʑiaŋ	22			
柱	柱	dʑyɛ	22			
紂	纣	dʑiəɯ	22			
肘	肘	dʑiəɯ	22			
蕎	荞	dʑiɜ	22			
趙	赵	dʑiɜ	22			
距	距	dʑyɛ	22			
跪	跪	dʑy	22			
近	近	dʑiŋ	22			
重	重	dʑiəŋ	22			
很	很	hɛ̃i	22			
免	免	miɛ̃	22			
冥	冥	miŋ	22			
勉	勉	miɛ̃	22			
卯	卯	mɔ	22			
妄	妄	moŋ	22			
娩	娩	miɛ̃	22			
寐	寐	mi	22			
尾	尾	mi	22			
幔	幔	mɛ̃	22			
憫	悯	miŋ	22			
拇	拇	m	22			
敏	敏	miŋ	22			
晚	晚	mɔ̃	22			
某	某	mei	22			
武	武	muə	22			
母	母	m	22			
每	每	mei	22			
渺	渺	miɜ	22			
滿	满	mɛ̃	22			
漫	漫	mɛ̃	22			
牡	牡	m	22			
猛	猛	maŋ	22			
皿	皿	miŋ	22			
碼	码	muə	22			
米	米	miɛ	22			
網	网	moŋ	22			
緬	缅	miɛ̃	22			
美	美	mei	22			
舞	舞	muə	22			
莽	莽	moŋ	22			
藐	藐	miɜ	22			
蜢	蜢	maŋ	22			
蟒	蟒	moŋ	22			
買	买	ma	22			
閩	闽	miŋ	22			
靡	靡	mi	22			
馬	马	muə	22			
鵡	鹉	muə	22			
乃	乃	nɛ	22			
兩	两	nɛ̃	22			
努	努	nu	22			
女	女	na	22			
奶	奶	na	22			
惱	恼	nɜ	22			
暖	暖	nɛ̃i	22			
曩	曩	noŋ	22			
腦	脑	nɜ	22			
餒	馁	nei	22			
仰	仰	ȵiaŋ	22			
你	你	ȵi	22			
儀	仪	ȵi	22			
儼	俨	ȵiɛ̃	22			
冉	冉	ȵiɛ̃	22			
嚷	嚷	ȵiaŋ	22			
壤	壤	ȵiaŋ	22			
女	女	ȵyɛ	22			
尿	尿	ȵiɔ	22			
忍	忍	ȵi	22			
扭	扭	ȵiəɯ	22			
擬	拟	ȵi	22			
攆	撵	ȵiɛ̃	22			
攘	攘	ȵiaŋ	22			
染	染	ȵiɛ̃	22			
汝	汝	ȵyɛ	22			
爾	尔	ȵi	22			
硯	砚	ȵiɛ̃	22			
紐	纽	ȵiəɯ	22			
耳	耳	ȵi	22			
蟻	蚁	ȵi	22			
語	语	ȵyɛ	22			
議	议	ȵi	22			
軟	软	ȵyɛ̃	22			
輦	辇	ȵiɛ̃	22			
阮	阮	ȵyɛ̃	22			
餌	饵	ȵi	22			
鳥	鸟	ȵiɔ	22			
五	五	ŋuə	22			
伍	伍	ŋuə	22			
偶	偶	ŋei	22			
午	午	ŋuə	22			
我	我	ŋ	22			
瓦	瓦	ŋuə	22			
眼	眼	ŋɔ̃	22			
臥	卧	ŋ	22			
藕	藕	ŋei	22			
蟻	蚁	ŋa	22			
雅	雅	ŋuə	22			
了	了	liɔ	22			
儡	儡	lɛ	22			
冷	冷	laŋ	22			
凜	凛	lɛ̃i	22			
卵	卵	lɛ̃i	22			
呂	吕	lyɛ	22			
壘	垒	lei	22			
壟	垄	ləŋ	22			
屢	屡	lyɛ	22			
履	履	lyɛ	22			
嶺	岭	lɛ̃i	22			
廩	廪	lɛ̃i	22			
懶	懒	lɔ̃	22			
摞	摞	lu	22			
攏	拢	ləŋ	22			
攬	揽	lɔ̃	22			
斂	敛	liɛ̃	22			
旅	旅	lyɛ	22			
李	李	li	22			
柳	柳	liəɯ	22			
櫓	橹	luə	22			
欖	榄	lɔ̃	22			
灠	灠	lɔ̃	22			
燎	燎	liɔ	22			
理	理	li	22			
禮	礼	liɛ	22			
簍	篓	lei	22			
縷	缕	lei	22			
纜	缆	lɔ̃	22			
老	老	lɜ	22			
臉	脸	liɛ̃	22			
舐	舐	liɛ	22			
虜	虏	luə	22			
裏	里	li	22			
裸	裸	luə	22			
覽	览	lɔ̃	22			
隴	陇	ləŋ	22			
領	领	lɛ̃i	22			
魯	鲁	luə	22			
鯉	鲤	lɛ̃i	22			
鹵	卤	luə	22			
也	也	ia	22			
亥	亥	ɛ	22			
以	以	i	22			
侮	侮	uə	22			
偉	伟	uei	22			
偶	偶	ei	22			
偽	伪	uei	22			
允	允	yeŋ	22			
兗	兖	iɛ̃	22			
刎	刎	uɛ̃	22			
勇	勇	ioŋ	22			
厚	厚	ei	22			
友	友	iəɯ	22			
吻	吻	uɛ̃	22			
孩	孩	ɛ	22			
宇	宇	yɛ	22			
宦	宦	uɔ̃	22			
已	已	i	22			
幸	幸	aŋ	22			
幻	幻	uɔ̃	22			
引	引	iŋ	22			
往	往	ioŋ	22			
後	后	ei	22			
後	后	u	22			
患	患	uɔ̃	22			
戶	户	uə	22			
挽	挽	uɔ̃	22			
撼	撼	uɛ̃	22			
旱	旱	uɛ̃	22			
有	有	iəɯ	22			
有	有	uə	22			
杏	杏	aŋ	22			
永	永	yeŋ	22			
泳	泳	yeŋ	22			
浩	浩	ɜ	22			
混	混	uɛ̃	22			
湧	涌	ioŋ	22			
滬	沪	uə	22			
演	演	iɛ̃	22			
焊	焊	uɛ̃	22			
熨	熨	yeŋ	22			
甬	甬	ioŋ	22			
皖	皖	uɔ̃	22			
矣	矣	i	22			
禍	祸	u	22			
禹	禹	yɛ	22			
緩	缓	uɔ̃	22			
緯	纬	uei	22			
羽	羽	yɛ	22			
肄	肄	i	22			
舀	舀	iɜ	22			
與	与	yɛ	22			
葦	苇	uei	22			
藹	蔼	a	22			
詠	咏	yeŋ	22			
遠	远	yɛ̃	22			
野	野	yə	22			
限	限	ɔ̃	22			
隕	陨	yeŋ	22			
雨	雨	yɛ	22			
靄	霭	a	22			
項	项	oŋ	22			
養	养	iaŋ	22			
駭	骇	a	22			
並	并	biŋ	13			
佩	佩	bei	13			
便	便	biɛ̃	13			
倍	倍	bei	13			
備	备	bi	13			
刨	刨	bɔ	13			
吠	吠	bi	13			
埠	埠	buə	13			
孵	孵	buə	13			
幣	币	biɛ	13			
弊	弊	biɛ	13			
捕	捕	buə	13			
敗	败	ba	13			
敝	敝	biɛ	13			
步	步	buə	13			
汴	汴	biɛ̃	13			
焙	焙	bɛ	13			
瓣	瓣	bɔ̃	13			
病	病	biŋ	13			
痹	痹	bi	13			
稗	稗	buə	13			
笨	笨	bɛ̃i	13			
篦	篦	bi	13			
罷	罢	ba	13			
耙	耙	bu	13			
背	背	bei	13			
菢	菢	buə	13			
辦	办	bɔ̃	13			
避	避	bi	13			
部	部	bu	13			
鐾	鐾	bi	13			
陛	陛	biɛ	13			
代	代	dɛ	13			
佃	佃	diɛ̃	13			
但	但	dɔ̃	13			
兌	兑	dei	13			
地	地	di	13			
填	填	diɛ̃	13			
墊	垫	diɛ̃	13			
大	大	da	13			
大	大	du	13			
奠	奠	diɛ̃	13			
宕	宕	doŋ	13			
定	定	diŋ	13			
導	导	dɜ	13			
度	度	duə	13			
彈	弹	dɔ̃	13			
待	待	dɛ	13			
怠	怠	dɛ	13			
憚	惮	dɔ̃	13			
戥	戥	dɛ̃	13			
掉	掉	diɔ	13			
段	段	dɛ̃i	13			
殿	殿	diɛ̃	13			
汏	汏	da	13			
沉	沉	diŋ	13			
洞	洞	dəŋ	13			
渡	渡	duə	13			
澄	澄	diŋ	13			
澱	淀	diŋ	13			
痘	痘	dei	13			
盜	盗	dɜ	13			
盾	盾	dɛ̃	13			
第	第	diɛ	13			
緞	缎	dɛ̃	13			
荳	荳	dei	13			
蕩	荡	doŋ	13			
蛋	蛋	dɔ̃	13			
袋	袋	dɛ	13			
誕	诞	dɔ̃	13			
調	调	diɔ	13			
豆	豆	dei	13			
貸	贷	dɛ	13			
踱	踱	duə	13			
逗	逗	dei	13			
逮	逮	dɛ	13			
遁	遁	dɛ̃	13			
遞	递	diɛ	13			
鄧	邓	dɛ̃	13			
鈍	钝	dɛ̃	13			
錠	锭	diŋ	13			
鍍	镀	duə	13			
隊	队	dei	13			
隸	隶	diɛ	13			
電	电	diɛ̃	13			
馱	驮	du	13			
共	共	gəŋ	13			
懈	懈	ga	13			
舊	旧	gei	13			
份	份	fɛ̃i	13			
扶	扶	fuə	13			
縫	缝	fəŋ	13			
附	附	fuə	13			
飯	饭	fɔ̃	13			
鳳	凤	fəŋ	13			
技	技	tsɿ	13			
事	事	sɯə	13			
伺	伺	sɯə	13			
助	助	suə	13			
嗜	嗜	sɿ	13			
嗣	嗣	sɿ	13			
字	字	sɯə	13			
寨	寨	sa	13			
寺	寺	sɯə	13			
睡	睡	sei	13			
臓	臓	soŋ	13			
自	自	sɯə	13			
藏	藏	soŋ	13			
視	视	sɿɛ	13			
誓	誓	sɿɛ	13			
誦	诵	soŋ	13			
豉	豉	sɿɛ	13			
贈	赠	sɛ̃	13			
逝	逝	sɿɛ	13			
頌	颂	səŋ	13			
飼	饲	sɿ	13			
髒	脏	soŋ	13			
墜	坠	dzuei	13			
妓	妓	dzɿ	13			
忌	忌	dzɿ	13			
棧	栈	dzɔ̃	13			
治	治	dzɿ	13			
滯	滞	dzɿɛ	13			
稚	稚	dzɿ	13			
站	站	dzɔ̃	13			
箸	箸	dzɿɛ	13			
驟	骤	dzei	13			
凈	凈	ɕiŋ	13			
剩	剩	ɕiŋ	13			
售	售	ɕiəɯ	13			
單	单	ɕiɛ̃	13			
壽	寿	ɕiəɯ	13			
射	射	ɕyə	13			
尚	尚	ɕiaŋ	13			
就	就	ɕiəɯ	13			
慎	慎	ɕiŋ	13			
擅	擅	ɕiɛ̃	13			
旋	旋	ɕyɛ̃	13			
樹	树	ɕyɛ	13			
狀	状	ɕioŋ	13			
瑞	瑞	ɕyɛ	13			
盛	盛	ɕiŋ	13			
眩	眩	ɕyɛ̃	13			
禪	禅	ɕiɛ̃	13			
穗	穗	ɕy	13			
羨	羡	ɕiɛ̃	13			
膳	膳	ɕiɛ̃	13			
蠅	蝇	ɕiŋ	13			
袖	袖	ɕiəɯ	13			
訟	讼	ɕioŋ	13			
謝	谢	ɕyə	13			
賤	贱	ɕiɛ̃	13			
遂	遂	ɕy	13			
銳	锐	ɕyɛ	13			
隧	隧	ɕy	13			
順	顺	ɕyeŋ	13			
麝	麝	ɕyə	13			
上	上	dʑiaŋ	13			
仲	仲	dʑiəŋ	13			
住	住	dʑyɛ	13			
俱	俱	dʑyɛ	13			
倦	倦	dʑyɛ̃	13			
健	健	dʑiɛ̃	13			
傳	传	dʑyɛ̃	13			
共	共	dʑioŋ	13			
具	具	dʑyɛ	13			
岑	岑	dʑiŋ	13			
懼	惧	dʑyɛ	13			
撞	撞	dʑioŋ	13			
樹	树	dʑiəɯ	13			
櫃	柜	dʑy	13			
競	竞	dʑiŋ	13			
腱	腱	dʑiɛ̃	13			
蟄	蛰	dʑiʔ	13			
踐	践	dʑiɛ̃	13			
轎	轿	dʑiɜ	13			
郡	郡	dʑyeŋ	13			
鄭	郑	dʑiŋ	13			
鍵	键	dʑiɛ̃	13			
陣	阵	dʑyeŋ	13			
閧	閧	həŋ	13			
冒	冒	mɜ	13			
務	务	muə	13			
募	募	muə	13			
味	味	mi	13			
命	命	miŋ	13			
問	问	mɛ̃i	13			
墓	墓	muə	13			
夢	梦	məŋ	13			
妙	妙	miɜ	13			
妹	妹	mɛ	13			
孟	孟	maŋ	13			
帽	帽	mɜ	13			
幕	幕	muə	13			
廟	庙	miɜ	13			
忘	忘	moŋ	13			
忘	忘	mɛ̃i	13			
悶	闷	mɛ̃i	13			
慕	慕	muə	13			
慢	慢	mɔ̃	13			
戊	戊	m	13			
摹	摹	muə	13			
暝	暝	maŋ	13			
暮	暮	muə	13			
望	望	moŋ	13			
未	未	mi	13			
畝	亩	m	13			
磨	磨	m	13			
秒	秒	miɜ	13			
罵	骂	muə	13			
茂	茂	m	13			
萬	万	mɔ̃	13			
謎	谜	m	13			
謬	谬	miɜ	13			
貌	貌	mɔ	13			
貿	贸	mɜ	13			
賣	卖	ma	13			
邁	迈	mɔ̃	13			
霧	雾	muə	13			
面	面	miɛ̃	13			
內	内	nɛ	13			
哪	哪	na	13			
奈	奈	na	13			
嫩	嫩	nɛ̃	13			
怒	怒	nuə	13			
糯	糯	nəŋ	13			
耐	耐	na	13			
鬧	闹	nɔ	13			
二	二	ȵi	13			
任	任	ȵi	13			
佞	佞	ȵi	13			
刃	刃	ȵi	13			
刈	刈	ȵi	13			
喻	喻	ȵyɛ	13			
囈	呓	ȵiɛ	13			
壬	壬	ȵi	13			
妊	妊	ȵi	13			
念	念	ȵiɛ̃	13			
擾	扰	ȵiɔ	13			
毅	毅	ȵi	13			
繞	绕	ȵiɔ	13			
義	义	ȵi	13			
膩	腻	ȵi	13			
藝	艺	ȵiɛ	13			
詣	诣	ȵi	13			
認	认	ȵi	13			
誼	谊	ȵi	13			
讓	让	ȵiaŋ	13			
貳	贰	ȵi	13			
賃	赁	ȵi	13			
遇	遇	ȵyɛ	13			
釀	酿	ȵiaŋ	13			
韌	韧	ȵi	13			
願	愿	ȵyɛ̃	13			
驗	验	ȵiɛ̃	13			
互	互	ŋuə	13			
傲	傲	ŋɜ	13			
外	外	ŋa	13			
悟	悟	ŋuə	13			
樂	乐	ŋɔ	13			
硬	硬	ŋaŋ	13			
礙	碍	ŋɛ	13			
艾	艾	ŋa	13			
誤	误	ŋuə	13			
餓	饿	ŋa	13			
亂	乱	lɛ̃i	13			
亮	亮	liaŋ	13			
令	令	lɛ̃i	13			
例	例	liɛ	13			
兩	两	liaŋ	13			
利	利	li	13			
勵	励	liɛ	13			
厲	厉	li	13			
另	另	lɛ̃i	13			
吏	吏	li	13			
吝	吝	lɛ̃i	13			
廖	廖	liɔ	13			
弄	弄	ləŋ	13			
慮	虑	lyɛ	13			
戀	恋	li	13			
捩	捩	lɛ	13			
料	料	liɔ	13			
朗	朗	loŋ	13			
殮	殓	liɛ̃	13			
浪	浪	loŋ	13			
淚	泪	lei	13			
漏	漏	lei	13			
濫	滥	lɔ̃	13			
濾	滤	liɛ	13			
煉	炼	liɛ̃	13			
爛	烂	lɔ̃	13			
累	累	lei	13			
練	练	liɛ̃	13			
荔	荔	liɛ	13			
莉	莉	li	13			
諒	谅	liaŋ	13			
論	论	lɛ̃	13			
賂	赂	luə	13			
賴	赖	la	13			
路	路	luə	13			
輛	辆	liaŋ	13			
量	量	liaŋ	13			
鏈	链	liɛ̃	13			
陋	陋	lei	13			
露	露	luə	13			
類	类	lei	13			
麗	丽	liɛ	13			
下	下	uə	13			
下	下	yə	13			
位	位	uei	13			
位	位	y	13			
候	候	ei	13			
匯	汇	uei	13			
卉	卉	uei	13			
又	又	iəɯ	13			
右	右	iəɯ	13			
壞	坏	ua	13			
夏	夏	uə	13			
夜	夜	yə	13			
孕	孕	yeŋ	13			
宥	宥	iəɯ	13			
害	害	a	13			
寓	寓	yɛ	13			
岸	岸	uɛ̃	13			
巍	巍	uei	13			
巷	巷	oŋ	13			
廈	厦	uə	13			
彗	彗	uei	13			
恙	恙	iaŋ	13			
恨	恨	ɛ̃	13			
惠	惠	uei	13			
愈	愈	yɛ	13			
慧	慧	uei	13			
憾	憾	ɛ̃	13			
換	换	uɔ̃	13			
效	效	ɔ	13			
旺	旺	oŋ	13			
易	易	iɛ	13			
暈	晕	yeŋ	13			
會	会	uei	13			
柚	柚	iəɯ	13			
校	校	ɔ	13			
械	械	a	13			
樣	样	iaŋ	13			
汗	汗	uɛ̃	13			
潤	润	yeŋ	13			
為	为	y	13			
焰	焰	iɛ̃	13			
現	现	iɛ̃	13			
用	用	ioŋ	13			
畫	画	uə	13			
異	异	iɛ	13			
祐	祐	iəɯ	13			
禦	御	yɛ	13			
笐	笐	ɔ̃	13			
縣	县	yɛ̃	13			
翰	翰	uɛ̃	13			
耀	耀	iɜ	13			
胃	胃	uei	13			
芋	芋	yɛ	13			
莠	莠	iəɯ	13			
號	号	ɜ	13			
蝟	猬	uei	13			
衛	卫	uei	13			
裕	裕	yɛ	13			
