来源：	1991《介休方言志》张益梅。Vinchi 录入增补。
l	［1］恋-联［3］□{用手揪住肉拧或拽：喉咙疼，~上两下就可了}［5］□{稠而匀}□{读起来押韵}
tɕ	［1］捐泉-［3］卷［5］卷圈眷绢娟鹃倦
tɕʰ	［1］全痊权圈泉拳颧荃诠［3］犬圈{关}［5］劝券
ɕ	［1］宣喧喧渲轩旋悬玄眩颧-［3］选□{猪~~：猪嘴}［5］券-旋{随时}楦淤
Ø	［1］员圆元园原源渊冤鸳袁辕猿垣援缘［3］远［5］院愿怨苑□{~转：绕过}
#əŋ	
p	［1］盆-崩绷［3］本苯［5］笨泵奔蹦
pʰ	［1］朋硼棚鹏彭膨烹篷喷{动词}盆抨怦［3］捧□{以头撞人}［5］碰喷{~香}
m	［1］门扪们焖蒙朦檬萌盟［3］猛［5］孟梦闷□{泡在液体中}
t	［1］灯登蹬疼-腾-誊-［3］等戥{~子秤}［5］邓凳瞪澄□{两头同时用力或一头固定另一头用力｝
tʰ	［1］吞腾藤疼誊［3］□{又壮又大}
n	［1］能□{~~：踮起脚后根儿}［5］弄-
l	［1］棱囵-咙-［3］冷［5］楞
ts	［1］争睁筝挣曾{姓}增憎赠搸秦｛~树：介休村名｝［3］怎［5］挣
tsʰ	［1］层曾{~经}参{~差}撑岑［3］□{顺着物体表面铲}［5］衬蹭□{把别人拍挤掉}
nᶻ	［1］□{难缠}□{~~~、~~~：听不清楚的说话声或唱歌声}
s	［1］僧生笙甥牲惨森参{人~}［3］碜{粮中小石子儿}省［5］渗□{使人害怕}
tʂ	［1］正{~月}征针珍诊真贞侦帧蒸斟朕［3］振疹整□{傻}［5］正证症政郑枕震镇阵甄沉-{落~}
tʂʰ	［1］成城诚盛呈程尘陈称乘丞承沉辰娠臣晨［3］逞［5］秤筝-称趁
ɳ	［1］人-{~家：用作代词表示第一人称或第三人称时}
ʂ	［1］声绳升深胜申伸呻绅身［3］审婶沈慎［5］胜肾圣甚盛晨-剩
ʐ	［1］人仁壬任［3］仍扔忍纫韧仞［5］认刃妊任{~务}纫{~针}赁{~铺}
k	［1］根跟更{~换}哽埂庚羹耕［3］耿［5］更{~好}
kʰ	［1］坑吭铿［3］肯啃恳［5］□{碰：你~了我一下，害得打了杯子了}
ŋ	［1］恩［5］□{手使劲按}
x	［1］亨哼恒衡横痕［3］很狠恨｛~的跌心｝［5］恨
Ø	［1］嗯
#iə̃	
p	［1］兵宾滨镔{~铁锅}缤殡冰彬［3］丙柄禀秉饼炳［5］病并鬓
pʰ	［1］贫频拼{~音}平苹坪萍评凭屏乒［3］品［5］姘聘喷-{~香地}
m	［1］民鸣名明铭酩螟［3］敏抿冥暝皿闵泯悯闽［5］命□{口里含着}
t	［1］丁叮疔盯钉{~子}［3］顶鼎［5］钉{动词}订定锭
tʰ	［1］厅亭停婷廷庭蜓霆艇听［3］挺［5］□{搁置起来不予理睬}
l	［1］林淋霖琳临凛躏邻鳞麟嶙辚陵凌菱绫灵玲龄翎铃［3］檩领令{一~纸}岭［5］吝令另蔺
tɕ	［1］金斤今襟巾筋兢晶津芹-京颈经泾惊荆鲸精睛旌系-{~上红领巾}更-{三~半}勤-｛~紧：勤劳｝［3］锦紧仅谨瑾尽{大~；~你先吃}景境警井憬靳［5］近妗进禁尽{~量}晋烬敬镜净径靖
tɕʰ	［1］琴侵亲钦禽擒秦勤芹氢衾卿青清情晴轻蜻津-□{~受财产}［3］请顷倾［5］浸寝噙沁庆亲{~家}
ȵ	［1］银宁{~静}凝龈垠您拧［5］硬宁{~可}佞{~臣}
ɕ	［1］心辛新薪欣锌芯鑫兴{~起}行星腥形刑型［3］醒省㨘饧{~面}
Ø	［1］因姻阴荫昔殷吟淫应鹰膺蝇营茔萤莺荧莹萦颖婴樱鹦迎英瑛盈赢嬴［3］引蚓隐□{~被子}瘾影饮{~料}［5］印饮{~牲口}窨{地~子}映孕
#uŋ	
t	［1］东冬敦铜-墩蹲□{猛地往下放}屯｛西靳屯：介休村名｝［3］董懂吨趸{~卖}捅{~乱儿：闯祸}□{污染}［5］动冻炖钝顿吨沌囤盾遁
tʰ	［1］同铜桐通童瞳僮彤臀豚潼［3］筒桶捅统［5］囱-痛恸褪{~一~：少挪一点儿地方}
n	［1］农浓脓［5］嫩弄-
l	［1］龙笼{~子}聋咙陇珑茏拢胧隆仑伦抡轮沦囵［3］拢垄笼{~统}［5］论弄
ts	［1］中忠钟蛊衷宗鬃踪棕虫-重-{~做}尊遵终谆-纯-{~是水}［3］总肿种{~子}纵怂准踵［5］粽众重{轻~}种{~地}中{~计}
tsʰ	［1］从聪匆葱囱冲春椿纯唇村存皴{~了手啦}淳谆［3］宠蠢寸
s	［1］松孙淞［3］耸悚笋损［5］送宋诵颂嵩逊顺舜瞬唇-
z	［1］茸绒戎［3］冗{动作慢}［6］闰润
k	［1］公蚣翁工功攻弓躬宫恭供［3］巩龚汞滚［5］共拱贡棍
kʰ	［1］空箜坤昆鲲［3］孔恐捆阃啃-［5］空控困
x	［1］红虹讧宏拱洪烘鸿弘泓轰横-{~顺：反正。我~顺是不去，你去吧。}风疯丰冯封峰蜂锋逢缝{动词}烽枫昏婚魂馄浑荤分芬纷汾愤焚［3］哄{~骗，讽刺}［5］奉俸缝{名词}凤哄{起~}忿粪奋份混愤
Ø	［1］文温纹蚊雯嗡瘟闻［3］稳刎吻紊［5］问瓮
#yə̃	
tɕ	［1］群-裙-穷-郡君均筠钧军［5］俊骏峻竣隽㓋{凝固，~~：肉冻}
tɕʰ	［1］群裙穷穹琼［3］糜{许多人聚集在一起}［5］□{缩}
ɕ	［1］旬询循巡熏薰勋兄熊雄凶匈汹胸［3］□{长时间盯着}［5］训驯殉荀
Ø	［1］云匀耘纭芸晕荣嵘融容熔溶榕蓉庸雍臃恿［3］允永泳咏拥勇甬涌蜅踊俑［5］用佣运韵熨殒酝蕴□{~肩子：脊背上部肌肉太厚显得背不直}
#ʌʔ	
p	［7］八巴{哑~子}叭{喇~}北-杯剥拨不膊［8］拔钹跋把{介词}博礴薄脖悖驳笸{~箩}钵卜鼻-{~涕}雹-
pʰ	［7］泼勃渤泊珀蹼朴{~索}扑仆瀑曝粕舶胖-{粗：这人的腰好~}□{量词，相当于“棵”：一~树，一~茴子白}□{~出、~运：倒霉的意思} ［8］扑{~通，拟声词}
m	［8］末沫抹{~布}莫膜漠摸寞墨-殁没木沐目苜穆睦刎-{~脖子：自刎}
t	［7］得德搭嗒的-{助词}着-{助词}去-{趋向动词}［8］达答鞑踏-{~脱：踩空}
tʰ	［7］塔塌榻沓{一~纸}□{~湿}蹋獭托拓-{~上人家的字写}特踏遢［8］□{汗~~}
n	［8］纳捺诺
l	［7］里-{村~}肋{~：不整洁}□{圪~，打搅、干扰}［8］乐{快~}腊蜡勒肋落洛络赂-
ts	［7］扎札则只{副词}翟［8］炸{~糕}闸铡杂泽择责仄作宅昨凿滓□{~跟：仍然}
tsʰ	［7］厕测侧恻策册插察□-{~猪食}错-{~咽了，~说了}
nᶻ	［8］㘝{掖：把衣裳~在裤合里就不冷了}
s	［7］杀萨煞涩瑟索塞刹色啬厮{~打，~跟：相跟}撒-靸{~鞋，鞋帮纳得很密，正中央是三角形的鞋}飒［8］铡-
tʂ	［7］窄摘蔗摺褶蛰执折辄浙汁秩质织职殖着植值{~日}只{量词}指{~头儿}［8］侄直值{~钱儿}择{~韭菜}着□{~衣裳，把洗过的衣物在清水中再投一次}
tʂʰ	［7］尺吃赤叱斥撤辙绰{~号}拆
ɳ	［8］镊-折-{搞皱}
ʂ	［7］湿失虱识蚀式饰适释涉摄设慑骰{~儿：一种赌具}色-赤-{~德老：未戴帽子}涩□{甩液体：~下我一身墨水}［8］十什{~锦}拾实室食石{~头}舌折{断}硕芍{~药}佘□{跃起、冒出；你从哪儿~出来了?}
ʐ	［7］□{~~~：表示惊奇或赞美的词，很常用}［8］热日若弱□{詈词}
k	［7］各格阁搁骼割葛革鸽隔嗝膈咯｛笑声｝ ［8］胳疙{~瘩}蛤□{~蚤：跳蚤}可{~是}咯{~吱}
kʰ	［7］渴磕壳刻克咳客颏瞌坷可-{~惜}
ŋ	［7］恶{~霸}厄扼额腭愕鳄鄂噩拿-{~住}
x	［7］喝黑瞎-骸哈-{拟声词}［8］合盒鹤辖-和-{连词}核
#iʌʔ	
p	［7］北鳖憋必笔毕逼壁璧碧哔愎百柏伯掰帛［8］别白-□{改习惯：慢慢儿地就~过来了}鼻
pʰ	［7］匹撇瞥辟僻霹劈{开~}迫拍珀魄
m	［8］灭蜜密秘泌墨麦脉蔑默觅□{傻或称呼傻子为此：他儿~得多，不过，他就是一悔(个)~}
t	［7］跌的{~确}滴□{大吃：今儿我又在馆子儿(饭馆儿)美美地~了一顿}涤［8］碟蝶牒迭叠喋嫡狄荻□{相见：你们见面说吧}笛迪籴敌的{目~}
tʰ	［7］铁帖贴踢剔惕
l	［7］□{圪~：麻花儿似的形状。如：一圪~屎}［8］列烈裂咧冽捩{扭转：~转点身子}猎劣立粒莅笠栗砾沥力雳掠略□{把水拧掉：等我~出衣裳来就走}
tɕ	［7］接节劫结揭疖洁诘桔{~梗}颉拮杰捷睫竭羯碣孑迹击绩墼{土~}稽缉积激及圾唧即脊瘠吉棘藉{狼~}隔＝｛~壁子｝籍{户~}丞楫辑疾集{~体}汲岌级急戟给{供~}髻寂偈曁鲫甲夹颊钾［8］集{赶~}极截稷
tɕʰ	［7］切鹊雀却确妾七怯漆泣乞戚□{水入土或物中}缉{~鞋口口}祈-{~雨}恰掐{~花}
ȵ	［7］鸭-压-押［8］捏涅孽聂镊蹑业逆拟怩屡溺虐疟
ɕ	［7］瞎歇蝎狭峡洽辖胁挟泄-薛亵吸媳熄息悉昔惜隙夕析晰隰锡［8］学席习协袭匣膝□{搬桌椅：把八仙桌~到当院去}
Ø	［7］一壹噎咽{呜~} ［8］叶页乐乙益溢缢逸亦译驿邑抑役疫椅-揖
#uʌʔ	
t	［7］掇□{用指头，棍棒等轻点轻击}㞘𡰪{~子：屁股} ［8］夺毒独读牍犊督铎渎黩□{~血：妇女经血不止}
tʰ	［7］突凸秃脱托拓
l	［7］六-{~指指}鹿漉麓辘陆戮录禄碌轳{辘~}捋率律氯
ts	［7］足烛逐竹竺{姓}撮{量词}卓桌捉拙□{~了雨了}涿啄琢茁灼酌粥-{~儿}□{~着了：用力过猛导致身体生病，经常感到呼吸困难} ［8］族祝筑嘱瞩触镯浊作做-卒术{白~}蜀
tsʰ	［7］出处-{黑~：光线暗的地方}畜{~牲}搐矗黜绌蹴猝蹙促撮{动词}戳［8］着-{动词：抬~火了。睡~了}
nᶻ	［8］□{头朝下栽：小心点，招架~下去了。使用笔或~帚时过分用力：你看你，把我的小楷笔~成甚啦?}
s	［7］叔粟塑说簌{拟声词}朔缩妁溯刷蟀夙束［8］术述速菽淑属赎熟续-塾黍秫硕烁俗
z	［8］肉{~刺；~红红面：高梁面和白面或豆面掺在一起的面}褥入缛蓐
k	［7］谷骨郭国掴{挨~：挨打}帼蝈刮［8］窟囫轱喉{~咙}葫{~芦儿}
kʰ	［7］哭酷窟阔{辽~}□{量词：专用于解小便}廓括扩［8］核{杏~儿}
x	［7］笏{~板：古代官员上朝时手中握的板子}忽惚斛姓豁攉{把土~出去}豁霍或惑发法砝珐福辐蝠匐弗幅划{~板：船浆}袱拂［8］服伏俯腹覆复活佛藿获乏滑猾蝮馥伐筏罚阀糊-{~涂}
Ø	［7］杌{~子，凳子}捂{~死}屋渥龌幄沃［8］五-伍-午-{端~}匆物往-{介词}袜忤
#yʌʔ	
tɕ	［7］桔{~子}诀口{~断绳子}觉{感~}脚角镬{刨土的工具}珏厥［8］局绝决抉嚼橛撅{~嘴}獗蹶{一~不振}爵攫
tɕʰ	［7］曲屈口{~黑：黑得好看}菊鞠缺炔阙瘸确崛倔掘
ȵ	［7］□{握：~笔姿势}□{~拍：喜欢夸夸其谈的人}［8］岳狱
ɕ	［7］戌畜{~牧}蓄恤雪蓿削穴血宿{~舍}肃［8］续旭俗□{~摸：物色}
Ø	［7］域蜮阈鬻育欲熨{~贴}浴郁-曰{子~诗云}约悦阅跃越{超~}钺粤［8］月越{副词；~南}钥药毓
#ṇ	
Ø	[3]你｛中老派｝
#	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
