kuet	7	括聒虢		
kʰuet	7	阔		
huet	7	豁		
	8	活=		
uet	8	活-		
pət	7	不		
pʰət	8	勃		
mət	7	没		
tət	7	质		
tʰət	7	出		
	8	突侄秩蛰		
lət	7	日=		
tsət	7	卒		
tsʰət	7	猝		
sət	7	失室率蟀		
	8	实术述		
piət	7	笔必毕		
pʰiət	7	匹		
	8	弼鼻		
miət	7	蜜密觅		
tɕiət	7	吉橘		
tɕʰiət	7	七漆迄讫乞屈掘倔戚寂		
	8	极籍藉		
ɕiət	7	隙		
ȵiət	7	日-		
iət	7	乙		
kuət	7	骨		
kʰuət	7	窟		
huət	7	忽拂佛勿		
	8	佛		
uət	7	物		
	8	杌		
tot	7	掇拙		
tʰot	7	脱		
lot	8	捋		
tsʰot	7	撮		
sot	7	刷		
kot	7	割葛		
ŋot	7	谒		
hot	7	喝渴		
paʔ	7	百-柏-伯-		
pʰaʔ	7	拍-		
	8	白-魄-		
maʔ	7	蛨		
	8	麦-		
taʔ	7	炙-只-		
tʰaʔ	7	赤-尺-		
laʔ	7	拿		
tsaʔ	7	摘-		
tsʰaʔ	7	拆-		
saʔ	7	撒		
	8	石-		
kaʔ	7	格-隔-		
kʰaʔ	7	客-		
ŋaʔ	8	□[说话不清]		
haʔ	7	吓-		
piaʔ	7	壁-		
pʰiaʔ	7	劈-		
tiaʔ	7	□[抱也]		
tʰiaʔ	7	□[系也]		
liaʔ	8	笛-		
tɕiaʔ	7	迹-		
tɕʰiaʔ	7	吃-		
ȵiaʔ	8	逆-		
ɕiaʔ	7	锡-		
kʰuaʔ	8	□[猛推]		
huaʔ	8	划		
peʔ	7	北百=柏=伯=		
pʰeʔ	7	拍=魄=帛		
	8	白=		
meʔ	7	墨默陌脉		
	8	麦=		
teʔ	7	得德		
tʰeʔ	7	忒		
	8	特		
leʔ	7	肋勒		
	8	□[故意麻烦人]		
tseʔ	7	则窄责摘=		
