sou	5	45	嗽瘦赎熟(煮~了)									
sou	7	42	俗缩									
kou	1	33	勾钩沟阉									
kou	3	31	狗									
kou	5	45	够购构□(汤~成冻了)									
kou	7	42	谷									
kʰou	1	33	抠镯-									
kʰou	3	31	口									
kʰou	5	45	叩(~头)扣寇									
ŋou	1	33	欧									
ŋou	2	212	牛									
ŋou	3	31	藕									
ŋou	5	45	偶									
xou	1	33	厚									
xou	2	212	侯猴喉瘊									
xou	3	31	吼后候									
ou	3	31	呕									
ou	5	45	沤怄									
miou	2	212	谬									
tiou	1	33	丢									
tiou	7	42	□(骂人的话)									
liou	1	33	溜									
liou	2	212	流刘留榴硫琉馏									
liou	3	31	柳									
ʨiou	1	33	揪周州舟洲鸠纠究柩									
ʨiou	2	212	咒臼									
ʨiou	3	31	酒肘帚九久韭灸									
ʨiou	5	45	昼救									
ʨiou	7	42	竹粥									
ʨʰiou	1	33	秋抽丘瞅舅									
ʨʰiou	2	212	囚稠绸仇酬求球宙轴									
ʨʰiou	3	31	丑(~时)就									
ʨʰiou	5	45	臭旧									
ʨʰiou	7	42	畜-									
ȵiou	3	31	纽=忸扭									
ȵiou	7	42	肉									
ɕiou	1	33	修羞收休									
ɕiou	2	212	兽寿授售									
ɕiou	3	31	手守首受朽宿(星~)袖									
ɕiou	5	45	秀绣									
iou	1	33	优忧悠有友									
iou	2	212	尤邮由油游犹诱幼									
iou	3	31	酉又右佑育									
iou	5	45	柚									
iou	7	42	狱									
uou	7	42	屋									
pan	1	33	班斑颁扳般搬									
pan	3	31	板版									
pan	5	45	扮半									
pʰan	1	33	攀潘									
pʰan	2	212	盘伴拌判									
pʰan	3	31	办									
pʰan	5	45	盼绊叛									
man	1	33	□(~~:叔叔)满									
man	2	212	蛮瞒馒									
man	3	31	慢									
man	5	45	漫									
fan	1	33	藩翻番									
fan	2	212	凡帆烦繁									
fan	3	31	范犯反饭									
fan	5	45	泛贩									
tan	1	33	耽担(~任)担(挑~)丹单									
tan	2	212	诞旦但蛋									
tan	3	31	胆掸									
tʰan	1	33	贪坍(~下来)摊滩淡									
tʰan	2	212	潭谭谈痰檀坛弹(~琴)									
tʰan	3	31	毯坦弹(子~)									
tʰan	5	45	碳炭叹探									
nan	2	212	男难(~易)									
nan	3	31	难(患~)									
lan	1	33	懒									
lan	2	212	蓝篮兰拦栏									
lan	3	31	览揽榄漤(~菜)滥缆烂									
tsan	1	33	簪毡									
tsan	2	212	暂赞栈									
tsan	3	31	斩益攒									
tsan	5	45	站绽									
tsʰan	1	33	参(~加)搀餐									
tsʰan	2	212	蚕惭馋残蝉禅(~宗)									
tsʰan	3	31	惨铲									
tsʰan	5	45	产									
san	1	33	三衫珊山删钐									
san	2	212	疝									
san	3	31	散伞									
kan	1	33	甘柑监(~视)艰间(中~)奸									
kan	2	212	干(~部)									
kan	3	31	敢橄简									
kan	5	45	间(~断)感									
kʰan	1	33	堪勘									
kʰan	5	45	坎									
ŋan	1	33	安=鞍									
ŋan	2	212	岩颜									
ŋan	3	31	埯眼									
ŋan	5	45	岸按案砍									
xan	1	33	蚶憨鼾									
xan	2	212	含衔函咸闲憾罕汉限									
xan	3	31	焊苋(~菜)									
xan	5	45	翰喊									
an	1	33	庵									
an	5	45	暗揞(~住:手覆)									
piɛn	1	33	鞭边辫									
piɛn	2	212	辨辩									
piɛn	3	31	贬扁匾									
piɛn	5	45	变									
pʰiɛn	1	33	编篇偏蝙									
pʰiɛn	2	212	便(~宜)									
pʰiɛn	3	31	瓣便(方~)片									
pʰiɛn	5	45	骗遍别(~人)									
miɛn	1	33	免									
miɛn	2	212	棉绵眠									
miɛn	3	31	缅面(~条)									
miɛn	5	45	面(洗~：洗脸)勉									
tiɛn	1	33	掂颠癫									
tiɛn	2	212	电殿莫佃									
tiɛn	3	31	点典									
tiɛn	5	45	店									
tʰiɛn	1	33	添天									
tʰiɛn	2	212	田甜填									
tʰiɛn	3	31	舔簟腆(~肚子)垫									
liɛn	1	33	敛									
liɛn	2	212	廉镰帘连联怜莲恋									
liɛn	3	31	脸□(唠叨)练楝(~树)链									
ʨiɛn	1	33	尖歼沾粘兼煎肩坚粳(~米)									
ʨiɛn	2	212	舰践战建健荐监(~考)									
ʨiɛn	3	31	减碱检捡俭碾剪茧展卷-									
ʨiɛn	5	45	占剑溅箭见颤键占(~卜)柬									
ʨʰiɛn	1	33	签牵谦迁千牵铅									
ʨʰiɛn	2	212	钱前钳缠乾(~坤)拳渐歉									
ʨʰiɛn	3	31	遣件浅贱									
ʨʰiɛn	5	45	欠									
ȵiɛn	1	33	拈(~起来)研									
ȵiɛn	2	212	鲶严然燃言年验									
