					调值 [1]211 [2]24 [3]213 [5]53 [7]5
垫	t	ɪ̃	53	文	
年	n	ɪ̃	24		
莲	n	ɪ̃	24		
前	tɕʰ	ɪ̃	24		
先	ɕ	ɪ̃	211		
肩	tɕ	ɪ̃	211		
见	tɕ	ɪ̃	53		
牵	tɕʰ	ɪ̃	211		
显	ɕ	ɪ̃	213		
现	ɕ	ɪ̃	53		
烟	Ǿ	ɪ̃	211		
憋	p	ieʔ	5		
篾	m	ieʔ	5		
铁	tʰ	ieʔ	5		
捏	l	ieʔ	5		
节	tɕ	ieʔ	5		
切	tɕʰ	ieʔ	5		
截	tɕ	ieʔ	5		
结	tɕ	ieʔ	5		
搬	p	õ	211		
半	p	õ	53		
判	pʰ	õ	53		
盘	pʰ	õ	24		
满	m	õ	213	～月	
满	m	õ	211	～了	
端	t	õ	211		
短	t	õ	213		
断	t	õ	24		
暖	l	õ	213		
乱	l	õ	53		
酸	s	õ	211		
算	s	õ	53		
官	k	õ	211		
宽	kʰ	õ	211		
欢	x	õ	211		
完	Ǿ	õ	24		
完	Ǿ	uã	24		
换	x	õ	24		
碗	Ǿ	õ	213		
拨	p	ʊ	211		
泼	pʰ	ɤʔ	5		
泼	pʰ	æ	53	泼辣	
末	m	ɤʔ	5		
脱	tʰ	ɤʔ	5		
夺	t	ɤʔ	5		
阔	kʰ	uoʔ	5		
活	x	uoʔ	5		
顽	Ǿ	uã	24		
滑	x	uaʔ	5		
挖	Ǿ	uaʔ	5	～土	
挖	Ǿ	ua	211	～机	
闩	s	uã	211		
关	k	uã	211		
惯	k	uã	53		
还	x	uã	24		
还	x	æ	24		
弯	Ǿ	uã	211		
刷	s	uaʔ	5		
刮	k	uaʔ	5		
全	tɕʰ	yɪ̃	24		
选	ɕ	yɪ̃	211		
转	ts	õ	53	～眼	
转	ts	õ	213	～给他	
传	tsʰ	õ	24		
传	ts	õ	53		
砖	ts	õ	211		
船	tsʰ	õ	24		
软	ɹ	õ	213		
卷	tɕ	yɪ̃	213		
圈	tɕʰ	yɪ̃	211		
权	tɕʰ	yɪ̃	24		
圆	Ǿ	yɪ̃	24		
院	Ǿ	yɪ̃	53		
铅	tɕʰ	ɪ̃	211		
绝	tɕ	yeʔ	5		
绝	tɕ	ieʔ	5	～八代	
雪	ɕ	ieʔ	5		
反	f	ã	213		
翻	f	ã	211		
饭	f	ã	24		
晚	Ǿ	uã	213		
万	Ǿ	uã	53		
劝	tɕʰ	yɪ̃	53		
原	Ǿ	yɪ̃	24		
冤	Ǿ	yɪ̃	211		
园	Ǿ	yɪ̃	24		
远	Ǿ	yɪ̃	213		
发	f	aʔ	5		
罚	f	aʔ	5		
袜	Ǿ	uaʔ	5		
月	Ǿ	yeʔ	5		
越	Ǿ	yeʔ	5		
县	ɕ	ɪ̃	53		
决	tɕ	yeʔ	5		
缺	tɕʰ	yeʔ	5		
血	ɕ	yeʔ	5		
吞	tʰ	ɘn	211		
根	k	ɘn	211		
恨	x	ɘn	24		
恩	ɣ	ɘn	211		
贫	pʰ	iɘn	24		
民	m	iɘn	24		
邻	l	iɘn	24		
进	tɕ	iɘn	53		
亲	tɕʰ	iɘn	211		
新	ɕ	iɘn	211		
镇	ts	ɘn	53		
陈	tsʰ	ɘn	24		
震	ts	ɘn	24	白	
震	ts	ɘn	53	文	
神	s	ɘn	24		
身	s	ɘn	211		
辰	tsʰ	ɘn	24		
人	ɹ	ɘn	24		
认	ɹ	ɘn	53		
紧	tɕ	iɘn	213		
银	Ǿ	iɘn	24		
印	Ǿ	iɘn	53		
引	Ǿ	iɘn	213		
笔	p	ieʔ	5		
匹	pʰ	ieʔ	5		
密	m	ɘn	213		
密	m	ieʔ	5		
栗	l	ieʔ	5		
七	tɕʰ	ieʔ	5		
侄	ts	ɤʔ	5		
虱	s	ɤʔ	5		
实	s	ɤʔ	5		
失	s	ɤʔ	5		
日	ɹ	ɤʔ	5		
吉	tɕ	ieʔ	5		
一	Ǿ	ieʔ	5		
筋	tɕ	iɘn	211		
劲	tɕ	iɘn	53		
勤	tɕʰ	iɘn	24		
近	tɕ	iɘn	53		
隐	Ǿ	iɘn	213		
本	p	ɘn	213		
盆	pʰ	ɘn	24		
门	m	ɘn	24		
墩	t	ɘn	211		
嫩	l	ɘn	53		
村	tsʰ	ã	211	我们～	
村	tsʰ	ɘn	211	张庄～	
寸	tsʰ	ɘn	53		
蹲	t	ɘn	211		
孙	s	ɘn	211		
滚	k	uɘn	213		
困	kʰ	uɘn	53		
婚	x	uɘn	211		
魂	x	uɘn	24		
温	Ǿ	uɘn	211		
卒	ts	ɤʔ	5		
骨	k	uoʔ	5		
轮	l	ɘn	24		
俊	tɕ	yɘn	53		
笋	s	ɘn	213		
