	註釋：-白讀，=文讀												
x	[1]詼麾灰恢徽[3]毀火[5]賄回={～門}裹-{～粽：包粽子}悔硘晦□{陶器}[6]核-{～桃}匯會{開會}彙佛[7]笏忽惑或惚												
ts	[3]材裁才={人～}財[5]蜶{蟬～：知了}晬{週歲}[6]坐[7]卒倅猝[8]罪												
tsʰ	[1]崔催璀炊摧[3]採綵睬彩[5]粹碎脆悴[7]切-{～菜}猝												
s	[1]瘦{訓}腮衰[5]賽螺-{田～}腡[7]屑蟋刷												
∅	[1]煨[3]徊迴回茴[5]慾嬡欲{訓}愛{又音}禾[7]物[8]兀杌{板凳}												
#œ													
k	[7]嗝{又音}												
∅	[3]耳而兒餌爾[7]嘔												
#e													
pʰ	[3]剖否{～認}												
m	[3]某牡謀畝												
t	[1]兜㨮{提、拿}[3]蚪抖骰陡投斗[5]晝-{當～：中午}鬥{～爭}[6]豆荳逗脰{脖子}												
tʰ	[1]偷[3]㪗{開啟}抖{又音}[5]頭透[6]毒{毒殺}												
n	[3]□{抖動}[8]□{樹樁}												
l	[1]鏤[3]髏簍嘍摟[5]樓婁[6]陋漏												
k	[1]鉤勾溝構[3]狗={狗～：奴才}苟垢猴[5]彀够苟[6]構購[8]厚{～薄}												
kʰ	[1]箍[3]口[5]寇扣叩												
ŋ	[3]偶藕[5]□{歪斜}												
x	[5]繫{拴住}[6]候後后厚{集～：地名}												
ts	[1]糟{酒～}鄒皺[3]蚤走[5]縐腠驟奏竃												
tsʰ	[1]□{拉上}[3]愁巢-{狗～}[5]臭湊												
s	[5]膄瘦掃-{～帚}[6]老-{～人}叟												
∅	[1]嘔毆區{姓}歐甌[5]狗-{～仔：小狗}侯喉吼												
#ai													
p	[1]簰{竹片}拔-{～膿}排{～骨}[3]排{～長}牌棑{竹排}擺[5]排{～位}湃擺{又音}拜[6]罷{又音}敗[7]撥-{～開}扒八												
pʰ	[1]□{張開}[3]䫌[5]派[6]稗												
m	[3]買[5]埋[6]賣邁[8]□{不會}												
t	[1]呆歹[3]抵-{遮擋}底抬{～舉}[5]蹄[6]逐-{～人}												
tʰ	[1]胎={脫～}苔{舌～}[3]抬{又音}[5]替苔{綠～}態												
n	[3]奶乃[5]奶{又音}泥[6]耐奈萘												
l	[3]萊來={周恩～}[5]犁-{～田}[6]荔籟賴瀝[8]禮-{～佛：拜佛}□{傻}												
k	[1]階={～級}該皆雞街[3]繫鮭改解{～放}[5]解鈣蓋={姓}解{～柴：鋸板}誡爿丐戒芥界疥屆介												
kʰ	[1]溪[3]鎧揩凱楷[5]慨契概企{又音}												
ŋ	[3]涯崖捱[5]倪霓呆[6]礙艾{姓}												
x	[3]諧駭孩[6]懈蟹薤{大的韭菜}械解{姓}[7]瞎[8]唉												
ts	[1]齋[3]齊-{整～}犲[5]債[6]穧{多}截寨[7]節{過～}[8]在												
tsʰ	[1]差釵[3]猜採纔={～是}踩[5]擦[7]切-{盡～：很用功}												
s	[1]樨篩西[3]洗璽[5]細[8]□{大聲辱駡}												
∅	[1]挨埃[3]鞋矮[5]瞀隘[6]□{低垂}[8]唉												
#uai													
x	[6]罰[7]血發={～達}												
∅	[1]歪{～理}[3]為={作～}割{俗}[8]歪												
#au													
p	[1]胞包[3]袍保跑皰褓飽寶煲庖堡鴇[5]豹爆報暴[6]刨[8]爆{又音}												
pʰ	[1]拋枹{又音}[5]泡{～茶}爆{又音}炮[6]枹{又音}雹抱泡{燈～}咆鮑												
m	[3]無沒{訓，沒有}[5]毛{頭～：頭髮}[6]冒鉚瑁耄貌帽[8]卯												
t	[1]刀[3]萄淘掏桃{核～}逃陶禱島搗濤倒{打～}[5]到倒{～水}[8]道導盜□{遠}												
tʰ	[1]縚{絲穗}[3]討[5]挑套[6]導{又音}滔蹈稻												
n	[3]腦惱瑙[6]鬧												
l	[1]撈[3]老={～師}佬牢{～固}勞䇭{𥬯～：筐籮}[5]流-{～水}癆牢{坐～}澇[6]找-{～人}[8]了-{詞尾：吃～}												
k	[1]皋交篙蛟糕膏{墨～}羔高膠郊[3]稿校{～對}較{比～}蒿攪狡郊絞搞膏{板～}[5]告教={～育}窖較{計～}[8]鉸咬												
kʰ	[1]骹{腳}[3]考[5]銬烤犒魺{一種小魚乾}敲拷靠												
ŋ	[3]淆肴鼇□{斜視}[5]熬{～油}爻{爻卦}[6]奧熬{～茄：煎茄子}懊爊傲敖澳遨□{平面鋥}												
x	[1]教-{～書}[3]好{～壞}[5]好{嗜～}耗哮酵孝[6]皓浩號灝校{～長}效												
ts	[1]遭糟={～糕}[3]找爪蚤皂棗早曹[5]罩竃={小～}笊槽[8]造												
tsʰ	[1]臊抄操[3]剿巢鈔草炒吵[5]樵操{節～}糙躁={急～}吵{又音}柴{俗}												
s	[1]搜蒐搔騷躁-{急～}梢捎艄筲{飯～：草包飯}[3]稍掃={～盲}嫂[5]燥-{凋～：乾燥}稍哨[6]䐬{缺油水而引起的飢餓感}												
∅	[1]謷{誣賴人}[3]豪襖懊{～惱}高-{～堆}毫拗{～折}[5]坳{山～}拗{～脾氣}												
#iau													
p	[1]表錶標臕飊彪驫{馬奔}[3]婊表錶裱[5]㧼{分發}												
pʰ	[1]漂{～流}飄[3]瞟嫖殍[5]薸瓢漂{～白}[6]票												
m	[3]渺藐淼秒杳[5]描苗錨瞄貓[6]謬繆廟妙												
t	[1]雕貂鵰刁朝{三～：三天}凋={～零}[3]潮凋-{～巴：乾巴}嘲跳朝{～廷}[5]調{～和}釣弔條[6]調{～動}掉=召[8]趙兆肇												
tʰ	[1]挑超刁[3]窕挑{～選}[5]糶趒{上船的跳板}[6]眺跳{彈～}												
n	[3]鳥嬝繞[5]饒[6]尿												
l	[3]聊僚了={～結}寥燎療暸遼[6]料鐐廖[8]了-{完～}撩												
k	[1]驕嬌佼姣[3]矯狡{又音}餃皎翹={銀～}蕎喬繳僑[5]橋[6]轎撬藠[7]叫[8]撬{又音}												
kʰ	[1]俏{～氣：生氣}[3]巧竅[5]磝{不平}竅翹{～起}[6]□{生嬌氣}[7]曉翹												
