繁体	简体	IPA	注释	来源			
扼	扼	ŋəʔ8	用手拾取：~瑞蝍頭（①撿拾煙蒂。②指已淪落到買不起煙，撿拾煙蒂抽的地步。形容貧窮如丐的不堪境地）	鄉音字類			
軛	轭	ŋəʔ8	駕車時擱在牛馬頸上的曲木	鄉音字類			
戹	厄	ŋəʔ8	①車軛。套在牲口脖子上的曲木，後作“軛”。②險要之處。③困難，艱苦。④窮困，災難，後作“厄”。⑤小門	鄉音字類			
阨	阨	ŋəʔ8	①限界。②本作“㧖”，阻塞	鄉音字類			
㧖	㧖	ŋəʔ8	①阻塞；阻隔。②限界；障礙：秉其~塞地利。③艱危；災難。④逼迫；困迫	鄉音字類			
啞	哑	ŋəʔ8	理論應讀[əʔ⁴]：~~（狀聲詞。形容笑聲）	鄉音字類			
搤	搤	ŋəʔ8	理論應讀[əʔ⁴]：~腕（失意、忿恨的樣子）	鄉音字類			
紇	紇	ŋəʔ8	①粗劣下等的絲。②人名。孔子的父親。③回~：我國少數民族之一	鄉音字類			
扢	扢	ŋəʔ8	①擦拭。②也可讀[ȵiəʔ²³]：奮然起舞的樣子	鄉音字類			
齕	齕	ŋəʔ8	用牙齒咬	鄉音字類			
核	核	ŋəʔ8	審~|~心|~酸	鄉音字類			
覈	覈	ŋəʔ8	①檢驗，查核：~對|~實。②詳實，嚴謹。③深刻。④米麥舂餘的粗屑	鄉音字類			
劾	劾	ŋəʔ8	檢擧、揭發不法行爲：彈~	鄉音字類			
額	额	ŋəʔ8	文讀：~外	鄉音字類			
額	额	ŋɑʔ8	白讀：~角頭	蘇州同音常用字彙			
仡	仡	ŋəʔ8	船動搖之貌	鄉音字類			
頞	頞	əʔ7	鼻樑	鄉音字類			
遏	遏	əʔ7	~下來：①形容雪大。②指天色暗下來	鄉音字類			
閼	阏	əʔ7	①阻塞，壅塞：~塞。②遮擋的器物。③~伯：古代人名，後用爲商星的別稱	鄉音字類			
曷	曷	əʔ7	①什麼時候。②何，爲何：~不委心任去留。③何不。④豈，難道	鄉音字類			
褐	褐	əʔ7	①粗毛、布製成的衣服。比喩貧窮卑賤的人。②黃黑色	鄉音字類			
毼	毼	əʔ7	理論應讀[ɦəʔ²³]：①毯一類的毛織品。②同“鶡”，雞名	鄉音字類			
鶡	鶡	əʔ7	動物名。鳥綱雞形目。似雞而大，體靑色，有毛角，性勇健	鄉音字類			
必	必	piəʔ7	~活鮮跳：常常用來形容活魚、活蝦、[例]買仔一條必活鮮跳葛鯽魚，汆湯吃	鄉音字類			
筆	笔	piəʔ7	看見倷進去，俚面孔~（~）板	鄉音字類			
觱	觱	piəʔ7	~沸：泉水湧出的樣子	鄉音字類			
畢	毕	piəʔ7	姓	鄉音字類			
嗶	哔	piəʔ7	~嘰：一種薄的毛織品，密度較小且具斜紋	蘇州同音常用字彙、蘇州同音字彙1892			
篳	筚	piəʔ7	~路藍縷	鄉音字類			
蹕	跸	piəʔ7	~路：①淸理道路。②天子所經的道路	鄉音字類			
韠	韠	piəʔ7	古時遮蔽膝蓋用的朝服，多以柔皮製成	鄉音字類			
珌	珌	piəʔ7	佩刀刀鞘下端的裝飾物	鄉音字類			
縪	縪	piəʔ7	①古時帽冠上的接縫處。②通“韠”，古時遮蔽膝蓋用的朝服，多以柔皮製成	鄉音字類			
碧	碧	piəʔ7	~~緑	鄉音字類			
璧	璧	piəʔ7	~還：將物品完整無缺地退還本人	鄉音字類			
辟	辟	piəʔ7	復~	鄉音字類			
襞	襞	piəʔ7	~積：①衣服折疊處。②修飾，縫綴	鄉音字類			
逼	逼	piəʔ7	~煞人，弗償命	鄉音字類			
楅	楅	piəʔ7	①古代盛列弓箭的器具。②~衡：加縛在牛角上以防牛觸人的橫木。或說此橫木稱“楅”，衡則另指穿在牛鼻間以便牽引的縛繩或橫木	鄉音字類			
偪	偪	piəʔ7	①同“逼”，侵迫。②卽行縢。包裹在足脛上，使跳騰輕便。俗稱爲“綁腿”	鄉音字類			
愊	愊	piəʔ7	①至誠。②~憶：形容內心鬱結不暢快	鄉音字類			
湢	湢	piəʔ7	①浴室。②~然：整齊的樣子	鄉音字類			
腷	腷	piəʔ7	~臆：①忍住氣，不發洩。②情緒鬱結，怒氣塡膺	鄉音字類			
壁	壁	piəʔ7	~角落：墻脚裏	鄉音字類			
擗	擗	piəʔ7	理論應讀[biəʔ²³]：用手捶拍胸部	鄉音字類			
鷩	鷩	piəʔ7	赤雉，卽錦雞	鄉音字類			
龞	鳖	piəʔ7	卽脚魚	鄉音字類			
疈	疈	piəʔ7	①~辜：分割、肢解牲體。②剖開	鄉音字類			
癟	瘪	piəʔ7	~螺痧	蘇州同音常用字彙			
霹	霹	pʰiəʔ7	~靂	鄉音字類			
癖	癖	pʰiəʔ7	~性	鄉音字類			
僻	僻	pʰiəʔ7	偏~	鄉音字類			
澼	澼	pʰiəʔ7	洴~：漂洗	鄉音字類			
甓	甓	pʰiəʔ7	瓴~：磚塊	鄉音字類			
躄	躄	pʰiəʔ7	瘸腿，兩脚殘廢不能走	鄉音字類			
闢	辟	pʰiəʔ7	①開墾：開~。②駁斥，摒除：~謠	鄉音字類			
撇	撇	pʰiəʔ7	左~子：習慣使用左手幹活	鄉音字類			
暼	暼	pʰiəʔ7	一~	鄉音字類			
蹩	蹩	pʰiəʔ7	《集韻》：匹篾切。反足踶也	鄉音字類			
匹	匹	pʰiəʔ7	~力司：<貶>指社會經驗很豐富的人	鄉音字類			
擗	擗	pʰiəʔ7	掰開，拂開	鄉音字類			
疋	疋	pʰiəʔ7	同“匹”，計算布帛類紡織品的單位	鄉音字類			
弼	弼	biəʔ8	①輔助。②矯正過失：匡~。③古時用來矯正弓弩的器具。④職官名。輔佐元首的官員	鄉音字類			
怭	怭	biəʔ8	~~：傲慢無禮，喪失威儀	鄉音字類			
愎	愎	biəʔ8	任性，固執：剛~自用	鄉音字類			
别	别	biəʔ8	文讀：~墅|~搭（別處）|~弗著（經過努力仍沒有得到）|~苗頭（較量優劣）|~針	鄉音字類			
鼻	鼻	biəʔ8	文讀：豬~沖（豬鼻頭）	鄉音字類			
枇	枇	biəʔ8	白讀：~杷|~杷梗|~杷露|~杷葉面孔——一面光，一面毛（喩人翻臉無情）	鄉音字類			
蹩	蹩	biəʔ8	~脚：很差。[例]有葛中學生兩個毛筆字寫得蹩脚得唻，還不及小學生寫得好	蘇州同音常用字彙			
蜜	蜜	miəʔ8	~糖：蜜蜂所釀的蜜	鄉音字類			
密	密	miəʔ8	大~節頭：大拇指	鄉音字類			
衊	蔑	miəʔ8	①汚血。②捏造罪名，陷害他人：汚~。③塗抹	鄉音字類			
篾	篾	miəʔ8	~片	鄉音字類			
蔑	蔑	miəʔ8	~視	鄉音字類			
幭	幭	miəʔ8	覆蓋物體的巾布	鄉音字類			
眛	眛	miəʔ8	《集韻》：莫結切	鄉音字類			
覓	觅	miəʔ8	~著：尋求取得	鄉音字類			
謐	谧	miəʔ8	①安寧，平靜：安~|靜~。②靜止：王良縱策，雲藏星~	鄉音字類			
冪	幂	miəʔ8	①覆蓋器物的布巾。②數學上指同一數自乘若干次的乘方。如2自乘四次，就是2的四次冪，卽2⁴。③覆蓋	鄉音字類			
羃	幂	miəʔ8	①覆蓋。②覆蓋食物的布巾。③~羅，婦人所戴。④~羅，煙貌	鄉音字類			
鼏	鼏	miəʔ8	①古代覆蓋酒樽的布巾。②鼎蓋	鄉音字類			
塓	塓	miəʔ8	塗抹	鄉音字類			
幎	幎	miəʔ8	①覆蓋器物的布巾。②覆蓋。③均勻的樣子。④~目：覆蓋在死人臉上的東西	鄉音字類			
幦	幦	miəʔ8	古代車前橫木上的覆蓋物	鄉音字類			
烕	灭	miəʔ8	通“滅”，消滅，滅亡	鄉音字類			
滅	灭	miəʔ8	①撲熄，熄掉：撲~。②除盡，除絕：消~。③消失，消逝，絕盡：破~。④淹沒：~頂	鄉音字類			
的	的	tiəʔ7	~括：的確，可重疊成的的括括。[例]小張的括是大學生|俚的的括括得過一等獎	鄉音字類			
嫡	嫡	tiəʔ7	~親：血統最接近的親屬。程度加深時做“嫡嫡親親”	鄉音字類			
蹢	蹢	tiəʔ7	獸蹄	鄉音字類			
滴	滴	tiəʔ7	~搭：形容詞後綴。[例]倷覅老卵滴搭（你不要老茄茄）	鄉音字類			
甋	甋	tiəʔ7	瓴~：磚	鄉音字類			
帖	帖	tʰiəʔ7	~子	鄉音字類			
跕	跕	tʰiəʔ7	①拖著鞋子走路。②貼近、貼著水面而飛	鄉音字類			
貼	贴	tʰiəʔ7	①位置正當某處或最貼近某處，用在一些處所方位名詞前，可重疊：~當中（正中間）|~隔壁（緊靠著的隔壁）|物事擺勒~~當中。②粘：~膏藥|~招子（廣告）|~郵票。③津貼：囡兒一個月~我五十塊|小人~撥人家，一個月要八十塊。④挨緊：自家養葛~肉，領得來葛總歸兩樣葛（自己生的貼心，抱來的總是差一點）|兩家頭面孔~面孔，要好得唻	鄉音字類			
呫	呫	tʰiəʔ7	嘗，啜，品嘗	鄉音字類			
惕	惕	tʰiəʔ7	小心謹慎，隨時警覺：警~	鄉音字類			
剔	剔	tʰiəʔ7	~牙子	鄉音字類			
倜	倜	tʰiəʔ7	~儻：①卓異，特別。②卓越豪邁，灑脫不受約束的樣子	鄉音字類			
逖	逖	tʰiəʔ7	①遙遠的，遠方的：~聽（遠道聽聞）。②遠離：離~爾土	鄉音字類			
䢰	䢰	tʰiəʔ7	~~：跳躍的樣子。同“趯趯”	鄉音字類			
餮	餮	tʰiəʔ7	饕~：①傳說中一種兇惡貪食的野獸，古代鐘鼎彝器多刻其頭形以爲飾。②比喩兇惡貪婪的人。③饕爲貪財，餮爲貪食。饕餮比喩貪吃的人	鄉音字類			
鐵	铁	tʰiəʔ7	~匠	鄉音字類			
敵	敌	diəʔ8	~人	鄉音字類			
覿	觌	diəʔ8	①以禮相見。②見：~面（見面；當面）。③拜訪，探視	鄉音字類			
迪	迪	diəʔ8	啟~：啟發	鄉音字類			
滌	涤	diəʔ8	①洗濯：洗~。②清掃：九月肅霜，十月~場，朋酒斯饗，曰殺羔羊。③去除	鄉音字類			
翟	翟	diəʔ8	①長尾的山雉：境懷春~，野散秋螟。②古代樂舞所用的雉羽：左手執籥，右手執~。③中國古代北方的民族。同“狄”。④人名用字。如戰國時墨子名翟	鄉音字類			
籊	籊	diəʔ8	修長纖細的：~~竹竿，以釣于淇	鄉音字類			
糴	籴	diəʔ8	買入穀物。與“糶”相對：~米燒飯	鄉音字類			
荻	荻	diəʔ8	多年生草本植物，生在水邊，葉子長形，似蘆葦，秋天開紫花：潯陽江頭夜送客。楓葉~花秋瑟瑟	鄉音字類			
狄	狄	diəʔ8	姓	鄉音字類			
笛	笛	diəʔ8	~膜：竹子或蘆葦莖中的薄膜，用來貼在笛子左邊第二個孔上，吹笛時振動發生	鄉音字類			
篴	篴	diəʔ8	同“笛”	鄉音字類			
疊	叠	diəʔ8	~~鋪：指有上下層的床	鄉音字類			
蝶	蝶	diəʔ8	麥蝴~：麥子裏的小飛蛾，成蟲淡黃色，有毛，爲害稻、麥、玉米等	鄉音字類			
諜	谍	diəʔ8	~報	鄉音字類			
堞	堞	diəʔ8	城墻上的齒狀矮墻：~樓（城樓）	鄉音字類			
蹀	蹀	diəʔ8	頓足，踏：~躞（①小步行走的樣子。②往來頻繁的樣子。③繁多的樣子。④輕薄無行的言語。⑤衣帶上的飾物）	鄉音字類			
牒	牒	diəʔ8	通~：兩國交換意見或由一國通知對方，要求對方答復的外交文書	蘇州同音常用字彙			
喋	喋	diəʔ8	~血：血流滿地，形容殺人多	鄉音字類			
瓞	瓞	diəʔ8	小瓜：瓜~綿綿（比喩子孫繁盛，傳世久遠）	鄉音字類			
垤	垤	diəʔ8	①螞蟻穴口的小土堆：蟻~。②小土堆：丘~	鄉音字類			
耋	耋	diəʔ8	耄~：指年級很大的人。耄，年紀約八九十歲。耋，年紀爲七十歲	鄉音字類			
迭	迭	diəʔ8	~出：一次又一次地出現	鄉音字類			
凸	凸	diəʔ8	高	鄉音字類			
昳	昳	diəʔ8	①太陽過午西斜：朝至日~。②太陽偏西的時刻	鄉音字類			
絰	絰	diəʔ8	①古代喪服上用麻葛布做成的帶子。戴在頭上稱爲“首絰”，束在腰間稱爲“腰絰”。②穿著喪服	鄉音字類			
眣	眣	diəʔ8	①目不正。②目出	鄉音字類			
蛭	蛭	diəʔ8	①蟣。②水蛭。③有石蛭、草蛭、泥蛭等名。④飛蛭。[注]一般讀[ʧəʔ]	鄉音字類			
立	立	liəʔ8	①站：坐嘸坐相，~嘸~相。②建立：成家~業|小王哀趟~頭功	鄉音字類			
笠	笠	liəʔ8	用竹皮或竹葉編成，可以擋雨遮陽的帽子：斗~	鄉音字類			
苙	苙	liəʔ8	①豬圈。②白芷	鄉音字類			
粒	粒	liəʔ8	~屑：細小。可以指事，也可以指物。[例]粒屑事體多，一日到夜嘸不空|粒屑物事要聚聚好，覅到處堆	鄉音字類			
栗	栗	liəʔ8	~子	鄉音字類			
慄	慄	liəʔ8	因恐懼而發抖：戰~|不寒而~	鄉音字類			
溧	溧	liəʔ8	①~水：地名，在南京。②~陽：在常州	鄉音字類			
篥	篥	liəʔ8	觱~：樂器名。古人吹奏的一種木管樂器。以竹爲管，以蘆爲首，全長七寸，狀似胡笳而九孔，其聲甚悲	鄉音字類			
列	列	liəʔ8	~傳：紀傳體史書中記載人物事跡的傳記	鄉音字類			
冽	冽	liəʔ8	寒冷：凜~	鄉音字類			
洌	洌	liəʔ8	①清澈：~淸（流水晶瑩清澈的樣子）。②通“冽”，寒冷	鄉音字類			
烈	烈	liəʔ8	熱~	鄉音字類			
裂	裂	liəʔ8	分~	鄉音字類			
瀝	沥	liəʔ8	竹~	鄉音字類			
厯	历	liəʔ8	同“歴”	鄉音字類			
櫪	枥	liəʔ8	①馬槽，泛指馬房：老驥伏~，志在千里。②同“櫟”，落葉喬木，葉子長橢圓形，結球形堅果，葉可喂蠶；木材堅硬，可制傢俱，供建築用，樹皮可鞣皮或做染料。亦稱“麻櫟”“橡”；通稱“柞樹”。③~㯕：古時刑具，卽“拶指”	鄉音字類			
靂	雳	liəʔ8	霹~：急而嚮的雷	鄉音字類			
酈	郦	liəʔ8	①地名，卽菊潭縣，屬南陽鄧州內鄕縣。②姓：~食其|~道元	鄉音字類			
礫	砾	liəʔ8	小石，碎石：砂~|瓦~	鄉音字類			
皪	皪	liəʔ8	的~：鮮明顯著的樣子	鄉音字類			
櫟	栎	liəʔ8	~釜：用勺鏟刮鍋邊，故意產生聲音，表示鍋內食物已盡，以趕走客人	鄉音字類			
曆	历	liəʔ8	~本	鄉音字類			
濼	泺	liəʔ8	中藥貫衆的別名，蕨科植物	鄉音字類			
癧	疬	liəʔ8	瘰~：病名。頸項或腋窩的淋巴結結核，患處發生硬塊，潰爛後流膿，不易愈合	鄉音字類			
捩	捩	liəʔ8	①不順：實梗做弗順手，~葛。②用手指擰：勒小人面孔浪~一把，小人嚇得不敢哭	鄉音字類			
律	律	liəʔ8	~例	鄉音字類			
繂	繂	liəʔ8	粗繩子	鄉音字類			
鬣	鬣	liəʔ8	~毛：某些獸類（如馬、獅子等）頸上的長毛	鄉音字類			
躐	躐	liəʔ8	①踐踏。②逾越，超越：~等。③持：~纓整襟	鄉音字類			
獵	猎	liəʔ8	狩~	鄉音字類			
力	力	liəʔ8	脫~：乏力。[例]哀槍（這陣）做脫力哉，人一徑弗大好	鄉音字類			
屴	屴	liəʔ8	~崱：①山峰高聳的樣子。②山相連綿延的樣子。③宮殿高聳的樣子	鄉音字類			
劣	劣	liəʔ8	~紳：行爲惡劣的士紳	鄉音字類			
即	即	ʦiəʔ7	~目（卽將）|~管（只管）	鄉音字類			
鯽	鲫	ʦiəʔ7	文讀：過江之~	鄉音字類			
唧	唧	ʦiəʔ7	~嚦~嚦：形容絮絮叨叨（煩心事）	鄉音字類			
堲	堲	ʦiəʔ7	①燒土作磚，附於棺木的四周。②厭惡，痛恨	鄉音字類			
稷	稷	ʦiəʔ7	社~	鄉音字類			
楖	楖	ʦiəʔ7	~栗：一種樹木。可作拐杖	鄉音字類			
節	节	ʦiəʔ7	竹~	鄉音字類			
脊	脊	ʦiəʔ7	背梁~骨	鄉音字類			
鶺	鹡	ʦiəʔ7	~鴒	鄉音字類			
蹐	蹐	ʦiəʔ7	後脚緊跟著前脚，用極小的步子走路	鄉音字類			
迹	迹	ʦiəʔ7	同“跡”	鄉音字類			
積	积	ʦiəʔ7	~硍：喩從前的過失	鄉音字類			
踖	踖	ʦiəʔ7	①踐踏。②~~：①態度恭敬的樣子。②慚愧的樣子	鄉音字類			
瘠	瘠	ʦiəʔ7	①瘦弱。②土地不肥沃：貧~。③減損。④通“胔”，腐肉，腐屍	鄉音字類			
磧	碛	ʦiəʔ7	一般讀[ʦʰiəʔ⁴]：①淺水中露出的砂石。②沙漠：沙~。③地理學上指由冰河帶來的礫泥和砂礫等堆積物，或由這些堆積物所形成的各種地形：冰~平原	鄉音字類			
頤	颐	ʦiəʔ7	疑誤記，應讀[ɦi²²³]	鄉音字類			
勣	绩	ʦiəʔ7	通“績”，功績，事業	鄉音字類			
績	绩	ʦiəʔ7	成~	鄉音字類			
接	接	ʦiəʔ7	~殅：①又稱回煞。舊時認爲斷七之期，亡魂要歸故居，故家人要做佛事準備迎接亡魂。②詈語：~人|~事體	鄉音字類			
浹	浃	ʦiəʔ7	①透澈，浸透。②通達。③循環一周。如天干由甲日至癸日稱爲“浹日”；地支由子日至亥日稱爲“浹辰”。④融洽：其歲九月，人吏~和。⑤遍：山雨忽來，傾盆倒峽，~地交流	鄉音字類			
櫛	栉	ʦiəʔ7	①梳子和篦子的總稱，喩像梳齒那樣密集排列著：鱗次~比。②梳頭，梳理：~髮。③剔除。據《集韻》：側瑟切，音節	鄉音字類			
粢	粢	ʦiəʔ7	疑誤記，應讀[ʦɿ⁴⁴]	鄉音字類			
七	七	ʦʰiəʔ7	搞~廿三|~弗老牽（不成樣子）|~子山（蘇州山名）	鄉音字類			
柒	柒	ʦʰiəʔ7	①七的大寫。②姓。③俗漆字。④木名	鄉音字類			
桼	桼	ʦʰiəʔ7	①同“漆”。②通“七”：～政（日月和五星）	鄉音字類			
漆	漆	ʦʰiəʔ7	~匠	鄉音字類			
切	切	ʦʰiəʔ7	~理：打扮。[例]哀個小人乾淨得唻，儕是俚篤親婆切理葛	鄉音字類			
竊	窃	ʦʰiəʔ7	~~：①形容聲音低微。②明察	鄉音字類			
妾	妾	ʦʰiəʔ7	~身：古時女子謙稱自己	鄉音字類			
戚	戚	ʦʰiəʔ7	~子卿篤小二——說弗出好閒話：歇後語。說不出好話來。相傳明代蘇州秀才戚子卿家的僮兒小二，對人總說不吉利的話	鄉音字類			
鏚	鏚	ʦʰiəʔ7	斧頭	鄉音字類			
慼	戚	ʦʰiəʔ7	①憂傷，悲傷。②通“戚”	鄉音字類			
墄	墄	ʦʰiəʔ7	台階的梯級	鄉音字類			
楫	楫	ʦʰiəʔ7	理論應讀[ʦiəʔ⁴]：行船划水用的槳。如：舟~	鄉音字類			
緝	缉	ʦʰiəʔ7	①將麻捻搓成線：~麻。②縫衣邊：~邊。③搜捕，捉拿：通~。④聚合	鄉音字類			
葺	葺	ʦʰiəʔ7	①以茅草覆蓋房頂。②修補：修~。③累積，重疊：~鱗鏤甲	鄉音字類			
輯	辑	ʦʰiəʔ7	編~	鄉音字類			
檝	楫	ʦʰiəʔ7	同“楫”	鄉音字類			
戢	戢	ʦʰiəʔ7	理論應讀[ʦiəʔ⁴]：①將兵器收聚而藏：載~干戈。②收斂：鴛鴦在梁，~其左翼。③止息：~怒	鄉音字類			
𧤏	𧤏	ʦʰiəʔ7	理論應讀[ʦiəʔ⁴]：獸角多的樣子	鄉音字類			
濈	濈	ʦʰiəʔ7	理論應讀[ʦiəʔ⁴]：聚集的樣子	鄉音字類			
摵	摵	ʦʰiəʔ7	理論應讀[ʦʰəʔ⁴]：揩齒	鄉音字類			
析	析	siəʔ7	分~	蘇州同音常用字彙			
雪	雪	siəʔ7	冬天降下的六角形白色結晶，是空氣中水蒸氣在零度下凝結成的：見~爲晴（冬天雨，一下雪卽放晴）|~等淘伴，還有兩尺半（積雪不化，還有大雪）|~後冷，晴得長	鄉音字類			
戌	戌	siəʔ7	地支的第十一位	鄉音字類			
卹	恤	siəʔ7	憂慮	鄉音字類			
恤	恤	siəʔ7	①憂心，顧慮。②憐憫：體~。③賑濟，救濟：撫~	鄉音字類			
殈	殈	siəʔ7	鳥卵尚未孵化就破裂	鄉音字類			
洩	泄	siəʔ7	~漏	鄉音字類			
絏	絏	siəʔ7	拘繫牽引用的繩索、韁繩	鄉音字類			
辥	辥	siəʔ7	①罪。②死刑。③通“薛”	鄉音字類			
暬	暬	siəʔ7	同“褻”，不莊重地親近，輕慢	鄉音字類			
紲	绁	siəʔ7	①拘繫用的繩索。②拘繫，捆綁	鄉音字類			
渫	渫	siəʔ7	①除去汚泥。②發散，分散。③停歇，止息。④汚濁，汚穢	鄉音字類			
媟	媟	siəʔ7	①輕侮，不尊重：~慢。②汚穢，骯髒：淫~	鄉音字類			
緤	緤	siəʔ7	同“紲”	鄉音字類			
褻	亵	siəʔ7	~瀆	鄉音字類			
卨	卨	siəʔ7	同“禼”，古人名用字	鄉音字類			
栔	栔	siəʔ7	理論應讀[ʨʰiəʔ⁴]：鏤刻	鄉音字類			
熄	熄	siəʔ7	~燈	鄉音字類			
息	息	siəʔ7	好消~	鄉音字類			
媳	媳	siəʔ7	子、弟及其他晚輩的妻子	鄉音字類			
晰	晰	siəʔ7	清楚，明白：淸~	鄉音字類			
淅	淅	siəʔ7	~瀝瀝	鄉音字類			
錫	锡	siəʔ7	無~	鄉音字類			
皙	皙	siəʔ7	白~	鄉音字類			
裼	裼	siəʔ7	袒~：脫去外衣，露出裏衣	鄉音字類			
緆	緆	siəʔ7	①細麻布。②裙子下緣的邊飾	鄉音字類			
舄	舄	siəʔ7	①鞋子。②通“潟”，鹹而貧瘠的土地	鄉音字類			
昔	昔	siəʔ7	①過去的，從前的：~日。②夜晚	鄉音字類			
惜	惜	siəʔ7	~福：指珍惜自己的福氣，不過分享受	鄉音字類			
腊	腊	siəʔ7	①乾肉。②乾裂的皮膚。③製成肉乾。④極，很	鄉音字類			
屑	屑	siəʔ7	木~	鄉音字類			
楔	楔	siəʔ7	~子：①塡補空隙的東西，比如木塞。②元雜劇中，在四折之外，視劇情需要所加的獨立段落，以銜接劇情。③小說前的序文	鄉音字類			
屧	屧	siəʔ7	①木屐。②古代鞋下高起的木底	鄉音字類			
燮	燮	siəʔ7	調和：~理（協調治理）	鄉音字類			
𤑔	𤑔	siəʔ7	誤記，應讀[ȵiəʔ²³]：俗“爇”字，焚燒	鄉音字類			
焫	焫	siəʔ7	誤記，應讀[ȵiəʔ²³]：①同“爇”，點燃，焚燒。②中醫指用火燒針以刺激體表穴位	鄉音字類			
𠉪	𠉪	siəʔ7	同“偞”：①美貌。②恐懼而惶恐	鄉音字類			
悉	悉	siəʔ7	熟~	鄉音字類			
膝	膝	siəʔ7	~褲	鄉音字類			
厀	膝	siəʔ7	同“膝”	鄉音字類			
捷	捷	ziəʔ8	~足先登	鄉音字類			
婕	婕	ziəʔ8	~妤：古時宮中的女官名，是妃嬪的稱號	鄉音字類			
萐	萐	ziəʔ8	據《集韻》：悉協切，理論應讀[siəʔ⁴]	鄉音字類			
箑	箑	ziəʔ8	用竹、羽毛等製成的扇子	鄉音字類			
倢	倢	ziəʔ8	①靈活，敏捷。②~伃，漢婦官名	鄉音字類			
睫	睫	ziəʔ8	應讀[ʦiəʔ⁴]：長在上下眼瞼邊緣的細毛。如：迫在眉~	鄉音字類			
習	习	ziəʔ8	~慣成自然|弗~上：不學好樣，不求上進。《蘇州同音字彙1892》中的記音爲[ʣ]聲母	鄉音字類			
隰	隰	ziəʔ8	①低濕的地方。②水邊：逐翼侯于汾~。③新開墾的土地	鄉音字類			
襲	袭	ziəʔ8	~擊。《蘇州同音字彙1892》中的記音爲[ʣ]聲母	鄉音字類			
夕	夕	ziəʔ8	除~。《蘇州同音字彙1892》中的記音爲[ʣ]聲母	鄉音字類			
汐	汐	ziəʔ8	夜間漲起的潮水：潮~	鄉音字類			
穸	穸	ziəʔ8	窀~：墓穴	鄉音字類			
席	席	ziəʔ8	~柴：亂七八糟，忙亂。《蘇州同音字彙1892》中的記音爲[ʣ]聲母	鄉音字類			
蓆	蓆	ziəʔ8	①通“席”，用竹片、草莖等編成的墊子，可鋪設坐臥。②寬大：緇衣之~兮	鄉音字類			
寂	寂	ziəʔ8	~寞。《蘇州同音字彙1892》中的記音爲[ʣ]聲母	鄉音字類			
截	截	ziəʔ8	鋸斷，切斷：~長補短。《蘇州同音字彙1892》中的記音爲[ʣ]聲母	鄉音字類			
集	集	ziəʔ8	~團婚禮：集體婚禮	鄉音字類			
絕	绝	ziəʔ8	~風：沒有一點點風。夏日白天吹西南風，傍晩往往“絕風”。《蘇州同音字彙1892》中的記音爲[ʣ]聲母	鄉音字類			
絶	绝	ziəʔ8	同“絕”	蘇州同音常用字彙			
疾	疾	ziəʔ8	瘧~。《蘇州同音字彙1892》中的記音爲[ʣ]聲母	鄉音字類			
嫉	嫉	ziəʔ8	~妒。《蘇州同音字彙1892》中的記音爲[ʣ]聲母	鄉音字類			
蒺	蒺	ziəʔ8	~藜	鄉音字類			
耤	耤	ziəʔ8	古代天子親耕的田地	鄉音字類			
籍	籍	ziəʔ8	書~。《蘇州同音字彙1892》中的記音爲[ʣ]聲母	鄉音字類			
藉	藉	ziəʔ8	狼~	鄉音字類			
簎	簎	ziəʔ8	打	鄉音字類			
吉	吉	ʨiəʔ7	老卵~夾：老卵。罵自以爲什麼都懂的人	鄉音字類			
拮	拮	ʨiəʔ7	~据	鄉音字類			
蛣	蛣	ʨiəʔ7	~蜣	鄉音字類			
結	结	ʨiəʔ7	眼烏珠~出：凸出	鄉音字類			
桔	桔	ʨiəʔ7	~梗	鄉音字類			
袺	袺	ʨiəʔ7	把衣襟向上提起，用以兜攬東西	鄉音字類			
甲	甲	ʨiəʔ7	甲	蘇州同音常用字彙			
絜	絜	ʨiəʔ7	《韻補》：叶訖立切，音急。《揚雄·長楊賦》：今樂遠出以露威靈，數動搖以疲車甲。叶上德	鄉音字類			
潔	洁	ʨiəʔ7	~白	鄉音字類			
詰	诘	ʨiəʔ7	~問	鄉音字類			
劼	劼	ʨiəʔ7	①愼重，謹愼。②穩固。③努力，勤勉	鄉音字類			
佶	佶	ʨiəʔ7	①健壯。②~屈聱牙：形容文句艱澀，讀起來不順口。佶屈，曲折不順。聱牙，拗口	鄉音字類			
姞	姞	ʨiəʔ7	姓	鄉音字類			
硈	硈	ʨiəʔ7	①石堅。②奔突	鄉音字類			
黠	黠	ʨiəʔ7	一般讀[ɦaʔ²³]（白）或[ɦiaʔ²³]（文）。但此處應爲叶古屑切。如《仲長統·覈性賦》：蠢爾一槩，智不相絕。推此而談，孰癡孰黠	鄉音字類			
䕸	秸	ʨiəʔ7	同“秸”	鄉音字類			
碣	碣	ʨiəʔ7	理論應讀[ʥiəʔ²³]：①刻有文字的圓形石碑，用以記載事跡或頌揚功德等。②特立，突出	鄉音字類			
朅	朅	ʨiəʔ7	理論應讀[ʨʰiəʔ⁴]：①離去：富貴弗就，而貧賤弗~。②威武健壯：庶姜孽孽，庶士有~。③爲何，如何：~徘徊而近遊。④發語詞，無義：疑是花神，~來人世	鄉音字類			
猲	猲	ʨiəʔ7	《集韻》：居謁切	鄉音字類			
羯	羯	ʨiəʔ7	①被閹割過的羊。②中國古代西北的民族之一。爲匈奴的別支。魏晉時約分布於今山西潞城附近各縣。也稱爲“羯胡”。	鄉音字類			
