音标	调类	调值	
dou	3	31	土吐1（～痰）肚
dou	5	212	兔吐2（呕～）透秃
dou	6	33	杜度渡镀踱
dou	7	5	突独读牍犊毒
nou	1	24	搂
nou	2	323	奴炉芦鸬庐
nou	3	31	努鲁橹虏卤缕
nou	6	33	怒路露鹭
nou	7	5	鹿禄六陆绿（文）录
ʦou	1	24	租
ʦou	3	31	祖组阻
ʦou	5	212	做奏（文）绉
ʦou	7	5	足卒（文）
dzou	1	24	粗初
dzou	2	323	鋤愁
dzou	3	31	褚（白）楚础
dzou	5	212	醋措错2凑（文）
dzou	6	33	助骤
dzou	7	5	族逐1促
sou	1	24	苏酥梳疏蔬搜飕
sou	3	31	数1（动词）叟
sou	5	212	素诉嗉数2（名词）嗽瘦（文）漱
sou	7	5	续肃宿缩俗续赎速
tʂou	1	24	周舟州洲
tʂou	3	31	肘帚
tʂou	5	212	昼咒
tʂou	6	33	轴（文）
tʂou	7	5	竹筑轴（白）祝粥烛嘱
dʐou	1	24	抽
dʐou	2	323	绸稠仇筹酬
dʐou	3	31	丑
dʐou	5	212	臭
dʐou	6	33	纣宙
dʐou	7	5	畜1逐2触束（结～）
ʂou	1	24	收
ʂou	3	31	手首守
ʂou	5	212	兽
ʂou	6	33	受寿授售
ʂou	7	5	叔熟淑蜀属
ɳou	2	323	柔揉
ɳou	7	5	肉辱褥
kou	1	24	勾（文）
kou	5	212	够构（文）
hou	3	31	吼
tiou	1	24	丢
diou	1	24	溜
diou	2	323	流刘浏留榴1(手～弹)琉馏
diou	3	31	榴2(石～)柳
diou	7	5	绿(白)
ʨiou	1	24	揫□(梳个～儿)鸠阄纠（～缠）纠（～正)
ʨiou	3	31	酒九久韭灸
ʨiou	5	212	救究𣪘（拧、扭）
ʨiou	7	5	菊掬
dʑiou	1	24	鳅秋丘邱
dʑiou	2	323	囚泅求球俅
dʑiou	6	33	就舅臼咎旧柩袖
dʑiou	7	5	曲（酒～）曲（～折）局
ȵiou	1	24	妞
ȵiou	2	323	牛
ȵiou	3	31	纽扭
ȵiou	6	33	谬
ȵiou	7	5	狱
ɕiou	1	24	修羞休
ɕiou	3	31	朽
ɕiou	5	212	秀绣锈嗅
ɕiou	7	5	畜2（～牧）蓄粟
iou	1	24	忧优悠幽
iou	2	323	尤邮由油游犹
iou	3	31	有友酉莠
iou	5	212	诱幼
iou	6	33	又右佑柚釉
iou	7	5	郁育欲浴
pan	1	24	班斑颁扳
pan	3	31	板版□(往地上扔）
pan	5	212	扮□(～谷：给稻子脱粒)
ban	1	24	攀□(撵，追)
ban	5	212	盼襻(纽～)绊
ban	6	33	瓣办□（～事：故意）
man	2	323	蛮
man	6	33	慢幔
fan	1	24	翻番
fan	2	323	还环（文 ～境）藩烦矾繁凡帆
fan	3	31	反返
fan	5	212	泛贩畈（平田、低地）
fan	6	33	范犯幻患宦饭
tan	1	24	耽担单1丹
tan	3	31	胆
tan	5	212	担旦
dan	1	24	贪坍滩摊瘫
dan	2	323	潭谭痰谈檀坛弹
dan	3	31	毯坦诞
dan	5	212	探炭叹
dan	6	33	淡但弹蛋
nan	2	323	南男蓝篮难兰拦栏
nan	3	31	览揽榄缆懒□（牛～子：小牛）
nan	6	33	滥难烂
ʦan	3	31	崭斩盏攒
ʦan	5	212	站蘸栈赞1
dzan	1	24	餐搀参1（～军）
dzan	2	323	残馋蚕惭谗□(口水）
dzan	3	31	铲产惨□（门～：门坎）
dzan	5	212	灿
dzan	6	33	錾暂赚□（溅）
san	1	24	珊山三衫删
san	3	31	散1伞
san	5	212	散2疝
kan	1	24	尴监（白）艰间
kan	3	31	减拣
gan	1	24	堪勘嵌刊龛
gan	3	31	坎砍槛恳垦□（咳嗽）
ŋan	1	24	淹
ŋan	3	31	眼
ŋan	5	212	晏
ŋan	6	33	雁（白）
han	1	24	憨酣
han	2	323	含函咸(～阳)咸(～菜)衔闲
han	3	31	喊憾罕1
han	5	212	撼陷限
ʨian	1	24	监（文）奸
ʨian	3	31	碱简柬锏涧
ʨian	5	212	舰间（文 ～苗）谏
ian	2	323	颜
ian	6	33	雁（文）
kuan	1	24	鳏关
kuan	5	212	惯
guan	3	31	环灌(文 ～溉）
uan	1	24	湾弯
uan	2	323	顽玩
uan	3	31	晚挽
uan	6	33	万蔓
pœn	1	24	般搬
pœn	5	212	半
bœn	1	24	潘
bœn	2	323	盤
bœn	3	31	判叛
bœn	6	33	伴拌
mœn	2	323	馒瞒
mœn	3	31	满
mœn	6	33	漫
tœn	1	24	登灯端
tœn	3	31	等（白）戥1短
tœn	5	212	凳蹬断
dœn	1	24	吞
dœn	2	323	腾誊藤团糰
dœn	6	33	邓锻断塅段缎
nœn	2	323	能□（捻）鸾
nœn	3	31	卵（白）暖
nœn	6	33	乱
ʦœn	1	24	曾1（姓氏）增争（文）钻1簪罾臻
ʦœn	3	31	纂
ʦœn	5	212	钻2赞2
dzœn	1	24	氽
dzœn	2	323	曾2（～经）层
dzœn	5	212	篡窜
dzœn	6	33	赠
sœn	1	24	甥笙牲僧生（文）拴闩酸森参2
sœn	5	212	蒜算
tʂœn	1	24	毡瞻詹占1（～卜）沾粘
