繁体	简体	聲韻	聲調	注釋
催	催	tsʰøy	44|陰平	
充	充	tsʰyŋ	44|陰平	
初	初	tsʰu	44|陰平	異讀[tsʰ][œ/u][44]
初	初	tsʰœ	44|陰平	異讀[tsʰ][œ/u][44]
千	千	tsʰɛŋ	44|陰平	
叉	叉	tsʰa	44|陰平	
吹	吹	tsʰøy	44|陰平	
奢	奢	tsʰie	44|陰平	
妻	妻	tsʰœ	44|陰平	
岔	岔	tsʰa	44|陰平	
崔	崔	tsʰøy	44|陰平	
川	川	tsʰɔŋ	44|陰平	
差	差	tsʰa	44|陰平	
抄	抄	tsʰau	44|陰平	
搓	搓	tsʰɔ	44|陰平	
摧	摧	tsʰøy	44|陰平	
操	操	tsʰau	44|陰平	
昌	昌	tsʰɔŋ	44|陰平	
春	春	tsʰuŋ	44|陰平	
杈	杈	tsʰa	44|陰平	
村	村	tsʰɔŋ	44|陰平	
棲	栖	tsʰœ	44|陰平	
槍	枪	tsʰɔŋ	44|陰平	
樘	樘	tsʰɛŋ	44|陰平	異讀[tʰ/tsʰ][aŋ/ɛŋ][44]
橕	橕	tsʰɛŋ	44|陰平	異讀[tʰ/tsʰ][aŋ/ɛŋ][44]
殲	歼	tsʰɛŋ	44|陰平	
沖	冲	tsʰyŋ	44|陰平	
淒	凄	tsʰœ	44|陰平	
深	深	tsʰim	44|陰平	
清	清	tsʰiŋ	44|陰平	
炊	炊	tsʰøy	44|陰平	
猜	猜	tsʰai	44|陰平	
瘡	疮	tsʰɔŋ	44|陰平	
癡	痴	tsʰi	44|陰平	
秋	秋	tsʰiu	44|陰平	
稱	称	tsʰiŋ	44|陰平	稱呼
穿	穿	tsʰɔŋ	44|陰平	
窗	窗	tsʰɔŋ	44|陰平	
箋	笺	tsʰɛŋ	44|陰平	
粗	粗	tsʰu	44|陰平	
綏	绥	tsʰui	44|陰平	
纖	纤	tsʰɛŋ	44|陰平	
聦	聦	tsʰuŋ	44|陰平	
聰	聪	tsʰuŋ	44|陰平	
腮	腮	tsʰi	44|陰平	異讀[s/tsʰ][ai/i][44]
臊	臊	tsʰɔ	44|陰平	腥味
舒	舒	tsʰy	44|陰平	異讀[s/tsʰ][y][44]單字讀，舒床
蔥	葱	tsʰuŋ	44|陰平	異讀[tsʰ][œŋ/uŋ][44]
蔥	葱	tsʰœŋ	44|陰平	異讀[tsʰ][œŋ/uŋ][44]
親	亲	tsʰiŋ	44|陰平	
趨	趋	tsʰy	44|陰平	
遷	迁	tsʰɛŋ	44|陰平	
釵	钗	tsʰai	44|陰平	
鈔	钞	tsʰau	44|陰平	
鍫	锹	tsʰiu	44|陰平	異讀[tsʰ][iu/iɐu][44]
鍫	锹	tsʰiɐu	44|陰平	異讀[tsʰ][iu/iɐu][44]
雌	雌	tsʰi	44|陰平	
雛	雏	tsʰy	44|陰平	
青	青	tsʰaŋ	44|陰平	異讀[tsʰ][aŋ/iŋ][44]
青	青	tsʰiŋ	44|陰平	異讀[tsʰ][aŋ/iŋ][44]
顋	顋	tsʰi	44|陰平	異讀[s/tsʰ][ai/i][44]
餐	餐	tsʰaŋ	44|陰平	
鮮	鲜	tsʰɛŋ	44|陰平	
三	三	sam	44|陰平	
仙	仙	sɛŋ	44|陰平	
伸	伸	siŋ	44|陰平	
修	修	siu	44|陰平	
傷	伤	sɔŋ	44|陰平	
傻	傻	sa	44|陰平	
先	先	siŋ	44|陰平	異讀[s][iŋ/ɛŋ][44]
先	先	sɛŋ	44|陰平	異讀[s][iŋ/ɛŋ][44]
刪	删	saŋ	44|陰平	
升	升	siŋ	44|陰平	
參	参	sɛm	44|陰平	
司	司	si	44|陰平	
唆	唆	sɔ	44|陰平	
商	商	sɔŋ	44|陰平	
喧	喧	sɔŋ	44|陰平	
娑	娑	sɔ	44|陰平	
孫	孙	sœŋ	44|陰平	
宵	宵	siɐu	44|陰平	
屍	尸	si	44|陰平	
山	山	saŋ	44|陰平	
嵩	嵩	suŋ	44|陰平	
師	师	sai	44|陰平	異讀[s][ai/u][44]
師	师	su	44|陰平	異讀[s][ai/u][44]
廂	厢	sɔŋ	44|陰平	
心	心	sim	44|陰平	
捎	捎	sau	44|陰平	
搜	搜	siɐu	44|陰平	
收	收	siu	44|陰平	
斯	斯	su	44|陰平	
新	新	siŋ	44|陰平	
施	施	sie	44|陰平	異讀[s][ie/i][44]姓，單字讀
施	施	si	44|陰平	異讀[s][ie/i][44]姓，單字讀
星	星	siŋ	44|陰平	
書	书	sy	44|陰平	異讀[s/ts][y][44]
杉	杉	sam	44|陰平	
松	松	suŋ	44|陰平	異讀[s][øŋ/uŋ][22/44]松果，單字讀
桑	桑	sɔŋ	44|陰平	
梢	梢	siɐu	44|陰平	
梭	梭	sɔ	44|陰平	
梳	梳	sœ	44|陰平	
森	森	sɛm	44|陰平	
槽	槽	sɔ	44|陰平	異讀[s/ts][ɔ][44/22]
沙	沙	sa	44|陰平	異讀[s][uo/a][44]
沙	沙	suo	44|陰平	異讀[s][uo/a][44]
消	消	siɐu	44|陰平	
燒	烧	siɐu	44|陰平	
牲	牲	sɛŋ	44|陰平	
犀	犀	sɛ	44|陰平	
獅	狮	sai	44|陰平	
生	生	saŋ	44|陰平	異讀[s][aŋ/ɛŋ][44]
生	生	sɛŋ	44|陰平	異讀[s][aŋ/ɛŋ][44]
甥	甥	sɛŋ	44|陰平	
申	申	siŋ	44|陰平	
疎	疎	su	44|陰平	異讀[s][œ/u][44]
疎	疎	sœ	44|陰平	異讀[s][œ/u][44]
疏	疏	su	44|陰平	異讀[s][œ/u][44]
疏	疏	sœ	44|陰平	異讀[s][œ/u][44]
相	相	sɔŋ	44|陰平	
硝	硝	siɐu	44|陰平	
私	私	sai	44|陰平	異讀[s][ai/u][44]
私	私	su	44|陰平	異讀[s][ai/u][44]
箱	箱	sɔŋ	44|陰平	
簫	箫	siɐu	44|陰平	
紗	纱	sa	44|陰平	
絲	丝	si	44|陰平	
羞	羞	siu	44|陰平	
聲	声	saŋ	44|陰平	異讀[s][aŋ/iŋ][44]
聲	声	siŋ	44|陰平	異讀[s][aŋ/iŋ][44]
胥	胥	sy	44|陰平	
腥	腥	siŋ	44|陰平	異讀[s][ɛŋ/iŋ][44]
腥	腥	sɛŋ	44|陰平	異讀[s][ɛŋ/iŋ][44]
腮	腮	sai	44|陰平	異讀[s/tsʰ][ai/i][44]
舒	舒	sy	44|陰平	異讀[s/tsʰ][y][44]單字讀，舒床
蔬	蔬	su	44|陰平	
蕭	萧	siɐu	44|陰平	
蘇	苏	su	44|陰平	
衫	衫	sam	44|陰平	
衰	衰	søy	44|陰平	
西	西	sɛ	44|陰平	
訕	讪	saŋ	44|陰平	
詩	诗	si	44|陰平	
賒	赊	sie	44|陰平	
賖	賖	sie	44|陰平	
身	身	siŋ	44|陰平	
輸	输	su	44|陰平	異讀[s][u/y][44]運輸，單字讀
輸	输	sy	44|陰平	異讀[s][u/y][44]運輸，單字讀
辛	辛	siŋ	44|陰平	
酥	酥	su	44|陰平	
酸	酸	sœŋ	44|陰平	
銷	销	siɐu	44|陰平	
雖	虽	sui	44|陰平	
雙	双	sœŋ	44|陰平	
需	需	sy	44|陰平	
霄	霄	siɐu	44|陰平	
霜	霜	sɔŋ	44|陰平	
須	须	siu	44|陰平	異讀[s][iu/y][44]鬍鬚，喙鬚
須	须	sy	44|陰平	異讀[s][iu/y][44]鬍鬚，喙鬚
須	须	sy	44|陰平	
顋	顋	sai	44|陰平	異讀[s/tsʰ][ai/i][44]
颼	飕	siɐu	44|陰平	
騷	骚	sɔ	44|陰平	
鰓	鳃	sai	44|陰平	
休	休	xiu	44|陰平	
兄	兄	xiaŋ	44|陰平	異讀[x][iaŋ/iŋ][44]
兄	兄	xiŋ	44|陰平	異讀[x][iaŋ/iŋ][44]
凶	凶	xyŋ	44|陰平	
分	分	xuŋ	44|陰平	異讀[p/x][ɔŋ/uŋ][44]
勛	勋	xyŋ	44|陰平	
勳	勋	xyŋ	44|陰平	
呼	呼	xu	44|陰平	異讀[kʰ/x][u][44]文讀，呼雞
哈	哈	xa	44|陰平	
嘻	嘻	xi	44|陰平	
噓	嘘	xy	44|陰平	
嚻	嚣	xiɐu	44|陰平	
囂	嚣	xiɐu	44|陰平	
坊	坊	xɔŋ	44|陰平	
夫	夫	xu	44|陰平	異讀[p/x][u][44]文讀，丈夫
妃	妃	xi	44|陰平	
姬	姬	xi	44|陰平	
婚	婚	xɔŋ	44|陰平	
嬉	嬉	xi	44|陰平	
孵	孵	xu	44|陰平	
封	封	xuŋ	44|陰平	
希	希	xi	44|陰平	
徽	徽	xui	44|陰平	
恢	恢	xøy	44|陰平	
掀	掀	xyŋ	44|陰平	異讀[x][iaŋ/yŋ][42/44]
揮	挥	xui	44|陰平	
敷	敷	xu	44|陰平	
方	方	xɔŋ	44|陰平	
昏	昏	xɔŋ	44|陰平	
欣	欣	xyŋ	44|陰平	
歡	欢	xuaŋ	44|陰平	
灰	灰	xu	44|陰平	異讀[x][u/øy][44]
灰	灰	xøy	44|陰平	異讀[x][u/øy][44]
烹	烹	xɛŋ	44|陰平	
熏	熏	xyŋ	44|陰平	
熙	熙	xi	44|陰平	
犧	牺	xi	44|陰平	
禧	禧	xi	44|陰平	
稀	稀	xi	44|陰平	
吁	吁	xy	44|陰平	
紛	纷	xuŋ	44|陰平	
肪	肪	xɔŋ	44|陰平	
胷	胷	xyŋ	44|陰平	
胸	胸	xyŋ	44|陰平	
膚	肤	xu	44|陰平	
興	兴	xiŋ	44|陰平	興旺
花	花	xuo	44|陰平	
芳	芳	xɔŋ	44|陰平	
荒	荒	xɔŋ	44|陰平	
薅	薅	xau	44|陰平	
薰	熏	xyŋ	44|陰平	異讀[x][ɔŋ/yŋ][44]單字讀，煙
薰	熏	xɔŋ	44|陰平	異讀[x][ɔŋ/yŋ][44]單字讀，煙
虛	虚	xy	44|陰平	
蚶	蚶	xam	44|陰平	
詼	诙	xøy	44|陰平	
諷	讽	xuŋ	44|陰平	
軒	轩	xyøŋ	44|陰平	
輝	辉	xui	44|陰平	
轟	轰	xuŋ	44|陰平	
邯	邯	xam	44|陰平	
鄉	乡	xyøŋ	44|陰平	
酣	酣	xam	44|陰平	
風	风	xuŋ	44|陰平	
香	香	xyøŋ	44|陰平	
麩	麸	xu	44|陰平	
拈	拈	nɛm	44|陰平	拿
枝	枝	ŋi	44|陰平	異讀[ŋ/ts][i][44]
椏	桠	ŋa	44|陰平	樹枝分叉
拉	拉	la	44|陰平	
拎	拎	liŋ	44|陰平	
撈	捞	lau	44|陰平	異讀[l][œ/au][42/44]單字讀，撈邊
丫	丫	a	44|陰平	
么	么	iɐu	44|陰平	
伊	伊	i	44|陰平	
依	依	i	44|陰平	
倚	倚	i	44|陰平	異讀[0][ai/i][42/44]
優	优	iu	44|陰平	
冤	冤	ɔŋ	44|陰平	
咽	咽	iŋ	44|陰平	
哀	哀	ai	44|陰平	
因	因	iŋ	44|陰平	
坳	坳	au	44|陰平	
埃	埃	ai	44|陰平	
夭	夭	iɐu	44|陰平	
央	央	yøŋ	44|陰平	
妖	妖	iɐu	44|陰平	
姻	姻	iŋ	44|陰平	
威	威	ui	44|陰平	
娃	娃	uo	44|陰平	
安	安	aŋ	44|陰平	
庵	庵	am	44|陰平	
彎	弯	uaŋ	44|陰平	
恩	恩	ɛŋ	44|陰平	
憂	忧	iu	44|陰平	
應	应	iŋ	44|陰平	應當
掩	掩	ɛm	44|陰平	
擁	拥	yŋ	44|陰平	
暈	晕	ɔŋ	44|陰平	
曰	曰	ua	44|陰平	
殃	殃	yøŋ	44|陰平	
殷	殷	yŋ	44|陰平	
毆	殴	iɐu	44|陰平	
汙	污	u	44|陰平	
汪	汪	ɔŋ	44|陰平	
淤	淤	y	44|陰平	
淵	渊	yøŋ	44|陰平	
淹	淹	ɛm	44|陰平	
溫	温	uŋ	44|陰平	
烏	乌	u	44|陰平	
煙	烟	iŋ	44|陰平	異讀[0][iŋ/ɛŋ][44]
煙	烟	ɛŋ	44|陰平	異讀[0][iŋ/ɛŋ][44]
煨	煨	ui	44|陰平	
瑛	瑛	iŋ	44|陰平	
甌	瓯	au	44|陰平	茶杯
盂	盂	y	44|陰平	
秧	秧	yøŋ	44|陰平	異讀[0][ɔŋ/yøŋ][44]
秧	秧	ɔŋ	44|陰平	異讀[0][ɔŋ/yøŋ][44]
窩	窝	uo	44|陰平	
窪	洼	uo	44|陰平	
纓	缨	ɛŋ	44|陰平	
翁	翁	uŋ	44|陰平	異讀[0][œŋ/uŋ][44]
翁	翁	œŋ	44|陰平	異讀[0][œŋ/uŋ][44]
腰	腰	iɐu	44|陰平	
英	英	iŋ	44|陰平	
茵	茵	iŋ	44|陰平	
蔫	蔫	yøŋ	44|陰平	不新鮮
蔭	荫	im	44|陰平	異讀[0][im/em][44/35]
衣	衣	i	44|陰平	
要	要	iɐu	44|陰平	要求
諳	谙	am	44|陰平	
阿	阿	a	44|陰平	異讀[0][a/ɔ][44]阿膠，單字讀
阿	阿	ɔ	44|陰平	異讀[0][a/ɔ][44]阿膠，單字讀
陰	阴	im	44|陰平	
雍	雍	yŋ	44|陰平	
鞌	鞌	aŋ	44|陰平	
鞍	鞍	aŋ	44|陰平	
音	音	im	44|陰平	
鴉	鸦	a	44|陰平	
鶯	莺	ɛŋ	44|陰平	
鷹	鹰	iŋ	44|陰平	
鸚	鹦	ɛŋ	44|陰平	
倍	倍	pui	332|陽去	
備	备	pei	332|陽去	
吠	吠	pui	332|陽去	異讀[p/x][ui/i][332/35]
婢	婢	pei	332|陽去	
幣	币	pei	332|陽去	
弊	弊	pei	332|陽去	
彼	彼	pei	332|陽去	
敗	败	pai	332|陽去	
敝	敝	pei	332|陽去	
斃	毙	pei	332|陽去	
汴	汴	piŋ	332|陽去	
病	病	paŋ	332|陽去	異讀[p][aŋ/eŋ][332]
病	病	peŋ	332|陽去	異讀[p][aŋ/eŋ][332]
絆	绊	puoŋ	332|陽去	
腐	腐	pou	332|陽去	異讀[p/x][ou][332]
辦	办	pɛŋ	332|陽去	
辨	辨	piŋ	332|陽去	
辮	辫	piŋ	332|陽去	
辯	辩	piŋ	332|陽去	
伴	伴	pʰuoŋ	332|陽去	
叛	叛	pʰuoŋ	332|陽去	
磅	磅	pʰɔŋ	332|陽去	
蚌	蚌	pʰɔŋ	332|陽去	
被	被	pʰui	332|陽去	棉被
丈	丈	tyŋ	332|陽去	異讀[t][ɔŋ/øŋ/yŋ][332]姑丈，單字讀，丈儂：岳父
丈	丈	tøŋ	332|陽去	異讀[t][ɔŋ/øŋ/yŋ][332]姑丈，單字讀，丈儂：岳父
丈	丈	tɔŋ	332|陽去	異讀[t][ɔŋ/øŋ/yŋ][332]姑丈，單字讀，丈儂：岳父
代	代	tai	332|陽去	異讀[t][ɔi/ai][332]
代	代	tɔi	332|陽去	異讀[t][ɔi/ai][332]
住	住	teu	332|陽去	異讀[t/ts][eu/øy][332/42]
傳	传	tuŋ	332|陽去	傳記
兆	兆	tiu	332|陽去	
兌	兑	tɔi	332|陽去	
動	动	toŋ	332|陽去	異讀[t][œŋ/oŋ][332]
動	动	tœŋ	332|陽去	異讀[t][œŋ/oŋ][332]
召	召	tiu	332|陽去	
地	地	tei	332|陽去	
墜	坠	toi	332|陽去	
大	大	tai	332|陽去	
宙	宙	teu	332|陽去	
定	定	teŋ	332|陽去	異讀[t][iɛŋ/eŋ][332]
定	定	tiɛŋ	332|陽去	異讀[t][iɛŋ/eŋ][332]
度	度	tou	332|陽去	
彈	弹	taŋ	332|陽去	子彈
待	待	tai	332|陽去	
怠	怠	tai	332|陽去	
憚	惮	taŋ	332|陽去	
朕	朕	tiɛŋ	332|陽去	
杜	杜	tou	332|陽去	
段	段	tɔŋ	332|陽去	
殿	殿	tɛm	332|陽去	
沌	沌	toŋ	332|陽去	
洞	洞	toŋ	332|陽去	異讀[t][œŋ/oŋ][332]
洞	洞	tœŋ	332|陽去	異讀[t][œŋ/oŋ][332]
渡	渡	tou	332|陽去	
痔	痔	tei	332|陽去	
稚	稚	tei	332|陽去	
紂	纣	tiu	332|陽去	
綻	绽	tiɛŋ	332|陽去	
緞	缎	tɔŋ	332|陽去	
肇	肇	tiu	332|陽去	
肈	肈	tiu	332|陽去	
肚	肚	tou	332|陽去	魚肚
脰	脰	tau	332|陽去	
舵	舵	tuo	332|陽去	
蕩	荡	tɔŋ	332|陽去	
袋	袋	tɔi	332|陽去	
誕	诞	taŋ	332|陽去	
豆	豆	tau	332|陽去	黃豆
貸	贷	tai	332|陽去	
趙	赵	tiu	332|陽去	
逗	逗	tɛu	332|陽去	
鄧	邓	tɛŋ	332|陽去	
鄭	郑	taŋ	332|陽去	
重	重	tœŋ	332|陽去	輕重
鋌	铤	tiɛŋ	332|陽去	
錠	锭	tiɛŋ	332|陽去	
鐙	镫	tɛŋ	332|陽去	
陣	阵	teŋ	332|陽去	
隊	队	toi	332|陽去	
雉	雉	tei	332|陽去	
電	电	tiŋ	332|陽去	
仗	仗	tʰyŋ	332|陽去	
杖	杖	tʰyŋ	332|陽去	
柱	柱	tʰeu	332|陽去	異讀[tʰ/ts][eu/øy][332/42]
件	件	kyŋ	332|陽去	
倦	倦	kuŋ	332|陽去	
健	健	kyŋ	332|陽去	
儉	俭	kim	332|陽去	
共	共	køŋ	332|陽去	
厚	厚	kau	332|陽去	異讀[k/x][au/ɛu][332]
妓	妓	kei	332|陽去	
忌	忌	kei	332|陽去	
技	技	kei	332|陽去	
櫃	柜	koi	332|陽去	
汗	汗	kaŋ	332|陽去	
潰	溃	koi	332|陽去	
窘	窘	kuŋ	332|陽去	
競	竞	keŋ	332|陽去	
舅	舅	keu	332|陽去	異讀[k][ou/eu][332]
舅	舅	kou	332|陽去	異讀[k][ou/eu][332]
舊	旧	keu	332|陽去	異讀[k][ou/eu][332]
舊	旧	kou	332|陽去	異讀[k][ou/eu][332]
近	近	køŋ	332|陽去	
郡	郡	koŋ	332|陽去	
咎	咎	kʰeu	332|陽去	
徛	徛	kʰie	332|陽去	站立
柿	柿	kʰei	332|陽去	
臼	臼	kʰeu	332|陽去	異讀[kʰ][ou/eu][332]
臼	臼	kʰou	332|陽去	異讀[kʰ][ou/eu][332]
在	在	tsai	332|陽去	
字	字	tsei	332|陽去	
寨	寨	tsai	332|陽去	
就	就	tseu	332|陽去	
撰	撰	tsuoŋ	332|陽去	
暫	暂	tsam	332|陽去	
淨	净	tseŋ	332|陽去	異讀[ts][iɛŋ/eŋ][332]
淨	净	tsiɛŋ	332|陽去	異讀[ts][iɛŋ/eŋ][332]
漸	渐	tsim	332|陽去	異讀[ts][iŋ/im][332]
漸	渐	tsiŋ	332|陽去	異讀[ts][iŋ/im][332]
狀	状	tsɔŋ	332|陽去	
瘁	瘁	tsoi	332|陽去	
盡	尽	tseŋ	332|陽去	
站	站	tsam	332|陽去	
粹	粹	tsoi	332|陽去	
罪	罪	tsɔi	332|陽去	
自	自	tsou	332|陽去	
藉	藉	tsie	332|陽去	憑藉
賤	贱	tsiŋ	332|陽去	
贅	赘	tsoi	332|陽去	
贈	赠	tsɛŋ	332|陽去	
靖	靖	tseŋ	332|陽去	
靜	静	tseŋ	332|陽去	
驟	骤	tsɛu	332|陽去	
侵	侵	tsʰim	44|陰平	
倉	仓	tsʰɔŋ	44|陰平	
催	催	tsʰøy	44|陰平	
充	充	tsʰyŋ	44|陰平	
初	初	tsʰu	44|陰平	異讀[tsʰ][œ/u][44]
初	初	tsʰœ	44|陰平	異讀[tsʰ][œ/u][44]
千	千	tsʰɛŋ	44|陰平	
叉	叉	tsʰa	44|陰平	
吹	吹	tsʰøy	44|陰平	
奢	奢	tsʰie	44|陰平	
妻	妻	tsʰœ	44|陰平	
岔	岔	tsʰa	44|陰平	
崔	崔	tsʰøy	44|陰平	
川	川	tsʰɔŋ	44|陰平	
差	差	tsʰa	44|陰平	
抄	抄	tsʰau	44|陰平	
搓	搓	tsʰɔ	44|陰平	
摧	摧	tsʰøy	44|陰平	
操	操	tsʰau	44|陰平	
昌	昌	tsʰɔŋ	44|陰平	
春	春	tsʰuŋ	44|陰平	
杈	杈	tsʰa	44|陰平	
村	村	tsʰɔŋ	44|陰平	
棲	栖	tsʰœ	44|陰平	
槍	枪	tsʰɔŋ	44|陰平	
樘	樘	tsʰɛŋ	44|陰平	異讀[tʰ/tsʰ][aŋ/ɛŋ][44]
橕	橕	tsʰɛŋ	44|陰平	異讀[tʰ/tsʰ][aŋ/ɛŋ][44]
殲	歼	tsʰɛŋ	44|陰平	
沖	冲	tsʰyŋ	44|陰平	
淒	凄	tsʰœ	44|陰平	
深	深	tsʰim	44|陰平	
清	清	tsʰiŋ	44|陰平	
炊	炊	tsʰøy	44|陰平	
猜	猜	tsʰai	44|陰平	
瘡	疮	tsʰɔŋ	44|陰平	
癡	痴	tsʰi	44|陰平	
秋	秋	tsʰiu	44|陰平	
稱	称	tsʰiŋ	44|陰平	稱呼
穿	穿	tsʰɔŋ	44|陰平	
窗	窗	tsʰɔŋ	44|陰平	
箋	笺	tsʰɛŋ	44|陰平	
粗	粗	tsʰu	44|陰平	
綏	绥	tsʰui	44|陰平	
纖	纤	tsʰɛŋ	44|陰平	
聦	聦	tsʰuŋ	44|陰平	
聰	聪	tsʰuŋ	44|陰平	
腮	腮	tsʰi	44|陰平	異讀[s/tsʰ][ai/i][44]
臊	臊	tsʰɔ	44|陰平	腥味
舒	舒	tsʰy	44|陰平	異讀[s/tsʰ][y][44]單字讀，舒床
蔥	葱	tsʰuŋ	44|陰平	異讀[tsʰ][œŋ/uŋ][44]
蔥	葱	tsʰœŋ	44|陰平	異讀[tsʰ][œŋ/uŋ][44]
親	亲	tsʰiŋ	44|陰平	
趨	趋	tsʰy	44|陰平	
遷	迁	tsʰɛŋ	44|陰平	
釵	钗	tsʰai	44|陰平	
鈔	钞	tsʰau	44|陰平	
鍫	锹	tsʰiu	44|陰平	異讀[tsʰ][iu/iɐu][44]
鍫	锹	tsʰiɐu	44|陰平	異讀[tsʰ][iu/iɐu][44]
雌	雌	tsʰi	44|陰平	
雛	雏	tsʰy	44|陰平	
青	青	tsʰaŋ	44|陰平	異讀[tsʰ][aŋ/iŋ][44]
青	青	tsʰiŋ	44|陰平	異讀[tsʰ][aŋ/iŋ][44]
顋	顋	tsʰi	44|陰平	異讀[s/tsʰ][ai/i][44]
餐	餐	tsʰaŋ	44|陰平	
鮮	鲜	tsʰɛŋ	44|陰平	
上	上	syŋ	332|陽去	
事	事	sou	332|陽去	
仕	仕	sou	332|陽去	
似	似	sou	332|陽去	
侍	侍	sei	332|陽去	
俟	俟	sou	332|陽去	
剩	剩	seŋ	332|陽去	
受	受	seu	332|陽去	
吮	吮	suŋ	332|陽去	
善	善	siŋ	332|陽去	
坐	坐	sɔi	332|陽去	異讀[s/ts][ɔi/ɔ][332/42]
士	士	sou	332|陽去	
寺	寺	sei	332|陽去	
射	射	sie	332|陽去	
尚	尚	syŋ	332|陽去	
巳	巳	sou	332|陽去	
慎	慎	sem	332|陽去	
授	授	seu	332|陽去	
擅	擅	siŋ	332|陽去	
是	是	sei	332|陽去	
氏	氏	sei	332|陽去	
瑞	瑞	soi	332|陽去	
甚	甚	sem	332|陽去	
癢	痒	syŋ	332|陽去	
示	示	sei	332|陽去	
社	社	sie	332|陽去	
祀	祀	sou	332|陽去	
腎	肾	sem	332|陽去	
膳	膳	siŋ	332|陽去	
袖	袖	seu	332|陽去	
誦	诵	søŋ	332|陽去	
謝	谢	sie	332|陽去	
遂	遂	soi	332|陽去	異讀[s/tsʰ][oi/øy][332/35]文讀，尋找
順	顺	soŋ	332|陽去	
鱓	鳝	siŋ	332|陽去	異讀[s/tsʰ][iŋ/iɛŋ][332]
鱔	鳝	siŋ	332|陽去	異讀[s/tsʰ][iŋ/iɛŋ][332]
互	互	xou	332|陽去	
亥	亥	xai	332|陽去	
俸	俸	xoŋ	332|陽去	
候	候	xɛu	332|陽去	
厚	厚	xɛu	332|陽去	異讀[k/x][au/ɛu][332]
奉	奉	xoŋ	332|陽去	
婦	妇	xou	332|陽去	
宦	宦	xuoŋ	332|陽去	
害	害	xai	332|陽去	
幸	幸	xɛŋ	332|陽去	
幻	幻	xuoŋ	332|陽去	
後	后	xɛu	332|陽去	異讀[0/x][au/ɛu][332]
患	患	xuoŋ	332|陽去	
戶	户	xou	332|陽去	
戸	戸	xou	332|陽去	
撼	撼	xam	332|陽去	
效	效	xau	332|陽去	
會	会	xui	332|陽去	
杏	杏	xɛŋ	332|陽去	
械	械	xai	332|陽去	
混	混	xɔŋ	332|陽去	
滬	沪	xou	332|陽去	
父	父	xou	332|陽去	
現	现	xiŋ	332|陽去	
緩	缓	xuoŋ	332|陽去	
腐	腐	xou	332|陽去	異讀[p/x][ou][332]
護	护	xou	332|陽去	
負	负	xou	332|陽去	
遠	远	xuŋ	332|陽去	異讀[0/x][ɔŋ/uŋ][42/332]
阜	阜	xou	332|陽去	
附	附	xou	332|陽去	
陷	陷	xam	332|陽去	
項	项	xɔŋ	332|陽去	
駙	驸	xou	332|陽去	
味	味	mei	332|陽去	
命	命	meŋ	332|陽去	異讀[m][iɛŋ/eŋ][332]
命	命	miɛŋ	332|陽去	異讀[m][iɛŋ/eŋ][332]
妙	妙	miu	332|陽去	
孟	孟	mɛŋ	332|陽去	
寐	寐	mei	332|陽去	
廟	庙	miu	332|陽去	
悶	闷	moŋ	332|陽去	
慢	慢	maŋ	332|陽去	異讀[m][ɛŋ/aŋ][332]
慢	慢	mɛŋ	332|陽去	異讀[m][ɛŋ/aŋ][332]
昧	昧	mei	332|陽去	
曼	曼	maŋ	332|陽去	
未	未	mei	332|陽去	異讀[m][ui/ei][332]
未	未	mui	332|陽去	異讀[m][ui/ei][332]
泳	泳	meŋ	332|陽去	聲母表現不合規則
漫	漫	maŋ	332|陽去	
網	网	mœŋ	332|陽去	異讀[0/m][ɔŋ/œŋ][42/332]
緬	缅	miŋ	332|陽去	
茂	茂	mɛu	332|陽去	
蔓	蔓	maŋ	332|陽去	
詠	咏	meŋ	332|陽去	聲母表現不合規則
謬	谬	miu	332|陽去	
貌	貌	mau	332|陽去	
貿	贸	mɛu	332|陽去	
邁	迈	mai	332|陽去	
面	面	miŋ	332|陽去	異讀[m][eŋ/iŋ][35/332]
面	面	miŋ	332|陽去	
二	二	nei	332|陽去	
內	内	nɔi	332|陽去	
兩	两	naŋ	332|陽去	異讀[l/n][ɔŋ/aŋ][42/332]
努	努	nou	332|陽去	
嫩	嫩	nɔŋ	332|陽去	
尿	尿	niu	332|陽去	
念	念	nim	332|陽去	異讀[n][ɛm/im][332]文讀，念經
念	念	nɛm	332|陽去	異讀[n][ɛm/im][332]文讀，念經
潤	润	noŋ	332|陽去	異讀[0/n][øŋ/oŋ][332]
膩	腻	nei	332|陽去	
認	认	neŋ	332|陽去	
貳	贰	nei	332|陽去	
釀	酿	nɔŋ	332|陽去	釀酒
閙	闹	nau	332|陽去	
鬧	闹	nau	332|陽去	
五	五	ŋou	332|陽去	
伍	伍	ŋou	332|陽去	異讀[ŋ][ou/u][332/42]
偽	伪	ŋoi	332|陽去	
僞	伪	ŋoi	332|陽去	
外	外	ŋie	332|陽去	
岸	岸	ŋaŋ	332|陽去	異讀[ŋ][iɛŋ/aŋ][332]
岸	岸	ŋiɛŋ	332|陽去	異讀[ŋ][iɛŋ/aŋ][332]
彥	彦	ŋim	332|陽去	
玩	玩	ŋuoŋ	332|陽去	
瓦	瓦	ŋuo	332|陽去	
硬	硬	ŋɛŋ	332|陽去	
礙	碍	ŋai	332|陽去	
耳	耳	ŋei	332|陽去	異讀[ŋ][ei/i][332/42]
蟻	蚁	ŋie	332|陽去	
雁	雁	ŋaŋ	332|陽去	
願	愿	ŋuŋ	332|陽去	
