#汉字	音标	解释
#来源	/	林德威《Problems in Comparative Chinese Dialectology》
#声调	/	1阴平34 2阳平32 3阴上21ʔ 5阴去23 6阳去阴入455 8阳上阳入53ʔ
概	kʰai5	
我	ŋa2	
哈	ha2	吹热气
包	po1	
绊	poʔ8	训
簸	po5	
□	po6	移动
钵	po6	大陶碗，花盆
博	poʔ8	训，打赌
柚	pʰo1	训
破	pʰo5	
泡	pʰo5	动词
炮	pʰo5	
泼	pʰo6	
劈	pʰo6	
挂	pʰoʔ8	训，挂在手臂上
磨	mo2	
卯	moʔ3	地支
抹	mo6	
带	to5	
戴	to5	~耳环，项链
笪	to6	
拖	tʰo1	拖动
太	tʰo5	曾祖父
断	tʰoʔ8	断掉，输
焫	no6	烫
箩	lo2	
拉	lo2	训，伸舌头，垂下
萝	lo2	萝卜
濑	lo5	河滩
嬲	lo6	玩
赖	lo6	赖源
辣	loʔ8	
邋	lo6	用于脏
灾	tso1	
斋	tso1	
才	tso2	奴~
扎	tsoʔ8	训，稳定
在	tsoʔ8	所~
再	tso5	
吸	tso6	训，吸出
蚻	tsoʔ8	蟑螂
猜	tsʰo1	
抄	tsʰo1	
擦	tsʰo6	
獭	tsʰo6	
豺	so2	馋，狼
萨	so6	菩~
歪	vo1	丑
交	ko1	~春：立春
过	ko1	用坏了
割	ko6	收获，雕刻
葛	ko6	
□	koʔ8	一~痰
吼	hoʔ3	叫
会	hoʔ8	训，用于不会
条	tiɯ2	
鸟	tiɯʔ3	
钓	tiɯ5	
铫	tiɯ6	
粜	tʰiɯ5	
寮	liɯ2	
了	liɯʔ3	
料	liɯ6	
黏	niɯ2	训
壁	pia6	
撇	pʰia6	笔画
劈	pʰia6	
摸	mia1	
籴	tiaʔ8	
摘	tia6	
舔	loʔ3	训
历	liaʔ8	训，装谷物的篮子
畲	tsia2	旱地，本地写作斜
姐	tsiaʔ3	
谢	tsia6	姓氏
□	tsia6	劈里啪啦
脊	tsia6	
迹	tsia6	
借	tsiɯ6	
□	tsiaʔ8	啵嘴声
斜	tsʰia2	
笡	tsʰia5	陡，斜
刺	tsʰia6	织，刺猪
蓆	tsʰiaʔ8	草席
□	sia1	用于撒娇
□	sia2	非常累
写	siaʔ3	
泻	sia5	
谢	sia6	花谢，感谢
削	sia6	
惜	siɯ6	疼爱
粞	sia6	训，面粉，浸泡
锡	sia6	
鹊	tsʰia6	乌~：喜鹊
也	iaʔ3	
毑	ia5	丈夫的妈妈，祖母
叶	ia6	训，挥手
□	kia1	用于屎壳郎
帚	kia6	训，扫净
夹	kia6	训，黏
隔	kia6	~壁
揭	kiaʔ8	扛
屐	kiaʔ8	
擎	kʰia2	扛，拿笔，打伞
擎	kʰiaʔ8	训，鸡交配
□	kʰia2	蜘蛛
歪	kʰiaʔ8	训，歪斜
拍	hia5	训，
靴	fia1	
桸	fia1	瓢
褟	tʰia6	吊，捆住手
拆	tʰia6	
快	lia6	训
爷	ia2	
野	iaʔ3	
眨	ia6	用于闪电
叶	iaʔ8	训，拍打翅膀
搲	viaʔ3	抓紧
拾	ɲia6	训，弯腰用两手捡起东西
泡	pʰueʔ8	训，泡沫
没	mue6	训，木头腐烂
凸	tʰueʔ8	训，坍塌，凸出
脱	lue6	脱落
捋	lueʔ8	
卒	tsue6	棋子
尽	tsue6	任他去
拭	tsueʔ8	训，擦
疾	tsɨʔ8	痛
塞	tsʰue6	塞粪
息	sue6	曾孙
戌	sue6	地支
熨	ue6	
滑	ueʔ8	
捡	ue6	训，用畚箕捡
国	kau6	
骨	kue6	
掘	kueʔ8	
窟	kʰue6	
摔	hue6	训，摔倒
核	hueʔ8	果核
佛	hueʔ8	
笔	pai6	
必	pai6	裂开
北	pai6	
卜	paiʔ8	萝卜
幅	pʰai6	一~画
墨	maiʔ8	
密	maiʔ8	
得	tai6	
值	taiʔ8	
直	taiʔ8	
侄	taiʔ8	
笛	taiʔ8	唢呐
蜇	taiʔ8	惊蛰
太	tʰai5	
踢	tʰai6	
笠	lai6	
立	laiʔ8	用于节气
栗	laiʔ8	
力	laiʔ8	
测	tsai6	把脉
侧	tsai6	
七	tsʰai6	
漆	tsʰai6	
戚	tsʰai6	
塞	tsʰai6	放入，堵塞
膝	tsʰai6	
贼	tsʰaiʔ8	
翼	saiʔ8	
习	saiʔ8	~惯
事	sai6	用于东西
虱	sai6	
色	sai6	
一	ai6	
乙	ai6	
歇	haiʔ8	
冰	paɲ1	
兵	paɲ1	
崩	paɲ1	
瓶	paɲ2	
便	paɲ2	~宜
便	paɲ2	用于没用，漫无目的
平	paɲ2	章~，地名
凭	pʰaɲ6	靠
明	maɲ2	聪~
眠	maɲ2	
丁	taɲ1	天干
□	taɲ1	动词后缀，表示丢失或离开的动作
钉	taɲ1	
灯	taɲ1	
藤	taɲ2	
陈	taɲ2	
等	taɲʔ3	
顶	taɲʔ3	一~斗笠，最
凳	taɲ5	
定	teɲ6	定日子，必定
厅	tʰie1	
汀	tʰaɲ1	~江
趁	tʰaɲ5	赚钱
奶	nie1	
