列1	列2	列3	列4	湖州话字表	此列不需录入
禹	禹	iᶽ⁴²	i3		ʔiᶽ⁴²
羽	羽	iᶽ⁴²	i3		ʔiᶽ⁴²
矣	矣	iᶽ⁴²	i3		ʔiᶽ⁴²
椅	椅	iᶽ⁴²	i3		ʔiᶽ⁴²
已	已	iᶽ⁴²	i3		ʔiᶽ⁴²
以	以	iᶽ⁴²	i3		ʔiᶽ⁴²
亦	亦	iᶽ⁴²	i3		ʔiᶽ⁴²
翼	翼	iᶽ⁴²	i3		ʔiᶽ⁴²
于	于	iᶽ³⁵	i5		ʔiᶽ³⁵
宇	宇	iᶽ³⁵	i5		ʔiᶽ³⁵
譽	誉	iᶽ³⁵	i5		ʔiᶽ³⁵
豫	豫	iᶽ³⁵	i5		ʔiᶽ³⁵
預	预	iᶽ³⁵	i5		ʔiᶽ³⁵
喻	喻	iᶽ³⁵	i5		ʔiᶽ³⁵
裕	裕	iᶽ³⁵	i5		ʔiᶽ³⁵
芋	芋	iᶽ³⁵	i5		ʔiᶽ³⁵
意	意	iᶽ³⁵	i5		ʔiᶽ³⁵
易	易	iᶽ³⁵	i5	交~	ʔiᶽ³⁵
系	系	iᶽ³⁵	i5		ʔiᶽ³⁵
憶	忆	iᶽ³⁵	i5		ʔiᶽ³⁵
億	亿	iᶽ³⁵	i5		ʔiᶽ³⁵
肄	肄	iᶽ³⁵	i5		ʔiᶽ³⁵
□	？	iᶽ³⁵	i5	雞~子：雞虱子	ʔiᶽ³⁵
魚	鱼	ɦiᶽ¹²	yi2	文	ɦiᶽ¹²
漁	渔	ɦiᶽ¹²	yi2		ɦiᶽ¹²
余	余	ɦiᶽ¹²	yi2		ɦiᶽ¹²
餘	余	ɦiᶽ¹²	yi2		ɦiᶽ¹²
盂	盂	ɦiᶽ¹²	yi2		ɦiᶽ¹²
愈	愈	ɦiᶽ¹²	yi2		ɦiᶽ¹²
榆	榆	ɦiᶽ¹²	yi2		ɦiᶽ¹²
逾	逾	ɦiᶽ¹²	yi2		ɦiᶽ¹²
奚	奚	ɦiᶽ¹²	yi2		ɦiᶽ¹²
兮	兮	ɦiᶽ¹²	yi2		ɦiᶽ¹²
飴	饴	ɦiᶽ¹²	yi2		ɦiᶽ¹²
遺	遗	ɦiᶽ¹²	yi2		ɦiᶽ¹²
移	移	ɦiᶽ¹²	yi2		ɦiᶽ¹²
夷	夷	ɦiᶽ¹²	yi2		ɦiᶽ¹²
姨	姨	ɦiᶽ¹²	yi2		ɦiᶽ¹²
攜	携	ɦiᶽ¹²	yi2		ɦiᶽ¹²
波	波	pʉᵝ⁴⁴	pu1		pʉᵝ⁴⁴
菠	菠	pʉᵝ⁴⁴	pu1		pʉᵝ⁴⁴
玻	玻	pʉᵝ⁴⁴	pu1		pʉᵝ⁴⁴
補	补	pʉᵝ⁴²	pu3		pʉᵝ⁴²
譜	谱	pʉᵝ⁴²	pu3		pʉᵝ⁴²
布	布	pʉᵝ³⁵	pu5		pʉᵝ³⁵
怖	怖	pʉᵝ³⁵	pu5		pʉᵝ³⁵
坡	坡	pʰʉᵝ⁴⁴	phu1		pʰʉᵝ⁴⁴
鋪	铺	pʰʉᵝ⁴⁴	phu1	~設	pʰʉᵝ⁴⁴
頗	颇	pʰʉᵝ⁴²	phu3		pʰʉᵝ⁴²
普	普	pʰʉᵝ⁴²	phu3		pʰʉᵝ⁴²
浦	浦	pʰʉᵝ⁴²	phu3		pʰʉᵝ⁴²
鋪	铺	pʰʉᵝ⁴²	phu3	店~	pʰʉᵝ⁴²
破	破	pʰʉᵝ³⁵	phu5		pʰʉᵝ³⁵
剖	剖	pʰʉᵝ³⁵	phu5		pʰʉᵝ³⁵
婆	婆	bʉᵝ¹²	bu2		bʉᵝ¹²
蒲	蒲	bʉᵝ¹²	bu2		bʉᵝ¹²
菩	菩	bʉᵝ¹²	bu2		bʉᵝ¹²
脯	脯	bʉᵝ¹²	bu2		bʉᵝ¹²
撫	抚	bʉᵝ¹²	bu2	~順毛：摩挲、用手~貓的背，痛嘚末~~	bʉᵝ¹²
部	部	bʉᵝ²³¹	bu4		bʉᵝ²³¹
簿	簿	bʉᵝ²³¹	bu4		bʉᵝ²³¹
步	步	bʉᵝ²⁴	bu6		bʉᵝ²⁴
埠	埠	bʉᵝ²⁴	bu6		bʉᵝ²⁴
孵	孵	bʉᵝ²⁴	bu6		bʉᵝ²⁴
伏	伏	bʉᵝ²⁴	bu6	蹲；~小雞：孵蛋；~太陽：曬太陽	bʉᵝ²⁴
夫	夫	fʉᵝ⁴⁴	fu1		fʉᵝ⁴⁴
膚	肤	fʉᵝ⁴⁴	fu1		fʉᵝ⁴⁴
敷	敷	fʉᵝ⁴⁴	fu1		fʉᵝ⁴⁴
俘	俘	fʉᵝ⁴⁴	fu1		fʉᵝ⁴⁴
麩	麸	fʉᵝ⁴⁴	fu1		fʉᵝ⁴⁴
府	府	fʉᵝ⁴²	fu3		fʉᵝ⁴²
腑	腑	fʉᵝ⁴²	fu3		fʉᵝ⁴²
俯	俯	fʉᵝ⁴²	fu3		fʉᵝ⁴²
甫	甫	fʉᵝ⁴²	fu3		fʉᵝ⁴²
斧	斧	fʉᵝ⁴²	fu3		fʉᵝ⁴²
撫	抚	fʉᵝ⁴²	fu3		fʉᵝ⁴²
釜	釜	fʉᵝ⁴²	fu3		fʉᵝ⁴²
輔	辅	fʉᵝ⁴²	fu3		fʉᵝ⁴²
付	付	fʉᵝ³⁵	fu5		fʉᵝ³⁵
賦	赋	fʉᵝ³⁵	fu5		fʉᵝ³⁵
傅	傅	fʉᵝ³⁵	fu5		fʉᵝ³⁵
赴	赴	fʉᵝ³⁵	fu5		fʉᵝ³⁵
訃	讣	fʉᵝ³⁵	fu5		fʉᵝ³⁵
富	富	fʉᵝ³⁵	fu5		fʉᵝ³⁵
副	副	fʉᵝ³⁵	fu5		fʉᵝ³⁵
符	符	vʉᵝ¹²	vu2		vʉᵝ¹²
扶	扶	vʉᵝ¹²	vu2		vʉᵝ¹²
芙	芙	vʉᵝ¹²	vu2		vʉᵝ¹²
無	无	vʉᵝ¹²	vu2		vʉᵝ¹²
巫	巫	vʉᵝ¹²	vu2		vʉᵝ¹²
誣	诬	vʉᵝ¹²	vu2		vʉᵝ¹²
浮	浮	vʉᵝ¹²	vu2	白	vʉᵝ¹²
武	武	vʉᵝ²³¹	vu4		vʉᵝ²³¹
舞	舞	vʉᵝ²³¹	vu4		vʉᵝ²³¹
阜	阜	vʉᵝ²³¹	vu4		vʉᵝ²³¹
父	父	vʉᵝ²⁴	vu6		vʉᵝ²⁴
腐	腐	vʉᵝ²⁴	vu6		vʉᵝ²⁴
附	附	vʉᵝ²⁴	vu6		vʉᵝ²⁴
婦	妇	vʉᵝ²⁴	vu6		vʉᵝ²⁴
戊	戊	vʉᵝ²⁴	vu6		vʉᵝ²⁴
侮	侮	vʉᵝ²⁴	vu6		vʉᵝ²⁴
務	务	vʉᵝ²⁴	vu6		vʉᵝ²⁴
霧	雾	vʉᵝ²⁴	vu6		vʉᵝ²⁴
爸	爸	pa⁴⁴	pa1		pa⁴⁴
把	把	pa⁴²	pa3	文讀，~握	pa⁴²
擺	摆	pa⁴²	pa3		pa⁴²
拜	拜	pa³⁵	pa5		pa³⁵
派	派	pʰa³⁵	pha5		pʰa³⁵
怕	怕	pʰa³⁵	pha5	文讀	pʰa³⁵
排	排	ba¹²	ba2		ba¹²
牌	牌	ba¹²	ba2		ba¹²
罷	罢	ba²³¹	ba4		ba²³¹
稗	稗	ba²⁴	ba6		ba²⁴
敗	败	ba²⁴	ba6		ba²⁴
媽	妈	ma⁴⁴	mha1		ma⁴⁴
買	买	ma⁴²	mha3		ma⁴²
媽	妈	ma⁴²	mha3		ma⁴²
賣	卖	ma³⁵	mha5		ma³⁵
埋	埋	ma¹²	ma2		mɦa¹²
□	？	ta⁴⁴	ta1	la~鬍子：連鬢鬍子	ta⁴⁴
□	？	ta⁴²	ta3	~~走：嬰兒走路的樣子	ta⁴²
帶	带	ta³⁵	ta5		ta³⁵
他	他	tʰa⁴⁴	tha1		tʰa⁴⁴
太	太	tʰa³⁵	tha5		tʰa³⁵
泰	泰	tʰa³⁵	tha5		tʰa³⁵
□	？	da²³¹	da4	~來~去	da²³¹
䈆	䈆	da²³¹	da4		da²³¹
大	大	da²⁴	da6		da²⁴
埭	埭	da²⁴	da6	一~：量詞、次	da²⁴
奶	奶	na⁴⁴	nha1	吃~~	na⁴⁴
奶	奶	na⁴²	nha3	~娘	na⁴²
那	那	na⁴²	nha3		na⁴²
挪	挪	na⁴²	nha3		na⁴²
哪	哪	na⁴²	nha3		na⁴²
奈	奈	na³⁵	nha5		na³⁵
㑚	㑚	na³⁵	nha5	~：你們	na³⁵
拿	拿	na¹²	na2	文讀	nɦa¹²
拉	拉	la⁴⁴	lha1		la⁴⁴
賴	赖	la³⁵	lha5		la³⁵
瘌	瘌	la³⁵	lha5		la³⁵
齋	斋	tsa⁴⁴	tsa1		tsa⁴⁴
抓	抓	tsa⁴²	tsa3	文讀，~一把	tsa⁴²
債	债	tsa³⁵	tsa5		tsa³⁵
炸	炸	tsa³⁵	tsa5	文讀	tsa³⁵
差	差	tsʰa⁴⁴	tsha1	出~	tsʰa⁴⁴
扯	扯	tsʰa⁴²	tsha3		tsʰa⁴²
綽	绰	tsʰa⁴²	tsha3	~號	tsʰa⁴²
蔡	蔡	tsʰa³⁵	tsha5		tsʰa³⁵
查	查	dza¹²	dza2		dza¹²
惹	惹	dza²³¹	dza4		dza²³¹
篩	筛	sa⁴⁴	sa1		sa⁴⁴
傻	傻	sa⁴⁴	sa1		sa⁴⁴
卅	卅	sa⁴⁴	sa1	來~：行，勿來~：不行	sa⁴⁴
灑	洒	sa⁴²	sa3		sa⁴²
撒	撒	sa⁴²	sa3		sa⁴²
耍	耍	sa⁴²	sa3		sa⁴²
廈	厦	sa³⁵	sa5	大~	sa³⁵
豺	豺	za¹²	za2		za¹²
柴	柴	za¹²	za2		za¹²
家	家	ka⁴⁴	ka1	白	ka⁴⁴
加	加	ka⁴⁴	ka1	白	ka⁴⁴
嘉	嘉	ka⁴⁴	ka1	白	ka⁴⁴
傢	家	ka⁴⁴	ka1	白	ka⁴⁴
街	街	ka⁴⁴	ka1	白	ka⁴⁴
皆	皆	ka⁴⁴	ka1	白	ka⁴⁴
佳	佳	ka⁴⁴	ka1	白	ka⁴⁴
階	阶	ka⁴⁴	ka1	~沿石。白	ka⁴⁴
哥	哥	ka⁴⁴	ka1	~~	ka⁴⁴
假	假	ka⁴²	ka3	真~。白	ka⁴²
架	架	ka³⁵	ka5	白	ka³⁵
介	介	ka³⁵	ka5	zei是~。白	ka³⁵
界	界	ka³⁵	ka5	白	ka³⁵
芥	芥	ka³⁵	ka5	白	ka³⁵
届	届	ka³⁵	ka5	白	ka³⁵
戒	戒	ka³⁵	ka5	白	ka³⁵
疥	疥	ka³⁵	ka5	白	ka³⁵
假	假	ka³⁵	ka5	~期。白	ka³⁵
揩	揩	kʰa⁴⁴	kha1		kʰa⁴⁴
楷	楷	kʰa⁴²	kha3		kʰa⁴²
揢	揢	kʰa³⁵	kha5	~魚：抓魚	kʰa³⁵
抲	抲	kʰa³⁵	kha5	~魚：抓魚	kʰa³⁵
快	快	kʰa³⁵	kha5	~活	kʰa³⁵
茄	茄	ga¹²	ga2		ga¹²
解	解	ga²³¹	ga4	~開	ga²³¹
懈	懈	ga²³¹	ga4	松~	ga²³¹
骱	骱	ga²⁴	ga6		ga²⁴
外	外	ŋa³⁵	nga5	~面。白	ŋa³⁵
牙	牙	ŋa¹²	nga2		ŋɦa¹²
芽	芽	ŋa¹²	nga2		ŋɦa¹²
衙	衙	ŋa¹²	nga2		ŋɦa¹²
哈	哈	ha⁴⁴	ha1		ha⁴⁴
𨉣	𨉣	ha⁴⁴	ha1	~腰	ha⁴⁴
蟹	蟹	ha⁴²	ha3		ha⁴²
挨	挨	a⁴⁴	a1		ʔa⁴⁴
捱	捱	a⁴⁴	a1	~打，~駡	ʔa⁴⁴
掗	挜	a⁴⁴	a1	強給	ʔa⁴⁴
矮	矮	a⁴²	a3		ʔa⁴²
外	外	a³⁵	a5	~公，~婆	ʔa³⁵
也	也	a³⁵	a5		ʔa³⁵
鞋	鞋	ɦa¹²	gha2		ɦa¹²
蝦	虾	ɦa¹²	gha2	~蟆	ɦa¹²
爹	爹	tia⁴⁴	tia1		tia⁴⁴
嗲	嗲	tia⁴⁴	tia1	發~	tia⁴⁴
家	家	tɕia⁴⁴	cia1	文	tɕia⁴⁴
加	加	tɕia⁴⁴	cia1	文	tɕia⁴⁴
嘉	嘉	tɕia⁴⁴	cia1	文	tɕia⁴⁴
街	街	tɕia⁴⁴	cia1	文	tɕia⁴⁴
皆	皆	tɕia⁴⁴	cia1	文	tɕia⁴⁴
階	阶	tɕia⁴⁴	cia1	文	tɕia⁴⁴
佳	佳	tɕia⁴⁴	cia1	文	tɕia⁴⁴
假	假	tɕia⁴²	cia3		tɕia⁴²
解	解	tɕia⁴²	cia3		tɕia⁴²
姐	姐	tɕia⁴²	cia3		tɕia⁴²
架	架	tɕia³⁵	cia5	文	tɕia³⁵
介	介	tɕia³⁵	cia5	文	tɕia³⁵
界	界	tɕia³⁵	cia5	文	tɕia³⁵
芥	芥	tɕia³⁵	cia5	文	tɕia³⁵
届	届	tɕia³⁵	cia5	文	tɕia³⁵
戒	戒	tɕia³⁵	cia5	文	tɕia³⁵
疥	疥	tɕia³⁵	cia5	文	tɕia³⁵
假	假	tɕia³⁵	cia5	文	tɕia³⁵
駕	驾	tɕia³⁵	cia5		tɕia³⁵
嫁	嫁	tɕia³⁵	cia5		tɕia³⁵
稼	稼	tɕia³⁵	cia5		tɕia³⁵
借	借	tɕia³⁵	cia5		tɕia³⁵
賈	贾	tɕia³⁵	cia5	姓	tɕia³⁵
鲇	鲇	ȵia¹²	gnia2	~魚	ȵɦia¹²
蝦	虾	ɕia⁴⁴	shia1	文	ɕia⁴⁴
寫	写	ɕia⁴²	shia3		ɕia⁴²
瀉	泻	ɕia³⁵	shia5		ɕia³⁵
卸	卸	ɕia³⁵	shia5		ɕia³⁵
邪	邪	ʑia¹²	zhia2		ʑia¹²
斜	斜	ʑia¹²	zhia2		ʑia¹²
謝	谢	ʑia³⁵	zhia5		ʑia³⁵
蔫	蔫	ʑia³⁵	zhia5	花~了	ʑia³⁵
鴉	鸦	ia⁴⁴	ia1	文	ʔia⁴⁴
亞	亚	ia⁴⁴	ia1		ʔia⁴⁴
耶	耶	ia⁴⁴	ia1		ʔia⁴⁴
丫	丫	ia⁴⁴	ia1	~環。文	ʔia⁴⁴
野	野	ia⁴²	ia3		ʔia⁴²
下	下	ia⁴²	ia3	底~。文	ʔia⁴²
啞	哑	ia⁴²	ia3	文	ʔia⁴²
也	也	ia⁴²	ia3	文	ʔia⁴²
廈	厦	ia³⁵	ia5	文	ʔia³⁵
夜	夜	ia³⁵	ia5		ʔia³⁵
下	下	ia³⁵	ia5	~降	ʔia³⁵
霞	霞	ɦia¹²	ya2		ɦia¹²
瑕	瑕	ɦia¹²	ya2		ɦia¹²
爺	爷	ɦia¹²	ya2		ɦia¹²
諧	谐	ɦia¹²	ya2		ɦia¹²
乖	乖	kua⁴⁴	kua1		kua⁴⁴
拐	拐	kua⁴²	kua3	~杖	kua⁴²
怪	怪	kua³⁵	kua5		kua³⁵
蒯	蒯	kʰua⁴⁴	khua1		kʰua⁴⁴
誇	夸	kʰua⁴⁴	khua1	文	kʰua⁴⁴
快	快	kʰua³⁵	khua5		kʰua³⁵
筷	筷	kʰua³⁵	khua5		kʰua³⁵
跨	跨	kʰua³⁵	khua5	文	kʰua³⁵
歪	歪	hua⁴⁴	hua1		hua⁴⁴
蛙	蛙	ua⁴⁴	ua1	文	ʔua⁴⁴
窪	洼	ua⁴⁴	ua1	文	ʔua⁴⁴
外	外	ua³⁵	ua5	文	ʔua³⁵
壞	坏	ua³⁵	ua5		ʔua³⁵
話	话	ua³⁵	ua5	文	ʔua³⁵
淮	淮	ɦua¹²	wa2		ɦua¹²
懷	怀	ɦua¹²	wa2	文	ɦua¹²
華	华	ɦua¹²	wa2	文	ɦua¹²
劃	划	ɦua¹²	wa2	文	ɦua¹²
班	班	pᴇ⁴⁴	pe1		pᴇ⁴⁴
斑	斑	pᴇ⁴⁴	pe1		pᴇ⁴⁴
般	般	pᴇ⁴⁴	pe1		pᴇ⁴⁴
搬	搬	pᴇ⁴⁴	pe1		pᴇ⁴⁴
板	板	pᴇ⁴²	pe3		pᴇ⁴²
版	版	pᴇ⁴²	pe3		pᴇ⁴²
扮	扮	pᴇ³⁵	pe5		pᴇ³⁵
頒	颁	pᴇ³⁵	pe5		pᴇ³⁵
半	半	pᴇ³⁵	pe5		pᴇ³⁵
攀	攀	pʰᴇ⁴⁴	phe1		pʰᴇ⁴⁴
潘	潘	pʰᴇ⁴⁴	phe1		pʰᴇ⁴⁴
盼	盼	pʰᴇ³⁵	phe5		pʰᴇ³⁵
襻	襻	pʰᴇ³⁵	phe5		pʰᴇ³⁵
判	判	pʰᴇ³⁵	phe5		pʰᴇ³⁵
爿	爿	bᴇ¹²	be2		bᴇ¹²
盤	盘	bᴇ¹²	be2		bᴇ¹²
叛	叛	bᴇ¹²	be2		bᴇ¹²
伴	伴	bᴇ²³¹	be4		bᴇ²³¹
拌	拌	bᴇ²³¹	be4		bᴇ²³¹
瓣	瓣	bᴇ²⁴	be6		bᴇ²⁴
辧	辧	bᴇ²⁴	be6		bᴇ²⁴
滿	满	mᴇ⁴²	me3		mᴇ⁴²
慢	慢	mᴇ³⁵	me5		mᴇ³⁵
幔	幔	mᴇ³⁵	me5		mᴇ³⁵
蠻	蛮	mᴇ¹²	me2		mɦᴇ¹²
瞞	瞒	mᴇ¹²	me2		mɦᴇ¹²
謾	谩	mᴇ¹²	me2		mɦᴇ¹²
漫	漫	mᴇ¹²	me2		mɦᴇ¹²
蔓	蔓	mᴇ¹²	me2		mɦᴇ¹²
翻	翻	fᴇ⁴⁴	fe1		fᴇ⁴⁴
番	番	fᴇ⁴⁴	fe1		fᴇ⁴⁴
反	反	fᴇ⁴²	fe3		fᴇ⁴²
泛	泛	fᴇ³⁵	fe5		fᴇ³⁵
販	贩	fᴇ³⁵	fe5		fᴇ³⁵
凡	凡	vᴇ¹²	ve2		vᴇ¹²
帆	帆	vᴇ¹²	ve2		vᴇ¹²
藩	藩	vᴇ¹²	ve2		vᴇ¹²
煩	烦	vᴇ¹²	ve2		vᴇ¹²
礬	矾	vᴇ¹²	ve2		vᴇ¹²
繁	繁	vᴇ¹²	ve2		vᴇ¹²
范	范	vᴇ²³¹	ve4		vᴇ²³¹
範	范	vᴇ²³¹	ve4		vᴇ²³¹
犯	犯	vᴇ²³¹	ve4		vᴇ²³¹
晚	晚	vᴇ²³¹	ve4		vᴇ²³¹
飯	饭	vᴇ²⁴	ve6		vᴇ²⁴
萬	万	vᴇ²⁴	ve6		vᴇ²⁴
耽	耽	tᴇ⁴⁴	te1		tᴇ⁴⁴
擔	担	tᴇ⁴⁴	te1	~任	tᴇ⁴⁴
丹	丹	tᴇ⁴⁴	te1		tᴇ⁴⁴
單	单	tᴇ⁴⁴	te1		tᴇ⁴⁴
端	端	tᴇ⁴⁴	te1		tᴇ⁴⁴
膽	胆	tᴇ⁴²	te3		tᴇ⁴²
撣	掸	tᴇ⁴²	te3		tᴇ⁴²
短	短	tᴇ⁴²	te3		tᴇ⁴²
斷	断	tᴇ⁴²	te3	決~	tᴇ⁴²
擔	担	tᴇ³⁵	te5	挑~	tᴇ³⁵
旦	旦	tᴇ³⁵	te5		tᴇ³⁵
鍛	锻	tᴇ³⁵	te5		tᴇ³⁵
誕	诞	tᴇ³⁵	te5		tᴇ³⁵
貪	贪	tʰᴇ⁴⁴	the1		tʰᴇ⁴⁴
灘	滩	tʰᴇ⁴⁴	the1		tʰᴇ⁴⁴
攤	摊	tʰᴇ⁴⁴	the1		tʰᴇ⁴⁴
坍	坍	tʰᴇ⁴⁴	the1	~下來	tʰᴇ⁴⁴
毯	毯	tʰᴇ⁴²	the3		tʰᴇ⁴²
坦	坦	tʰᴇ⁴²	the3		tʰᴇ⁴²
探	探	tʰᴇ³⁵	the5		tʰᴇ³⁵
炭	炭	tʰᴇ³⁵	the5		tʰᴇ³⁵
歎	叹	tʰᴇ³⁵	the5		tʰᴇ³⁵
潭	潭	dᴇ¹²	de2		dᴇ¹²
談	谈	dᴇ¹²	de2		dᴇ¹²
譚	谭	dᴇ¹²	de2		dᴇ¹²
痰	痰	dᴇ¹²	de2		dᴇ¹²
壇	坛	dᴇ¹²	de2		dᴇ¹²
檀	檀	dᴇ¹²	de2		dᴇ¹²
彈	弹	dᴇ¹²	de2	~琴	dᴇ¹²
團	团	dᴇ¹²	de2		dᴇ¹²
糰	团	dᴇ¹²	de2		dᴇ¹²
但	但	dᴇ¹²	de2		dᴇ¹²
淡	淡	dᴇ²³¹	de4		dᴇ²³¹
斷	断	dᴇ²³¹	de4	~絕	dᴇ²³¹
蛋	蛋	dᴇ²⁴	de6		dᴇ²⁴
段	段	dᴇ²⁴	de6		dᴇ²⁴
緞	缎	dᴇ²⁴	de6		dᴇ²⁴
埭	埭	dᴇ²⁴	de6	地名：~溪	dᴇ²⁴
暖	暖	nᴇ⁴²	ne3		nᴇ⁴²
難	难	nᴇ³⁵	ne5	患~	nᴇ³⁵
南	南	nᴇ¹²	ne2		nɦᴇ¹²
男	男	nᴇ¹²	ne2		nɦᴇ¹²
難	难	nᴇ¹²	ne2	~易	nɦᴇ¹²
懶	懒	lᴇ⁴²	le3		lᴇ⁴²
卵	卵	lᴇ⁴²	le3	卵	lᴇ⁴²
濫	滥	lᴇ³⁵	le5		lᴇ³⁵
纜	缆	lᴇ³⁵	le5		lᴇ³⁵
爛	烂	lᴇ³⁵	le5		lᴇ³⁵
亂	乱	lᴇ³⁵	le5		lᴇ³⁵
覽	览	lᴇ³⁵	le5		lᴇ³⁵
攬	揽	lᴇ³⁵	le5		lᴇ³⁵
欖	榄	lᴇ³⁵	le5		lᴇ³⁵
藍	蓝	lᴇ¹²	le2		lɦᴇ¹²
籃	篮	lᴇ¹²	le2		lɦᴇ¹²
蘭	兰	lᴇ¹²	le2		lɦᴇ¹²
攔	拦	lᴇ¹²	le2		lɦᴇ¹²
欄	栏	lᴇ¹²	le2		lɦᴇ¹²
鸞	鸾	lᴇ¹²	le2		lɦᴇ¹²
簪	簪	tsᴇ⁴⁴	tse1		tsᴇ⁴⁴
氈	毡	tsᴇ⁴⁴	tse1		tsᴇ⁴⁴
羶	羶	tsᴇ⁴⁴	tse1		tsᴇ⁴⁴
專	专	tsᴇ⁴⁴	tse1		tsᴇ⁴⁴
磚	砖	tsᴇ⁴⁴	tse1		tsᴇ⁴⁴
瞻	瞻	tsᴇ⁴⁴	tse1		tsᴇ⁴⁴
斬	斩	tsᴇ⁴²	tse3		tsᴇ⁴²
盞	盏	tsᴇ⁴²	tse3		tsᴇ⁴²
展	展	tsᴇ⁴²	tse3		tsᴇ⁴²
轉	转	tsᴇ⁴²	tse3	~眼，~圓圈	tsᴇ⁴²
蘸	蘸	tsᴇ³⁵	tse5		tsᴇ³⁵
沾	沾	tsᴇ³⁵	tse5		tsᴇ³⁵
占	占	tsᴇ³⁵	tse5	~卜，~地	tsᴇ³⁵
贊	赞	tsᴇ³⁵	tse5		tsᴇ³⁵
攢	攒	tsᴇ³⁵	tse5		tsᴇ³⁵
濺	溅	tsᴇ³⁵	tse5	~一身水	tsᴇ³⁵
戰	战	tsᴇ³⁵	tse5		tsᴇ³⁵
鑽	钻	tsᴇ³⁵	tse5		tsᴇ³⁵
參	参	tsʰᴇ⁴⁴	tshe1		tsʰᴇ⁴⁴
攙	搀	tsʰᴇ⁴⁴	tshe1		tsʰᴇ⁴⁴
餐	餐	tsʰᴇ⁴⁴	tshe1		tsʰᴇ⁴⁴
川	川	tsʰᴇ⁴⁴	tshe1		tsʰᴇ⁴⁴
穿	穿	tsʰᴇ⁴⁴	tshe1		tsʰᴇ⁴⁴
慘	惨	tsʰᴇ⁴²	tshe3		tsʰᴇ⁴²
粲	粲	tsʰᴇ⁴²	tshe3		tsʰᴇ⁴²
鏟	铲	tsʰᴇ⁴²	tshe3		tsʰᴇ⁴²
篡	篡	tsʰᴇ⁴²	tshe3		tsʰᴇ⁴²
喘	喘	tsʰᴇ⁴²	tshe3		tsʰᴇ⁴²
產	产	tsʰᴇ⁴²	tshe3		tsʰᴇ⁴²
竄	窜	tsʰᴇ³⁵	tshe5		tsʰᴇ³⁵
串	串	tsʰᴇ³⁵	tshe5		tsʰᴇ³⁵
慚	惭	dzᴇ¹²	dze2		dzᴇ¹²
讒	谗	dzᴇ¹²	dze2		dzᴇ¹²
殘	残	dzᴇ¹²	dze2		dzᴇ¹²
纏	缠	dzᴇ¹²	dze2		dzᴇ¹²
傳	传	dzᴇ¹²	dze2		dzᴇ¹²
踐	践	dzᴇ¹²	dze2	蹈~	dzᴇ¹²
站	站	dzᴇ²³¹	dze4	車~，立~	dzᴇ²³¹
賺	赚	dzᴇ²³¹	dze4		dzᴇ²³¹
暫	暂	dzᴇ²⁴	dze6		dzᴇ²⁴
錾	錾	dzᴇ²⁴	dze6		dzᴇ²⁴
餞	饯	dzᴇ²⁴	dze6	~行	dzᴇ²⁴
篆	篆	dzᴇ²⁴	dze6		dzᴇ²⁴
三	三	sᴇ⁴⁴	se1		sᴇ⁴⁴
杉	杉	sᴇ⁴⁴	se1		sᴇ⁴⁴
衫	衫	sᴇ⁴⁴	se1		sᴇ⁴⁴
珊	珊	sᴇ⁴⁴	se1		sᴇ⁴⁴
刪	删	sᴇ⁴⁴	se1		sᴇ⁴⁴
山	山	sᴇ⁴⁴	se1		sᴇ⁴⁴
酸	酸	sᴇ⁴⁴	se1		sᴇ⁴⁴
閂	闩	sᴇ⁴⁴	se1		sᴇ⁴⁴
栓	栓	sᴇ⁴⁴	se1		sᴇ⁴⁴
陝	陕	sᴇ⁴²	se3		sᴇ⁴²
閃	闪	sᴇ⁴²	se3		sᴇ⁴²
散	散	sᴇ⁴²	se3	鞋子帶~開了，分~	sᴇ⁴²
疝	疝	sᴇ³⁵	se5		sᴇ³⁵
扇	扇	sᴇ³⁵	se5		sᴇ³⁵
搧	搧	sᴇ³⁵	se5		sᴇ³⁵
算	算	sᴇ³⁵	se5		sᴇ³⁵
蒜	蒜	sᴇ³⁵	se5		sᴇ³⁵
傘	伞	sᴇ³⁵	se5		sᴇ³⁵
蠶	蚕	zᴇ¹²	ze2		zᴇ¹²
蟾	蟾	zᴇ¹²	ze2		zᴇ¹²
蟬	蝉	zᴇ¹²	ze2		zᴇ¹²
禪	禅	zᴇ¹²	ze2		zᴇ¹²
然	然	zᴇ¹²	ze2		zᴇ¹²
燃	燃	zᴇ¹²	ze2		zᴇ¹²
船	船	zᴇ¹²	ze2		zᴇ¹²
冉	冉	zᴇ²³¹	ze4		zᴇ²³¹
善	善	zᴇ²³¹	ze4		zᴇ²³¹
棧	栈	zᴇ²³¹	ze4		zᴇ²³¹
膳	膳	zᴇ²³¹	ze4		zᴇ²³¹
單	单	zᴇ²³¹	ze4	姓	zᴇ²³¹
禪	禅	zᴇ²⁴	ze6	~宗，~讓	zᴇ²⁴
乾	干	kᴇ⁴⁴	ke1	~濕。白	kᴇ⁴⁴
間	间	kᴇ⁴⁴	ke1	房~。白	kᴇ⁴⁴
甘	甘	kᴇ⁴⁴	ke1		kᴇ⁴⁴
柑	柑	kᴇ⁴⁴	ke1		kᴇ⁴⁴
泔	泔	kᴇ⁴⁴	ke1	~腳水	kᴇ⁴⁴
監	监	kᴇ⁴⁴	ke1		kᴇ⁴⁴
