正體	簡體	聲母	韻母	聲調	詞例	声母音标	韵母音标	調值
朞	期	j	i	1	抓朞	tɕ	ɨᶨ	21
期	期	j	i	1	抓期，期年	tɕ	ɨᶨ	21
期	期	q	i	1	日期	tɕʰ	ɨᶨ	21
期	期	q	i	2		tɕʰ	ɨᶨ	24
欺	欺	q	i	1		tɕʰ	ɨᶨ	21
漆	漆	q	ieh	7		tɕʰ	iəʔ	4
蹊	蹊	q	i	1	蹊蹺（攲蹺）	tɕʰ	ɨᶨ	21
齊	齐	q	i	2		tɕʰ	ɨᶨ	24
祁	祁	q	i	2		tɕʰ	ɨᶨ	24
岐	岐	q	i	2		tɕʰ	ɨᶨ	24
其	其	q	i	2		tɕʰ	ɨᶨ	24
奇	奇	j	i	1	奇數	tɕ	ɨᶨ	21
奇	奇	q	i	2	奇怪	tɕʰ	ɨᶨ	24
歧	歧	q	i	2		tɕʰ	ɨᶨ	24
祈	祈	q	i	2		tɕʰ	ɨᶨ	24
臍	脐	q	i	2		tɕʰ	ɨᶨ	24
埼	埼	q	i	2		tɕʰ	ɨᶨ	24
崎	崎	q	i	2		tɕʰ	ɨᶨ	24
淇	淇	q	i	2		tɕʰ	ɨᶨ	24
騏	骐	q	i	2		tɕʰ	ɨᶨ	24
騎	骑	q	i	2	騎馬，動詞	tɕʰ	ɨᶨ	24
騎	骑	q	i	6	坐騎，名詞	tɕʰ	ɨᶨ	33
琪	琪	q	i	2		tɕʰ	ɨᶨ	24
琦	琦	q	i	2		tɕʰ	ɨᶨ	24
棋	棋	q	i	2		tɕʰ	ɨᶨ	24
蠐	蛴	q	i	2		tɕʰ	ɨᶨ	24
蜞	蜞	j	i	1	蟛蜞	tɕ	ɨᶨ	21
旗	旗	q	i	2		tɕʰ	ɨᶨ	24
鰭	鳍	q	i	2		tɕʰ	ɨᶨ	24
麒	麒	q	i	2		tɕʰ	ɨᶨ	24
乞	乞	q	ieh	7		tɕʰ	iəʔ	4
豈	岂	q	i	3		tɕʰ	ɨᶨ	31
企	企	q	i	3		tɕʰ	ɨᶨ	31
杞	杞	q	i	3		tɕʰ	ɨᶨ	31
啟	启	q	i	3		tɕʰ	ɨᶨ	31
啓	启	q	i	3		tɕʰ	ɨᶨ	31
起	起	q	i	3		tɕʰ	ɨᶨ	31
氣	气	q	i	5		tɕʰ	ɨᶨ	44
訖	讫	q	ieh	7		tɕʰ	iəʔ	4
棄	弃	q	i	5		tɕʰ	ɨᶨ	44
汽	汽	q	i	5		tɕʰ	ɨᶨ	44
泣	泣	q	ieh	7		tɕʰ	iəʔ	4
契	契	q	i	5		tɕʰ	ɨᶨ	44
砌	砌	q	i	5		tɕʰ	ɨᶨ	44
器	器	q	i	5		tɕʰ	ɨᶨ	44
掐	掐	k	aeh	7		kʰ	iaʔ	4
洽	洽	q	iaeh	7		tɕʰ	iaʔ	4
恰	恰	q	iaeh	7		tɕʰ	iaʔ	4
千	千	q	in	1		tɕʰ	ĩ	21
韆	千	q	in	1		tɕʰ	ĩ	21
仟	仟	q	in	1		tɕʰ	ĩ	21
芊	芊	q	in	1		tɕʰ	ĩ	21
遷	迁	q	in	1		tɕʰ	ĩ	21
僉	佥	q	in	1		tɕʰ	ĩ	21
牽	牵	q	in	1		tɕʰ	ĩ	21
鉛	铅	k	aen	1		kʰ	ɛ̃	21
謙	谦	q	in	1		tɕʰ	ĩ	21
簽	签	q	in	1		tɕʰ	ĩ	21
籤	签	q	in	1		tɕʰ	ĩ	21
鵮	鹐	k	aen	1		kʰ	ɛ̃	21
前	前	q	in	2		tɕʰ	ĩ	24
虔	虔	q	in	2		tɕʰ	ĩ	24
錢	钱	q	in	2		tɕʰ	ĩ	24
鉗	钳	q	in	2		tɕʰ	ĩ	24
乾	乾	q	in	2	乾坤	tɕʰ	ĩ	24
潛	潜	q	in	2		tɕʰ	ĩ	24
黔	黔	q	in	2		tɕʰ	ĩ	24
淺	浅	q	in	3		tɕʰ	ĩ	31
遣	遣	q	in	3		tɕʰ	ĩ	31
譴	谴	q	in	3		tɕʰ	ĩ	31
欠	欠	q	in	5		tɕʰ	ĩ	44
芡	芡	q	in	5		tɕʰ	ĩ	44
茜	茜	q	in	5		tɕʰ	ĩ	44
倩	倩	q	in	5		tɕʰ	ĩ	44
嵌	嵌	k	aen	5		kʰ	ɛ̃	44
歉	歉	q	in	5		tɕʰ	ĩ	44
嗆	呛	q	ian	1		tɕʰ	iã	21
羌	羌	q	ian	1		tɕʰ	iã	21
槍	枪	q	ian	1		tɕʰ	iã	21
腔	腔	q	ian	1		tɕʰ	iã	21
強	强	q	ian	2	強烈	tɕʰ	iã	24
強	强	q	ian	6	倔強	tɕʰ	iã	33
墻	墙	q	ian	2		tɕʰ	iã	24
牆	墙	q	ian	2		tɕʰ	iã	24
薔	蔷	q	ian	2		tɕʰ	iã	24
搶	抢	q	ian	3		tɕʰ	iã	31
襁	襁	q	ian	2		tɕʰ	iã	24
悄	悄	q	io	1		tɕʰ	iɔ	21
蹺	跷	q	io	1		tɕʰ	iɔ	21
鍬	锹	q	io	1		tɕʰ	iɔ	21
敲	敲	k	o	1		kʰ	ɔ	21
橇	橇	q	io	1		tɕʰ	iɔ	21
喬	乔	q	io	2		tɕʰ	iɔ	24
僑	侨	q	io	2		tɕʰ	iɔ	24
蕎	荞	q	io	2		tɕʰ	iɔ	24
橋	桥	q	io	2		tɕʰ	iɔ	24
憔	憔	q	io	2		tɕʰ	iɔ	24
樵	樵	q	io	2		tɕʰ	iɔ	24
巧	巧	q	io	3		tɕʰ	iɔ	31
俏	俏	q	io	5		tɕʰ	iɔ	44
峭	峭	q	io	5		tɕʰ	iɔ	44
竅	窍	q	io	5		tɕʰ	iɔ	44
翹	翘	q	io	2		tɕʰ	iɔ	24
翹	翘	q	io	5	翹起來	tɕʰ	iɔ	44
撬	撬	q	io	5		tɕʰ	iɔ	44
鞘	鞘	q	io	5		tɕʰ	iɔ	44
茄	茄	q	ia	2		tɕʰ	ia	24
且	且	q	iae	3		tɕʰ	iɛ	31
切	切	q	ih	7		tɕʰ	iʔ	4
妾	妾	q	ih	7		tɕʰ	iʔ	4
竊	窃	q	ih	7		tɕʰ	iʔ	4
笡	笡	q	ia	1	歪斜	tɕʰ	ia	21
欽	钦	q	ien	1		tɕʰ	iəŋ	21
侵	侵	q	ien	1		tɕʰ	iəŋ	21
親	亲	q	ien	1	親人	tɕʰ	iəŋ	21
親	亲	q	ien	5	親家	tɕʰ	iəŋ	44
芹	芹	q	ien	2	芹菜	tɕʰ	iəŋ	24
芹	芹	q	yen	2	蒲芹	tɕʰ	yəŋ	24
秦	秦	q	ien	2		tɕʰ	iəŋ	24
秦	秦	q	yen	2		tɕʰ	yəŋ	24
琴	琴	q	ien	2		tɕʰ	iəŋ	24
禽	禽	q	ien	2		tɕʰ	iəŋ	24
勤	勤	q	ien	2		tɕʰ	iəŋ	24
擒	擒	q	ien	2		tɕʰ	iəŋ	24
寢	寝	q	ien	3		tɕʰ	iəŋ	31
撳	揿	q	ien	5		tɕʰ	iəŋ	44
青	青	q	ien	1		tɕʰ	iəŋ	21
輕	轻	q	ien	1		tɕʰ	iəŋ	21
氫	氢	q	ien	1		tɕʰ	iəŋ	21
傾	倾	q	ien	1		tɕʰ	iəŋ	21
傾	倾	q	ion	3		tɕʰ	iɔŋ	31
卿	卿	q	ien	1		tɕʰ	iəŋ	21
清	清	q	ien	1		tɕʰ	iəŋ	21
蜻	蜻	q	ien	1		tɕʰ	iəŋ	21
情	情	q	ien	2		tɕʰ	iəŋ	24
晴	晴	q	ien	2		tɕʰ	iəŋ	24
氰	氰	q	ien	1		tɕʰ	iəŋ	21
擎	擎	q	ien	2		tɕʰ	iəŋ	24
黥	黥	q	ien	2		tɕʰ	iəŋ	24
頃	顷	q	ien	3		tɕʰ	iəŋ	31
請	请	q	ien	3		tɕʰ	iəŋ	31
慶	庆	q	ien	5		tɕʰ	iəŋ	44
窮	穷	q	ion	2		tɕʰ	iɔŋ	24
穹	穹	q	ion	2		tɕʰ	iɔŋ	24
穹	穹	k	on	2	隆起	kʰ	ɔŋ	24
瓊	琼	q	ion	2		tɕʰ	iɔŋ	24
丘	丘	q	ieu	1		tɕʰ	iʊ	21
邱	邱	q	ieu	1		tɕʰ	iʊ	21
秋	秋	q	ieu	1		tɕʰ	iʊ	21
蚯	蚯	q	ieu	1		tɕʰ	iʊ	21
鰍	鳅	q	ieu	1		tɕʰ	iʊ	21
囚	囚	q	ieu	2		tɕʰ	iʊ	24
求	求	q	ieu	2		tɕʰ	iʊ	24
泅	泅	q	ieu	2		tɕʰ	iʊ	24
俅	俅	q	ieu	2		tɕʰ	iʊ	24
酋	酋	q	ieu	2		tɕʰ	iʊ	24
球	球	q	ieu	2		tɕʰ	iʊ	24
裘	裘	q	ieu	2		tɕʰ	iʊ	24
區	区	q	y	1		tɕʰ	yᶨ	21
曲	曲	q	ioh	7		tɕʰ	iɔʔ	4
麴	曲	q	ioh	7		tɕʰ	iɔʔ	4
嶇	岖	q	y	1		tɕʰ	yᶨ	21
驅	驱	q	y	1		tɕʰ	yᶨ	21
屈	屈	q	yeh	7		tɕʰ	yəʔ	4
蛆	蛆	q	y	1		tɕʰ	yᶨ	21
軀	躯	q	y	1		tɕʰ	yᶨ	21
趨	趋	q	y	1		tɕʰ	yᶨ	21
蛐	蛐	q	ioh	7		tɕʰ	iɔʔ	4
渠	渠	q	y	2		tɕʰ	yᶨ	24
瞿	瞿	q	y	2		tɕʰ	yᶨ	24
衢	衢	q	y	2		tɕʰ	yᶨ	24
取	取	q	y	3		tɕʰ	yᶨ	31
娶	娶	q	y	3		tɕʰ	yᶨ	31
去	去	q	i	5	來去	tɕʰ	ɨᶨ	44
去	去	q	y	5	去年	tɕʰ	yᶨ	44
趣	趣	q	y	5		tɕʰ	yᶨ	44
圈	圈	q	iun	1	圓圈	tɕʰ	iʊ̃	21
圈	圈	q	iun	6	豬圈	tɕʰ	iʊ̃	33
權	权	q	iun	2		tɕʰ	iʊ̃	24
全	全	q	iun	2		tɕʰ	iʊ̃	24
詮	诠	q	iun	2		tɕʰ	iʊ̃	24
泉	泉	q	iun	2		tɕʰ	iʊ̃	24
拳	拳	q	iun	2		tɕʰ	iʊ̃	24
痊	痊	q	iun	2		tɕʰ	iʊ̃	24
蜷	蜷	q	iun	2		tɕʰ	iʊ̃	24
醛	醛	q	iun	2		tɕʰ	iʊ̃	24
鬈	鬈	q	iun	2		tɕʰ	iʊ̃	24
顴	颧	q	iun	2		tɕʰ	iʊ̃	24
犬	犬	q	iun	3		tɕʰ	iʊ̃	31
勸	劝	q	iun	5		tɕʰ	iʊ̃	44
券	券	q	iun	5		tɕʰ	iʊ̃	44
炔	炔	q	iuh	7		tɕʰ	iʊʔ	4
缺	缺	q	iuh	7		tɕʰ	iʊʔ	4
闕	阙	q	iuh	7		tɕʰ	iʊʔ	4
瘸	瘸	q	ya	2		tɕʰ	ya	24
卻	却	q	iah	7		tɕʰ	iaʔ	4
雀	雀	j	iah	7	麻雀	tɕ	iaʔ	4
雀	雀	q	iah	7	雀巢咖啡	tɕʰ	iaʔ	4
確	确	q	iah	7		tɕʰ	iaʔ	4
搉	搉	k	ah	7		kʰ	aʔ	4
鵲	鹊	q	iah	7		tɕʰ	iaʔ	4
裙	裙	q	yen	2		tɕʰ	yəŋ	24
羣	群	q	yen	2		tɕʰ	yəŋ	24
群	群	q	yen	2		tɕʰ	yəŋ	24
然	然	r	in	2		ɻ	ĩ	24
髯	髯	r	in	2		ɻ	ĩ	24
燃	燃	r	in	2		ɻ	ĩ	24
冉	冉	r	in	3		ɻ	ĩ	31
染	染	r	in	3		ɻ	ĩ	31
蘘	蘘	r	an	2		ɻ	ã	24
穰	穰	r	an	2	稻麥的莖	ɻ	ã	24
瓤	瓤	n	an	2		n	ã	24
壤	壤	r	an	3		ɻ	ã	31
攘	攘	r	an	3		ɻ	ã	31
嚷	嚷	r	an	3		ɻ	ã	31
讓	让	r	an	6		ɻ	ã	33
饒	饶	r	o	2		ɻ	ɔ	24
嬈	娆	r	o	2		ɻ	ɔ	24
橈	桡	r	o	2		ɻ	ɔ	24
擾	扰	r	o	3		ɻ	ɔ	31
繞	绕	r	o	6		ɻ	ɔ	33
惹	惹	r	a	3		ɻ	a	31
熱	热	r	ih	8		ɻ	iʔ	3
人	人	r	en	2		ɻ	əŋ	24
壬	壬	r	en	2		ɻ	əŋ	24
仁	仁	r	en	2		ɻ	əŋ	24
忍	忍	r	en	3		ɻ	əŋ	31
刃	刃	r	en	6		ɻ	əŋ	33
認	认	r	en	6		ɻ	əŋ	33
仞	仞	r	en	6		ɻ	əŋ	33
任	任	r	en	2		ɻ	əŋ	24
任	任	r	en	6		ɻ	əŋ	33
紉	纫	r	en	6		ɻ	əŋ	33
韌	韧	r	en	6		ɻ	əŋ	33
飪	饪	r	en	6		ɻ	əŋ	33
妊	妊	r	en	6		ɻ	əŋ	33
仍	仍	r	en	2		ɻ	əŋ	24
日	日	r	ih	8		ɻ	iʔ	3
戎	戎	r	on	2		ɻ	ɔŋ	24
茸	茸	r	on	2		ɻ	ɔŋ	24
榮	荣		ion	2			iɔŋ	24
狨	狨	r	on	2		ɻ	ɔŋ	24
絨	绒	r	on	2		ɻ	ɔŋ	24
容	容		ion	2			iɔŋ	24
蓉	蓉		ion	2			iɔŋ	24
溶	溶		ion	2			iɔŋ	24
榕	榕		ion	2			iɔŋ	24
熔	熔		ion	2			iɔŋ	24
鎔	镕		ion	2			iɔŋ	24
融	融		ion	2			iɔŋ	24
冗	冗	r	on	3		ɻ	ɔŋ	31
柔	柔	r	eu	2		ɻ	ɤɯ	24
揉	揉	r	eu	2		ɻ	ɤɯ	24
肉	肉	r	oh	8		ɻ	ɔʔ	3
如	如	r	v	2		ɻ	ʋ	24
茹	茹	r	v	2		ɻ	ʋ	24
儒	儒	r	v	2		ɻ	ʋ	24
濡	濡	r	v	2		ɻ	ʋ	24
孺	孺	r	v	2		ɻ	ʋ	24
蠕	蠕	r	v	2		ɻ	ʋ	24
汝	汝	r	v	3		ɻ	ʋ	31
乳	乳	l	v	3		l	ʋ	31
乳	乳	r	v	3		ɻ	ʋ	31
辱	辱	r	oh	8		ɻ	ɔʔ	3
入	入	r	eh	8		ɻ	əʔ	3
縟	缛	r	oh	8		ɻ	ɔʔ	3
褥	褥	r	oh	8		ɻ	ɔʔ	3
阮	阮	r	un	3		ɻ	ʊ̃	31
軟	软	r	un	3		ɻ	ʊ̃	31
蕊	蕊	r	uei	3		ɻ	uəi	31
蕊	蕊	l	v	3		l	ʋ	31
銳	锐	r	uei	6		ɻ	uəi	33
瑞	瑞	sh	uei	5		ʂ	uəi	44
睿	睿	r	uei	6		ɻ	uəi	33
叡	叡	r	uei	6		ɻ	uəi	33
閏	闰	r	uen	6		ɻ	uəŋ	33
潤	润	r	uen	6		ɻ	uəŋ	33
若	若	r	ah	8		ɻ	aʔ	3
偌	偌	r	a	6		ɻ	a	33
弱	弱	r	ah	8		ɻ	aʔ	3
箬	箬	r	ah	8		ɻ	aʔ	3
撒	撒	s	aeh	7		s	iaʔ	4
洒	洒	s	a	3		s	a	31
灑	洒	s	a	3		s	a	31
卅	卅	s	aeh	7		s	iaʔ	4
颯	飒	s	aeh	7		s	iaʔ	4
薩	萨	s	aeh	7		s	iaʔ	4
揌	揌	s	ae	1	填滿	s	ɛ	21
腮	腮	s	ae	1		s	ɛ	21
塞	塞	s	ae	5	邊塞	s	ɛ	44
塞	塞	s	eh	7	堵塞	s	əʔ	4
鰓	鳃	s	ae	1		s	ɛ	21
賽	赛	s	ae	5		s	ɛ	44
三	三	s	aen	1		s	ɛ̃	21
叄	叁	s	aen	1		s	ɛ̃	21
傘	伞	s	aen	3		s	ɛ̃	31
饊	馓	c	aen	3		tsʰ	ɛ̃	31
散	散	s	aen	3	散文，散漫	s	ɛ̃	31
散	散	s	aen	5	分散	s	ɛ̃	44
桑	桑	s	an	1		s	ã	21
嗓	嗓	s	an	3		s	ã	31
喪	丧	s	an	1	喪事	s	ã	21
喪	丧	s	an	5	喪失	s	ã	44
搔	搔	s	o	1		s	ɔ	21
騷	骚	s	o	1		s	ɔ	21
繅	缫	s	o	1		s	ɔ	21
臊	臊	s	o	1	臊臭	s	ɔ	21
臊	臊	s	o	5	害臊	s	ɔ	44
掃	扫	s	o	3		s	ɔ	31
嫂	嫂	s	o	3		s	ɔ	31
𢜶	𢜶	s	o	5		s	ɔ	44
色	色	s	eh	7	顏色	s	əʔ	4
色	色	sh	eh	7	色儿（骰子）	ʂ	əʔ	4
澀	涩	s	eh	7		s	əʔ	4
瑟	瑟	s	eh	7		s	əʔ	4
森	森	sh	en	1		ʂ	əŋ	21
僧	僧	s	en	1		s	əŋ	21
殺	杀	sh	aeh	7		ʂ	iaʔ	4
沙	沙	sh	a	1		ʂ	a	21
紗	纱	sh	a	1		ʂ	a	21
剎	刹	sh	aeh	8	剎車	ʂ	iaʔ	3
砂	砂	sh	a	1		ʂ	a	21
莎	莎	sh	a	1		ʂ	a	21
痧	痧	sh	a	1		ʂ	a	21
煞	煞	sh	aeh	7		ʂ	iaʔ	4
裟	裟	sh	a	1		ʂ	a	21
鯊	鲨	sh	a	1		ʂ	a	21
傻	傻	sh	a	3		ʂ	a	31
廈	厦	sh	a	5	大廈	ʂ	a	44
廈	厦	x	ia	6	廈門	ɕ	ia	33
霎	霎	sh	aeh	7		ʂ	iaʔ	4
篩	筛	sh	ae	1		ʂ	ɛ	21
曬	晒	sh	ae	5		ʂ	ɛ	44
山	山	sh	aen	1		ʂ	ɛ̃	21
杉	杉	sh	aen	1		ʂ	ɛ̃	21
刪	删	sh	aen	1		ʂ	ɛ̃	21
刪	删	sh	uaen	1		ʂ	uɛ̃	21
苫	苫	sh	in	1	草苫，名詞	ɕ	ĩ	21
苫	苫	sh	in	5	遮蓋，動詞	ɕ	ĩ	44
衫	衫	sh	aen	1		ʂ	ɛ̃	21
姍	姗	sh	aen	1		ʂ	ɛ̃	21
珊	珊	sh	aen	1		ʂ	ɛ̃	21
舢	舢	sh	aen	1		ʂ	ɛ̃	21
跚	跚	sh	aen	1		ʂ	ɛ̃	21
搧	搧	sh	in	1		ɕ	ĩ	21
煽	煽	sh	in	1		ɕ	ĩ	21
閃	闪	sh	in	3		ɕ	ĩ	31
陝	陕	sh	in	3		ɕ	ĩ	31
睒	睒	sh	in	3		ɕ	ĩ	31
訕	讪	sh	aen	5		ʂ	ɛ̃	44
汕	汕	sh	aen	5		ʂ	ɛ̃	44
疝	疝	sh	aen	5		ʂ	ɛ̃	44
赸	赸	sh	uaen	1		ʂ	uɛ̃	21
扇	扇	sh	in	1	扇風，動詞	ɕ	ĩ	21
扇	扇	sh	in	5	扇子，名詞	ɕ	ĩ	44
善	善	sh	in	6		ɕ	ĩ	33
騸	骟	sh	in	5		ɕ	ĩ	44
繕	缮	sh	in	6		ɕ	ĩ	33
擅	擅	sh	in	6		ɕ	ĩ	33
膳	膳	sh	in	6		ɕ	ĩ	33
贍	赡	sh	in	6		ɕ	ĩ	33
傷	伤	sh	an	1		ʂ	ã	21
殤	殇	sh	an	1		ʂ	ã	21
商	商	sh	an	1		ʂ	ã	21
熵	熵	sh	an	1		ʂ	ã	21
晌	晌	sh	an	3		ʂ	ã	31
賞	赏	sh	an	3		ʂ	ã	31
上	上	sh	an	6		ʂ	ã	33
尚	尚	sh	an	6		ʂ	ã	33
裳	裳	sh	an	2		ʂ	ã	24
捎	捎	sh	o	1		ʂ	ɔ	21
燒	烧	sh	o	1		ʂ	ɔ	21
梢	梢	sh	o	1		ʂ	ɔ	21
稍	稍	sh	o	1		ʂ	ɔ	21
稍	稍	sh	o	5		ʂ	ɔ	44
艄	艄	sh	o	1		ʂ	ɔ	21
勺	勺	sh	ah	8		ʂ	aʔ	3
芍	芍	sh	ah	8		ʂ	aʔ	3
韶	韶	sh	o	2		ʂ	ɔ	24
少	少	sh	o	3	多少	ʂ	ɔ	31
少	少	sh	o	5	少年	ʂ	ɔ	44
邵	邵	sh	o	6		ʂ	ɔ	33
紹	绍	sh	o	2		ʂ	ɔ	24
紹	绍	sh	o	6		ʂ	ɔ	33
哨	哨	sh	o	5		ʂ	ɔ	44
奢	奢	sh	a	1		ʂ	a	21
賒	赊	sh	a	1		ʂ	a	21
舌	舌	sh	ih	8		ɕ	iʔ	3
佘	佘	sh	a	2		ʂ	a	24
蛇	蛇	sh	a	2		ʂ	a	24
捨	舍	sh	a	3	捨得	ʂ	a	31
舍	舍	sh	a	5	蟹舍	ʂ	a	44
舍	舍	sh	ae	5	宿舍	ʂ	ɛ	44
設	设	sh	ih	7		ɕ	iʔ	4
社	社	sh	a	6		ʂ	a	33
社	社	sh	ae	6		ʂ	ɛ	33
射	射	sh	a	6		ʂ	a	33
涉	涉	ch	ih	8		tɕʰ	iʔ	3
赦	赦	sh	a	5		ʂ	a	44
攝	摄	sh	ih	7		ɕ	iʔ	4
誰	谁	sh	uei	2		ʂ	uəi	24
申	申	sh	en	1		ʂ	əŋ	21
伸	伸	sh	en	1		ʂ	əŋ	21
身	身	sh	en	1		ʂ	əŋ	21
呻	呻	sh	en	1		ʂ	əŋ	21
紳	绅	sh	en	1		ʂ	əŋ	21
珅	珅	sh	en	1		ʂ	əŋ	21
砷	砷	sh	en	1		ʂ	əŋ	21
娠	娠	sh	en	1		ʂ	əŋ	21
深	深	sh	en	1		ʂ	əŋ	21
什	什	sh	eh	8	什錦	ʂ	əʔ	3
神	神	sh	en	2		ʂ	əŋ	24
沈	沈	sh	en	3		ʂ	əŋ	31
瀋	沈	sh	en	3	瀋陽	ʂ	əŋ	31
審	审	sh	en	3		ʂ	əŋ	31
嬸	婶	sh	en	3		ʂ	əŋ	31
腎	肾	sh	en	5		ʂ	əŋ	44
甚	甚	sh	en	2	甚的	ʂ	əŋ	24
甚	甚	sh	en	6	甚至	ʂ	əŋ	33
胂	胂	sh	en	1		ʂ	əŋ	21
滲	渗	sh	en	5		ʂ	əŋ	44
蜃	蜃	sh	en	6		ʂ	əŋ	33
慎	慎	sh	en	6		ʂ	əŋ	33
瘮	瘮	sh	en	5	瘮人	ʂ	əŋ	44
升	升	sh	en	1		ʂ	əŋ	21
昇	升	sh	en	1		ʂ	əŋ	21
生	生	sh	en	1		ʂ	əŋ	21
聲	声	sh	en	1		ʂ	əŋ	21
牲	牲	sh	en	1		ʂ	əŋ	21
陞	陞	sh	en	1		ʂ	əŋ	21
笙	笙	sh	en	1		ʂ	əŋ	21
甥	甥	sh	en	1		ʂ	əŋ	21
繩	绳	sh	en	2		ʂ	əŋ	24
省	省	sh	en	3	省略	ʂ	əŋ	31
省	省	x	ien	3	反省	ɕ	iəŋ	31
聖	圣	sh	en	5		ʂ	əŋ	44
勝	胜	sh	en	5		ʂ	əŋ	44
盛	盛	sh	en	2	盛飯	ʂ	əŋ	24
盛	盛	sh	en	6	盛開	ʂ	əŋ	33
剩	剩	ch	en	5		tʂʰ	əŋ	44
尸	尸	sh	r	1		s	ɿ	21
屍	尸	sh	r	1		s	ɿ	21
失	失	sh	eh	7		ʂ	əʔ	4
師	师	sh	r	1		s	ɿ	21
詩	诗	sh	r	1		s	ɿ	21
蝨	虱	sh	eh	7		ʂ	əʔ	4
獅	狮	sh	r	1		s	ɿ	21
施	施	sh	r	1		s	ɿ	21
溼	湿	sh	eh	7		ʂ	əʔ	4
濕	湿	sh	eh	7		ʂ	əʔ	4
十	十	sh	eh	8		ʂ	əʔ	3
石	石	sh	eh	8		ʂ	əʔ	3
時	时	sh	r	2		s	ɿ	24
識	识	sh	eh	7		ʂ	əʔ	4
實	实	sh	eh	8		ʂ	əʔ	3
拾	拾	sh	eh	8		ʂ	əʔ	3
食	食	sh	eh	8		ʂ	əʔ	3
蝕	蚀	sh	eh	8		ʂ	əʔ	3
蒔	莳	ch	r	6	蒔秧	tsʰ	ɿ	33
史	史	sh	r	3		s	ɿ	31
矢	矢	sh	r	3		s	ɿ	31
使	使	sh	r	3		s	ɿ	31
始	始	sh	r	3		s	ɿ	31
駛	驶	sh	r	3		s	ɿ	31
屎	屎	sh	r	3		s	ɿ	31
士	士	ch	r	6		tsʰ	ɿ	33
士	士	sh	r	6		s	ɿ	33
氏	氏	sh	r	6		s	ɿ	33
示	示	ch	r	6	示眾	tsʰ	ɿ	33
示	示	sh	r	6	表示	s	ɿ	33
世	世	sh	r	5		s	ɿ	44
仕	仕	ch	r	6		tsʰ	ɿ	33
仕	仕	sh	r	6		s	ɿ	33
市	市	sh	r	6		s	ɿ	33
式	式	sh	eh	7		ʂ	əʔ	4
似	似	s	z	6		s	ɿ	33
勢	势	sh	r	5		s	ɿ	44
事	事	sh	r	6		s	ɿ	33
侍	侍	sh	r	6		s	ɿ	33
飾	饰	sh	eh	7		ʂ	əʔ	4
試	试	sh	r	5		s	ɿ	44
視	视	sh	r	6		s	ɿ	33
拭	拭	sh	eh	7		ʂ	əʔ	4
柿	柿	ch	r	6	柿子	tsʰ	ɿ	33
是	是	sh	r	6		s	ɿ	33
適	适	sh	eh	7		ʂ	əʔ	4
室	室	sh	eh	7		ʂ	əʔ	4
逝	逝	sh	r	6		s	ɿ	33
軾	轼	sh	eh	7		ʂ	əʔ	4
舐	舐	sh	r	6		s	ɿ	33
釋	释	sh	eh	7		ʂ	əʔ	4
誓	誓	sh	r	5		s	ɿ	44
匙	匙	ch	r	2		tsʰ	ɿ	24
收	收	sh	eu	1		ʂ	ɤɯ	21
手	手	sh	eu	3		ʂ	ɤɯ	31
守	守	sh	eu	3		ʂ	ɤɯ	31
首	首	sh	eu	3		ʂ	ɤɯ	31
壽	寿	sh	eu	6		ʂ	ɤɯ	33
受	受	sh	eu	6		ʂ	ɤɯ	33
授	授	sh	eu	6		ʂ	ɤɯ	33
售	售	sh	eu	6		ʂ	ɤɯ	33
獸	兽	sh	eu	5		ʂ	ɤɯ	44
綬	绶	sh	eu	6		ʂ	ɤɯ	33
瘦	瘦	sh	eu	5		ʂ	ɤɯ	44
書	书	sh	v	1		ʂ	ʋ	21
抒	抒	sh	v	1		ʂ	ʋ	21
樞	枢	sh	v	1		ʂ	ʋ	21
叔	叔	sh	oh	7		ʂ	ɔʔ	4
殊	殊	sh	v	2		ʂ	ʋ	24
殊	殊	sh	v	5		ʂ	ʋ	44
梳	梳	sh	v	1		ʂ	ʋ	21
淑	淑	sh	oh	7		ʂ	ɔʔ	4
舒	舒	sh	v	1		ʂ	ʋ	21
疏	疏	sh	v	1		ʂ	ʋ	21
輸	输	sh	v	1		ʂ	ʋ	21
毹	毹	sh	v	1		ʂ	ʋ	21
蔬	蔬	sh	v	1		ʂ	ʋ	21
孰	孰	sh	oh	8		ʂ	ɔʔ	3
贖	赎	sh	oh	8		ʂ	ɔʔ	3
塾	塾	sh	oh	8		ʂ	ɔʔ	3
熟	熟	sh	oh	8		ʂ	ɔʔ	3
暑	暑	ch	v	3		tʂʰ	ʋ	31
黍	黍	sh	v	3		ʂ	ʋ	31
屬	属	sh	oh	7	属猪	ʂ	ɔʔ	4
屬	属	sh	oh	8	家属	ʂ	ɔʔ	3
署	署	sh	v	3		ʂ	ʋ	31
蜀	蜀	sh	oh	8		ʂ	ɔʔ	3
鼠	鼠	ch	v	3		tʂʰ	ʋ	31
薯	薯	sh	v	3		ʂ	ʋ	31
術	术	sh	ueh	8		ʂ	uəʔ	3
朮	朮	ch	ueh	8		tʂʰ	uəʔ	3
戍	戍	sh	v	5		ʂ	ʋ	44
束	束	s	oh	7		ʂ	ɔʔ	4
述	述	sh	ueh	8		ʂ	uəʔ	3
樹	树	sh	v	6		ʂ	ʋ	33
豎	竖	sh	v	6		ʂ	ʋ	33
恕	恕	sh	v	5		ʂ	ʋ	44
