單字	聲紐	呼	等	韻部	聲調	組	攝	聲母_定	韻母_定	聲調_定	備註									
斤	見	開	三	欣	平	見	臻	g	en	1										
觔	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	g	en	1										
筋	見	開	三	欣	平	見	臻	g	en	1										
菫	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	g	en	2										
僅	群	開	三	真B	去	見	臻	g	en	2										
緊	見	開	三	真A	上	見	臻	g	en	2										
瑾	群	開	三	真B	去	見	臻	g	en	2										
槿	見	開	三	欣	上	見	臻	g	en	2										
謹	見	開	三	欣	上	見	臻	g	en	2										
近	群	開	三	欣	去	見	臻	g	en	6	靠近									
吉	見	開	三	真A	入	見	臻	g	et	2										
桔	見	開	四	先	入	見	山	g	et	2	桔梗									
橘	見	合	三	真A	入	見	臻	g	et	2										
几	見	開	三	脂B	上	見	止	g	i	1										
幾	群	開	三	微	平	見	止	g	i	2	幾個									
腳	見	開	三	陽	入	見	宕	g	iaak	1										
腳	見	開	三	陽	入	見	宕	g	iaak	1	又音									
今	見	開	三	侵B	平	見	深	g	iaam	1										
金	見	開	三	侵B	平	見	深	g	iaam	1										
錦	見	開	三	侵B	上	見	深	g	iaam	2										
頸	群	開	三	清A	平	見	梗	g	iaang	2										
鏡	見	開	三	庚	去	見	梗	g	iaang	1										
姜	見	開	三	陽	平	見	宕	g	iaang	1										
僵	見	開	三	陽	平	見	宕	g	iaang	1										
薑	見	開	三	陽	平	見	宕	g	iaang	1										
疆	見	開	三	陽	平	見	宕	g	iaang	1										
韁	見	開	三	陽	平	見	宕	g	iaang	1										
羌	溪	開	三	陽	平	見	宕	g	iaang	1										
強								g	iaang	6	倔強									
急	見	開	三	侵B	入	見	深	g	iaap	2										
及	群	開	三	侵B	入	見	深	g	iaap	6										
糾	見	開	三	幽	上	見	流	g	iaau	2	習讀音應爲讀其異體字“紏”之半邊“斗”導致									
糾	見	開	三	幽	上	見	流	g	iaau	2	糾正									
究	見	開	三	尤	去	見	流	g	iaau	1										
赳	見	開	三	幽	上	見	流	g	iaau	2										
九	見	開	三	尤	上	見	流	g	iaau	2										
久	見	開	三	尤	上	見	流	g	iaau	2										
玖	見	開	三	尤	上	見	流	g	iaau	2										
灸	見	開	三	尤	上	見	流	g	iaau	1										
韭	見	開	三	尤	上	見	流	g	iaau	2										
咎	見	開	一	豪	平	見	效	g	iaau	1										
疚	見	開	三	尤	去	見	流	g	iaau	1										
救	見	開	三	尤	去	見	流	g	iaau	1										
舊	群	開	三	尤	去	見	流	g	iaau	6										
激	見	開	四	蕭	去	見	效	g	ik	2										
擊	見	開	四	青	入	見	梗	g	ik	2										
亟	見	開	三	蒸	入	見	曾	g	ik	6	亟需									
極	群	開	三	蒸	入	見	曾	g	ik	6										
兼	見	開	四	添	平	見	咸	g	im	1										
儉	群	開	三	鹽B	上	見	咸	g	im	6										
撿	來	開	三	鹽A	上	來	咸	g	im	2										
檢	見	開	三	鹽B	上	見	咸	g	im	2										
瞼	見	開	三	鹽B	上	見	咸	g	im	2										
劍	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	g	im	1										
肩	見	開	四	先	平	見	山	g	in	1										
堅	見	開	四	先	平	見	山	g	in	1										
件	群	開	三	仙B	上	見	山	g	in	6										
見	見	開	四	先	去	見	山	g	in	1	看見									
建	見	開	三	元	去	見	山	g	in	6										
健	群	開	三	元	去	見	山	g	in	6										
毽	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	g	in	1										
鍵	群	開	三	仙B	平	見	山	g	in	6										
勁	見	開	三	清A	去	見	梗	g	ing	6										
京	見	開	三	庚	平	見	梗	g	ing	1										
荊	見	開	三	庚	平	見	梗	g	ing	1										
莖	匣	開	二	耕	平	影	梗	g	ing	1	習讀音應爲官話影響導致									
涇	見	開	四	青	平	見	梗	g	ing	1										
經	見	開	四	青	平	見	梗	g	ing	1										
兢	見	開	三	蒸	平	見	曾	g	ing	1										
驚	見	開	三	庚	平	見	梗	g	ing	1										
景	見	開	三	庚	上	見	梗	g	ing	2										
憬	見	合	三	庚	上	見	梗	g	ing	2										
警	見	開	三	庚	上	見	梗	g	ing	2										
逕	見	開	四	青	去	見	梗	g	ing	1										
徑	見	開	四	青	去	見	梗	g	ing	1										
竟	見	開	三	庚	去	見	梗	g	ing	2										
敬	見	開	三	庚	去	見	梗	g	ing	1										
境	見	開	三	庚	上	見	梗	g	ing	2										
競	群	開	三	庚	去	見	梗	g	ing	6										
迥	匣	合	四	青	上	影	梗	g	ing	2										
炯	匣	合	四	青	上	影	梗	g	ing	2										
劫	見	開	三	嚴	入	見	咸	g	ip	1										
澀	生	開	三	侵B	入	莊	深	g	ip	1										
杰	群	開	三	仙B	入	見	山	g	it	6										
拮	見	開	三	真A	入	見	臻	g	it	1										
傑	群	開	三	仙B	入	見	山	g	it	6										
結	見	開	四	先	入	見	山	g	it	1										
潔	見	開	四	先	入	見	山	g	it	1										
潔	見	開	四	先	入	見	山	g	it	2										
橛	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	g	it	6	兩橛									
澆	見	開	四	蕭	平	見	效	g	iu	1										
嬌	見	開	三	宵B	平	見	效	g	iu	1										
驕	見	開	三	宵B	平	見	效	g	iu	1										
矯	見	開	三	宵B	上	見	效	g	iu	2										
繳	見	開	四	蕭	上	見	效	g	iu	2										
叫	見	開	四	蕭	去	見	效	g	iu	1										
轎	群	開	三	宵B	平	見	效	g	iu	2										
咯								g	ok	1	咯咯笑									
擱	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	g	ok	1										
閤	見	開	一	唐	入	見	宕	g	ok	1	閤樓									
閣	見	開	一	唐	入	見	宕	g	ok	2	又音									
各	見	開	一	唐	入	見	宕	g	ok	1										
各	見	開	一	唐	入	見	宕	g	ok	2	又音									
角	來	開	一	東	入	來	通	g	ok	5	角仔									
角	來	開	一	東	入	來	通	g	ok	2	直角									
覺	見	開	二	江	入	見	江	g	ok	1	又音									
覺	見	開	二	江	入	見	江	g	ok	2	直觉									
郭	見	合	一	唐	入	見	宕	g	ok	1										
國	見	合	一	登	入	見	曾	g	ok	2										
肛	見	開	二	江	平	見	江	g	ong	1										
岡	見	開	一	唐	平	見	宕	g	ong	1										
缸	匣	開	二	江	平	影	江	g	ong	1										
剛	見	開	一	唐	平	見	宕	g	ong	1										
崗	見	開	一	唐	平	見	宕	g	ong	1										
綱	見	開	一	唐	平	見	宕	g	ong	1										
鋼	見	開	一	唐	平	見	宕	g	ong	1										
槓	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	g	ong	6										
江	見	開	二	江	平	見	江	g	ong	1										
講	見	開	二	江	上	見	江	g	ong	2										
降	見	開	二	江	去	見	江	g	ong	1	降落									
扛	見	開	二	江	平	見	江	g	ong	1										
光	見	合	一	唐	平	見	宕	g	ong	1										
胱	見	合	一	唐	平	見	宕	g	ong	1										
廣	見	合	一	唐	上	見	宕	g	ong	2										
獷	見	合	三	陽	上	見	宕	g	ong	2										
高	見	開	一	豪	平	見	效	g	ou	1	睪丸									
羔	見	開	一	豪	平	見	效	g	ou	1										
睪								g	ou	1										
睾								g	ou	1										
膏	見	開	一	豪	平	見	效	g	ou	1										
篙	見	開	一	豪	平	見	效	g	ou	1										
糕	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	g	ou	1										
稿	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	g	ou	2										
告	見	開	一	豪	去	見	效	g	ou	1	報告									
估	見	開	一	模	上	見	遇	g	u	2	估計									
估	見	開	一	模	上	見	遇	g	u	1	估衣									
咕	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	g	u	1										
沽	見	開	一	模	平	見	遇	g	u	1										
孤	見	開	一	模	平	見	遇	g	u	1										
姑	見	開	一	模	平	見	遇	g	u	1										
菇	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	g	u	1										
辜	見	開	一	模	平	見	遇	g	u	1										
古	見	開	一	模	上	見	遇	g	u	2										
股	見	開	一	模	上	見	遇	g	u	2										
詁	見	開	一	模	上	見	遇	g	u	2										
鼓	見	開	一	模	上	見	遇	g	u	2										
固	見	開	一	模	去	見	遇	g	u	1										
故	見	開	一	模	去	見	遇	g	u	1										
雇	匣	開	一	模	上	影	遇	g	u	1										
僱	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	g	u	1										
錮	見	開	一	模	去	見	遇	g	u	1										
鯝	見	開	一	模	去	見	遇	g	u	1										
顧	見	開	一	模	去	見	遇	g	u	1										
家								g	u	1	曹大家									
賈	見	開	一	模	上	見	遇	g	u	2	商賈									
逛	見	合	三	陽	上	見	宕	g	uaang	6										
轟	曉	合	二	耕	平	影	梗	g	uaang	1										
車	見	開	三	魚	平	見	遇	g	ui	1	車馬炮									
居	見	開	三	之	平	見	止	g	ui	1										
莒	見	開	三	魚	上	見	遇	g	ui	2										
矩	見	合	三	虞	上	見	遇	g	ui	2										
舉	見	開	三	魚	上	見	遇	g	ui	2										
櫸	見	開	三	魚	上	見	遇	g	ui	2										
巨	群	開	三	魚	上	見	遇	g	ui	6										
句	群	合	三	虞	平	見	遇	g	ui	1										
具	群	合	三	虞	去	見	遇	g	ui	6										
炬	群	開	三	魚	上	見	遇	g	ui	6										
据	見	開	三	魚	平	見	遇	g	ui	1										
鉅	群	開	三	魚	上	見	遇	g	ui	6										
踞	見	開	三	魚	去	見	遇	g	ui	1										
據	見	開	三	魚	去	見	遇	g	ui	1										
遽	群	開	三	魚	去	見	遇	g	ui	6										
鋸	見	開	三	魚	去	見	遇	g	ui	1										
懼	群	合	三	虞	去	見	遇	g	ui	6										
瞿	見	合	三	虞	去	見	遇	g	ui	1	瞿然一驚									
圭	見	合	四	齊	平	見	蟹	g	ui	1										
瑰	匣	合	一	灰	平	影	蟹	g	ui	1	玫瑰									
瑰	見	合	一	灰	平	見	蟹	g	ui	1	瑰麗									
閨	見	合	四	齊	平	見	蟹	g	ui	1										
龜	見	合	三	脂B	平	見	止	g	ui	1										
鮭	見	合	四	齊	平	見	蟹	g	ui	1										
歸	見	合	三	微	平	見	止	g	ui	1										
軌	見	合	三	脂B	上	見	止	g	ui	2										
鬼	見	合	三	微	上	見	止	g	ui	2										
癸	見	合	三	脂A	上	見	止	g	ui	1										
晷	見	合	三	脂B	上	見	止	g	ui	2										
詭	見	合	三	支B	上	見	止	g	ui	2										
桂	見	合	四	齊	去	見	蟹	g	ui	1										
貴	見	合	三	微	去	見	止	g	ui	1										
跪	溪	合	三	支B	上	見	止	g	ui	6										
櫃	群	合	三	脂B	去	見	止	g	ui	6										
鱖	見	合	三	祭B	去	見	蟹	g	ui	1										
季	見	合	三	脂A	去	見	止	g	ui	1										
悸	群	合	三	脂A	去	見	止	g	ui	1										
傀	見	合	一	灰	平	見	蟹	g	ui	1	傀偉									
匱	群	合	三	脂B	去	見	止	g	ui	6										
餽	群	合	三	脂B	去	見	止	g	ui	6										
饋	群	合	三	脂B	去	見	止	g	ui	6										
龜								g	ui	1										
俱	見	合	三	虞	平	見	遇	g	ui	1										
谷	見	開	一	東	入	見	通	g	uk	2	山谷									
穀	見	開	一	東	入	見	通	g	uk	2										
掬	見	開	三	東	入	見	通	g	uk	2										
鞠	見	開	三	東	入	見	通	g	uk	2										
局	群	開	三	鍾	入	見	通	g	uk	6										
菊	見	開	三	東	入	見	通	g	uk	2										
捐	以	合	三	仙A	平	以	山	g	un	1										
涓	見	合	四	先	平	見	山	g	un	1										
娟	影	合	三	仙A	平	影	山	g	un	1										
鵑	見	合	四	先	平	見	山	g	un	1										
卷	見	合	三	仙B	上	見	山	g	un	2	試卷									
卷	群	合	三	仙B	平	見	山	g	un	1	卷曲									
捲	群	合	三	仙B	平	見	山	g	un	2										
倦	群	合	三	仙B	去	見	山	g	un	6										
眷	見	合	三	仙B	去	見	山	g	un	6										
絹	見	合	三	仙A	去	見	山	g	un	1										
圈	群	合	三	元	上	見	山	g	un	6	豬圈									
券	溪	合	三	元	去	見	山	g	un	1	習讀音應爲與形近字“卷”混淆導致									
官	見	合	一	寒	平	見	山	g	un	1										
倌	見	合	一	寒	平	見	山	g	un	1										
棺	見	合	一	寒	平	見	山	g	un	1										
觀	見	合	一	寒	平	見	山	g	un	1	參觀									
觀	見	合	一	寒	去	見	山	g	un	1	道觀									
管	見	合	一	寒	上	見	山	g	un	2										
館	見	合	一	寒	去	見	山	g	un	2										
冠	見	合	一	寒	平	見	山	g	un	1										
貫	見	合	一	寒	平	見	山	g	un	1										
灌	見	合	一	寒	去	見	山	g	un	1										
罐	見	合	一	寒	去	見	山	g	un	1										
鸛	見	合	一	寒	去	見	山	g	un	1										
滾	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	g	un	2										
棍	匣	合	一	魂	上	影	臻	g	un	1										
均	見	合	三	真A	平	見	臻	g	un	1										
君	見	合	三	文	平	見	臻	g	un	1										
軍	見	合	三	文	平	見	臻	g	un	1										
鈞	見	合	三	真A	平	見	臻	g	un	1										
郡	群	合	三	文	去	見	臻	g	un	6										
工	見	開	一	東	平	見	通	g	ung	1										
弓	見	開	三	東	平	見	通	g	ung	1										
公	見	開	一	東	平	見	通	g	ung	1										
功	見	開	一	東	平	見	通	g	ung	1										
攻	見	開	一	東	平	見	通	g	ung	1										
恭	見	開	三	鍾	平	見	通	g	ung	1										
蚣	見	開	一	東	平	見	通	g	ung	1										
躬	見	開	三	東	平	見	通	g	ung	1										
宮	見	開	三	東	平	見	通	g	ung	1										
拱	見	開	三	鍾	上	見	通	g	ung	2										
鞏	見	開	三	鍾	上	見	通	g	ung	2										
共	見	開	三	鍾	平	見	通	g	ung	6										
供	見	開	三	鍾	去	見	通	g	ung	1										
貢	見	開	一	東	去	見	通	g	ung	1										
紅								g	ung	1	女紅									
哥	見	開	一	歌	平	見	果	g	uo	1										
歌	見	開	一	歌	平	見	果	g	uo	1										
戈	見	合	一	歌	平	見	果	g	uo	1										
果	見	合	一	歌	上	見	果	g	uo	2										
裹	見	合	一	歌	上	見	果	g	uo	2										
粿	見	合	一	歌	上	見	果	g	uo	2										
過	見	合	一	歌	平	見	果	g	uo	1										
渦	見	合	一	歌	平	見	果	g	uo	1	渦河									
個	見	開	一	歌	去	見	果	g	uoi	1										
賅	見	開	一	咍	平	見	蟹	g	uoi	1										
該	見	開	一	咍	平	見	蟹	g	uoi	1										
改	見	開	一	咍	上	見	蟹	g	uoi	2										
蓋	見	開	一	泰	去	見	蟹	g	uoi	1										
蓋	見	開	一	泰	去	見	蟹	g	uoi	5	杯蓋									
肝	見	開	一	寒	平	見	山	g	uon	1										
竿	見	開	一	寒	平	見	山	g	uon	1										
杆	見	開	一	寒	去	見	山	g	uon	1										
桿	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	g	uon	1										
稈	見	開	一	寒	上	見	山	g	uon	2										
趕	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	g	uon	2										
干	見	開	一	寒	平	見	山	g	uon	1										
幹	見	開	一	寒	去	見	山	g	uon	1	乾燥									
乾	見	開	一	寒	平	見	山	g	uon	1										
割	見	開	一	寒	入	見	山	g	uot	1										
葛	見	開	一	寒	入	見	山	g	uot	1										
葛	見	開	一	寒	入	見	山	g	uot	5	白讀									
骨	見	合	一	魂	入	見	臻	g	ut	2										
滑	見	合	一	魂	入	見	臻	g	ut	2	滑稽									
掘	群	合	三	文	入	見	臻	g	ut	6										
崛	群	合	三	文	入	見	臻	g	ut	6										
倔	群	合	三	文	入	見	臻	g	ut	6										
哈	疑	開	一	覃	入	見	咸	h	aa	1										
蛤								h	aa	1	蛤蟆									
廈	匣	開	二	麻	上	影	假	h	aa	6										
他	透	開	一	歌	平	端	果	h	aa	1										
它	透	開	一	歌	平	端	果	h	aa	1										
她	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h	aa	1										
牠	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h	aa	1										
祂	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h	aa	1										
蝦	匣	開	二	麻	平	影	假	h	aa	1	蝦仁									
蝦								h	aa	4	蝦蟆									
遐	匣	開	二	麻	平	影	假	h	aa	4										
瑕	匣	開	二	麻	平	影	假	h	aa	4										
暇	匣	開	二	麻	去	影	假	h	aa	6										
霞	匣	開	二	麻	平	影	假	h	aa	4										
下	匣	開	二	麻	去	影	假	h	aa	6	下面									
下	匣	開	二	麻	上	影	假	h	aa	5	打一下									
夏	匣	開	二	麻	上	影	假	h	aa	6										
貸	透	開	一	咍	去	端	蟹	h	aai	1										
孩	匣	開	一	咍	平	影	蟹	h	aai	4	習讀音應爲官話影響導致									
骸	匣	開	二	皆	平	影	蟹	h	aai	4	習讀音應爲官話影響導致									
解	匣	開	二	佳	去	影	蟹	h	aai	6	姓解									
太	透	開	一	泰	去	端	蟹	h	aai	1										
汰	透	開	一	泰	去	端	蟹	h	aai	1										
泰	透	開	一	泰	去	端	蟹	h	aai	1										
態	透	開	一	咍	去	端	蟹	h	aai	1										
鞋	匣	開	二	佳	平	影	蟹	h	aai	4										
諧	匣	開	二	皆	平	影	蟹	h	aai	4										
械	匣	開	二	皆	去	影	蟹	h	aai	6										
邂	匣	開	二	佳	去	影	蟹	h	aai	1										
懈	見	開	二	佳	去	見	蟹	h	aai	6										
蟹	匣	開	二	佳	上	影	蟹	h	aai	2										
蟹	匣	開	二	佳	上	影	蟹	h	aai	2	又音									
堤	常	開	三	支A	平	章	止	h	aai	4										
繫	匣	開	四	齊	去	影	蟹	h	aai	6										
梯	透	開	四	齊	平	端	蟹	h	aai	1										
提	常	開	三	支A	平	章	止	h	aai	4										
啼	定	開	四	齊	平	端	蟹	h	aai	4										
蹄	定	開	四	齊	平	端	蟹	h	aai	4										
題	定	開	四	齊	平	端	蟹	h	aai	4										
體	透	開	四	齊	上	端	蟹	h	aai	2										
剃	透	開	四	齊	去	端	蟹	h	aai	1										
涕	透	開	四	齊	上	端	蟹	h	aai	1										
屜	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h	aai	1										
替	透	開	四	齊	去	端	蟹	h	aai	1										
嚏	端	開	四	齊	去	端	蟹	h	aai	1										
兮	匣	開	四	齊	平	影	蟹	h	aai	4										
奚	匣	開	四	齊	平	影	蟹	h	aai	4										
系	匣	開	四	齊	去	影	蟹	h	aai	6										
係	見	開	四	齊	去	見	蟹	h	aai	6										
咯								h	aak	1	咯血									
赫	曉	開	二	庚	入	影	梗	h	aak	2										
黑	曉	開	一	登	入	影	曾	h	aak	2										
喀	溪	開	二	庚	入	見	梗	h	aak	2										
可								h	aak	2	可汗									
克	溪	開	一	登	入	見	曾	h	aak	2										
刻	溪	開	一	登	入	見	曾	h	aak	2										
剋	溪	開	一	登	入	見	曾	h	aak	2										
客	溪	開	二	庚	入	見	梗	h	aak	2	客家									
客	溪	開	二	庚	入	見	梗	h	aak	1	人客									
嚇	曉	開	二	麻	去	影	假	h	aak	2										
嘿	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h	aak	2	嘿嘿									
淡	定	開	一	談	上	端	咸	h	aam	5	好淡									
函	匣	開	一	覃	平	影	咸	h	aam	4										
涵	匣	開	一	覃	平	影	咸	h	aam	4										
喊	曉	開	一	談	上	影	咸	h	aam	1										
鹹	匣	開	二	咸	平	影	咸	h	aam	4										
貪	透	開	一	覃	平	端	咸	h	aam	1										
痰	定	開	一	談	平	端	咸	h	aam	4										
談	定	開	一	談	平	端	咸	h	aam	4										
潭	定	開	一	覃	平	端	咸	h	aam	4										
罈	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h	aam	4										
譚	定	開	一	覃	平	端	咸	h	aam	4										
探	透	開	一	覃	平	端	咸	h	aam	1										
咸	匣	開	二	咸	平	影	咸	h	aam	4										
銜	匣	開	二	銜	平	影	咸	h	aam	4										
陷	匣	開	二	咸	去	影	咸	h	aam	6										
餡	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h	aam	4										
酣	匣	開	一	談	平	影	咸	h	aam	4										
憨	曉	開	一	談	平	影	咸	h	aam	1										
含	匣	開	一	覃	平	影	咸	h	aam	4										
撼	匣	開	一	覃	上	影	咸	h	aam	6										
憾	匣	開	一	覃	去	影	咸	h	aam	6										
勘	溪	開	一	覃	去	見	咸	h	aam	1										
堪	溪	開	一	覃	平	見	咸	h	aam	1										
龕	溪	開	一	覃	平	見	咸	h	aam	1										
坎	溪	開	一	覃	上	見	咸	h	aam	2										
砍	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h	aam	2										
崁	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h	aam	1										
瞰	溪	開	一	談	去	見	咸	h	aam	1										
嵌	溪	開	二	銜	平	見	咸	h	aam	6										
彈	定	開	一	寒	平	端	山	h	aan	4	彈劾									
攤	透	開	一	寒	平	端	山	h	aan	1										
灘	透	開	一	寒	平	端	山	h	aan	1										
癱	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h	aan	1										
壇	定	開	一	寒	平	端	山	h	aan	4										
檀	定	開	一	寒	平	端	山	h	aan	4										
忐	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h	aan	2	習讀音應爲官話影響導致									
坦	透	開	一	寒	上	端	山	h	aan	2										
袒	定	開	一	寒	上	端	山	h	aan	2										
毯	透	開	一	談	上	端	咸	h	aan	2										
炭	透	開	一	寒	去	端	山	h	aan	1										
碳	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h	aan	1										
嘆	透	開	一	寒	平	端	山	h	aan	1										
歎	透	開	一	寒	去	端	山	h	aan	1										
閒	見	開	二	山	平	見	山	h	aan	4										
嫻	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h	aan	4										
限	匣	開	二	山	上	影	山	h	aan	6										
痕	匣	開	一	痕	平	影	臻	h	aan	4										
很	匣	開	一	痕	上	影	臻	h	aan	2										
狠	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h	aan	2										
恨	匣	開	一	痕	去	影	臻	h	aan	6										
墾	溪	開	一	痕	上	見	臻	h	aan	2										
懇	溪	開	一	痕	上	見	臻	h	aan	2										
行	匣	開	二	庚	平	影	梗	h	aang	4	步行									
行	匣	開	二	庚	去	影	梗	h	aang	6	品行									
恆	匣	開	一	登	平	影	曾	h	aang	4										
衡	匣	開	二	庚	平	影	梗	h	aang	4										
肯	溪	開	一	登	上	見	曾	h	aang	2										
啃	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h	aang	2										
坑	溪	開	二	庚	平	見	梗	h	aang	1										
鏗	溪	開	二	耕	平	見	梗	h	aang	1										
藤	定	開	一	登	平	端	曾	h	aang	4										
騰	定	開	一	登	平	端	曾	h	aang	4										
籐	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h	aang	4										
杏	匣	開	二	庚	上	影	梗	h	aang	6										
幸	匣	開	二	耕	上	影	梗	h	aang	6										
倖	匣	開	二	耕	上	影	梗	h	aang	6										
掐	溪	開	二	咸	入	見	咸	h	aap	1										
塌	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h	aap	1										
塔	透	開	一	談	入	端	咸	h	aap	1										
榻	透	開	一	談	入	端	咸	h	aap	1										
匣	匣	開	二	銜	入	影	咸	h	aap	6										
峽	匣	開	二	咸	入	影	咸	h	aap	6										
狹	匣	開	二	咸	入	影	咸	h	aap	6										
閤								h	aap	6	閤眼									
合	匣	開	一	覃	入	影	咸	h	aap	6	合格									
盒	匣	開	一	覃	入	影	咸	h	aap	6										
闔	匣	開	一	談	入	影	咸	h	aap	6										
嗑	匣	開	一	談	入	影	咸	h	aap	2										
磕	溪	開	一	泰	去	見	蟹	h	aap	6										
瞌	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h	aap	2										
洽	匣	開	二	咸	入	影	咸	h	aap	2										
恰	溪	開	二	咸	入	見	咸	h	aap	2										
俠	匣	開	四	添	入	影	咸	h	aap	6										
劾	溪	開	二	皆	去	見	蟹	h	aat	6										
核	匣	開	二	耕	入	影	梗	h	aat	6										
瞎	曉	開	二	刪	入	影	山	h	aat	6										
轄	溪	開	一	泰	去	見	蟹	h	aat	6										
酵	見	開	二	肴	去	見	效	h	aau	1										
考	溪	開	一	豪	上	見	效	h	aau	2										
拷	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h	aau	1										
烤	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h	aau	1										
巧	溪	開	二	肴	上	見	效	h	aau	2										
孝	曉	開	二	肴	去	影	效	h	aau	1										
校	匣	開	二	肴	去	影	效	h	aau	6	學校									
哮	曉	開	二	肴	平	影	效	h	aau	1										
效	匣	開	二	肴	去	影	效	h	aau	6										
侯	匣	開	一	侯	平	影	流	h	aau	4										
喉	匣	開	一	侯	平	影	流	h	aau	4										
猴	匣	開	一	侯	平	影	流	h	aau	4										
吼	曉	開	一	侯	上	影	流	h	aau	1										
后	匣	開	一	侯	上	影	流	h	aau	6										
厚	匣	開	一	侯	上	影	流	h	aau	5										
逅	匣	開	一	侯	去	影	流	h	aau	6										
後	匣	開	一	侯	上	影	流	h	aau	6										
候	匣	開	一	侯	去	影	流	h	aau	6										
口	溪	開	一	侯	上	見	流	h	aau	2										
偷	透	開	一	侯	平	端	流	h	aau	1										
投	定	開	一	侯	平	端	流	h	aau	4										
頭	定	開	一	侯	平	端	流	h	aau	4										
透	透	開	一	侯	去	端	流	h	aau	1										
皓	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h	aau	6										
釐								h	ei	1	恭賀新釐									
欺	溪	開	三	之	平	見	止	h	ei	1										
起	溪	開	三	之	上	見	止	h	ei	2										
豈	溪	開	三	微	上	見	止	h	ei	2										
汽	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h	ei	1										
氣	溪	開	三	微	去	見	止	h	ei	1										
棄	溪	開	三	脂A	去	見	止	h	ei	1										
器	溪	開	三	脂B	去	見	止	h	ei	1										
憩	溪	開	三	祭B	去	見	蟹	h	ei	1										
希	曉	開	三	微	平	影	止	h	ei	1										
烯	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h	ei	1										
稀	曉	開	三	微	平	影	止	h	ei	1										
熙	曉	開	三	之	平	影	止	h	ei	1										
嘻	曉	開	三	之	平	影	止	h	ei	1										
嬉	曉	開	三	之	平	影	止	h	ei	1										
熹	曉	開	三	之	平	影	止	h	ei	1										
羲	曉	開	三	支B	平	影	止	h	ei	1										
曦	曉	開	三	支B	平	影	止	h	ei	1										
犧	曉	開	三	支B	平	影	止	h	ei	1										
喜	曉	開	三	之	上	影	止	h	ei	2										
禧	曉	開	三	之	平	影	止	h	ei	1										
戲	曉	開	三	支B	平	影	止	h	ei	1										
亨	曉	開	二	庚	平	影	梗	h	eng	1										
哼	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h	eng	1	哼歌									
乞	溪	開	三	欣	入	見	臻	h	et	2										
吃								h	iaak	1	吃飯									
聽	透	開	四	青	平	端	梗	h	iaang	1	聽力									
廳	透	開	四	青	平	端	梗	h	iaang	1										
艇	定	開	四	青	上	端	梗	h	iaang	5										
艇	定	開	四	青	上	端	梗	h	iaang	1										
亭	定	開	四	青	平	端	梗	h	iaang	5	亭仔									
晌	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h	iaang	2										
香	曉	開	三	陽	平	影	宕	h	iaang	1										
鄉	曉	開	三	陽	平	影	宕	h	iaang	1										
