#符号说明：-白=文/书*俗?待考	
#调值	[1]⁴⁴ [2]³¹ [3]⁵⁴ [5]³⁵ [6]²¹³
#ɿ	
ʃ	[1]书舒输[2]薯[3]曙暑鼠黍署□{骗、推脱}[5]庶恕竖树树[6]戍殊悉蟋蓄
k	[1]居车{~马炮}枢拘驹[3]榉炬举矩[5]锯句[6]据渠巨拒距俱具惧剧菊鞠局倔
kʰ	[1]躯区驱[5]祛[6]瞿窟屈曲
x	[1]圩虚嘘吁[3]许雨{又}
Ø	[1]淤[2]茹俞瑜渝如鱼渔于余儒愚虞娱迂盂愉[3]屿汝语与乳雨宇禹羽[5]御誉预豫遇寓芋愈喻裕沂入域疫役玉煜欲浴毓

#a	
p	[1]吧巴芭疤笆爸[2]八捌[3]靶把{~握}[5]霸把{刀~}坝[6]罢拔
pʰ	[1]趴[2]葩扒爬琶杷耙[5]怕
m	[1]蟆妈[2]痳麻[3]蚂玛马码[6]骂抹
f	[6]法乏发伐筏罚阀
t	[3]打[6]大{老~}答搭踏搨沓达
tʰ	[1]她他它[6]塔榻塌遢
n	[2]拿[3]哪[6]纳捺[5]那
l	[1]喇拉啦[5]旯[6]腊蜡镴邋辣
ts	[2]杂[6]砸
tsʰ	[6]擦
s	[1]萨[3]洒撒
tʃ	[1]楂渣[3]鲊[5]诈榨炸[6]乍眨闸扎札铡吒
tʃʰ	[1]叉差{~错}杈[2]茶搽查察[5]岔汊[6]插
ʃ	[1]裟砂鲨痧沙纱杉[3]傻[6]杀刹煞
k	[5]尬[2]旮
kʰ	[1]咖[3]卡
ŋ	[1]桠[3]哑
x	[1]哈
Ø	[1]阿

#ia	
n	[1]□{粘、靠近}[6]□{~火：恼火}
k	[1]枷家加痂袈嘉家佳[3]假贾[5]架驾嫁稼价[6]荚夹甲胛匣挟
kʰ	[2]□{迈过去}[6]恰掐洽
x	[1]虾霞[2]蛤[5]厦下夏[6]狭峡侠挟瞎辖暇
Ø	[1]鸦丫[2]蚜牙芽衙[3]讶雅亚[6]鸭押压轧

#ua	
tʃ	[1]抓
ʃ	[3]耍[6]涮刷
k	[1]呱瓜[3]寡剐[5]挂卦[6]刮
kʰ	[1]夸跨胯[3]挎垮
x	[1]哗花[2]华铧桦骅滑猾[5]化划画话划
Ø	[1]娃蛙洼挖[3]搲瓦[6]袜

#ᴇ	
p	[6]秕别鳖瘪憋
pʰ	[6]撇
m	[6]灭篾
f	[5]□{发情，风骚}
t	[1]爹[6]跌叠碟蝶谍跌
tʰ	[6]帖贴铁
n	[6]聂镊蹑孽捻捏业
l	[6]猎列烈裂劣
ts	[3]姐且[5]借藉[6]接节疖截
tsʰ	[5]笡[6]沏切妾窃截{又}
s	[1]些[2]邪斜泄摄涉[3]写[5]泻卸谢
tʃ	[1]遮[3]者[5]蔗鹧[6]捷褶哲蜇辙折{~叠}浙
tʃʰ	[1]车{单~}[3]扯[5]翅[6]彻撤
ʃ	[1]奢赊佘嗜蝎[2]蛇舌折{~本}[6]设[3]舍{~得}捨[5]射麝赦社舍{宿~}射
k	[2]茄[6]拮诘杰揭结结洁劫
kʰ	[6]怯竭
x	[2]携胁歇[6]谐协穴涎

#iᴇ	
Ø	[1]椰噎[2]爷[3]冶惹也野[5]夜[6]叶页热

#yᴇ	
ts	[2]绝
s	[6]薛雪削
ʃ	[6]说
k	[6]决诀
kʰ	[3]□{折断}[6]阙獗厥蕨缺
x	[1]靴[6]血
Ø	[3]抈[6]跃悦阅月越曰粤

#ɤ̽	
p	[1]擘{掰}[2]白[6]粕铂北百柏伯
pʰ	[6]帕迫拍魄珀箔
m	[6]墨麦脉
t	[6]得德
tʰ	[6]特
l	[6]肋勒
ts	[6]则贼泽择宅窄责摘仄
tsʰ	[6]厕侧测拆策册
s	[6]虱塞色啬涩
k	[6]嗝膈格革隔胳疙
kʰ	[5]去[6]刻克客咳
ŋ	[6]腭额扼轭
x	[6]吓核黑
Ø	[2]儿而[3]尔耳饵[5]二贰

#o	
p	[1]波菠玻[2]薄[5]簸播[6]渤脖搏膊舶礴钵拨勃博泊{湖~；停~}缚剥驳帛
pʰ	[1]□{樖，量词，一~树}坡[2]婆[3]颇[5]破薄剖[6]泼
m	[1]摸么仫{~佬族}磨魔摩摹摸[2]磨{~刀}馍模膜漠[6]蘑磨{石~}茉末沫抹没{沉~}莫寞默陌
t	[1]多[3]朵躲[5]剁堕[6]惰夺
tʰ	[1]拖[2]鸵砣坨驼陀紽驮舵[3]妥椭[6]脱讬托
n	[1]捼揉搓[2]娜挪[6]糯懦诺
l	[1]啰[2]逻罗锣箩萝骡螺脶[3]裸[6]落烙骆酪洛络乐{快~}略掠乐{音~}
ts	[2]凿爵[3]左佐[6]坐座茁辍作昨
tsʰ	[1]磋搓[5]挫锉措错[6]撮雀鹊龊□{涴~：垃圾}
s	[1]蓑梭唆莎[3]唢锁琐所[6]索削朔嗍硕
tʃ	[2]着啄镯[6]酌灼绰桌卓琢捉
tʃʰ	[6]戳
k	[1]歌哥锅戈[3]果裹馃[5]个过[6]帼割葛各阁搁胳郭廓霍藿角国
kʰ	[1]苛科蝌[3]可棵颗[5]课[6]磕瞌渴括阔扩确壳
ŋ	[2]娥峨蛾鹅俄讹[3]我[6]饿卧愕鳄噩鄂
x	[1]荷喝[2]河何荷和{~气}禾[3]火伙[5]贺货祸和{~泥}[6]阖瞌合鸽盒豁活鹤获或惑
Ø	[1]屙倭窝涡莴蜗凹[5]涴{~tsʰo²¹³：垃圾}[6]恶{~心}沃

#io	
k	[6]脚觉{发~}
kʰ	[6]却
ŋ	[6]弱虐疟谑
x	[6]学
Ø	[6]若约药钥跃岳

#iu	
Ø	[6]肉育辱褥狱

#ai	
p	[1]跛□{女阴}[3]摆[5]拜[6]稗败
pʰ	[2]排牌篺[3]□{张开两臂量长短}[5]派
m	[2]埋[3]买[6]卖迈
t	[1]呆[5]戴带[6]待怠殆代袋贷逮
tʰ	[1]胎[2]臺台苔抬[5]汰态太泰
n	[1]奶{祖母}[3]乃奶{乳汁}[6]耐奈
l	[2]来[3]□{液体渗漏}[6]赖癞
ts	[1]灾栽[3]宰崽[5]载[6]再在
tsʰ	[2]才材财裁[3]彩采睬[5]菜蔡
s	[1]腮鳃
tʃ	[1]斋[5]债[6]寨
tʃʰ	[1]猜钗差{出~}[2]豺柴
ʃ	[1]筛[5]赛晒
k	[1]该皆阶街[3]改解[5]钙诫概溉盖丐介界芥疥届戒械□{~板}
kʰ	[1]开揩[3]铠凯楷□{这~：这里}[5]慨
ŋ	[1]哀[2]埃挨[3]蔼矮[5]爱[6]碍艾
x	[2]骸孩鞋[3]海蟹[5]骇亥害

#iai	
Ø	[2]涯崖[5]懈

#uai	
ts	[3]□{丢、扔}
tsʰ	[1]搋{~面}
s	[1]衰
ʃ	[5]帅率{~领}蟀
k	[1]乖[3]拐[5]怪
kʰ	[3]块[5]会会计刽快筷
x	[2]怀槐淮[5]坏
Ø	[1]歪[6]外

#əi	
p	[1]杯背{~书包}碑卑悲[5]蓓贝背{后~}痱[6]辈焙倍
pʰ	[1]胚坯[2]培陪赔裴[5]沛配佩[6]
m	[2]玫莓脢霉梅枚玫媒煤脢莓楣霉[3]每美没{~有}[6]魅妹昧寐
f	[1]啡菲非飞妃[2]肥[3]霏匪翡[5]废肺费
t	[1]堆[3]□{批发，贩卖}[5]对碓队兑
tʰ	[1]推[2]颓[3]腿[5]退蜕
n	[3]馁[6]内
l	[1]镭{铜~：圆形中间无空的铜元，与外圆中方的铜钱不同}[2]雷擂[3]蕾儡累{累积}垒[6]累劳累类泪
ts	[3]嘴[5]最醉[6]罪
tsʰ	[1]摧璀催崔虽[2]随[5]淬悴萃脆翠粹
s	[2]绥[3]髓[5]邃碎岁秽遂隧穗
k	[3]给{交~}

#uəi	
tʃ	[1]追锥[6]缀赘坠
tʃʰ	[1]吹炊[2]槌锤
ʃ	[1]陲[2]垂谁[3]水[5]税睡瑞
k	[1]硅圭闺规龟归[3]诡轨鬼[5]鳜桂癸贵[6]跪柜
kʰ	[1]盔亏窥[2]魁奎逵葵[3]傀[5]脍溃愧
ŋ	[2]桅危
x	[1]恢灰麾挥辉徽[2]蛔回茴[3]悔毁[5]荟蕙彗尉蔚贿晦汇会绘彗惠慧慰
Ø	[1]薇煨威危{又}[2]韦为{行~}维惟唯微围违苇[3]痿萎委尾讳伟纬伪[5]偎猥猬渭卫喂为{~了}位未魏畏胃谓猬[6]味


#au	
p	[1]包胞苞褒煲[3]保堡葆宝饱[5]龅报暴豹爆鲍雹曝瀑[6]抱菢
pʰ	[1]抛脬[2]袍刨咆匏{~颈：大脖子病}[3]跑[5]泡炮
m	[2]矛毛茅[3]铆卯[6]冒帽貌
t	[1]刀[3]祷岛倒捣导[5]到[6]道稻盗悼
tʰ	[1]韬焘叨滔涛[2]綯掏桃逃淘陶萄[3]讨[5]套
n	[2]挠[3]瑙脑恼[6]闹□{吵架}
l	[1]捞[2]劳牢唠痨涝[3]佬老姥
ts	[1]遭糟[3]藻早蚤澡藻[5]灶[6]皂
tsʰ	[1]操[2]噪嘈曹槽巢[3]草[5]燥躁糙造燥
s	[1]骚臊搔[2]□{吃，~碗粥}[3]嫂[5]扫
tʃ	[1]朝{~阳}召昭招诏[3]枣爪找[5]晁罩笊兆照[6]赵肇
tʃʰ	[1]超抄钞[2]嘲朝{~代}潮[3]炒吵
ʃ	[1]烧稍[2]韶邵勺芍[3]少{多~}[5]潲少{年~}绍肇{又}
k	[1]高膏篙羔糕膏[3]稿搞[5]告窖
kʰ	[1]敲[3]考烤拷[5]靠犒
ŋ	[2]遨嗷敖熬[3]袄咬[5]澳拗傲奥懊坳
x	[1]蒿薅[2]嚎蚝豪壕毫号{~叫}[3]好{良~}郝[5]皓好{喜~}耗浩号{编~}

#iau	
p	[1]飙镖猋瀌膘标彪[3]裱表婊
pʰ	[1]飘漂{~浮}[2]瓢嫖[5]漂{~亮}票
m	[1]猫瞄{偷~：偷看}[2]瞄{~准}锚苗描[3]缈藐渺秒杳[6]庙妙
t	[1]叼凋碉刁貂雕[5]钓吊[6]掉调{~查}
tʰ	[1]挑[2]条调{协~}[3]斢{调换，~灯泡}[5]跳
n	[3]袅鸟[6]尿
l	[1]撩[2]潦燎疗聊辽僚嘹鹩瞭镣[3]了[6]料廖
ts	[1]礁焦蕉椒樵[3]剿[6]嚼
tsʰ	[1]缲悄[2]憔瞧[5]俏
s	[1]消宵霄硝销逍萧箫屑[3]小[5]笑鞘
k	[1]跤蛟姣交郊胶教{~书}茭骄娇矫浇[3]绞铰搅缴饺[5]教{~训}觉{睡~}叫[6]轿藠
kʰ	[2]蹻乔侨桥荞[3]狡巧[5]翘窍
ŋ	[3]□{爪}
x	[1]嚣侥[2]肴淆[3]饶绕晓[5]校{学~}较酵孝效
Ø	[1]妖邀腰要{~求}幺吆[2]摇谣窑姚遥鹞尧[3]扰舀[5]要{想~}[6]耀

#əu	
m	[1]踎{蹲}[2]谋[3]某亩牡[5]茂贸
f	[2]蜉浮[3]缶埠否[5]阜
t	[1]蔸兜[3]蚪斗{北~}抖陡□{踢}[5]窦斗{争斗}鬥[6]豆逗痘
tʰ	[1]偷[2]头投[3]敨[5]透
n	[1]□{脸~~：郁闷，不开心}
l	[1]褛{长褛}□{掏，~耳朵}[2]骝楼[3]屡搂髅篓喽[6]漏陋
ts	[1]邹[3]走[5]做绉揍
tsʰ	[1]搊[5]奏凑
s	[1]艘搜飕馊[5]嗽瘦
tʃ	[1]周舟州洲[3]肘[5]昼宙咒
tʃʰ	[1]抽[2]绸稠筹仇{报~}酬愁[3]丑[5]臭
ʃ	[1]收[3]手首守狩[5]兽受寿授售
k	[1]勾钩沟阄[2]嚿{量词，团、块}[3]枸疚狗苟[5]垢够构购
kʰ	[1]抠[3]口[5]叩扣寇
ŋ	[1]欧鸥殴[3]藕偶呕[5]沤怄
x	[1]睺{扯~：眼馋}佝{弯腰}[2]侯喉猴[5]后厚候

#iəu	
m	[3]□{没有的合音}[5]谬
t	[1]丢
n	[3]纽扭钮
l	[1]溜馏[2]流刘留榴硫琉[3]柳
ts	[3]酒[6]就
tsʰ	[1]秋鳅[2]囚泅
s	[1]修羞[5]秀绣锈嗅袖
k	[1]鸠纠揪[3]九久韭灸[5]救究臼咎柩[6]舅旧
kʰ	[1]丘蚯邱[2]求球仇俅裘
ŋ	[2]牛[5]皱
x	[1]休[3]朽
Ø	[1]忧优攸悠幽[2]尤鱿犹柔揉由油邮游[3]有友酉莠[5]又右佑诱柚鼬釉幼

#an	
p	[1]班斑癍颁扳般瘢[3]板版[6]扮瓣办
pʰ	[1]攀[5]盼襻
m	[2]蛮[6]曼慢馒漫幔蔓
f	[1]番幡蕃藩翻[2]梵樊凡帆烦繁矾[3]反返[5]泛范犯贩[6]饭
t	[1]耽担{承~}丹单{孤~}[3]凼胆疸[5]担{重~}[6]淡旦诞但弹子{~蛋}
tʰ	[1]贪坍滩摊瘫[2]啖潭谭谈掸檀坛弹{~琴}[3]疸袒毯坦[5]探炭叹
n	[1]喃[2]男南难{困~}[3]腩[6]难{患~}
l	[1]篮[2]蓝兰拦栏[3]览揽榄缆懒[6]滥烂
ts	[1]詹[3]崭斩攒[6]暂錾赞
tsʰ	[1]参{~加}餐[2]鑱蚕痰惭谗馋残漦{口水}[3]惨□{挪动}[5]灿
s	[1]姗三[3]散{松~}伞[5]散{解~}
tʃ	[3]盏[6]站绽栈湛
tʃʰ	[1]搀忏[2]蝉禅{坐~}[3]铲产
ʃ	[1]山衫珊删[5]禅{~让}汕讪疝
k	[1]干{~燥}肝甘柑泔疳尴[3]感敢橄减竿杆秆擀赶[5]鉴干{骨~}赣
kʰ	[1]堪龛坎勘刊[3]砍侃[5]看{小~}
ŋ	[1]庵鹌安鞍氨桉[2]癌岩[5]暗黯岸按案雁晏
x	[1]憨酣鼾[2]函涵含咸衔寒韩[3]撼喊罕[5]陷馅汉汗旱焊捍悍翰瀚限憾

#iᴇn	
p	[1]鞭边[3]贬扁匾蝙[5]变辨辩[6]便{方~}辫
pʰ	[1]篇偏编翩[2]便{~宜}[5]骗片遍
m	[2]绵棉眠[3]冕免勉娩[6]缅面
t	[1]颠癫巅[3]点典碘腆[6]店掂惦踮玷佃甸簟电殿奠垫淀
tʰ	[1]添天[2]甜田填[3]舔[5]掭
n	[1]拈研[2]鲇严年[3]碾撵[6]验念
l	[2]廉镰帘连莲鲢联怜[3]脸敛殓[6]练炼炼楝恋链
ts	[1]尖煎[3]翦剪[5]箭荐[6]贱饯
tsʰ	[1]千纤迁歼签签笺[2]潜钱前[3]浅
s	[1]仙先[2]婵阐赡[3]冼[5]渐线
tʃ	[1]沾粘瞻占毡[3]蘸展[5]占战颤□{~鸡：未生蛋的母鸡}
ʃ	[1]扇[3]陕闪[5]扇善鳝膳缮
k	[1]监兼搛艰间{中~}奸涧锏肩坚[3]碱检简柬谏茧趼拣[5]俭剑犍建键健腱见舰[6]件
kʰ	[1]谦牵[2]嵌钳乾虔[3]遣[5]欠歉
x	[2]嫌闲延筵贤[3]谴险显蚬[5]现县
Ø	[1]淹阉腌蔫焉烟[2]言唁炎盐阎檐颜然燃[3]蜒染冉掩眼演衍[5]厌艳焰苋谚宪献堰砚燕{~子}宴

#uan	
p	[1]搬[5]半拌伴绊畔
pʰ	[1]潘[2]盘磐[5]判叛
m	[2]瞒[3]满
t	[1]端[3]短[6]断段缎锻
tʰ	[2]团抟
n	[3]暖
l	[1]□{钻，穿越}[2]峦滦銮挛孪鸾銮圞[3]卵[6]乱
ts	[1]钻{~研}[5]纂钻{电~}
tsʰ	[5]窜篡
s	[1]酸[5]算蒜
tʃ	[5]撰[6]赚
k	[1]官棺观冠{衣~}关[3]莞管馆[5]贯灌罐冠{夺~}惯
kʰ	[1]宽[3]款
ŋ	[2]顽
x	[1]欢[2]纨寰桓完还{归~}环[3]鲩缓[5]唤焕换涣痪幻患
Ø	[1]豌弯湾[2]玩丸[3]皖剜碗惋腕晚挽宛婉[6]万

#yan	
s	[1]鲜轩闩拴栓宣喧楦[2]旋漩[3]癣选[5]旋炫
tʃ	[1]专砖[3]转{运~；~动}[5]篆传{~记}
tʃʰ	[1]川穿[2]全痊泉传{流~}船[3]喘[5]串
k	[1]绢捐鹃[3]卷[5]眷倦
kʰ	[1]圈[2]拳权颧[3]犬[5]劝券
ŋ	[3]软[5]阮
x	[2]玄弦舷眩缘{又}悬
Ø	[1]鸳冤鸳渊[2]缘员圆沿铅原源袁辕猿猿元园援[3]远[5]院愿怨

#ən	
p	[3]本[6]笨
pʰ	[1]喷[2]盆
m	[1]扪[2]们门[5]焖闷
f	[1]分{~开}氛吩芬纷[2]焚坟[3]粉[5]粪奋愤分{本~}忿份
t	[1]敦墩蹲[2]□{跺脚}[6]顿沌钝盾遁
tʰ	[1]吞饨[2]屯囤豚臀[3]□{台阶一级叫一~}
n	[1]□{腋窝、脚板被搔后，想笑的感觉}[2]□{食物软烂}[3]恁[6]嫩
l	[1]□{米饭颗粒明显，大}[2]仑伦轮论{~语}[6]论{议~}
ts	[1]尊遵津[6]趁[5]峻竣俊骏浸进晋[6]尽
tsʰ	[1]村亲[2]存寻浔覃[5]寸衬侵沁
s	[1]孙[2]询徇绚荀[3]损笋榫[5]逊迅[6]□{傻、笨}
tʃ	[1]砧针斟珍臻真[3]枕枕诊疹寝[6]镇阵振震
tʃʰ	[1]参{~差}[2]沉岑陈尘臣澄橙秦
ʃ	[1]森参{人~}深身申伸绅呻[2]神辰娠晨唇绳[3]沈审婶[5]渗
k	[1]跟根
kʰ	[3]恳垦肯啃
ŋ	[1]恩[3]□{硌}
x	[2]痕[3]狠很[5]恨

#ɪn	
p	[1]斌宾滨殡鬓缤奔冰
pʰ	[1]□{肋~：肋骨}[2]颦濒[5]并拼聘娉
m	[3]闽悯敏抿皿
l	[2]林琳霖淋临邻鳞燐磷吝麟赁
s	[1]心辛锌莘新薪[5]信讯
k	[1]今金襟巾斤筋[3]紧谨仅[5]禁[6]近
kʰ	[2]琴禽擒勤芹琼[5]揿
ŋ	[5]韧
Ø	[1]音阴荫因胭咽姻殷[2]壬淫人仁银寅[3]饮忍引蚓隐[5]任刃印[6]认

#uən	
tʰ	[2]豚
tʃ	[3]准
tʃʰ	[1]春椿[3]蠢
ʃ	[1]鹑[2]旬循巡纯醇[5]甚肾慎肫顺舜
k	[3]滚[5]棍
kʰ	[1]昆坤[3]捆[5]困
x	[1]昏婚[2]魂馄浑横{纵~}横{蛮~}[5]混
Ø	[1]温瘟[2]文纹蚊闻[3]稳吻刎酝[6]问璺

#yn	
ʃ	[1]熏勋[2]殉
k	[1]鹃娟涓均钧君军郡[6]菌
kʰ	[2]群裙
x	[1]欣焮[5]驯训
Ø	[1]晕[2]匀云耘芸[3]允尹永咏[5]闰润熨韵运孕泳

#aŋ	
p	[1]邦帮绷[2]磅镑[3]榜谤傍绑[6]棒蚌
pʰ	[2]旁滂螃膀庞彭膨
m	[1]□{这~：这里}[2]忙芒茫亡芒盲虻氓[3]罔蜢莽蟒锰
f	[1]方芳[2]坊妨房防[3]肪仿纺访[5]放
t	[1]当铛[3]盪凼党挡[5]当档[6]荡
tʰ	[1]汤劏[2]堂棠螳膛唐糖塘搪[3]淌倘躺趟[5]摥烫
n	[1]裆[2]囊瓤
l	[1]□{晾晒}□{毛衣}螂[2]郎狼廊榔[3]埌□{冲洗：~口，~杯}朗[6]浪
ts	[1]赃脏臟[5]葬
tsʰ	[1]仓苍沧舱桑[2]藏{宝~；西~}[5]丧
s	[5]丧
tʃ	[1]张章樟[3]长{生~}掌帐账胀涨障瘴[6]丈仗杖
tʃʰ	[1]昌菖倡[2]长{~短}肠场[3]厂敞[5]畅唱
ʃ	[1]商伤[2]常尝裳[3]嗓赏晌饷偿[6]上{~山；天~}尚
k	[1]冈岗刚纲钢缸肛[3]港[5]杠
kʰ	[1]康糠慷[2]扛[5]抗
ŋ	[2]昂
x	[2]行{银~}航杭[5]项巷
Ø	[1]肮

#iaŋ	
n	[2]娘
l	[2]良粮凉量{测~}梁粱[3]两{~个；斤~}俩辆[6]亮谅靓量{数~}
ts	[1]彰将{~来}浆酱[3]蒋奖桨[5]将{大~}[6]匠
tsʰ	[1]枪[2]墙详祥翔[3]抢
s	[1]相{互~}箱厢湘镶[3]想[5]相{长~}象像橡
k	[1]姜礓缰江豇□{欺负}[3]讲[5]降{下~；投~}
kʰ	[1]疆僵羌腔[2]强{坚~}[3]强{勉~}
ŋ	[3]仰
x	[1]香乡[3]享响[5]向
Ø	[1]央秧殃鸯泱[2]羊洋佯漾恙烊杨扬疡阳[3]攘养痒恙[6]酿壤嚷让恙样

#uaŋ	
tʃ	[1]桩装妆[5]撞壮[6]状
tʃʰ	[1]窗疮[2]床[3]闯[5]创
ʃ	[1]双霜孀[3]爽
k	[1]光胱[3]广
kʰ	[1]桄咣匡框诓筐眶框[2]狂逛[5]矿犷旷况
x	[1]荒慌[2]黄簧磺蟥皇蝗煌惶凰隍[3]晃幌谎恍
Ø	[1]汪[2]忘妄王[3]网辋枉往[6]望旺

#əŋ	
p	[1]崩
t	[1]登灯[3]等[5]凳[6]邓
tʰ	[2]腾誊藤
n	[2]能
l	[2]楞[3]冷
ts	[1]曾{姓~}增罾僧憎锃争筝挣狰诤铮[5]蹭[6]赠
tsʰ	[2]曾{~经}层
s	[1]生牲笙甥[3]省{~长}
tʃʰ	[1]撑[2]澄成城诚
k	[1]更{~换}粳庚羹耕[3]哽梗耿[5]更{~加}
kʰ	[1]坑
ŋ	[6]硬
x	[1]亨哼[2]恒衡

#ɪŋ	
p	[1]兵槟[2]迸[3]丙秉饼[5]柄[6]病
pʰ	[2]贫频凭平坪评苹萍瓶并屏[3]品[5]拼
m	[2]冥瞑民鸣明名铭酩[6]命
t	[1]丁钉叮盯疔瞪[3]顶鼎[6]订定
tʰ	[1]听厅[2]亭婷停廷庭蜓[3]艇挺铤
n	[2]宁狞咛泞凝
l	[2]鲮绫陵凌菱龄聆羚苓玲铃伶拎龄零灵[3]领岭[5]令[6]另
ts	[1]精晶睛[3]惩井[6]静靖净
tsʰ	[1]青蜻[2]清情晴[3]请
s	[1]星惺猩腥[3]省{反~}醒擤[5]性姓
tʃ	[1]征蒸正{~月}[3]整[5]证症正{~确}政[6]郑
tʃʰ	[1]称称[2]乘承丞拯呈程[3]逞[5]秤
ʃ	[1]升声[5]剩胜圣盛
k	[1]京惊鲸经荆[3]景警颈[5]茎胫劲径敬竟镜境竞
kʰ	[1]卿轻磬馨[2]擎[3]倾顷[5]庆[6]杏
x	[1]氢兴{时~}[2]行{品~}幸形型刑[5]衅兴{高~}
Ø	[1]应{~当}鹰蝇莺英婴缨鹦樱[2]迎盈赢莹营茔萤扔仍[3]影映颖[5]应{响~}

#oŋ	
p	[1]蹦绷[6]□{量词，串、泡}
pʰ	[1]塳[2]朋鹏硼棚蓬篷[3]捧[5]碰
m	[1]掹矇[2]萌盟蒙懵檬濛朦[3]猛[6]孟梦
