#汉字	音标	解释
#来源	/	林德威《Problems in Comparative Chinese Dialectology》
#声调	/	1阴平455 2阳平22 3阴上35 5阴去14 6阳去阴入52 8阳上阳入43ʔ 9小称343
铳	tʃʰaŋ5	冒气
雄	ʃaŋ2	壮
熊	ʃaŋ2	
牛	aŋ2	
五	aŋ3	
午	aŋ3	
无	aŋ6	否定
公	kaŋ1	
供	kaŋ1	养，生小孩
工	kaŋ1	一工：一天
含	haŋ2	
穷	kaŋ2	
拱	kaŋ5	弯曲，驼背
共	kaŋ6	
空	kʰaŋ1	鼻空：鼻，洞穴
空	kʰaŋ1	泼
戆	ŋaŋ3	笨
红	haŋ2	
巷	haŋ5	
风	faŋ1	风，风领，风炉
封	faŋ1	
幎	miaŋ1	用布盖
砧	tsaŋ1	
窗	tʃʰə̃1	
诵	liaŋ1	训，背诵，大声朗读
龙	liaŋ2	
松	tsiaŋ2	松树
榕	iaŋ2	松洋传统说liaŋ2
用	iaŋ6	
咸	kiaŋ2	
盖	kiaŋ2	训，捉鸡用的圆锥形篮子
减	kiaŋ3	
欠	kʰəiŋ5	
酽	ŋiaŋ2	茶浓
租	tsɨ1	
荠	tsɨ2	
糍	tsɨ2	
脐	tsɨ2	
祖	tsɨ3	
子	tsɨ3	
紫	tsɨ3	
姊	tsɨ3	
字	tsɨ6	
自	tsɨ6	
巳	tsɨ6	
牸	tsɨ6	小母猪
初	tsʰɨ1	
粗	tsʰɨ1	
滁	tsʰɨ1	肥料
丝	sɨ1	
蓑	sɵ1	
师	sɨ1	
畲	sɨ2	地名，意义不明
死	sɨ3	
四	sɨ5	
数	sɨ5	记~：账本
事	sɨ6	
士	sɨ6	棋子
腟	tʃɨ1	女阴
指	tʃɨ3	
至	tʃɨ5	节气
治	tʃʰɨ2	杀
市	ʃɨ6	
尸	ʃɨ1	
时	ʃɨ2	
匙	ʃɨ2	
屎	ʃɨ3	
世	ʃɨ5	世界
豉	ʃɨ6	
般	pɒ1	
盘	pɒ2	
粄	pɒ3	
半	pɒ5	
饭	pɒ6	
跘	pʰɒ2	跳过
盘	pʰɒ3	胎盘
爿	mɒ1	训，一片水稻的量词，指一个人不动可以种植的大小
鳗	mɒ2	
晚	mɒ3	最小的女儿
满	mɒ3	
㿸	mɒ6	
单	tɒ1	
箪	tɒ1	小袋子，用来装米带在路上
弹	tɒ2	
□	tɒ3	经常
摊	tʰɒ1	
团	tʰɒ2	
毯	tʰɒ3	
难	nɒ2	
懒	tsɒʔ8	
澜	lɒ3	口水
卵	lɒ3	
僆	lɒ5	小母鸡
烂	lɒ6	
乱	lɒ6	
全	tsɒ2	
泉	tsɒ2	
盏	tsɒ3	一~龙眼
钻	tsɒ5	
荐	tsɒ5	床垫
赚	tsɒ6	
铲	tsʰɒ3	
山	sɒ1	
酸	sɒ1	
伞	sɒ3	
算	sɒ5	
散	sɒ5	
安	ɒ1	缝扣子
弯	vɒ1	
还	vɒ2	归还
碗	vɒ3	
腕	vɒ3	
䯘	vɒ5	手肘，膝盖内部
万	vɒ6	
干	kɒ1	
甘	kɒ1	
稈	kɒ3	稻草
关	kuɒ1	
官	kuɒ1	训，~蜱：臭虫
官	kuɒ1	
棺	kuɒ1	
关	kuɒ1	~帝
管	kuɒ3	
惯	kuɒ5	
贯	kuɒ5	竹~：地名
灌	kuɒ5	
罐	kuɒ5	
寒	hɒ2	
旱	hɒ6	
汗	hɒ6	
翻	fɒ1	
番	fɒ1	一~被子
番	fɒ1	国外
欢	fɒ1	欢喜
㧍	pəŋ1	拉扯
搬	pə̃1	
棚	pʰəŋ2	
泛	pʰəŋ5	不实，膨胀
暝	məŋ2	
嬷	mɒ3	祖母
担	təŋ1	
担	təŋ1	抬头
胆	təŋ3	
探	tʰəŋ1	用手去够
潭	tʰəŋ2	
痰	tʰəŋ2	
□	tʰəŋ6	引水
男	nəŋ2	
南	nəŋ2	
颅	nəŋ2	训，头~
钻	nəŋ5	训，爬过洞
□	ləŋ1	用于蝉
篮	ləŋ1	
咙	ləŋ2	
蓝	ləŋ2	
榄	ləŋ3	
争	tsəŋ1	
筝	tsəŋ1	训，头漩
踭	tsəŋ1	
压	tsəŋʔ8	训，按压
郑	tsəŋ6	
掺	tsʰəŋ1	
掺	tsʰəŋ3	用手臂抱小孩
撑	tsʰəŋ5	支撑，撑船
三	səŋ1	
衫	səŋ1	
杉	səŋ1	
生	səŋ1	生育
糁	səŋ3	米粒
省	səŋ3	省钱
蠳	əŋ1	蝇~：蜻蜓
庵	əŋ1	
腌	əŋ1	
暗	əŋ5	
横	vəŋ2	
庚	kəŋ1	天干
经	kəŋ1	织布
更	kəŋ1	
柑	kəŋ1	
肝	kɒ1	
干	kɒ1	烘干
敢	kəŋ3	
橄	kəŋ3	
径	kɒ5	追猎
坑	kʰəŋ1	山间小溪
磡	kʰəŋ5	堤坝
岩	ŋiəŋ2	龙~
硬	ŋəŋ6	
喉	həŋ2	
桁	həŋ2	长细东西的量词，或为茎
鼾	hɒ2	训，打鼾
喊	həŋ5	
鼎	tʃəŋ3	
听	tʃʰəŋ1	
蚕	tsʰəŋ2	
正	tʃəŋ1	正月
整	tʃəŋ5	修理
声	ʃəŋ1	
兄	ʃəŋ1	
城	ʃəŋ2	
成	ʃəŋ2	成痧：中暑
盛	ʃəŋ6	嫁妆的托盘
檉	ʃəŋ6	嫁妆的托盘
行	həŋ2	
岩	ŋiəŋ2	悬崖
营	ŋiəŋ2	
赢	ŋiəŋ2	
暎	ŋiəŋ5	看
疤	pʋ1	
爬	pʋ2	
耙	pʋ2	
把	pʋ3	
柏	pʋ6	
百	pʋ6	
掰	pʋ6	
白	pʋʔ8	
扒	pʰʋ1	扒饭
帕	pʰʋ5	
嫲	mʋ2	雌性后缀，也用于斗笠等
马	mʋ3	
拍	mʋʔ8	打，通用说法
脉	mai6	
麦	mʋʔ8	
爹	tʋ1	祖父
搭	tʋ6	汗衫
搭	tʋ6	用于下巴
搭	tʋ6	搭船
踏	tʋʔ8	
塔	tʰʋ6	
叠	tʰʋʔ8	
拿	nʋ1	
搦	nʋʔ8	抓鱼，抓小偷
摞	lʋ6	训，一~碗
蜡	lʋʔ8	
垃	lʋʔ8	
楂	tsʋ1	山楂，本地没有，梨岭和梧宅说山狗梨
茶	tsʋ2	
炸	tsʋ5	
鉔	tsʋ6	种红薯
笮	tsʋ6	
差	tsʰʋ1	
岔	tsʰʋ1	
叉	tsʰʋ1	食指和大拇指之间的距离
叉	tsʰʋ1	鱼叉
舀	tsʰʋ6	训
册	tsʰai6	
圾	sʋ6	
搓	sʋ6	训，用盐搓
煠	sʋʔ8	
遮	tʃʋ1	
蔗	tʃʋ5	
炙	tʃʋ6	
只	tʃʋ6	
车	tʃʰʋ1	
尺	tʃʰʋ6	
赤	tʃʰʋ6	
勺	tʃʰʋʔ8	
赊	ʃʋ1	
蛇	ʃʋ2	
舍	ʃʋ3	训，呵斥
射	ʃʋ6	
石	ʃʋʔ8	
栓	ʃʋʔ8	栓门
乌	ʋ1	
哑	ʋ3	
枙	ʋ6	枷锁
鸭	ʋ6	
家	kʋ1	
加	kʋ1	
豭	kʋ1	蚊~
枷	kʋ2	
