#符号说明：-白=文/书*俗?待考	
#调值	［1］21［2］35［3］212［5］53 ［7］5
#ɿ	
tɕ	[7]夹浃袂荚颊甲钾脚嚼
tɕʰ	[7]洽恰雀鹊
ɕ	[7]侠峡狭辖削
	[7]押鸭压药钥
#uaʔ	
s	[7]刷
k	[7]刮
kʰ	[7]扩括
x	[7]滑猾
	[7]袜挖
#əʔ	
p	[7]柏帛伯拨剥博搏薄膊驳脖不白百北
pʰ	[7]泼泊舶迫粕魄勃瀑拍帕
m	[7]末沫茉莫寞漠默墨没陌脉木目牧睦穆麦
f	[7]弗佛拂伏服福幅辐蝠复腹覆
t	[7]得德的督独读犊毒笃夺
tʰ	[7]特秃突托脱
l	[7]勒乐鹿录绿禄陆六肋洛骆络
ts	[7]折哲浙只织汁直值植殖执侄职质掷摘翟窄则择泽责仄卒蛰
tsʰ	[7]策册侧测恻厕彻撤澈尺斥赤叱族泽
s	[7]色瑟塞啬涩俗肃速缩舌设摄慑涉虱湿失十什拾石食蚀实识室释适饰
k	[7]割鸽胳疙搁格阁骼革隔嗝葛各
kʰ	[7]瞌磕咳壳渴克客刻
x	[7]喝合盒核阂赫郝吓褐鹤黑
	[7]额恶萼愕腭鄂鳄噩厄扼热日
#iəʔ	
p	[7]逼鼻笔必壁毕碧憋鳖瘪别弼
pʰ	[7]劈霹癖辟僻匹撇瞥
m	[7]密蜜觅灭蔑篾
t	[7]滴笛狄敌嫡嘀涤的跌碟蝶谍迭叠
tʰ	[7]踢剔惕贴帖铁蝶
l	[7]力历沥雳立粒笠栗烈列裂冽猎劣律率略掠匿溺逆捏聂镊孽
tɕ	[7]激击迹积绩缉圾唧鲫及汲极吉急即疾集辑棘籍藉戟脊寂揭吉结洁拮诘接疖劫杰碣竭节捷睫截
tɕʰ	[7]七柒漆戚乞泣切窃妾缉吃
ɕ	[7]吸悉蟋析晰膝夕汐昔惜息媳熄锡习袭席隙歇协胁泄亵屑薛穴雪婿-
	[7]一壹揖乙亦邑轶绎译驿益溢逸抑噎叶页业咽谒
#uəʔ	
t	[7]夺督独读犊毒笃
tʰ	[7]托脱拓突
l	[7]洛骆络落录禄碌赂诺
ts	[7]桌卓捉拙着酌灼浊镯琢啄作撮凿竹烛逐嘱瞩祝筑足卒粥轴蜀
tsʰ	[7]戳撮出畜触促
s	[7]说朔烁硕缩索叔淑熟赎属术束俗肃速宿粟吮
z	[7]若弱入辱
k	[7]郭国骨谷角
kʰ	[7]阔括廓扩窟哭酷壳
x	[7]活豁或惑获霍忽惚斛囫
	[7]屋握沃勿物
#yəʔ	
l	[7]略掠虐疟律率
tɕ	[7]决诀倔角蹶獗觉爵嚼绝鞠掬菊局橘
tɕʰ	[7]缺却确阙鹊雀曲屈
ɕ	[7]薛学穴血恤雪畜蓄旭
	[7]月约悦阅越乐跃粤岳域浴欲育郁狱役疫曰
#ɪ	
l	[3]你
#ŋ	
	[3]我{自称}
#m	
	[1]姆{~妈：对母亲的面称}
