音標	調類	調值	
sʊ	3	53	鎖瑣所
sʊ	7	45	索勺芍朔縮
ta	1	22	獃耽擔丹單
ta	3	53	膽撣
ta	5	213	戴带擔旦
ta	7	45	答搭撘（存疑，～了一跤）□（或為「撘」，～了一跤）
tɑu	1	22	刀叨朝招
tɑu	3	53	禱島倒
tɑu	5	213	到倒照詔
tɑŋ	3	53	整（白，~病）
ti	1	22	低堤堆
ti	3	53	底抵
ti	5	213	帝對碓隊兑
ti	7	45	狄（新派音）荻（新派音）滴
tin	1	22	釘砧
tin	3	53	頂鼎
tin	5	213	釘
tiɑŋ	1	22	丁釘靪疔
tiɑŋ	5	213	釘訂
tiəu	1	22	丟
tiɛ	1	22	掂顛登燈
tiɛ	3	53	點典等
tiɛ	5	213	店凳鐙
tiɛ	7	45	跌得（行～：可以；不得：不可以）
tiɔ	1	22	爹（大～：爺爺；細～：奶奶）
tiʊ	1	22	雕刁
tiʊ	3	53	抖鳥斗陡
tiʊ	5	213	釣
tɑŋ	1	22	當張章
tɑŋ	3	53	黨擋長漲掌
tɑŋ	5	213	當脹障瘴
tən	1	22	針斟珍眞敦墩蹲蒸征東冬中忠鐘鍾盅正
tən	3	53	拯枕枕診疹準准董懂冢種腫
tən	5	213	振盾頓扽鈍遁盾證症凍棟中眾種正鎮
təu	1	22	都豬諸誅蛛株朱硃珠周舟州洲
təu	3	53	堵賭肚煑拄主矩肘帚
təu	5	213	妬註注蛀鑄晝（上～：上午；下～：下午；～時/～邊：中午）咒
təu	7	45	篤督竹祝粥燭囑築㞘（末尾）
tɤ	1	22	沾粘占專磚端
tɤ	3	53	展輾短轉
tɤ	5	213	佔戰轉凼（水～：水坑）氹（水～：水坑）
tɤ	7	45	折汁執織職質摺褶浙揭掇
tɔ	1	22	遮
tɔ	3	53	打
tɔ	5	213	蔗
tɔ	7	45	蟄（驚～）
tʊ	1	22	多
tʊ	3	53	朶躱
tʊ	5	213	刴
tʊ	7	45	着酌
tsa	1	22	災栽齋
tsa	3	53	宰載
tsa	5	213	再載債
tsa	7	45	劄眨炸札紮鍘
tsɑu	1	22	遭糟昭
tsɑu	3	53	早棗蚤澡爪找沼
tsɑu	5	213	躁竃罩
tsɑŋ	1	22	贓髒莊装樟樁爭（白）睜（～眼）
tsɑŋ	5	213	葬帳賬壯
tsən	1	22	爭簪榛臻尊遵箏貞偵椶鬃宗綜終蹤
tsən	3	53	縂
tsən	5	213	粽鎮震政糉縱縱
tsəu	1	22	租
tsəu	3	53	組阻
tsəu	5	213	做皺
tsɤ	7	45	卒
tsɔ	1	22	査渣髽抓
tsɔ	5	213	詐榨炸
tsɔ	7	45	閘窄摘
tsɿ	1	22	知蜘資知支枝肢梔資姿咨脂茲滋輜之芝
tsɿ	3	53	祖紫紙只姊旨子梓滓止址
tsɿ	5	213	制（～屋：蓋房子，這裡讀tsɿ˨˦）製智翅致至置志誌痣
tsʊ	3	53	左
tsʊ	7	45	作著桌捉
tɕi	1	22	雞稽飢肌基幾機譏饑錐屐
tɕi	3	53	擠几己紀幾嘴給
tɕi	5	213	祭際濟劑計繼繫髻最贅寄冀記忌旣醉季
tɕi	7	45	急級汲吉即戟積績擊激鯽唧（貓～；奶）
tɕin	1	22	今金禁襟津巾斤筋莖京荆驚鲸精晶經
tɕin	3	53	錦儘緊僅謹景警迥
tɕin	5	213	浸（被水浸泡）禁進晉勁俊境敬竟競勁徑經
tɕiɑŋ	1	22	將漿疆僵薑繮姜江睛（白）
tɕiɑŋ	3	53	蔣獎槳講井（白）頸（白）
tɕiɑŋ	5	213	醬將降鏡（白）
tɕiəu	1	22	揫鬏鳩鬮糾糾
tɕiəu	3	53	酒九
tɕiəu	5	213	救究
tɕiəu	7	45	菊掬足
tɕiɛ	1	22	監尖殲兼艱奸間煎箋肩堅曾增
tɕiɛ	3	53	鹻檢儉簡柬剪繭趼筧姐
tɕiɛ	5	213	鑑監艦劍諫澗鐧箭濺建薦見憎
tɕiɛ	7	45	接節截結劫潔責
tɕiɔ	1	22	加嘉傢佳
tɕiɔ	3	53	賈假姐（白）
tɕiɔ	5	213	嫁價借藉
tɕiɔ	7	45	夾甲跡脊
tɕiʊ	1	22	郊膠焦蕉椒驕嬌澆鄒鉤溝（水～仔：水溝）
tɕiʊ	3	53	絞狡鉸攪剿矯繳僥走餃狗
tɕiʊ	5	213	教校較叫奏覺
tɕiʊ	7	45	腳角覺
u	1	22	烏枯汚巫誣
u	2	21	吳無
u	3	53	苦午武舞（～飯；～菜）侮鵡
u	5	213	庫褲惡（可~）
u	6	44	誤悟務霧
u	7	45	哭屋褥
ua	1	22	歪彎灣
ua	2	21	玩頑還
ua	3	53	塊晚挽
ua	5	213	塊會劊塊快筷
ua	6	44	外萬
ua	7	45	滑猾挖襪
uɑŋ	1	22	汪匡筐眶
uɑŋ	2	21	黃狂亡王橫（白）虹（馬～：彩虹）
uɑŋ	3	53	網輞枉往
uɑŋ	6	44	忘妄望旺逛橫（白）
uən	1	22	溫翁昆崑坤瘟
uən	2	21	文紋蚊聞
uən	5	213	困
uən	6	44	問
uɤ	1	22	寬豌
uɤ	2	21	完
uɤ	3	53	款皖碗腕
uɤ	6	44	換
uɤ	7	45	闊活物廓
uɔ	1	22	誇蛙蛙
uɔ	3	53	瓦侉垮
uɔ	5	213	跨
uɔ	6	44	話
uʊ	1	22	倭窩蝸
uʊ	2	21	禾
uʊ	6	44	臥
vi	1	22	區驅煨炊虧窺危微威淤
vi	2	21	渠（~道）余餘瞿逾回垂為槌錘逵葵維惟唯違圍於于愉
