#<字彙音,/前爲字彙音，/後爲縣志音
#拼音	漢字
xieu1	休修咻庥羞脩貅饈㳜𡯐
xieu2	嗅□{吸}
xieu3	朽滫㱙
xieu5	嗅宿岫溴琇秀糗綉绣繡臭莠袖銹锈鏥鷲齅
ieu1	優优呦嚘幽怮悠憂懮忧攸櫌泑滺瀀耰麀㴗黝+又-右-佑-釉-𠮫𢖒𢚐𢝊𣲏𩘈
ieu2	偤冘卣尢尤斿柚楢油浟游湭牞猶犹猷由疣繇肬蕕蚰蝣蝤訧輶遊郵邮釉㽕𣏞𧌕𨜚
ieu3	丣友庮有湵羑莠酉㕛𥝘
ieu5	佑=侑又=右=囿姷宥幼柚牖祐褎誘诱黝+釉=鼬䀁𡈹𥤃
bo1	包笣胞褒鮑鲍襃𠣒
bo3	褒+保凸堡堢宝寶怉葆褓飽饱鴇鸨褒=𠈃
bo5	報报怉懪抱=暴曝瀑爆菢=刨=豹趵鉋鮑鲍㬥㲒𣋏𣕅𣭀
po1	刨-抱-菢-拋抛泡爮胞脬𣶐
po2	匏咆庖炮苞袍刨跑-𡯚
po3	孢跑=
po5	奅炮疱庖皰砲泡麭㘐𣕅𣶐𪏶
mo1	帽-冒-毛?{上～：发霉}
mo2	旄毛渵犛芼茅茒蝥酕錨锚貓猫髦𤚐
mo3	卯昴㧇
mo5	冃冐冒=媢帽=毷瑁眊耄萺貌㒵㡌㴘𢝌𣔺𣭢𣴟𥈆𨩩
do1	刀忉釖魛鱽叨
do3	倒壔島嶋岛捯擣捣禂禱祷道㠀捣搗㨶悼+𥛇
do5	倒到噵導导幬悼燾盜盗稻=衜蹈道䆃毻
to1	叨夲幍慆搯{拳击}洮滔稻-絛縚縧韜韬饀饕
to2	匋咷啕掏桃檮洮淘濤涛綯萄迯逃醄陶鼗𢔇𣴧
to3	討讨
to5	套𡘷
no1	孬
no2	峱怓撓挠橈桡猱硇鐃铙饒饶㺜𢜸𢪼𢫤𣲿
no3	惱恼瑙腦脑𢙉𣭺𣭽𤤼𧩣
no5	橈桡淖獟瑙鬧闹𠅈𠆴
lo1	撈{～一把}繞-
lo2	澇僗勞哰嘮唠嬈撈-{打～}浶牢窂蕘醪饒饶𠈭𤎤
lo3	恅擾扰潦繞老佬遶𡂕
lo5	僗嫪憦澇癆繞=绕=耮
zo1	佋傮召妱招昭沼{～氣}朝糟詔蹧遭醩釗繰缲㯥𣩒
zo3	找抓早皂-枣棗沼澡爪璪藻蚤𣅼𧎮
zo5	兆召唣垗懆掉旐曌棹櫂氉灶炤照狣皁皂瞾竈笊箌罩肇肈莜蓧詔趙赵躁造+㡽䈃䈇𥵢𫁘
co1	剿叉怊懆譟{大聲叫喊}抄摷操漅耖超鈔䜈𠰉𠻥𨮽訬*
co2	嘈嘲巢曹朝槽漕潮窼螬鏪𡮦𣍘𣶃𥕢𩞄
co3	吵愺懆炒煼眧艸草謅騲㥮钞+㷅𠹊
co5	仯慥漕糙覞觘造鈔+㿷𢲵𤰬
so1	慅捎搔杪梢溞燒烧稍筲繅臊艄蕱騷骚髾㥰䈰䘯𨃣{踢脚}𠋺𢔳𤠘𥵦𦿃𨈘
so2	佋晁玿紹绍韶鼂㲈
so3	埽嫂少掃扫㛮𢾐
so5	劭卲哨噪少燥瘙紹譟趮邵苕龆*{頭～子：第一個孩子}鐰䏴𢜶𢤁𣕇
go1	橰櫜皋睾篙糕羔膏教-{～你}茭-臯餻高鼛䓘𠆪𥮑交{遍}
go3	夰攪搅杲槁皜稁稾稿縞缟㚖搞
go5	吿告窖誥诰郜膏{～油}覚觉酵𡜲叫-{～化子}交{量词}斠{調試}
ko1	尻敲-
ko3	嚛拷攷洘烤熇祰考薧𣧏𣩅
ko5	搞犒靠銬铐
ho1	蒿薅𢫩
ho2	噑嚎壕毫濠號号豪㩝𠰘
ho3	好恏悎昊昦晧暭滈皓皞皡鎬镐𡘏
ho5	好浩淏澔灝灏秏耗號顥㙱㚪㬶𤅡𤝐
o1	爊鏖噢
o2	厫嗷婗廒摮敖滶熬獒璈翺遨驁鰲鷔𣘢𦪈𨅚𩪋
o3	咬嚙媼懊袄襖齩
o5	佴傲凹墺奡奥奧弍慠扷抝坳拗澳擙柪樲澳狕穾衈袎詏貳鏊隩㒃㥿䫨𢳆𣵽𥃺𥑑𩑍
o2/a2	兒而侕唲輀
o3/a3	尒尓洱爾珥耳輀邇鉺餌駬㛅
o5/a5	二貳
bio1	彪杓標标滮瀌猋膲鑣飆飙飇驃骠麃䁃䁭𢖐
bio3	婊表裱錶
bio5	瞟鰾鳔膘{肉～}嫑
pio1	僄幖彯漂縹缥颩飄飘𣻔
pio2	嫖瓢㯱朴
pio3	摽殍瞟縹缥莩蔈䙳𠬪𣨈
pio5	俵勡彯票㬓漂𣊠𤾛
mio1	廟-庙-
mio2	描猫緢苗貓瞄
mio3	淼渺眇秒緲缈藐邈𦳥
mio5	妙庙=廟=玅繆缪
dio1	凋刁叼刟奝彫琱貂雕鵰㓮㨄䫸𠚥𠛪𤙴𦨣{海～子：航海的大船}𧜣
dio3	屌
dio5	伄吊弔窵訋調调掉釣钓銚铫𢎣
tio1	庣挑旫祧𠛪調-调-{～頭}條条{一～鱼}
tio2	佻岧条條笤苕藋蜩調调迢髫鰷齠斢{调换}
tio3	眺祧窕誂䠷挑
tio5	彌掉眺糶蓧覜跳頫粜
nio1	尿-溺-
nio3	嫋繆裊袅鳥鸟𠄏𠌵
nio5	嬲?{挣扎}尿=𡲘
lio1	膋撂
lio2	佬僚嘹嫽寥寮屪尿+廖撩繚缭敹暸橑漻燎竂簝聊膋遼辽療疗鐐镽髎鷯㞠㵳
lio3	了尞憭漻燎瞭繚缭蓼䄦裊袅𤁸𨣀
lio5	尥撩料爒獠療<膋𥛰𦌒
jio1	交僥侥僬咬噍姣嬌娇跤憍梟椒澆浇焦燋膠胶膲茭=礁蕉蛟蟂教{～书}郊驕骄鮫鷦㚣䩌𣻏𤀴𤊙𤓪𤓬
jio3	儌剿劋勦徼恔憿捁撟攪搅暞狡皎皛皦矯矫絞绞繳缴餃饺僥侥㽱䥞𠞰𤶀𢄺
jio5	叫呌嘂噭嶠挍教{～育}枛校潐爝窌覺觉趡較轎轿教醮釂鉸𠘣𢥚𥦿
qio1	墝墽幧繰缲撬敲=橇磽硗趫蹺跷{～腿}蹻鍫鍬锹鞽㚠㡑
qio2	僑侨喬乔憔樵橋桥瞧翹翘{变形}荍蕎譙谯㝯䀉𦒏
qio3	巧悄愀𢒾𨲭
qio5	俏哨峭帩悄愀翹翘撽竅窍撬+誚诮陗䆻𠿕𢶡𥤾𥦂
xio1	哮嘐囂嚣宵枵{薄}梟櫹歊消瀟潇硝磽硗箾簫箫綃绡翛蕭萧逍銷销霄魈鮹鴞鸮㺧𢸳𣱩𤄙𤣠𧳍
xio2	崤殽洨淆爻猇笅肴誵肴郩餚㤊𢛘𤞚
xio3	小曉晓筱篠𥭪
xio5	傚効咲哮嘯啸孝庨恔效斆校涍笑肖鞘酵=魈𣹝
io1	仸吆喓喲哟夭鷂鹞+妖幺枖祅窔腰要邀䄏䙅𢆽𣧕
io2	垚堯尧姚嶢峣嶤鷂鹞徭愮搖摇暚榣洮猺珧瑤瑶窑窯窰謡谣遙遥颻飖㨱𢭌𢳘
io3	偠杳殀眑穾窅窈窔舀㫐㴭䆞𡛙
io5	曜燿耀躍+跃+要鷂鹞㿢䌁𢆷𢲷𧇠𪖘
baen1	扳掰{扳}攽斑斒朌班螌頒颁般=癍𤤻
baen3	板版坂阪舨鈑钣
baen5	扮瓣辦办=辧𢴬
paen1	攀眅办-{忙不～}𠆪
paen2	湴爿踫𨂝{～河}
paen5	盻盼絆{～个跟頭}䙪
maen1	䟂慢-
maen2	蛮蠻䅼
maen3	矕
maen5	僈慢=漫縵缦蔓謾谩熳㵘䟂𢢔
faen1	帆+藩+幡憣拚旛番眅翻颿飯-𤄜𤄫
faen2	凡墦帆矾樊煩烦燔璠礬笲繁膰舤舧蕃藩蘩𥢌𩗋
faen3	仮反坂岅畈返阪𢓉
faen5	乏奿婏梵氾汎泛滼瀪犯笵範范販贩飯=饭=帆+㤆㽹𠆩𧶶
daen1	丹儋勯匰单單擔担殫殚癉瘅眈砃坍{新～：地名}簞箪簟耼耽襌鄲㴷𠕑𣅟𥣲
daen3	亶刐担撣掸胆{膽}膽䃫
daen5	但僤呾妲弹彈憚憻担旦淡=潬疸石笪蛋誕诞鴠㡺氮𠻪𢅒𢎚𢎫𢎬𪉧
taen1	坍攤摊欿灘滩癱瘫痑{疲惫}蛋-淡-貪贪㵅𤁤
taen2	倓坛壇壜昙曇彈弹惔檀潭澹痰繵罎覃談谈譚谭鐔镡䉡𡐧𤮦𤺺𥰨
taen3	倓啖啗坦埮忐憳毯璮禫窞菼萏袒醓髧㫜㲜毯䏙𧝓
taen5	僋嘆叹坍{墙～下来了}碳探撢歎湠炭𢾡𨂞
naen2	侽南喃娚枏楠湳男蝻難难𠲸
naen3	戁揇罱赧
naen5	攤摊難难𢺋
laen1	纜-缆-爛-臘+{～月}
laen2	儖婪嵐岚幱惏攔拦斕谰欄栏瀾澜籃篮籣藍蓝蘭兰襤褴襴闌阑𡮻𣋣
laen3	嬾懶懒攬揽爁覧覽览㰖榄𢞥𤑸
laen5	懢漤濫滥爛烂=纜蘫䑌𣩼𣽦𧸦
zaen1	孱嶃嶄+摲簪鐕㔆𠟆𡭞𥕌𦢤劖{～肉：肉圆}
zaen3	儧喒拶斬斩琖盞盏醆䟎嶄崭
zaen5	偡囋嶘暫暂棧栈湛濺灒𪷽㳨瓚禶站綻绽蘸譖讚賺贊赞跕鄼鏨錾饡𱄊𣳤𥩠
caen1	參参叅攙搀掺惨+飡餐驂䱗𠣄𠫵𡮿𥴷𩼇
caen2	儳慙慚惭戔欃殘残毚蚕蠶讒谗鑱饞馋㥇㨻㱚孱潺𢦸𣧻
caen3	丳剗剷慘惨谄+旵滻產产穇䅟羼鏟铲驏黲㦃㦧䊲𨪑
caen5	懴忏摻攕灿澯燦璨粲㛑㬱䜟𢖱𢺟𣻬
saen1	三删卅叁参姍山彡摻杉澘珊穇芟衫舢跚𢇢𣬛𣲀𥤇𦳫
saen3	傘伞摲散汕糝繖饊馓㨻㪔𠍘𢄻
saen5	俕散柵潵疝訕讪汕釤㣌𠚹
gaen1	乾亁干忓攼柑泔犴玕甘疳肝豻頇㤌尷尴監-监-間-𤮺𤯌
gaen3	感擀敢杆桿橄澉𦪧{走～：船舷}灨盰稈秆竿簳赶趕揀-𣔼𦼮𦾮
gaen5	幹斡{幹}旰榦干{幹}汵淦濣紺詌贑贛赣間-𢁗
kaen1	刊堪鉛铅鵮龛勘看嵌𢦟𢽣
kaen3	侃凵勘坎=埳塹欵款砍窞㙳㦿嵌槛𠈉𣽌
kaen5	勘嵌槏看瞰矙闞㟛㪠𡰶𥉏
haen1	憨粯莧苋-蚶酣鼾汗-餡-陷-限-{不～定}𣵷
haen2	函凾含=咁唅啣圅寒=梒浛涵菡邗邯醎銜-韓韩鹹咸㖤晗闲𠀟𡋶𣐺𣹢𣽬𧑚
haen3	喊憾撼暵琀罕頷𡒓
haen5	悍捍撼旱桿汗=浛涆淊漢汉瀚焊熯粯翰莧=苋=餡=㢨罕
aen1	侒偣安=氨庵淹荌菴諳谙鞍鵪鹌雁-岸-{南洋～}
aen2	顏颜岩𩪋
aen3	俺揞眼罨隌銨铵
aen5	偐妟姲岸=按晏{晚}晻暗=曣案桉洝犴腤豻雁=鴈鷃黯㬫
jiaen1	奸姦姧尶監=艱艰蕳間间=𥌈
jiaen3	揀=柬椷減减碱簡简緘缄鐧锏䶢𥻇
jiaen5	檻澗涧監监瞷艦舰諫谏鍳鉴鑑鑒間=
qiaen1	刊慳
qiaen5	掔瞰矙闞
xiaen2	函凾咸嫺嫻娴崡緘缄閑閒闲鷼銜降-𢔈
xiaen3	僩豏
xiaen5	俠惂限=陷=餡=馅=㡾𣐻𨵬
zuaen1	潹潺跧{弯腰}
zuaen3	僝喒{早晚的合音}
zuaen5	僎撰譔𬤥賺赚饌馔𢰅
cuaen1	賺-
cuaen5	創+创+㦼𢺟{插}
suaen1	珊栅姗删拴栓跧閂闩疝𢩠𣟴赸{赶}
suaen3	摲
suaen5	汕涮狦疝訕
guaen1	菅関關关鰥纶𡮟𢇇
guaen5	丱卝慣惯摜掼擐𣩔
kuaen1	掼-{摔、耽誤}
kuaen2	圜奻寰環环鐶蜷-{弯腿、蜷缩}𡑡𤨔
huaen1	懁{～𢜶：快}𦌦
huaen2	擐澴還还鬟𢕼
huaen5	宦幻患豢𠄔𣥌
uaen1	弯彎湾潫灣萬-㘤𡇿
uaen2	頑顽𤸷
uaen3	娩挽晚綰绾輓
uaen5	獌萬=蔓薍贎𦱏
bu1	嶓波玻菠裒褒襃𣴫般
bu3	播簸{顛～}跛
bu5	簸{～箕}
pu1	坡陂𤀪
pu2	婆媻皤
pu3	剖鄱叵笸尀岥頗颇𣲳
pu5	破
mu1	磨-礳
mu2	侔堥墲恈摩摹擵模橅氁洠牟獏饃馍眸矛磨藦蘑蛑蝥蟊謀谋謨謩鍪髍魔麰䃺𢂳𢃱𢘓𥍤
mu3	丘{孔子名，本音秋}姆姥娒拇某母牡畝亩畮麽么𡭚𢟨𤘥𤚴𤵝𧰷𧿹
mu5	募墓愗慔慕懋暮楙磨=茂袤貿贸㮘𧴵𧵍
fu3	否+
du1	多𡖇𡖈
du3	嚲亸垜垛朶朵跥<躱躲軃㛆㛊𣏻𦕰𩬻
du5	刴剁垛垜跥跺墮堕惰柁柂炧舵𭩥𮃄
tu1	拕拖
tu2	佗它沱沲狏砣紽詑跎迤酡鉇鉈铊陀馱驮駝驼鮀𬶍鴕鸵鼍鼉㾃𣵺𣵻𤝛𤵚𥓿𥹈𨈷𰶿
tu3	堶妥扡挼撱橢椭㨊䅜𣷿
tu5	唾蜕{～皮}
nu1	稬穤𤲬
nu2	伮儺哪奴娜孥帑挪砮笯那駑𥑌
nu3	努娜弩樐櫓橹艣艪
nu5	怒愞懦稬穤糯
lu1	摞-螺-覶覼
lu2	儸㑩囉啰𣎆驘擩攞欏氌籮箩罹羅罗腡脶{手指纹}蘿萝螺蠃邏逻鑼锣騾骡𡏱𥡜
lu3	倮剆{切}擄攞㦬瘰蓏虜<虏<裸𠿛𪌳
lu5	砢䌱摞=𨇽
zu1	矬𩛠銼
zu3	左𠂇𠡃𡯛
zu5	做+坐=佐夎座袏𠱯
cu1	坐-剉夎嵯嵳搓瑳矬磋艖莝蹉鹺
cu5	銼錯+错+䟶𢚂剉挫
su1	唆嗦{啰～}娑桫梭傞簑莎莏蓑趖㛖㛗䓾𥆝𥇇𥭟
su3	嗩惢所瑣琐璅鎖锁鎻鏁𠝿𥔭
su5	𪍌
gu1	哥堝戈歌渦{水名}涡{水名}渮滒濄過过{超～}鍋锅㽿𩰭
gu3	倮惈果淉猓粿綶菓蜾裹錁餜䴹𥁁𥰮
gu5	个-{～子}個-箇過过
ku1	堁柯棵犐珂科稞窠笴苛蝌軻顆颗
ku3	可坷岢舸蓏?裸?㪼㰁?㾧𣸌
ku5	課课錁騍
hu1	呵炣訶诃㗾𬉸
hu2	和何啝姀惒柇河澕盉禾苛荷㘞回{下～、～頭}𤖱𠰓𥞄
hu3	火伙夥㚌𡖿
hu5	抲楇禍祸荷貨货賀贺㘞𢬲𢼽𣨱𧴦姡
u1	餓-饿-倭唩妿婀屙涹渦涡蝸蜗疴痾窩窝萵阿㚳䆧䋪𡑟𡱻𣚝
u2	俄哦囮娥峨莪蛾訛讹誐譌鵝鵞鹅𧚄
u3	妸婐我=䂺
u5	卧臥餓=饿=涴
bun1	搬般-䈲
bun5	伴半姅怑秚絆㪵
pun1	潘磻拌{～命}𢬵
pun2	媻捊搬搫柈槃瀊盘瘢盤磐蟠鞶𠽲𡂑𤠍𨃞
pun3	坢𡗹
pun5	冸判叛沜泮溿牉畔㚘頖
mun1	漫-
mun2	墁慲曼槾瞞瞒縵謾蹣鏝顢饅馒鰻𡑦𧜞
mun3	滿满蟎螨
mun5	幔漫=澫澷蔓𣸞
dun1	剬端篅鍴𥬫𧤗
dun3	剸椯短踹㙐𢭃𥠄
dun5	断=斷椴段煅碫籪簖緞缎鍛锻㫁
tun1	湍貒断-
tun2	團团坛-慱揣摶湍漙煓猯䊜𩜵
tun3	疃瘓髧
tun5	彖楕湪褖
nun2	南-𡖝
nun3	暖煖渜稬餪㬉𣆝𤏙
lun1	乱-
lun2	圝堧婪嵐巒峦惏撋攣挛欒栾葻鑾銮鸞鸾㞩㡩㨎𢺈
lun3	卵愞軟輭软阮檽㮕𢘎𥦝䞂𧸀
lun5	乱=亂𡄹𣨀
zun1	專专甎磚砖耑鑚鑽钻顓颛膞䏝{鸡～}
zun3	囀昝纂纘轉转鐏鑚
zun5	傳传堟揝撍瑑篆鑽钻转
cun1	巛川汌穿遄釧钏䆤汆
cun2	傳传掾攅椽篅舡舩船䒃蚕-{～豆}𦩍
cun3	僢喘穇舛黲㱛䅟-𥬫
cun5	串攛汌爨竄窜篡纂釧钏㸑𢸥
sun1	酸狻痠
sun3	𩆑
sun5	筭算祘蒜䐶𥫫𮅕
gun1	倌冠官棺觀观𢃙𥍕
gun3	感-赶-斡筦管脘舘輨錧館馆䘾𥭨𦜐𬋩
gun5	丱毌泴淉灌瓘盥祼罐觀观貫贯鏆鑵鸛
kun1	寬宽看-
kun3	欵坎-{河浜～子}冚𠖫款-歀𣤂𣽟
kun5	看-
hun1	懽歡欢犿獾讙貛驩汗-蚶换-𡚊
hun2	韓-韩含-寒-
hun3	憾-𤀣
hun5	喚唤喛奐奂愌𢚾換换=浣渙涣漶煥焕瑍㪱痪𧶲
un1	剜岸-安-帵弇眢豌
un2	丸凡{同丸}垣完桓瓛紈纨芄萑豲𡘍𥥣
un3	埦婉宛捥桉椀涴琬盌碗㼝䝹皖腕惋畹豌+
un5	妧忨惋浣澣濣玩睆睕緩缓翫腕莞㣪䯛暗-𣴼{同浣}
jiun1	姾娟悁捐涓獧睊蠲鐫镌鵑鹃
jiun3	呟卷啳捲錈锩𢍏𩜇
jiun5	倦劵+卷埢帣慻棬淃狷獧眷絹绢綣绻毽-圈=蔨菌㢧𠉮𢛗𣙢𥆞𨤓𨤖
qiun1	圈{圆～、猪～}棬𡈕
qiun2	全姾帣弮恮惓拳栓權权泉湶牷痊筌詮跧踡顴鬈㒰㩲𠤹𢂘𣹻𤷄
qiun3	汱犬畎𤰝
qiun5	券勸劝𢍕𣒀
xiun1	亘仚吅咺喧塤壎嬛宣愃愋掀揎昍晅暄烜瑄秈籼萱萲藼蘐諠諼讙軒轩轘駽㩊
xiun2	埍懸悬旋泫漩炫玄璇璿眩翾衒鉉铉弦㳬𢕼𢳄𤜼𤣥
xiun3	僎渲癬癣選选𤂿
xiun5	券旋楥楦眩絢绚鉉铉鏇镟颴㧦𢳄𦌔
iun1	寃冤惌淵渊渁灁鳶鸢鴛鸳㠾㶜𣴸𣴺𣾜𤀵
iun2	亰元刓原員员园園圓圆圜媛嫄援杬榞榬櫞湲源爰猨猿獂瑗緣縁缘芫袁轅辕騵鶢黿㥳㹉𡊮
iun3	遠远
iun5	夗妴怨愿掾瑗苑衏院願愿𢖭𥧛𨙨𭜨
bii1	卑埤庳悲杯桮盃碑箄蓽裨陂蓖+{～麻}背𢃍𤰞𥓓
bii3	匕+比-
bii5	俾倍偝偹備僃备奰婢帔幣币弊悖敝棓焙狽狈獙痺糒背臂蔽薜被褙貝贝貱贔軰輩辈避閉闭陛髲㡀毙+𠍯𡚁𢖬𣖾𤰈𦮷𦯞
pii2	培掊裴賠赔陪㟝𡌮
pii3	俖琲
pii5	佩偝呸姵嶏斾旆柭沛派淠濞珮譬轡辔邶配㤄𢁖𨚍
mii1	咪+渳+
mii2	侎咩咪哶堳塺媒嵋弥弭彌弥枚梅幭楣楳渳湄湈煤玫珻痗眉睂禖糜縻蘪迷郿酶醚醾醿鋂莓霉靡麛黴㙁䕷謎谜𢘺𢞞𣒫𣨴𤦀𩔢𪃏
mii3	乜凂哶敉每洣浼镁渼眯禰米+美羙䖹𡴕𣫭
mii5	妹媚寐昧沬瑁痗眛袂謎谜魅䀛
fii1	啡妃扉渄緋绯蜚霏非菲靟飛飞騑
fii2	淝痱肥腓𤷂𩇯
fii3	匪吠奜悱斐棐榧篚翡菲誹诽㥱𫅪
fii5	剕吠廢废杮疿痱癈肺芾費费䉬䕠𣏕𣙿𥝈𥳊
dii1	爹=垖堆壝嵟㢈䏨𠂤𡸠𡺾𣳨𥑵
dii3	謉𠡒㨃
dii5	兌兑对對憝憞懟怼涗濧碓譈隊队駾㬣𡭊
tii1	推
tii2	穨隤頺頽颓㿉魋弚
tii3	腿
tii5	毻蛻蜕退褪=
nii3	妳伱你儞餒馁
nii5	內内汭芮
lii1	擂{～～：赶牛号子}泪+
lii2	壘<垒<擂礧羸藟雷累{～赘}㵢𦢏
lii3	壘垒儡蕾惹=磊理耒洡㵽𡚗𢜪𠰒
lii5	偌唳泪+淚睙累縲纍類㴃𤁾𣈪瑞
zii1	㸙𠌮
cii1	硨砗蛼車车
cii3	扯撦哆
sii1	賒赊奢𧴳
sii2	佘蛇
sii3	捨舍
sii5	厙厍舍射社赦麝𢼜
jii1	嗟罝㚗
jii3	姉姐怚
jii5	借=
xii1	些𡭟𡭥
xii2	邪=
xii3	且冩寫=些
xii5	卸=瀉=榭謝谢㓔㴬㵼
ii2	爺爷
ii3	也=椰=冶墅野=鎁埜
ii5	亱夜=㖡
bin1	囨楄猵稨籩笾編编緶萹蝙边邊鞭鯾鯿鳊
bin3	匾惼扁揙稨窆藊褊貶贬𢴂𥤓𧴷
bin5	便卞=弁徧忭昪汳汴窆變変变辨辮辯遍鶣㳎㵷𣸇𤀫𤀲𥍚
pin1	偏卞-犏箄篇編编翩蹁㾫
pin2	便諞賆輧駢骈骿𠷊
pin5	弁徧片遍{～地}騙骗㓲㴜
min1	麪麫麵面-
min2	宀愐棉眠綿绵緜𡒳𡯫𣏜
min3	免冕勉娩愐沔湎澠眄緬缅㝃㡈䤄𨡞𬗟𭰫
min5	偭面靣麪麫麵面=㴐𥸴𬹃
din1	傎巔巅掂敁滇癲癫磓顚颠𠑘
din3	典捵碘点蒧點店+𠔓
din5	奠=佃坫埝墊壂店惦踮殿沾淀澱玷甸砧簟趝鈿電电靛㼭𣪍𤘠
tin1	天奠-沗添祆靝𣸸
tin2	塡填屇嵮恬搷沺沾滇甛甜田畋盷磌窴菾䧃𢇶𥪧
tin3	咶忝悿晪殄沴淟腆舔覥餂㤁㥏𥪌𧨩
tin5	掭栝舚㐁㮇𠀬𣒂𣓱𦧖𦧻
nin1	拈艌
nin2	姩年鮎鲇粘黏𥝝怜+
nin3	埝撚涊淰碾捻跈輦辇攆撵輾辗齞𡰫𢲳𤁥𨋚
nin5	唸念錜
lin1	楝-鏈-
lin2	嗹奩奁帘廉憐怜溓漣涟濂濓然燃璉琏稴簾籨縺聯联臁蓮莲薕連连鐮镰鰱鲢㦁㾾𢅖𢇣𢊴𤡮
lin3	冄冉姌染臉脸苒髯㚧㚩𥬕
lin5	孌彙恋戀戾斂敛楝歛殮殓澰瀲煉炼練练萰鍊㱨𧍴鏈=链=
zin1	占{～卜}幨惉旃旜栴毡氈氊沾添痁瞻粘襜詹譫輾邅霑饘驙鱣鸇㙴㫋㮵𡖞𡝫𣒰𣭣
zin3	展搌{～布}蕆蹍輾辗颭㞡
zin5	佔占{～领}戰战顫颤
cin2	儃嬋婵廛澶瀍禪禅纏纒缠蟬蝉蟾躔㙻
cin3	奲諂谄𢁧
cin5	幝纏缠{～麪}闡阐䦲䵖
sin1	膻扇煽單-
sin3	善晱睒閃闪陝陕㨛㴸
sin5	傓善單单扇擅禪禅笘苫鱔鳝蟮膳繕缮贍赡䄠𥰢
jin1	兼堅坚尖幵戔戋搛{～菜}湔瀸煎牋箋笺籛縑缣肩蒹
jin3	偂儉俭剪囝戩戬揃撿捡梘檢检筧笕繭茧翦謇趼蹇鬋㨵𢆞𢦞𣦃𣳲
jin5	件健僭劍剑唶建晛楗毽=洊湕漸渐濺溅牮箭聻荐薦見见譖谮賤贱踐践鍵键韉餞㝺㣤𣿕𥑼𥤆𭸠
qin1	仟僉千圱圲奷愆扦搴攐汘汧牽牵簽签笺+籤褰謙谦迁遷阡韆纎{縣志音：～維}殲{縣志音}騫骞㔐䇂件-𢕆𢫀𢳍𢴡𣢬
qin2	乹乾仱前媊扲拑揵撏挦{～毛}湔潛潜濳箝蚙誗鉗钳錢钱黔䖍虔𢁮𣦃𣦖𥮠𧨾
qin3	忏淺浅繾缱譴谴遣㹂𡒌𣻝𪘦
qin5	俔倩刋塹慊棈槧欠歉箐篟縴{拉～}芡茜㐸
xin1	仙仚僊先奾妗孅掀=摻暹杴殲<祆秈纎纖羶薟襳蹮躚軒轩鮮鲜鱻𧞬
xin2	嫌弦舷慊絃臤賢贤贒𢎙𢎺𢛆𥲋
xin3	尟尠岘嶮憲宪毨洗獫猃玁禒筅箲臔蜆蚬跣銑閃險险顯显鮮鲜㦓䘆𢞩𩔰
xin5	晛献獻現现瓛綫線线縣縣羡羨霰峴岘腺
in1	咽嫣淹烟焉煙燕胭腌臙荌菴菸蔫鄢醃閹阉鞍鵪𡙷𤊗𧹢𧹬𩸆
in2	嚴严儼俨埏壛姸妍嵒嵓延揅檐沿涎炎癌硏研碞筵簷蜒言閻阎閆闫鹽盐㳄㳭㵪䇾𣳧𣵿𣹺𥂁
in3	偃儼兗剡厴厣唵埯堰夵奄广弇愝懕扊掩揜晻棪椻渰渷演琰硽罨衍躽闇靨㭺䅖䤷𡘹𣄑𥀬𥈔𥍻𥜒𥣘𥤴𧽉
in5	厭厌唁喭嚥咽壓宴彥彦掾暗灔焰焱燄燕爓硯砚艶艳覘諺谚讌讞豔醼騐驗验魘黶䞁堰埝𣄑𤝴𧰚𨡎𪈏𪑈
ban1	垹帮幇幫搒梆浜邦㙃㨍
ban3	㮄榜綁绑膀
ban5	傍塝棒棓磅{～秤}稖謗谤鎊镑㭋𣘙
pan1	乓肨{縣志音：浮}
pan2	傍塝徬旁滂胮膀{～胱}磅{～薄}螃逄龐庞彷㥬㫄𢄎𢔚𣶢
pan3	覫髈䠙耪
pan5	胖䐟
man2	尨庬忙恾汒浝牻盲盳硭笀芒茫蝱邙鋩㟐䅒氓𡜋𥆙𥝕𦬆𩭒
man3	漭莽莾蟒蠎䁳𣾘
man5	𥭚
fan1	匚坊方枋汸淓牥祊芳雱㤃
fan2	埅妨房防魴鲂肪
fan3	仿倣彷放眆紡纺舫訪访髣㕫
fan5	放
dan1	儅噹檔澢璫當当簹襠裆鐺铛𡭠
dan3	党攩檔挡黨𫽮
dan5	儅圵宕愓擋璗當当档盪碭砀凼簜蕩荡𢠽𢡂𣿘
tan1	湯汤盪荡-鏜鼞搪{挡}𢴳
tan2	傏唐堂塘搪摚棠溏漟糖膛螗螳赯餳餹㭻𠹔𧱵
tan3	倘偒傥儻帑淌盪躺耥钂
tan5	燙烫趟摥
nan1	齉-囔囊{皮肤松弛}
nan2	囊
nan3	囔攮{～风船：帆船}
nan5	齉
lan1	儴攘瀼禳㫰-{晾}浪-让-𣰶
lan2	崀廊桹榔欴浪狼琅瑯鎯𨱍瓤硠稂穰莨蓈蘘螂躴郎閬㝗㟍㢃㱢㾿䆡䯖𦵧
lan3	嚷壤朗爙㫰{同朗}𣊧𧚅
lan5	埌浪=讓让閬㫰=𣻡
zan1	墇嫜張张彰慞樟漳獐璋章蟑臧賍贓赃髒脏麞㮜𢕔𪅂
zan3	仉掌涱漲涨長长鞝𠫝
zan5	丈仗塟帳帐扙杖漲涨瘴脹胀臟脏葬藏賬账障㙣𮍄
