#符号说明：-白=文/书*俗?待考			
聲母	韻母	聲調	字元
ɕ	iɑ	去聲45	下={~士：落士；~水；解僱}夏嚇{~一跳}
	iɒ̃	平聲11	央秧羊洋楊陽揚殃
	iɒ̃	上聲53	仰養癢
	iɒ̃	去聲45	樣怏{圪~：慢慢吞}
n	iɒ̃	平聲11	娘{爹~，新~，~家}
n	iɒ̃	上聲53	仰
n	iɒ̃	去聲45	娘{老~、~~：外祖母}
l	iɒ̃	平聲11	良涼量{~長短}糧梁粱
l	iɒ̃	上聲53	兩
l	iɒ̃	去聲45	涼{~武：說話冒失}量{數~}亮諒輛晾
ʨ	iɒ̃	平聲11	剛{~~好，~~合適}將{~來，~就}漿{~衣裳}疆僵薑礓{礫~石}繮姜江
ʨ	iɒ̃	上聲53	蔣獎槳講耩{用鐵鍬鏟起東西並舉起：把雪從墻頭上~出去}
ʨ	iɒ̃	去聲45	將{大~}漿{~糊，~子}醬匠降{下~}虹{出~}
ʨʰ	iɒ̃	平聲11	牆羌強{~大}戧槍戕腔
ʨʰ	iɒ̃	上聲53	搶強{勉~}
ʨʰ	iɒ̃	去聲45	嗆
ɕ	iɒ̃	平聲11	相{互~}箱廂襄鑲詳祥香鄉湘降{投~}翔
ɕ	iɒ̃	上聲53	想享響餉
ɕ	iɒ̃	去聲45	相{~貌}象像橡向項巷{柳~}
	iɒo	平聲11	妖腰要{~求}搖窰姚堯幺遙夭吆邀謠
	iɒo	上聲53	舀{~水}
	iɒo	去聲45	靿{高~}要{重~}耀鼬{黃~子：黃鼠狼}躍
p	iɒo	平聲11	臕標彪飆膘鏢驃
p	iɒo	上聲53	表錶婊裱
p	iɒo	去聲45	鰾摽{~勁兒}
pˣ	iɒo	平聲11	飄瓢嫖漂{~浮}剽殍
pˣ	iɒo	上聲53	漂{~白}
pˣ	iɒo	去聲45	漂{~亮}票
m	iɒo	平聲11	苗描矛{~子，長~}瞄
m	iɒo	上聲53	秒藐邈緲
m	iɒo	去聲45	廟妙繆
t	iɒo	平聲11	刁貂雕碉叼凋
t	iɒo	去聲45	調{~動，~查}釣弔掉銚{三足鐵鍋，炒菜用；帶把兒的鍋}吊
tˣ	iɒo	平聲11	挑{~擔，~刺兒}條調{~和}跳{~膿}笤迢
tˣ	iɒo	上聲53	挑{~戰，~撥}
tˣ	iɒo	去聲45	跳糶{~米}眺
n	iɒo	上聲53	咬鳥嬲
n	iɒo	去聲45	尿
l	iɒo	平聲11	聊遼撩療僚燎{~原}嘹撩潦廖寥
l	iɒo	上聲53	了{~結，~解}燎{火~眉毛}
l	iɒo	去聲45	瞭料尥撂
ʨ	iɒo	平聲11	交郊膠教{~書}焦蕉椒驕嬌澆嚼茭{玉~子：玉米、玉蜀黍}
ʨ	iɒo	上聲53	絞鉸攪僥茭{玉~子：玉蜀黍}餃矯
ʨ	iɒo	去聲45	教{~師，~室}較窖覺{睡~}轎叫酵校{~對}
ʨʰ	iɒo	平聲11	敲繰{~邊：一種縫紉方法}瞧醮{再~：再嫁}喬僑橋蕎劁{~豬：閹豬}鍬樵
ʨʰ	iɒo	上聲53	巧悄{~~底}雀
ʨʰ	iɒo	去聲45	俏翹蹺竅
ɕ	iɒo	平聲11	宵霄硝蕭簫肖消銷囂
ɕ	iɒo	上聲53	小曉
ɕ	iɒo	去聲45	校{學~}孝效笑
	iɐʔ	陰入2	鴨押壓{舊}
p	iɐʔ	陰入2	□{~豬：種豬}
ʨ	iɐʔ	陰入2	夾{~襖}裌甲挾癤
ʨʰ	iɐʔ	陰入2	掐切洽恰鵲
ɕ	iɐʔ	陽入54	匣=狹峽
ɕ	iɐʔ	陰入2	瞎={~子}俠轄
	iɛ	平聲11	爺巖淹閹鹽閻簷嚴腌顔蔫焉延言研煙緣{~法，~份}沿胭蜒芫閆岩簷檐耶椰
	iɛ	上聲53	也野眼演掩冶
	iɛ	去聲45	夜驗炎魘厭豔焰釅雁諺堰研{~缽缽，~船}硯燕{~子}嚥宴沿{河~兒}晏艷液腋
p	iɛ	平聲11	鞭編邊辮{~辮子}
p	iɛ	上聲53	貶別{汽車把我~到便道上了}扁{~食：餃子}匾癟
p	iɛ	去聲45	便{方~，~飯}辨辯變別{~著勁}辮{~子}遍
pˣ	iɛ	平聲11	篇偏便{~宜}棚
pˣ	iɛ	上聲53	片{字~~：看圖識字圖片}撇劈{~柴：柴禾的總稱}諞苤
pˣ	iɛ	去聲45	騙片
m	iɛ	平聲11	綿棉眠
m	iɛ	上聲53	免勉冕娩
m	iɛ	去聲45	面{臉~}麵{~粉}
t	iɛ	平聲11	掂{~對}顛爹
t	iɛ	上聲53	點典奠
t	iɛ	去聲45	店電佃墊殿奠
tˣ	iɛ	平聲11	添甜天田塡
tˣ	iɛ	上聲53	舔
n	iɛ	平聲11	黏{~土}苶蔫爾{~家，~們}你{~家，~們}年拈
n	iɛ	上聲53	眼碾輦撚攆
n	iɛ	去聲45	念硯{~瓦：硯台}
l	iɛ	平聲11	廉鐮簾連憐蓮咧{相當於北京話的“了2”：下雨~}臁{~刃桿：脛骨}鰱
l	iɛ	上聲53	斂臉裂{~開}咧{~嘴}
l	iɛ	去聲45	練鍊鏈殮煉
ʨ	iɛ	平聲11	階稭街監尖兼搛艱間{中~，當中~}奸煎肩堅監{~獄}殲姦皆耕羹{剔~：用鐵鏟剔成的麵食；溜~：在盤或碗裏剔成的白麵或綠豆面麵食；抿~~：用特製的抿槽（鐵片上有許多圓形小孔）製成的高梁麵條兒；擦~~：用特製的擦子（鐵片上有許多扁形小孔）製成的高粱麵條兒}前
ʨ	iɛ	上聲53	姐解{~開}減檢儉簡柬揀剪繭鹹
ʨ	iɛ	去聲45	借{~用}藉{~口}介芥疥屆監{太~，國子~}鑑艦漸劍間{~斷，~苗}諫澗踐件箭濺賤餞鍵建健腱薦見毽界戒械
ʨʰ	iɛ	平聲11	茄鵮籤簽鉗杴{木~}謙乾{~坤}遷錢箋千前牽鉛汧潛黔虔
ʨʰ	iɛ	上聲53	且淺
ʨʰ	iɛ	去聲45	嵌欠歉芡
ɕ	iɛ	平聲11	些邪斜咸鹹{~淡}嫌協閒仙鮮{新~}掀先{~前年：大前年}賢銑纖弦銜鞋
ɕ	iɛ	上聲53	寫險顯
ɕ	iɛ	去聲45	瀉卸謝解{姓；跑馬賣~：馬戲、雜技}懈蟹陷{下~}餡限線羡泄憲獻先{~前年：大前年}現縣腺賢{三~，親~}杏
	iŋ	平聲11	音{聲~}陰淫銀因姻寅殷應{~當，~該}鷹鶯櫻迎英纓盈贏螢營茵瑩蔭吟齦嬰蠅
	iŋ	上聲53	飲{~水}引隱尹影穎䌥殷音{~訊}蚓癮
	iŋ	去聲45	蔭{~涼}洇印應{響~，~承}映飲{~馬}孕
p	iŋ	平聲11	蓖{~麻}彬賓檳冰兵斌濱繽鑌{~鐵}并{~州}
p	iŋ	上聲53	丙秉餅柄稟
p	iŋ	去聲45	鬢病=併並{~且}併{合~}殯
pˣ	iŋ	平聲11	拚貧頻憑平評拼{~音}瓶屏萍乒蘋坪乒憑
pˣ	iŋ	上聲53	品
pˣ	iŋ	去聲45	聘姘拼{~命}
m	iŋ	平聲11	民鳴明=盟名銘
m	iŋ	上聲53	閩敏抿皿岷憫冥螟
m	iŋ	去聲45	命呡{吮：把糖~化了}
t	iŋ	平聲11	丁釘{鐵~，~子}疔叮頂{~住頸}盯汀
t	iŋ	上聲53	丁{甲乙丙~}頂={~碗，~針}鼎
t	iŋ	去聲45	釘{~釘，~釦釦，~扣字}錠訂定
tˣ	iŋ	平聲11	聽{~見}廳亭停=廷庭婷汀艇{舊}
tˣ	iŋ	上聲53	挺艇
tˣ	iŋ	去聲45	停{直立：~到一壁子去}聽{~從}
n	iŋ	平聲11	寧{安~}檸嚀獰濘凝
n	iŋ	上聲53	擰
n	iŋ	去聲45	硬寧{~可}
l	iŋ	平聲11	林淋{~雨}臨檁鄰鱗燐陵菱靈零鈴伶翎玲瓴麟凌羚
l	iŋ	上聲53	檁領嶺
l	iŋ	去聲45	賃令另吝躪
ʨ	iŋ	平聲11	今金禁{~不住}津緊{~頭巾}斤筋更{打~，半夜五~}京荆驚鯨精=晶經襟莖兢
ʨ	iŋ	上聲53	錦儘{謙讓：~著老的~小的}緊{鬆~}謹景警井頸
ʨ	iŋ	去聲45	禁{~止}妗盡{~早}進晉近勁境敬竟鏡靜靖淨甑={~子：上部有孔的瓦製蒸具}競
ʨʰ	iŋ	平聲11	侵欽琴親{~戚}秦勤芹清晴輕青蜻禽擒氫卿情噙{圪~頭：吝嗇鬼}
ʨʰ	iŋ	上聲53	寢請傾緊{~屙}頃侵
ʨʰ	iŋ	去聲45	吣{貓~}親{~家}慶{~等：坐等}沁磬
ɕ	iŋ	平聲11	心尋辛新薪欣行{~爲}興{~旺，時~}星=腥形型刑陘{井~}餳邢芯鋅忻猩
ɕ	iŋ	上聲53	省{反~，~親}醒
ɕ	iŋ	去聲45	信訊興{高~}杏幸性姓囟釁{挑~}迅{~速}
	iəʊ	平聲11	憂優尤郵由油游悠魷蚰莜猶
	iəʊ	上聲53	有友酉
	iəʊ	去聲45	莠誘又右祐柚釉幼佑
t	iəʊ	平聲11	丟
n	iəʊ	平聲11	牛
n	iəʊ	上聲53	紐扭鈕
n	iəʊ	去聲45	謬{荒~，~論}拗{死~：固執}
l	iəʊ	平聲11	流劉留榴硫琉溜{~冰}瘤
l	iəʊ	上聲53	柳流{~沙坡}綹
l	iəʊ	去聲45	溜{圪~：溜走}餾六鎦
ʨ	iəʊ	平聲11	揫鳩鬮糾揪究灸
ʨ	iəʊ	上聲53	酒九久韭灸玖
ʨ	iəʊ	去聲45	就臼舅救究舊疚柩
ʨʰ	iəʊ	平聲11	秋丘求球邱㞗囚裘
ʨʰ	iəʊ	上聲53	□{踡縮：~在家裡不出門}
ɕ	iəʊ	平聲11	修羞休
ɕ	iəʊ	上聲53	宿{一~沒睡}朽
ɕ	iəʊ	去聲45	秀繡宿{星~}銹袖嗅
	iəʔ	陰入2	葉頁噎一藥益壹溢業虐瘧乙逸抑翼益亦譯易{交~}疫役鑰約藥樂{音~}
p	iəʔ	陽入54	鼻別{區~，離~}白荸
p	iəʔ	陰入2	憋畢北逼壁蹩褙鱉筆必碧百佰柏伯{大~子、叔~哥：丈夫的哥哥；叔~弟弟：丈夫的弟弟}
pˣ	iəʔ	陰入2	箅撇拍{吹牛}僻劈
m	iəʔ	陰入2	密蜜墨麥脈默陌{~生}滅秘覓
t	iəʔ	陽入54	碟蝶笛敵疊狄
t	iəʔ	陰入2	跌得{~罪}德滴的{~確}提
tˣ	iəʔ	陰入2	帖貼鐵忒{~得：太}踢剔惕
n	iəʔ	陰入2	聶鑷捏囁妮孽虐瘧逆
l	iəʔ	陰入2	獵立列裂栗肋力曆勒烈劣略笠粒
ʨ	iəʔ	陽入54	集及截捷杰傑極疾籍
ʨ	iəʔ	陰入2	機{~靈}接急揭節結吉即極積跡脊稷羯劫潔績激擊級寂嚼腳給{三~}格{北~，南~}
ʨʰ	iəʔ	陰入2	祈怯緝輯㬤{吸乾}七漆雀{~目眼：夜盲}卻客{~人，化~頭}妾竊切{~開，一~}戚乞泣確
ɕ	iəʔ	陽入54	習席協脅夕襲學
ɕ	iəʔ	陰入2	吸歇蠍楔媳錫揳{打}屑膝息熄惜析削薛讗{道~：聊天}
ts	ɿ	平聲11	知支枝肢梔{~子花}資咨茲滋芝吱蜘姿
ts	ɿ	上聲53	紫紙姊脂旨指{~划}子止址籽之芝只{~有}姊
ts	ɿ	去聲45	制製智自致至字置治志誌痣滯稚正症{發瞇~：夜遊}
tsʰ	ɿ	平聲11	刺{~猴八怪}池眵瓷遲慈磁詞癡持呲{~牙子}垐馳雌城{鎮~，塢~，芮~，邵~}
tsʰ	ɿ	上聲53	此齒恥
tsʰ	ɿ	去聲45	疵刺翅次伺
s	ɿ	平聲11	斯撕施匙{~~：小勺兒}私師獅尸屍司絲思辭{~典}祠{~堂，晉~}詩時殖{骨~}詞聲繩生{雙~~：雙生兒}屎
s	ɿ	上聲53	死屎使{~用，大~}史始駛匙
s	ɿ	去聲45	世勢誓逝匙{鑰~}是四肆示視似祀巳寺士柿事市試侍{服~}賜
p	u	平聲11	噗{放屁聲}脯{~子頭：胸部}
p	u	上聲53	補捕堡{碉~}蒲{東~，西~，南~}
p	u	去聲45	部簿布佈步怖抱
pˣ	u	平聲11	鋪{~被子，~床}蒲{~劇，~州梆子}菩脯{胸~}撲{~克兒}葡
pˣ	u	上聲53	譜浦堡{東太~}普蒲{同~路}圃捕
pˣ	u	去聲45	鋪{店~，~子，~板}
m	u	平聲11	模{~子，~範}謀
m	u	上聲53	某畝牡母
m	u	去聲45	慕墓募幕暮牧□{認死理兒}
f	u	平聲11	夫跗敷孵麩扶芙浮膚俘符
f	u	上聲53	府斧撫腐輔否俯腑阜埠{商~}
f	u	去聲45	傅附婦負富副付父赴服阜{北~，南~}
v	u	平聲11	吳蜈梧烏無誣嗚污巫
v	u	上聲53	五伍午武舞捂忤鵡侮
v	u	去聲45	誤務霧戊悟惡{厭~}
t	u	平聲11	都{首~，~是}嘟{~喃，~囔}
t	u	上聲53	堵賭肚{羊~，豬~，粉~}
t	u	去聲45	肚{腹：~子疼}杜度渡鍍妒蠹
tˣ	u	平聲11	徒途塗圖屠
tˣ	u	上聲53	土吐{~痰，嘔~}
tˣ	u	去聲45	吐{~沫}兔杜{~兒坪}
n	u	平聲11	□{~貓：母貓}
l	u	平聲11	轆{轱~：車輪}
l	u	上聲53	轆{轱~子：車輪}
ts	u	平聲11	租豬苎諸誅蛛朱硃珠株
ts	u	上聲53	祖組煑拄主煮帚{掃~星：彗星}
ts	u	去聲45	助柱駐註住注炷著{顯~}鑄
tsʰ	u	平聲11	粗除初鋤廚櫥
tsʰ	u	上聲53	儲褚楚處{~理,爲人~事}杵礎□{隱語，錢}
tsʰ	u	去聲45	醋處{~所}怵□{擦}
s	u	平聲11	蘇酥梳蔬書舒輸殊疏
s	u	上聲53	暑鼠{老~窟窿：地名，生產的元宵很有名}黍署薯數{~一~，~伏}
s	u	去聲45	素嗉數{~目，~字}豎樹漱恕塑訴
z	u	平聲11	如□{圪~人：吃了涼澱粉類的食品後胃部不適的感覺}儒
z	u	上聲53	儒乳蠕擩{~給他一些錢：偷偷地給他一些錢}
k	u	平聲11	姑孤箍估辜□{~兒：老鼠}
k	u	上聲53	古估{~計}股鼓賈{商~；~住：倚勢賴賬：在伢的地盤上坐車不給錢，叫伢~住我咧}
k	u	去聲45	古{~交}故固雇顧
kˣ	u	平聲11	枯骷{~髏：頭，用於罵人時}
kˣ	u	上聲53	苦
kˣ	u	去聲45	庫褲
x	u	平聲11	和{牌~咧}呼胡湖狐壺瓠鬍糊弧
x	u	上聲53	虎滸唬
x	u	去聲45	瓠戶護蝴{~蝶兒}糊{~頭：迷糊；粥太~}
ts	uɑ	平聲11	髽{~髻}抓
ts	uɑ	上聲53	爪
tsʰ	uɑ	平聲11	欻{~啦一聲}
tsʰ	uɑ	去聲45	刷{~白}
s	uɑ	上聲53	耍
k	uɑ	平聲11	瓜呱
k	uɑ	上聲53	寡剮
k	uɑ	去聲45	掛卦褂
kˣ	uɑ	平聲11	誇{~口}
kˣ	uɑ	上聲53	胯垮
kˣ	uɑ	去聲45	跨
x	uɑ	平聲11	花華{中~}划{~了個口子}樺橫{~渠，~嶺}嘩鏵驊
x	uɑ	去聲45	化畫話華{~山}
t	uɒ̃	平聲11	□{鑼聲}
tˣ	uɒ̃	平聲11	□{鑼聲}
ts	uɒ̃	平聲11	莊裝樁
ts	uɒ̃	去聲45	壯狀撞
tsʰ	uɒ̃	平聲11	藏{~蒙蒙：捉迷藏}瘡牀窗
tsʰ	uɒ̃	上聲53	闖
tsʰ	uɒ̃	去聲45	創撞雙{~生、~生生：孿生、孿生子}
s	uɒ̃	平聲11	霜雙{成~成對}
s	uɒ̃	上聲53	爽
k	uɒ̃	平聲11	光{~溜溜}咣{叮~}胱
k	uɒ̃	上聲53	光{不吃飯~吃菜}廣
k	uɒ̃	去聲45	逛
kˣ	uɒ̃	平聲11	筐匡框狂
kˣ	uɒ̃	去聲45	曠况礦
x	uɒ̃	平聲11	荒慌黃簧皇磺蝗凰惶{恓(悽)~：可憐}
x	uɒ̃	上聲53	謊{說~}晃{~眼}幌恍
x	uɒ̃	去聲45	晃{~動，~蕩}
t	uæ̃	平聲11	端
t	uæ̃	上聲53	短
t	uæ̃	去聲45	斷鍛段緞煅
tˣ	uæ̃	平聲11	團糰
n	uæ̃	上聲53	暖
l	uæ̃	平聲11	戀灤攣鑾鸞
l	uæ̃	上聲53	卵
l	uæ̃	去聲45	亂□{糊}
ts	uæ̃	平聲11	鑽{~洞，~空子}專磚
ts	uæ̃	上聲53	轉{~送，~眼}□{~子：髽髻}
ts	uæ̃	去聲45	賺鑽{~子，~石}傳{自~，~記}轉{~動}篆
tsʰ	uæ̃	平聲11	傳{~達，~統}椽穿船氽川
tsʰ	uæ̃	上聲53	喘□{磨粘膜部位使起水泡}
tsʰ	uæ̃	去聲45	竄串攛{~掇：慫恿}篡纂
s	uæ̃	平聲11	酸閂拴栓
s	uæ̃	去聲45	算蒜涮
z	uæ̃	上聲53	軟
k	uæ̃	平聲11	官棺觀{參~}關冠{衣~}鰥
k	uæ̃	上聲53	管館
k	uæ̃	去聲45	觀{寺~}冠{~軍}貫灌罐慣
kˣ	uæ̃	平聲11	寬
kˣ	uæ̃	上聲53	款
x	uæ̃	平聲11	歡還環寰
x	uæ̃	上聲53	緩
x	uæ̃	去聲45	喚煥換患宦瘓幻
t	uæᴇ	平聲11	堆
t	uæᴇ	去聲45	對
ts	uæᴇ	平聲11	拽{扔（糊狀物）}
ts	uæᴇ	上聲53	跩{身體肥胖不靈活，走路搖晃}
ts	uæᴇ	去聲45	拽{~住}
tsʰ	uæᴇ	平聲11	搋{將幹面粉揉進面團中}
tsʰ	uæᴇ	上聲53	揣{摸~}
tsʰ	uæᴇ	去聲45	踹
s	uæᴇ	平聲11	摔衰
s	uæᴇ	上聲53	甩
s	uæᴇ	去聲45	帥率{統~}蟀
k	uæᴇ	平聲11	乖刏{~刀：鐾刀}
k	uæᴇ	上聲53	拐{~杖}柺軌{出~：惹禍}
k	uæᴇ	去聲45	塊{量詞，相當於北京話的“個”：一~人，一~豬}個{量詞}怪
kˣ	uæᴇ	上聲53	塊{成疙瘩或塊狀的東西：糖~~}擓
kˣ	uæᴇ	去聲45	塊{量詞：一~錢}會{~計}劊{~子手}快筷儈膾
x	uæᴇ	平聲11	懷槐淮灰
x	uæᴇ	去聲45	壞
t	uɐʔ	陽入54	奪
tˣ	uɐʔ	陰入2	脫託托
l	uɐʔ	陰入2	落洛絡樂{快~}駱烙
ts	uɐʔ	陽入54	鐲
ts	uɐʔ	陰入2	作桌捉昨卓啄拙
tsʰ	uɐʔ	陰入2	戳
s	uɐʔ	陰入2	刷{~子}索{~性}縮朔
k	uɐʔ	陰入2	括刮咶{~~油：夜貓子}郭
kˣ	uɐʔ	陰入2	磕{~牙對嘴：頂嘴}闊擴廓
x	uɐʔ	陽入54	活划{~船}或惑獲穫{收~}火{紅~：熱鬧：正月十五鬧元宵，大街上可紅~嘞}
x	uɐʔ	陰入2	豁霍滑猾
t	ueɪ	平聲11	堆
t	ueɪ	平聲11	㨃{（汽車）撞}
t	ueɪ	去聲45	對碓隊兌
tˣ	ueɪ	平聲11	推頹
tˣ	ueɪ	上聲53	腿
tˣ	ueɪ	去聲45	退蛻褪煺{~毛}
n	ueɪ	上聲53	餒
n	ueɪ	去聲45	內
l	ueɪ	平聲11	雷
l	ueɪ	上聲53	累{積~，成年~月}壘儡
l	ueɪ	去聲45	累{勞~}類淚
ts	ueɪ	平聲11	堆追錐椎
ts	ueɪ	上聲53	嘴
ts	ueɪ	去聲45	罪最綴贅醉墜
tsʰ	ueɪ	平聲11	催崔吹垂槌錘炊捶
tsʰ	ueɪ	去聲45	脆翠粹悴瘁
s	ueɪ	平聲11	隨髓雖綏誰隋遂隧{~道}
s	ueɪ	上聲53	水髓
s	ueɪ	去聲45	碎歲稅睡穗祟瑞
z	ueɪ	上聲53	蕊
z	ueɪ	去聲45	芮銳瑞
k	ueɪ	平聲11	閨規龜癸歸
k	ueɪ	上聲53	軌鬼詭拐{~杖}
k	ueɪ	去聲45	桂櫃貴瑰
kˣ	ueɪ	平聲11	盔魁奎虧逵葵窺傀環{宋~}
kˣ	ueɪ	去聲45	跪愧潰{~膿}□{量詞，表示張開食指與中指兩端之間的距離}
x	ueɪ	平聲11	灰回茴{~香苗}揮輝徽恢麾橫{~河}
x	ueɪ	上聲53	悔毀會{開~}
x	ueɪ	去聲45	會{開~，~不~}賄匯潰{~膿}繪惠慧諱彙彗{~星}穢卉
t	uŋ	平聲11	敦墩蹲東冬噸咚
t	uŋ	上聲53	董懂躉
t	uŋ	去聲45	飩囤盾頓動凍棟洞噸鈍遁
tˣ	uŋ	平聲11	屯{~兵}通同銅桐童瞳彤潼
tˣ	uŋ	上聲53	筒桶捅統{~共}
tˣ	uŋ	去聲45	痛
n	uŋ	平聲11	農{~老二：農民的蔑稱}
n	uŋ	去聲45	嫩弄
l	uŋ	平聲11	論{~語}崙倫輪籠{鳥~，~子}聾隆龍掄淪綸
l	uŋ	上聲53	籠{~罩；~嘴：套在牲口嘴上的鐵網}攏壠
l	uŋ	去聲45	論{議~}
ts	uŋ	平聲11	尊遵椶鬃宗䝋{~豬：種豬}中忠終鐘鍾盅蹤衷蟲
ts	uŋ	上聲53	準准總種{~類，~子}腫
ts	uŋ	去聲45	中{射~，~暑}仲眾重{~要，輕~}種{~植，~地}縱{~橫，放~}
tsʰ	uŋ	平聲11	村存皴椿春唇純葱叢充從{服~}重{~複，~陽節}衝{~鋒，用水~}醇聰匆叢沖舂蟲崇
tsʰ	uŋ	上聲53	蠢寵
tsʰ	uŋ	去聲45	寸衝{~著他說話，口氣~}
s	uŋ	平聲11	孫鬆嵩松
s	uŋ	上聲53	損筍榫聳
s	uŋ	去聲45	順舜送宋誦頌瞬嵩訟
z	uŋ	平聲11	戎絨茸
z	uŋ	去聲45	潤閏
k	uŋ	平聲11	公蚣工功攻弓躬宫恭供{~給，~應}龔翁{俗}
k	uŋ	上聲53	滾汞拱鞏
k	uŋ	去聲45	棍貢供{~養，上~}共
kˣ	uŋ	平聲11	昆崑坤空{~虛，~氣}
kˣ	uŋ	上聲53	綑孔恐捆啃
kˣ	uŋ	去聲45	困空{~缺，~閒}控
x	uŋ	平聲11	昏{~暗，~迷}婚魂餛渾{~身}葷弘轟揈宏紅洪鴻烘虹橫{~直}哄{鬧~~}
x	uŋ	上聲53	哄{~騙，~人}
x	uŋ	去聲45	混閧渾{~濁}橫{蠻~}哄{起~}
t	uəʔ	陽入54	獨讀犢毒牘
t	uəʔ	陰入2	掇嘟{~嚕}豛{用手指點}𡰪{~子、~蛋子：屁股}㞘{~子、~蛋子：屁股}督厾
tˣ	uəʔ	陽入54	突
tˣ	uəʔ	陰入2	禿凸
l	uəʔ	陰入2	六{~合，~味齋}陸{大~}綠碌{~~：碌碡}轆{~~把：北斗七星}鹿
ts	uəʔ	陽入54	軸妯族逐
ts	uəʔ	陰入2	做卒琢啄竹祝囑築觸
tsʰ	uəʔ	陽入54	族{舊}
tsʰ	uəʔ	陰入2	撮{~泥}出齣咄{囁~}簇{~新}促畜{~牲}
s	uəʔ	陽入54	熟塾
s	uəʔ	陰入2	說叔屬塑{新}速述束觫{圪~鬼：財迷}所{後~營}
z	uəʔ	陰入2	入辱褥肉{舊}
k	uəʔ	陽入54	核{~~：核兒}
k	uəʔ	陰入2	錮骨國穀谷蟈軲
kˣ	uəʔ	陰入2	窟哭酷圐
x	uəʔ	陽入54	喉{~嚨}核{棗~兒}或惑
x	uəʔ	陰入2	瓠忽或惑惶{恓(悽)~：可憐}囫葫{~蘆子：一種樂器}
t	uɤ	平聲11	跺{~碗，~了個跟頭}
t	uɤ	上聲53	朶躱朵躲
t	uɤ	去聲45	馱{~子}舵刴跺{~腳}剁墮惰
tˣ	uɤ	平聲11	馱{~了個馱子}坨陀
tˣ	uɤ	上聲53	妥橢
l	uɤ	平聲11	騾螺羅{~面雨：毛毛雨}
l	uɤ	上聲53	瘰
l	uɤ	去聲45	摞{~起來}糯
ts	uɤ	平聲11	撮{一~}嘬
ts	uɤ	去聲45	坐座
tsʰ	uɤ	平聲11	搓矬
tsʰ	uɤ	去聲45	銼錯{~誤，交~}挫
s	uɤ	平聲11	梭蓑
s	uɤ	上聲53	鎖瑣所嗩
k	uɤ	平聲11	鍋戈{同~站}
k	uɤ	上聲53	果裹餜
k	uɤ	去聲45	過
kˣ	uɤ	平聲11	科棵顆摑{打：~你一巴掌}
kˣ	uɤ	上聲53	顆{~~：皮膚上出現的小疹子}騍{~~：女流氓}摑{打：~你一巴掌}
kˣ	uɤ	去聲45	課騍{~馬：母馬}錁
x	uɤ	平聲11	和{我~你，~麵}禾
x	uɤ	上聲53	火夥
x	uɤ	去聲45	和{量詞，洗了一~；~攏}禍貨
	y	平聲11	魚漁於余{姓}餘{多~}愚虞吁于盂榆俞予{給~}裕
	y	上聲53	語與雨宇禹羽
	y	去聲45	舁{~水：抬水}預豫寓芋慰{~撫}玉予峪喻愉遇娛御
n	y	上聲53	女
l	y	平聲11	驢
l	y	上聲53	呂旅縷屢
l	y	去聲45	慮濾
ʨ	y	平聲11	車{~馬炮}居駒拘矩{規~}
ʨ	y	上聲53	舉
ʨ	y	去聲45	巨拒距據鋸{~子}俱矩句具劇懼聚□{“井峪”的合音，小~，大~}
ʨʰ	y	平聲11	蛆渠{水~}區瞿蛐驅趨衢
ʨʰ	y	上聲53	取娶
ʨʰ	y	去聲45	去{動詞，除~，離~}趣
ɕ	y	平聲11	徐虛需噓墟須鬚兄
ɕ	y	上聲53	許
ɕ	y	去聲45	序緒絮續敘婿
	yɛ	平聲11	圓員緣{~故}元原源冤袁轅園援媛猿淵
	yɛ	上聲53	遠
	yɛ	去聲45	院願怨
l	yɛ	平聲11	聯戀
l	yɛ	上聲53	圙{圐~：圈}
l	yɛ	去聲45	□{糊}
ʨ	yɛ	平聲11	捐
ʨ	yɛ	上聲53	捲{~簾}啳
ʨ	yɛ	去聲45	圈{豬~}券娟卷{試~}絹眷倦
ʨʰ	yɛ	平聲11	全泉圈{圓~，~子}權顴犬蜷痊
ʨʰ	yɛ	上聲53	圈{把雞~到籠子裡}犬
ʨʰ	yɛ	去聲45	勸碹{~窯}券
ɕ	yɛ	平聲11	靴軒弦宣玄懸眩暄璿旋{~轉}炫
ɕ	yɛ	上聲53	癬選
ɕ	yɛ	去聲45	掀{把釘子忽~下來；忽~：煽動，唆使}旋{~風}楦鏇
	yuŋ	平聲11	勻云雲{~彩}暈榮融容蓉庸擁溶熔允溶熔
	yuŋ	上聲53	永泳勇湧蛹擁詠踴
	yuŋ	去聲45	熨韻運用傭暈
l	yuŋ	平聲11	論{~語}倫輪崙
l	yuŋ	去聲45	論{議~}
ʨ	yuŋ	平聲11	均鈞君軍莙{~荙}菌
ʨ	yuŋ	上聲53	菌窘鞏{~家堡}
ʨ	yuŋ	去聲45	俊郡凍{~~，皮~兒}糉粽浚
ʨʰ	yuŋ	平聲11	羣裙窮瓊
ɕ	yuŋ	平聲11	荀旬循巡熏{~醋}兄熊雄胸凶兇薰勛殉
ɕ	yuŋ	去聲45	熏{熱~~}訓遜
	yəʔ	陰入2	悅閱月越粤樂{音~}約鑰躍嶽岳鬱郁域育獄慾浴熨峪
l	yəʔ	陰入2	捋劣律略率{效~}
ʨ	yəʔ	陽入54	絕㔢{用力（做）}掘局
ʨ	yəʔ	陰入2	憠橘倔腳菊足撅噘角決覺嚼餃{舊}
