漢字	拼音方案		IPA	注釋	説明：兩種拼音方案的聲調，都遵循以下對應規則，即：陰平1，陰上2，陰去3，陰入4，陽平5，陽上6，陽去7，陽入8									
呆	tai1	dai1	tai˧˧											
礙	gai7	ghai7	ᵑɡai˧˩											
海	hai2	hai2	hai˥˨											
孩	hai5	hai5	hai˥˥											
亥	hai6	hai6	hai˧˥											
哀	ai1	ai1	ai˧˧											
埃	ai1	ai1	ai˧˧											
唉	ai1	ai1	ai˧˧											
唉	ai7	ai7	ai˧˩											
愛	ainn3	ain3	ai ̃˨˩˨											
貝	pue6	buê6	pue˧˥											
沛	phai3	pai3	pʰai˨˩˨											
帶	tua3	dua3	tua˨˩˨											
泰	thai3	tai3	tʰai˨˩˨											
太	thai3	tai3	tʰai˨˩˨											
大	tua7	dua7	tua˧˩											
大	tai6	dai6	tai˧˥	文										
奈	nai6	nai6	nai˧˥											
賴	lua7	lua7	lua˧˩											
賴	nai6	nai6	nai˧˥	文，依~										
癩	nai6	nai6	nai˧˥											
蔡	tshuann3	cuan3	tsʰua ̃˨˩˨											
蓋	khainn3/khoinn3	kain3/koin3	kʰai ̃˨˩˨/kʰoi ̃˨˩˨											
蓋	kah4	gah4	kaʔ˨	又										
蓋	kua3	gua3	kua˨˩˨											
蓋	kai3	gai3	kai˨˩˨	文										
丐	kai3	gai3	kai˨˩˨											
艾	hia7	hia7	hia˧˩											
艾	ainn3	ain3	ai ̃˨˩˨											
艾	ngai3	ngai3	ŋai˨˩˨	文										
害	hai7	hai7	hai˧˩											
藹	ai2	ai2	ai˥˨											
靄	ai2	ai2	ai˥˨											
拜	pai3	bai3	pai˨˩˨											
排	pai5	bai5	pai˥˥											
埋	mai5	mai5	mai˥˥											
齋	tse1	zê1	tse˧˧											
豺	sai5	sai5	sai˥˥	白										
豺	tshai5	cai5	tsʰai˥˥											
皆	kai1	gai1	kai˧˧											
偕	hai5	hai5	hai˥˥											
偕	kai1	gai1	kai˧˧											
稭	kai1	gai1	kai˧˧											
稭	kiak4	giag4	kiak˨											
街	koi1	goi1	koi˧˧											
階	kai1	gai1	kai˧˧											
戒	kai3	gai3	kai˨˩˨											
芥	khah4	kah4	kʰaʔ˨	白，~藍										
芥	kai3	gai3	kai˨˩˨											
尬	kai3	gai3	kai˨˩˨											
界	kai3	gai3	kai˨˩˨											
介	kai3	gai3	kai˨˩˨											
疥	koi3	goi3	koi˨˩˨											
屆	kai3	gai3	kai˨˩˨											
揩	khoi1	koi1	kʰoi˧˧											
揩	kai1	gai1	kai˧˧	文										
楷	khai2	kai2	kʰai˥˨											
諧	hai5	hai5	hai˥˥											
駭	hai6	hai6	hai˧˥											
械	hai6	hai6	hai˧˥											
挨	oi1	oi1	oi˧˧											
挨	ai1	ai1	ai˧˧	文										
擺	pai2	bai2	pai˥˨											
派	phai3	pai3	pʰai˨˩˨											
牌	pai5	bai5	pai˥˥											
罷	pa6	ba6	pa˧˥											
稗	phoi7	poi7	pʰoi˧˩											
稗	pi2	bi2	pi˥˨	文										
買	boi2	bhoi2	ᵐboi˥˨											
賣	boi7	bhoi7	ᵐboi˧˩											
奶	ni6	ni6	ni˧˥											
奶	ne1	nê1	ne˧˧	口										
奶	nai2	nai2	nai˥˨	文										
債	tse3	zê3	tse˨˩˨											
釵	toi1	doi1	toi˧˧											
釵	tshe1	cê1	tsʰe˧˧											
差	tshe1	cê1	tsʰe˧˧											
柴	tsha5	ca5	tsʰa˥˥											
篩	thai1	tai1	tʰai˧˧	訓										
篩	sai1	sai1	sai˧˧											
灑	sa3	sa3	sa˨˩˨											
灑	sai3	sai3	sai˨˩˨											
曬	sai3	sai3	sai˨˩˨											
佳	kia1	gia1	kia˧˧											
街	koi1	goi1	koi˧˧											
解	koi2	goi2	koi˥˨											
解	koi3	goi3	koi˨˩˨	~元										
涯	ngai5	ngai5	ŋai˥˥											
崖	ngai5	ngai5	ŋai˥˥											
鞋	oi5	oi5	oi˥˥											
蟹	hoi6	hoi6	hoi˧˥											
解	oi6	oi6	oi˧˥											
解	hai6	hai6	hai˧˥	文，姓氏										
懈	hai6	hai6	hai˧˥											
矮	oi2	oi2	oi˥˨											
隘	ai2	ai2	ai˥˨											
隘	ek4	êg4	ek˨	又										
敗	pai7	bai7	pai˧˩											
邁	mai6	mai6	mai˧˥											
寨	tse3	zê3	tse˨˩˨											
蔽	pi7	bi7	pi˧˩											
斃	pi7	bi7	pi˧˩											
敝	pi7	bi7	pi˧˩											
幣	pi6	bi6	pi˧˥											
弊	pi7	bi7	pi˧˩											
厲	li6	li6	li˧˥											
勵	li6	li6	li˧˥											
例	li7	li7	li˧˩											
祭	tsi3	zi3	tɕi˨˩˨											
際	tsi3	zi3	tɕi˨˩˨											
穄	tsi3	zi3	tɕi˨˩˨											
滯	thi3	ti3	tʰi˨˩˨											
制	tsi3	zi3	tɕi˨˩˨											
勢	si3	si3	ɕi˨˩˨											
世	si3	si3	ɕi˨˩˨											
誓	si7	si7	ɕi˧˩											
逝	si7	si7	ɕi˧˩											
藝	goi7	ghoi7	ᵑɡoi˧˩											
囈	goi7	ghoi7	ᵑɡoi˧˩											
囈	ngi3	ngi3	ŋi˨˩˨	文										
刈	ngai6	ngai6	ŋai˧˥											
刈	ngi6	ngi6	ŋi˧˥	文										
閉	pi6	bi6	pi˧˥											
箅	pi3	bi3	pi˨˩˨											
批	phoi	poi	pʰoi											
陛	pi6	bi6	pi˧˥											
迷	mi5	mi5	mi˥˥											
米	bi2	bhi2	ᵐbi˥˨											
謎	mi5	mi5	mi˥˥											
堤	toi1	doi1	toi˧˧											
低	ti1	di1	ti˧˧											
底	toinn2	doin2	toi ̃˥˨											
底	ti2	di2	ti˥˨	文										
底	ti7	di7	ti˧˩	俗，疑問										
抵	ti2	di2	ti˥˨											
渧	ti3	di3	ti˨˩˨											
帝	ti3	di3	ti˨˩˨											
梯	thui1	tui1	tʰui˧˧											
體	thi2	ti2	tʰi˥˨											
替	thoi3	toi3	tʰoi˨˩˨	白										
替	thi3	ti3	tʰi˨˩˨	文										
涕	thi3	ti3	tʰi˨˩˨											
剃	thi3	ti3	tʰi˨˩˨											
提	thi5	ti5	tʰi˥˥											
題	toi5	doi5	toi˥˥											
蹄	toi5	doi5	toi˥˥											
啼	thi5	ti5	tʰi˥˥											
弟	ti6	di6	ti˧˥											
第	toi6	doi6	toi˧˥											
遞	ti5	di5	ti˥˥											
泥	ni5	ni5	ni˥˥											
犁	loi5	loi5	loi˥˥											
黎	loi5	loi5	loi˥˥											
禮	loi2	loi2	loi˥˨											
麗	li6	li6	li˧˥											
麗	li5	li5	li˥˥	高~參										
麗	le5/le6	lê5/lê6	le˥˥	高~菜										
隸	ti6	di6	ti˧˥											
擠	tsinn3	zin3	tɕi ̃˨˩˨											
濟	tsi3	zi3	tɕi˨˩˨											
妻	tshi1	ci1	tɕʰi˧˧											
淒	tshi1	ci1	tɕʰi˧˧											
砌	kih4	gih4	kiʔ˨											
齊	tsoinn5	zoin5	tsoi ̃˥˥											
齊	tshi5	ci5	tɕʰi˥˥											
臍	tsai5	zai5	tsai˥˥											
薺	tsinn5	zin5	tɕi ̃˥˥	白										
薺	tshi5	ci5	tɕʰi˥˥											
嘶	soi1	soi1	soi˧˧	白										
嘶	sur1	se1	sɯ˧˧	文										
撕	thi3	ti3	tʰi˨˩˨	俗										
撕	li3	li3	li˨˩˨	俗										
撕	sur1	se1	sɯ˧˧											
西	sai1	sai1	sai˧˧											
西	si1	si1	ɕi˧˧	文										
棲	tshi1	ci1	tɕʰi˧˧											
棲	si1	si1	ɕi˧˧											
犀	sai1	sai1	sai˧˧											
洗	soi2	soi2	soi˥˨											
細	soi3	soi3	soi˨˩˨											
婿	sai3	sai3	sai˨˩˨											
雞	koi1	goi1	koi˧˧											
稽	ki1	gi1	ki˧˧											
計	koi3	goi3	koi˨˩˨											
繼	ki3	gi3	ki˨˩˨											
繋	ki3	gi3	ki˨˩˨											
溪	khoi1	koi1	kʰoi˧˧											
啟	khi2	ki2	kʰi˥˨											
契	khoi3	koi3	kʰoi˨˩˨											
倪	goi7	ghoi7	ᵑɡoi˧˩	白，姓氏										
倪	ngi5	ngi5	ŋi˥˥											
詣	tsi2	zi2	tɕi˥˨											
兮	hi1	hi1	hi˧˧											
奚	hi5	hi5	hi˥˥											
係	hi6	hi6	hi˧˥											
繋	ki3	gi3	ki˨˩˨											
縊	i3	i3	i˨˩˨											
縊	ek4	êg4	ek˨	又										
杯	pue1	buê1	pue˧˧											
背	pue3	buê3	pue˨˩˨											
輩	pue3	buê3	pue˨˩˨											
背	pi3	bi3	pi˨˩˨											
坯	phue1	puê1	pʰue˧˧											
胚	phue1	puê1	pʰue˧˧											
配	phue3	puê3	pʰue˨˩˨											
培	pue5	buê5	pue˥˥											
陪	pue5	buê5	pue˥˥											
賠	pue5	buê5	pue˥˥											
倍	pue6	buê6	pue˧˥											
佩	pue6	buê6	pue˧˥											
媒	bue5	bhuê5	ᵐbue˥˥											
枚	bue5	bhuê5	ᵐbue˥˥											
玫	bung5	bhung5	ᵐbuŋ˥˥											
娒	bue5	bhuê5	ᵐbue˥˥											
梅	bue5	bhuê5	ᵐbue˥˥											
每	mue2	muê2	mue˥˨											
昧	mue6	muê6	mue˧˥											
妹	mue6	muê6	mue˧˥											
妹	mue7	muê7	mue˧˩	又										
堆	tu1	du1	tu˧˧											
堆	tui1	dui1	tui˧˧	文										
對	tui3	dui3	tui˨˩˨											
推	thui1	tui1	tʰui˧˧											
腿	thui2	tui2	tʰui˥˨											
退	tho3	to3	tʰo˨˩˨											
頽	thue5	tuê5	tʰue˥˥											
隊	tui7	dui7	tui˧˩											
餒	nue2	nuê2	nue˥˨											
餒	nui2	nui2	nui˥˨	文										
內	lai6	lai6	lai˧˥	訓“裏”										
雷	lui5	lui5	lui˥˥											
儡	lui2	lui2	lui˥˨											
催	tshui1	cui1	tsʰui˧˧											
崔	tshui1	cui1	tsʰui˧˧											
罪	tsue6	zuê6	tsue˧˥											
碎	tshui3	cui3	tsʰui˨˩˨											
瑰	kui3	gui3	kui˨˩˨											
盔	khue1	kuê1	kʰue˧˧											
魁	khue1	kuê1	kʰue˧˧											
魁	khui5	kui5	kʰui˥˥	又										
詼	khue1	kuê1	kʰue˧˧											
詼	hui1	hui1	hui˧˧	又										
恢	khue1	kuê1	kʰue˧˧											
傀	khui5	kui5	kʰui˥˥											
塊	ko3	go3	ko˨˩˨											
桅	ui5	ui5	ui˥˥											
桅	ngui5	ngui5	ŋui˥˥	又										
灰	hu1	hu1	hu˧˧	俗，訓“烌”										
灰	hue1	huê1	hue˧˧											
灰	hui1	hui1	hui˧˧	文，~色										
悔	hue3	huê3	hue˨˩˨											
賄	hue6	huê6	hue˧˥											
晦	hue3	huê3	hue˨˩˨											
回	hue5	huê5	hue˥˥											
匯	hue6	huê6	hue˧˥											
潰	khui6	kui6	kʰui˧˥											
煨	ui1	ui1	ui˧˧											
兌	tue6	duê6	tue˧˥											
最	tsue3	zuê3	tsue˨˩˨											
劊	kuai3	guai3	kuai˨˩˨											
會	oi6	oi6	oi˧˥	俗										
會	hue6	huê6	hue˧˥											
外	gua7	ghua7	ᵑɡua˧˩											
會	kuai3	guai3	kuai˨˩˨											
繪	kuai3	guai3	kuai˨˩˨											
乖	kuai1	guai1	kuai˧˧											
怪	kue3	guê3	kue˨˩˨	白，無~										
怪	kuai3	guai3	kuai˨˩˨											
蒯	kuai3	guai3	kuai˨˩˨											
淮	huai5	huai5	huai˥˥											
懷	huai5	huai5	huai˥˥											
槐	huai5	huai5	huai˥˥											
壞	huai6	huai6	huai˧˥											
拐	kuai2	guai2	kuai˥˨											
掛	kua3	gua3	kua˨˩˨											
掛	kue3	guê3	kue˨˩˨	又										
掛	khua3	kua3	kʰua˨˩˨	又										
卦	kue3	guê3	kue˨˩˨											
卦	kua3	gua3	kua˨˩˨	文										
歪	uai1	uai1	uai˧˧											
畫	ue5	uê5	ue˥˥											
畫	ue7	uê7	ue˧˩											
蛙	ua1	ua1	ua˧˧											
快	khuai3	kuai3	kʰuai˨˩˨											
筷	khuai3	kuai3	kʰuai˨˩˨											
話	ue7	uê7	ue˧˩											
脆	tshui2	cui2	tsʰui˥˨											
脆	tshui3	cui3	tsʰui˨˩˨	又										
歲	hue3	huê3	hue˨˩˨											
歲	sue3	suê3	sue˨˩˨	文										
彗	hui6	hui6	hui˧˥											
綴	tue3	duê3	tue˨˩˨											
綴	tshuak4	cuag4	tsʰuak˨											
贅	tsui6	zui6	tsui˧˥											
稅	sue3	suê3	sue˨˩˨											
說	sue3	suê3	sue˨˩˨											
鱖	kui3	gui3	kui˨˩˨											
衛	ue6	uê6	ue˧˥											
鋭	dzue6	ruê6	dzue˧˥											
廢	hui3	hui3	hui˨˩˨											
肺	hui3	hui3	hui˨˩˨											
吠	bui7	bhui7	ᵐbui˧˩											
吠	pui7	bui7	pui˧˩	又										
穢	ue3	uê3	ue˨˩˨											
圭	kui1	gui1	kui˧˧											
閨	kui1	gui1	kui˧˧											
桂	kui3	gui3	kui˨˩˨											
奎	kui1	gui1	kui˧˧											
攜	hi6	hi6	hi˧˥											
慧	hui6	hui6	hui˧˥											
惠	hui6	hui6	hui˧˥											
卑	pui1	bui1	pui˧˧											
碑	pi1	bi1	pi˧˧											
裨	pi1	bi1	pi˧˧											
裨	pi5	bi5	pi˥˥	又										
彼	hi2	hi2	hi˥˨	俗										
彼	pi2	bi2	pi˥˨											
俾	pi2	bi2	pi˥˨											
臂	pi3	bi3	pi˨˩˨											
披	phi1	pi1	pʰi˧˧											
譬	phi3	pi3	pʰi˨˩˨											
皮	phue5	puê5	pʰue˥˥											
疲	phi5	pi5	pʰi˥˥											
脾	pi5	bi5	pi˥˥											
脾	phi5	pi5	pʰi˥˥	又										
被	phue6	puê6	pʰue˧˥											
被	pi6	bi6	pi˧˥	文										
婢	pi6	bi6	pi˧˥											
避	pi7	bi7	pi˧˩											
糜	mue5	muê5	mue˥˥											
糜	mi5	mi5	mi˥˥											
彌	mi2	mi2	mi˥˨											
彌	ni5	ni5	ni˥˥	又，阿~陀佛										
彌	ni2	ni2	ni˥˨	又，~補										
靡	mi2	mi2	mi˥˨											
籬	li5	li5	li˥˥											
離	li5	li5	li˥˥											
璃	li5	li5	li˥˥											
荔	noi7	noi7	noi˧˩	白，~果										
荔	li6	li6	li˧˥											
紫	tsi2	zi2	tɕi˥˨											
雌	tshur5	ce5	tsʰɯ˥˥											
此	tshur2	ce2	tsʰɯ˥˨											
刺	tshi3	ci3	tɕʰi˨˩˨	白										
刺	tshng3	ceng3	tsʰŋ˨˩˨	文										
刺	tshiah4	ciah4	tɕʰiaʔ˨	又白										
疵	tshur5	ce5	tsʰɯ˥˥											
斯	sur1	se1	sɯ˧˧											
廝	sur1	se1	sɯ˧˧											
璽	dzur2	re2	dzɯ˥˨											
徙	sua2	sua2	sua˥˨											
賜	sur3	se3	sɯ˨˩˨											
知	tsai1	zai1	tsai˧˧											
知	ti1	di1	ti˧˧	文										
智	ti3	di3	ti˨˩˨											
池	ti5	di5	ti˥˥											
馳	tshi5	ci5	tɕʰi˥˥											
篩	thai1	tai1	tʰai˧˧	俗										
篩	sai1	sai1	sai˧˧	文										
支	ki1	gi1	ki˧˧											
支	tsi1/tsinn1	zi1/zin1	tɕi˧˧/tɕi ̃˧˧	文										
枝	ki1	gi1	ki˧˧											
肢	tsinn1	zin1	tɕi ̃˧˧											
只	tsi2	zi2	tɕi˥˨											
只	tsiah4	ziah4	tɕiaʔ˨	又										
紙	tsua2	zua2	tsua˥˨											
侈	tshi2	ci2	tɕʰi˥˨											
施	si1	si1	ɕi˧˧											
豕	si2	si2	ɕi˥˨											
啻	thi3	ti3	tʰi˨˩˨											
翅	tshi3	ci3	tɕʰi˨˩˨											
匙	si5	si5	ɕi˥˥											
是	si6	si6	ɕi˧˥											
氏	si6	si6	ɕi˧˥											
豉	si7	si7	ɕi˧˩											
兒	dzi5	ri5	dʑi˥˥											
爾	dzur2	re2	dzɯ˥˨											
羈	ki6	gi6	ki˧˥											
寄	kia3	gia3	kia˨˩˨											
企	khia6	kia6	kʰia˧˥	俗										
企	ki6	gi6	ki˧˥	文										
奇	khia1	kia1	kʰia˧˧	白										
奇	ki1	gi1	ki˧˧	又										
奇	khi5	ki5	kʰi˥˥	文										
騎	khia5	kia5	kʰia˥˥											
岐	kia6	gia6	kia˧˥	~山（汕頭地名）										
岐	ki5	gi5	ki˥˥	文										
技	ki6	gi6	ki˧˥											
妓	ki6	gi6	ki˧˥											
宜	ngi5	ngi5	ŋi˥˥											
儀	ngi5	ngi5	ŋi˥˥											
蟻	ngi6	ngi6	ŋi˧˥	文										
義	ngi6	ngi6	ŋi˧˥											
議	ngi2	ngi2	ŋi˥˨											
誼	ngi3	ngi3	ŋi˨˩˨											
誼	ngi5	ngi5	ŋi˥˥	又										
犧	hi1	hi1	hi˧˧											
戲	hi3	hi3	hi˨˩˨											
戲	hi1	hi1	hi˧˧	又										
椅	inn2	in2	i ̃˥˨											
移	i5	i5	i˥˥											
易	koi7	goi7	koi˧˩	訓										
易	goi7	ghoi7	ᵑɡoi˧˩	又										
易	i6	i6	i˧˥	文										
悲	pui1	bui1	pui˧˧											
鄙	phi2	pi2	pʰi˥˨											
比	pi2	bi2	pi˥˨											
庇	pi3	bi3	pi˨˩˨											
痹	pi3	bi3	pi˨˩˨											
泌	pi3	bi3	pi˨˩˨											
秘	pi3	bi3	pi˨˩˨											
秘	pi5	bi5	pi˥˥	又，便~										
轡	pi3	bi3	pi˨˩˨											
丕	phi1	pi1	pʰi˧˧											
丕	phi2	pi2	pʰi˥˨	俗										
屁	phui3	pui3	pʰui˨˩˨											
琵	pi5	bi5	pi˥˥											
牝	phing2	ping2	pʰiŋ˥˨											
備	pi6	bi6	pi˧˥											
鼻	phinn7	pin7	pʰi ̃˧˩											
篦	pi3	bi3	pi˨˩˨											
眉	bai5	bhai5	ᵐbai˥˥											
楣	bai5	bhai5	ᵐbai˥˥											
黴	bue5	bhuê5	ᵐbue˥˥											
美	mui2	mui2	mui˥˨											
媚	mi6	mi6	mi˧˥											
寐	mue6	muê6	mue˧˥											
地	to3	do3	to˨˩˨	俗，掃~										
地	ti7	di7	ti˧˩											
尼	ni5	ni5	ni˥˥											
呢	ni5	ni5	ni˥˥											
呢	ni1	ni1	ni˧˧	又										
呢	ne1	nê1	ne˧˧	又										
呢	ni7	ni7	ni˧˩	又										
膩	dzur6	re6	dzɯ˧˥											
梨	lai5	lai5	lai˥˥											
履	li2	li2	li˥˨											
利	lai7	lai7	lai˧˩											
利	li6	li6	li˧˥	文										
痢	li6	li6	li˧˥											
咨	tsur1	ze1	tsɯ˧˧											
資	tsur1	ze1	tsɯ˧˧											
姿	tsur1	ze1	tsɯ˧˧											
姊	tsi2	zi2	tɕi˥˨											
次	tshur3	ce3	tsʰɯ˨˩˨											
瓷	tshur5	ce5	tsʰɯ˥˥											
糍	tsinn5	zin5	tɕi ̃˥˥											
糍	tshur5	ce5	tsʰɯ˥˥	文										
自	tsur7	ze7	tsɯ˧˩											
私	sai1	sai1	sai˧˧	白，走~										
私	si2	si1	ɕi˥˨	又白，家~										
私	sur1	se1	sɯ˧˧											
死	si2	si2	ɕi˥˨											
四	si3	si3	ɕi˨˩˨											
肆	sur3	se3	sɯ˨˩˨											
致	ti3	di3	ti˨˩˨											
遲	tshi5	ci5	tɕʰi˥˥											
雉	ti6	di6	ti˧˥											
稚	tsinn2	zin2	tɕi ̃˥˨											
師	sai1	sai1	sai˧˧											
師	sur1	se1	sɯ˧˧	文										
獅	sai1	sai1	sai˧˧											
脂	tsinn1	zin1	tɕi ̃˧˧											
指	ki2	gi2	ki˥˨											
指	tsoinn2	zoin2	tsoi ̃˥˨	又										
指	tsng2	zeng2	tsŋ˥˨	又										
指	tsi2	zi2	tɕi˥˨	文										
旨	tsi2	zi2	tɕi˥˨											
至	tsi3	zi3	tɕi˨˩˨											
鴟	tshi1	ci1	tɕʰi˧˧											
示	si7	si7	ɕi˧˩											
屍	si1	si1	ɕi˧˧											
鈰	tshi6	ci6	tɕʰi˧˥											
矢	si2	si2	ɕi˥˨											
屎	sai2	sai2	sai˥˨											
嗜	tshi1	ci1	tɕʰi˧˧	俗										
嗜	si7	si7	ɕi˧˩											
視	si6	si6	ɕi˧˥											
二	no6	no6	no˧˥	訓“兩”										
二	dzi6	ri6	dʑi˧˥											
貳	no6	no6	no˧˥											
貳	dzur6	re6	dzɯ˧˥											
肌	ki1	gi1	ki˧˧											
飢	ki1	gi1	ki˧˧											
幾	ki1	gi1	ki˧˧											
幾	kui2	gui2	kui˥˨											
幾	kua2	gua2	kua˥˨	又										
幾	ki2	gi2	ki˥˨	文										
冀	ki6	gi6	ki˧˥											
器	khi3	ki3	kʰi˨˩˨											
棄	khi3	ki3	kʰi˨˩˨											
祈	khi5	ki5	kʰi˥˥											
鰭	tshi1	ci1	tɕʰi˧˧	白										
鰭	khi5	ki5	kʰi˥˥											
耆	khi5	ki5	kʰi˥˥											
伊	i1	i1	i˧˧											
懿	i3	i3	i˨˩˨											
夷	i5	i5	i˥˥											
姨	ai5	ai5	ai˥˥	俗										
姨	i5	i5	i˥˥											
肄	i3	i3	i˨˩˨											
你	lur2	le2	lɯ˥˨	訓“汝”										
你	ni2	ni2	ni˥˨											
厘	li5	li5	li˥˥											
狸	lai5	lai5	lai˥˥	白，狐~										
狸	li5	li5	li˥˥											
李	li2	li2	li˥˨											
理	li2	li2	li˥˨											
裏	lai6	lai6	lai˧˥											
裏	li2	li2	li˥˨											
鯉	li2	li2	li˥˨											
吏	li7	li7	li˧˩											
茲	tsur1	ze1	tsɯ˧˧											
茲	tshur5	ce5	tsʰɯ˥˥	龜兹										
滋	tsur1	ze1	tsɯ˧˧											
子	tsi2	zi2	tɕi˥˨											
子	tsur2	ze2	tsɯ˥˨	文										
梓	tsur2	ze2	tsɯ˥˨											
磁	tshur5	ce5	tsʰɯ˥˥											
慈	tshur5	ce5	tsʰɯ˥˥											
字	dzi7	ri7	dʑi˧˩											
字	dzur6	re6	dzɯ˧˥	文										
司	si1	si1	ɕi˧˧											
絲	si1	si1	ɕi˧˧											
思	sur1	se1	sɯ˧˧											
伺	sur6	se6	sɯ˧˥											
辭	sur5	se5	sɯ˥˥											
詞	sur5	se5	sɯ˥˥											
祠	sur5	se5	sɯ˥˥											
巳	tsi6	zi6	tɕi˧˥											
祀	sur6	se6	sɯ˧˥											
似	sur6	se6	sɯ˧˥											
寺	dzi7	ri7	dʑi˧˩											
嗣	sur6	se6	sɯ˧˥											
嗣	sur5	se5	sɯ˥˥	又										
飼	tshi7	ci7	tɕʰi˧˩											
置	ti3	di3	ti˨˩˨											
癡	tshi1	ci1	tɕʰi˧˧											
恥	tshi3	ci3	tɕʰi˨˩˨											
持	thi5	ti5	tʰi˥˥											
峙	si6	si6	ɕi˧˥											
峙	sur6	se6	sɯ˧˥	文										
痔	thi6	ti6	tʰi˧˥											
治	ti7	di7	ti˧˩											
輜	tsur1	ze1	tsɯ˧˧											
廁	tshe3	cê3	tsʰe˨˩˨											
俟	sur6	se6	sɯ˧˥											
士	sur6	se6	sɯ˧˥											
事	sur7	se7	sɯ˧˩											
史	sai2	sai2	sai˥˨											
史	sur2	se2	sɯ˥˨											
使	sai2	sai2	sai˥˨											
使	sai3	sai3	sai˨˩˨											
駛	sai2	sai2	sai˥˨											
芝	tsur1	ze1	tsɯ˧˧											
之	tsur1	ze1	tsɯ˧˧											
址	tsi2	zi2	tɕi˥˨											
止	tsi2	zi2	tɕi˥˨											
趾	tsoinn2	zoin2	tsoi ̃˥˨	白										
趾	tsi2	zi2	tɕi˥˨											
志	tsi3	zi3	tɕi˨˩˨											
痣	ki3	gi3	ki˨˩˨											
嗤	tshi1	ci1	tɕʰi˧˧											
齒	khi2	ki2	kʰi˥˨											
齒	tshi2	ci2	tɕʰi˥˨	文										
詩	si1	si1	ɕi˧˧											
始	si2	si2	ɕi˥˨											
試	tshi3	ci3	tɕʰi˨˩˨											
時	si5	si5	ɕi˥˥											
鰣	si5	si5	ɕi˥˥											
市	tshi6	ci6	tɕʰi˧˥											
恃	si6	si6	ɕi˧˥											
侍	si6	si6	ɕi˧˥											
而	dzur5	re5	dzɯ˥˥											
耳	hinn6	hin6	hi ̃˧˥											
耳	dzur2	re2	dzɯ˥˨											
餌	dzi7	ri7	dʑi˧˩											
餌	dzur2	re2	dzɯ˥˨	文										
基	ki1	gi1	ki˧˧											
姬	ki1	gi1	ki˧˧											
己	ki2	gi2	ki˥˨											
紀	ki2	gi2	ki˥˨											
記	ki3	gi3	ki˨˩˨											
欺	khi1	ki1	kʰi˧˧											
起	khi2	ki2	kʰi˥˨											
杞	khi2	ki2	kʰi˥˨											
棋	ki5	gi5	ki˥˥											
其	khi5	ki5	kʰi˥˥											
旗	ki5	gi5	ki˥˥											
期	khi5	ki5	kʰi˥˥											
忌	ki6	gi6	ki˧˥											
疑	gi5	ghi5	ᵑɡi˥˥											
擬	ngi2	ngi2	ŋi˥˨											
擬	ni2	ni2	ni˥˨	新										
嘻	hi1	hi1	hi˧˧											
嬉	hi1	hi1	hi˧˧											
禧	hi1	hi1	hi˧˧											
熙	hi1	hi1	hi˧˧											
喜	hi2	hi2	hi˥˨											
醫	ui1	ui1	ui˧˧											
意	i3	i3	i˨˩˨											
矣	i7	i7	i˧˩											
怡	i5	i5	i˥˥											
貽	i5	i5	i˥˥											
已	inn2	in2	i ̃˥˨											
以	inn2	in2	i ̃˥˨											
異	i6	i6	i˧˥											
機	kui1	gui1	kui˧˧	白										
機	ki1	gi1	ki˧˧											
鉿	hah4	hah4	haʔ˨											
譏	ki1	gi1	ki˧˧											
饑	ki1	gi1	ki˧˧											
幾	ki1	gi1	ki˧˧											
幾	ki2	gi2	ki˥˨	又										
既	ki3	gi3	ki˨˩˨											
豈	kha2	ka2	kʰa˥˨											
豈	khi2	ki2	kʰi˥˨	文										
氣	khui3	kui3	kʰui˨˩˨											
氣	khi3	ki3	kʰi˨˩˨											
汽	khi3	ki3	kʰi˨˩˨											
祈	khi5	ki5	kʰi˥˥											
沂	khi5	ki5	kʰi˥˥											
毅	ngi5	ngi5	ŋi˥˥											
毅	ngi6	ngi6	ŋi˧˥	又										
希	hi1	hi1	hi˧˧											
稀	hi1	hi1	hi˧˧											
依	i1	i1	i˧˧											
衣	ui1	ui1	ui˧˧	白										
衣	i1	i1	i˧˧											
累	lui6	lui6	lui˧˥											
累	lui7	lui7	lui˧˩	又，拖~										
累	lui2	lui2	lui˥˨	又，~計										
嘴	tshui7	cui7	tsʰui˧˩											
髓	tshue2	cuê2	tsʰue˥˨											
隨	sui5	sui5	sui˥˥											
揣	tshue7	cuê7	tsʰue˧˩											
揣	tshui2	cui2	tsʰui˥˨											
吹	tshue1	cuê1	tsʰue˧˧											
炊	tshue1	cuê1	tsʰue˧˧											
垂	sui5	sui5	sui˥˥											
睡	sui6	sui6	sui˧˥											
瑞	sui6	sui6	sui˧˥											
蕊	lui2	lui2	lui˥˨											
規	kui1	gui1	kui˧˧											
詭	kui2	gui2	kui˥˨											
虧	khui1	kui1	kʰui˧˧											
窺	khui1	kui1	kʰui˧˧											
跪	kui6	gui6	kui˧˥											
危	ngui5	ngui5	ŋui˥˥											
危	mui5	mui5	mui˥˥	又										
偽	ngui2	ngui2	ŋui˥˨											
麾	hui1	hui1	hui˧˧											
毀	huinn2	huin2	hui ̃˥˨											
委	ui2	ui2	ui˥˨											
喂	ui2	ui2	ui˥˨											
為	ui5	ui5	ui˥˥											
為	ui7	ui7	ui˧˩	又										
壘	lui2	lui2	lui˥˨											
類	lui7	lui7	lui˧˩											
淚	lui6	lui6	lui˧˥											
