汉字	IPA	注释
松	tsiɤ2	
摇	dʒiɯ2	
药	dʒiɯ4	
鹞	dʒiɯ5	~婆，老鹰；纸~，风筝
约	dʒiɯ5	猜
鳖	piɯ5	
石	ʃiɯ4	~盾，柱下石
招	tʃiɯ1	
少	tʃiɯ3	
照	tʃiɯ5	
笑	tsʰiɯ5	
尺	tʃʰiɯ5	
庙	bio5	
枵	dʒio1	怮，饿
□	kio2	丢失
飘	pʰio1	
小	sio3	
收	ʃio1	
朝	tio1	
囝	kiõ3	儿子
箱	siõ9	小畦
山	ʃiõ1	
调	tʰiõ9	“调囝”合音，小称调羹
晓	hiu3	~(得)，知道
桥	kiu2	
球	kiu2	
挢	kiu4	撬
脚	kiu5	
了	liu3	昼~，下午
箬	liu4	叶子
料	liu5	
尿	liu5	
瓢	pʰiu2	
薸	pʰiu2	浮萍
烧	siu1	暖和
调	tiu2	~和
钓	tiu5	
条	tiu5	
粜	tʰiu5	
椒	tsiu1	
臭	tʃʰiu5	
香	hiũ1	
良	liũ2	
娘	liũ2	
两	liũ3	计量单位
相	siũ1	
箱	siũ1	（菜）畦
张	tiũ1	(一)张(桌子)
丈	tiũ4	~夫，男人
痒	tsiũ4	
墙	tsʰiũ2	
学	ɯ4	
帽	bɯ5	
熬	ɡɯ2	
饿	ɡɯ5	
和	hɯ2	
好	hɯ3	~嬉，可爱
鹤	hɯ4	
祸	hɯ4	
贺	hɯ5	
货	hɯ5	
哥	kɯ1	
歌	kɯ1	
郭	kɯ5	
科	kʰɯ1	
课	kʰɯ5	
□	lɯ1	~ pa1，忘记
老	lɯ3	~兄，~弟，~妹
落	lɯ4	
薄	pɯ4	
抱	pʰɯ4	
索	sɯ5	绳子
刀	tɯ1	
逃	tɯ2	躲
倒	tɯ3	躺
桌	tɯ5	~床，桌子
飺	tsʰɯ2	
市	tsʰɯ4	
试	tsʰɯ5	
饲	tsʰɯ5	喂
秧	ŋ1	
黄	ŋ2	
毋	ŋ5	不，文作“唔”；~通，别（说）
荒	hŋ1	
喉	o2	
后	o4	~底，里面
豪	ho2	
侯	ho2	
高	ko1	
糕	ko1	
沟	ko1	
颊	ko1	面~，脸
狗	ko3	
九	ko3	
厚	ko4	
口	kʰo3	
靠	kʰo5	
牢	lo2	
流	lo2	
楼	lo2	
颅	lo2	头~，脑袋
罗	lo2	~蟹，螃蟹
螺	lo2	
驼	lo2	曲~，驼背
漏	lo5	
闹	lo5	
包	po1	
菠	po1	
袍	po2	
枹	pʰo1	柚子
扫	so5	
刷	so5	齿~，牙刷
到	to5	
斗	to5	~骂，吵嘴
豆	to5	
脰	to5	~颈，脖子
灶	to5	
昼	to5	
头	tʰo2	(一)隻(蚊子)
敨	tʰo3	解开
曹	tso2	
蚤	tso3	
灶	tso3	~间，厨房
左	tso3	
□	tso5	~ ki1 lɒ2，蛤蟆
草	tsʰo3	
满	bõ3	
旱	bõ4	
晏	ɡõ5	迟，晚
肝	kõ1	
秆	kõ3	稻草
寒	kõ3	发颤~，发虐子
看	kʰõ5	
拦	lõ2	
侬	lõ2	人；beĩ5 ~，文作“么侬”，谁
㘓	lõ3	口水
拢	lõ5	松，不紧
侬	lõ9	小人儿（书）
碗	ŋõ3	
盘	põ2	墨~，砚台
半	põ5	
伞	sõ3	
单	tõ1	
炭	tʰõ5	
永	dʒø3	
允	dʒø3	
闰	dʒø5	
根	kø1	
巾	kø1	
斤	kø1	
筋	kø1	
芹	kʰø2	
禽	kʰø2	
勤	kʰø2	
准	tsø4	想
颤	tsø5	发~寒，发虐子
春	tʃʰø1	
薯	ʃø̃9	番~，huan1~，淮山薯
厨	tø̃9	小柜子
乌	u1	黑
芋	u5	
母	bu3	
墓	bu5	坟
雾	bu5	
牛	ɡu2	
五	ɡu4	
蚨	hu2	~蝇，苍蝇
户	hu4	
雨	hu4	
裤	hu5	
股	ku3	翼~，翅膀
舅	ku4	
臼	kʰu4	
夫	pu1	丈~，男人
菩	pu2	(一)朵(花)
斧	pu3	
部	pu4	
步	pu5	
浮	pʰu2	
殕	pʰu3	霉
磨	ɡua2	
我	ɡua3	
瓦	ɡua4	
画	ɡua5	
话	ɡua5	
伙	hua3	人称复数后缀
瓜	kua1	
过	kua1	古禾切，菜老
桦	kua2	
阔	kʰua5	宽
箩	lua2	
辣	lua4	
□	lua5	“若何”合音，~其，什么
跋	pua4	跌
簸	pua5	
破	pʰua5	
大	tua5	
拖	tʰua1	
蠽	tsua4	⿰崇蚤，蟑螂
王	ɡuaŋ2	
番	huaŋ1	
翻	huaŋ1	
方	huaŋ1	
管	kuaŋ3	
广	kuaŋ3	
懒	luaŋ3	懒惰
恩	ue1	
温	ue1	
浑	ɡue2	
文	ɡue2	
运	ɡue5	
薰	hue1	火~空，烟囱(文作“烟窗”，似有误)
痕	hue2	
魂	hue2	
云	hue2	
分	hue5	水~
裙	kue2	
群	kue2	
坤	kʰue1	
昆	kʰue1	
犬	kʰue3	
虹	kʰue4	
睏	kʰue5	睡
伦	lue2	
轮	lue2	
崙	lue5	山头
㖹	pue2	吹
粪	pue5	
潘	pʰue1	泔水
盆	pʰue2	
孙	sue1	
损	sue3	
笋	sue3	
墩	tue1	
钝	tue1	
盾	tue3	石~，柱下石
存	tsue1	
层	tsue2	
船	tsue2	
钻	tsue5	
门	ɡuẽ2	
怀	kuɛ2	
柜	kuɛ5	
贵	kuɛ5	
季	kuɛ5	
累	luɛ3	
蕊	luɛ3	松柏~，松球
肥	puɛ2	肥，胖
吠	puɛ5	
痱	puɛ5	热~，痱子
肺	pʰuɛ5	
追	tuɛ1	
队	tuɛ4	
锤	tʰuɛ2	
嘴	tʃuɛ3	~老，嘴巴；~老燋，口渴
崙	luɛ̃9	小山岗
孙	suɛ̃9	姪儿
袋	tuɛ̃9	小衣兜儿
钻	tsuɛ̃9	小锥子
糜	ɡui1	
禾	ɡui2	
梅	ɡui2	
火	ɡui3	油~萤dʒiɐ̃2 ~ dʒiɐ̃2，萤火虫
尾	ɡui3	
月	ɡui4	
妹	ɡui5	
外	ɡui5	
畏	ɡui5	
䀁	hui2	硋，陶瓷
火	hui3	~薰空，烟囱(文作“烟窗”，似有误)
馃	kui3	糯米软糕
杯	pui1	
飞	pui2	
发	pui5	~颤寒，发虐子
髮	pui5	
皮	pʰui2	
被	pʰui4	
蓑	sui1	
雪	sui5	~豆，豌豆
袋	tui5	
推	tʰui1	抽屉
唾	tʰui5	吐（口水）
门	ɡuĩ2	
物	ɡuĩ4	~事，东西
翻	huĩ1	
远	huĩ4	
关	kuĩ1	
悬	kuĩ2	高
县	kuĩ5	
劝	kʰuĩ5	
暖	luĩ3	~瓶，热水瓶
䘼	ŋuĩ3	
饭	puĩ5	
□	suĩ3	⿰纟羡，疲乏
断	tuĩ4	
尝	tsuĩ4	吮，吻
笐	uŋ5	竹~，晾衣竿
楻	huŋ2	炊~，蒸笼
光	kuŋ1	亮
讲	kuŋ3	
糠	kʰuŋ1	
囥	kʰuŋ5	藏
雨	y3	谷~
如	dʒy2	
围	dʒy2	
鱼	dʒy2	
语	dʒy3	
位	dʒy5	
胃	dʒy5	
预	dʒy5	
豨	hy1	
废	hy5	
费	hy5	
慧	hy5	
嬉	hy5	玩儿；好~，可爱
锯	ky5	
去	kʰy5	~年
𤸬	ʃy1	瘦
薯	ʃy2	
税	ʃy5	
除	ty2	
厨	ty2	
箸	ty5	筷子
锄	tʰy2	本字“除”
朱	tʃy1	
珠	tʃy1	
水	tʃy3	
吹	tʃʰy1	
炊	tʃʰy1	蒸
取	tʃʰy3	
鼠	tʃʰy3	~~，兔子
舍	tʃʰy5	厝
鹅	dʒya2	
倚	dʒya3	~椅，交椅
艾	dʒya5	
蚁	hya4	
寄	kya5	
徛	kʰya4	站立
蛇	ʃya2	
豸	tʰya4	
纸	tsya3	
曳	tsʰya5	娶
宪	hyaŋ5	
献	hyaŋ5	
建	kyaŋ5	
健	kyaŋ5	
环	kʰyaŋ2	
倩	tsʰyaŋ5	美
银	dʒyĩ2	大~，tua5 ~，银元
专	tʃyĩ1	
砖	tʃyĩ1	
寻	tsʰyĩ5	找
穿	tʃʰyĩ1	
