#符号说明	-白=文?待考																									
#调值	［1］⁵⁵［2］²⁴［3］²¹［5］²¹³［6］³³																									
#ɿ																										
pʰ	［3］□{崴脚}［5］撇{笔画；搧（巴掌）}泼{～水}钹{～山：把山上的柴草割掉种植农作物}［6］别																									
m	［1］□{两手用力掰}［3］□{两手用力掰}［6］灭篾																									
t	［1］爹{十三～，十四娘}																									
tʰ	［3］□{～好：收拾整理好}［5］帖{字～}铁																									
l	［6］猎烈捩{拧（毛巾等）}																									
ts	［1］姐{～夫}［2］姐{～～}［5］借接节																									
tsʰ	［3］且{得过～过}［5］切［6］绝																									
s	［1］些［2］斜邪泉［3］写［5］泻楔{把木片、石块等垫在器物地下使平：～平，～稳}雪薛{～仁贵}［6］谢																									
tɕ	［1］遮［3］者［5］蔗折浙结□{～猪：阉割猪}																									
tɕʰ	［1］车□{～身：转身}［2］□{～过来：拿过来}［3］扯［5］□{打～火：闪电}［6］杰																									
ɕ	［1］赊佘{～太君}［2］蛇［3］舍［5］设歇［6］社射{～子：一隻眼睛的人}麝赦{大～}舌蚀{～本}鳝□{ie˧～：形容不修边幅；杂乱无章}□{米越吃越～：米越吃越少}																									
k	［1］哥该嗝{打～儿}□{～浓：形容（茶）很浓}［3］改［5］个盖合{容量单位}割葛{粉～：葛根}																									
kʰ	［1］开［3］可［5］渴																									
ŋ	［2］鹅蛾{～眉月：上弦月}俄{～国}讹呆{～板}［6］饿碍{～事}																									
∅	［1］□{嘴里食物太多，上下嚼动吃相难看}［2］爷耶{～稣}阎{～王老儿}［3］也野惹［5］腌{～腊肉}捏𥣘{凹陷；～谷：瘪谷}［6］夜聂叶{姓}业热																									
#ue																										
kʰ	［1］魁盔［5］阔																									
∅	［1］煨［6］活{～个：活的}																									
#ye																										
tɕ	［1］□{～手儿：手残者}［5］蕨{～tɕi˥：一种蕨类植物}																									
tɕʰ	［2］□{蹲}［5］缺蕨{水～儿：水蕨菜}																									
ɕ	［1］靴［5］血［6］穴																									
∅	［5］□{肥肉油重而生腻}［6］月越																									
#ai																										
p	［1］宾冰兵［3］丙饼併{～拢}［5］柄{刀～}北壁不□{后脑～儿：后脑勺}																									
pʰ	［1］拼{竖～：竖起房屋列架}［2］凭平评{谈～：聊天}瓶［5］劈［6］病																									
m	［1］蒙?{用布等盖住、蒙住}［2］明名［6］墨默命																									
f	［1］兄																									
t	［1］灯登丁钉疔{～疮}［3］等顶戥{～儿：戥子}［5］凳澄{～一～：沉淀一下}钉得{～真：实在}德																									
tʰ	［1］听［2］腾藤亭{～笼儿：亭子}停廷庭蜓{～线儿：蜻蜓}［5］踢［6］邓特定敌狄锭{金～儿：金锭形的纸钱}																									
n	［2］能{有～：能干}零铃灵菱{～角儿}□{tʰoŋ˨˦～儿：蝉}□{蝦蟆～儿：蝌蚪}［3］领岭{上～：上坡}［6］令瞵{畦}宁{姓}历栎{～子儿树：栎树，果实叫橡子，可做豆腐}□{养儿看～小，养猪看苗条：看一个人好不好就看他小时候的品行，看猪好不好就看它的外形}																									
l	［5］□{用棍子等拨弄}［6］力哩{～功：地名}																									
ts	［1］曾增僧{唐～}精{～肉：瘦肉}［3］井［5］则鲫积{～钱：存钱}迹脊绩甑{饭～}																									
tsʰ	［1］清青［2］层曾晴情［3］请［6］静净贼																									
s	［1］星腥{鱼～草}［3］醒［5］性姓惜腥{鱼好～}锡［6］绪{光～}席																									
k	［1］京惊荆{黄～儿：一种小灌木，叶子可入药}经［3］景警颈□{～钱儿：整钱（与零钱相对）}［5］敬{～祖人老儿：祭祖}镜更{～好}击																									
kʰ	［1］轻［3］肯［5］庆刻克［6］极																									
ŋ	［1］英应鹰鹦{～鹉}［2］迎{～龙灯：舞龙灯}赢［3］影{～儿}［5］应{～答}亿益□{睏～ti⁰ 筋：落枕}［6］翼{～胛儿：翅膀}额{ʈʂo˥～：前额突出}□{～饭：剩饭}																									
x	［1］兴{～田：地名}［2］形型刑［5］黑兴{高～}																									
#iai																										
tɕ	［1］蒸正{～月}［3］整{～病：治病}［5］证{对～}症正{做不～：做不好，做不成}织职隻炙{～火：烤火}																									
tɕʰ	［1］称［2］曾{～孙儿：孙子的儿子}丞{～相}程［5］秤吃赤尺侧［6］蛰{惊～}郑直值植测{～验}																									
ɕ	［1］升声［2］乘{～凉}塍{田～}绳承成城诚盛{～饭}［5］胜圣{跌～珓儿：跌珓}色盛［6］食{～弯儿：鸡嗉子}石																									
#uai																										
k	［5］国																									
kʰ	［6］□{用胳膊肘挽住}																									
∅	［2］营{～长}［3］永{～远}																									
#ei																										
p	［1］□{女阴}［3］比［5］闭秘{～密}笔逼碧{～绿个：碧绿的}																									
pʰ	［1］蓖{～毛子：蓖麻}批披［2］皮{量词，一～洗面巾；一～树叶；一～书}［2］脾比{哩个～尔个好}［3］□{老～茶叶：不分等级的很一般的茶叶}［5］屁匹［6］毙鐾{～刀片儿}被{～u˧：被子}枇{～杷儿}备鼻																									
m	［1］咪{～一下：睡一下；～子眼儿：羞明}［2］迷{～信}眉［3］米美尾{～巴}［6］密蜜{～甜：很甜}																									
f	［1］非飞徽{安～}［2］肥{客来东道～}［3］匪［5］痱{～珠儿：痱子}费废肺［6］惠慧佛																									
t	［1］低裏?{何～：哪里；哩～：这里}［2］□{～精：（形容猪肉）很瘦；～紫：形容颜色很紫}［3］底抵［5］帝的{目～}滴□{tsʰaŋ˧头儿：脱肛}																									
tʰ	［1］梯［2］题啼蹄{～包儿：肘子}［3］体［5］替剃［6］弟第地																									
l	［1］哩?{这}［2］泥犁{木～}离篱{～笆}［3］吕礼李裹里{两～路}理鲤娌{妯～}［6］虑厉{～害}丽荔{～枝}利痢{瘌～子：瘌痢头}吏类泪粒笠律{一～}莉{茉～花}																									
ts	［2］栽［2］□{～黑：（皮肤）很黑；～乌：（锅底灰）很黑}［3］挤嘴［5］济醉卒																									
tsʰ	［1］蛆妻{夫～}溪{兴～桥：地名}［2］齐［3］取娶［5］七脆□{打～：打喷嚏}［6］集疾{残～}																									
s	［2］需须西犀{～牛角，中药}尿□{～草：一种植物}［2］徐随［3］洗髓［5］絮{棉花～}细岁习戌［6］系{联～}																									
#uei																										
k	［1］闺{～女：未婚女子}规龟归［3］鬼诡{～计}［5］桂鳜{～鱼}跪贵骨																									
kʰ	［1］亏［2］癸奎逵［5］窟{～窿}［6］柜{～台}																									
∅	［1］萎{人精神状态不好}［2］危违［3］委伟［6］会卫位{～子}魏胃物味为{敬～意儿：故意}																									
#yi																										
tɕ	［1］砖专［3］转卷																									
tɕʰ	［1］穿川圈［2］传拳权［5］串劝［6］传{讲～儿：说书}赚																									
ɕ	［1］闩{门～儿}［2］船［5］楦{～头：鞋}□{～苗：间苗}［6］县																									
∅	［2］圆员源{洪～：地名}缘铅{～笔；～山，江西县名}元原袁园援丸{肉～儿}［3］软阮{姓}远［5］怨［6］院愿																									
#au																										
p	［1］包胞{同～姊妹；～衣：胎盘}［3］保宝堡{碉～}饱［5］报豹爆{～竹；～芽：发芽}驳剥□{～弯儿：台阶}																									
pʰ	［1］抛□{柚子旧称，今称柚儿}［2］袍跑［5］炮泡［6］薄{厚～；～荷}抱暴{打风～：刮风暴}雹																									
m	［1］猫{～儿}［2］毛茅{～棚}锚谋冇{未，没}［3］卯某亩牡□{～腰裤儿：牛头裤，旧时一种裤档深裤管很宽的裤子，多为黑色}［6］帽{～ʈʂo˧ 儿：帽檐}冒{感～}貌{相～儿}莫幕{～布}																									
f	［2］浮{～梁}																									
t	［1］刀蔸兜{牛～：牛笼嘴}□{～子：疯子}［3］倒斗［5］到倒鬥沰{～雨：淋雨}□{～kuən˨˩˧ 儿柴：一种小灌木柴草}																									
tʰ	［1］偷［2］桃逃陶头投［3］讨{～菜：去菜园摘菜}敨{～气都难过：喘不过气来；～衣裳：用清水漂洗衣服}□{剩下}［5］套透托［6］道盗{强～}导{领～}豆{～干儿}择{～菜}																									
l	［1］捞□{～阔：形容很宽；～猛个：形容很长；～深：形容很深；～高：形容很高}［2］劳牢楼萝{～卜儿}［3］脑老篓{炭～}［5］□{～粉：揉糯米粉}［6］骆{打～驼：打陀螺}闹{热～}漏{翻～：捡漏，修理房屋的漏雨处}落乐{音～}																									
ts	［1］糟{酒～}［3］早澡蚤走																									
