聲	呼	等	韻	調	組	攝	單字	多音	罕度	檢	原註	聲母	韻母	聲調	次 聲母	次 韻母	次 聲調	新註	分韻(1782)	英華(1856)	分部(1914)	道漢(1939)	穗書	穗習				
從	合	一	冬	平	精	通	淙	0	2	0		ts	ʊŋ	55					zung1	zung1	-	zung1	zung1					
從	合	一	冬	平	精	通	鬃	0	2	0		ts	ʊŋ	55					zung1	zung1	zung1	zung1	zung1					
心	合	一	冬	平	精	通	鬆	0	0	0		s	ʊŋ	55					sung1	sung1	sung1	sung1	sung1					
透	合	一	冬	去	端	通	統	0	0	0		tʰ	ʊŋ	213					tung2	tung2	tung2	tung2	tung2					
精	合	一	冬	去	精	通	綜	0	1	0		ts	ʊŋ	55					zung1	zung1	zung3	zung1	zung1					
心	合	一	冬	去	精	通	宋	0	0	0		s	ʊŋ	33					sung3	sung3	sung3	sung3	sung3					
端	合	一	冬	入	端	通	篤	0	2	0		t	ʊk	5					duk1	duk1	duk1	duk1	duk1					
端	合	一	冬	入	端	通	督	0	0	0		t	ʊk	5					duk1	duk1	duk1	duk1	duk1					
定	合	一	冬	入	端	通	毒	0	0	0		t	ʊk	3					duk6	duk6	duk6	duk6	duk6					
泥	合	一	冬	入	端	通	褥	0	1	0		j	ʊk	3					njuk6	juk6	juk6	juk6	juk6					
溪	合	一	冬	入	見	通	酷	0	0	0		h	ʊk	3					huk6	huk6	huk6	huk6	huk6					
影	合	一	冬	入	影	通	沃	0	0	0		j	ʊk	5					juk1	juk1	juk1	juk1	juk1					
娘	開	三	鍾	平	知	通	濃	0	0	0		n	ʊŋ	51					nung4	nung4	nung4	nung4	nung4					
來	開	三	鍾	平	來	通	龍	0	0	0		l	ʊŋ	51					lung4	lung4	lung4	lung4	lung4					
精	開	三	鍾	平	精	通	縱	1	0	0									zung1	zung1	zung1							
精	開	三	鍾	去	精	通	縱	1	0	0		ts	ʊŋ	33								zung3	zung3					
精	開	三	鍾	平	精	通	蹤	0	0	0		ts	ʊŋ	55					zung1	zung1	zung1	zung1	zung1					
精	開	三	鍾	平	精	通	樅	0	3	0		ts	ʊŋ	55					zung1	zung1	zung1	zung1	zung1					
從	開	三	鍾	平	精	通	從	1	0	0		tsʰ	ʊŋ	51				跟從				cung4	cung4					
清	開	三	鍾	平	精	通	從	1	0	0		tsʰ	ʊŋ	55				從容	sung1	sung1	sung1	sung1	sung1					
從	開	三	鍾	平	精	通	從	1	0	0												zung6	zung6					
邪	開	三	鍾	平	精	通	松	0	0	0		tsʰ	ʊŋ	51					cung4	cung4	cung4	cung4	cung4					
邪	開	三	鍾	平	精	通	訟	0	1	0		ts	ʊŋ	33					sung6	zung6	zung6	zung6	zung6					
澄	開	三	鍾	平	知	通	重	1	0	0		tsʰ	ʊŋ	51				重新	chung4	chung4		cung4	cung4					
澄	開	三	鍾	上	知	通	重	1	0	0		tsʰ	ʊŋ	213				重量				cung5	cung5					
澄	開	三	鍾	去	知	通	重	1	0	0		ts	ʊŋ	33				重要		zhung6	zung6	zung6	zung6					
章	開	三	鍾	平	章	通	鐘	0	0	0		ts	ʊŋ	55					zhung1	zhung1	zung1	zung1	zung1					
章	開	三	鍾	平	章	通	忪	1	2	0		ts	ʊŋ	55				怔忪	-	-	-	zung1	zung1					
							忪	1	2	0		s	ʊŋ	55				惺忪					sung1					
章	開	三	鍾	平	章	通	鍾	0	0	0		ts	ʊŋ	55					zhung1	zhung1	zung1	zung1	zung1					
昌	開	三	鍾	平	章	通	憧	0	2	0		tsʰ	ʊŋ	55					chung1	chung1	tung4	cung1	cung1					
昌	開	三	鍾	平	章	通	衝	1	0	0		tsʰ	ʊŋ	55					chung1	chung1	cung1	cung1	cung1					
							衝	1	0	0													cung3					
書	開	三	鍾	平	章	通	舂	0	2	0		ts	ʊŋ	55					zhung1	zhung1	zung1	zung1	zung1					
日	開	三	鍾	平	日	通	茸	0	1	0		j	ʊŋ	51					jung4	jung4	-	jung4	jung4					
