ɕ	①先｛新音｝掀纖｛又音｝鮮｛新音｝暹仙｛新音｝籼｛新音｝秈｛新音：俗字籼｝鍁｛又音｝②鹹閒嫌賢嫺弦｛新音｝癇③鮮｛新音：~見｝喊險顯冼癬｛新音｝閃｛~腰｝⑤現縣線綫限獻陷｛新音｝腺憲蘚莧羨｛新音｝馅｛新音｝騸｛~雞｝						
j	①醃菴蔫腌｛「醃」俗字｝咽｛~喉｝煙燕｛地名｝胭嫣鄢｛姓｝淹②鹽蜒言顏沿妍研延塋筵閻閆檐岩巖炎芫③眼掩衍演奄⑤厭晏｛姓｝燕｛~子｝堰諺唁彦艶䞁｛相較也｝焰灧驗						
#yĩ							
tɕ	①娟捐涓鵑③捲卷⑤絹毽｛舊音｝腱｛舊音｝雋卷｛試~｝眷倦圈｛豬~｝桊䖭飬						
tɕʰ	①圈｛~子｝②全權泉顴拳荃醛踡｛新音｝③犬⑤勸券劵						
ɕ	①先｛舊音｝仙｛舊音｝宣萱軒｛稱末升曰~｝喧鮮｛舊音｝暄籼秈｛舊音丨俗字「籼」｝②弦｛舊音｝玄懸③癬｛舊音｝選⑤陷｛舊音｝旋羨｛舊音｝炫絢騸｛舊音｝						
j	①冤淵鴛②元园员沅原圆垣袁缘援爰辕源猿螈媛③遠兖｛地名｝⑤院苑怨愿						
#ɑ̃							
p	①方｛地之所在也｝幫浜梆邦③綁仿｛同年相~｝榜膀⑤棒磅傍塝｛~田｝蚌泵						
pʰ	①滂胮｛熟~｝乓｛新字｝②螃旁龐傍彷膀｛~胱｝⑤胖肨						
m	①□｛聲大｝②忙盲莽芒｛~種｝茫氓③莽蟒						
f	①方芳坊②防妨房肪③紡仿訪⑤放						
t	①當襠③党黨擋⑤檔當｛~鋪｝蕩｛又音｝凼｛俗字丨水窪｝堂｛祠~｝宕趤｛逸行也｝						
tʰ	①湯②堂唐塘螳膛糖搪傏｛~突｝棠③淌倘儻躺｛「踼」俗字｝踼｛俗字「躺」｝⑤燙趟｛「逿」俗字｝逿｛俗字「趟」｝蕩｛繩索~~｝						
l	②郎狼螂廊榔饢嚢瑯琅③蕩｛白讀｝朗㝗曩盪｛同「蕩」｝⑤閬浪㫰｛曝也｝㚂蕩｛打~丨又上聲｝						
k	①剛鋼崗缸肛岡罡杠豇③港㽘梗｛田~丨有疑｝⑤杠｛又音｝行｛~路丨有疑｝						
kʰ	①康糠穅㝩②扛⑤炕囥｛藏也｝阬亢抗						
x	①夯｛䂫俗字｝□｛呼氣貌｝②杭行｛排~｝航⑤沆						
ʔ	①骯②昂｛新音：~貴｝⑤盎						
ts	①髒臧奘贓⑤葬臟藏｛西~｝						
tsʰ	①倉蒼滄傖⑤蹭｛摩之急也丨字存疑｝						
s	①桑喪｛~葬｝③嗓⑤喪｛~失｝						
tʂ	①張章漳樟璋彰暲剛｛~才｝蟑③長｛成~｝掌漲⑤丈｛~人｝仗杖脹障瘴帳賬						
tʂʰ	①猖昌倀②長｛~江｝嫦常腸徜嘗倡｛又音｝裳場③廠場｛新音丨廣~｝敞昶氅⑤倡唱悵暢						
ʂ	①傷商殤裳熵③賞償｛舊音｝⑤上尚						
ʐ	①裳｛衣也丨合音字｝②穣瓤③嚷壤釀⑤讓						
#uɑ̃							
k	①光胱②狂｛變調丨不明本調｝③廣獷鄺｛姓｝⑤光｛動詞｝逛						
kʰ	①框眶筐匡邼誆②狂｛~妄｝⑤曠況礦						
x	①荒肓慌②黃皇隍簧徨蝗凰癀煌遑璜惶蟥獚③晃｛又音｝幌恍謊⑤衁｛血凝也｝晃						
tʂ	①裝樁莊妝⑤撞｛~人｝壮幢状						
tʂʰ	①窗牎｛窗也｝瘡創｛~傷｝②床｛牀俗字｝牀｛俗字床｝撞｛~動｝③闖⑤創｛~造｝撞｛又音｝						
ʂ	①雙霜塽｛訓丨菜地也｝孀礵③爽						
	①汪②王亡芒｛~草｝忘③枉罔網惘魍往㳹⑤忘｛又音｝望妄旺						
#iɑ̃							
ȵ	②孃娘亮梁量｛動詞｝良糧粱③兩魎仰⑤亮量｛重~｝輛諒晾踉						
tɕ	①江姜薑將疆豇｛又音｝畺繮僵殭漿剛｛~才｝③講獎蔣槳⑤降｛~落｝犟勥虹｛白讀｝糨酱將｛~帥｝匠						
tɕʰ	①腔槍羌嗆鏘蹌②強墻薔嬙檣詳祥翔庠藏③搶⑤戧像｛又音丨老~丨存疑丨或為「相」｝						
ɕ	①香鄉湘箱鑲廂相｛~互｝②降③想嚮享鮝｛蘿蔔~｝餉⑤向像象項巷相｛~親｝橡						
j	①秧央殃泱鴦䬬｛飽食也｝②佯羊陽煬揚楊洋徉瘍③癢養痒氧鞅｛商~｝⑤樣漾恙烊｛打~丨本字煬｝						
#ən							
p	①奔｛~跑｝犇崩｛舊音｝③本畚⑤奔｛~小康｝笨迸						
pʰ	①噴②盆湓⑤噴｛~香｝						
m	①悶｛性緩而默也｝捫②明｛~年｝門萌⑤悶｛煩~｝燜懣						
f	①分氛紛芬②焚墳汾③粉⑤憤份奮忿糞						
t	①蹲｛今音｝墩敦惇礅登竳燈蹬③等囤｛~斷丨俗字「躉」｝躉｛「囤」分字｝⑤扽凳盾頓澄｛~清｝得｛曉~｝燉鄧						
tʰ	①吞②屯臀豚騰疼藤謄⑤褪						
l	②能棱輪倫侖③冷⑤楞論嫩						
k	①跟根更｛三~天｝耕羹賡庚莖｛舊音｝筋｛~斗｝③痕｛印跡也｝埂耿鯁骾｛喉塞物也｝梗粳⑤更｛~加｝亙						
kʰ	①錹｛俯首也｝坑鏗③肯齦｛俗字啃｝懇墾⑤掯						
x	①哼｛「訇」俗字｝亨訇｛俗字「哼」｝②恆衡痕蘅③很狠⑤恨						
ts	①爭箏睜增曾｛姓｝憎尊遵臻鐏⑤贈掙｛新字丨分化自「爭」｝						
tsʰ	①皴𩞦｛飽食也｝村參｛~差不齊｝邨｛俗字村｝撐｛橕俗字｝瞠②岑曾｛~經｝存層蹲｛白讀｝③忖碜｛食有砂｝墋⑤寸蹭牚橕｛桌~丨又可「牚」｝						
s	①生孫猻參｛人~｝僧牲笙甥森燊③隼省損瘮筍瘆｛瘮俗字｝⑤滲遜						
tʂ	①真針甄珍貞禎偵箴征正｛~月｝稹怔蒸診沾詹霑瞻占｛~卜｝毡③縝整枕｛~頭｝抮診拯展搌輾⑤鎮陣朕震振正｛~式｝枕｛動詞｝賑政証䟴症證鄭颤圳｛深~｝						
tʂʰ	①稱｛~重｝伸郴抻琛深②纏｛盤~｝盛｛~飯｝臣陳塵纏禪成誠城呈承丞沉｛沈俗字｝諶懲｛又音｝忱乘｛~法｝③騁諂懲闡⑤趁纏稱｛~心丨俗字「秤」｝						
ʂ	①身升昇申扇煽羶紳聲深｛又音｝娠②晨辰宸神繩③審嬸閃陝沈瀋｛地名丨~陽｝⑤乘｛馬車也｝勝甚蜃腎盛｛~大｝慎晟聖剩嵊｛地名丨~泗｝善膳扇｛動詞｝擅鱔贍蟮射｛又音｝						
ʐ	①恩②櫻｛舊音｝仍人壬礽③忍仍｛又音｝軟｛又音｝阮｛姓｝⑤硬任認韌閏｛舊音｝刃妊紉潤						
#uən							
k	①□｛高~｝③滾袞輥鯀磙｛「輥」俗字丨石~｝緄⑤棍						
kʰ	①坤堃昆鯤琨③捆⑤困						
x	①昏惛婚葷②魂渾混橫｛文讀｝餛③混⑤混｛~日子｝鯶｛魚名｝						
tʂ	③準准						
tʂʰ	①春椿②醇脣｛又音｝鶉淳③蠢						
ʂ	②唇｛「脣」俗字｝純䣩｛~酒｝脣｛舊音：今訛寫為唇 非｝③吮⑤瞬舜順｛文讀｝						
ʐ	⑤閏｛新音｝潤｛新音｝						
	①瘟溫②文蚊紋玟雯聞③抆｛拭也｝吻穩刎紊⑤問汶						
#iən							
p	①冰兵賓彬并｛地名：~州｝邠斌殯鬢③餅丙屏｛~住｝柄秉稟⑤病併并柄						
pʰ	①拼姘娉乒｛新字｝②貧坪平萍瓶頻屏評凭嬪憑③品⑤聘						
m	②萌｛舊音｝民明名㟭鳴冥茗銘瞑旻岷螟酩暝③吻｛~合｝䐇憫皿抿閩銘｛舊音｝盟⑤命						
t	①□｛擲物丨今俗字「掟」｝釘酊盯丁町③鼎頂⑤定釘｛動詞｝訂錠打｛白讀丨打也，擊也丨有疑｝						
tʰ	①聽廳汀②停蜓廷庭亭霆婷③挺艇⑤聽｛~牌｝□打｛西門丨白讀丨打也丨擊也丨有疑｝						
ȵ	①拎②林琳霖磷麟鄰鱗臨獰璘粼膦嶙隣零靈齡凌陵伶翎聆綾菱苓羚囹令｛姓：~狐｝蛉寧｛~靜｝凝淋粦③凜嶺領⑤賃另寧｛~可｝佞甯吝藺｛姓｝躪						
tɕ	①金今斤荊莖晶兢精涇驚睛腈鯨京經津筋巾靳矜襟妗③景盡｛縱也敬也｝警頸緊僅謹井旌憬阱錦瑾⑤覲盡｛~力｝徑境燼進近晉縉禁浸敬莖｛又音｝靖盡｛又音｝鏡淨竟競脛境勁靜						
tɕʰ	①親欽侵浸｛又音｝清輕卿氫𡄔｛長聲叫也｝青蜻氰衾②情晴𡄔｛又音丨長聲叫也｝黥琴擒禽芹勤秦擎尋③請寢⑤凊親｛~家｝罄慶磬沁搇｛按捺也｝						
ɕ	①心新鑫欣芯辛昕薪馨鋅歆莘星興｛作~｝腥惺猩②行｛~人｝刑邢型形尋｛又音｝③醒省｛反~｝⑤衅釁｛通「衅」｝信興｛~趣｝幸杏訊汛迅性姓						
j	①因音陰喑湮茵氤殷英蔭瑛媖鸚櫻｛新音｝嬰應｛~該｝纓蠅｛蒼~｝②蠅｛~子｝夤迎盈飲｛~湯丨米湯也｝嬴楹螢淫吟狺銀垠瑩③影隱癮郢飲㱃｛同飲｝引潁蚓⑤映應｛答~｝飲｛動詞｝胤印						
#yən							
tɕ	①俊軍君均鈞肫｛鳥禽臟也丨胃臟｝諄③菌窘⑤駿俊｛新音｝郡峻竣						
tɕʰ	①傾｛又音｝②瓊｛舊｝裙羣③頃傾						
ɕ	①薰熏勛醺燻□｛灑也｝②詢峋旬巡殉循荀脣｛舊音｝⑤順｛白讀｝迅｛又音｝訓馴殉						
j	①赟緼氳蘊暈｛延誤丨有疑｝②營雲匀云筠芸紜耘③隕允狁殞尹｛姓｝永詠泳⑤暈運醞韻慍潤｛白讀｝熨｛新音：~斗｝						
#əŋ							
p	①般｛一~大｝崩｛新音｝繃搬⑤蹦半伴秚｛俗字「拌」丨物相和也｝絆埲｛又音｝蚌｛新音｝						
pʰ	①抨潘番烹②鵬朋盤蟠磐蹣棚蓬芃彭③捧埲⑤掽｛又音｝畔叛判掽｛俗字「碰」｝碰｛「掽」俗字｝						
m	①漫｛~水｝②謀｛舊音｝眸｛舊音｝蒙懵𤾬｛浮醭也丨起~｝瞞鞔饅鳗③牡螨滿猛某｛舊音｝母｛舊音｝畞｛舊音｝畝｛舊音丨畞俗字｝⑤夢孟茂｛舊音｝貿｛舊音｝鰻幔蔓謾漫曼鳗𤾬｛又平聲｝						
f	①風封瘋峰峯豐丰楓鋒蜂烽酆②馮逢縫③諷⑤俸鳳奉縫｛~隙｝						
t	①東冬③懂｛~住丨惘也｝董⑤動凍洞胴棟						
tʰ	①通②曈同童彤疃桐佟酮③捅桶筒統⑤痛恸						
l	①齈｛鼻塞｝②龍聾農儂膿濃隆窿礱｛磨穀為~｝朧瀧癃穠躘｛~現不便｝籠③隴壟攏儱⑤弄						
k	①工弓公攻功龔恭蚣躬宮肱供③汞鞏𥨐｛剜土也｝𠞖｛通𥨐｝巩拱⑤共貢供｛上~｝						
kʰ	①空｛~氣｝崆箜穹③孔恐⑤控空｛~位｝						
x	①烘薨轟②紅洪鴻宏虹｛文讀：彩~｝弘蕻谼③叿｛俗字丨本字不定｝⑤訌						
ʔ	①翁嗡齆｛鼻塞也｝⑤甕						
ts	①綜宗蹤鬃棕③總⑤縱粽樅｛~陽｝						
tsʰ	①蔥葱聰匆驄②叢琮從崇重｛~複｝						
s	①鬆松嵩②□｛怯弱也丨無力也丨俗字「㞞」丨本字疑為「雄」｝③㩳｛~人｝聳慫悚⑤送頌誦宋訟						
tʂ	①中｛~間｝忠終鍾衷盅③腫踵冢種｛~子｝喠｛急喫也｝踵⑤種｛動詞｝中｛~獎｝重｛~量｝眾仲						
tʂʰ	①衝｛~鋒｝充憧忡②蟲沖重｛又音｝③寵⑤衝｛嚇人也｝铳						
ʐ	②戎｛又音｝茸③冗						
#iəŋ							
tɕ	③窘炅炯						
tɕʰ	②窮瓊｛新音｝						
ɕ	①兇兄胸洶②詾｛怒喝｝雄｛新音：英~｝熊						
j	①雍邕臃鳙傭②容榮蓉絨戎庸雄｛白讀：打~｝③庸勇泳｛新音｝詠｛新音｝擁湧甬蛹俑⑤用						
#ɐ							
tʰ	①他						
k	①乾｛~爺｝						
s	①三｛~爺｝						
#ɐʔ							
p	⑦八拔雹蔔白拜擘悖薄撥髪｛頭~｝搏博剝缽帛柏勃播駁伯膊箔渤鉑亳跋縛						
pʰ	⑦舶箔迫潑魄帕泊珀叵朴｛姓｝						
m	⑦眽摸末沫抹沒陌莫墨幕歿模嫫默寞茉脈麥□｛「諸問也丨同通語」甚麼」｝母｛老~雞｝拇漠						
f	⑦髮發法罰伐乏閥筏砝縛｛《安徽省方言志》載｝						
t	⑦得德達答搭靼妲瘩踏嗒｛舐也｝撘耷						
tʰ	⑦塔塌蹋㿹沓撻㯓特拓托脫						
l	⑦辣蠟臘邋納捺衲鈉訥勒肋拉｛~颯｝						
k	⑦合佮｛源自「合」｝擱｛源自「閤」｝葛角匣割戛夾｛舊音｝格甲｛舊音｝隔革膈硌鉻鎘蛤嗝骼蓋｛姓｝						
kʰ	⑦克客刻渴殼磕搕氪瞌欬｛~瘶｝嗑						
x	⑦瞎｛舊音｝嚇盒喝赫劾合郃閡霍｛地名丨~山｝核壑涸褐黑｛蜀山廬陽｝						
ʔ	⑦惡｛又音｝扼鱷顎鄂						
ts	⑦砸｛「㩵」俗字｝雜匝翟｛又音丨姓｝窄宅摘側｛又音｝賊｛舊音｝責仄澤擇昃作嘬酢撮｛一~毛｝						
tsʰ	⑦擦測冊側廁｛訛音｝策惻㩍柵撮逪拆｛「𡍩」俗字｝𡍩｛俗字「拆」｝						
s	⑦色塞嗇澀瑟穡薩撒靸颯虱剎｛~車丨有疑｝						
tʂ	⑦蜇｛驚~｝煠閘｛「牐」俗字｝牐眨側｛~棱｝扎蚱喋哲折喆浙轍						
tʂʰ	⑦插察撤澈徹掣刹｛羅~｝						
ʂ	⑦殺煞霎歃設舌折攝涉						
ʐ	⑦額遏惡顎鄂熱						
#uɐʔ							
t	⑦奪鐸掇沰度｛量也｝咄						
tʰ	⑦拓托脫						
l	⑦落樂洛絡駱搦雒酪						
k	⑦國聒郭摑蟈刮剮括鴰幗虢撅｛舊音｝钁｛舊音｝						
kʰ	⑦擴闊廓						
x	⑦霍｛姓｝惑或活和｛暖~｝豁						
ts	⑦作嘬酢撮｛一~毛｝昨｛舊音｝						
tsʰ	⑦撮逪						
s	⑦箾索嗍｛又音｝						
tʂ	⑦桌濁著｛~火｝鐲啄｛新音｝捉桌擢拙酌輟｛~學｝茁｛又音｝						
tʂʰ	⑦戳齪綽啜						
ʂ	⑦箾｛以竿擊人｝刷朔勺碩爍說槊						
ʐ	⑦噦惡弱箬篛若						
	⑦挖｛「穵」俗字｝沃｛又音｝斡穵｛俗字挖｝襪握渥齷凹						
#iɐʔ							
p	⑦憋鱉別蹩						
pʰ	⑦撇瞥						
m	⑦滅篾蔑蠛搣						
t	⑦跌疊迭						
tʰ	⑦蝶牒喋諜蹀貼鐵帖餮怗						
ȵ	⑦捏聶鎳孽嚙臬列烈裂獵鬣捩趔冽						
tɕ	⑦節腳吉｛訛音｝杰傑甲蜇匣啑截夾莢結潔頰狎戛拮劫藉｛~口｝揭偈竭捷婕孑桔羯睫碣頡詰胛鉀						
tɕʰ	⑦洽掐恰切竊怯愜						
ɕ	⑦瞎屑協匣｛新音｝楔挾脅蝎歇轄峽揳燮泄狹						
j	⑦葉噎液掖腋謁壓軋鴨押揠業憶						
#yɐʔ							
ȵ	⑦劣虐瘧略掠						
tɕ	⑦覺｛~得｝絕決嚼倔訣撅噘珏蕨爵崛獗蹶譎腳角｛新音｝						
tɕʰ	⑦確缺闕卻雀｛訛音｝鵲榷傕						
ɕ	⑦學血雪削噱謔薛穴泄｛又音｝屑｛又音｝						
j	⑦月樂約曰粵岳嶽躍閱悅鑰抈｛又音｝藥越業						
#əʔ							
p	⑦不卜弗｛同不｝						
pʰ	⑦僕樸扑撲卜｛又音｝瀑						
m	⑦木目睦沐穆沒｛西北音：~得｝						
f	⑦復複伏弗服福佛幅蝠匐馥拂縛｛新音｝						
t	⑦讀篤牘獨督瀆黷毒的｛領屬丨又｝						
tʰ	⑦突秃凸						
l	⑦鹿漉六｛東門以東｝綠｛東門以東｝						
k	⑦曷汲｛舊音：~奶｝箇｛1領屬：我~丨2數詞：一~｝						
x	⑦黑｛東門以東｝						
tʂ	⑦直值膣殖執蟄汁鷙｛番鴨也｝蛭職窒侄植織隻擲指｛~頭｝						
tʂʰ	⑦濕｛又音｝尺赤敕叱炙秩喫｛新音｝						
ʂ	⑦十食實失室石拾拭釋蝕識濕什麝式｛式｝飾适適						
ʐ	⑦日入						
#uəʔ							
t	⑦讀篤牘獨督瀆黷毒蜀｛大~山｝						
tʰ	⑦突秃						
l	⑦陸六禄勠碌氯綠錄						
k	⑦骨榖谷鶻啒嗗｛飲也｝						
kʰ	⑦哭酷窟堀						
x	⑦忽笏惚斛𣝗｛果核｝						
ts	⑦足卒𡎺｛塞也｝						
tsʰ	⑦族簇猝蹴促卒｛急~｝						
s	⑦縮宿｛東門以東丨~舍｝速｛東門以東｝粟肅｛東門以東｝夙蓿簌窣續｛東門以東｝殐俗｛東門以東｝						
tʂ	⑦竹竺妯祝喌逐軸筑燭粥茁觸蜀｛又音｝						
tʂʰ	⑦出齣俶㤕怵黜畜｛~牲｝搐矗慉成鼠｛俗丨促化｝						
ʂ	⑦熟塾孰叔倏菽蜀属束术沭｛地名丨~陽｝贖						
ʐ	⑦入｛又音｝褥辱肉						
	⑦兀物勿屋						
#iəʔ							
p	⑦逼筆必畢弼潷愎碧壁煏荸｛文讀｝璧佖妼滭馝苾						
pʰ	⑦匹劈僻霹辟						
m	⑦䤉覓密蜜冪汨宓						
t	⑦敵扚笛狄翟的滴嫡適｛都歷切丨此也｝						
tʰ	⑦踢倜剔惕						
ȵ	⑦立栗力曆歷粒瀝笠荔礫罹溺逆匿昵暱溧戾						
tɕ	⑦吃｛~子｝集楫即寂嫉稷給｛舊音｝戟瘠及吉極卽擊暨跡籍｛國~｝積績激疾脊汲棘亟鯽𣳃｛水濺也｝						
tɕʰ	⑦七喫｛今訛為「吃」｝漆乞戚泣契｛~丹｝隙沏葺輯膝｛又音｝						
ɕ	⑦吸習席息熄錫䦧惜昔夕媳膝悉蟋蜥析晰隰歙翕隙｛又音｝婿｛促化｝						
j	⑦液｛又音｝掖｛又音｝腋｛又音｝一壹益乙逸軼佚溢亦繹弈奕譯驛易｛交~｝翊翌翼弋邑揖熠岌煜						
#yəʔ							
ȵ	⑦律率｛圓周~｝						
tɕ	⑦掬鞠局菊橘掘						
tɕʰ	⑦曲蛐屈鞠｛姓｝麯						
ɕ	⑦旭宿速｛又｝續蓄畜｛~養｝肅俗						
j	⑦抈疫玉｛舊音｝育毓昱郁鬱彧獄欲浴役域峪						
#oʔ							
l	⑦絡｛新音｝洛｛新音｝						
#ioʔ							
j	⑦躍｛活~｝育｛教~｝						
