#来源：湖南省宜章县栗源镇土话语音研究，作者：王颖，湖南师范大学硕士论文，2018年6月，导师：罗昕如 教授			
#转录者：DaiDzao			
IPA	調號	調值	單字
ʨʰin	2	41	寻沉琴秦陈尘勤芹乘丞成情□[瓦罐]
ʨʰin	3	55	寝逞
ʨʰin	5	22	趁-称净
ȵin	2	41	人-银-
ȵin	3	55	忍
ȵin	5	22	认
ɕin	1	35	心深辛新身欣肾性
ɕin	2	41	晨神形行
ɕin	3	55	省[反~]
ɕin	5	22	信兴畻
Øin	1	35	音阴因英
Øin	2	41	银=营=
Øin	3	55	引颖映
Øin	5	22	应任印
ʦuen	1	35	尊遵
ʦʰuen	1	35	村寸
ʦʰuen	2	41	存
suen	1	35	孙
suen	3	55	损笋
kuen	3	55	滚
kuen	5	22	棍
kʰuen	1	35	昆=崑倱
kʰuen	3	55	捆
xuen	1	35	婚晕[头~]
xuen	2	41	魂横=[~竖]
xuen	5	22	困
Øuen	1	35	温瘟
Øuen	2	41	炆文蚊=纹
Øuen	3	55	稳
Øuen	5	22	问
ʨyn	1	35	军
ʨyn	3	55	准
ʨʰyn	1	35	春
ʨʰyn	2	41	裙
ʨʰyn	3	55	蠢菌
ɕyn	1	35	熏動顺
ɕyn	2	41	醇循巡
ɕyn	5	22	剩训
Øyn	1	35	晕[~车]孕
Øyn	2	41	匀云
Øyn	3	55	允
Øyn	5	22	运
paŋ	1	35	帮
paŋ	3	55	榜绑
paŋ	5	22	□[~例:藏起来]
pʰaŋ	1	35	胖[肿~哩:很肿]鳑[~脑:一种头比较大的鱼]
pʰaŋ	2	41	螃
pʰaŋ	3	55	乓
pʰaŋ	5	22	旁胖
maŋ	1	35	望-
maŋ	2	41	忙芒□[~槌:棒槌]
maŋ	3	55	莽蟒
faŋ	1	35	方
faŋ	2	41	房防
faŋ	3	55	纺访
faŋ	5	22	放
taŋ	1	35	当[担任]
taŋ	3	55	挡党档
taŋ	5	22	当[比得上]
tʰaŋ	1	35	汤
