# Ideographic Description Sequences (IDS) for BabelStone Han PUA
# URL: https://babelstone.co.uk/CJK/IDS_PUA.TXT
# Font: https://www.babelstone.co.uk/Fonts/PUA.html
# Version 1.428 (2024-06-19)
#
U+E080		^⿰斑鳥$
U+E77E		^⿰釒歸$
U+E77F		^⿰音歸$
U+E780		^⿰口蔭$
U+E781		^⿰口毁$
U+E782		^⿰扌迎$
U+E783		^⿱𥫗石$
U+E784		^⿰口輝$
U+E785		^⿰口粲$
U+E786		^⿰口薑$
U+E787		^⿸尸瓦$
U+E788		^⿰口勘$
U+E789		^⿰亻看$
U+E78A		^⿰石又$
U+E78B		^⿱廿叩$
U+E78C		^⿱艹⿸厂生$
U+E78D		^⿱仝心$
U+E78E		^⿵門丅$
U+E78F		^⿸厂史$
U+E790		^⿱⿳亠丷冖义$
U+E791		^⿱次义$
U+E792		^⿱？及$
U+E793		^⿱次及$
U+E794		^⿴囗示$
U+E797		^⿰土窊$
U+E798		^⿱雨⿺鬼☰$
U+E799		^⿱雨⿺鬼☱$
U+E79A		^⿱雨⿺鬼☲$
U+E79B		^⿱雨⿺鬼☳$
U+E79C		^⿱雨⿺鬼☴$
U+E79D		^⿱雨⿺鬼☵$
U+E79E		^⿱雨⿺鬼☶$
U+E79F		^⿱雨⿺鬼☷$
U+E7A0		^⿺鬼金$
U+E7A1		^⿺鬼水$
U+E7A2		^⿺鬼土$
U+E7A3		^⿺鬼吉$
U+E7A4		^⿺鬼内$
U+E7A5		^⿰石畢$
U+E7A6		^⿰扌阖$
U+E7A7		^⿺毛八$
U+E7A8		^⿰山施$
U+E7A9		^⿱不贵$
U+E7AA		^⿱不貴$
U+E7AB		^⿵門上$
U+E7AC		^⿰⿰㇇丨㇯曲一$
U+E7AD		^⿰木侌$
U+E7AE		^⿰魚党$
U+E7AF		^⿱則虫$
U+E7B0		^⿰口兢$
U+E7B1		^⿰口⿵冂⿱𠃍一$
U+E7B2		^⿰口偯$
U+E7B3		^⿰礻舁$
U+E7B4		^⿰礻署$
U+E7B5		^⿰礻月$
U+E7B6		^⿰麦㐱$
U+E7B7		^⿰礻⿱典言$
U+E7B8		^⿱里⿰里里$
U+E7B9		^⿱莫⿰莫莫$
U+E7BA		^⿺龍角$
U+E7BB		^⿺龍勇$
U+E7BC		^⿺龍弗$
U+E7BD		^⿺龍飛$
U+E7BE		^⿺龍奐$
U+E7BF		^⿰飠憂$
U+E7C0		^⿰飠朗$
U+E7C1		^⿰飠明$
U+E7C2		^⿰飠谷$
U+E7C3		^⿰飠亦$
U+E7C4		^⿰飠赤$
U+E7C5		^⿸疒𩉂$
U+E7C6		^⿰禾𢨯$
U+E7C7		^⿱艹衆$
U+E7C8		^⿰馬占$
U+E7C9		^⿰𤣩品$
U+E7CA		^⿰車丘$
U+E7CB		^⿱艹𣧃$
U+E7CC		^⿰咠頁$
U+E7CD		^⿰木窟$
U+E7CE		^⿸屵吕$
U+E7CF		^⿰𦰩夾$
U+E7D0		^⿵𠘨⿱𠘧𠘧$
U+E7D1		^⿰釒䓒$
U+E7D2		^⿺辶欵$
U+E7D3		^⿺麥頁$
U+E7D4		^⿱𥫗𫄻$
U+E7D5		^⿰口俾$
U+E7D6		^⿰口穵$
U+E7D7		^⿸片丶$
U+E7D8		^⿱穴作$
U+E7D9		^⿰糹亨$
U+E7DA		^⿰口䧞$
U+E7DB		^⿰⿱叕木刂$
U+E7DC		^⿰口帑$
U+E7DD		^⿰口陒$
U+EE7DE		^⿰口默$
U+EE7DF		^⿰口經$
U+EE7E0		^⿰口弁$
U+EE7E1		^⿰口釐$
U+E7E2		^⿰口⿸广些$
U+E7E3		^⿰口⿱？𠮷$
U+EE7E4		^⿰口淋$
U+EE7E5		^⿱艹牌$
U+EE7E6		^⿰口璞$
U+EE7E7		^⿰口盛$
U+EE7E8		^⿰口福$
U+EE7E9		^⿰口顧$
U+EE7EA		^⿰口畧$
U+E7EB		^⿰牜業$
U+E7EC		^⿸厂畐$
U+E7ED		^⿰魚隼$
U+E7EE		^⿰享⿳一䒑几$
U+EE7EF		^⿰口杏$
U+EE7F0		^⿰口泰$
U+E7F1		^⿰马犬$
U+E7F2		^⿱山皮$
U+EE7F3		^⿰口勷$
U+E7F4		^⿱山伏$
U+E7F5		^⿱牛田$
U+E7F6		^⿱山地$
U+E7F7		^⿵門兀$
U+E7F8		^⿰阝弄$
U+E7F9		^⿱甪土$
U+E7FA		^⿱㐌土$
U+E7FB		^⿰馬羅$
U+E7FC		^⿰羊𭥐$
U+E7FD		^⿰窟鳥$
U+E7FE		^⿰克鳥$
U+E7FF		^⿺鼠革$
U+E800		^⿰鱼友$
U+E801		^⿰鱼今$
U+E802		^⿰鱼公$
U+E803		^⿰鱼勿$
U+E804		^⿰鱼产$
U+E805		^⿰鱼历$
U+E806		^⿰鱼力$
U+E807		^⿰鱼户$
U+E808		^⿰鱼若$
U+E809		^⿰鱼辟$
U+E80A		^⿰鱼定$
U+E80B		^⿰鱼卖$
U+E80C		^⿰鱼子$
U+E80D		^⿰魚匡$
U+E80E		^⿰鱼匡$
U+E80F		^⿰鱼光$
U+E810		^⿰鱼每$
U+E811		^⿰鱼舌$
U+E812		^⿰魚厚$
U+E813		^⿰鱼厚$
U+E814		^⿰鱼巨$
U+E815		^⿰鱼尔$
U+E816		^⿰鱼带$
U+E817		^⿰鱼常$
U+E818		^⿰鱼迪$
U+E819		^⿰魚迪$
U+E81A		^⿰鱼攸$
U+E81B		^⿰鱼厉$
U+E81C		^⿰鱼资$
U+E81D		^⿰鱼苍$
U+E81E		^⿰鱼文$
U+E81F		^⿰鱼建$
U+E820		^⿰鱼孛$
U+E821		^⿰鱼唐$
U+E822		^⿰鱼区$
U+E823		^⿰虫爱$
U+E824		^⿰卤仓$
U+E825		^⿱𥫗寨$
U+E826		^⿰舟答$
U+E827		^⿰饣㐱$
U+E828		^⿰亻览$
U+E829		^⿰齿困$
U+E82A		^⿰米资$
U+E82B		^⿰纟孚$
U+E82C		^⿰火畀$
U+E82D		^⿰土窕$
U+E82E		^⿰魚聖$
U+E82F		^⿰魚遂$
U+E830		^⿰魚亥$
U+E831		^⿰魚冓$
U+E832		^⿰魚芳$
U+E833		^⿰魚秦$
U+E834		^⿰魚爽$
U+E835		^⿰魚脩$
U+E836		^⿰魚菊$
U+E837		^⿰魚贊$
U+E838		^⿰魚賞$
U+E839		^⿰魚梭$
U+E83A		^⿰魚育$
U+E83B		^⿰卜鸟$
U+E83C		^⿰亻讨$
U+E83D		^⿰亻闲$
U+E83E		^⿰山乌$
U+E83F		^⿱山顶$
U+E840		^⿵门当$
U+E841		^⿰彳责$
U+E842		^⿰多贵$
U+E843		^⿸广佥$
U+E844		^⿰子牙$
U+E845		^⿰纟金$
U+E846		^⿰身烏$
U+E847		^⿰月索$
U+E848		^⿰钅奥$
U+E849		^⿰马列$
U+E84A		^⿰马蜀$
U+E84B		^⿰乐鸟$
U+E84C		^⿰饣瓜$
U+E84D		^⿰饣甲$
U+E84E		^⿱𪢴土$
U+E84F		^⿰土奎$
U+E850		^⿱⿰𰁜𰁜土$
U+E851		^⿸广未$
U+E852		^⿰扌川$
U+E853		^⿰月全$
U+E854		^⿰氵碧$
U+E855		^⿰𤣩㒸$
U+E856		^⿰𤣩焱$
U+E857		^⿰石夋$
U+E858		^⿰石萑$
U+E859		^⿰米丸$
U+E85A		^⿰月苗$
U+E85B		^⿱艹毓$
U+E85C		^⿱艹𧪍$
U+E85D		^⿰訁奐$
U+E85E		^⿰音台$
U+E85F		^⿰飠容$
U+E860		^⿴〇乙$
U+E861		^⿴〇子$
U+E862		^⿴〇九$
U+E863		^⿴〇内$
U+E865		^⿱自夲$
U+E867		^⿱𠔿卓$
U+E869		^⿱？几$
U+E86E		^⿰𰡮力$
U+E86F		^⿱吅厂$
U+E871		^⿷匚佥$
U+E872		^丬啬$
U+E873		^⿱刀寸$
U+E874		^⿰彳𰡮$
U+E875		^⿱？友$
U+E876		^⿸？心$
U+E879		^⿱将木$
U+E87E		^⿰氵⿸？心$
U+E880		^⿰犭𡨴$
U+E881		^⿸疒节$
U+E882		^⿸疒邕$
U+E883		^⿰糹韦$
U+E884		^⿰糹𪺮$
U+E885		^⿰糹𠬤$
U+E886		^⿰糹宾$
U+E887		^⿰糹卖$
U+E888		^⿰月坣$
U+E889		^⿸？月$
U+E88A		^⿰⿰丨丿⿱𠂉品$
U+E88C		^⿱艹𰡮$
U+E88D		^⿸？力$
U+E88E		^⿰訁仑$
U+E88F		^⿰訁风$
U+E890		^⿰訁韦$
U+E891		^⿰訁刍$
U+E892		^⿰訁卖$
U+E893		^⿱⿲丨丨又豆$
U+E894		^⿰貝卖$
U+E895		^⿰車仑$
U+E897		^⿺辶𰡮$
U+E899		^⿰釒冈$
U+E89A		^⿰釒产$
U+E89B		^⿰釒聂$
U+E89C		^⿰𰡮頁$
U+E89E		^⿰馬𠬤$
U+E89F		^⿵鬥九$
U+E8A0		^㇯侯亻$
U+E8A1		^⿰马尺$
U+E8A2		^⿱䇂口$
U+E8A3		^⿰纟式$
U+E8A4		^⿱佢木$
U+E8A5		^⿸疒东$
U+E8A6		^⿰米⿴囗夂$
U+E8A7		^⿰口虏$
U+E8A8		^⿰犭拉$
U+E8A9		^⿰革千$
U+E8AA		^⿰犭草$
U+E8AB		^⿰火胁$
U+E8AC		^⿰虫𰷞$
U+E8AD		^⿰䑣见$
U+E8AE		^⿱从食$
U+E8AF		^⿳⿴𦥑同冖月$
U+E8B0		^⿰𠧴见$
U+E8B1		^⿰钅冠$
U+E8B2		^⿰饣考$
U+E8B3		^⿰饣老$
U+E8B4		^⿸疒带$
U+E8B5		^⿰纟梢$
U+E8B6		^⿰口榃$
U+E8B7		^⿰虚元$
U+E8B8		^⿰乔元$
U+E8B9		^⿰日舂$
U+E8BA		^⿰钅隺$
U+E8BB		^⿰侯页$
U+E8BC		^⿰曷页$
U+E8BD		^⿸疒𠫼$
U+E8BE		^⿰齿其$
U+E8BF		^⿰虫聂$
U+E8C0		^⿸疒𱶌$
U+E8C1		^⿵鬥宾$
U+E8C2		^⿰粜蚤$
U+E8C4		^⿰飠考$
U+E8C7		^⿰戾支$
U+E8C8		^⿰目⿱⿻王冖𰤷$
U+E8C9		^⿰𧾷𠪨$
U+E8CA		^⿺𣆨𮧓$
U+E8CB		^⿺𣆨⿱⿻王⿰丿乛𰤷$
U+E8CC		^⿰目买$
U+E8CE		^⿰目单$
U+E8CF		^⿰口页$
U+E8D0		^⿱四十$
U+E8D1		^⿱五十$
U+E8D2		^⿱六十$
U+E8D3		^⿱七十$
U+E8D5		^⿰岂犬$
U+E8D6		^⿰口岳$
U+E8D7		^⿰马念$
U+E8D8		^⿱士𧹒$
U+E8D9		^⿰米⿱成肉$
U+E8DB		^⿰月察$
U+E8DD		^⿰口歴$
U+E8DE		^⿱艹嫖$
U+E8DF		^⿰釒帮$
U+E8E0		^⿰虫叔$
U+E8E1		^⿰口恣$
U+E8E2		^⿰奈隶$
U+E8E3		^⿰石连$
U+E8E4		^⿱㓝田$
U+E8E6		^⿲口亻糸$
U+E8E8		^⿰𧾷呙$
U+E8EB		^⿰口怕$
U+E8EC		^⿰口逻$
U+E8ED		^⿵门尔$
U+E8EE		^⿰厓鸟$
U+E8EF		^⿰钅牢$
U+E8F0		^⿰土坚$
U+E8F1		^⿱艹梦$
U+E8F2		^⿰目盖$
U+E8F3		^⿱𰃮土$
U+E8F4		^⿰口铎$
U+E8F5		^⿰口猛$
U+E8F6		^⿰口劣$
U+E8F7		^⿰目迎$
U+E8FB		^⿰𠂎己$
U+E8FC		^⿰魚来$
U+E8FD		^⿴囗君$
U+E8FE		^⿳穴士𧹒$
U+E8FF		^⿰钅掌$
U+E900		^⿰口爷$
U+E901		^⿰衤寿$
U+E903		^⿸尸𤼭$
U+E905		^⿰爿臿$
U+E906		^⿺走颠$
U+E907		^⿰火⿱龹马$
U+E908		^⿸广夫$
U+E90A		^⿰木烹$
U+E90B		^⿰𧾷忝$
U+E90C		^⿰𧾷點$
U+E90D		^⿰虘支$
U+E90E		^⿰月扒$
U+E90F		^⿰月枕$
U+E910		^⿰扌坎$
U+E911		^⿰𫥎刂$
U+E912		^⿰氵⿱穴𢀛$
U+E913		^⿰纟咅$
U+E914		^⿰丽見$
U+E915		^⿱折手$
U+E916		^⿰氵⿴囗𠅇$
U+E917		^⿰口揖$
U+E918		^⿰土⿱㓁林$
U+E919		^⿱囚？$
U+E91A		^⿱㐫冏$
U+E91B		^⿰镸重$
U+E91F		^⿰当瓦$
U+E920		^⿱句黾$
U+E921		^⿲讠言言$
U+E922		^⿰𧾷岚$
U+E923		^⿱不风$
U+E924		^⿰亻𮧯$
U+E925		^⿰𮧯舀$
U+E926		^⿱啟月$
U+E927		^⿰纟施$
U+E928		^⿱大䖵$
U+E929		^⿰钅昴$
U+E92A		^⿰釒昴$
U+E92B		^⿰自坐$
U+E92C		^⿰自力$
U+E92D		^⿱龸石$
U+E92E		^⿰氵⿸厂⿰屰刂$
U+E932		^⿱㓁幕$
U+E933		^⿲糹耳少$
U+E934		^⿰扌⿱𰀢見$
U+E935		^⿰氵厯$
U+E936		^⿰口厯$
U+E937		^⿸疒厯$
U+E938		^⿱雨厯$
U+E939		^⿰釒𫠣$
U+E93B		^⿻刀乀$
U+E93C		^⿸？⿱田皿$
U+E93D		^⿰⿱爫冊乚$
U+E941		^⿵門𪛉$
U+E943		^⿱𥫗𫔮$
U+E944		^⿰訁⿱𠫓冉$
U+E945		^⿳一八⿰丿⿰丨丨㇂$
U+E946		^⿳⿱千一𠠴千$
U+E948		^⿱冖？$
U+E94A		^⿱雨业$
U+E94B		^⿱丿⿸中丶$
U+E94E		^⿰骨⿳丿罒水$
U+E956		^⿸尸丛$
U+E95F		^⿰耆页$
U+E960		^⿺乙當$
U+E962		^⿰亻闌$
U+E96B		^⿱山宕$
U+E96D		^⿰𧾷禀$
U+E96F		^⿱艹堡$
U+E970		^⿰口⿸虍命$
U+E971		^⿰亻⿱𠤎天$
U+E972		^⿰口⿸虍令$
U+E973		^⿱天本$
U+E974		^⿴囗旡$
U+E975		^⿱大亨$
U+E976		^⿸尸元$
U+E977		^⿰身真$
U+E978		^⿱天卩$
U+E979		^⿰君⿱玄火$
U+E97A		^⿰氵⿱屯火$
U+E97B		^⿴囗神$
U+E97C		^⿱入塵$
U+E97D		^⿱罒⿰肖光$
U+E97E		^⿰月窗$
U+E97F		^⿱幻京$
U+E980		^⿰虚覺$
U+E981		^⿰生妄$
U+E983		^⿱朋寂$
U+E984		^⿱地元$
U+E985		^⿰亻𡥘$
U+E986		^⿰木⿳金⿰水火土$
U+E988		^⿱三⿰三三$
U+E989		^⿱⿲男男男女$
U+E98A		^⿱無⿰無無$
U+E98B		^⿰正真$
U+E98C		^⿳䀠冖叔$
U+E98D		^⿰木⿳金⿰水土土$
U+E98E		^⿰春春$
U+E98F		^⿱春⿰春春$
U+E990		^⿰花花$
U+E991		^⿱花⿰花花$
U+E992		^⿰雷雷$
U+E993		^⿰雨雨$
U+E994		^⿱雨⿰雨雨$
U+E996		^⿰扌⿱因皿$
U+E997		^⿰虫釆$
U+E998		^⿰扌⿱罒维$
U+E999		^⿲扌至⿺支丶$
U+E99A		^⿰月⿱目一$
U+E99B		^⿳日八寸$
U+E99C		^⿱利今$
U+E99E		^⿰丰戈$
U+E9A0		^⿰氵崗$
U+E9A1		^⿰氵岗$
U+E9A2		^⿰氵三$
U+E9A3		^⿰氵年$
U+E9A4		^⿺毛少$
U+E9A5		^⿱入下$
U+E9A6		^⿳丿由一$
U+E9A7		^⿰衤习$
U+E9A8		^⿰讠夸$
U+E9A9		^⿰丰阝$
U+E9AA		^⿱戈兀$
U+E9AE		^⿳𠚊八夂$
U+E9AF		^⿰扌𢦣$
U+E9B0		^⿰口⿳艹⿴北白又$
U+E9B1		^⿰米卜$
U+E9B2		^⿰口徑$
U+E9B3		^⿰鞷成$
U+E9B4		^⿰豸修$
U+E9B5		^⿰犭㞪$
U+E9B6		^⿰火對$
U+E9B7		^⿱雨配$
U+E9B8		^⿱雨醜$
U+E9B9		^⿰𤣩符$
U+E9BA		^⿰𤣩更$
U+E9BB		^⿱雨轟$
U+E9BC		^⿰口妲$
U+E9BD		^⿰荅瓜$
U+E9BE		^⿰口蔚$
U+E9BF		^⿰口筇$
U+E9C0		^⿰口夕$
U+E9C1		^⿰氵虚$
U+E9C2		^⿺鬼童$
U+E9C3		^⿺風童$
U+E9C4		^⿰口鳩$
U+E9C5		^⿺鬼宗$
U+E9C6		^⿺鬼利$
U+E9C7		^⿺鬼罡$
U+E9C8		^⿰車亨$
U+E9C9		^⿰車利$
U+E9CA		^⿰車盈$
U+E9CB		^⿰車掌$
U+E9CC		^⿰車雚$
U+E9CD		^⿰車居$
U+E9CE		^⿰車夐$
U+E9CF		^⿰車日$
U+E9D0		^⿰車昊$
U+E9D1		^⿰車紫$
U+E9D2		^⿰車弼$
U+E9D3		^⿰車晨$
U+E9D4		^⿰車梵$
U+E9D5		^⿰車桼$
U+E9D6		^⿰車泰$
U+E9D7		^⿰車⿱𡗜⺗$
U+E9D8		^⿰車奉$
U+E9D9		^⿰車絡$
U+E9DA		^⿰車洛$
U+E9DB		^⿰車若$
U+E9DC		^⿰車扶$
U+E9DD		^⿰車弜$
U+E9DE		^⿰車弓$
U+E9DF		^⿰車天$
U+E9E0		^⿰車一$
U+E9E1		^⿰車位$
U+E9E2		^⿰車三$
U+E9E3		^⿺辶曾$
U+E9E4		^⿰車啻$
U+E9E5		^⿰車玄$
U+E9E6		^⿰車明$
U+E9E7		^⿰車府$
U+E9E8		^⿰車耽$
U+E9E9		^⿰車觜$
U+E9EA		^⿰車遣$
U+E9EB		^⿰車斗$
U+E9EC		^⿰車傳$
U+E9ED		^⿰車是$
U+E9EE		^⿰車名$
U+E9EF		^⿰口冀$
U+E9F0		^⿰口祥$
U+E9F1		^⿰口忠$
U+E9F2		^⿰口樹$
U+E9F3		^⿰口判$
U+E9F4		^⿺鬼多$
U+E9F5		^⿰口𦎌$
U+E9F6		^⿰口柰$
U+E9F7		^⿰口宸$
U+E9F8		^⿰釒梓$
U+E9F9		^⿺鬼通$
U+E9FA		^⿰車奪$
U+E9FB		^⿰車牙$
U+E9FC		^⿰車眇$
U+E9FD		^⿰車敵$
U+E9FE		^⿰車⿱日旬$
U+E9FF		^⿰車充$
U+EA00		^⿰車荀$
U+EA01		^⿺鬼众$
U+EA02		^⿰⿳一品幸烕$
U+EA03		^⿴囗⿱八鬼$
U+EA04		^⿰口曇$
U+EA05		^⿰口鑑$
U+EA06		^⿰口覆$
U+EA07		^⿰口聞$
U+EA08		^⿰口閔$
U+EA09		^⿰口品$
U+EA0A		^⿰口神$
U+EA0B		^⿰文粦$
U+EA0C		^⿰口陽$
U+EA0D		^⿰口勑$
U+EA0E		^⿰口匪$
U+EA0F		^⿺鬼善$
U+EA10		^⿺鬼玄$
U+EA11		^⿺鬼地$
U+EA12		^⿺鬼雷$
U+EA13		^⿳艹⿴北白八夊$
U+EA14		^⿰口徧$
U+EA15		^⿰口⿺鬼文$
U+EA16		^⿰口魁$
U+EA17		^⿰口栢$
U+EA18		^⿰口遊$
U+EA19		^⿱拾進$
U+EA1A		^⿱入扣$
U+EA1B		^⿰口𮇄$
U+EA1C		^⿰米吾$
U+EA1D		^⿱欣锦$
U+EA1E		^⿱上肯$
U+EA1F		^⿰多⿸广耒$
U+EA20		^⿰⿱木木頁$
U+EA21		^⿰多拉$
U+EA22		^⿱氐下$
U+EA23		^⿱辣根$
U+EA24		^⿰亻𱽗$
U+EA25		^⿰何雷$
U+EA26		^⿱何雷$
U+EA27		^⿰亻勒$
U+EA28		^⿱力女$
U+EA29		^⿸广杉$
U+EA2A		^⿰馬入$
U+EA2B		^⿸麻来$
U+EA2C		^⿰未有$
U+EA2D		^⿱天法$
U+EA2E		^⿱天玄$
U+EA2F		^⿰鱼郎$
U+EA30		^⿰饣莽$
U+EA31		^⿰奔尺$
U+EA32		^⿱天把$
U+EA33		^⿱天卉$
U+EA34		^⿰弓米$
U+EA35		^⿱枚有$
U+EA36		^⿱口名$
U+EA37		^⿰亻⿱口名$
U+EA38		^⿰亻黎$
U+EA39		^⿰身包$
U+EA3A		^⿰内多$
U+EA3B		^⿰多内$
U+EA3C		^⿰登内$
U+EA3D		^⿰口黏$
U+EA3E		^⿰登中$
U+EA3F		^⿺礼好$
U+EA40		^⿱好尼$
U+EA41		^⿰月天$
U+EA42		^⿱山鬱$
U+EA43		^⿱山欝$
U+EA44		^⿱暖月$
U+EA45		^⿰月海$
U+EA46		^⿰月鵉$
U+EA47		^⿱日魂$
U+EA48		^⿰出屋$
U+EA49		^⿱北嘜$
U+EA4A		^⿰牙找$
U+EA4B		^⿰子寻$
U+EA4C		^⿱納压$
U+EA4D		^⿺見壬$
U+EA4E		^⿺见人$
U+EA4F		^⿰吞見$
U+EA50		^⿺見吝$
U+EA51		^⿰看吞$
U+EA52		^⿸户鵉$
U+EA53		^⿰岁下$
U+EA54		^⿱隆下$
U+EA55		^⿱古灬$
U+EA56		^⿰忄茖$
U+EA57		^⿸尸⿱亠旦$
U+EA58		^⿰土厪$
U+EA59		^⿱知又$
U+EA5A		^⿰犭不$
U+EA5B		^⿰犭褱$
U+EA5C		^⿰犭怀$
U+EA5D		^⿰外牛$
U+EA5E		^⿱外牛$
U+EA5F		^⿰犭坏$
U+EA60		^⿺文人$
U+EA61		^⿱幼在$
U+EA62		^⿰在于$
U+EA63		^⿵門盛$
U+EA64		^⿰又留$
U+EA65		^⿰扌𩾒$
U+EA66		^⿱䜌米$
U+EA67		^⿰魚乜$
U+EA68		^⿰忄㬎$
U+EA69		^⿰魚㬎$
U+EA6A		^⿺辶約$
U+EA6B		^⿰又住$
U+EA6C		^⿰忄𱽗$
U+EA6D		^⿱山𥝲$
U+EA6E		^⿰訁𥅍$
U+EA6F		^⿰女𱽗$
U+EA70		^⿰口畀$
U+EA71		^⿱𥫗囿$
U+EA72		^⿰𧾷蔗$
U+EA73		^⿰龵夸$
U+EA74		^⿴囗峦$
U+EA75		^⿰扌阶$
U+EA76		^⿰女另$
U+EA77		^⿱判鸟$
U+EA78		^⿰火毒$
U+EA79		^⿰木咩$
U+EA7A		^⿰舟露$
U+EA7B		^⿰犭秋$
U+EA7C		^⿰糹朿$
U+EA7D		^⿰鳥水$
U+EA7E		^⿰𧾷耕$
U+EA7F		^⿰吞见$
U+EA80		^⿳䀠炏系$
U+EA81		^⿱䀠縈$
U+EA82		^⿰馬敬$
U+EA83		^⿺辶⿱止㚔$
U+EA84		^⿺𠃊⿳厶一厶$
U+EA85		^⿸虘心$
U+EA86		^⿳⺊日又$
U+EA87		^⿰火燚$
U+EA88		^⿰火⿱⿱⺈⿹𠃌一⿱⺈⿹𠃌一$
U+EA89		^⿰火⿱戈天$
U+EA8A		^⿰火⿱㕕心$
U+EA8B		^⿰木⿵冂⿳一口二$
U+EA8C		^⿰⿳田二火龠$
U+EA8D		^⿰火骨$
U+EA8E		^⿰火币$
U+EA8F		^⿰木昇$
U+EA90		^⿰口邪$
U+EA91		^⿰口妟$
U+EA92		^⿰口盼$
U+EA93		^⿰口范$
U+EA94		^⿰口埔$
U+EA95		^⿰口聃$
U+EA96		^⿰口陸$
U+EA97		^⿰口鼎$
U+EA98		^⿰口渣$
U+EA99		^⿰口煲$
U+EA9A		^⿰口瑪$
U+EA9B		^⿰口夥$
U+EA9C		^⿰口蔴$
U+EA9D		^⿰口翰$
U+EA9E		^⿰口謝$
U+EA9F		^⿰口糜$
U+EAA0		^⿰口孻$
U+EAA1		^⿰口彎$
U+EAA2		^⿰氵⿵門⿱土必$
U+EAA3		^⿰𤀤殳$
U+EAA4		^⿰石宾$
U+EAA5		^⿰日疑$
U+EAA6		^⿰訁⿱𠇍貝$
U+EAA7		^⿰氵詞$
U+EAA8		^⿰氵鑒$
U+EAA9		^⿱山龠$
U+EAAA		^⿱六土$
U+EAAB		^⿰氵宷$
U+EAAC		^⿱封山$
U+EAAD		^⿰車叅$
U+EAAE		^⿰方爯$
U+EAAF		^⿰忄而$
U+EAB0		^⿰𤣩肴$
U+EAB1		^⿰日登$
U+EAB2		^⿱炏冏$
U+EAB3		^⿰田厈$
U+EAB4		^⿰田垂$
U+EAB5		^⿰籚力$
U+EAB6		^⿱𤇾冏$
U+EAB7		^⿰方⿳𠂉衣一$
U+EAB8		^⿱霝冉$
U+EAB9		^⿺更斗$
U+EABA		^⿰鳥秋$
U+EABB		^⿰鳥倉$
U+EABC		^⿰韋旱$
U+EABD		^⿰𦚏⿱巳言$
U+EABE		^⿰𧾷臯$
U+EABF		^⿰彳示$
U+EAC0		^⿰車旋$
U+EAC1		^⿳艹准几$
U+EAC2		^⿰魚敻$
U+EAC3		^⿱罒丕$
U+EAC4		^⿱自幸$
U+EAC5		^⿰米冓$
U+EAC6		^⿱此山$
U+EAC7		^⿰山梟$
U+EAC8		^⿰與阝$
U+EAC9		^⿵門朔$
U+EACB		^⿰衤⿸厂及$
U+EACD		^⿰釒朐$
U+EACE		^⿰小小$
U+EACF		^⿰寒寒$
U+EAD9		^⿸尸⿱皮肉$
U+EADD		^⿰氵⿱𱼀玍$
U+EADE		^⿰扌𣠵$
U+EAE0		^⿰貧成$
U+EAE1		^⿰平成$
U+EAE2		^⿱代死$
U+EAE3		^⿱分子$
U+EAE4		^⿱埋含$
U+EAE5		^⿺礼得$
U+EAE6		^⿰牙丫$
U+EAE7		^⿰虫笔$
U+EAE8		^⿰甲笔$
U+EAE9		^⿰日过$
U+EAEA		^⿰日荅$
U+EAEB		^⿲𠃛开𠁣$
U+EAEC		^⿱山龰$
U+EAED		^⿰高高$
U+EAEE		^⿱高⿰高高$
U+EAEF		^⿰口鬧$
U+EAF0		^⿱⿲月⿱䜌⿲長馬長戈心$
U+EAF1		^⿰月⿹⿱一戈⿳⿲幺⿱二口幺⿲長馬長心$
U+EAF2		^⿱⿰月⿹⿱一戈⿳⿲幺⿱二口幺⿲長馬長心灬$
U+EAF3		^⿰⿱日月⿹⿱一戈⿳⿲幺⿱二口幺⿲長馬長心$
U+EAF4		^㇯天乀$
U+EAF5		^㇯天丿$
U+EAF6		^⿰𤣩巳$
U+EAF7		^⿱罒丸$
U+EAF8		^⿰𡶩刂$
U+EAF9		^⿳日火山$
U+EAFA		^⿱卌卌$
U+EAFB		^⿼⿿匚十$
U+EAFC		^⿷匚十$
U+EB00		^⿰午前$
U+EB01		^⿰午后$
U+EB02		^⿰車气$
U+EB03		^⿰車電$
U+EB04		^⿰電𠬝$
U+EB05		^⿰舟气$
U+EB06		^⿰糹電$
U+EB07		^⿺電丁$
U+EB08		^⿺電卢$
U+EB09		^⿺電令$
U+EB0B		^⿺電羽$
U+EB0C		^⿺气油$
U+EB0D		^⿺气丁$
U+EB0E		^⿺气求$
U+EB0F		^⿺气水$
U+EB10		^⿰冫日$
U+EB11		^⿰日彡$
U+EB12		^⿰〥日$
U+EB13		^⿰〦日$
U+EB14		^⿺七日$
U+EB15		^⿰山回$
U+EB16		^⿰开久$
U+EB17		^⿰衤獸$
U+EB18		^⿱亠戀$
U+EB19		^⿰骨攵$
U+EB20		^⿱厶丨$
U+EB21		^⿰⿱丶乛亅$
U+EB22		^⿱号土$
U+EB23		^⿰土却$
U+EB24		^⿰土匪$
U+EB25		^⿰土效$
U+EB26		^⿱效土$
U+EB27		^⿰土匯$
U+EB28		^⿰土幹$
U+EB29		^⿰土奪$
U+EB2A		^⿰土⿱雨伯$
U+EB2B		^⿰大⿰丶小$
U+EB2C		^⿺兀睘$
U+EB2D		^⿰山㐫$
U+EB2E		^⿱山長$
U+EB2F		^⿱山便$
U+EB30		^⿱山洪$
