简体	声母	韵母	声调	注释	录者注	[1]⁵⁵[2]³¹[3]³⁵[4]²⁴[5]⁵²[6]²²[7]³²³[8]²¹²
念	ȵ	iɛ	[6]			
让	ȵ	iɛ	[6]	白读		
相	ɕ	iɛ	[1]	～信		
箱	ɕ	iɛ	[1]			
湘	ɕ	iɛ	[1]			
厢	ɕ	iɛ	[1]			
香	ɕ	iɛ	[1]			
乡	ɕ	iɛ	[1]			
商	ɕ	iɛ	[1]			
伤	ɕ	iɛ	[1]			
襄	ɕ	iɛ	[1]			
镶	ɕ	iɛ	[1]			
想	ɕ	iɛ	[3]			
享	ɕ	iɛ	[3]			
赏	ɕ	iɛ	[3]			
响	ɕ	iɛ	[3]			
鲞	ɕ	iɛ	[3]			
向	ɕ	iɛ	[5]			
相	ɕ	iɛ	[5]	照～		
羊	ɦ	iɛ	[2]			
洋	ɦ	iɛ	[2]			
详	ɦ	iɛ	[2]			
祥	ɦ	iɛ	[2]			
杨	ɦ	iɛ	[2]			
扬	ɦ	iɛ	[2]			
阳	ɦ	iɛ	[2]			
墙	ɦ	iɛ	[2]			
翔	ɦ	iɛ	[2]			
尚	ɦ	iɛ	[2]			
常	ɦ	iɛ	[2]			
尝	ɦ	iɛ	[2]			
偿	ɦ	iɛ	[2]			
降	ɦ	iɛ	[2]	投～		
痒	ɦ	iɛ	[4]			
象	ɦ	iɛ	[4]			
像	ɦ	iɛ	[4]			
橡	ɦ	iɛ	[4]			
上	ɦ	iɛ	[4]	动词		
样	ɦ	iɛ	[6]			
上	ɦ	iɛ	[6]			
匠	ɦ	iɛ	[6]			
壤	ɦ	iɛ	[6]			
让	ɦ	iɛ	[6]	文读		
央	ˀ	iɛ	[1]			
秧	ˀ	iɛ	[1]			
殃	ˀ	iɛ	[1]			
养	ˀ	iɛ	[3]			
杯	p	ai	[1]			
悲	p	ai	[1]			
碑	p	ai	[1]			
卑	p	ai	[1]			
背	p	ai	[1]	动词		
背	p	ai	[5]			
褶	p	ai	[5]			
贝	p	ai	[5]			
辈	p	ai	[5]			
坯	pʰ	ai	[1]	土～		
配	pʰ	ai	[5]			
沛	pʰ	ai	[5]			
赔	b	ai	[2]			
陪	b	ai	[2]			
培	b	ai	[2]			
倍	b	ai	[4]			
佩	b	ai	[6]			
背	b	ai	[6]	～书		
焙	b	ai	[6]			
灰	f	ai	[1]			
徽	f	ai	[1]			
贿	f	ai	[3]			
悔	f	ai	[5]	懊～		
晦	f	ai	[5]			
诲	f	ai	[5]			
回	v	ai	[2]			
桅	v	ai	[2]			
茴	v	ai	[2]			
蛔	v	ai	[2]			
溃	v	ai	[4]			
会	v	ai	[6]	开～		
会	v	ai	[6]	能干		
汇	v	ai	[6]			
绘	v	ai	[6]			
堆	t	ai	[1]			
对	t	ai	[5]			
推	t	ai	[1]			
腿	t	ai	[3]			
退	t	ai	[5]			
唾	t	ai	[5]	痰～		
队	d	ai	[2]			
兑	d	ai	[2]			
内	n	ai	[6]			
雷	l	ai	[2]			
擂	l	ai	[2]			
脶	l	ai	[2]	指纹		
累	l	ai	[4]			
儡	l	ai	[4]	傀～		
垒	l	ai	[4]			
泪	l	ai	[6]			
最	ts	ai	[5]			
醉	ts	ai	[5]	文读		
崔	tsʰ	ai	[1]			
催	tsʰ	ai	[1]			
摧	tsʰ	ai	[1]			
璀	tsʰ	ai	[1]			
脆	tsʰ	ai	[3]			
翠	tsʰ	ai	[5]			
衰	s	ai	[1]			
小	s	ai	[3]	白读	锁，碎也	
碎	s	ai	[3]			
罪	z	ai	[4]			
锐	z	ai	[6]			
睡	z	ai	[6]	文读		
归	k	ai	[1]			
个	k	ai	[5]			
会	k	ai	[5]	～计		
刽	k	ai	[5]			
亏	kʰ	ai	[1]			
盔	kʰ	ai	[1]			
魁	kʰ	ai	[1]			
恢	kʰ	ai	[1]			
块	kʰ	ai	[5]			
愧	kʰ	ai	[5]	又读		
魏	ŋ	ai	[6]			
巍	ŋ	ai	[6]			
饿	ŋ	ai	[6]	白读		
兜	t	au	[1]			
斗	t	au	[3]			
抖	t	au	[3]			
陡	t	au	[3]			
斗	t	au	[5]	～争		
偷	tʰ	au	[1]			
㪗	f	au	[3]	～开		
透	f	au	[5]			
投	d	au	[2]			
逗	d	au	[6]			
冇	n	au	[4]	没有		
楼	l	au	[2]			
缕	l	au	[4]			
篓	l	au	[4]			
漏	l	au	[6]			
陋	l	au	[6]			
邹	ts	au	[1]			
走	ts	au	[3]			
绉	ts	au	[5]			
皱	ts	au	[5]			
奏	ts	au	[5]			
凑	tsʰ	au	[5]			
骤	dz	au	[6]			
宙	dz	au	[6]			
搜	s	au	[1]			
馊	s	au	[1]			
飕	s	au	[1]			
叟	s	au	[3]			
瘦	s	au	[3]			
艘	s	au	[3]			
嗽	s	au	[5]	咳〜		
愁	z	au	[2]			
勾	k	au	[1]			
沟	k	au	[1]			
钩	k	au	[1]			
狗	k	au	[3]			
苟	k	au	[3]			
垢	k	au	[3]			
够	k	au	[5]			
构	k	au	[5]			
购	k	au	[5]			
媾	k	au	[5]			
箍	kʰ	au	[1]	～桶		
口	kʰ	au	[3]			
扣	kʰ	au	[5]			
寇	kʰ	au	[5]			
叩	kʰ	au	[5]			
厚	ɡ	au	[4]	白读		
牛	ŋ	au	[2]			
偶	ŋ	au	[4]			
藕	ŋ	au	[4]			
吼	h	au	[3]			
鲎	h	au	[5]	虹		
侯	ɦ	au	[2]			
猴	ɦ	au	[2]			
喉	ɦ	au	[2]			
后	ɦ	au	[4]			
厚	ɦ	au	[4]	文读		
候	ɦ	au	[6]			
欧	ˀ	au	[1]			
瓯	ˀ	au	[1]			
殴	ˀ	au	[1]			
呕	ˀ	au	[1]			
泌	ˀ	au	[1]			
纠	tɕ	iau	[1]			
鸠	tɕ	iau	[1]			
九	tɕ	iau	[3]			
久	tɕ	iau	[3]			
韭	tɕ	iau	[3]			
救	tɕ	iau	[5]			
究	tɕ	iau	[5]			
灸	tɕ	iau	[5]			
丘	tɕ	iau	[1]			
求	dʑ	iau	[2]			
球	dʑ	iau	[2]			
舅	dʑ	iau	[4]			
臼	dʑ	iau	[4]			
咎	dʑ	iau	[4]			
旧	dʑ	iau	[6]			
扭	ȵ	iau	[1]			
纽	ȵ	iau	[3]			
钮	ȵ	iau	[3]			
休	ɕ	iau	[1]			
朽	ɕ	iau	[3]			
嗅	ɕ	iau	[5]	～觉		
尤	ɦ	iau	[2]			
犹	ɦ	iau	[2]			
由	ɦ	iau	[2]			
油	ɦ	iau	[2]			
邮	ɦ	iau	[2]			
游	ɦ	iau	[2]			
有	ɦ	iau	[4]			
友	ɦ	iau	[4]			
又	ɦ	iau	[6]			
右	ɦ	iau	[6]			
佑	ɦ	iau	[6]			
祜	ɦ	iau	[6]			
柚	ɦ	iau	[6]			
釉	ɦ	iau	[6]			
优	ˀ	iau	[1]			
忧	ˀ	iau	[1]			
幼	ˀ	iau	[1]			
悠	ˀ	iau	[1]			
幽	ˀ	iau	[1]			
多	t	əu	[1]			
躲	t	əu	[3]			
拖	tʰ	əu	[1]			
妥	tʰ	əu	[3]			
秃	tʰ	əu	[5]			
驼	d	əu	[2]			
驮	d	əu	[2]			
徒	d	əu	[2]			
头	d	əu	[2]			
骰	d	əu	[2]	～子		
舵	d	əu	[4]			
惰	d	əu	[4]			
豆	d	əu	[6]			
痘	d	əu	[6]			
大	d	əu	[6]	白读		
独	d	əu	[8]			
毒	d	əu	[8]			
读	d	əu	[8]			
牍	d	əu	[8]			
奴	n	əu	[2]			
努	n	əu	[4]			
怒	n	əu	[6]			
流	l	əu	[2]			
硫	l	əu	[2]			
琉	l	əu	[2]			
留	l	əu	[2]			
榴	l	əu	[2]			
萝	l	əu	[2]			
罗	l	əu	[2]			
锣	l	əu	[2]			
刘	l	əu	[2]			
柳	l	əu	[4]			
鲁	l	əu	[4]			
陆	l	əu	[8]			
六	l	əu	[8]			
鹿	l	əu	[8]			
禄	l	əu	[8]			
周	ts	əu	[1]			
舟	ts	əu	[1]			
州	ts	əu	[1]			
洲	ts	əu	[1]			
酒	ts	əu	[3]			
帚	ts	əu	[3]			
肘	ts	əu	[3]			
左	ts	əu	[3]			
组	ts	əu	[3]			
阻	ts	əu	[3]			
昼	ts	əu	[5]			
做	ts	əu	[5]			
竹	ts	əu	[7]			
祝	ts	əu	[7]			
筑	ts	əu	[7]			
粥	ts	əu	[7]			
秋	tsʰ	əu	[1]			
抽	tsʰ	əu	[1]			
初	tsʰ	əu	[1]			
搓	tsʰ	əu	[1]			
丑	tsʰ	əu	[3]			
楚	tsʰ	əu	[3]			
础	tsʰ	əu	[3]			
臭	tsʰ	əu	[5]			
曲	tsʰ	əu	[7]	酒～		
畜	tsʰ	əu	[7]	～生		
促	tsʰ	əu	[7]			
绸	dz	əu	[2]			
稠	dz	əu	[2]			
筹	dz	əu	[2]			
酬	dz	əu	[2]			
售	dz	əu	[2]			
仇	dz	əu	[2]			
囚	dz	əu	[2]			
轴	dz	əu	[8]			
收	s	əu	[1]			
修	s	əu	[1]			
羞	s	əu	[1]			
梭	s	əu	[1]			
疏	s	əu	[1]			
靴	s	əu	[1]			
手	s	əu	[3]			
首	s	əu	[3]			
守	s	əu	[3]			
锁	s	əu	[3]			
琐	s	əu	[3]			
数	s	əu	[3]	动词		
兽	s	əu	[5]			
秀	s	əu	[5]			
绣	s	əu	[5]			
锈	s	əu	[5]			
素	s	əu	[5]			
数	s	əu	[5]	～目		
叔	s	əu	[7]			
速	s	əu	[7]			
宿	s	əu	[7]			
柔	z	əu	[2]			
揉	z	əu	[2]			
受	z	əu	[4]			
授	z	əu	[4]	～权		
寿	z	əu	[6]			
袖	z	əu	[6]			
就	z	əu	[6]	成～		
授	z	əu	[6]	敎～		
座	z	əu	[6]			
助	z	əu	[6]			
熟	z	əu	[8]			
辱	z	əu	[8]			
褥	z	əu	[8]			
族	z	əu	[8]			
淑	z	əu	[8]			
就	z	əu	[8]	〜是		
溜	l	iəu	[1]			
菊	tɕ	iəu	[7]			
肉	ȵ	iəu	[8]			
畜	ɕ	iəu	[7]	～牧		
蓄	ɕ	iəu	[7]			
育	ɦ	iəu	[8]			
奔	p	aŋ	[1]			
崩	p	aŋ	[1]			
本	p	aŋ	[3]			
喷	pʰ	aŋ	[1]			
坌	b	aŋ	[2]	灰尘起扬		
笨	b	aŋ	[6]			
门	m	aŋ	[2]			
蚊	m	aŋ	[2]	白读		
闷	m	aŋ	[6]			
问	m	aŋ	[6]	白读		
分	f	aŋ	[1]			
芬	f	aŋ	[1]			
纷	f	aŋ	[1]			
粉	f	aŋ	[3]			
奋	f	aŋ	[5]			
粪	f	aŋ	[5]			
文	v	aŋ	[2]			
坟	v	aŋ	[2]			
纹	v	aŋ	[2]			
蚊	v	aŋ	[2]	文读		
愤	v	aŋ	[4]			
忿	v	aŋ	[4]			
吻	v	aŋ	[4]			
刎	v	aŋ	[4]			
份	v	aŋ	[6]			
问	v	aŋ	[6]	文读		
闻	v	aŋ	[6]			
混	v	aŋ	[6]			
浑	v	aŋ	[6]			
登	t	aŋ	[1]			
灯	t	aŋ	[1]			
等	t	aŋ	[3]			
凳	t	aŋ	[5]			
顿	t	aŋ	[5]			
吨	t	aŋ	[5]			
瞪	tʰ	aŋ	[5]			
腾	d	aŋ	[2]			
滕	d	aŋ	[2]			
藤	d	aŋ	[2]			
誉	d	aŋ	[2]			
饨	d	aŋ	[2]	馄～		
断	d	aŋ	[4]	白读		
邓	d	aŋ	[6]			
能	n	aŋ	[2]			
人	n	aŋ	[2]	白读		
暧	n	aŋ	[4]	白读		
仑	l	aŋ	[2]			
伦	l	aŋ	[2]			
沦	l	aŋ	[2]			
轮	l	aŋ	[2]			
卵	l	aŋ	[4]			
真	ts	aŋ	[1]			
针	ts	aŋ	[1]			
珍	ts	aŋ	[1]			
诊	ts	aŋ	[1]			
增	ts	aŋ	[1]			
津	ts	aŋ	[1]			
曾	ts	aŋ	[1]	姓		
憎	ts	aŋ	[1]			
枕	ts	aŋ	[3]			
疹	ts	aŋ	[3]			
镇	ts	aŋ	[5]			
振	ts	aŋ	[5]			
震	ts	aŋ	[5]			
进	ts	aŋ	[5]			
晋	ts	aŋ	[5]			
浸	ts	aŋ	[5]			
亲	tsʰ	aŋ	[1]			
趁	tsʰ	aŋ	[5]			
乘	tsʰ	aŋ	[5]	～车		
衬	tsʰ	aŋ	[5]			
侵	tsʰ	aŋ	[5]			
寝	tsʰ	aŋ	[5]			
陈	dz	aŋ	[2]			
尘	dz	aŋ	[2]			
沉	dz	aŋ	[2]			
臣	dz	aŋ	[2]			
阵	dz	aŋ	[6]			
身	s	aŋ	[1]			
申	s	aŋ	[1]			
伸	s	aŋ	[1]			
绅	s	aŋ	[1]			
深	s	aŋ	[1]			
森	s	aŋ	[1]			
辛	s	aŋ	[1]			
新	s	aŋ	[1]			
薪	s	aŋ	[1]			
僧	s	aŋ	[1]			
参	s	aŋ	[1]	人～		
心	s	aŋ	[1]	又读		
沈	s	aŋ	[3]			
审	s	aŋ	[3]			
婶	s	aŋ	[3]			
迅	s	aŋ	[3]			
讯	s	aŋ	[3]			
信	s	aŋ	[5]			
渗	s	aŋ	[5]			
人	z	aŋ	[2]	文读		
仁	z	aŋ	[2]			
层	z	aŋ	[2]			
寻	z	aŋ	[2]			
晨	z	aŋ	[2]			
辰	z	aŋ	[2]			
神	z	aŋ	[2]			
秦	z	aŋ	[2]			
肾	z	aŋ	[4]			
尽	z	aŋ	[4]			
甚	z	aŋ	[4]			
任	z	aŋ	[6]			
赠	z	aŋ	[6]			
慎	z	aŋ	[6]			
刃	z	aŋ	[6]			
跟	k	aŋ	[1]			
滚	k	aŋ	[3]			
棍	k	aŋ	[5]			
坤	kʰ	aŋ	[1]			
啃	kʰ	aŋ	[1]			
昆	kʰ	aŋ	[1]			
肯	kʰ	aŋ	[3]			
垦	kʰ	aŋ	[3]			
恳	kʰ	aŋ	[3]			
捆	kʰ	aŋ	[3]			
困	kʰ	aŋ	[5]			
很	h	aŋ	[3]			
狠	h	aŋ	[3]			
恒	ɦ	aŋ	[2]			
恨	ɦ	aŋ	[6]			
今	tɕ	iaŋ	[1]			
金	tɕ	iaŋ	[1]			
经	tɕ	iaŋ	[1]			
斤	tɕ	iaŋ	[1]			
巾	tɕ	iaŋ	[1]			
襟	tɕ	iaŋ	[1]			
筋	tɕ	iaŋ	[1]			
京	tɕ	iaŋ	[1]			
惊	tɕ	iaŋ	[1]			
荆	tɕ	iaŋ	[1]			
紧	tɕ	iaŋ	[3]			
景	tɕ	iaŋ	[3]			
颈	tɕ	iaŋ	[3]			
禁	tɕ	iaŋ	[5]			
劲	tɕ	iaŋ	[5]			
敬	tɕ	iaŋ	[5]			
警	tɕ	iaŋ	[5]			
竟	tɕ	iaŋ	[5]			
境	tɕ	iaŋ	[5]			
镜	tɕ	iaŋ	[5]			
轻	tɕʰ	iaŋ	[1]			
卿	tɕʰ	iaŋ	[1]			
庆	tɕʰ	iaŋ	[5]			
琴	dʑ	iaŋ	[2]			
禽	dʑ	iaŋ	[2]			
擒	dʑ	iaŋ	[2]			
勤	dʑ	iaŋ	[2]			
芹	dʑ	iaŋ	[2]			
近	dʑ	iaŋ	[4]			
仅	dʑ	iaŋ	[6]			
竞	dʑ	iaŋ	[6]			
银	ȵ	iaŋ	[2]			
宁	ȵ	iaŋ	[2]			
迎	ȵ	iaŋ	[2]			
吟	ȵ	iaŋ	[2]			
凝	ȵ	iaŋ	[2]			
忍	ȵ	iaŋ	[4]			
认	ȵ	iaŋ	[6]			
欣	ɕ	iaŋ	[1]			
掀	ɕ	iaŋ	[1]			
兴	ɕ	iaŋ	[5]	高～		
兴	ɕ	iaŋ	[1]			
形	ɦ	iaŋ	[2]			
刑	ɦ	iaŋ	[2]			
型	ɦ	iaŋ	[2]			
寅	ɦ	iaŋ	[2]			
盈	ɦ	iaŋ	[2]			
孕	ɦ	iaŋ	[2]			
引	ɦ	iaŋ	[4]			
音	ˀ	iaŋ	[1]			
蝇	ˀ	iaŋ	[1]			
阴	ˀ	iaŋ	[1]			
因	ˀ	iaŋ	[1]			
姻	ˀ	iaŋ	[1]			
应	ˀ	iaŋ	[1]	～该		
英	ˀ	iaŋ	[1]			
殷	ˀ	iaŋ	[1]			
鹰	ˀ	iaŋ	[1]			
莺	ˀ	iaŋ	[1]			
婴	ˀ	iaŋ	[1]			
樱	ˀ	iaŋ	[1]			
缨	ˀ	iaŋ	[1]			
鹦	ˀ	iaŋ	[1]			
影	ˀ	iaŋ	[3]			
饮	ˀ	iaŋ	[3]			
隐	ˀ	iaŋ	[3]			
尹	ˀ	iaŋ	[3]			
印	ˀ	iaŋ	[5]			
应	ˀ	iaŋ	[5]	答～		
兵	p	eŋ	[1]			
宾	p	eŋ	[1]			
滨	p	eŋ	[1]			
冰	p	eŋ	[1]			
彬	p	eŋ	[1]			
丙	p	eŋ	[3]			
饼	p	eŋ	[3]			
秉	p	eŋ	[3]			
并	p	eŋ	[5]	合～		
柄	p	eŋ	[5]			
殡	p	eŋ	[5]			
拼	pʰ	eŋ	[1]	又读		
品	pʰ	eŋ	[3]			
聘	pʰ	eŋ	[5]			
拼	pʰ	eŋ	[5]			
姘	pʰ	eŋ	[5]	～头		
平	b	eŋ	[2]			
评	b	eŋ	[2]			
坪	b	eŋ	[2]			
苹	b	eŋ	[2]			
屏	b	eŋ	[2]			
瓶	b	eŋ	[2]			
贫	b	eŋ	[2]			
凭	b	eŋ	[2]			
频	b	eŋ	[2]			
并	b	eŋ	[4]	～且		
病	b	eŋ	[6]			
民	m	eŋ	[2]			
明	m	eŋ	[2]			
名	m	eŋ	[2]			
铭	m	eŋ	[2]			
鸣	m	eŋ	[2]			
盟	m	eŋ	[2]			
敏	m	eŋ	[4]			
闽	m	eŋ	[4]			
悯	m	eŋ	[4]			
抿	m	eŋ	[4]			
皿	m	eŋ	[4]			
命	m	eŋ	[6]			
丁	t	eŋ	[1]			
钉	t	eŋ	[1]			
汀	t	eŋ	[1]	又读		
顶	t	eŋ	[3]			
鼎	t	eŋ	[3]			
订	t	eŋ	[5]			
钉	t	eŋ	[5]	动词		
听	tʰ	eŋ	[1]			
厅	tʰ	eŋ	[1]			
汀	tʰ	eŋ	[1]			
挺	tʰ	eŋ	[3]			
艇	tʰ	eŋ	[3]			
亭	d	eŋ	[2]			
停	d	eŋ	[2]			
廷	d	eŋ	[2]			
庭	d	eŋ	[2]			
蜓	d	eŋ	[2]	蜻～		
定	d	eŋ	[6]			
拎	l	eŋ	[1]			
林	l	eŋ	[2]			
淋	l	eŋ	[2]			
琳	l	eŋ	[2]			
霖	l	eŋ	[2]			
临	l	eŋ	[2]			
邻	l	eŋ	[2]			
铃	l	eŋ	[2]			
鳞	l	eŋ	[2]			
灵	l	eŋ	[2]			
陵	l	eŋ	[2]			
凌	l	eŋ	[2]			
菱	l	eŋ	[2]			
零	l	eŋ	[2]			
领	l	eŋ	[4]			
岭	l	eŋ	[4]			
令	l	eŋ	[6]			
另	l	eŋ	[6]			
吝	l	eŋ	[6]	～啬		
贞	ts	eŋ	[1]			
侦	ts	eŋ	[1]			
蒸	ts	eŋ	[1]			
征	ts	eŋ	[1]			
正	ts	eŋ	[1]	～月		
晶	ts	eŋ	[1]			
睛	ts	eŋ	[1]			
井	ts	eŋ	[3]			
整	ts	eŋ	[3]			
正	ts	eŋ	[5]			
证	ts	eŋ	[5]			
政	ts	eŋ	[5]			
症	ts	eŋ	[5]			
青	tsʰ	eŋ	[1]			
清	tsʰ	eŋ	[1]			
蜻	tsʰ	eŋ	[1]			
称	tsʰ	eŋ	[1]	～呼		
秤	tsʰ	eŋ	[1]	动词		
请	tsʰ	eŋ	[3]			
秤	tsʰ	eŋ	[5]			
称	tsʰ	eŋ	[5]	相～		
呈	dz	eŋ	[2]			
程	dz	eŋ	[2]			
橙	dz	eŋ	[2]			
郑	dz	eŋ	[6]			
剩	dz	eŋ	[6]			
声	s	eŋ	[1]			
升	s	eŋ	[1]			
星	s	eŋ	[1]			
腥	s	eŋ	[1]			
心	s	eŋ	[1]			
醒	s	eŋ	[3]			
省	s	eŋ	[3]	反～		
性	s	eŋ	[5]			
姓	s	eŋ	[5]			
胜	s	eŋ	[5]			
圣	s	eŋ	[5]			
绳	z	eŋ	[2]			
乘	z	eŋ	[2]			
承	z	eŋ	[2]			
丞	z	eŋ	[2]			
成	z	eŋ	[2]			
城	z	eŋ	[2]			
诚	z	eŋ	[2]			
晴	z	eŋ	[2]			
情	z	eŋ	[2]			
仍	z	eŋ	[2]			
静	z	eŋ	[4]			
靖	z	eŋ	[4]			
净	z	eŋ	[6]			
盛	z	eŋ	[6]	兴～		
旬	z	əŋ	[2]			
循	z	əŋ	[2]			
唇	z	əŋ	[2]			
纯	z	əŋ	[2]			
莼	z	əŋ	[2]			
醇	z	əŋ	[2]			
均	tɕ	yŋ	[1]			
钧	tɕ	yŋ	[1]			
君	tɕ	yŋ	[1]			
军	tɕ	yŋ	[1]			
肫	tɕ	yŋ	[1]			
准	tɕ	yŋ	[3]			
遵	tɕ	yŋ	[3]			
俊	tɕ	yŋ	[5]			
骏	tɕ	yŋ	[5]			
春	tɕʰ	yŋ	[1]			
串	tɕʰ	yŋ	[5]			
蠢	tɕʰ	yŋ	[5]			
群	dʑ	yŋ	[2]			
裙	dʑ	yŋ	[2]			
窘	dʑ	yŋ	[4]			
菌	dʑ	yŋ	[4]			
盾	dʑ	yŋ	[4]			
郡	dʑ	yŋ	[6]			
勋	ɕ	yŋ	[1]			
熏	ɕ	yŋ	[1]			
薰	ɕ	yŋ	[1]			
笋	ɕ	yŋ	[3]			
训	ɕ	yŋ	[5]			
云	ɦ	yŋ	[2]			
匀	ɦ	yŋ	[2]			
运	ɦ	yŋ	[6]			
韵	ɦ	yŋ	[6]			
晕	ɦ	yŋ	[6]			
闰	ɦ	yŋ	[6]			
润	ɦ	yŋ	[6]			
顺	ɦ	yŋ	[6]			
允	ˀ	yŋ	[3]			
捧	pʰ	oŋ	[3]			
碰	pʰ	oŋ	[5]			
朋	b	oŋ	[2]			
棚	b	oŋ	[2]	文读		
篷	b	oŋ	[2]			
蓬	b	oŋ	[2]			
蒙	m	oŋ	[2]			
懵	m	oŋ	[4]	～懂		
梦	m	oŋ	[6]			
风	f	oŋ	[1]			
枫	f	oŋ	[1]			
疯	f	oŋ	[1]			
峰	f	oŋ	[1]			
锋	f	oŋ	[1]			
蜂	f	oŋ	[1]			
丰	f	oŋ	[1]			
封	f	oŋ	[1]			
讽	f	oŋ	[5]			
冯	v	oŋ	[2]			
逢	v	oŋ	[2]			
缝	v	oŋ	[2]	～衣		
奉	v	oŋ	[4]			
俸	v	oŋ	[4]			
凤	v	oŋ	[6]			
缝	v	oŋ	[6]	一条～		
冬	t	oŋ	[1]			
东	t	oŋ	[1]			
董	t	oŋ	[3]			
懂	t	oŋ	[3]			
冻	t	oŋ	[5]			
栋	t	oŋ	[5]			
通	tʰ	oŋ	[1]			
统	tʰ	oŋ	[3]			
桶	tʰ	oŋ	[3]			
痛	tʰ	oŋ	[5]			
同	d	oŋ	[2]			
铜	d	oŋ	[2]			
桐	d	oŋ	[2]			
筒	d	oŋ	[2]			
童	d	oŋ	[2]			
瞳	d	oŋ	[2]			
桶	d	oŋ	[4]			
动	d	oŋ	[4]			
洞	d	oŋ	[6]			
农	n	oŋ	[2]			
浓	n	oŋ	[2]	文读		
脓	n	oŋ	[2]			
糯	n	oŋ	[6]	～米		
聋	l	oŋ	[2]			
笼	l	oŋ	[2]			
隆	l	oŋ	[2]			
拢	l	oŋ	[4]			
垅	l	oŋ	[4]			
陇	l	oŋ	[4]			
弄	l	oŋ	[6]			
中	ts	oŋ	[1]			
忠	ts	oŋ	[1]			
盅	ts	oŋ	[1]			
宗	ts	oŋ	[1]			
综	ts	oŋ	[1]			
踪	ts	oŋ	[1]			
鬃	ts	oŋ	[1]			
终	ts	oŋ	[1]			
衷	ts	oŋ	[1]			
总	ts	oŋ	[3]			
众	ts	oŋ	[5]			
粽	ts	oŋ	[5]			
中	ts	oŋ	[5]	射～		
充	tsʰ	oŋ	[1]			
冲	tsʰ	oŋ	[1]			
聪	tsʰ	oŋ	[1]			
匆	tsʰ	oŋ	[1]			
囱	tsʰ	oŋ	[1]			
葱	tsʰ	oŋ	[1]			
倾	tsʰ	oŋ	[1]			
宠	tsʰ	oŋ	[3]			
顷	tsʰ	oŋ	[3]			
仲	dz	oŋ	[6]			
松	s	oŋ	[1]			
嵩	s	oŋ	[1]			
宋	s	oŋ	[5]			
送	s	oŋ	[5]			
茸	z	oŋ	[2]			
崇	z	oŋ	[2]			
戎	z	oŋ	[2]			
绒	z	oŋ	[2]			
丛	z	oŋ	[2]			
工	k	oŋ	[1]			
攻	k	oŋ	[1]			
功	k	oŋ	[1]			
公	k	oŋ	[1]			
蚣	k	oŋ	[1]	螟～		
巩	k	oŋ	[3]			
贡	k	oŋ	[5]			
空	kʰ	oŋ	[1]			
孔	kʰ	oŋ	[3]			
控	kʰ	oŋ	[5]			
空	kʰ	oŋ	[5]	亏～		
烘	h	oŋ	[1]			
轰	h	oŋ	[1]			
哄	h	oŋ	[3]			
嗅	h	oŋ	[5]	白读，闻		
红	ɦ	oŋ	[2]			
虹	ɦ	oŋ	[2]			
洪	ɦ	oŋ	[2]			
宏	ɦ	oŋ	[2]			
弘	ɦ	oŋ	[2]			
鸿	ɦ	oŋ	[2]			
翁	ˀ	oŋ	[1]			
瓮	ˀ	oŋ	[5]			
弓	tɕ	ioŋ	[1]			
躬	tɕ	ioŋ	[1]			
宫	tɕ	ioŋ	[1]			
穷	dʑ	ioŋ	[2]			
虫	dʑ	ioŋ	[2]			
琼	dʑ	ioŋ	[2]			
兄	ɕ	ioŋ	[1]			
荣	ɦ	ioŋ	[2]			
熊	ɦ	ioŋ	[2]			
雄	ɦ	ioŋ	[2]			
容	ɦ	ioŋ	[2]			
蓉	ɦ	ioŋ	[2]			
溶	ɦ	ioŋ	[2]			
熔	ɦ	ioŋ	[2]			
融	ɦ	ioŋ	[2]			
萤	ɦ	ioŋ	[2]			
营	ɦ	ioŋ	[2]			
雍	ˀ	ioŋ	[1]			
拥	ˀ	ioŋ	[3]			
永	ˀ	ioŋ	[3]			
泳	ˀ	ioŋ	[3]			
咏	ˀ	ioŋ	[3]			
鹅		ŋ	[2]			
蛾		ŋ	[2]			
俄		ŋ	[2]			
吴		ŋ	[2]			
梧		ŋ	[2]			
儿		ŋ	[2]			
娱		ŋ	[2]			
我		ŋ	[4]			
五		ŋ	[4]			
伍		ŋ	[4]			
午		ŋ	[4]			
耳		ŋ	[4]			
二		ŋ	[6]			
悟		ŋ	[6]			
误		ŋ	[6]			
饿		ŋ	[6]			
卧		ŋ	[6]			
