简体	声母	韵母	声调	注释	录者注	[1]⁵⁵[2]³¹[3]³⁵[4]²⁴[5]⁵²[6]²²[7]³²³[8]²¹²
界	k	a	[5]			
戒	k	a	[5]			
怪	k	a	[5]			
更	k	a	[5]	～加		
届	k	a	[5]			
格	k	a	[7]			
革	k	a	[7]			
隔	k	a	[7]			
铅	kʰ	a	[1]			
坑	kʰ	a	[1]			
揩	kʰ	a	[1]			
楷	kʰ	a	[3]			
卡	kʰ	a	[3]			
快	kʰ	a	[5]			
客	kʰ	a	[7]			
硬	ŋ	a	[6]			
额	ŋ	a	[8]			
亨	h	a	[1]			
蟹	h	a	[3]			
瞎	h	a	[7]			
鞋	ɦ	a	[2]			
行	ɦ	a	[2]	～走		
幸	ɦ	a	[4]			
杏	ɦ	a	[4]			
械	ɦ	a	[6]			
阿	ˀ	a	[1]	～哥		
挨	ˀ	a	[1]			
矮	ˀ	a	[5]			
妈	m	o	[1]	文读		
麻	m	o	[2]			
芒	m	o	[2]			
茫	m	o	[2]			
忙	m	o	[2]			
马	m	o	[4]			
码	m	o	[4]			
网	m	o	[4]			
莽	m	o	[4]			
蟒	m	o	[4]			
摸	m	o	[8]			
袜	m	o	[8]			
膜	m	o	[8]			
寞	m	o	[8]			
莫	m	o	[8]			
漠	m	o	[8]			
当	t	o	[1]			
党	t	o	[3]			
朵	t	o	[3]			
当	t	o	[5]	上～		
挡	t	o	[5]			
汤	tʰ	o	[1]			
倘	tʰ	o	[3]			
躺	tʰ	o	[3]			
烫	tʰ	o	[5]			
趟	tʰ	o	[5]			
唐	d	o	[2]			
糖	d	o	[2]			
塘	d	o	[2]			
搪	d	o	[2]			
堂	d	o	[2]			
宕	d	o	[4]			
荡	d	o	[6]			
踱	d	o	[6]			
铎	d	o	[8]			
囊	n	o	[2]			
挠	n	o	[4]			
诺	n	o	[6]			
郎	l	o	[2]			
狼	l	o	[2]			
廊	l	o	[2]			
螂	l	o	[2]	螳～		
朗	l	o	[4]			
浪	l	o	[6]			
乐	l	o	[8]	快～		
洛	l	o	[8]			
落	l	o	[8]			
骑	l	o	[8]			
络	l	o	[8]			
烙	l	o	[8]			
酪	l	o	[8]			
庄	ts	o	[1]			
赃	ts	o	[1]			
渣	ts	o	[1]			
装	ts	o	[1]			
臧	ts	o	[1]			
炸	ts	o	[5]			
榨	ts	o	[5]			
葬	ts	o	[5]			
壮	ts	o	[5]	文读		
作	ts	o	[7]			
窄	ts	o	[7]			
仓	tsʰ	o	[1]			
苍	tsʰ	o	[1]			
创	tsʰ	o	[1]	～伤		
叉	tsʰ	o	[1]			
