简体	音標	注释	[1]⁵⁵
特	tʰe7		
苔	de2		
抬	de2		
潭	de2		
谭	de2		
殆	de4		
待	de4		
怠	de4		
贷	de6		
台	de6		
代	de6		
袋	de6		
奶	ne1	乳房，乳汁	
南	ne2		
男	ne2		
日	ne8		
该	ke1		
柑	ke1	毆柑	
改	ke3		
几	ke3		
几	ke3		
感	ke3		
敢	ke3		
溉	ke5		
概	ke5		
盖	ke5		
丐	ke5		
今	ke7		
铪	ke7		
蛤	ke7		
鸽	ke7		
国	ke7		
克	ke7	撲克	
开	kʰe1		
堪	kʰe1		
龛	kʰe1		
凯	kʰe3		
恺	kʰe3		
坎	kʰe3		
砍	kʰe3	本讀，少用	
去	kʰe5	白讀	
慨	kʰe5		
勘	kʰe5		
刻	kʰe7		
克	kʰe7		
咳	kʰe7		
渠	ɡe2	白讀	
徛	ɡe4	站起	
呆	ŋe2		
呆	ŋe2		
碍	ŋe6		
艾	ŋe6		
许	he3	那	
海	he3		
熯	he5	蒸	
黑	he7		
孩	ɦe2		
含	ɦe2		
孩	ɦe4		
亥	ɦe4		
害	ɦe6		
合	ɦe8		
盒	ɦe8		
盍	ɦe8		
核	ɦe8		
核	ɦe8		
嗝	ɦe8	打飽嗝	
哀	e1		
埃	e1		
唉	e1		
挨	e1		
庵	e1		
谙	e1		
蔼	e3		
霭	e3		
爱	e5		
暗	e5		
搬	pø1		
般	pø1		
边	pø1		
半	pø5		
钵	pø7		
拨	pø7		
泼	pø7		
潘	pʰø1		
判	pʰø5		
泼	pʰø7		
盘	bø2		
伴	bø2		
盆	bø2		
叛	bø4		
胖	bø4		
伴	bø6	相伴	
叛	bø6		
跋	bø8		
勃	bø8		
脖	bø8		
瞒	mø2		
闷	mø2		
满	mø4		
漫	mø6		
幔	mø6		
末	mø8		
抹	mø8		
沫	mø8		
没	mø8		
端	tø1		
敦	tø1		
墩	tø1		
短	tø3		
锻	tø5		
答	tø7		
掇	tø7		
贪	tʰø1	市區音	
吞	tʰø1		
团	dø2		
屯	dø2		
豚	dø2		
臀	dø2		
囤	dø2		
沌	dø2		
断	dø4		
囤	dø4		
段	dø6	断用：沒用	
缎	dø6		
钝	dø6		
遁	dø6		
夺	dø8		
突	dø8		
囡	nø1		
暖	nø4		
嫩	nø6		
□	lø1	繞圈	
鸾	lø2		
论	lø2		
轮	lø2		
卵	lø4		
乱	lø6		
论	lø6		
粒	lø8		
簪	tsø1		
钻	tsø1		
尊	tsø1		
遵	tsø1		
噆	tsø1	刺痛	
纂	tsø3		
钻	tsø5		
卒	tsø7		
村	tsʰø1		
皴	tsʰø1		
篡	tsʰø3		
忖	tsʰø3		
窜	tsʰø5		
寸	tsʰø5		
猝	tsʰø7		
卒	tsʰø7		
酸	sø1		
闩	sø1		
拴	sø1		
孙	sø1		
损	sø3		
算	sø5		
蒜	sø5		
涮	sø5		
逊	sø5		
刷	sø7		
蚕	zø2		
存	zø2		
撰	zø4		
泔	kø1		
甘	kø1	甘蔗	
肝	kø1		
竿	kø1		
干	kø1		
杆	kø1		
根	kø1	根長：一直幹啥事讓人煩	
秆	kø3		
擀	kø3		
赶	kø3		
干	kø5		
割	kø7		
葛	kø7		
钙	kø7	鈣片	
看	kʰø1		
刊	kʰø1		
坤	kʰø1		
砍	kʰø3	市區音	
侃	kʰø3		
款	kʰø3		
看	kʰø5		
丐	kʰø7	乞丐，取米丐兒	
磕	kʰø7		
渴	kʰø7		
蚶	hø1		
酣	hø1		
鼾	hø1		
罕	hø3		
汉	hø5		
喝	hø7	呷hɔ7，不要和“喝”搞混	
含	ɦø2		
邯	ɦø2		
寒	ɦø2		
韩	ɦø2		
痕	ɦø2		
旱	ɦø4		
憾	ɦø6		
岸	ɦø6		
汗	ɦø6		
翰	ɦø6		
曷	ɦø8		
蝎	ɦø8		
安	ø1		
鞍	ø1		
恩	ø1		
暗	ø5	市區音	
按	ø5		
案	ø5		
哕	ø7	嘔吐	
包	pɔ1		
胞	pɔ1		
班	pɔ1		
扳	pɔ1		
颁	pɔ1		
扳	pɔ1		
帮	pɔ1	白讀	
钣	pɔ3		
饱	pɔ3		
板	pɔ3		
版	pɔ3		
榜	pɔ3	白讀	
豹	pɔ5		
爆	pɔ5		
扮	pɔ5		
绊	pɔ5		
抛	pʰɔ1		
攀	pʰɔ1		
跑	pʰɔ3		
膀	pʰɔ3	翼膀	
泡	pʰɔ5		
炮	pʰɔ5		
盼	pʰɔ5		
瓣	pʰɔ5		
襻	pʰɔ5		
扑	pʰɔ7	撲克	
旁	bɔ2	白讀，旁向	
膀	bɔ2		
鲍	bɔ4		
刨	bɔ4		
膀	bɔ4	翅膀	
办	bɔ6		
拔	bɔ8		
猫	mɔ1		
蛮	mɔ1		
茅	mɔ2		
□	mɔ2	玩鬧	
猫	mɔ2	大貓：老虎	
蛮	mɔ2		
馒	mɔ2		
卯	mɔ4		
晚	mɔ4		
挽	mɔ4		
貌	mɔ6		
慢	mɔ6		
万	mɔ6		
袜	mɔ8		
□	fɔ0	fʋ ʔɔ和音，語氣詞類似於“嗎”	
翻	fɔ1		
番	fɔ1		
藩	fɔ1		
方	fɔ1		
肪	fɔ1		
芳	fɔ1		
妨	fɔ1		
反	fɔ3		
仿	fɔ3		
纺	fɔ3		
仿	fɔ3		
彷	fɔ3		
访	fɔ3		
泛	fɔ5		
贩	fɔ5		
放	fɔ5		
法	fɔ7		
发	fɔ7		
发	fɔ7		
凡	vɔ2		
帆	vɔ2		
梵	vɔ2		
还	vɔ2		
兖	vɔ2		
烦	vɔ2		
矾	vɔ2		
繁	vɔ2		
藩	vɔ2		
房	vɔ2		
防	vɔ2		
范	vɔ4		
范	vɔ4		
犯	vɔ4		
皖	vɔ4		
梵	vɔ6		
饭	vɔ6		
乏	vɔ8		
伐	vɔ8		
筏	vɔ8		
罚	vɔ8		
担	tɔ1		
担	tɔ1	擔心	
丹	tɔ1		
单	tɔ1		
胆	tɔ3		
旦	tɔ5		
诞	tɔ5		
答	tɔ7		
搭	tɔ7		
他	tʰɔ1		
坍	tʰɔ1		
滩	tʰɔ1		
摊	tʰɔ1		
毯	tʰɔ3		
坦	tʰɔ3		
叹	tʰɔ5		
炭	tʰɔ5		
榻	tʰɔ7		
塔	tʰɔ7		
塌	tʰɔ7		
獭	tʰɔ7		
脱	tʰɔ7		
谭	dɔ2		
痰	dɔ2		
谈	dɔ2		
檀	dɔ2		
坛	dɔ2		
弹	dɔ2		
淡	dɔ4		
坛	dɔ6	地壇：一塊地方	
但	dɔ6		
弹	dɔ6		
蛋	dɔ6		
惮	dɔ6		
膻	dɔ6		
踏	dɔ8	踩	
拿	nɔ2		
铙	nɔ2		
挠	nɔ2		
难	nɔ2		
挠	nɔ4		
闹	nɔ6		
难	nɔ6		
纳	nɔ8		
捺	nɔ8		
拉	lɔ1		
喇	lɔ1		
蓝	lɔ2		
篮	lɔ2		
榄	lɔ2		
兰	lɔ2		
拦	lɔ2		
栏	lɔ2		
揽	lɔ4		
览	lɔ4		
缆	lɔ4		
懒	lɔ4		
滥	lɔ6	倒三欄	
烂	lɔ6		
拉	lɔ8		
腊	lɔ8		
蜡	lɔ8		
镴	lɔ8		
辣	lɔ8		
癞	lɔ8		
剌	lɔ8		
抓	tsɔ3		
爪	tsɔ3		
找	tsɔ3		
斩	tsɔ3		
盏	tsɔ3		
罩	tsɔ5		
笊	tsɔ5		
蘸	tsɔ5		
赞	tsɔ5		
札	tsɔ7		
札	tsɔ7		
扎	tsɔ7		
扎	tsɔ7		
抄	tsʰɔ1		
钞	tsʰɔ1		
搀	tsʰɔ1		
餐	tsʰɔ1		
炒	tsʰɔ3		
吵	tsʰɔ3		
潺	tsʰɔ3		
忏	tsʰɔ5		
插	tsʰɔ7		
擦	tsʰɔ7		
察	tsʰɔ7		
谗	dzɔ2		
馋	dzɔ2		
铲	dzɔ2		
暂	dzɔ6		
站	dzɔ6	車站	
赚	dzɔ6	錯	
绽	dzɔ6		
栈	dzɔ6		
梢	sɔ1		
捎	sɔ1		
稍	sɔ1		
潲	sɔ1		
三	sɔ1		
杉	sɔ1		
珊	sɔ1		
山	sɔ1		
删	sɔ1		
膻	sɔ1		
散	sɔ3		
伞	sɔ3		
产	sɔ3		
讪	sɔ3		
散	sɔ5		
讪	sɔ5		
疝	sɔ5		
卅	sɔ7		
霎	sɔ7		
撒	sɔ7		
萨	sɔ7		
杀	sɔ7		
煞	sɔ7	煞氣	
巢	zɔ2		
惭	zɔ2		
谗	zɔ2		
馋	zɔ2		
残	zɔ2		
铲	zɔ2		
□	zɔ6	遮	
闸	zɔ8		
煠	zɔ8		
铡	zɔ8		
交	kɔ1		
郊	kɔ1		
胶	kɔ1		
教	kɔ1		
尴	kɔ1		
监	kɔ1		
艰	kɔ1		
间	kɔ1		
奸	kɔ1		
奸	kɔ1		
茭	kɔ1		
绞	kɔ3		
狡	kɔ3		
铰	kɔ3		
搞	kɔ3		
搅	kɔ3		
橄	kɔ3	橄欖	
减	kɔ3		
简	kɔ3		
拣	kɔ3		
柬	kɔ3		
饺	kɔ3		
教	kɔ5		
较	kɔ5		
酵	kɔ5		
窖	kɔ5		
校	kɔ5		
觉	kɔ5		
监	kɔ5		
鉴	kɔ5		
谏	kɔ5		
夹	kɔ7		
袷	kɔ7		
峡	kɔ7		
甲	kɔ7		
敲	kʰɔ1		
嵌	kʰɔ1		
骹	kʰɔ1	蟹鉗腿	
巧	kʰɔ3		
瞰	kʰɔ3		
舰	kʰɔ3		
□	kʰɔ5	給，被	
□	kʰɔ7	給，被	
恰	kʰɔ7		
掐	kʰɔ7		
□	ɡɔ6	卡塞	
夹	ɡɔ8		
狭	ɡɔ8	擁擠，狹小	
狭	ɡɔ8		
峡	ɡɔ8		
挟	ɡɔ8		
眼	ŋɔ1	眼兒珠	
涯	ŋɔ2		
崖	ŋɔ2		
岩	ŋɔ2		
颜	ŋɔ2		
玩	ŋɔ2		
咬	ŋɔ4		
眼	ŋɔ4		
雁	ŋɔ6		
□	hɔ1	哮喘	
撼	hɔ3		
喊	hɔ3		
孝	hɔ5		
呷	hɔ7		
瞎	hɔ7		
肴	ɦɔ2		
爻	ɦɔ2		
函	ɦɔ2		
鹻	ɦɔ2		
咸	ɦɔ2		
咸	ɦɔ2		
衔	ɦɔ2		
嫌	ɦɔ2		
闲	ɦɔ2		
还	ɦɔ2		
黄	ɦɔ2	黃昏，黃昏屆，也有做“閑”的	
淆	ɦɔ4		
效	ɦɔ4		
限	ɦɔ4		
校	ɦɔ6		
陷	ɦɔ6		
二	ɦɔ6	文读，用於一二一这种训练用语	
夹	ɦɔ8		
狭	ɦɔ8		
狭	ɦɔ8		
峡	ɦɔ8		
洽	ɦɔ8		
匣	ɦɔ8	匣兒	
狎	ɦɔ8		
辖	ɦɔ8		
阿	ɔ1	阿彌陀佛	
坳	ɔ1		
拗	ɔ1		
晏	ɔ5		
鸭	ɔ7		
押	ɔ7		
压	ɔ7		
轧	ɔ7		
□	ʋɔ5		
着	tɕiɔ3		
怯	tɕiɔ7		
爵	tɕiɔ7		
着	tɕiɔ7		
酌	tɕiɔ7		
脚	tɕiɔ7		
超	tɕʰiɔ1		
灿	tɕʰiɔ5		
屑	tɕʰiɔ7	風屑：頭皮屑	
雀	tɕʰiɔ7		
鹊	tɕʰiɔ7		
绰	tɕʰiɔ7		
却	tɕʰiɔ7	卻情：可是	
眨	dʑiɔ8		
□	ȵiɔ1	寶貝，疑似“嫋”	
尧	ȵiɔ2		
鸟	ȵiɔ4		
镊	ȵiɔ8		
捏	ȵiɔ8		
箬	ȵiɔ8	粽箬	
虐	ȵiɔ8		
疟	ȵiɔ8		
溺	ȵiɔ8		
宵	ɕiɔ1	夜宵	
晓	ɕiɔ3		
闪	ɕiɔ3	閃爍	
削	ɕiɔ7		
烁	ɕiɔ7	閃爍	
丫	iɔ1		
邀	iɔ1		
约	iɔ7		
嚼	jɔ8		
勺	jɔ8		
芍	jɔ8		
若	jɔ8	又音	
弱	jɔ8		
药	jɔ8		
刁	tuɔ1		
貂	tuɔ1		
雕	tuɔ1		
吊	tuɔ3		
钓	tuɔ5		
挑	tʰuɔ1		
跳	tʰuɔ5		
粜	tʰuɔ5		
跳	tʰuɔ5		
贴	tʰuɔ7		
帖	tʰuɔ7		
条	duɔ2		
调	duɔ2		
掉	duɔ4		
调	duɔ4		
调	duɔ6		
迭	duɔ8		
牒	duɔ8		
蝶	duɔ8		
谍	duɔ8		
燎	luɔ2		
聊	luɔ2		
辽	luɔ2		
撩	luɔ2		
寥	luɔ2		
燎	luɔ4		
了	luɔ4		
廖	luɔ6		
了	luɔ6		
料	luɔ6		
猎	luɔ8		
鳏	kuɔ1		
关	kuɔ1		
惯	kuɔ5		
刮	kuɔ7		
宽	kʰuɔ1		
括	kʰuɔ7		
阔	kʰuɔ7		
□	ɡuɔ4	背	
□	ɡuɔ6	使物抽打	
玩	ŋuɔ2		
玩	ɦuɔ2		
顽	ɦuɔ2		
还	ɦuɔ2		
环	ɦuɔ2		
亡	ɦuɔ2		
忘	ɦuɔ2		
晚	ɦuɔ4		
挽	ɦuɔ4		
换	ɦuɔ6		
患	ɦuɔ6		
宦	ɦuɔ6		
万	ɦuɔ6	萬一	
望	ɦuɔ6	又音，希望	
活	ɦuɔ8		
滑	ɦuɔ8		
猾	ɦuɔ8		
弯	uɔ1		
湾	uɔ1		
皖	uɔ3		
幻	uɔ3		
腕	uɔ5		
斡	uɔ7		
挖	uɔ7		
波	pʊ1		
播	pʊ1		
巴	pʊ1		
疤	pʊ1		
芭	pʊ1		
钸	pʊ1		
帮	pʊ1		
邦	pʊ1		
跛	pʊ3		
簸	pʊ3		
把	pʊ3		
榜	pʊ3		
绑	pʊ3		
簸	pʊ5		
布	pʊ5		
怖	pʊ5		
谤	pʊ5		
八	pʊ7		
博	pʊ7		
剥	pʊ7		
驳	pʊ7		
璞	pʊ7		
膊	pʊ7		
颇	pʰʊ1		
坡	pʰʊ1		
颇	pʰʊ1		
铺	pʰʊ1		
滂	pʰʊ1		
普	pʰʊ3		
浦	pʰʊ3		
怕	pʰʊ5		
铺	pʰʊ5		
泊	pʰʊ7		
扑	pʰʊ7		
仆	pʰʊ7		
曝	pʰʊ7		
瀑	pʰʊ7		
趴	pʰʊ7		
玻	bʊ2		
琶	bʊ2		
爬	bʊ2		
菩	bʊ2		
蒲	bʊ2		
脯	bʊ2		
旁	bʊ2		
傍	bʊ2		
庞	bʊ2		
荸	bʊ2	荸荠	
部	bʊ4		
簿	bʊ4		
捕	bʊ4		
棒	bʊ4		
卜	bʊ4		
步	bʊ6		
䶕	bʊ6	齙牙	
孵	bʊ6		
钹	bʊ8		
薄	bʊ8		
泊	bʊ8		
雹	bʊ8		
□	mʊ0	語氣詞，有做望、麼	
望	mʊ1	上望	
嬷	mʊ1	嬤嬤：伯母	
嬷	mʊ1	阿嬤：保姆	
魔	mʊ2		
磨	mʊ2		
摩	mʊ2		
麻	mʊ2		
蟆	mʊ2		
马	mʊ2		
码	mʊ2		
骂	mʊ2		
忙	mʊ2		
芒	mʊ2		
茫	mʊ2		
模	mʊ4		
么	mʊ4		
某	mʊ4		
拇	mʊ4		
母	mʊ4		
莽	mʊ4		
网	mʊ4		
磨	mʊ6		
暮	mʊ6		
墓	mʊ6		
募	mʊ6		
慕	mʊ6		
幕	mʊ6		
望	mʊ6		
莫	mʊ8		
瞙	mʊ8	瞙瞊：眼部殘疾者	
膜	mʊ8		
摸	mʊ8		
寞	mʊ8		
幕	mʊ8		
陌	mʊ8		
木	mʊ8		
沐	mʊ8		
目	mʊ8		
穆	mʊ8		
牧	mʊ8		
朵	tʊ1		
当	tʊ1		
铛	tʊ1		
朵	tʊ3		
党	tʊ3		
挡	tʊ3		
挆	tʊ5	東西拿著	
挡	tʊ5		
当	tʊ5		
汤	tʰʊ1		
倘	tʰʊ3		
躺	tʰʊ3		
烫	tʰʊ5		
趟	tʰʊ5		
托	tʰʊ7		
托	tʰʊ7		
堂	dʊ2		
唐	dʊ2		
糖	dʊ2		
塘	dʊ2		
螳	dʊ2		
宕	dʊ4		
荡	dʊ6	蕩街	
瞊	dʊ6	瞙瞊：眼部殘疾者	
宕	dʊ6	地方	
铎	dʊ8		
踱	dʊ8		
□	dʊ8	撕	
囊	nʊ2		
曩	nʊ4		
挪	nʊ6		
搙	nʊ6	腳崴	
诺	nʊ8		
□	lʊ1	肮糟：lo˦˦ tsɛ˦˦	
狼	lʊ2		
廊	lʊ2		
郎	lʊ2		
螂	lʊ2		
隆	lʊ2		
龙	lʊ2		
㫰	lʊ2		
朗	lʊ4		
垄	lʊ4		
浪	lʊ6		
氯	lʊ8		
落	lʊ8		
洛	lʊ8		
骆	lʊ8		
络	lʊ8		
酪	lʊ8		
烙	lʊ8		
乐	lʊ8		
绿	lʊ8		
录	lʊ8		
查	tsʊ1		
渣	tsʊ1		
臧	tsʊ1		
赃	tsʊ1		
脏	tsʊ1		
装	tsʊ1		
□	tsʊ3	東西拿著	
撮	tsʊ3	一撮	
□	tsʊ3	拿	
诈	tsʊ5		
榨	tsʊ5		
炸	tsʊ5		
葬	tsʊ5		
作	tsʊ7		
叉	tsʰʊ1		
杈	tsʰʊ1		
差	tsʰʊ1		
车	tsʰʊ1		
仓	tsʰʊ1		
苍	tsʰʊ1		
疮	tsʰʊ1		
创	tsʰʊ1		
锉	tsʰʊ5		
诧	tsʰʊ5		
岔	tsʰʊ5		
汊	tsʰʊ5		
创	tsʰʊ5		
撮	tsʰʊ7	一撮，少，頭髮一撮厘兒	
错	tsʰʊ7		
茶	dzʊ2		
搽	dzʊ2	搽掃：掃帚	
查	dzʊ2		
乍	dzʊ2		
沙	sʊ1		
纱	sʊ1		
桑	sʊ1		
丧	sʊ1		
傻	sʊ3		
耍	sʊ3		
所	sʊ3		
嗓	sʊ3		
爽	sʊ3		
洒	sʊ5		
丧	sʊ5		
索	sʊ7		
矬	zʊ2		
藏	zʊ2		
坐	zʊ4		
锉	zʊ6		
矬	zʊ6		
座	zʊ6		
藏	zʊ6		
臓	zʊ6		
凿	zʊ8		
昨	zʊ8		
嘉	kʊ1		
家	kʊ1		
家	kʊ1		
加	kʊ1		
瓜	kʊ1		
佳	kʊ1		
冈	kʊ1		
刚	kʊ1		
钢	kʊ1		
缸	kʊ1		
纲	kʊ1		
岗	kʊ1		
光	kʊ1		
江	kʊ1		
肛	kʊ1		
扛	kʊ1		
假	kʊ3		
贾	kʊ3		
寡	kʊ3		
剐	kʊ3		
□	kʊ3	蟑螂：kɔ1 zɔ8，鄭張作膠蚻	
广	kʊ3		
讲	kʊ3		
港	kʊ3		
耩	kʊ3		
稼	kʊ5		
假	kʊ5		
价	kʊ5		
架	kʊ5		
驾	kʊ5		
嫁	kʊ5		
挂	kʊ5		
卦	kʊ5		
降	kʊ5		
各	kʊ7		
阁	kʊ7		
胳	kʊ7		
铬	kʊ7		
郭	kʊ7		
廓	kʊ7		
觉	kʊ7		
角	kʊ7		
轲	kʰʊ1		
咵	kʰʊ1		
康	kʰʊ1		
糠	kʰʊ1		
慷	kʰʊ1		
可	kʰʊ3		
垮	kʰʊ3		
旷	kʰʊ4		
跨	kʰʊ5		
慷	kʰʊ5		
抗	kʰʊ5		
炕	kʰʊ5		
矿	kʰʊ5		
扩	kʰʊ7		
廓	kʰʊ7		
确	kʰʊ7		
壳	kʰʊ7		
扛	ɡʊ2		
旷	ɡʊ2	放著遲遲不幹	
巷	ɡʊ6		
旷	ɡʊ4	有空閒	
旷	ɡʊ2	靠牆	
牙	ŋʊ2		
芽	ŋʊ2		
衙	ŋʊ2		
昂	ŋʊ2		
雅	ŋʊ4		
瓦	ŋʊ4		
讶	ŋʊ6		
迓	ŋʊ6		
鄂	ŋʊ8		
鳄	ŋʊ8		
鹤	ŋʊ8		
岳	ŋʊ8		
乐	ŋʊ8		
虾	hʊ1		
花	hʊ1		
荒	hʊ1		
慌	hʊ1		
恍	hʊ3		
谎	hʊ3		
化	hʊ5		
吓	hʊ7		
壑	hʊ7		
霍	hʊ7		
藿	hʊ7		
虾	ɦʊ2	蛤蟆	
霞	ɦʊ2		
遐	ɦʊ2		
瑕	ɦʊ2		
华	ɦʊ2		
杭	ɦʊ2		
航	ɦʊ2		
行	ɦʊ2		
黄	ɦʊ2		
蝗	ɦʊ2		
皇	ɦʊ2		
降	ɦʊ2		
行	ɦʊ2		
下	ɦʊ4		
妄	ɦʊ4		
项	ɦʊ4		
下	ɦʊ6		
夏	ɦʊ6		
厦	ɦʊ6		
暇	ɦʊ6		
夏	ɦʊ6		
华	ɦʊ6		
画	ɦʊ6		
话	ɦʊ6		
旺	ɦʊ6		
巷	ɦʊ6		
用	ɦʊ6		
话	ɦʊ6		
镬	ɦʊ8		
缚	ɦʊ8		
学	ɦʊ8		
鸦	ʊ1		
蜗	ʊ1		
娃	ʊ1		
蛙	ʊ1		
洼	ʊ1		
蛙	ʊ1		
肮	ʊ1		
枉	ʊ3		
往	ʊ3		
阿	ʊ5		
哑	ʊ5	啞佬：啞巴	
亚	ʊ5		
挖	ʊ7		
哕	ʊ7		
恶	ʊ7	頑皮	
握	ʊ7		
沃	ʊ7		
庄	tɕiʊ1		
装	tɕiʊ1		
妆	tɕiʊ1		
桩	tɕiʊ1	類推音	
踪	tɕiʊ1		
纵	tɕiʊ1		
钟	tɕiʊ1		
恭	tɕiʊ1		
肿	tɕiʊ3		
拱	tɕiʊ3		
供	tɕiʊ3		
壮	tɕiʊ5		
状	tɕiʊ5		
纵	tɕiʊ5		
种	tɕiʊ5		
镢	tɕiʊ7	類推音	
卓	tɕiʊ7		
桌	tɕiʊ7		
琢	tɕiʊ7		
啄	tɕiʊ7		
捉	tɕiʊ7		
足	tɕiʊ7		
烛	tɕiʊ7		
嘱	tɕiʊ7		
锔	tɕiʊ7		
疮	tɕʰiʊ1		
匡	tɕʰiʊ1		
筐	tɕʰiʊ1		
窗	tɕʰiʊ1		
恐	tɕʰiʊ3		
冲	tɕʰiʊ5		
戳	tɕʰiʊ7		
促	tɕʰiʊ7		
触	tɕʰiʊ7		
曲	tɕʰiʊ7		
逛	dʑiʊ2		
狂	dʑiʊ2		
撞	dʑiʊ2		
重	dʑiʊ2		
种	dʑiʊ2		
重	dʑiʊ4		
状	dʑiʊ6		
撞	dʑiʊ6		
重	dʑiʊ6		
共	dʑiʊ6		
浊	dʑiʊ8		
濯	dʑiʊ8		
镯	dʑiʊ8		
局	dʑiʊ8		
脓	ȵiʊ2		
浓	ȵiʊ2		
玉	ȵiʊ8		
狱	ȵiʊ8		
霜	ɕiʊ1		
孀	ɕiʊ1		
双	ɕiʊ1		
舂	ɕiʊ1		
胸	ɕiʊ1		
凶	ɕiʊ1		
凶	ɕiʊ1		
况	ɕiʊ3		
怂	ɕiʊ3		
况	ɕiʊ5		
□	ɕiʊ5	踹	
朔	ɕiʊ7		
粟	ɕiʊ7		
束	ɕiʊ7		
旭	ɕiʊ7		
床	jʊ2		
汪	jʊ2		
王	jʊ2		
从	jʊ2		
甬	jʊ4		
勇	jʊ4		
涌	jʊ4		
诵	jʊ6		
颂	jʊ6		
讼	jʊ6		
用	jʊ6		
续	jʊ8		
术	jʊ8	手術	
钥	jʊ8		
跃	jʊ8		
俗	jʊ8		
续	jʊ8		
赎	jʊ8		
蜀	jʊ8		
属	jʊ8		
辱	jʊ8		
褥	jʊ8		
浴	jʊ8	洗浴：洗澡	
欲	jʊ8		
波	pʉ1		
□	pʉ1	撥飯	
补	pʉ3		
谱	pʉ3		
布	pʉ5		
婆	bʉ2		
埠	bʉ6		
物	mʉ	物事	
夫	fʉ1		
肤	fʉ1		
府	fʉ3		
腑	fʉ3		
俯	fʉ3		
赋	fʉ5		
傅	fʉ5		
付	fʉ5		
赴	fʉ5		
富	fʉ5		
副	fʉ5		
余	vʉ2		
余	vʉ2		
与	vʉ2		
符	vʉ2		
扶	vʉ2		
盂	vʉ2		
逾	vʉ2		
榆	vʉ2		
愉	vʉ2		
携	vʉ2		
为	vʉ2		
帷	vʉ2		
维	vʉ2		
惟	vʉ2		
遗	vʉ2		
唯	vʉ2		
违	vʉ2		
围	vʉ2		
竽	vʉ2		
雨	vʉ4		
禹	vʉ4		
宇	vʉ4		
羽	vʉ4		
愈	vʉ4		
唯	vʉ4		
苇	vʉ4		
伟	vʉ4		
纬	vʉ4		
妇	vʉ4		
与	vʉ6		
誉	vʉ6		
预	vʉ6		
豫	vʉ6		
腐	vʉ6		
父	vʉ6		
附	vʉ6		
吁	vʉ6		
芋	vʉ6		
羽	vʉ6		
逾	vʉ6		
喻	vʉ6		
裕	vʉ6		
卫	vʉ6		
慧	vʉ6		
惠	vʉ6		
为	vʉ6		
位	vʉ6		
遗	vʉ6		
胃	vʉ6		
谓	vʉ6		
猬	vʉ6		
汇	vʉ6		
淤	ʋʉ1		
于	ʋʉ1		
迂	ʋʉ1		
于	ʋʉ1		
威	ʋʉ1		
慰	ʋʉ1		
委	ʋʉ3		
秽	ʋʉ5		
喂	ʋʉ5		
畏	ʋʉ5		
杯	pai1		
背	pai1		
畀	pai1	拿來	
贝	pai5		
辈	pai5		
背	pai5		
褙	pai5	褙春聯：貼春聯	
□	pai5	拍打	
坯	pʰai1		
胚	pʰai1		
沛	pʰai5		
配	pʰai5		
培	bai2		
陪	bai2		
赔	bai2		
倍	bai4		
枚	mai2		
玫	mai2		
面	mai6	上面，下麵	
诙	fai1		
灰	fai1		
麾	fai1		
挥	fai1	日常音	
辉	fai1	日常音	
徽	fai1		
悔	fai3		
贿	fai3		
毁	fai3		
晦	fai5		
废	fai5		
肺	fai5		
沸	fai5		
讳	fai5	日常音	
卉	fai5	日常音	
□	fai7	弗會	
桅	vai2		
回	vai2		
汇	vai4		
会	vai6	會市：集會	
绘	vai6		
吠	vai6		
堆	tai1		
对	tai5		
兑	tai5		
台	tʰai1	臺州	
刣	tʰai1	宰殺	
推	tʰai1		
腿	tʰai3		
唾	tʰai5		
退	tʰai5		
褪	tʰai5		
馁	nai4		
内	nai6		
雷	lai2		
儡	lai4		
累	lai4		
垒	lai4		
裸	lai4	赤□裸：裸露上身	
摞	lai4	揉	
类	lai6		
泪	lai6		
□	tsai3	形容被震到	
最	tsai5		
醉	tsai5		
催	tsʰai1		
崔	tsʰai1		
脆	tsʰai5		
翠	tsʰai5		
□	tsʰai5	砍	
衰	sai1		
琐	sai3	小個的	
琐	sai5	小個的	
碎	sai5		
罪	zai4		
鋭	zai6		
睡	zai6		
悴	zai6		
粹	zai6		
瑰	kai1	玫瑰	
规	kai1		
龟	kai1		
归	kai1	日常音	
个	kai5	個，這	
刽	kai5		
会	kai5		
盔	kʰai1		
诙	kʰai1		
恢	kʰai1		
奎	kʰai1		
亏	kʰai1		
窥	kʰai1		
魁	kʰai3		
傀	kʰai3		
块	kʰai5		
溃	kʰai5		
愧	kʰai5		
煨	ʋai1		
□	ʋai5	膩了	
卑	pei1		
碑	pei1		
裨	pei1		
悲	pei1		
毙	pei3		
彼	pei3		
俾	pei3		
鄙	pei3		
比	pei3		
蔽	pei5		
敝	pei5		
币	pei5		
弊	pei5		
闭	pei5		
箅	pei5		
臂	pei5		
庇	pei5		
痹	pei5		
辔	pei5		
笔	pei7		
毕	pei7		
必	pei7		
北	pei7		
逼	pei7		
璧	pei7		
壁	pei7		
批	pʰei1		
披	pʰei1		
丕	pʰei1		
否	pʰei1	否掃：打噴嚏後說的辟邪語	
譬	pʰei3		
屁	pʰei5		
僻	pʰei7		
辟	pʰei7		
霹	pʰei7		
劈	pʰei7		
皮	bei2		
疲	bei2		
琵	bei2		
肥	bei2	肥拉肉	
陛	bei4		
脾	bei4		
被	bei4		
婢	bei4		
牝	bei4		
毙	bei6		
佩	bei6		
避	bei6		
备	bei6		
篦	bei6		
鼻	bei8		
