繁體	简体	吳拼	備註
葫	葫	ɦu²⁴	
蝴	蝴	ɦu²⁴	
猢	猢	ɦu²⁴	
瑚	瑚	ɦu²⁴	
醐	醐	ɦu²⁴	
煳	煳	ɦu²⁴	
鶘	鹕	ɦu²⁴	
狐	狐	ɦu²⁴	
弧	弧	ɦu²⁴	
瓠	瓠	ɦu²⁴	
壺	壶	ɦu²⁴	
乎	乎	ɦu²⁴	
䉿	䉿	ɦu²⁴	
𤝘	𤝘	ɦu²⁴	
壷	壷	ɦu²⁴	
瓳	瓳	ɦu²⁴	
箶	箶	ɦu²⁴	
魱	魱	ɦu²⁴	
誤	误	ɦu²⁴	又音
悟	悟	ɦu²⁴	又音
吳	吴	ɦu²⁴	
吴	吴	ɦu²⁴	
呉	吴	ɦu²⁴	
峿	峿	ɦu²⁴	
鼯	鼯	ɦu²⁴	
齬	龉	ɦu²⁴	
娪	娪	ɦu²⁴	
浯	浯	ɦu²⁴	
珸	珸	ɦu²⁴	
祦	祦	ɦu²⁴	
郚	郚	ɦu²⁴	
鯃	鯃	ɦu²⁴	
黃	黄	ɦu²⁴	又音 僅限於「黃狗」及「嘸郎黃狗」
黄	黄	ɦu²⁴	又音 僅限於「黃狗」及「嘸郎黃狗」
鋘	鋘	ɦu²⁴	
誣	诬	ɦu²⁴	又音
毋	毋	ɦu²⁴	
鳧	凫	ɦu²⁴	水鳧鷺
鳬	凫	ɦu²⁴	水鳧鷺
舞	舞	ɦu²⁴	
鵡	鹉	ɦu²⁴	
無	无	ɦu²⁴	又音
无	无	ɦu²⁴	又音
亡	亡	ɦu²⁴	古同「無」
吾	吾	ɦu²⁴	又音
蜈	蜈	ɦu²⁴	文讀
户	户	ɦu²¹³	
戶	户	ɦu²¹³	
戸	户	ɦu²¹³	
滬	沪	ɦu²¹³	
扈	扈	ɦu²¹³	
伍	伍	ɦu²¹³	
午	午	ɦu²¹³	
護	护	ɦu²¹³	
怙	怙	ɦu²¹³	
祜	祜	ɦu²¹³	
岵	岵	ɦu²¹³	
酤	酤	ɦu²¹³	
鄠	鄠	ɦu²¹³	
萵	莴	ɦu²¹³	香萵筍
帍	帍	ɦu²¹³	
昈	昈	ɦu²¹³	
楛	楛	ɦu²¹³	
簄	簄	ɦu²¹³	
互	互	ɦu²¹³	
圄	圄	ɦu²¹³	
牾	牾	ɦu²¹³	
旿	旿	ɦu²¹³	
婟	婟	ɦu²¹³	
芐	芐	ɦu²¹³	
髃	髃	ɦu²¹³	
武	武	ɦu²¹³	
務	务	ɦu²¹³	又音
惡	恶	ɦu²¹³	可惡
悪	恶	ɦu²¹³	可惡
濩	濩	ɦu²¹³	
頀	頀	ɦu²¹³	
冱	冱	ɦu²¹³	
嫭	嫭	ɦu²¹³	
枑	枑	ɦu²¹³	
韄	韄	ɦu²¹³	
悞	悮	ɦu²¹³	又音
娛	娱	ɦu²¹³	又音
娯	娱	ɦu²¹³	又音
捂	捂	ɦu²¹³	又音
梧	梧	ɦu²¹³	又音
晤	晤	ɦu²¹³	又音
寤	寤	ɦu²¹³	又音
痦	痦	ɦu²¹³	又音
迕	迕	ɦu²¹³	又音
忤	忤	ɦu²¹³	又音
啎	忤	ɦu²¹³	又音
仵	仵	ɦu²¹³	又音
悮	悮	ɦu²¹³	
窹	窹	ɦu²¹³	
逜	逜	ɦu²¹³	
遻	遻	ɦu²¹³	
擭	擭	ɦu²¹³	
鱯	鳠	ɦu²¹³	
訽	訽	ɦu²¹³	
鄇	鄇	ɦu²¹³	
鍭	鍭	ɦu²¹³	
戊	戊	ɦu²¹³	
霧	雾	ɦu²¹³	又音
烏	乌	u⁵³	
塢	坞	u⁵³	
隖	坞	u⁵³	
嗚	呜	u⁵³	
鎢	钨	u⁵³	化學元素
污	污	u⁵³	
汙	污	u⁵³	
汚	污	u⁵³	
洿	洿	u⁵³	
杇	杇	u⁵³	
釫	釫	u⁵³	
萵	莴	u⁵³	
誣	诬	u⁵³	
圬	圬	u⁵³	
歍	歍	u⁵³	
盓	盓	u⁵³	
螐	螐	u⁵³	
鰞	鰞	u⁵³	
鴮	𫛦	u⁵³	
衣	衣	u⁵³	僅限於「衣櫥」一詞
熓	𤆡	u⁵³	
糊	糊	u⁵³	僅限於「爛泥糊漿」
胡	胡	u⁵³	又音 僅限於「胡嚨」
惡	恶	u⁵³	可惡
悪	恶	u⁵³	可惡
於	于	u⁵³	
扝	扝	u⁵³	
椅	椅	u³⁵	「椅子」一詞中又音
烏	乌	u³⁵	硬幣背面無文字的一面
瑦	瑦	u³⁵	
嵨	嵨	u³⁵	
摀	摀	u³⁵	
溩	溩	u³⁵	
烏	乌	u⁴⁴	痕跡
鄔	邬	u⁴⁴	
捂	捂	u⁴⁴	又音
焐	焐	u⁴⁴	
熩	熩	u⁴⁴	
埡	垭	u⁴⁴	
肟	肟	u⁴⁴	
居	居	tɕy⁵³	
鋸	锯	tɕy⁵³	文讀
据	据	tɕy⁵³	拮据
崌	崌	tɕy⁵³	
涺	涺	tɕy⁵³	
蜛	蜛	tɕy⁵³	
鶋	鶋	tɕy⁵³	
拘	拘	tɕy⁵³	
駒	驹	tɕy⁵³	
蒟	蒟	tɕy⁵³	
鮈	鮈	tɕy⁵³	
莒	莒	tɕy⁵³	
車	车	tɕy⁵³	象棋子的名稱
硨	砗	tɕy⁵³	
龜	龟	tɕy⁵³	白讀
亀	龟	tɕy⁵³	白讀
琚	琚	tɕy⁵³	
裾	裾	tɕy⁵³	
椐	椐	tɕy⁵³	
矩	矩	tɕy⁵³	
榘	矩	tɕy⁵³	
腒	腒	tɕy⁵³	
眗	眗	tɕy⁵³	
捐	捐	tɕy⁵³	
絹	绢	tɕy⁵³	
涓	涓	tɕy⁵³	
鵑	鹃	tɕy⁵³	
娟	娟	tɕy⁵³	
蠲	蠲	tɕy⁵³	
焆	焆	tɕy⁵³	
鞙	鞙	tɕy⁵³	
勬	勬	tɕy⁵³	
舉	举	tɕy³⁵	
擧	举	tɕy³⁵	
挙	举	tɕy³⁵	
櫸	榉	tɕy³⁵	
鬼	鬼	tɕy³⁵	白讀
踽	踽	tɕy³⁵	
齲	龋	tɕy³⁵	
枸	枸	tɕy³⁵	枸橼
筥	筥	tɕy³⁵	
椇	椇	tɕy³⁵	
楀	楀	tɕy³⁵	
聥	聥	tɕy³⁵	
萭	萭	tɕy³⁵	
捲	卷	tɕy³⁵	
卷	卷	tɕy³⁵	
巻	卷	tɕy³⁵	
𩜇	𩠉	tɕy³⁵	
婘	婘	tɕy³⁵	
羂	羂	tɕy³⁵	
汱	汱	tɕy³⁵	
詃	詃	tɕy³⁵	
埢	埢	tɕy³⁵	
菤	菤	tɕy³⁵	
錈	锩	tɕy³⁵	
韏	韏	tɕy³⁵	
據	据	tɕy⁴⁴	
拠	据	tɕy⁴⁴	
句	句	tɕy⁴⁴	
邭	邭	tɕy⁴⁴	
貴	贵	tɕy⁴⁴	白讀
踞	踞	tɕy⁴⁴	
澽	澽	tɕy⁴⁴	
屨	屦	tɕy⁴⁴	
倨	倨	tɕy⁴⁴	
鄄	鄄	tɕy⁴⁴	
苣	苣	tɕy⁴⁴	「萵苣」中常快讀成清聲母
豦	豦	tɕy⁴⁴	
鐻	鐻	tɕy⁴⁴	
怐	怐	tɕy⁴⁴	
絇	絇	tɕy⁴⁴	
狷	狷	tɕy⁴⁴	
獧	狷	tɕy⁴⁴	
睊	睊	tɕy⁴⁴	
罥	罥	tɕy⁴⁴	
卷	卷	tɕy⁴⁴	
巻	卷	tɕy⁴⁴	
睠	眷	tɕy⁴⁴	
眷	眷	tɕy⁴⁴	
縳	䌸	tɕy⁴⁴	
懁	懁	tɕy⁴⁴	
瓹	瓹	tɕy⁴⁴	
卛	卛	tɕy⁴⁴	
帣	帣	tɕy⁴⁴	
讂	讂	tɕy⁴⁴	
絭	絭	tɕy⁴⁴	
勬	勬	tɕy⁴⁴	
犈	犈	tɕy⁴⁴	
觠	觠	tɕy⁴⁴	
飬	飬	tɕy⁴⁴	
區	区	tɕʰy⁵³	
嶇	岖	tɕʰy⁵³	
驅	驱	tɕʰy⁵³	
駆	驱	tɕʰy⁵³	
駈	驱	tɕʰy⁵³	
軀	躯	tɕʰy⁵³	
鰸	鰸	tɕʰy⁵³	
虧	亏	tɕʰy⁵³	
袪	袪	tɕʰy⁵³	
祛	祛	tɕʰy⁵³	
胠	胠	tɕʰy⁵³	
阹	阹	tɕʰy⁵³	
姝	姝	tɕʰy⁵³	
魼	魼	tɕʰy⁵³	
敺	敺	tɕʰy⁵³	
圈	圈	tɕʰy⁵³	
圏	圈	tɕʰy⁵³	
券	券	tɕʰy⁵³	
劵	券	tɕʰy⁵³	
勸	劝	tɕʰy⁵³	
勧	劝	tɕʰy⁵³	
弮	弮	tɕʰy⁵³	
弆	弆	tɕʰy³⁵	
麮	麮	tɕʰy³⁵	
竘	竘	tɕʰy³⁵	
綣	绻	tɕʰy³⁵	
犬	犬	tɕʰy³⁵	
畎	畎	tɕʰy³⁵	
埍	埍	tɕʰy³⁵	
圈	圈	tɕʰy³⁵	
圏	圈	tɕʰy³⁵	
虇	虇	tɕʰy³⁵	
裷	裷	tɕʰy³⁵	
去	去	tɕʰy⁴⁴	文讀
鼁	鼁	tɕʰy⁴⁴	
麮	麮	tɕʰy⁴⁴	
絭	絭	tɕʰy⁴⁴	
虇	虇	tɕʰy⁴⁴	
韏	韏	tɕʰy⁴⁴	
飬	飬	tɕʰy⁴⁴	
蕖	蕖	dʑy²⁴	
磲	磲	dʑy²⁴	
巨	巨	dʑy²⁴	
鉅	巨	dʑy²⁴	
拒	拒	dʑy²⁴	
距	距	dʑy²⁴	
炬	炬	dʑy²⁴	
柜	柜	dʑy²⁴	白讀
渠	渠	dʑy²⁴	水渠
佢	佢	dʑy²⁴	
懼	惧	dʑy²⁴	
具	具	dʑy²⁴	
俱	俱	dʑy²⁴	
颶	飓	dʑy²⁴	
瞿	瞿	dʑy²⁴	
衢	衢	dʑy²⁴	
癯	癯	dʑy²⁴	
翵	翵	dʑy²⁴	
氍	氍	dʑy²⁴	
灈	灈	dʑy²⁴	
臞	臞	dʑy²⁴	
鸜	鸲	dʑy²⁴	
鴝	鸲	dʑy²⁴	
劬	劬	dʑy²⁴	
朐	朐	dʑy²⁴	
鼩	鼩	dʑy²⁴	
璩	璩	dʑy²⁴	
蘧	蘧	dʑy²⁴	
籧	籧	dʑy²⁴	
懅	懅	dʑy²⁴	
淭	淭	dʑy²⁴	
璖	璖	dʑy²⁴	
螶	螶	dʑy²⁴	
蟝	蟝	dʑy²⁴	
忂	忂	dʑy²⁴	
戵	戵	dʑy²⁴	
斪	斪	dʑy²⁴	
欋	欋	dʑy²⁴	
翑	翑	dʑy²⁴	
葋	葋	dʑy²⁴	
蠷	蠷	dʑy²⁴	
躣	躣	dʑy²⁴	
鑺	鑺	dʑy²⁴	
蜷	蜷	dʑy²⁴	
瘸	瘸	dʑy²⁴	
腒	腒	dʑy²⁴	
豦	豦	dʑy²⁴	
鐻	鐻	dʑy²⁴	
眗	眗	dʑy²⁴	
絇	絇	dʑy²⁴	
蚼	蚼	dʑy²⁴	
軥	軥	dʑy²⁴	
鬈	鬈	dʑy²⁴	
惓	惓	dʑy²⁴	
踡	踡	dʑy²⁴	
𨃪	𨃪	dʑy²⁴	
權	权	dʑy²⁴	
権	权	dʑy²⁴	
顴	颧	dʑy²⁴	
拳	拳	dʑy²⁴	
孉	孉	dʑy²⁴	
蠸	蠸	dʑy²⁴	
齤	齤	dʑy²⁴	
犈	犈	dʑy²⁴	
狋	狋	dʑy²⁴	
觠	觠	dʑy²⁴	
跪	跪	dʑy²¹³	白讀
窶	窭	dʑy²¹³	
苣	苣	dʑy²¹³	
怇	怇	dʑy²¹³	
詎	讵	dʑy²¹³	
秬	秬	dʑy²¹³	
蚷	蚷	dʑy²¹³	
岠	岠	dʑy²¹³	
歫	歫	dʑy²¹³	
粔	粔	dʑy²¹³	
虡	虡	dʑy²¹³	
駏	駏	dʑy²¹³	
貗	𫎌	dʑy²¹³	
鐻	鐻	dʑy²¹³	
裙	裙	dʑy²¹³	僅限於「褓裙」
蜎	蜎	dʑy²¹³	
萒	萒	dʑy²¹³	
蔨	蔨	dʑy²¹³	
櫃	柜	dʑy²¹³	白讀
犋	犋	dʑy²¹³	
遽	遽	dʑy²¹³	
勮	勮	dʑy²¹³	
埧	埧	dʑy²¹³	
倦	倦	dʑy²¹³	
勌	倦	dʑy²¹³	
淃	淃	dʑy²¹³	
韏	韏	dʑy²¹³	
虞	虞	ȵy²⁴	
娛	娱	ȵy²⁴	
娯	娱	ȵy²⁴	
鋙	铻	ȵy²⁴	
禺	禺	ȵy²⁴	
隅	隅	ȵy²⁴	
嵎	嵎	ȵy²⁴	
愚	愚	ȵy²⁴	
喁	喁	ȵy²⁴	
遇	遇	ȵy²⁴	
寓	寓	ȵy²⁴	
麌	麌	ȵy²⁴	
齵	齵	ȵy²⁴	
御	御	ȵy²⁴	
禦	御	ȵy²⁴	
堣	堣	ȵy²⁴	
湡	湡	ȵy²⁴	
澞	澞	ȵy²⁴	
鍝	鍝	ȵy²⁴	
鸆	鸆	ȵy²⁴	
䱷	䲣	ȵy²⁴	
髃	髃	ȵy²⁴	
鰅	鰅	ȵy²⁴	
原	原	ȵy²⁴	
源	源	ȵy²⁴	
願	愿	ȵy²⁴	
愿	愿	ȵy²⁴	
騵	𫘪	ȵy²⁴	
嫄	嫄	ȵy²⁴	
塬	塬	ȵy²⁴	
螈	螈	ȵy²⁴	
羱	羱	ȵy²⁴	
元	元	ȵy²⁴	
芫	芫	ȵy²⁴	
阮	阮	ȵy²⁴	
朊	朊	ȵy²⁴	
沅	沅	ȵy²⁴	
刓	刓	ȵy²⁴	
岏	岏	ȵy²⁴	
黿	鼋	ȵy²⁴	
邧	邧	ȵy²⁴	
蚖	蚖	ȵy²⁴	
杬	杬	ȵy²⁴	
榞	榞	ȵy²⁴	
獂	獂	ȵy²⁴	
蒝	蒝	ȵy²⁴	
邍	邍	ȵy²⁴	
撋	撋	ȵy²⁴	
扭	扭	ȵy²⁴	僅限於头或身体转动一義
厵	厵	ȵy²⁴	
謜	謜	ȵy²⁴	
堧	堧	ȵy²⁴	
瑌	瑌	ȵy²⁴	
繎	繎	ȵy²⁴	
女	女	ȵy²¹³	
釹	钕	ȵy²¹³	化學元素
蕊	蕊	ȵy²¹³	蕊頭
蕋	蕊	ȵy²¹³	蕊頭
橤	蕊	ȵy²¹³	蕊頭
蘂	蕊	ȵy²¹³	蕊頭
禹	禹	ȵy²¹³	白讀
圄	圄	ȵy²¹³	
敔	敔	ȵy²¹³	
俁	俣	ȵy²¹³	
圉	圉	ȵy²¹³	
麌	麌	ȵy²¹³	
篽	篽	ȵy²¹³	
籞	籞	ȵy²¹³	
蘌	蘌	ȵy²¹³	
噳	噳	ȵy²¹³	
軟	软	ȵy²¹³	
輭	软	ȵy²¹³	
碝	碝	ȵy²¹³	
緛	緛	ȵy²¹³	
耎	耎	ȵy²¹³	
偄	偄	ȵy²¹³	
愞	愞	ȵy²¹³	
瑌	瑌	ȵy²¹³	
腝	腝	ȵy²¹³	
語	语	ȵy²¹³	
馭	驭	ȵy²¹³	
傆	傆	ȵy²¹³	
媀	媀	ȵy²¹³	
庽	庽	ȵy²¹³	
芋	芋	ȵy²¹³	「芋」處在詞的末尾讀[ȵy˨˩˧]
豙	豙	ȵy²¹³	
顡	顡	ȵy²¹³	
原	原	ʔȵy⁵³	僅限於「原方」
靴	靴	ɕy⁵³	
鞾	靴	ɕy⁵³	
虛	虚	ɕy⁵³	
虚	虚	ɕy⁵³	
噓	嘘	ɕy⁵³	
嘘	嘘	ɕy⁵³	
墟	墟	ɕy⁵³	
圩	圩	ɕy⁵³	地名用字，同「墟」，不見於寧波
譃	譃	ɕy⁵³	
歔	歔	ɕy⁵³	
魖	魖	ɕy⁵³	
驉	驉	ɕy⁵³	
吁	吁	ɕy⁵³	
訏	吁	ɕy⁵³	
盱	盱	ɕy⁵³	
旴	旴	ɕy⁵³	
姁	姁	ɕy⁵³	
𦰰	𦰰	ɕy⁵³	
扜	扜	ɕy⁵³	
欨	欨	ɕy⁵³	
荂	荂	ɕy⁵³	
楦	楦	ɕy⁵³	
楥	楦	ɕy⁵³	
萱	萱	ɕy⁵³	
萲	萱	ɕy⁵³	
蕿	萱	ɕy⁵³	
藼	萱	ɕy⁵³	
蘐	萱	ɕy⁵³	
箮	箮	ɕy⁵³	
煊	煊	ɕy⁵³	
瑄	瑄	ɕy⁵³	
諼	谖	ɕy⁵³	
晅	晅	ɕy⁵³	
咺	咺	ɕy⁵³	
暄	暄	ɕy⁵³	
塤	埙	ɕy⁵³	
壎	埙	ɕy⁵³	
翾	翾	ɕy⁵³	
譞	𫍽	ɕy⁵³	
梋	梋	ɕy⁵³	
鋗	𫓶	ɕy⁵³	
愋	愋	ɕy⁵³	
翧	翧	ɕy⁵³	
蝖	蝖	ɕy⁵³	
弲	弲	ɕy⁵³	
禤	禤	ɕy⁵³	
蠉	蠉	ɕy⁵³	
頨	頨	ɕy⁵³	
矎	矎	ɕy⁵³	
駽	駽	ɕy⁵³	
吅	吅	ɕy⁵³	
喛	喛	ɕy⁵³	
貆	貆	ɕy⁵³	
許	许	ɕy³⁵	
栩	栩	ɕy³⁵	
詡	诩	ɕy³⁵	
鄦	鄦	ɕy³⁵	
冔	冔	ɕy³⁵	
喣	喣	ɕy³⁵	
珝	珝	ɕy³⁵	
欨	欨	ɕy³⁵	
祤	祤	ɕy³⁵	
烜	烜	ɕy³⁵	
𣈶	暅	ɕy³⁵	
暅	暅	ɕy³⁵	
蠉	蠉	ɕy³⁵	
愃	愃	ɕy³⁵	
毀	毁	ɕy⁴⁴	舊時指小孩換乳齒
毁	毁	ɕy⁴⁴	舊時指小孩換乳齒
㧦	㧦	ɕy⁴⁴	
昫	昫	ɕy⁴⁴	
煦	煦	ɕy⁴⁴	紅煦煦
酗	酗	ɕy⁴⁴	
絢	绚	ɕy⁴⁴	
𩋢	𩋢	ɕy⁴⁴	
夐	夐	ɕy⁴⁴	
眴	眴	ɕy⁴⁴	
讂	讂	ɕy⁴⁴	
駽	駽	ɕy⁴⁴	
韗	韗	ɕy⁴⁴	
漁	渔	ɦy²⁴	
魚	鱼	ɦy²⁴	文讀
余	余	ɦy²⁴	
餘	余	ɦy²⁴	
餘	馀	ɦy²⁴	
狳	狳	ɦy²⁴	
艅	艅	ɦy²⁴	
畬	畬	ɦy²⁴	
舁	舁	ɦy²⁴	
臾	臾	ɦy²⁴	
萸	萸	ɦy²⁴	
腴	腴	ɦy²⁴	
諛	谀	ɦy²⁴	
瘐	瘐	ɦy²⁴	
俞	俞	ɦy²⁴	
愉	愉	ɦy²⁴	
榆	榆	ɦy²⁴	
楡	榆	ɦy²⁴	
逾	逾	ɦy²⁴	
踰	逾	ɦy²⁴	
揄	揄	ɦy²⁴	
渝	渝	ɦy²⁴	
瑜	瑜	ɦy²⁴	
窬	窬	ɦy²⁴	
蝓	蝓	ɦy²⁴	
覦	觎	ɦy²⁴	
毹	毹	ɦy²⁴	
腧	腧	ɦy²⁴	
圍	围	ɦy²⁴	白讀 圍巾
圩	圩	ɦy²⁴	地名用字，同「圍」，音「圍」白讀，多見於太湖平原，不見於寧波
盂	盂	ɦy²⁴	
于	于	ɦy²⁴	
於	于	ɦy²⁴	
扵	于	ɦy²⁴	
予	予	ɦy²⁴	
妤	妤	ɦy²⁴	
雩	雩	ɦy²⁴	
馭	驭	ɦy²⁴	文讀 駕馭
譽	誉	ɦy²⁴	
籲	吁	ɦy²⁴	
喻	喻	ɦy²⁴	
喩	喻	ɦy²⁴	
愈	愈	ɦy²⁴	
癒	愈	ɦy²⁴	
瘉	愈	ɦy²⁴	
嵛	嵛	ɦy²⁴	
崳	崳	ɦy²⁴	
裕	裕	ɦy²⁴	
輿	舆	ɦy²⁴	
歟	欤	ɦy²⁴	
藇	藇	ɦy²⁴	
鱮	𫚈	ɦy²⁴	
伃	伃	ɦy²⁴	
嬩	嬩	ɦy²⁴	
旟	旟	ɦy²⁴	
璵	玙	ɦy²⁴	
雓	雓	ɦy²⁴	
堬	堬	ɦy²⁴	
羭	羭	ɦy²⁴	
茰	茰	ɦy²⁴	
萮	萮	ɦy²⁴	
蕍	蕍	ɦy²⁴	
螸	螸	ɦy²⁴	
騟	𩨈	ɦy²⁴	
杅	杅	ɦy²⁴	
謣	謣	ɦy²⁴	
鵌	鵌	ɦy²⁴	
鸒	鸒	ɦy²⁴	
楰	楰	ɦy²⁴	
歈	歈	ɦy²⁴	
褕	褕	ɦy²⁴	
鄃	鄃	ɦy²⁴	
隃	隃	ɦy²⁴	
緣	缘	ɦy²⁴	
縁	縁	ɦy²⁴	同「緣」
圓	圆	ɦy²⁴	
円	圆	ɦy²⁴	
圎	圆	ɦy²⁴	
員	员	ɦy²⁴	
貟	贠	ɦy²⁴	古同「員」
玄	玄	ɦy²⁴	
舷	舷	ɦy²⁴	
懸	悬	ɦy²⁴	
袁	袁	ɦy²⁴	
轅	辕	ɦy²⁴	
園	园	ɦy²⁴	
猿	猿	ɦy²⁴	
猨	猿	ɦy²⁴	
蝯	猿	ɦy²⁴	
垣	垣	ɦy²⁴	
爰	爰	ɦy²⁴	
湲	湲	ɦy²⁴	
媛	媛	ɦy²⁴	
鍰	锾	ɦy²⁴	
鶢	鶢	ɦy²⁴	
櫞	橼	ɦy²⁴	
玆	玆	ɦy²⁴	
盷	盷	ɦy²⁴	
榬	榬	ɦy²⁴	
溒	溒	ɦy²⁴	
妶	妶	ɦy²⁴	
玹	玹	ɦy²⁴	
胘	胘	ɦy²⁴	
宇	宇	ɦy²¹³	
雨	雨	ɦy²¹³	
禹	禹	ɦy²¹³	文讀
羽	羽	ɦy²¹³	
庾	庾	ɦy²¹³	
與	与	ɦy²¹³	
与	与	ɦy²¹³	
嶼	屿	ɦy²¹³	
窳	窳	ɦy²¹³	
斞	斞	ɦy²¹³	
貐	貐	ɦy²¹³	
瑀	瑀	ɦy²¹³	
鄅	鄅	ɦy²¹³	
楰	楰	ɦy²¹³	
楀	楀	ɦy²¹³	
祤	祤	ɦy²¹³	
聥	聥	ɦy²¹³	
萭	萭	ɦy²¹³	
頨	頨	ɦy²¹³	
遠	远	ɦy²¹³	
逺	远	ɦy²¹³	
薳	䓕	ɦy²¹³	
鉉	铉	ɦy²¹³	
琄	琄	ɦy²¹³	
妶	妶	ɦy²¹³	
贙	贙	ɦy²¹³	
鞙	鞙	ɦy²¹³	
萒	萒	ɦy²¹³	
預	预	ɦy²¹³	
豫	豫	ɦy²¹³	
蕷	蓣	ɦy²¹³	
瑗	瑗	ɦy²¹³	
芋	芋	ɦy²¹³	文讀
諭	谕	ɦy²¹³	
礜	礜	ɦy²¹³	
忬	忬	ɦy²¹³	
悆	悆	ɦy²¹³	
澦	滪	ɦy²¹³	
穥	穥	ɦy²¹³	
悇	悇	ɦy²¹³	
鸒	鸒	ɦy²¹³	
院	院	ɦy²¹³	
眩	眩	ɦy²¹³	
昡	昡	ɦy²¹³	
衒	衒	ɦy²¹³	
袨	袨	ɦy²¹³	
縣	县	ɦy²¹³	
県	县	ɦy²¹³	
援	援	ɦy²¹³	文讀
褑	褑	ɦy²¹³	
掾	掾	ɦy²¹³	
姰	姰	ɦy²¹³	
玹	玹	ɦy²¹³	
眴	眴	ɦy²¹³	
迿	迿	ɦy²¹³	
淤	淤	y⁵³	
于	于	y⁵³	姓
迂	迂	y⁵³	
竽	竽	y⁵³	
紆	纡	y⁵³	
釪	釪	y⁵³	
玗	玗	y⁵³	
邘	邘	y⁵³	
骬	骬	y⁵³	
衧	衧	y⁵³	
䩒	䩒	y⁵³	
唹	唹	y⁵³	
箊	箊	y⁵³	
虶	虶	y⁵³	
陓	陓	y⁵³	
衣	衣	y⁵³	僅限於「衣櫥」一詞
益	益	y⁵³	又音 僅限於「益加」
扜	扜	y⁵³	
蓲	蓲	y⁵³	
鴛	鸳	y⁵³	
鵷	鹓	y⁵³	
冤	冤	y⁵³	
寃	冤	y⁵³	
眢	眢	y⁵³	
葾	葾	y⁵³	
㠾	㠾	y⁵³	
淵	渊	y⁵³	
渕	渊	y⁵³	
姢	姢	y⁵³	
悁	悁	y⁵³	
剈	剈	y⁵³	
囦	囦	y⁵³	
蒬	蒬	y⁵³	
潫	潫	y⁵³	
蜎	蜎	y⁵³	
弲	弲	y⁵³	
鼘	鼘	y⁵³	
惌	惌	y⁵³	
裷	裷	y⁵³	
嬽	嬽	y⁵³	
椅	椅	y³⁵	
𩌑	𩌑	y³⁵	稱東西時容器的重量
䩩	䩩	y³⁵	稱東西時容器的重量
畹	畹	y³⁵	
苑	苑	y³⁵	
倇	倇	y³⁵	
夗	夗	y³⁵	
晼	晼	y³⁵	
箢	箢	y³⁵	
惌	惌	y³⁵	
睕	睕	y³⁵	
餵	喂	y⁴⁴	
喂	喂	y⁴⁴	
餧	喂	y⁴⁴	
瘀	瘀	y⁴⁴	
飫	饫	y⁴⁴	
嫗	妪	y⁴⁴	
棜	棜	y⁴⁴	
醧	醧	y⁴⁴	
蓲	蓲	y⁴⁴	
怨	怨	y⁴⁴	
噮	噮	y⁴⁴	
肙	肙	y⁴⁴	
裫	裫	y⁴⁴	
八	八	pa⁵³	僅限於「王八」一詞
叭	叭	pa⁵³	
巴	巴	pa⁵³	大巴車？
芭	芭	pa⁵³	
吧	吧	pa⁵³	
擺	摆	pa³⁵	
襬	摆	pa³⁵	
把	把	pa³⁵	文讀
拜	拜	pa⁴⁴	
拝	拜	pa⁴⁴	
垻	坝	pa⁴⁴	
爸	爸	pa⁴⁴	
伯	伯	pa⁴⁴	又音 僅限於「叔伯姆」
庍	庍	pa⁴⁴	
派	派	pʰa⁴⁴	
哌	哌	pʰa⁴⁴	化學用字
蒎	蒎	pʰa⁴⁴	
浿	浿	pʰa⁴⁴	
湃	湃	pʰa⁴⁴	
潑	泼	pʰa⁴⁴	做事粗線條，不精細
排	排	ba²⁴	
俳	俳	ba²⁴	
徘	徘	ba²⁴	
牌	牌	ba²⁴	
𥱼	𥱼	ba²⁴	
罷	罢	ba²⁴	文讀
猈	猈	ba²⁴	
輫	輫	ba²⁴	
棑	棑	ba²⁴	
犤	犤	ba²⁴	
蠯	蠯	ba²⁴	
鮊	鲌	ba²¹³	
䱝	䱝	ba²¹³	
捭	捭	ba²¹³	
䇑	䇑	ba²¹³	
矲	矲	ba²¹³	
猈	猈	ba²¹³	
稗	稗	ba²¹³	文讀
粺	稗	ba²¹³	
敗	败	ba²¹³	
贁	贁	ba²¹³	
憊	惫	ba²¹³	
唄	呗	ba²¹³	
韝	鞲	ba²¹³	
韛	𫖔	ba²¹³	
棑	棑	ba²¹³	
埋	埋	ma²⁴	埋怨
嘛	嘛	ma²⁴	
霾	霾	ma²⁴	
薶	薶	ma²⁴	
𧻲	𧻲	ma²⁴	
邁	迈	ma²⁴	又音
買	买	ma²¹³	
馬	马	ma²¹³	僅限於「馬馬虎虎」一詞
嗎	吗	ma²¹³	化學用字
瑪	玛	ma²¹³	
嘪	𪡃	ma²¹³	
蕒	荬	ma²¹³	
鷶	鷶	ma²¹³	
賣	卖	ma²¹³	
韎	韎	ma²¹³	
𧻲	𧻲	ʔma⁵³	
埋	埋	ʔma⁵³	把盛有食物的器皿放入熱飯或熱灰中使熱
馬	马	ʔma⁵³	僅限於「馬馬虎虎」一詞
媽	妈	ʔma⁴⁴	
孟	孟	ʔma⁴⁴	僅限於「長孟孟」
𠲎	𠲎	va²⁴	「勿」「啦」合音
帶	带	ta⁴⁴	
帯	带	ta⁴⁴	
㯂	㯂	ta⁴⁴	
艜	艜	ta⁴⁴	
戴	戴	ta⁴⁴	戴帽子
摕	摕	ta⁴⁴	
