#符号说明：-白=文/书*俗?待考																																													
#调值	［1］323［2］31［3］44［5］412 ［0］轻声																																												
#ɿ																																													
tʂʰ	[1]深-伸-琛 [2]沉忱陈臣辰展尘嗅 [5]趁[0]伧																																												
ʂ	[1]申伸=绅身深=娠 [2]什神 [3]审婶沈 [5]甚肾慎蜃																																												
ʐ	[2]人任{姓}仁 [3]忍 [5]认任衽饪妊刃仞																																												
k	[1]根跟 [3]艮{说话生硬} [5]亘																																												
kʰ	[3]肯啃恳垦 [5]掯																																												
x	[2]痕含- [3]很狠 [5]恨																																												
	[1]恩 [5]摁																																												
#iẽ																																													
p	[1]宾滨摈殡{～仪馆}斌濒 [5]殡{出～}鬓																																												
pʰ	[1]拼姘 [2]贫频 [3]品 [5]聘																																												
m	[2]民 [3]悯闽泯岷皿敏																																												
tɕ	[1]今金斤巾禁{布～穿}襟津筋浸 [3]谨紧仅锦尽{～里头}济{～南} [5]尽进晋禁噤近妗劲纪{～念}																																												
tɕʰ	[1]亲侵钦衾 [2]秦勤禽噙擒琴芹寝 [5]沁吣揿																																												
ɕ	[1]辛新心芯欣锌莘 [2]寻- [5]信衅																																												
	[1]音因茵姻阴荫殷氤 [2]寅淫银龈吟 [3]引蚓尹饮隐 [5]饮{～牛}印																																												
#uẽ																																													
t	[1]敦吨蹲 [3]盹□{抵消,对换} [5]沌炖钝顿盾																																												
tʰ	[1]吞 [2]屯臀 [2]仑沦论{～语}抡轮伦纶 [5]论嫩																																												
ts	[1]尊遵樽 [3]撙																																												
tsʰ	[1]村皴 [2]存淳醇唇纯 [3]忖 [5]寸																																												
s	[1]孙																																												
tʂ	[1]谆 [3]准																																												
tʂʰ	[1]春椿 [3]蠢																																												
ʂ	[3]吮 [5]顺舜																																												
k	[1]闺 [3]滚 [5]棍																																												
kʰ	[1]昆坤鲲锟琨 [3]捆阃 [5]困																																												
x	[1]荤昏婚 [2]浑魂馄混{水～} [5]诨混																																												
	[1]温瘟 [2]文蚊纹汶紊闻 [3]稳吻刎 [5]问																																												
#yẽ																																													
tɕ	[1]军均钧筠君 [3]菌 [5]竣骏俊郡																																												
tɕʰ	[1]逡 [2]群裙																																												
ɕ	[1]勋熏醺 [2]旬恂询苟寻循巡 [3]捐 [5]迅汛讯训驯逊巽徇																																												
	[1]晕{头～} [2]云芸纭耘匀筠 [3]允蕴酝愠 [5]晕{月～}韵孕熨运																																												
#ɑŋ																																													
p	[1]邦帮梆浜傍 [3]绑榜膀{臂～} [5]谤棒蚌蒡																																												
pʰ	[1]乓膀{发～} [2]旁螃膀{～胱}庞彷滂 [3]耪 [5]胖																																												
m	[1]牤 [2]忙芒茫盲氓 [3]莽蟒																																												
f	[1]方坊{作～} [2]防妨肪房芳 [3]访仿纺妨{不～} [5]放 [0]坊{牌～}																																												
t	[1]当档铛 [3]党挡档宕 [5]当{恰～}荡砀																																												
tʰ	[1]汤镗耥 [2]唐糖塘搪堂螳膛棠倘 [3]淌躺 [5]烫趟																																												
n	[2]囊 [3]攘																																												
l	[2]郎廊螂狼 [3]朗 [5]浪																																												
ts	[1]脏赃臧 [5]葬藏{西～}脏																																												
tsʰ	[1]仓沧苍 [2]藏{躲～} [5]蹭{擦过}																																												
s	[1]丧桑 [3]嗓搡 [5]丧{～失}																																												
tʂ	[1]章漳樟蟑彰獐张 [3]掌长{～兄}涨{～价} [5]障帐账胀丈仗杖																																												
tʂʰ	[1]昌猖娼 [2]尝偿常嫦长肠场{打～} [3]厂敞场{～合} [5]唱畅怅																																												
ʂ	[1]商伤殇 [3]赏上{～声}晌 [5]尚绱上 [0]裳{衣～}																																												
ʐ	[1]让{请人接受招待} [2]穰瓤 [3]嚷壤攘让{责备，责～} [5]让																																												
k	[1]肛缸钢纲刚缰 [3]港冈岗讲 [5]杠钢{磨：～刀}																																												
kʰ	[1]康糠 [3]慷 [5]亢抗伉炕扛																																												
x	[1]夯 [2]杭沆吭行航 [5]巷{～道} [0]𠵉																																												
	[1]肮 [2]昂 [3]□烧掉 [5]盎嗯{表示应答}																																												
#iɑŋ																																													
n	[1]娘 [5]酿																																												
l	[1]□{拉，领着} [2]粱梁凉良粮量 [3]两俩 [5]亮晾凉{～一会儿}谅辆量{胆～}																																												
tɕ	[1]江将浆桨姜僵缰礓疆 [3]讲奖蒋 [5]将{大～}酱匠降虹强{倔～}																																												
tɕʰ	[1]腔枪呛 [2]墙蔷强 [3]抢强{勉～} [5]戗呛																																												
ɕ	[1]襄镶相湘箱厢香乡 [2]翔详祥降{投～} [3]想享响 [5]项巷相{～貌}向象像橡																																												
	[1]央秧殃 [2]羊佯扬杨阳 [3]养痒氧仰 [5]样漾																																												
#uɑŋ																																													
tʂ	[1]庄桩装妆 [3]奘 [5]壮状撞																																												
tʂʰ	[1]窗疮{长～} [2]床幢撞{～着眼} [3]闯 [5]创																																												
ʂ	[1]双霜孀刷{雨下得～～的} [3]爽 [5]双-{～生}																																												
k	[1]光胱咣{～一声} [3]广犷 [5]桄{一～线}逛																																												
kʰ	[1]匡筐 [2]狂 [5]矿旷框眶况																																												
x	[1]肓荒慌 [2]皇湟惶蝗徨黄磺 [3]谎恍晃幌 [5]晃{～动}																																												
	[1]汪 [2]亡芒{麦～}王往{～西走}望{～病人} [3]网往{来～}枉 [5]妄忘旺望																																												
#əŋ																																													
p	[1]崩绷 [2]甭 [5]迸泵蚌{～埠}蹦																																												
pʰ	[1]烹砰抨澎{～一身水} [2]彭澎膨朋棚鹏蓬篷 [3]捧 [5]碰																																												
m	[1]蒙{头～～的} [2]蒙檬朦萌盟 [3]猛锰 [5]孟梦																																												
f	[1]封丰烽蜂峰锋风枫疯讽 [2]冯逢缝 [5]奉俸凤缝{裂～}																																												
t	[1]灯登蹬 [3]等 [5]邓瞪凳磴澄{～清}镫																																												
tʰ	[1]熥 [2]誊腾滕藤疼																																												
n	[2]能 [5]弄																																												
l	[3]冷 [5]楞棱																																												
ts	[1]曾增争挣睁峥狰铮 [5]赠锃憎挣{～命}																																												
tsʰ	[1]噌撑瞠称{拍手～快} [2]层曾{～经} [5]蹭																																												
s	[1]僧生笙牲甥 [3]省																																												
tʂ	[1]正{～月}征症{～结}筝蒸侦 [3]整拯 [5]正证政症{病～}郑帧																																												
tʂʰ	[1]称枨 [2]成诚城盛{～饭}呈程乘澄橙丞骋 [3]逞惩 [5]称{相～}																																												
ʂ	[1]声升 [2]绳 [5]胜盛{～大}乘{千～}剩圣																																												
ʐ	[1]扔 [3]仍																																												
k	[1]更{五～}耕 [3]耿埂梗哽庚颈{脖～子} [5]更																																												
kʰ	[1]坑																																												
x	[1]亨哼 [2]恒衡																																												
	[5]嗯																																												
#iŋ																																													
p	[1]兵冰 [3]丙柄炳饼秉屏{～除} [5]并病																																												
pʰ	[1]乒娉{～婷} [2]平坪评苹萍瓶屏凭																																												
m	[2]冥名茗铭酩明鸣 [5]命																																												
t	[1]丁叮盯仃钉 [3]顶鼎 [5]定锭腚订钉{～扣子}																																												
tʰ	[1]听汀厅 [2]亭停廷庭霆莛蜓 [3]挺铤艇																																												
n	[1]□表示小的程度副词 [2]宁拧柠{～檬}狞泞凝 [5]拧{脾气～}佞																																												
l	[2]灵凌菱陵绫泠羚伶铃零玲聆瓴苓龄蛉翎 [3]领岭 [5]令另																																												
tɕ	[1]京惊精睛经更{五～}兢 [3]景井阱警 [5]竞竟镜境静净敬儆痉胫茎颈=晶																																												
tɕʰ	[1]青清蜻轻氢卿 [2]情晴 [3]请苘顷 [5]庆亲{～家}																																												
ɕ	[1]星惺腥猩兴{～起} [2]刑形邢型行 [3]醒省{～悟} [5]兴幸悻杏性姓																																												
	[1]鹰膺莺英婴樱鹦缨应{叫不～} [2]赢荧莹萤营萦蝇迎盈 [3]影颖 [5]应映硬																																												
#uŋ																																													
t	[1]东冬咚冻{～凌} [3]董懂 [5]冻栋胨动洞恫																																												
tʰ	[1]通 [2]童瞳僮同桐铜佟彤 [3]桶捅统筒 [5]痛恸																																												
n	[2]农侬浓哝脓 [3]努																																												
l	[2]龙咙笼{～子}胧聋隆窿 [3]垄拢陇笼{～罩}																																												
ts	[1]宗棕综踪鬃 [3]总 [5]粽纵																																												
tsʰ	[1]聪匆葱 [2]从丛淙重 [3]囱崇宠																																												
s	[1]松忪淞嵩 [3]悚竦耸怂 [5]宋送讼颂诵																																												
tʂ	[1]中忠衷钟终 [3]种{～子}肿踵 [5]中{打～}仲种{～田}众重{～要}																																												
tʂʰ	[1]冲充 [2]种{姓}虫憧冲-{～水} [5]冲{～他骂}忡舂																																												
ʐ	[2]容溶熔荣嵘茸{毛～～}戎绒融庸 [3]冗茸{鹿～}																																												
k	[1]工功红{女～}攻弓躬公蚣宫恭 [3]汞巩拱龚矿{炭～子} [5]共供贡																																												
kʰ	[1]空 [3]恐孔 [5]空{～闲儿}控																																												
x	[1]烘哄{～堂大笑}轰 [2]鸿红虹洪弘泓宏 [3]哄 [5]讧哄{起～}横																																												
	[1]翁嗡 [2]瓮																																												
#iuŋ																																													
tɕ	[1]扃 [3]窘炯迥																																												
tɕʰ	[2]穷穹																																												
ɕ	[1]凶汹匈胸兄 [2]雄熊																																												
	[1]雍拥涌{～流} [3]永咏泳俑恿踊蛹涌勇 [5]用佣{～金}																																												
#ɻə																																													
	[2]儿而 [3]耳饵尔迩 [5]二贰																																												
