#注释	平阳方言记略，落橙抄
#调值	[1]44[2]31[3]54[4]24[5]32[6]22[7]35[8]213
#a	
l	[2]轮伦仑稜[3]卵
ts	[1]曾姓增真珍针斟津{又读}[3]诊疹枕[5]振震镇进{又读}晋{又读}浸{又读}
tsʰ	[1]亲{又读}[2]乘{~机}[3]寝{又读}[5]衬趁侵{又读}
dz	[2]沉陈尘臣秦{又读}[6]曾阵
s	[1]新心辛薪僧深参{人~}身申伸森兴{又读}[3]婶审沈迅讯[5]渗信
z	[2]寻层仁人=晨辰神[4]甚肾尽[6]任刃慎赠赁
k	[1]跟[3]滚[5]棍
kʰ	[1]坤昆崐[3]肯恳垦捆[5]困
ɡ	[2]□{〜起，罩起来}[4]□{~脓，溃脓}
h	[3]很
ɦ	[2]恒[6]恨
#iaŋ	
tɕ	[1]京荆惊经斤筋巾今金襟津[3]紧景警颈锦[5]进禁境竟敬镜浸晋
tɕʰ	[1]轻亲[3]寝[5]庆侵
dʑ	[2]勤芹琴禽擒秦[4]近赚-[6]仅竞劲
ȵ	[2]宁凝银迎[4]忍[6]认
ɕ	[1]兴欣掀-凶-[5]兴{高~}
ʔ	[1]应蝇婴缨英殷因姻音阴鹰鹦=樱=[3]隐饮影引[5]印应{答~}
∅︀	[2]盈赢形刑型寅淫[6]□{痕迹}
#oŋ	
p	[1]崩[5]蹦
pʰ	[1]□{~起，凸起来}[3]捧[5]碰
b	[2]朋蓬篷
m	[2]蒙[3]□{马虎，随便}[6]梦
f	[1]丰峰锋蜂封风疯讽[3]俸
v	[2]逢缝冯[4]奉[6]凤缝{一条~}
t	[1]东冬[3]董懂[5]冻栋
tʰ	[1]通[3]统[5]痛
d	[2]铜桐童瞳同[4]动桶[6]洞筒
n	[2]脓农[6]软-
l	[2]隆龙=笼聋[3]拢[6]弄
ts	[1]踪宗棕鬃中忠终[3]总[5]中{射~}众粽
tsʰ	[1]聪冲衝充匆囱葱
s	[1]松鬆兄{又读}[3]𢱤{推也}[5]宋送
z	[2]从崇茸绒戎
k	[1]弓躬宫公工功攻[5]贡供{~养}巩
kʰ	[1]空[3]孔恐=[5]控空{~缺}
h	[1]烘轰[3]哄[5]嗅
ɦ	[2]红弘宏洪鸿虹[4]閧
ʔ	[1]翁[5]瓮
#ioŋ	
tɕ	[1]躬{又读}[5]众{又读}
tɕʰ	[1]囱{又读}[3]顷倾[5]□{~~动，颤巍巍的}
dʑ	[2]穷琼
ɕ	[1]兄凶=
ʔ	[3]拥永[5]雍
∅︀	[2]雄熊萤营荣融容蓉
#øŋ	
v	[2]云雲匀[3]允尹[5]韵[6]运晕孕闰-
ts	[3]准{又读}遵{又读}[5]俊{又读}
tsʰ	[1]春{又读}[3]蠢{又读}[5]串{又读}
dz	[4]吮{又读}[6]仲{又读}
s	[1]勋{又读}熏{又读}薰{又读}[3]筍{又读}[5]训{又读}
z	[2]旬{又读}循{又读}巡{又读}纯{又读}醇{又读}唇{又读}[6]润{又读}顺{又读}
#iøŋ	
tɕ	[1]均钧君军[3]准遵[5]俊
tɕʰ	[1]春[3]菌蠢[5]串-
dʑ	[2]虫裙[4]吮[6]仲群
ɕ	[1]勋熏薰[3]筍[5]训
ʑ	[2]旬循巡纯醇唇[6]润顺闰=
∅︀	[2]匀{又读}[3]允{又读}[6]孕{又读}
#eŋ	
p	[1]冰殡宾兵[3]饼丙秉稟[5]并
pʰ	[3]品聘[5]拼
b	[2]瓶屏萍平评坪频凭贫苹[4]並[6]病
m	[2]名铭明鸣盟民[3]敏抿泯悯[6]命
t	[1]丁钉{铁~}[3]顶鼎[5]订钉{~住}
tʰ	[1]厅听[3]艇挺[5]听{打~}
d	[2]廷庭亭停[4]□{沉淀}[6]定
n	[7]□{一点点，很少}
l	[2]陵凌菱铃怜零燐鳞淋临林灵邻[3]领岭凛[6]吝另令
ts	[1]贞侦正{~月}征蒸晶旌睛精徵[3]整井拯[5]正政证症
tsʰ	[1]青清称{~呼}[3]请[5]称{~心}秤
dz	[2]呈程澄[6]剩郑
s	[1]升星腥声[3]省{反〜}醒[5]姓性圣胜
z	[2]绳承丞城成诚仍情晴[4]静[6]净盛
#ŋ	
	[2]吴吾捂儿蛾-鹅-俄-[3]我耳五伍午[6]二误悟
#m	
	[2]无-
