單字	聲紐	攝	韻部	呼	等	聲調	組	(斗山墟) 聲母	(斗山墟) 韻母	(斗山墟) 聲調號	(斗山墟) 聲調名	IPA	備註						
員	云	臻	文	合	三	平	影	j	uon	4		ʝuɔn²²							
園	云	山	元	合	三	平	影	j	uon	4		ʝuɔn²²							
圓	云	山	仙B	合	三	平	影	j	uon	4		ʝuɔn²²							
垣	云	山	元	合	三	平	影	f	un	4		fun²²							
援	云	山	元	合	三	平	影	j	uon	4		ʝuɔn²²							
源	疑	山	元	合	三	平	見	ng	un	4		ŋun²²							
猿	云	山	元	合	三	平	影	j	uon	4		ʝuɔn²²							
緣	以	山	仙A	合	三	平	以	j	uon	4		ʝuɔn²²							
袁	云	山	元	合	三	平	影	j	uon	4		ʝuɔn²²							
轅	云	山	元	合	三	平	影	j	uon	4		ʝuɔn²²							
遠	云	山	元	合	三	去	影						離也						
遠	云	山	元	合	三	上	影	j	uon	2	陰上	ʝuɔn⁵⁵	遙遠也						
怨	影	山	元	合	三	平	影	j	uon	1(3)		ʝuɔn³³							
院	匣	山	寒	合	一	平	影	j	uon	5(6)		ʝuɔn¹¹							
願	疑	山	元	合	三	去	見	ng	un	5(6)		ŋun¹¹							
約	影	效	宵A	開	三	去	影	j	iek	7		ʝiɛk⁵	合約、大約						
約								j	iek	8		ʝiɛk³	約人、約會						
岳	疑	江	江	開	二	入	見	ng	ok	9		ŋɔk¹							
嶽	疑	江	江	開	二	入	見	ng	ok	9		ŋɔk¹							
悅	以	山	仙A	合	三	入	以	j	uot	9		ʝuɔt¹							
月	疑	山	元	合	三	入	見	ng	ut	9		ŋut¹							
粵	云	山	元	合	三	入	影	j	uot	9		ʝuɔt¹							
越	云	山	元	合	三	入	影	j	uot	9		ʝuɔt¹							
躍	以	宕	陽	開	三	入	以	j	iek	9		ʝiɛk¹							
閱	以	山	仙A	合	三	入	以	j	uot	9		ʝuɔt¹							
暈	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	un	4		vun²²	頭暈						
云	云	臻	文	合	三	平	影	v	un	4		vun²²							
勻	以	臻	真A	合	三	平	以	j	un	4		ʝun²²							
耘	云	臻	文	合	三	平	影	v	un	4		vun²²							
雲	云	臻	文	合	三	平	影	v	un	4		vun²²							
允	以	臻	真A	合	三	上	以	v	un	5(6)		vun¹¹							
孕	以	曾	蒸	開	三	去	以	j	in	5(6)		ʝin¹¹							
運	云	臻	文	合	三	去	影	v	un	5(6)		vun¹¹							
韻	云	臻	文	合	三	去	影	v	un	5(6)		vun¹¹							
雜	從	咸	覃	開	一	入	精	d	aap	5(6)		tap¹							
哉	精	蟹	咍	開	一	平	精	d	uoi	1(3)		tuɔi³³							
栽	精	蟹	咍	開	一	平	精	d	uoi	1(3)		tuɔi³³							
災	精	蟹	咍	開	一	平	精	d	uoi	1(3)		tuɔi³³							
宰	精	蟹	咍	開	一	上	精	d	uoi	2		tuɔi⁵⁵							
再	精	蟹	咍	開	一	去	精	d	uoi	1(3)		tuɔi³³							
在	從	蟹	咍	開	一	上	精	d	uoi	5(6)		tuɔi⁵⁵							
載	精	蟹	咍	開	一	去	精	d	uoi	1(3)		tuɔi³³	記載						
載	精	蟹	咍	開	一	上	精	d	uoi	2		tuɔi⁵⁵	一年半載						
暫	從	咸	談	開	一	去	精	d	em	5(6)		tɛm¹¹	習讀tsam³³						
讚	精	山	寒	開	一	去	精	d	aan	1(3)		tan³³							
贊	精	山	寒	開	一	去	精	d	aan	1(3)		tan³³							
贓	精	宕	唐	開	一	平	精	d	ong	1(3)		tɔŋ³³							
髒	精	宕	唐	開	一	上	精	d	ong	1(3)		tɔŋ³³							
臟	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	d	ong	5(6)		tɔŋ¹¹							
葬	精	宕	唐	開	一	去	精	d	ong	1(3)		tɔŋ³³							
糟	精	效	豪	開	一	平	精	d	ou	1(3)		tɔu³³							
蹧	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	d	ou	1(3)		tɔu³³							
遭	精	效	豪	開	一	平	精	d	ou	1(3)		tɔu³³							
鑿	從	通	東	開	一	入	精	d	ok	9		tɔk¹							
早	精	效	豪	開	一	上	精	d	ou	2		tɔu⁵⁵							
棗	精	效	豪	開	一	上	精	d	ou	2		tɔu⁵⁵							
澡	精	效	豪	開	一	上	精	t	ou	1(3)		tʰɔu³³							
藻	精	效	豪	開	一	上	精	t	ou	1(3)		tʰɔu³³							
蚤	精	效	豪	開	一	上	精	d	ou	2		tɔu⁵⁵							
噪	心	效	豪	開	一	去	精	t	ou	1(3)		tʰɔu³³							
灶								d	ou	1(3)		tɔu³³	本調罕用。止“灶尾”讀本調						
灶	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	d	ou	5(6)	低變調	tɔu¹¹	低變調						
燥	心	效	豪	開	一	上	精	t	ou	1(3)		tʰɔu³³							
皂	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A												
躁	精	效	豪	開	一	去	精												
造	從	效	豪	開	一	上	精	d	ou	5(6)		tɔu¹¹							
則	精	曾	登	開	一	入	精	d	aak	7		tak³							
擇	澄	梗	庚	開	二	入	知	z	aak	9		tsak¹							
澤	澄	梗	庚	開	二	入	知	z	aak	9		tsak¹							
責	莊	梗	耕	開	二	入	莊	z	aak	7		tsak⁵							
賊	從	曾	登	開	一	入	精	t	aak	9		tʰak¹							
增	精	曾	登	開	一	平	精	d	aang	1(3)		taŋ³³							
憎	精	曾	登	開	一	平	精	d	aang	1(3)		taŋ³³							
贈	從	曾	登	開	一	去	精	d	aang	5(6)		taŋ¹¹							
扎	莊	山	山	開	二	入	莊	z	aat	8		tsat³							
扎	莊	山	山	開	二	入	莊	z	aat	9	低變調	tsat¹	低變調。量词						
渣	莊	假	麻	開	二	平	莊	z	aa	5(6)	低變調	tsa¹¹	低變調						
渣								z	aa	2	高變調	tsa⁵⁵	高變調，瓦渣ŋa⁵⁵ tsa⁵⁵						
紮	莊	山	山	開	二	入	莊	z	aat	8		tsat³							
閘	見	咸	談	開	一	入	見	z	aap	9		tsap¹							
眨	莊	咸	咸	開	二	入	莊	z	aam	2		tsam⁵⁵							
吒	知	假	麻	開	二	去	知	z	aa	1(3)		tsa³³							
柵	初	梗	庚	開	三	入	莊	c	aak	8		tsʰak³	木柵						
榨	莊	假	麻	開	二	去	莊	z	aa	1(3)		tsa³³							
炸	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	z	aa	1(3)		tsa³³							
詐	莊	假	麻	開	二	去	莊	z	aa	1(3)		tsa³³							
摘	知	梗	耕	開	二	入	知	z	aak	9		tsak¹							
齋	莊	蟹	皆	開	二	平	莊	z	aai	1(3)		tsai³³							
宅	澄	梗	庚	開	二	入	知	z	aak	9		tsak¹							
窄	莊	梗	庚	開	二	入	莊	z	aak	8		tsak³							
債	莊	蟹	佳	開	二	去	莊	z	aai	1(3)		tsai³³							
寨	崇	蟹	夬	開	二	去	莊	z	aai	5(6)		tsai¹¹							
占	章	咸	鹽A	開	三	平	章	z	em	1(3)		tsɛm³³	占卜						
占	章	咸	鹽A	開	三	去	章	z	em	1(3)		tsɛm³³	占領						
氈	章	山	仙A	開	三	平	章	d	en	1(3)		tɛn³³							
氈								z	in	1(3)		tsin³³							
沾	知	咸	鹽B	開	三	平	知	z	em	1(3)		tsɛm³³							
瞻	章	咸	鹽A	開	三	平	章	z	em	1(3)		tsɛm³³							
詹	章	咸	鹽A	開	三	平	章	z	em	1(3)		tsɛm³³							
展	知	山	仙B	開	三	上	知	z	in	2		tsin⁵⁵							
斬	莊	咸	咸	開	二	上	莊	z	aam	2		tsam⁵⁵							
盞	莊	山	山	開	二	上	莊	z	aan	2		tsan⁵⁵							
佔	端	咸	添	開	四	平	端	z	em	1(3)		tsɛm³³							
戰	章	山	仙A	開	三	去	章	z	en	1(3)		tsɛn³³					贈遺		
湛	澄	深	侵B	開	三	平	知	z	aam	1(3)		tsam³³							
站	知	咸	咸	開	二	去	知	z	aam	5(6)		tsam¹¹							
顫	章	山	仙A	開	三	去	章	z	en	1(3)		tsɛn³³							
張	知	宕	陽	開	三	平	知	z	ieng	1(3)		tsiɛŋ³³							
彰	章	宕	陽	開	三	平	章	z	ieng	1(3)		tsiɛŋ³³							
樟	章	宕	陽	開	三	平	章	z	ieng	1(3)		tsiɛŋ³³							
漳	章	宕	陽	開	三	平	章	z	ieng	1(3)		tsiɛŋ³³							
璋	章	宕	陽	開	三	平	章	z	ieng	1(3)		tsiɛŋ³³							
章	章	宕	陽	開	三	平	章	z	ieng	1(3)		tsiɛŋ³³							
蟑	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	z	ieng	1(3)		tsiɛŋ³³							
掌	章	宕	陽	開	三	上	章	z	ieng	2		tsiɛŋ⁵⁵							
漲	知	宕	陽	開	三	平	知	z	ieng	2		tsiɛŋ⁵⁵							
丈	澄	宕	陽	開	三	上	知	z	ieng	5(6)		tsiɛŋ¹¹							
丈	澄	宕	陽	開	三	上	知	c	ieng	5(6)		tsʰiɛŋ¹¹	姑丈姨丈曰丈tsʰiɛŋ¹¹						
仗	澄	宕	陽	開	三	去	知	z	ieng	1(3)		tsiɛŋ³³	打仗						
仗	澄	宕	陽	開	三	去	知	z	ieng	5(6)		tsiɛŋ¹¹	仗義						
帳	知	宕	陽	開	三	去	知	z	ieng	1(3)		tsiɛŋ³³					士卒		
杖	澄	宕	陽	開	三	上	知	z	ieng	5(6)		tsiɛŋ¹¹							
脹	知	宕	陽	開	三	去	知	z	ieng	1(3)		tsiɛŋ³³							
賬	知	宕	陽	開	三	去	知	z	ieng	1(3)		tsiɛŋ³³							
障	章	宕	陽	開	三	平	章	z	ieng	1(3)		tsiɛŋ³³							
招	章	效	宵A	開	三	平	章	z	iu	1(3)		tsiu³³							
昭	章	效	宵A	開	三	平	章	z	iu	1(3)		tsiu³³							
朝	澄	效	宵B	開	三	平	知	c	iu	4		tsʰiu²²	朝廷						
朝	知	效	宵B	開	三	平	知	z	iu	1(3)		tsiu³³	朝夕						
找	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	z	aau	2		tsau⁵⁵							
沼	章	效	宵A	開	三	上	章	z	iu	2	陰上	tsiu⁵⁵							
兆	澄	效	宵B	開	三	上	知	s	iu	5(6)		siu¹¹							
召	常	效	宵A	開	三	去	章	z	iu	1(3)		tsiu³³	召喚						
召	澄	效	宵B	開	三	去	知												
照	章	效	宵A	開	三	去	章	z	iu	1(3)		tsiu³³							
罩	知	效	肴	開	二	去	知	z	aau	1(3)		tsau³³	文讀，動詞						
罩	知	效	肴	開	二	去	知	z	aau	5(6)	低變調	tsau¹¹	白讀，名詞						
肇	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	s	iu	5(6)		siu¹¹							
趙	澄	效	宵B	開	三	上	知	z	iu	5(6)		tsiu¹¹							
遮	章	假	麻	開	三	平	章	z	ie	1(3)		tsiɛ³³							
哲	知	山	仙B	開	三	入	知	z	et	7		tsɛt⁵							
折	常	山	仙A	開	三	入	章	s	et	9		sɛt¹	折本						
折	章	山	仙A	開	三	入	章	z	et	7		tsɛt⁵	骨折						
者	章	假	麻	開	三	上	章	z	ie	2		tsiɛ⁵⁵							
褶	定	咸	添	開	四	入	端	z	ep	7		tsɛp⁵	褶皱						
浙	章	山	仙A	開	三	入	章	z	et	7		tsɛt⁵							
蔗	章	假	麻	開	三	去	章	z	ie	5(6)		tsiɛ¹¹							
這	疑	山	仙B	開	三	去	見	z	ie	1(3)		tsiɛ³³							
偵	徹	梗	清B	開	三	平	知	z	ing	1(3)		tsɪŋ³³							
斟	章	深	侵A	開	三	平	章	z	im	1(3)		tsim³³							
楨	知	梗	清B	開	三	平	知	z	ing	1(3)		tsɪŋ³³							
珍	知	臻	真B	開	三	平	知	z	in	1(3)		tsin³³							
真	章	臻	真A	開	三	平	章	z	in	1(3)		tsin³³							
砧	知	深	侵	開	三	平	知		em	5(6)		(ʔ)ɛm¹¹							
碪	知	深	侵	開	三	平	知												
禎	知	梗	清B	開	三	平	知	z	ing	1(3)		tsɪŋ³³							
貞	知	梗	清B	開	三	平	知	z	ing	1(3)		tsɪŋ³³							
針	章	深	侵A	開	三	平	章	z	im	1(3)		tsim³³							
枕	章	深	侵A	開	三	去	章						枕戈待旦						
枕	章	深	侵A	開	三	上	章	z	im	2		tsim⁵⁵	枕頭						
疹	章	臻	真A	開	三	上	章	c	in	2		tsʰin⁵⁵							
診	章	臻	真A	開	三	上	章	c	in	2		tsʰin⁵⁵							
圳	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	z	un	1(3)		tsun³³							
振	章	臻	真A	開	三	平	章	z	in	2		tsin⁵⁵							
鎮	知	臻	真B	開	三	平	知	z	in	1(3)		tsin³³							
陣	澄	臻	真B	開	三	去	知	z	in	5(6)		tsin³³							
震	章	臻	真A	開	三	去	章	z	in	2		tsin⁵⁵							
崢	崇	梗	庚	開	二	平	莊	z	aang	1(3)		tsaŋ³³							
征	章	梗	清A	開	三	平	章	z	ing	1(3)		tsɪŋ³³							
掙	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	z	aang	1(3)		tsaŋ³³							
爭	莊	梗	耕	開	二	平	莊	z	aang	1(3)		tsaŋ³³							
猙	莊	梗	耕	開	二	平	莊	z	aang	1(3)		tsaŋ³³							
癥	知	曾	蒸	開	三	平	知	z	ing	1(3)		tsɪŋ³³							
睜	從	梗	清A	開	三	上	精	c	aang	1(3)		tsʰaŋ³³							
箏	莊	梗	耕	開	二	平	莊	z	aang	1(3)		tsaŋ³³							
蒸	章	曾	蒸	開	三	平	章	z	ing	1(3)		tsɪŋ³³							
諍	莊	梗	耕	開	二	去	莊	z	aang	1(3)		tsaŋ³³							
拯	章	曾	蒸	開	三	上	章	z	ing	2		tsɪŋ⁵⁵							
整	章	梗	清A	開	三	上	章	z	ing	2		tsɪŋ⁵⁵							
政	章	梗	清A	開	三	去	章	z	ing	1(3)		tsɪŋ³³							
正	章	梗	清A	開	三	平	章	z	ing	1(3)		tsɪŋ³³	正月						
正	章	梗	清A	開	三	去	章	z	ieng	1(3)		tsiɛŋ³³	好正						
正	章	梗	清A	開	三	去	章	z	ing	1(3)		tsɪŋ³³	正午						
癥	知	曾	蒸	開	三	平	知	z	ing	1(3)		tsɪŋ³³							
證	章	曾	蒸	開	三	去	章	z	ing	1(3)		tsɪŋ³³							
鄭	澄	梗	清B	開	三	去	知	z	ieng	5(6)		tsiɛŋ¹¹							
之	章	止	之	開	三	平	章	z	i	1(3)		tsi³³							
支	章	止	支A	開	三	平	章	z	i	1(3)		tsi³³							
枝	章	止	支A	開	三	平	章	z	i	1(3)		tsi³³							
汁	章	深	侵A	開	三	入	章	z	ip	7		tsip⁵							
知	知	止	支B	開	三	平	知	z	i	1(3)		tsi³³	文讀						
知	知	止	支B	開	三	平	知		i	1(3)		(ʔ)i³³	白讀						
織	章	止	之	開	三	去	章	z	ik	7		tsɪk⁵							
肢	章	止	支A	開	三	平	章	z	i	1(3)		tsi³³							
脂	章	止	脂A	開	三	平	章	z	i	2		tsi³³							
芝	章	止	之	開	三	平	章	z	i	1(3)		tsi³³							
蜘	知	止	支B	開	三	平	知	z	i	1(3)		tsi³³							
隻	章	梗	清A	開	三	入	章	z	iek	8		tsiɛk³							
值	澄	止	之	開	三	去	知	z	ik	9		tsɪk¹							
執	章	深	侵A	開	三	入	章	z	ep	7		tsɛp⁵							
執								z	aap	7		tsap⁵	撿也						
姪	澄	臻	真B	開	三	入	知	z	it	9		tsit¹							
植	澄	止	之	開	三	去	知	z	ik	9		tsɪk¹							
殖	常	曾	蒸	開	三	入	章	z	ik	9		tsɪk¹							
直	澄	曾	蒸	開	三	入	知	z	ik	9		tsɪk¹							
職	章	曾	蒸	開	三	入	章	z	ik	7		tsɪk⁵							
質	章	臻	真A	開	三	入	章	z	it	7		tsit⁵	物質						
質	知	止	脂B	開	三	去	知	z	i	1(3)		tsi³³	人質						
只	章	止	支A	開	三	平	章	z	i	2		tsi⁵⁵							
址	章	止	之	開	三	上	章	z	i	2		tsi⁵⁵							
徵	知	曾	蒸	開	三	平	知	z	ing	1(3)		tsɪŋ³³	徵求						
指	章	止	脂A	開	三	上	章	z	i	2		tsi⁵⁵							
旨	章	止	脂A	開	三	上	章	z	i	2		tsi⁵⁵							
止	章	止	之	開	三	上	章	z	i	2		tsi⁵⁵							
祉	徹	止	之	開	三	上	知	z	i	2		tsi⁵⁵							
紙	章	止	支A	開	三	上	章	z	i	2		tsi⁵⁵							
趾	章	止	之	開	三	上	章	z	i	2		tsi⁵⁵							
制	章	蟹	祭A	開	三	去	章	z	aai	1(3)		tsai³³							
帙	澄	臻	真B	開	三	入	知												
志	章	止	之	開	三	去	章	z	i	1(3)		tsi³³							
智	知	止	支B	開	三	去	知	z	i	1(3)		tsi³³							
治	澄	止	之	開	三	平	知	z	i	5(6)		tsi¹¹							
滯	澄	蟹	祭B	開	三	去	知	z	aai	5(6)		tsai¹¹							
秩	澄	臻	真B	開	三	入	知		et	9		(ʔ)ɛt¹							
稚	澄	止	脂B	開	三	去	知	z	i	1(3)		tsi³³							
緻	澄	止	脂B	開	三	去	知	z	i	1(3)		tsi³³							
置	知	止	之	開	三	去	知	z	i	1(3)		tsi³³							
至	章	止	脂A	開	三	去	章	z	i	1(3)		tsi³³							
致	知	止	脂B	開	三	去	知	z	i	1(3)		tsi³³							
製	章	蟹	祭A	開	三	去	章	z	aai	1(3)		tsai³³							
誌	章	止	之	開	三	去	章	z	i	1(3)		tsi³³							
中	知	通	東	開	三	平	知	z	ung	1(3)		tsʊŋ³³	中間						
中	知	通	東	開	三	去	知	z	ung	1(3)		tsʊŋ³³	中獎						
忠	知	通	東	開	三	平	知	z	ung	1(3)		tsʊŋ³³							
忪	章	通	鍾	開	三	平	章												
終	章	通	東	開	三	平	章	z	ung	1(3)		tsʊŋ³³							
螽	章	通	東	開	三	平	章	z	ung	1(3)		tsʊŋ³³							
衷	知	通	東	開	三	平	知	c	ung	1(3)		tsʰʊŋ³³							
鍾	章	通	鍾	開	三	平	章	z	ung	1(3)		tsʊŋ³³							
鐘	章	通	鍾	開	三	平	章	z	ung	1(3)		tsʊŋ³³							
冢	知	通	鍾	開	三	上	知	c	ung	2		tsʰʊŋ⁵⁵							
塚	知	通	鍾	開	三	上	知	c	ung	2		tsʰʊŋ⁵⁵							
種	章	通	鍾	開	三	去	章	z	ung	1(3)		tsʊŋ³³	種植						
種	章	通	鍾	開	三	上	章	z	ung	2		tsʊŋ⁵⁵	種子						
腫	章	通	鍾	開	三	上	章	z	ung	2		tsʊŋ⁵⁵							
踵	章	通	鍾	開	三	上	章	z	ung	2		tsʊŋ⁵⁵							
仲	澄	通	東	開	三	去	知	z	ung	5(6)		tsʊŋ¹¹							
眾	章	通	東	開	三	平	章	z	ung	1(3)		tsʊŋ³³							
眾	章	通	東	開	三	平	章	z	ung	1(3)		tsʊŋ³³							
重	澄	通	鍾	開	三	平	知	c	ung	4		tsʰʊŋ²²	重新						
重	澄	通	鍾	開	三	去	知	z	ung	5(6)		tsʊŋ¹¹	重要						
重	澄	通	鍾	開	三	上	知	c	ung	1(3)		tsʰʊŋ³³	重量						
周	章	流	尤	開	三	平	章	z	iu	1(3)		tsiu³³							
州	章	流	尤	開	三	平	章	z	iu	1(3)		tsiu³³							
洲	章	流	尤	開	三	平	章	z	iu	1(3)		tsiu³³							
粥	以	通	東	開	三	入	以	z	uk	7		tsʊk⁵							
舟	章	流	尤	開	三	平	章	z	iu	1(3)		tsiu³³							
軸	澄	通	東	開	三	入	知	z	uk	9		tsʊk¹							
宙	澄	流	尤	開	三	去	知	z	aau	5(6)		tsau¹¹							
晝	知	流	尤	開	三	去	知	z	iu	1(3)		tsiu³³							
皺	莊	流	尤	開	三	去	莊	z	aau	1(3)		tsau³³							
縐	初	效	肴	開	二	去	莊	z	aau	1(3)		tsau³³							
侏	章	遇	虞	合	三	平	章	z	i	1(3)		tsi³³							
朱	章	遇	虞	合	三	平	章	z	i	1(3)		tsi³³							
株	知	遇	虞	合	三	平	知	z	i	1(3)		tsi³³							
珠	章	遇	虞	合	三	平	章	z	i	1(3)		tsi³³	文讀。珍珠、珠江、珠聯璧合。						
珠								z	i	5(6)	低變調	tsi¹¹	珠仔						
茱	常	遇	虞	合	三	平	章	z	i	1(3)		tsi³³							
藷	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A												
蛛	知	遇	虞	合	三	平	知	z	i	1(3)		tsi³³							
諸	章	遇	魚	開	三	平	章	z	i	1(3)		tsi³³							
豬	知	遇	魚	開	三	平	知	z	i	1(3)		tsi³³							
朮	船	臻	真A	合	三	入	章	s	ut	9		sut²	白朮，蒼朮。						
燭	章	通	鍾	開	三	入	章	z	uk	7		tsʊk⁵							
竹	知	通	東	開	三	入	知	z	uk	7		tsʊk⁵							
竺	端	通	東	開	一	入	端	z	uk	7		tsʊk⁵							
築	知	通	東	開	三	入	知	z	uk	7		tsʊk⁵							
逐	澄	通	東	開	三	入	知	z	uk	9		tsʊk¹							
主	章	遇	虞	合	三	上	章	z	i	2		tsi⁵⁵							
煮	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	z	i	2		tsi⁵⁵							
貯	知	遇	魚	開	三	上	知	c	ui	5(6)		tsʰui¹¹							
佇	澄	遇	魚	開	三	上	知	c	ui	5(6)		tsʰui¹¹							
住	澄	遇	虞	合	三	去	知	z	i	5(6)		tsi¹¹							
助	崇	遇	魚	開	三	去	莊	z	uo	5(6)		tsuɔ¹¹							
杼	澄	遇	魚	開	三	上	知	c	ui	5(6)		tsʰui¹¹							
柱	澄	遇	虞	合	三	上	知	c	ui	5(6)		tsʰui¹¹							
注	章	遇	虞	合	三	去	章	z	i	5(6)		tsi¹¹							
祝	章	流	尤	開	三	去	章	z	uk	7		tsʊk⁵							
筑	澄	通	東	開	三	入	知	z	uk	7		tsʊk⁵							
著	澄	宕	陽	開	三	入	知	z	iek	9		tsiɛk¹	著涼、著火						
著	知	宕	陽	開	三	入	知	z	iek	8		tsiɛk³	著衫						
著	知	遇	魚	開	三	去	知	z	i	1(3)		tsi³³	顯著						
蛀	章	遇	虞	合	三	去	章	z	i	1(3)		tsi³³							
註	章	遇	虞	合	三	去	章	z	i	5(6)		tsi¹¹							
駐	知	遇	虞	合	三	去	知	z	i	5(6)		tsi¹¹							
抓	莊	效	肴	開	二	平	莊	z	aa	1(3)		tsa³³							
爪	莊	效	肴	開	二	上	莊	z	aau	2		tsau⁵⁵							
專	章	山	仙A	合	三	平	章	z	uon	1(3)		tsuɔn³³							
磚	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	z	uon	1(3)		tsuɔn³³							
轉	知	山	仙B	合	三	去	知												
轉	知	山	仙B	合	三	上	知	z	uon	2		tsuɔn⁵⁵	轉變、轉動						
賺	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	z	aan	5(6)		tsan¹¹							
妝	莊	宕	陽	開	三	平	莊	z	ong	1(3)		tsɔŋ³³							
庄	並	梗	耕	開	二	平	幫	z	ong	1(3)		tsɔŋ³³							
樁	知	江	江	開	二	平	知	z	ong	1(3)		tsɔŋ³³							
莊	莊	宕	陽	開	三	平	莊	z	ong	1(3)		tsɔŋ³³							
裝	莊	宕	陽	開	三	平	莊	z	ong	1(3)		tsɔŋ³³							
奘	從	宕	唐	開	一	上	精	z	ong	1(3)		tsɔŋ³³							
壯	莊	宕	陽	開	三	去	莊	z	ong	1(3)		tsɔŋ³³							
撞	澄	江	江	開	二	平	知	z	ong	5(6)		tsɔŋ¹¹							
狀	崇	宕	陽	開	三	去	莊	z	ong	5(6)		tsɔŋ¹¹							
椎	澄	止	脂B	合	三	平	知	z	ui	1(3)		tsui³³							
追	知	止	脂B	合	三	平	知	z	ui	1(3)		tsui³³							
錐	章	止	脂A	合	三	平	章	z	ui	1(3)		tsui³³	動詞。						
錐								z	ui	5(6)	低變調	tsui¹¹	低變調，名詞。						
錐								j	ui	2		ʝui⁵⁵	圓錐ʝuɔn²² ʝui⁵⁵						
墜	澄	止	脂B	合	三	去	知	z	ui	5(6)		tsui¹¹							
綴	知	蟹	祭B	合	三	去	知	z	ui	5(6)		tsui¹¹							
綴	知	山	仙B	合	三	入	知	z	uot	7		tsuɔt⁵	點綴						
贅	章	蟹	祭A	合	三	去	章	z	ui	5(6)		tsui¹¹							
准	章	臻	真A	合	三	上	章	z	un	2		tsun⁵⁵							
準	章	臻	真A	合	三	上	章	z	un	2		tsun⁵⁵							
拙	章	山	仙A	合	三	入	章	z	uot	7		tsuɔt⁵							
捉	莊	江	江	開	二	入	莊	z	ok	8		tsɔk³							
桌	知	江	江	開	二	入	知	z	iek	7		tsiɛk⁵							
卓	知	江	江	開	二	入	知	c	iek	7		tsʰiɛk⁵							
啄	端	通	東	開	一	入	端	d	iek	7		tiɛk⁵							
斫	章	宕	陽	開	三	入	章	d	iek	7		tiɛk⁵							
斫									iek	7		(ʔ)iɛk⁵	又音						
濁	澄	江	江	開	二	入	知	d	uk	9		tʰʊk¹							
琢	知	江	江	開	二	入	知	d	iek	7		tiɛk⁵							
鐲	常	通	鍾	開	三	入	章		aak	9		(ʔ)ak¹							
姿	精	止	脂A	開	三	平	精	g	i	1(3)		ki³³							
孜	精	止	之	開	三	平	精	g	i	1(3)		ki³³							
滋	精	止	之	開	三	平	精	g	i	1(3)		ki³³							
茲	從	止	之	開	三	平	精												
茲	精	止	之	開	三	平	精	g	i	1(3)		ki³³							
諮	精	止	脂A	開	三	平	精	g	i	1(3)		ki³³							
資	精	止	脂A	開	三	平	精	g	i	1(3)		ki³³							
仔	精	止	之	開	三	上	精	g	i	2		ki⁵⁵	仔細						
仔	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	d	uoi	2		tuɔi⁵⁵	豬仔						
姊	精	止	脂A	開	三	上	精	d	i	2		ti⁵⁵	姐姊不同音。姐讀tiɛ⁵⁵						
子	精	止	之	開	三	上	精	g	i	2		ki⁵⁵	地名『八家子』讀pat³ ka³³ tsi⁵⁵						
梓	精	止	之	開	三	上	精	g	i	2		ki⁵⁵							
籽	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	g	i	2		ki⁵⁵							
紫	精	止	支A	開	三	上	精	g	i	2		ki⁵⁵							
字	從	止	之	開	三	去	精	g	i	5(6)		ki¹¹							
自	從	止	脂A	開	三	去	精	g	i	5(6)		ki¹¹							
宗	精	通	冬	合	一	平	精	d	ung	1(3)		tʊŋ³³							
棕	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	d	ung	1(3)		tʊŋ³³							
蹤	精	通	鍾	開	三	平	精	d	ung	1(3)		tʊŋ³³							
鬃	從	通	冬	合	一	平	精	d	ung	1(3)		tʊŋ³³							
總	精	通	東	開	一	上	精	d	ung	2		tʊŋ⁵⁵							
粽	精	通	東	開	一	去	精	d	ung	5(6)	低變調	tʊŋ¹¹							
綜	精	通	冬	合	一	去	精	d	ung	1(3)		tʊŋ³³							
縱	精	通	鍾	開	三	平	精	d	ung	1(3)		tʊŋ³³	縱橫						
縱	精	通	鍾	開	三	去	精	d	ung	1(3)		tʊŋ³³	放縱						
鄒	莊	流	尤	開	三	平	莊	z	aau	1(3)		tsau³³							
走	精	流	侯	開	一	上	精	d	aau	2		tau⁵⁵							
奏	精	流	侯	開	一	去	精	d	aau	1(3)		tau³³							
驟	崇	流	尤	開	三	去	莊	z	aau	5(6)		tsau¹¹							
租	精	遇	模	開	一	平	精	d	u	1(3)		tu³³							
卒	精	臻	真A	合	三	入	精	d	ut	7		tut⁵							
