單字	聲紐	攝	韻部	呼	等	聲調	組	(斗山墟) 聲母	(斗山墟) 韻母	(斗山墟) 聲調號	(斗山墟) 聲調名	IPA	備註						
簸	幫	果	歌	開	一	上	幫	b	uo	1(3)		puɔ³³	簸箕puɔ³³ ki¹¹						
簸												vuɔ¹¹	單用，曬穀用大簸箕。						
擘	幫	梗	耕	開	二	入	幫	m	aak	8	下陰入	mak¹	以手分開曰擘。擘畫						
卜	幫	通	東	開	一	入	幫	b	uk	7		pʊk⁵							
哺	並	遇	模	開	一	去	幫	b	u	5(6)		pu¹¹							
捕	並	遇	模	開	一	去	幫	b	u	5(6)		pu¹¹							
補	幫	遇	模	開	一	上	幫	b	u	2		pu⁵⁵							
不	幫	流	尤	合	三	平	幫												
不								b	ut	7		put⁵							
佈	幫	遇	模	開	一	去	幫	b	u	1(3)		pu³³							
埔	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	u	1(3)		pu³³							
埠	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	f	aau	5(6)		fau¹¹	『步』分化字。						
埗								b	u	5(6)		pu¹¹	同『埠』。						
布	幫	遇	模	開	一	去	幫	b	u	1(3)		pu³³							
怖	滂	遇	模	開	一	去	幫	b	u	1(3)		pu³³							
步	並	遇	模	開	一	去	幫	b	u	5(6)		pu¹¹							
簿	並	遇	模	開	一	上	幫	b	u	5(6)		pu¹¹							
部	並	遇	模	開	一	上	幫	b	u	5(6)		pu¹¹							
擦	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	c	aat	8		tsʰat³							
猜	清	蟹	咍	開	一	平	精	c	aai	1(3)		tsʰai³³							
才	從	蟹	咍	開	一	平	精	t	uoi	4		tʰuɔi²²							
材	從	蟹	咍	開	一	平	精	t	uoi	4		tʰuɔi²²							
裁	從	蟹	咍	開	一	平	精	t	uoi	4		tʰuɔi²²							
財	從	蟹	咍	開	一	平	精	t	uoi	4		tʰuɔi⁵⁵							
彩	清	蟹	咍	開	一	上	精	t	uoi	2		tʰuɔi⁵⁵							
採	清	蟹	咍	開	一	上	精	t	uoi	2		tʰuɔi⁵⁵							
睬	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	t	uoi	2		tʰuɔi⁵⁵							
綵	清	蟹	咍	開	一	上	精	t	uoi	2		tʰuɔi⁵⁵							
踩	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	c	aai	2		tsʰai⁵⁵							
踩								n	aai	2		nai⁵⁵	白讀，詞源不明。						
采	清	蟹	咍	開	一	上	精	t	uoi	2		tʰuɔi⁵⁵							
菜	清	蟹	咍	開	一	去	精	t	uoi	1(3)		tʰuɔi³³	菜花菜果紹菜讀本調tʰuɔi³³，紫菜莧菜蕹菜讀低變調tʰuɔi¹¹，白菜西洋菜瓜子菜豬菜讀升變調tʰuɔi³³⁵，單用讀本調tʰuɔi³³，菜苗曰菜tʰuɔi¹¹						
蔡	清	蟹	泰	開	一	去	精	t	uoi	1(3)		tʰuɔi³³							
參	初	深	侵B	開	三	平	莊												
參	清	咸	覃	開	一	平	精	t	aam	1(3)		tʰam³³	參加、人參、參差均讀tʰam³³						
參	生	深	侵B	開	三	平	莊												
參	心	咸	談	開	一	平	精	lh	aam	1(3)		ɬam³³	三的大寫						
餐	清	山	寒	開	一	平	精	t	aan	1(3)		tʰan³³							
慚	從	咸	談	開	一	平	精	t	aam	4		tʰam²²							
殘	從	山	寒	開	一	平	精	t	aan	4		tʰan²²							
蠶	從	咸	覃	開	一	平	精	t	aam	5(6)	低變調	tʰam¹¹	低變調，本調缺失						
慘	清	咸	覃	開	一	上	精	t	aam	2		tʰam⁵⁵							
燦	清	山	寒	開	一	去	精	t	aan	2		tʰan⁵⁵							
璨	清	山	寒	開	一	去	精	t	aan	2		tʰan⁵⁵							
倉	清	宕	唐	開	一	平	精	t	ong	1(3)		tʰɔŋ³³							
滄	清	宕	唐	開	一	平	精	t	ong	1(3)		tʰɔŋ³³							
艙	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	t	ong	1(3)		tʰɔŋ³³							
蒼	清	宕	唐	開	一	平	精	t	ong	1(3)		tʰɔŋ³³							
藏	從	宕	唐	開	一	平	精	t	ong	4		tʰɔŋ²²	收藏						
藏	從	宕	唐	開	一	去	精	d	ong	5(6)		tɔŋ¹¹	寶藏						
操	清	效	豪	開	一	平	精	t	ou	1(3)		tʰɔu³³							
糙	清	效	豪	開	一	去	精	t	ou	1(3)		tʰɔu³³							
嘈	從	效	豪	開	一	平	精	t	ou	4		tʰɔu²²							
曹	從	效	豪	開	一	平	精	t	ou	4		tʰɔu²²							
槽	精	效	豪	開	一	平	精	t	ou	4		tʰɔu²²							
草	清	效	豪	開	一	上	精	t	ou	2		tʰɔu⁵⁵							
側	莊	曾	蒸	開	三	入	莊	z	aak	7		tsak⁵							
冊	初	梗	耕	開	二	入	莊	c	aak	7		tsʰak⁵							
廁	初	止	之	開	三	去	莊	lh	i	1(3)		ɬi³³							
惻	初	曾	蒸	開	三	入	莊	c	aak	7		tsʰak⁵							
測	初	曾	蒸	開	三	入	莊	c	aak	7		tsʰak⁵							
策	初	梗	耕	開	二	入	莊	c	aak	7		tsʰak⁵							
層	從	曾	登	開	一	平	精	t	aang	4		tʰaŋ²²							
曾	從	曾	登	開	一	平	精	t	aang	4		tʰaŋ²²	曾經						
曾	精	曾	登	開	一	平	精	d	aang	1(3)		taŋ³³	曾孫、曾姓。						
叉	初	蟹	佳	開	二	平	莊	c	aa	1(3)		tsʰa³³	文讀						
叉								c	aa	5(6)	低變調	tsʰa¹¹	白讀						
插	初	咸	咸	開	二	入	莊	c	aap	8		tsʰap³							
察	初	山	山	開	二	入	莊	c	aat	7		tsʰat⁵							
查	崇	假	麻	開	二	平	莊	c	aa	4		tsʰa²²	檢查						
查	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	z	aa	1(3)		tsa³³	查姓						
槎	崇	假	麻	開	二	平	莊	c	aa	4		tsʰa²²							
茶	澄	假	麻	開	二	平	知	c	aa	4		tsʰa²²							
剎	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	s	aat	8		sat³	剎車						
奼	徹	假	麻	開	二	上	知												
岔	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	c	aa	1(3)		tsʰa³³							
詫	徹	假	麻	開	二	去	知	z	aa	1(3)		tsa³³							
差	初	假	麻	開	二	平	莊	c	aa	1(3)		tsʰa³³	差別						
差	初	蟹	佳	開	二	平	莊	c	aai	1(3)		tsʰai³³	出差						
差	初	止	支B	開	三	平	莊	c	i	1(3)		tsʰi³³	參差						
拆	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	c	aak	8		tsʰak³							
柴	崇	蟹	佳	開	二	平	莊	c	aai	5(6)	低變調	tsʰai¹¹	低變調，本調缺失						
摻	生	咸	咸	開	二	平	莊												
攙	崇	咸	咸	開	二	平	莊												
潺	崇	山	山	開	二	平	莊	s	aan	4		san²²							
禪	常	山	仙A	開	三	平	章	s	em	4		sɛm²²	禪師						
禪	常	山	仙A	開	三	去	章												
纏	澄	山	仙B	開	三	平	知	c	en	4		tsʰɛn²²							
廛	澄	山	仙B	開	三	平	知	c	en	4		tsʰɛn²²							
蟬	常	山	仙A	開	三	平	章	s	em	4		sɛm²²							
蟾	章	咸	鹽A	開	三	平	章	s	em	4		sɛm²²							
饞	崇	咸	咸	開	二	平	莊	c	aam	4		tsʰam²²							
剷	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	c	aan	2		tsʰan⁵⁵							
產	生	山	山	開	二	上	莊	c	aan	2		tsʰan⁵⁵							
諂	徹	咸	鹽B	開	三	上	知												
鏟	初	山	山	開	二	上	莊	c	aan	2		tsʰan⁵⁵							
昌	昌	宕	陽	開	三	平	章	c	ieng	1(3)		tsʰiɛŋ³³							
猖	昌	宕	陽	開	三	平	章	c	ieng	1(3)		tsʰiɛŋ³³							
